"m11104","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence","value"
"Almost never or never","1984","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Almost never or never","1984","Saxony","Not Employed","","","","","1"
"Almost never or never","1984","Saxony","Employed","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","Not Employed","","","","","1"
"Almost never or never","1984","Saxony-Anhalt","Employed","","","","","1"
"Almost never or never","1984","Thuringia","Not Employed","","","","","1"
"Almost never or never","1984","Thuringia","Employed","","","","","1"
"At lease once a week","1984","Hesse","Not Employed","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","Not Employed","","","","","4"
"At lease once a week","1984","Hesse","Employed","","","","","4"
"At lease once a week","1984","Hamburg","Not Employed","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","Not Employed","","","","","4"
"At lease once a week","1984","Schleswig-Holstein","Employed","","","","","4"
"At lease once a week","1984","Hamburg","Employed","","","","","4"
"At lease once a week","1984","Rhineland-Palatinate,Saarland","Employed","","","","","4"
"At lease once a week","1984","Baden-Württemberg","Not Employed","","","","","4"
"At lease once a week","1984","Baden-Württemberg","Employed","","","","","4"
"At lease once a week","1984","Bremen","Not Employed","","","","","4"
"At lease once a week","1984","Lower Saxony","Not Employed","","","","","4"
"At lease once a week","1984","Lower Saxony","Employed","","","","","4"
"At lease once a week","1984","Bremen","Employed","","","","","4"
"At lease once a week","1984","Bavaria","Not Employed","","","","","4"
"At lease once a week","1984","North Rhine-Westphalia","Not Employed","","","","","4"
"At lease once a week","1984","Bavaria","Employed","","","","","4"
"At lease once a week","1984","Berlin","Not Employed","","","","","4"
"At lease once a week","1984","Berlin","Employed","","","","","4"
"At lease once a week","1984","Brandenburg","Not Employed","","","","","4"
"At lease once a week","1984","North Rhine-Westphalia","Employed","","","","","4"
"At lease once a week","1984","Brandenburg","Employed","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"At lease once a week","1984","Mecklenburg-Western Pomerania","Employed","","","","","4"
"At lease once a week","1984","Saxony","Not Employed","","","","","4"
"At lease once a week","1984","Saxony","Employed","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","Not Employed","","","","","4"
"At lease once a week","1984","Saxony-Anhalt","Employed","","","","","4"
"At lease once a week","1984","Thuringia","Not Employed","","","","","4"
"At lease once a week","1984","Thuringia","Employed","","","","","4"
"At least once a month","1984","Lower Saxony","Employed","160","0.243860644241294","0.211773900060929","0.275947388421658","3"
"At least once a month","1984","Lower Saxony","Not Employed","80","0.145107106137244","0.114892771589898","0.17532144068459","3"
"At least once a month","1984","Schleswig-Holstein","Employed","67","0.284913809777643","0.227447955991014","0.342379663564272","3"
"At least once a month","1984","Hamburg","Employed","43","0.26782721857631","0.204694958862009","0.330959478290612","3"
"At least once a month","1984","Hamburg","Not Employed","13","","","","3"
"At least once a month","1984","Bremen","Not Employed","10","","","","3"
"At least once a month","1984","Schleswig-Holstein","Not Employed","29","","","","3"
"At least once a month","1984","Bremen","Employed","8","","","","3"
"At least once a month","1984","North Rhine-Westphalia","Not Employed","194","0.141254151861067","0.122307011130122","0.160201292592012","3"
"At least once a month","1984","North Rhine-Westphalia","Employed","359","0.212382897826324","0.194102914769387","0.230662880883262","3"
"At least once a month","1984","Hesse","Not Employed","81","0.18529372592032","0.14967151436402","0.220915937476619","3"
"At least once a month","1984","Hesse","Employed","151","0.221862942308524","0.192815543238414","0.250910341378634","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","Not Employed","53","0.135283882586228","0.100099123246737","0.170468641925719","3"
"At least once a month","1984","Thuringia","Not Employed","","","","","3"
"At least once a month","1984","Saxony-Anhalt","Employed","","","","","3"
"At least once a month","1984","Baden-Württemberg","Not Employed","83","0.102368732356558","0.0805722538822944","0.124165210830822","3"
"At least once a month","1984","Baden-Württemberg","Employed","236","0.18699343251812","0.167195713297742","0.206791151738497","3"
"At least once a month","1984","Rhineland-Palatinate,Saarland","Employed","108","0.227360728397592","0.190136155311841","0.264585301483342","3"
"At least once a month","1984","Saxony-Anhalt","Not Employed","","","","","3"
"At least once a month","1984","Thuringia","Employed","","","","","3"
"At least once a month","1984","Bavaria","Not Employed","98","0.125805260521449","0.10141185634222","0.150198664700677","3"
"At least once a month","1984","Bavaria","Employed","276","0.231738063116826","0.209188387767672","0.25428773846598","3"
"At least once a month","1984","Berlin","Not Employed","21","","","","3"
"At least once a month","1984","Berlin","Employed","48","0.202027295110419","0.15482917122943","0.249225418991408","3"
"At least once a month","1984","Brandenburg","Not Employed","","","","","3"
"At least once a month","1984","Brandenburg","Employed","","","","","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"At least once a month","1984","Mecklenburg-Western Pomerania","Employed","","","","","3"
"At least once a month","1984","Saxony","Not Employed","","","","","3"
"At least once a month","1984","Saxony","Employed","","","","","3"
"Several times a year","1984","Schleswig-Holstein","Employed","50","0.209751609331486","0.157918366675689","0.261584851987282","2"
"Several times a year","1984","Bremen","Not Employed","7","","","","2"
"Several times a year","1984","Hamburg","Employed","38","0.212629840630281","0.154296241683549","0.270963439577013","2"
"Several times a year","1984","Lower Saxony","Employed","145","0.21404886062667","0.183400439528783","0.244697281724558","2"
"Several times a year","1984","Hamburg","Not Employed","19","","","","2"
"Several times a year","1984","Lower Saxony","Not Employed","76","0.133147783429232","0.104003569776658","0.162291997081806","2"
"Several times a year","1984","Schleswig-Holstein","Not Employed","20","","","","2"
"Several times a year","1984","North Rhine-Westphalia","Employed","426","0.225459137688302","0.206781818659769","0.244136456716835","2"
"Several times a year","1984","Bremen","Employed","8","","","","2"
"Several times a year","1984","North Rhine-Westphalia","Not Employed","175","0.12557671100869","0.107549599096085","0.143603822921295","2"
"Several times a year","1984","Hesse","Not Employed","61","0.11206269832945","0.0831418066304052","0.140983590028495","2"
"Several times a year","1984","Hesse","Employed","153","0.183599439981752","0.15653343601916","0.210665443944343","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","Not Employed","34","0.0797825687818165","0.0519089077736486","0.107656229789984","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","Employed","94","0.2040956459296","0.168299940906412","0.239891350952787","2"
"Several times a year","1984","Baden-Württemberg","Not Employed","102","0.133867844020362","0.109383757816909","0.158351930223816","2"
"Several times a year","1984","Bavaria","Employed","317","0.236432159778468","0.213724936106984","0.259139383449953","2"
"Several times a year","1984","Baden-Württemberg","Employed","287","0.210874743887287","0.190161877077935","0.231587610696639","2"
"Several times a year","1984","Bavaria","Not Employed","112","0.143328152703339","0.117553553786238","0.169102751620441","2"
"Several times a year","1984","Berlin","Not Employed","20","","","","2"
"Several times a year","1984","Berlin","Employed","72","0.235628557776092","0.185741041548159","0.285516074004024","2"
"Several times a year","1984","Brandenburg","Not Employed","","","","","2"
"Several times a year","1984","Brandenburg","Employed","","","","","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Several times a year","1984","Saxony-Anhalt","Employed","","","","","2"
"Several times a year","1984","Thuringia","Not Employed","","","","","2"
"Several times a year","1984","Thuringia","Employed","","","","","2"
"Several times a year","1984","Saxony","Not Employed","","","","","2"
"Several times a year","1984","Saxony","Employed","","","","","2"
"Several times a year","1984","Saxony-Anhalt","Not Employed","","","","","2"
"Almost never or never","1985","Schleswig-Holstein","Not Employed","87","0.684338052666031","0.605348667927899","0.763327437404164","1"
"Almost never or never","1985","Schleswig-Holstein","Employed","105","0.463136799033756","0.396484470832814","0.529789127234697","1"
"Almost never or never","1985","Hamburg","Not Employed","75","0.711204050500759","0.625332587565068","0.79707551343645","1"
"Almost never or never","1985","Hamburg","Employed","74","0.349863532025031","0.27795898734002","0.421768076710041","1"
"Almost never or never","1985","Lower Saxony","Not Employed","311","0.692701732074737","0.65116693307071","0.734236531078764","1"
"Almost never or never","1985","Lower Saxony","Employed","323","0.509334133057825","0.469920345816263","0.548747920299387","1"
"Almost never or never","1985","Bremen","Not Employed","49","0.741235167759012","0.634766444269193","0.847703891248832","1"
"Almost never or never","1985","Bremen","Employed","25","","","","1"
"Almost never or never","1985","North Rhine-Westphalia","Not Employed","811","0.699679463081981","0.673602031732522","0.72575689443144","1"
"Almost never or never","1985","North Rhine-Westphalia","Employed","935","0.492593714007185","0.469203624434226","0.515983803580144","1"
"Almost never or never","1985","Hesse","Not Employed","297","0.732946477991374","0.69053384482273","0.775359111160018","1"
"Almost never or never","1985","Hesse","Employed","402","0.507005532173929","0.469969330269555","0.544041734078303","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","Not Employed","239","0.757135570089779","0.710658044810276","0.803613095369282","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","Employed","228","0.489255406628974","0.44227971658389","0.536231096674058","1"
"Almost never or never","1985","Baden-Württemberg","Not Employed","476","0.721626755365782","0.687815113223904","0.755438397507661","1"
"Almost never or never","1985","Baden-Württemberg","Employed","802","0.521141347413998","0.494620854086495","0.5476618407415","1"
"Almost never or never","1985","Bavaria","Not Employed","434","0.701452927167675","0.666407358161073","0.736498496174277","1"
"Almost never or never","1985","Bavaria","Employed","618","0.460849864323681","0.433083286309791","0.488616442337571","1"
"Almost never or never","1985","Berlin","Not Employed","86","0.741668583543156","0.663997076844965","0.819340090241346","1"
"Almost never or never","1985","Berlin","Employed","127","0.478475772264407","0.41566817572197","0.541283368806843","1"
"Almost never or never","1985","Brandenburg","Not Employed","","","","","1"
"Almost never or never","1985","Brandenburg","Employed","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Almost never or never","1985","Saxony","Not Employed","","","","","1"
"Almost never or never","1985","Saxony","Employed","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","Not Employed","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","Employed","","","","","1"
"Almost never or never","1985","Thuringia","Not Employed","","","","","1"
"Almost never or never","1985","Thuringia","Employed","","","","","1"
"At lease once a week","1985","Schleswig-Holstein","Not Employed","25","","","","4"
"At lease once a week","1985","Hamburg","Employed","64","0.436392532669417","0.361621778138424","0.511163287200409","4"
"At lease once a week","1985","Hesse","Not Employed","75","0.179053907275898","0.142299521322609","0.215808293229188","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","Not Employed","48","0.13374809460704","0.0968554219883774","0.170640767225702","4"
"At lease once a week","1985","Schleswig-Holstein","Employed","66","0.329099358427646","0.266290415764041","0.39190830109125","4"
"At lease once a week","1985","Hamburg","Not Employed","18","","","","4"
"At lease once a week","1985","Hesse","Employed","167","0.298963808182906","0.265049840716511","0.332877775649301","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","Employed","108","0.267790657147063","0.226178636424862","0.309402677869264","4"
"At lease once a week","1985","Baden-Württemberg","Not Employed","121","0.176417590799436","0.147662106983004","0.205173074615868","4"
"At lease once a week","1985","Baden-Württemberg","Employed","283","0.249774810910187","0.226793737853547","0.272755883966827","4"
"At lease once a week","1985","Bavaria","Not Employed","125","0.175991987874991","0.146828490365894","0.205155485384089","4"
"At lease once a week","1985","Lower Saxony","Employed","171","0.290284477233497","0.25449890947207","0.326070044994925","4"
"At lease once a week","1985","Bremen","Not Employed","8","","","","4"
"At lease once a week","1985","Lower Saxony","Not Employed","99","0.190807405381909","0.15543354291117","0.226181267852648","4"
"At lease once a week","1985","Bremen","Employed","6","","","","4"
"At lease once a week","1985","North Rhine-Westphalia","Not Employed","220","0.181215597696839","0.159302423059423","0.203128772334256","4"
"At lease once a week","1985","Bavaria","Employed","337","0.303771820556509","0.278154287266791","0.329389353846226","4"
"At lease once a week","1985","Berlin","Not Employed","24","","","","4"
"At lease once a week","1985","Berlin","Employed","54","0.260728997448138","0.20552869498832","0.315929299907957","4"
"At lease once a week","1985","Brandenburg","Not Employed","","","","","4"
"At lease once a week","1985","Brandenburg","Employed","","","","","4"
"At lease once a week","1985","North Rhine-Westphalia","Employed","451","0.286739695620193","0.265581556526864","0.307897834713523","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","Employed","","","","","4"
"At lease once a week","1985","Saxony","Not Employed","","","","","4"
"At lease once a week","1985","Saxony","Employed","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","Not Employed","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","Employed","","","","","4"
"At lease once a week","1985","Thuringia","Not Employed","","","","","4"
"At lease once a week","1985","Thuringia","Employed","","","","","4"
"At least once a month","1985","Lower Saxony","Employed","31","0.0459895571141398","0.0294752623737842","0.0625038518544953","3"
"At least once a month","1985","Lower Saxony","Not Employed","15","","","","3"
"At least once a month","1985","Schleswig-Holstein","Employed","9","","","","3"
"At least once a month","1985","Hamburg","Employed","11","","","","3"
"At least once a month","1985","Hamburg","Not Employed","9","","","","3"
"At least once a month","1985","Schleswig-Holstein","Not Employed","8","","","","3"
"At least once a month","1985","Bremen","Employed","6","","","","3"
"At least once a month","1985","North Rhine-Westphalia","Employed","86","0.0555991238602246","0.0448784596035357","0.0663197881169136","3"
"At least once a month","1985","Bremen","Not Employed","3","","","","3"
"At least once a month","1985","North Rhine-Westphalia","Not Employed","43","0.030912183862261","0.0210659727733403","0.0407583949511818","3"
"At least once a month","1985","Hesse","Not Employed","12","","","","3"
"At least once a month","1985","Hesse","Employed","32","0.0415281671176132","0.0267486539057739","0.0563076803294525","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","Not Employed","11","","","","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","Employed","26","","","","3"
"At least once a month","1985","Baden-Württemberg","Not Employed","30","0.0412596378496501","0.026255556296604","0.0562637194026962","3"
"At least once a month","1985","Baden-Württemberg","Employed","77","0.0598188143705439","0.0472288401278756","0.0724087886132122","3"
"At least once a month","1985","Saxony-Anhalt","Not Employed","","","","","3"
"At least once a month","1985","Saxony-Anhalt","Employed","","","","","3"
"At least once a month","1985","Thuringia","Not Employed","","","","","3"
"At least once a month","1985","Thuringia","Employed","","","","","3"
"At least once a month","1985","Bavaria","Not Employed","24","","","","3"
"At least once a month","1985","Bavaria","Employed","86","0.0704123561639841","0.0561609611307511","0.0846637511972171","3"
"At least once a month","1985","Berlin","Employed","19","","","","3"
"At least once a month","1985","Berlin","Not Employed","4","","","","3"
"At least once a month","1985","Brandenburg","Not Employed","","","","","3"
"At least once a month","1985","Brandenburg","Employed","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","Employed","","","","","3"
"At least once a month","1985","Saxony","Not Employed","","","","","3"
"At least once a month","1985","Saxony","Employed","","","","","3"
"Several times a year","1985","Schleswig-Holstein","Employed","35","0.170255242400343","0.120015041623716","0.220495443176971","2"
"Several times a year","1985","Hamburg","Not Employed","5","","","","2"
"Several times a year","1985","Hamburg","Employed","20","","","","2"
"Several times a year","1985","Lower Saxony","Not Employed","49","0.0896463237740979","0.0639287355896617","0.115363911958534","2"
"Several times a year","1985","Lower Saxony","Employed","93","0.154391832594538","0.125904577859689","0.182879087329387","2"
"Several times a year","1985","Schleswig-Holstein","Not Employed","13","","","","2"
"Several times a year","1985","North Rhine-Westphalia","Employed","283","0.165067466512397","0.147698820443115","0.182436112581679","2"
"Several times a year","1985","Bremen","Not Employed","5","","","","2"
"Several times a year","1985","North Rhine-Westphalia","Not Employed","113","0.0881927553589188","0.0720606627523186","0.104324847965519","2"
"Several times a year","1985","Bremen","Employed","13","","","","2"
"Several times a year","1985","Hesse","Not Employed","34","0.0610039616169008","0.0380598709747567","0.0839480522590449","2"
"Several times a year","1985","Hesse","Employed","99","0.152502492525552","0.125870310113704","0.179134674937399","2"
"Several times a year","1985","Rhineland-Palatinate,Saarland","Not Employed","29","","","","2"
"Several times a year","1985","Rhineland-Palatinate,Saarland","Employed","73","0.181670244542303","0.145436807335064","0.217903681749542","2"
"Several times a year","1985","Baden-Württemberg","Not Employed","48","0.0606960159851317","0.042683292610578","0.0787087393596854","2"
"Several times a year","1985","Baden-Württemberg","Employed","201","0.169265027305271","0.149357605069923","0.189172449540619","2"
"Several times a year","1985","Bavaria","Not Employed","72","0.0871994788645715","0.0655935806686307","0.108805377060512","2"
"Several times a year","1985","Bavaria","Employed","197","0.164965958955826","0.144291363193521","0.185640554718131","2"
"Several times a year","1985","Berlin","Not Employed","8","","","","2"
"Several times a year","1985","Berlin","Employed","43","0.175347631961317","0.127536352922145","0.22315891100049","2"
"Several times a year","1985","Brandenburg","Not Employed","","","","","2"
"Several times a year","1985","Brandenburg","Employed","","","","","2"
"Several times a year","1985","Mecklenburg-Western Pomerania","Not Employed","","","","","2"
"Several times a year","1985","Mecklenburg-Western Pomerania","Employed","","","","","2"
"Several times a year","1985","Saxony-Anhalt","Employed","","","","","2"
"Several times a year","1985","Thuringia","Employed","","","","","2"
"Several times a year","1985","Saxony","Not Employed","","","","","2"
"Several times a year","1985","Thuringia","Not Employed","","","","","2"
"Several times a year","1985","Saxony","Employed","","","","","2"
"Several times a year","1985","Saxony-Anhalt","Not Employed","","","","","2"
"Almost never or never","1986","Schleswig-Holstein","Not Employed","71","0.710259455809725","0.623900316314347","0.796618595305103","1"
"Almost never or never","1986","Schleswig-Holstein","Employed","107","0.477117552179693","0.410197552072172","0.544037552287213","1"
"Almost never or never","1986","Hamburg","Not Employed","76","0.783974695226378","0.703716250447703","0.864233140005052","1"
"Almost never or never","1986","Hamburg","Employed","67","0.371171497760055","0.29385790056164","0.448485094958469","1"
"Almost never or never","1986","Lower Saxony","Not Employed","295","0.693202888114914","0.651059932534957","0.735345843694871","1"
"Almost never or never","1986","Lower Saxony","Employed","316","0.481483852506438","0.442803441290552","0.520164263722324","1"
"Almost never or never","1986","Bremen","Not Employed","46","0.743612125419723","0.631240654246328","0.855983596593119","1"
"Almost never or never","1986","Bremen","Employed","29","","","","1"
"Almost never or never","1986","North Rhine-Westphalia","Not Employed","755","0.690948023675132","0.664158596470848","0.717737450879417","1"
"Almost never or never","1986","North Rhine-Westphalia","Employed","877","0.473777971900638","0.45002865118347","0.497527292617807","1"
"Almost never or never","1986","Hesse","Not Employed","263","0.731337154278487","0.686651840163485","0.776022468393488","1"
"Almost never or never","1986","Hesse","Employed","391","0.511184950285313","0.473106399600824","0.549263500969801","1"
"Almost never or never","1986","Rhineland-Palatinate,Saarland","Not Employed","243","0.809781636149526","0.766301979583288","0.853261292715764","1"
"Almost never or never","1986","Rhineland-Palatinate,Saarland","Employed","250","0.508850574616864","0.462814218088663","0.554886931145064","1"
"Almost never or never","1986","Baden-Württemberg","Not Employed","443","0.724541986379146","0.689794714470441","0.759289258287852","1"
"Almost never or never","1986","Baden-Württemberg","Employed","755","0.499721926029975","0.473079784571338","0.526364067488612","1"
"Almost never or never","1986","Bavaria","Not Employed","396","0.740550846901832","0.704939354955089","0.776162338848576","1"
"Almost never or never","1986","Bavaria","Employed","544","0.426208279331949","0.397992297499517","0.454424261164382","1"
"Almost never or never","1986","Berlin","Not Employed","83","0.827822090438976","0.75727014894282","0.898374031935132","1"
"Almost never or never","1986","Berlin","Employed","131","0.525929624361294","0.462757177904157","0.589102070818431","1"
"Almost never or never","1986","Brandenburg","Not Employed","","","","","1"
"Almost never or never","1986","Brandenburg","Employed","","","","","1"
"Almost never or never","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","1"
"Almost never or never","1986","Mecklenburg-Western Pomerania","Employed","","","","","1"
"Almost never or never","1986","Saxony","Not Employed","","","","","1"
"Almost never or never","1986","Saxony","Employed","","","","","1"
"Almost never or never","1986","Saxony-Anhalt","Not Employed","","","","","1"
"Almost never or never","1986","Saxony-Anhalt","Employed","","","","","1"
"Almost never or never","1986","Thuringia","Not Employed","","","","","1"
"Almost never or never","1986","Thuringia","Employed","","","","","1"
"At lease once a week","1986","Schleswig-Holstein","Not Employed","24","","","","4"
"At lease once a week","1986","Hamburg","Not Employed","12","","","","4"
"At lease once a week","1986","Schleswig-Holstein","Employed","59","0.289293846352485","0.228542509366324","0.350045183338645","4"
"At lease once a week","1986","Hamburg","Employed","50","0.375417960652002","0.297926342408916","0.452909578895088","4"
"At lease once a week","1986","Baden-Württemberg","Not Employed","124","0.176606800541524","0.146946975992361","0.206266625090687","4"
"At lease once a week","1986","Baden-Württemberg","Employed","304","0.247838272642214","0.224832384964621","0.270844160319808","4"
"At lease once a week","1986","Rhineland-Palatinate,Saarland","Employed","110","0.259612910883313","0.219239861608961","0.299985960157665","4"
"At lease once a week","1986","Bavaria","Not Employed","124","0.17246094932367","0.141768875559748","0.203153023087593","4"
"At lease once a week","1986","Lower Saxony","Not Employed","115","0.21049316932999","0.173239751393447","0.247746587266532","4"
"At lease once a week","1986","Lower Saxony","Employed","181","0.301374686263096","0.265852914398557","0.336896458127635","4"
"At lease once a week","1986","Bremen","Not Employed","8","","","","4"
"At lease once a week","1986","Bremen","Employed","6","","","","4"
"At lease once a week","1986","North Rhine-Westphalia","Not Employed","229","0.187307186881422","0.164688603248449","0.209925770514396","4"
"At lease once a week","1986","North Rhine-Westphalia","Employed","482","0.315060590049896","0.292965164683277","0.337156015416516","4"
"At lease once a week","1986","Hesse","Not Employed","91","0.216049110046062","0.174561075535187","0.257537144556937","4"
"At lease once a week","1986","Hesse","Employed","157","0.276466666575201","0.24239685306231","0.310536480088092","4"
"At lease once a week","1986","Rhineland-Palatinate,Saarland","Not Employed","42","0.114401892015795","0.0791395733552098","0.14966421067638","4"
"At lease once a week","1986","Bavaria","Employed","355","0.33295239798267","0.306063278896347","0.359841517068993","4"
"At lease once a week","1986","Berlin","Not Employed","16","","","","4"
"At lease once a week","1986","Berlin","Employed","54","0.267818754445191","0.211794993092931","0.323842515797451","4"
"At lease once a week","1986","Brandenburg","Not Employed","","","","","4"
"At lease once a week","1986","Brandenburg","Employed","","","","","4"
"At lease once a week","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","4"
"At lease once a week","1986","Mecklenburg-Western Pomerania","Employed","","","","","4"
"At lease once a week","1986","Saxony","Not Employed","","","","","4"
"At lease once a week","1986","Saxony","Employed","","","","","4"
"At lease once a week","1986","Saxony-Anhalt","Not Employed","","","","","4"
"At lease once a week","1986","Saxony-Anhalt","Employed","","","","","4"
"At lease once a week","1986","Thuringia","Not Employed","","","","","4"
"At lease once a week","1986","Thuringia","Employed","","","","","4"
"At least once a month","1986","Lower Saxony","Not Employed","16","","","","3"
"At least once a month","1986","Lower Saxony","Employed","42","0.061316731611856","0.0427443279873274","0.0798891352363847","3"
"At least once a month","1986","Hamburg","Employed","14","","","","3"
"At least once a month","1986","Schleswig-Holstein","Not Employed","2","","","","3"
"At least once a month","1986","Schleswig-Holstein","Employed","14","","","","3"
"At least once a month","1986","Hamburg","Not Employed","5","","","","3"
"At least once a month","1986","Bremen","Not Employed","1","","","","3"
"At least once a month","1986","Bremen","Employed","5","","","","3"
"At least once a month","1986","North Rhine-Westphalia","Not Employed","44","0.0325460404066727","0.0222590293011511","0.0428330515121943","3"
"At least once a month","1986","North Rhine-Westphalia","Employed","100","0.0628452635603652","0.0513021976288328","0.0743883294918977","3"
"At least once a month","1986","Hesse","Employed","29","","","","3"
"At least once a month","1986","Hesse","Not Employed","7","","","","3"
"At least once a month","1986","Rhineland-Palatinate,Saarland","Not Employed","8","","","","3"
"At least once a month","1986","Rhineland-Palatinate,Saarland","Employed","35","0.0865177400202563","0.0606295533142159","0.112405926726297","3"
"At least once a month","1986","Baden-Württemberg","Not Employed","24","","","","3"
"At least once a month","1986","Thuringia","Not Employed","","","","","3"
"At least once a month","1986","Thuringia","Employed","","","","","3"
"At least once a month","1986","Saxony-Anhalt","Employed","","","","","3"
"At least once a month","1986","Baden-Württemberg","Employed","87","0.0674807260082915","0.0541142176476764","0.0808472343689066","3"
"At least once a month","1986","Bavaria","Not Employed","23","","","","3"
"At least once a month","1986","Berlin","Not Employed","4","","","","3"
"At least once a month","1986","Bavaria","Employed","86","0.0757781993226982","0.0606785336266823","0.0908778650187142","3"
"At least once a month","1986","Berlin","Employed","21","","","","3"
"At least once a month","1986","Brandenburg","Not Employed","","","","","3"
"At least once a month","1986","Mecklenburg-Western Pomerania","Not Employed","","","","","3"
"At least once a month","1986","Brandenburg","Employed","","","","","3"
"At least once a month","1986","Mecklenburg-Western Pomerania","Employed","","","","","3"
"At least once a month","1986","Saxony","Not Employed","","","","","3"
"At least once a month","1986","Saxony","Employed","","","","","3"
"At least once a month","1986","Saxony-Anhalt","Not Employed","","","","","3"
"Several times a year","1986","Schleswig-Holstein","Not Employed","9","","","","2"
"Several times a year","1986","Hamburg","Not Employed","8","","","","2"
"Several times a year","1986","Hamburg","Employed","19","","","","2"
"Several times a year","1986","Lower Saxony","Employed","102","0.15582472961861","0.127747543552156","0.183901915685065","2"
"Several times a year","1986","Schleswig-Holstein","Employed","34","0.162469798804713","0.113046951273237","0.211892646336189","2"
"Several times a year","1986","Lower Saxony","Not Employed","34","0.0612085506582147","0.03930271698271","0.0831143843337195","2"
"Several times a year","1986","North Rhine-Westphalia","Not Employed","115","0.0891987490367726","0.0726747117278827","0.105722786345663","2"
"Several times a year","1986","Bremen","Not Employed","3","","","","2"
