"m11104","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Several times a year","1985","no migration background","Urban Area","864","0.13354352828426","0.124934985179456","0.142152071389064","2"
"Several times a year","1985","indirect migration background","Urban Area","27","","","","2"
"Several times a year","1985","indirect migration background","Rural Area","1","","","","2"
"Almost never or never","1986","no migration background","Urban Area","3058","0.564977377997695","0.552173368076523","0.577781387918866","1"
"Almost never or never","1986","no migration background","Rural Area","1012","0.59567579980624","0.572902785846182","0.618448813766297","1"
"Almost never or never","1986","direct migration background","Urban Area","1783","0.691998192716046","0.673809997708328","0.710186387723764","1"
"Almost never or never","1986","direct migration background","Rural Area","226","0.608586323116844","0.557743980552432","0.659428665681255","1"
"Almost never or never","1986","indirect migration background","Urban Area","51","0.457128499030169","0.373405204955154","0.540851793105184","1"
"Almost never or never","1986","indirect migration background","Rural Area","8","","","","1"
"At lease once a week","1986","no migration background","Urban Area","1610","0.25903539060718","0.247720435475661","0.2703503457387","4"
"At lease once a week","1986","no migration background","Rural Area","450","0.237545812305089","0.217797443354706","0.257294181255471","4"
"At lease once a week","1986","direct migration background","Urban Area","364","0.164168468883932","0.149574791591512","0.178762146176352","4"
"At lease once a week","1986","indirect migration background","Urban Area","54","0.349087901474877","0.268974124421561","0.429201678528194","4"
"At lease once a week","1986","direct migration background","Rural Area","59","0.193958668810463","0.152769814386707","0.23514752323422","4"
"At lease once a week","1986","indirect migration background","Rural Area","6","","","","4"
"At least once a month","1986","no migration background","Urban Area","335","0.0541227578564834","0.0482791387675888","0.059966376945378","3"
"At least once a month","1986","no migration background","Rural Area","96","0.0496907984438856","0.0396070704821563","0.0597745264056148","3"
"At least once a month","1986","direct migration background","Urban Area","104","0.0478191605150383","0.0394125450536171","0.0562257759764595","3"
"At least once a month","1986","direct migration background","Rural Area","20","","","","3"
"At least once a month","1986","indirect migration background","Urban Area","10","","","","3"
"At least once a month","1986","indirect migration background","Rural Area","2","","","","3"
"Several times a year","1986","no migration background","Rural Area","226","0.117087589444786","0.102167723904524","0.132007454985048","2"
"Several times a year","1986","no migration background","Urban Area","756","0.121864473538641","0.113415695827504","0.130313251249779","2"
"Several times a year","1986","direct migration background","Rural Area","49","0.133327614854987","0.0979169570586783","0.168738272651296","2"
"Several times a year","1986","direct migration background","Urban Area","224","0.0960141778849842","0.0844074719124803","0.107620883857488","2"
"Several times a year","1986","indirect migration background","Urban Area","21","","","","2"
"Several times a year","1986","indirect migration background","Rural Area","3","","","","2"
"Almost never or never","1987","no migration background","Urban Area","","","","","1"
"Almost never or never","1987","no migration background","Rural Area","","","","","1"
"Almost never or never","1987","direct migration background","Urban Area","","","","","1"
"Almost never or never","1987","direct migration background","Rural Area","","","","","1"
"Almost never or never","1987","indirect migration background","Urban Area","","","","","1"
"Almost never or never","1987","indirect migration background","Rural Area","","","","","1"
"At lease once a week","1987","no migration background","Urban Area","","","","","4"
"At lease once a week","1987","no migration background","Rural Area","","","","","4"
"At lease once a week","1987","direct migration background","Urban Area","","","","","4"
"At lease once a week","1987","indirect migration background","Urban Area","","","","","4"
"At lease once a week","1987","direct migration background","Rural Area","","","","","4"
"At lease once a week","1987","indirect migration background","Rural Area","","","","","4"
"At least once a month","1987","no migration background","Urban Area","","","","","3"
"At least once a month","1987","no migration background","Rural Area","","","","","3"
"At least once a month","1987","direct migration background","Rural Area","","","","","3"
"At least once a month","1987","direct migration background","Urban Area","","","","","3"
"At least once a month","1987","indirect migration background","Urban Area","","","","","3"
"At least once a month","1987","indirect migration background","Rural Area","","","","","3"
"Several times a year","1987","no migration background","Urban Area","","","","","2"
"Several times a year","1987","direct migration background","Rural Area","","","","","2"
"Several times a year","1987","no migration background","Rural Area","","","","","2"
"Several times a year","1987","direct migration background","Urban Area","","","","","2"
"Several times a year","1987","indirect migration background","Urban Area","","","","","2"
"Several times a year","1987","indirect migration background","Rural Area","","","","","2"
"Almost never or never","1988","no migration background","Urban Area","2762","0.545669499139773","0.532378298580094","0.558960699699451","1"
"Almost never or never","1988","no migration background","Rural Area","868","0.557392699159434","0.533375672842315","0.581409725476553","1"
"Almost never or never","1988","direct migration background","Urban Area","1721","0.708451675689362","0.689990175300142","0.726913176078582","1"
"Almost never or never","1988","direct migration background","Rural Area","213","0.586217939426934","0.533240077093083","0.639195801760784","1"
"Almost never or never","1988","indirect migration background","Urban Area","69","0.52056605999461","0.450085110049253","0.591047009939968","1"
"Almost never or never","1988","indirect migration background","Rural Area","10","","","","1"
"At lease once a week","1988","no migration background","Urban Area","1534","0.266538739289132","0.254736017096329","0.278341461481936","4"
"At lease once a week","1988","no migration background","Rural Area","411","0.230334410839303","0.209975255475578","0.250693566203027","4"
"At lease once a week","1988","direct migration background","Urban Area","327","0.157716902954799","0.142911345434732","0.172522460474867","4"
"At lease once a week","1988","direct migration background","Rural Area","62","0.252107999102957","0.205399941614052","0.298816056591863","4"
"At lease once a week","1988","indirect migration background","Urban Area","77","0.279487391635764","0.216177533653768","0.342797249617761","4"
"At lease once a week","1988","indirect migration background","Rural Area","8","","","","4"
"At least once a month","1988","no migration background","Urban Area","326","0.0554703515349775","0.0493602042137994","0.0615804988561555","3"
"At least once a month","1988","no migration background","Rural Area","92","0.0562431059509808","0.0451028793230138","0.0673833325789478","3"
"At least once a month","1988","direct migration background","Rural Area","20","","","","3"
"At least once a month","1988","direct migration background","Urban Area","65","0.0268076502850312","0.020246419395446","0.0333688811746164","3"
"At least once a month","1988","indirect migration background","Urban Area","14","","","","3"
"At least once a month","1988","indirect migration background","Rural Area","4","","","","3"
"Several times a year","1988","no migration background","Rural Area","272","0.156029784050282","0.138483036684712","0.173576531415852","2"
"Several times a year","1988","direct migration background","Urban Area","215","0.107023771070808","0.0944658810033531","0.119581661138262","2"
"Several times a year","1988","no migration background","Urban Area","769","0.132321410036117","0.123276423476817","0.141366396595418","2"
"Several times a year","1988","direct migration background","Rural Area","37","0.112236543364789","0.0782822401486543","0.146190846580924","2"
"Several times a year","1988","indirect migration background","Urban Area","33","0.135974775738852","0.0876175003991803","0.184332051078524","2"
"Several times a year","1988","indirect migration background","Rural Area","6","","","","2"
"Almost never or never","1989","no migration background","Urban Area","","","","","1"
"Almost never or never","1989","no migration background","Rural Area","","","","","1"
"Almost never or never","1989","direct migration background","Urban Area","","","","","1"
"Almost never or never","1989","direct migration background","Rural Area","","","","","1"
"Almost never or never","1989","indirect migration background","Urban Area","","","","","1"
"Almost never or never","1989","indirect migration background","Rural Area","","","","","1"
"At lease once a week","1989","no migration background","Urban Area","","","","","4"
"At lease once a week","1989","no migration background","Rural Area","","","","","4"
"At lease once a week","1989","direct migration background","Urban Area","","","","","4"
"At lease once a week","1989","indirect migration background","Urban Area","","","","","4"
"At lease once a week","1989","direct migration background","Rural Area","","","","","4"
"At lease once a week","1989","indirect migration background","Rural Area","","","","","4"
"At least once a month","1989","no migration background","Rural Area","","","","","3"
"At least once a month","1989","no migration background","Urban Area","","","","","3"
"At least once a month","1989","direct migration background","Rural Area","","","","","3"
"At least once a month","1989","direct migration background","Urban Area","","","","","3"
"At least once a month","1989","indirect migration background","Urban Area","","","","","3"
"At least once a month","1989","indirect migration background","Rural Area","","","","","3"
"Several times a year","1989","no migration background","Urban Area","","","","","2"
"Several times a year","1989","no migration background","Rural Area","","","","","2"
"Several times a year","1989","direct migration background","Rural Area","","","","","2"
"Several times a year","1989","direct migration background","Urban Area","","","","","2"
"Several times a year","1989","indirect migration background","Urban Area","","","","","2"
"Several times a year","1989","indirect migration background","Rural Area","","","","","2"
"Almost never or never","1990","no migration background","Urban Area","2893","0.43828744656057","0.426258470791613","0.450316422329527","1"
"Almost never or never","1990","no migration background","Rural Area","2463","0.540765496397229","0.525685409280118","0.55584558351434","1"
"Almost never or never","1990","direct migration background","Urban Area","1459","0.591642435937673","0.571359608122619","0.611925263752727","1"
"Almost never or never","1990","direct migration background","Rural Area","251","0.588293199662135","0.540003714241034","0.636582685083237","1"
"Almost never or never","1990","indirect migration background","Urban Area","79","0.335754534459842","0.278129197148592","0.393379871771092","1"
"Almost never or never","1990","indirect migration background","Rural Area","12","","","","1"
"At lease once a week","1990","no migration background","Urban Area","1871","0.291678348380402","0.280658910932144","0.302697785828661","4"
"At lease once a week","1990","no migration background","Rural Area","751","0.2048368146595","0.192624042706698","0.217049586612301","4"
"At lease once a week","1990","direct migration background","Urban Area","361","0.194415595330716","0.178085090208549","0.210746100452884","4"
"At lease once a week","1990","indirect migration background","Urban Area","102","0.322329809144701","0.265300558536801","0.3793590597526","4"
"At lease once a week","1990","direct migration background","Rural Area","73","0.201412895905591","0.162060930619888","0.240764861191294","4"
"At lease once a week","1990","indirect migration background","Rural Area","11","","","","4"
"At least once a month","1990","no migration background","Urban Area","518","0.0819089991915747","0.0752608501941918","0.0885571481889577","3"
"At least once a month","1990","no migration background","Rural Area","236","0.067218103879214","0.0596407897591008","0.0747954179993272","3"
"At least once a month","1990","direct migration background","Rural Area","27","","","","3"
"At least once a month","1990","direct migration background","Urban Area","126","0.0567328048192776","0.047186989313243","0.0662786203253123","3"
"At least once a month","1990","indirect migration background","Urban Area","38","0.13129698894418","0.0900871151314374","0.172506862756923","3"
"At least once a month","1990","indirect migration background","Rural Area","4","","","","3"
"Several times a year","1990","no migration background","Rural Area","745","0.187179585064057","0.175376143616849","0.198983026511265","2"
"Several times a year","1990","no migration background","Urban Area","1254","0.188125205867453","0.178650623133143","0.197599788601763","2"
"Several times a year","1990","direct migration background","Urban Area","310","0.157209163912333","0.142188906527505","0.172229421297161","2"
"Several times a year","1990","direct migration background","Rural Area","48","0.146017286677134","0.111368476958917","0.180666096395352","2"
"Several times a year","1990","indirect migration background","Urban Area","39","0.210618667451277","0.160864427725075","0.260372907177479","2"
"Several times a year","1990","indirect migration background","Rural Area","11","","","","2"
"Almost never or never","1991","no migration background","Urban Area","","","","","1"
"Almost never or never","1991","no migration background","Rural Area","","","","","1"
"Almost never or never","1991","direct migration background","Urban Area","","","","","1"
"Almost never or never","1991","direct migration background","Rural Area","","","","","1"
"Almost never or never","1991","indirect migration background","Urban Area","","","","","1"
"Almost never or never","1991","indirect migration background","Rural Area","","","","","1"
"At lease once a week","1991","no migration background","Urban Area","","","","","4"
"At lease once a week","1991","no migration background","Rural Area","","","","","4"
"At lease once a week","1991","indirect migration background","Urban Area","","","","","4"
"At lease once a week","1991","direct migration background","Urban Area","","","","","4"
"At lease once a week","1991","direct migration background","Rural Area","","","","","4"
"At lease once a week","1991","indirect migration background","Rural Area","","","","","4"
"At least once a month","1991","no migration background","Rural Area","","","","","3"
"At least once a month","1991","no migration background","Urban Area","","","","","3"
"At least once a month","1991","direct migration background","Urban Area","","","","","3"
"At least once a month","1991","direct migration background","Rural Area","","","","","3"
"At least once a month","1991","indirect migration background","Urban Area","","","","","3"
"At least once a month","1991","indirect migration background","Rural Area","","","","","3"
"Several times a year","1991","no migration background","Urban Area","","","","","2"
"Several times a year","1991","no migration background","Rural Area","","","","","2"
"Several times a year","1991","direct migration background","Rural Area","","","","","2"
"Several times a year","1991","direct migration background","Urban Area","","","","","2"
"Several times a year","1991","indirect migration background","Urban Area","","","","","2"
"Several times a year","1991","indirect migration background","Rural Area","","","","","2"
"Almost never or never","1992","no migration background","Urban Area","3131","0.515004146204608","0.502570984158904","0.527437308250313","1"
"Almost never or never","1992","no migration background","Rural Area","2358","0.597852979021901","0.582495625694962","0.61321033234884","1"
"Almost never or never","1992","direct migration background","Urban Area","1483","0.675820870791173","0.655853894611216","0.695787846971129","1"
"Almost never or never","1992","direct migration background","Rural Area","249","0.581683423394223","0.533037615058987","0.630329231729458","1"
"Almost never or never","1992","indirect migration background","Urban Area","91","0.331276077681388","0.281610326210091","0.380941829152684","1"
"Almost never or never","1992","indirect migration background","Rural Area","17","","","","1"
"At lease once a week","1992","no migration background","Urban Area","1573","0.254967939079136","0.24412523796945","0.265810640188821","4"
"At lease once a week","1992","no migration background","Rural Area","676","0.192074134458534","0.17973607246812","0.204412196448948","4"
"At lease once a week","1992","direct migration background","Urban Area","293","0.158776888746449","0.143186633842798","0.174367143650099","4"
"At lease once a week","1992","indirect migration background","Urban Area","148","0.397824950616787","0.346177851813283","0.449472049420291","4"
"At lease once a week","1992","direct migration background","Rural Area","67","0.209107857302064","0.169003334819892","0.249212379784236","4"
"At lease once a week","1992","indirect migration background","Rural Area","14","","","","4"
"At least once a month","1992","no migration background","Rural Area","183","0.0482862498230891","0.0415720902318337","0.0550004094143444","3"
"At least once a month","1992","no migration background","Urban Area","428","0.0696887316240594","0.0633543731241275","0.0760230901239913","3"
"At least once a month","1992","direct migration background","Urban Area","87","0.0414257429931125","0.0329250954748499","0.0499263905113751","3"
"At least once a month","1992","direct migration background","Rural Area","18","","","","3"
"At least once a month","1992","indirect migration background","Urban Area","40","0.0797273016801891","0.0511447929076342","0.108309810452744","3"
"At least once a month","1992","indirect migration background","Rural Area","7","","","","3"
"Several times a year","1992","no migration background","Rural Area","699","0.161786636696476","0.150252758439605","0.173320514953347","2"
"Several times a year","1992","no migration background","Urban Area","1075","0.160339183092197","0.151211112391929","0.169467253792465","2"
"Several times a year","1992","direct migration background","Urban Area","248","0.123976497469266","0.109918238649445","0.138034756289087","2"
"Several times a year","1992","direct migration background","Rural Area","61","0.164029666949975","0.127511734790837","0.200547599109113","2"
"Several times a year","1992","indirect migration background","Urban Area","66","0.191171670021636","0.149678321134821","0.232665018908451","2"
"Several times a year","1992","indirect migration background","Rural Area","16","","","","2"
"Almost never or never","1993","no migration background","Urban Area","","","","","1"
"Almost never or never","1993","no migration background","Rural Area","","","","","1"
"Almost never or never","1993","direct migration background","Urban Area","","","","","1"
"Almost never or never","1993","direct migration background","Rural Area","","","","","1"
"Almost never or never","1993","indirect migration background","Urban Area","","","","","1"
"Almost never or never","1993","indirect migration background","Rural Area","","","","","1"
"At lease once a week","1993","no migration background","Urban Area","","","","","4"
"At lease once a week","1993","no migration background","Rural Area","","","","","4"
"At lease once a week","1993","direct migration background","Urban Area","","","","","4"
"At lease once a week","1993","direct migration background","Rural Area","","","","","4"
"At lease once a week","1993","indirect migration background","Urban Area","","","","","4"
"At lease once a week","1993","indirect migration background","Rural Area","","","","","4"
"At least once a month","1993","no migration background","Rural Area","","","","","3"
"At least once a month","1993","no migration background","Urban Area","","","","","3"
"At least once a month","1993","direct migration background","Rural Area","","","","","3"
"At least once a month","1993","direct migration background","Urban Area","","","","","3"
"At least once a month","1993","indirect migration background","Urban Area","","","","","3"
"At least once a month","1993","indirect migration background","Rural Area","","","","","3"
"Several times a year","1993","no migration background","Urban Area","","","","","2"
"Several times a year","1993","no migration background","Rural Area","","","","","2"
"Several times a year","1993","direct migration background","Urban Area","","","","","2"
"Several times a year","1993","direct migration background","Rural Area","","","","","2"
"Several times a year","1993","indirect migration background","Urban Area","","","","","2"
"Several times a year","1993","indirect migration background","Rural Area","","","","","2"
"Almost never or never","1994","no migration background","Urban Area","3062","0.509563066922414","0.497019006596705","0.522107127248122","1"
"Almost never or never","1994","no migration background","Rural Area","2241","0.585710385018776","0.570048292741575","0.601372477295978","1"
"Almost never or never","1994","direct migration background","Urban Area","1345","0.652231895460811","0.631222168547708","0.673241622373915","1"
"Almost never or never","1994","direct migration background","Rural Area","233","0.596508536756385","0.546452044257777","0.646565029254994","1"
"Almost never or never","1994","indirect migration background","Urban Area","116","0.281194149203833","0.238197720189383","0.324190578218283","1"
"Almost never or never","1994","indirect migration background","Rural Area","12","","","","1"
"At lease once a week","1994","no migration background","Rural Area","672","0.188362286966724","0.175930476529247","0.200794097404202","4"
"At lease once a week","1994","no migration background","Urban Area","1506","0.253065881318184","0.242156364255882","0.263975398380486","4"
"At lease once a week","1994","direct migration background","Urban Area","253","0.160674216925094","0.144474295987792","0.176874137862397","4"
"At lease once a week","1994","direct migration background","Rural Area","52","0.193101827454652","0.152826649705748","0.233377005203556","4"
"At lease once a week","1994","indirect migration background","Urban Area","156","0.344049198375666","0.29861641390502","0.389481982846312","4"
"At lease once a week","1994","indirect migration background","Rural Area","22","","","","4"
"At least once a month","1994","no migration background","Urban Area","408","0.0631039401582721","0.0570026521895098","0.0692052281270343","3"
"At least once a month","1994","no migration background","Rural Area","200","0.0550095119444623","0.047760331551058","0.0622586923378666","3"
"At least once a month","1994","direct migration background","Urban Area","86","0.04212177649223","0.0332607709832841","0.050982782001176","3"
"At least once a month","1994","direct migration background","Rural Area","21","","","","3"
"At least once a month","1994","indirect migration background","Urban Area","52","0.0877932379206458","0.0607286996197102","0.114857776221581","3"
"At least once a month","1994","indirect migration background","Rural Area","11","","","","3"
"Several times a year","1994","no migration background","Urban Area","1125","0.17426711160113","0.164748467558392","0.183785755643867","2"
"Several times a year","1994","no migration background","Rural Area","687","0.170917816070037","0.158949067285801","0.182886564854273","2"
"Several times a year","1994","direct migration background","Rural Area","63","0.15647557743058","0.119406906073954","0.193544248787207","2"
"Several times a year","1994","direct migration background","Urban Area","290","0.144972111121864","0.129440844014982","0.160503378228747","2"
"Several times a year","1994","indirect migration background","Urban Area","96","0.286963414499855","0.243702806551252","0.330224022448459","2"
"Several times a year","1994","indirect migration background","Rural Area","23","","","","2"
"Almost never or never","1995","no migration background","Urban Area","2363","0.412203344918584","0.399820425223484","0.424586264613684","1"
"Almost never or never","1995","no migration background","Rural Area","1654","0.444198448732075","0.428600209758487","0.459796687705662","1"
"Almost never or never","1995","direct migration background","Urban Area","1473","0.570443336495035","0.550326498349086","0.590560174640984","1"
"Almost never or never","1995","direct migration background","Rural Area","271","0.503693747389917","0.458102103010536","0.549285391769298","1"
"Almost never or never","1995","indirect migration background","Urban Area","106","0.259107701609224","0.217933881410777","0.300281521807671","1"
"Almost never or never","1995","indirect migration background","Rural Area","17","","","","1"
"At lease once a week","1995","no migration background","Urban Area","1895","0.305926050825062","0.294333877985886","0.317518223664238","4"
"At lease once a week","1995","no migration background","Rural Area","919","0.244352090494714","0.230862618660322","0.257841562329106","4"
"At lease once a week","1995","direct migration background","Urban Area","371","0.204032134914193","0.187654910877546","0.22040935895084","4"
"At lease once a week","1995","direct migration background","Rural Area","82","0.283805102060546","0.242694596841254","0.324915607279838","4"
"At lease once a week","1995","indirect migration background","Urban Area","191","0.41131734198909","0.365075769535472","0.457558914442708","4"
"At lease once a week","1995","indirect migration background","Rural Area","27","","","","4"
"At least once a month","1995","no migration background","Rural Area","279","0.0690845484314306","0.0611234543797153","0.0770456424831458","3"
"At least once a month","1995","no migration background","Urban Area","481","0.0787394347602115","0.0719639381452327","0.0855149313751904","3"
"At least once a month","1995","direct migration background","Rural Area","31","0.0593170199012941","0.0377773814957857","0.0808566583068026","3"
"At least once a month","1995","direct migration background","Urban Area","108","0.0493107466725821","0.0405117466763032","0.0581097466688609","3"
"At least once a month","1995","indirect migration background","Urban Area","50","0.100447813739025","0.0721998668117961","0.128695760666253","3"
"At least once a month","1995","indirect migration background","Rural Area","11","","","","3"
"Several times a year","1995","no migration background","Rural Area","1046","0.242364912341781","0.228912750408772","0.25581707427479","2"
"Several times a year","1995","no migration background","Urban Area","1331","0.203131169496142","0.19300988925725","0.213252449735035","2"
"Several times a year","1995","direct migration background","Rural Area","78","0.153184130648243","0.120342214690589","0.186026046605897","2"
"Several times a year","1995","direct migration background","Urban Area","374","0.17621378191819","0.160730235768837","0.191697328067543","2"
"Several times a year","1995","indirect migration background","Urban Area","88","0.229127142662662","0.189632961923415","0.268621323401909","2"
"Several times a year","1995","indirect migration background","Rural Area","20","","","","2"
"Almost never or never","1996","no migration background","Urban Area","2675","0.460874705248832","0.44827038527244","0.473479025225223","1"
"Almost never or never","1996","no migration background","Rural Area","1978","0.512850089910159","0.497088055607876","0.528612124212443","1"
"Almost never or never","1996","direct migration background","Rural Area","277","0.57724802041411","0.531246701990329","0.623249338837892","1"
"Almost never or never","1996","direct migration background","Urban Area","1428","0.611129912185588","0.590580978726004","0.631678845645172","1"
"Almost never or never","1996","indirect migration background","Rural Area","17","","","","1"
"Almost never or never","1996","indirect migration background","Urban Area","132","0.259846492951441","0.219638784563879","0.300054201339002","1"
"At lease once a week","1996","no migration background","Rural Area","772","0.214700804623894","0.201752284109007","0.227649325138781","4"
"At lease once a week","1996","no migration background","Urban Area","1617","0.268574386811761","0.257367099449235","0.279781674174287","4"
"At lease once a week","1996","direct migration background","Urban Area","274","0.165186255990849","0.149533097002417","0.180839414979281","4"
"At lease once a week","1996","direct migration background","Rural Area","54","0.151452691574196","0.118069891926338","0.184835491222054","4"
"At lease once a week","1996","indirect migration background","Urban Area","145","0.335106504972765","0.291829473613383","0.378383536332148","4"
"At lease once a week","1996","indirect migration background","Rural Area","30","0.47485645783521","0.369924287971314","0.579788627699107","4"
"At least once a month","1996","no migration background","Urban Area","462","0.0726586604682457","0.0660949920595755","0.0792223288769158","3"
"At least once a month","1996","no migration background","Rural Area","240","0.0615056847564237","0.0539293494141143","0.069082020098733","3"
"At least once a month","1996","direct migration background","Urban Area","114","0.0598926533434722","0.0498904484618589","0.0698948582250855","3"
"At least once a month","1996","direct migration background","Rural Area","32","0.092439531001598","0.0654675478299399","0.119411514173256","3"
"At least once a month","1996","indirect migration background","Urban Area","61","0.141619604255649","0.109653362885538","0.17358584562576","3"
"At least once a month","1996","indirect migration background","Rural Area","12","","","","3"
"Several times a year","1996","no migration background","Rural Area","873","0.210943420709523","0.1980780352737","0.223808806145346","2"
"Several times a year","1996","no migration background","Urban Area","1254","0.197892247471162","0.18781797073925","0.207966524203074","2"
"Several times a year","1996","direct migration background","Urban Area","346","0.163791178480091","0.148191240475117","0.179391116485064","2"
"Several times a year","1996","direct migration background","Rural Area","80","0.178859757010095","0.143172660566463","0.214546853453728","2"
"Several times a year","1996","indirect migration background","Urban Area","119","0.263427397820145","0.223041639478459","0.303813156161831","2"
"Several times a year","1996","indirect migration background","Rural Area","28","","","","2"
"Almost never or never","1997","no migration background","Urban Area","2754","0.479284427176938","0.466550046730701","0.492018807623174","1"
"Almost never or never","1997","no migration background","Rural Area","1993","0.527322578075004","0.51149674595561","0.543148410194397","1"
"Almost never or never","1997","direct migration background","Rural Area","276","0.611379452325968","0.564762728892886","0.65799617575905","1"
"Almost never or never","1997","direct migration background","Urban Area","1407","0.648068002858474","0.627389610162625","0.668746395554324","1"
"Almost never or never","1997","indirect migration background","Rural Area","16","","","","1"
"Almost never or never","1997","indirect migration background","Urban Area","113","0.219239477849793","0.182380463914119","0.256098491785468","1"
"At lease once a week","1997","no migration background","Urban Area","1656","0.279108604628497","0.267674493416688","0.290542715840306","4"
"At lease once a week","1997","no migration background","Rural Area","768","0.221120972034117","0.207965818699249","0.234276125368986","4"
"At lease once a week","1997","direct migration background","Urban Area","275","0.166094436926804","0.14998007585075","0.182208798002859","4"
"At lease once a week","1997","direct migration background","Rural Area","48","0.167572602438934","0.13185369750717","0.203291507370697","4"
"At lease once a week","1997","indirect migration background","Urban Area","202","0.411768412963934","0.36792280510989","0.455614020817977","4"
"At lease once a week","1997","indirect migration background","Rural Area","23","","","","4"
"At least once a month","1997","no migration background","Rural Area","218","0.0571632695738447","0.0498042032134785","0.0645223359342109","3"
"At least once a month","1997","no migration background","Urban Area","375","0.0558449461522863","0.049991731141883","0.0616981611626896","3"
"At least once a month","1997","direct migration background","Rural Area","20","","","","3"
"At least once a month","1997","direct migration background","Urban Area","82","0.0479395270075744","0.0386892177664376","0.0571898362487113","3"
"At least once a month","1997","indirect migration background","Urban Area","52","0.103613916622676","0.0764631555414158","0.130764677703935","3"
"At least once a month","1997","indirect migration background","Rural Area","16","","","","3"
"Several times a year","1997","no migration background","Rural Area","844","0.194393180317034","0.181848834397557","0.206937526236512","2"
"Several times a year","1997","no migration background","Urban Area","1127","0.185762022042279","0.175848339203553","0.195675704881005","2"
"Several times a year","1997","direct migration background","Rural Area","76","0.18644289235073","0.149195970864486","0.223689813836975","2"
"Several times a year","1997","direct migration background","Urban Area","285","0.137898033207147","0.122968870001328","0.152827196412966","2"
"Several times a year","1997","indirect migration background","Urban Area","117","0.265378192563597","0.226042216201363","0.304714168925832","2"
"Several times a year","1997","indirect migration background","Rural Area","29","","","","2"
"Almost never or never","1998","no migration background","Urban Area","2543","0.387125421366751","0.375590504877768","0.398660337855734","1"
"Almost never or never","1998","no migration background","Rural Area","1745","0.417171021309878","0.402519551847791","0.431822490771965","1"
"Almost never or never","1998","direct migration background","Urban Area","1252","0.578034150981765","0.556373352633049","0.59969494933048","1"
"Almost never or never","1998","direct migration background","Rural Area","258","0.588934144713846","0.540896175764322","0.63697211366337","1"
"Almost never or never","1998","indirect migration background","Urban Area","121","0.21361758886219","0.177976444911591","0.249258732812788","1"
"Almost never or never","1998","indirect migration background","Rural Area","22","","","","1"
"At lease once a week","1998","no migration background","Urban Area","2231","0.329318643821115","0.318189312250409","0.340447975391822","4"
"At lease once a week","1998","no migration background","Rural Area","1139","0.267169683629752","0.254022011929859","0.280317355329645","4"
"At lease once a week","1998","direct migration background","Urban Area","292","0.188565838091374","0.171409791762687","0.205721884420061","4"
"At lease once a week","1998","direct migration background","Rural Area","61","0.198231940615563","0.159308899974087","0.237154981257038","4"
"At lease once a week","1998","indirect migration background","Urban Area","203","0.428379350098102","0.38534805140474","0.471410648791463","4"
"At lease once a week","1998","indirect migration background","Rural Area","24","","","","4"
"At least once a month","1998","no migration background","Urban Area","585","0.0829353972599191","0.0764045017520933","0.089466292767745","3"
"At least once a month","1998","no migration background","Rural Area","321","0.0674093983064651","0.0599593465142143","0.0748594500987158","3"
"At least once a month","1998","direct migration background","Rural Area","19","","","","3"
"At least once a month","1998","direct migration background","Urban Area","104","0.0545403788756053","0.0445808309297097","0.064499926821501","3"
