"plb0050","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2015","Rural Area","Male","","","","","2"
"Yes","2015","Urban Area","Male","","","","","1"
"Yes","2015","Urban Area","Female","","","","","1"
"Yes","2015","Rural Area","Male","","","","","1"
"Yes","2015","Rural Area","Female","","","","","1"
"No","2016","Rural Area","Female","1242","0.475321323941816","0.455595078940721","0.495047568942911","2"
"No","2016","Urban Area","Male","1936","0.433606082937964","0.418939776642899","0.448272389233028","2"
"No","2016","Urban Area","Female","2336","0.484352847698119","0.470127255525827","0.498578439870411","2"
"No","2016","Rural Area","Male","1101","0.46192365984463","0.441706566161289","0.482140753527971","2"
"Yes","2016","Urban Area","Female","2405","0.515647152301881","0.501421560129589","0.529872744474173","1"
"Yes","2016","Rural Area","Male","1235","0.53807634015537","0.517859246472029","0.558293433838711","1"
"Yes","2016","Rural Area","Female","1220","0.524678676058184","0.504952431057089","0.544404921059279","1"
"Yes","2016","Urban Area","Male","2450","0.566393917062036","0.551727610766972","0.581060223357101","1"
"No","2017","Rural Area","Female","","","","","2"
"No","2017","Urban Area","Male","","","","","2"
"No","2017","Urban Area","Female","","","","","2"
"No","2017","Rural Area","Male","","","","","2"
"Yes","2017","Urban Area","Female","","","","","1"
"Yes","2017","Rural Area","Male","","","","","1"
"Yes","2017","Rural Area","Female","","","","","1"
"Yes","2017","Urban Area","Male","","","","","1"
"No","2018","Urban Area","Male","","","","","2"
"No","2018","Urban Area","Female","","","","","2"
"No","2018","Rural Area","Male","","","","","2"
"No","2018","Rural Area","Female","","","","","2"
"Yes","2018","Urban Area","Female","","","","","1"
"Yes","2018","Rural Area","Female","","","","","1"
"Yes","2018","Urban Area","Male","","","","","1"
"Yes","2018","Rural Area","Male","","","","","1"
"No","2019","Urban Area","Male","2356","0.423585130709265","0.409478044768437","0.437692216650093","2"
"No","2019","Urban Area","Female","2380","0.47555476262189","0.461340718577685","0.489768806666095","2"
"No","2019","Rural Area","Male","1469","0.477772252858039","0.458832674875004","0.496711830841074","2"
"No","2019","Rural Area","Female","1400","0.4951516538585","0.476172903886085","0.514130403830916","2"
"Yes","2019","Urban Area","Female","2362","0.52444523737811","0.510231193333905","0.538659281422315","1"
"Yes","2019","Rural Area","Female","1266","0.504848346141499","0.485869596169084","0.523827096113915","1"
"Yes","2019","Urban Area","Male","2357","0.576414869290735","0.562307783349907","0.590521955231563","1"
"Yes","2019","Rural Area","Male","1203","0.522227747141961","0.503288169158926","0.541167325124996","1"
