"plb0050","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2019","inadequately","West Germany","77","0.48779240461948","0.404395665105575","0.571189144133385"
"No","2019","inadequately","East Germany","9","","",""
"No","2019","general elemantary","West Germany","571","0.573593679386915","0.542693248378563","0.604494110395267"
"No","2019","general elemantary","East Germany","116","0.712983842576664","0.643323821631231","0.782643863522097"
"No","2019","middle vocational","West Germany","2650","0.502644643194059","0.488828562484893","0.516460723903224"
"No","2019","middle vocational","East Germany","823","0.52963235733937","0.503861903033987","0.555402811644753"
"No","2019","vocational + Abi","West Germany","695","0.431820822933822","0.405686996953931","0.457954648913712"
"No","2019","vocational + Abi","East Germany","119","0.428936615769986","0.366190353798543","0.49168287774143"
"No","2019","higher vocational","West Germany","448","0.415608631049582","0.382555444765673","0.448661817333491"
"No","2019","higher vocational","East Germany","154","0.431862343435678","0.372558867356542","0.491165819514815"
"No","2019","higher education","West Germany","1619","0.351436316505521","0.336042705701742","0.366829927309301"
"No","2019","higher education","East Germany","478","0.373533411070463","0.343323902560851","0.403742919580075"
