"plb0050","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Yes","2003","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2003","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2003","1-pers.-HH","Male","","","","","1"
"Yes","2003","1-pers.-HH","Female","","","","","1"
"Yes","2003","(Married) couple without C. ","Male","","","","","1"
"Yes","2003","(Married) couple without C. ","Female","","","","","1"
"No","2004","Couple + C. GT 16 ","Male","","","","","2"
"No","2004","Couple + C. GT 16 ","Female","","","","","2"
"No","2004","1-pers.-HH","Male","","","","","2"
"No","2004","1-pers.-HH","Female","","","","","2"
"No","2004","(Married) couple without C. ","Male","","","","","2"
"No","2004","(Married) couple without C. ","Female","","","","","2"
"No","2004","Single parent ","Male","","","","","2"
"No","2004","Couple + C. LE 16 ","Male","","","","","2"
"No","2004","Couple + C. LE and GT 16","Male","","","","","2"
"No","2004","Single parent ","Female","","","","","2"
"No","2004","Couple + C. LE 16 ","Female","","","","","2"
"No","2004","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2004","Single parent ","Male","","","","","1"
"Yes","2004","Single parent ","Female","","","","","1"
"Yes","2004","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2004","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2004","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2004","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2004","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2004","1-pers.-HH","Male","","","","","1"
"Yes","2004","1-pers.-HH","Female","","","","","1"
"Yes","2004","(Married) couple without C. ","Male","","","","","1"
"Yes","2004","(Married) couple without C. ","Female","","","","","1"
"No","2005","1-pers.-HH","Female","","","","","2"
"No","2005","1-pers.-HH","Male","","","","","2"
"No","2005","(Married) couple without C. ","Male","","","","","2"
"No","2005","Couple + C. GT 16 ","Male","","","","","2"
"No","2005","Couple + C. GT 16 ","Female","","","","","2"
"No","2005","(Married) couple without C. ","Female","","","","","2"
"No","2005","Single parent ","Male","","","","","2"
"No","2005","Single parent ","Female","","","","","2"
"No","2005","Couple + C. LE 16 ","Male","","","","","2"
"No","2005","Couple + C. LE and GT 16","Male","","","","","2"
"No","2005","Couple + C. LE 16 ","Female","","","","","2"
"No","2005","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2005","Single parent ","Male","","","","","1"
"Yes","2005","1-pers.-HH","Male","","","","","1"
"Yes","2005","1-pers.-HH","Female","","","","","1"
"Yes","2005","(Married) couple without C. ","Male","","","","","1"
"Yes","2005","(Married) couple without C. ","Female","","","","","1"
"Yes","2005","Single parent ","Female","","","","","1"
"Yes","2005","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2005","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2005","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2005","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","Female","","","","","1"
"No","2006","Couple + C. GT 16 ","Male","642","0.525972169796754","0.498681706447828","0.55326263314568","2"
"No","2006","Couple + C. GT 16 ","Female","548","0.521225227859011","0.491569186062081","0.55088126965594","2"
"No","2006","1-pers.-HH","Female","310","0.448756240377769","0.410666805035256","0.486845675720282","2"
"No","2006","(Married) couple without C. ","Female","848","0.500639646862676","0.477247009972961","0.524032283752392","2"
"No","2006","1-pers.-HH","Male","413","0.492453998144282","0.458604937488985","0.52630305879958","2"
"No","2006","(Married) couple without C. ","Male","807","0.469482860602409","0.445667885578282","0.493297835626535","2"
"No","2006","Single parent ","Male","104","0.622764569721054","0.551359401955552","0.694169737486557","2"
"No","2006","Single parent ","Female","239","0.465593172412651","0.421154128085004","0.510032216740297","2"
"No","2006","Couple + C. LE and GT 16","Male","238","0.492764849584256","0.451058413169948","0.534471285998564","2"
"No","2006","Couple + C. LE 16 ","Male","742","0.444849502265853","0.421288759326285","0.46841024520542","2"
"No","2006","Couple + C. LE 16 ","Female","654","0.563064005332712","0.534929860301396","0.591198150364027","2"
"No","2006","Couple + C. LE and GT 16","Female","256","0.599563929267433","0.553987431450746","0.645140427084119","2"
"Yes","2006","Single parent ","Male","73","0.377235430278946","0.305830262513444","0.448640598044448","1"
"Yes","2006","1-pers.-HH","Male","425","0.507546001855718","0.47369694120042","0.541395062511015","1"
"Yes","2006","1-pers.-HH","Female","345","0.551243759622231","0.513154324279718","0.589333194964744","1"
"Yes","2006","(Married) couple without C. ","Male","880","0.530517139397591","0.506702164373465","0.554332114421718","1"
"Yes","2006","(Married) couple without C. ","Female","907","0.499360353137324","0.475967716247608","0.522752990027039","1"
"Yes","2006","Single parent ","Female","245","0.534406827587349","0.489967783259703","0.578845871914996","1"
"Yes","2006","Couple + C. LE 16 ","Male","967","0.555150497734147","0.531589754794579","0.578711240673715","1"
"Yes","2006","Couple + C. LE 16 ","Female","540","0.436935994667288","0.408801849635973","0.465070139698604","1"
"Yes","2006","Couple + C. GT 16 ","Male","644","0.474027830203246","0.44673736685432","0.501318293552172","1"
"Yes","2006","Couple + C. GT 16 ","Female","542","0.478774772140989","0.44911873034406","0.508430813937919","1"
"Yes","2006","Couple + C. LE and GT 16","Male","314","0.507235150415744","0.465528714001436","0.548941586830052","1"
"Yes","2006","Couple + C. LE and GT 16","Female","188","0.400436070732567","0.354859572915881","0.446012568549254","1"
"No","2007","Couple + C. GT 16 ","Male","","","","","2"
"No","2007","Couple + C. GT 16 ","Female","","","","","2"
"No","2007","1-pers.-HH","Female","","","","","2"
"No","2007","(Married) couple without C. ","Female","","","","","2"
"No","2007","1-pers.-HH","Male","","","","","2"
"No","2007","(Married) couple without C. ","Male","","","","","2"
"No","2007","Single parent ","Male","","","","","2"
"No","2007","Single parent ","Female","","","","","2"
"No","2007","Couple + C. LE and GT 16","Male","","","","","2"
"No","2007","Couple + C. LE 16 ","Male","","","","","2"
"No","2007","Couple + C. LE 16 ","Female","","","","","2"
"No","2007","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2007","1-pers.-HH","Male","","","","","1"
"Yes","2007","Single parent ","Male","","","","","1"
"Yes","2007","1-pers.-HH","Female","","","","","1"
"Yes","2007","(Married) couple without C. ","Male","","","","","1"
"Yes","2007","(Married) couple without C. ","Female","","","","","1"
"Yes","2007","Single parent ","Female","","","","","1"
"Yes","2007","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2007","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2007","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2007","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2007","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2007","Couple + C. LE and GT 16","Female","","","","","1"
"No","2008","Single parent ","Male","","","","","2"
"No","2008","Couple + C. GT 16 ","Male","","","","","2"
"No","2008","1-pers.-HH","Male","","","","","2"
"No","2008","1-pers.-HH","Female","","","","","2"
"No","2008","(Married) couple without C. ","Male","","","","","2"
"No","2008","(Married) couple without C. ","Female","","","","","2"
"No","2008","Couple + C. GT 16 ","Female","","","","","2"
"No","2008","Single parent ","Female","","","","","2"
"No","2008","Couple + C. LE 16 ","Male","","","","","2"
"No","2008","Couple + C. LE 16 ","Female","","","","","2"
"No","2008","Couple + C. LE and GT 16","Male","","","","","2"
"No","2008","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2008","1-pers.-HH","Male","","","","","1"
"Yes","2008","Single parent ","Male","","","","","1"
"Yes","2008","Single parent ","Female","","","","","1"
"Yes","2008","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2008","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2008","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2008","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2008","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2008","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2008","1-pers.-HH","Female","","","","","1"
"Yes","2008","(Married) couple without C. ","Male","","","","","1"
"Yes","2008","(Married) couple without C. ","Female","","","","","1"
"No","2009","1-pers.-HH","Male","","","","","2"
"No","2009","1-pers.-HH","Female","","","","","2"
"No","2009","(Married) couple without C. ","Male","","","","","2"
"No","2009","(Married) couple without C. ","Female","","","","","2"
"No","2009","Single parent ","Male","","","","","2"
"No","2009","Couple + C. GT 16 ","Male","","","","","2"
"No","2009","Couple + C. GT 16 ","Female","","","","","2"
"No","2009","Couple + C. LE and GT 16","Male","","","","","2"
"No","2009","Single parent ","Female","","","","","2"
"No","2009","Couple + C. LE 16 ","Male","","","","","2"
"No","2009","Couple + C. LE 16 ","Female","","","","","2"
"No","2009","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2009","1-pers.-HH","Male","","","","","1"
"Yes","2009","Single parent ","Male","","","","","1"
"Yes","2009","Single parent ","Female","","","","","1"
"Yes","2009","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2009","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2009","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2009","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2009","1-pers.-HH","Female","","","","","1"
"Yes","2009","(Married) couple without C. ","Male","","","","","1"
"Yes","2009","(Married) couple without C. ","Female","","","","","1"
"No","2010","1-pers.-HH","Male","","","","","2"
"No","2010","1-pers.-HH","Female","","","","","2"
"No","2010","(Married) couple without C. ","Male","","","","","2"
"No","2010","(Married) couple without C. ","Female","","","","","2"
"No","2010","Single parent ","Male","","","","","2"
"No","2010","Couple + C. GT 16 ","Male","","","","","2"
"No","2010","Couple + C. GT 16 ","Female","","","","","2"
"No","2010","Couple + C. LE and GT 16","Male","","","","","2"
"No","2010","Single parent ","Female","","","","","2"
"No","2010","Couple + C. LE 16 ","Male","","","","","2"
"No","2010","Couple + C. LE 16 ","Female","","","","","2"
"No","2010","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2010","1-pers.-HH","Male","","","","","1"
"Yes","2010","Single parent ","Male","","","","","1"
"Yes","2010","Single parent ","Female","","","","","1"
"Yes","2010","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2010","1-pers.-HH","Female","","","","","1"
"Yes","2010","(Married) couple without C. ","Male","","","","","1"
"Yes","2010","(Married) couple without C. ","Female","","","","","1"
"Yes","2010","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2010","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2010","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","Female","","","","","1"
"No","2011","Couple + C. GT 16 ","Male","508","0.486181649726","0.456936372049279","0.51542692740272","2"
"No","2011","Couple + C. GT 16 ","Female","484","0.498517532318138","0.466921783657444","0.530113280978832","2"
"No","2011","Couple + C. LE and GT 16","Male","204","0.475433372010014","0.429189494254563","0.521677249765464","2"
"No","2011","1-pers.-HH","Male","340","0.454189186368101","0.418674001630046","0.489704371106157","2"
"No","2011","1-pers.-HH","Female","324","0.457243459486305","0.420753963585844","0.493732955386766","2"
"No","2011","(Married) couple without C. ","Male","737","0.427454573115296","0.403727737881904","0.451181408348687","2"
"No","2011","(Married) couple without C. ","Female","806","0.473202757597581","0.449843721893277","0.496561793301885","2"
"No","2011","Single parent ","Male","95","0.550706339956146","0.480346853656526","0.621065826255766","2"
"No","2011","Single parent ","Female","266","0.519967508300517","0.476607792872692","0.563327223728342","2"
"No","2011","Couple + C. LE 16 ","Male","588","0.391355116532506","0.3652139298636","0.417496303201411","2"
"No","2011","Couple + C. LE 16 ","Female","523","0.470919118620726","0.441052749692683","0.500785487548768","2"
"No","2011","Couple + C. LE and GT 16","Female","221","0.545387479049256","0.495905556129723","0.59486940196879","2"
"Yes","2011","1-pers.-HH","Male","415","0.545810813631899","0.510295628893843","0.581325998369954","1"
"Yes","2011","Single parent ","Male","97","0.449293660043854","0.378934173744234","0.519653146343474","1"
"Yes","2011","Single parent ","Female","244","0.480032491699483","0.436672776271658","0.523392207127308","1"
"Yes","2011","Couple + C. LE 16 ","Male","751","0.608644883467494","0.582503696798589","0.6347860701364","1"
"Yes","2011","1-pers.-HH","Female","392","0.542756540513695","0.506267044613234","0.579246036414156","1"
"Yes","2011","(Married) couple without C. ","Male","933","0.572545426884704","0.548818591651313","0.596272262118096","1"
"Yes","2011","(Married) couple without C. ","Female","949","0.526797242402419","0.503438206698115","0.550156278106723","1"
"Yes","2011","Couple + C. LE 16 ","Female","550","0.529080881379274","0.499214512451232","0.558947250307317","1"
"Yes","2011","Couple + C. GT 16 ","Male","614","0.513818350274","0.48457307259728","0.543063627950721","1"
"Yes","2011","Couple + C. GT 16 ","Female","478","0.501482467681862","0.469886719021168","0.533078216342556","1"
"Yes","2011","Couple + C. LE and GT 16","Male","244","0.524566627989986","0.478322750234536","0.570810505745437","1"
"Yes","2011","Couple + C. LE and GT 16","Female","168","0.454612520950744","0.40513059803121","0.504094443870277","1"
"No","2012","Couple + C. GT 16 ","Male","","","","","2"
"No","2012","Couple + C. GT 16 ","Female","","","","","2"
"No","2012","Couple + C. LE and GT 16","Male","","","","","2"
"No","2012","1-pers.-HH","Male","","","","","2"
"No","2012","1-pers.-HH","Female","","","","","2"
"No","2012","(Married) couple without C. ","Male","","","","","2"
"No","2012","(Married) couple without C. ","Female","","","","","2"
"No","2012","Single parent ","Male","","","","","2"
"No","2012","Single parent ","Female","","","","","2"
"No","2012","Couple + C. LE 16 ","Male","","","","","2"
"No","2012","Couple + C. LE 16 ","Female","","","","","2"
"No","2012","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2012","1-pers.-HH","Male","","","","","1"
"Yes","2012","1-pers.-HH","Female","","","","","1"
"Yes","2012","Single parent ","Male","","","","","1"
"Yes","2012","Single parent ","Female","","","","","1"
"Yes","2012","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2012","(Married) couple without C. ","Male","","","","","1"
"Yes","2012","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2012","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2012","(Married) couple without C. ","Female","","","","","1"
"Yes","2012","Couple + C. LE 16 ","Female","","","","","1"
"No","2013","1-pers.-HH","Male","","","","","2"
"No","2013","1-pers.-HH","Female","","","","","2"
"No","2013","(Married) couple without C. ","Male","","","","","2"
"No","2013","(Married) couple without C. ","Female","","","","","2"
"No","2013","Single parent ","Male","","","","","2"
"No","2013","Single parent ","Female","","","","","2"
"No","2013","Couple + C. LE 16 ","Male","","","","","2"
"No","2013","Couple + C. GT 16 ","Male","","","","","2"
"No","2013","Couple + C. GT 16 ","Female","","","","","2"
"No","2013","Couple + C. LE and GT 16","Male","","","","","2"
"No","2013","Couple + C. LE 16 ","Female","","","","","2"
"No","2013","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2013","1-pers.-HH","Male","","","","","1"
"Yes","2013","Single parent ","Male","","","","","1"
"Yes","2013","Single parent ","Female","","","","","1"
"Yes","2013","1-pers.-HH","Female","","","","","1"
"Yes","2013","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2013","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2013","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2013","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2013","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2013","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2013","(Married) couple without C. ","Male","","","","","1"
"Yes","2013","(Married) couple without C. ","Female","","","","","1"
"No","2014","1-pers.-HH","Male","","","","","2"
"No","2014","1-pers.-HH","Female","","","","","2"
"No","2014","(Married) couple without C. ","Male","","","","","2"
"No","2014","(Married) couple without C. ","Female","","","","","2"
"No","2014","Single parent ","Male","","","","","2"
"No","2014","Single parent ","Female","","","","","2"
"No","2014","Couple + C. LE 16 ","Male","","","","","2"
"No","2014","Couple + C. GT 16 ","Male","","","","","2"
"No","2014","Couple + C. GT 16 ","Female","","","","","2"
"No","2014","Couple + C. LE and GT 16","Male","","","","","2"
"No","2014","Couple + C. LE and GT 16","Female","","","","","2"
"No","2014","Couple + C. LE 16 ","Female","","","","","2"
"Yes","2014","1-pers.-HH","Male","","","","","1"
"Yes","2014","Single parent ","Male","","","","","1"
"Yes","2014","Single parent ","Female","","","","","1"
"Yes","2014","1-pers.-HH","Female","","","","","1"
"Yes","2014","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2014","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2014","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2014","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2014","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2014","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2014","(Married) couple without C. ","Male","","","","","1"
"Yes","2014","(Married) couple without C. ","Female","","","","","1"
"No","2015","1-pers.-HH","Male","","","","","2"
"No","2015","1-pers.-HH","Female","","","","","2"
"No","2015","(Married) couple without C. ","Male","","","","","2"
"No","2015","(Married) couple without C. ","Female","","","","","2"
"No","2015","Single parent ","Male","","","","","2"
"No","2015","Single parent ","Female","","","","","2"
"No","2015","Couple + C. LE 16 ","Male","","","","","2"
"No","2015","Couple + C. GT 16 ","Male","","","","","2"
"No","2015","Couple + C. GT 16 ","Female","","","","","2"
"No","2015","Couple + C. LE and GT 16","Male","","","","","2"
"No","2015","Couple + C. LE and GT 16","Female","","","","","2"
"No","2015","Couple + C. LE 16 ","Female","","","","","2"
"Yes","2015","1-pers.-HH","Male","","","","","1"
"Yes","2015","Single parent ","Male","","","","","1"
"Yes","2015","1-pers.-HH","Female","","","","","1"
"Yes","2015","Single parent ","Female","","","","","1"
"Yes","2015","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2015","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2015","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2015","(Married) couple without C. ","Male","","","","","1"
"Yes","2015","(Married) couple without C. ","Female","","","","","1"
"Yes","2015","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2015","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2015","Couple + C. LE and GT 16","Male","","","","","1"
"No","2016","Couple + C. GT 16 ","Male","419","0.496799514844845","0.464349733185762","0.529249296503928","2"
"No","2016","Couple + C. GT 16 ","Female","456","0.532005013923052","0.498810471131412","0.565199556714691","2"
"No","2016","Couple + C. LE and GT 16","Male","349","0.443006128171859","0.40766688222123","0.478345374122487","2"
"No","2016","Couple + C. LE and GT 16","Female","364","0.574730000543345","0.537239247231564","0.612220753855126","2"
"No","2016","1-pers.-HH","Male","302","0.409770703859453","0.374119825334431","0.445421582384475","2"
"No","2016","1-pers.-HH","Female","341","0.441076294728007","0.406164618187179","0.475987971268834","2"
"No","2016","(Married) couple without C. ","Male","684","0.436557093896115","0.41170586564895","0.461408322143279","2"
"No","2016","(Married) couple without C. ","Female","810","0.481108414377347","0.457413019622951","0.504803809131744","2"
"No","2016","Single parent ","Male","156","0.536927128052221","0.478100237486322","0.59575401861812","2"
"No","2016","Single parent ","Female","524","0.472910011944322","0.4429249517586","0.502895072130044","2"
"No","2016","Couple + C. LE 16 ","Male","1045","0.421051989953281","0.401073082644256","0.441030897262306","2"
"No","2016","Couple + C. LE 16 ","Female","994","0.458739686695256","0.436685271653307","0.480794101737204","2"
"Yes","2016","1-pers.-HH","Male","429","0.590229296140547","0.554578417615525","0.625880174665569","1"
"Yes","2016","Single parent ","Male","120","0.463072871947779","0.40424598138188","0.521899762513678","1"
"Yes","2016","Couple + C. LE 16 ","Male","1301","0.578948010046719","0.558969102737694","0.598926917355744","1"
"Yes","2016","1-pers.-HH","Female","436","0.558923705271993","0.524012028731166","0.593835381812821","1"
"Yes","2016","Single parent ","Female","541","0.527089988055678","0.497104927869956","0.5570750482414","1"
"Yes","2016","Couple + C. LE 16 ","Female","967","0.541260313304744","0.519205898262796","0.563314728346692","1"
"Yes","2016","Couple + C. GT 16 ","Male","493","0.503200485155155","0.470750703496072","0.535650266814238","1"
"Yes","2016","Couple + C. GT 16 ","Female","412","0.467994986076948","0.434800443285308","0.501189528868587","1"
"Yes","2016","Couple + C. LE and GT 16","Male","410","0.556993871828141","0.521654625877513","0.59233311777877","1"
"Yes","2016","Couple + C. LE and GT 16","Female","304","0.425269999456655","0.387779246144874","0.462760752768436","1"
"Yes","2016","(Married) couple without C. ","Male","846","0.563442906103885","0.53859167785672","0.58829413435105","1"
"Yes","2016","(Married) couple without C. ","Female","898","0.518891585622653","0.495196190868256","0.542586980377049","1"
"No","2017","Couple + C. GT 16 ","Male","","","","","2"
"No","2017","Couple + C. GT 16 ","Female","","","","","2"
"No","2017","Couple + C. LE and GT 16","Male","","","","","2"
"No","2017","Couple + C. LE and GT 16","Female","","","","","2"
"No","2017","1-pers.-HH","Male","","","","","2"
"No","2017","1-pers.-HH","Female","","","","","2"
"No","2017","(Married) couple without C. ","Male","","","","","2"
"No","2017","(Married) couple without C. ","Female","","","","","2"
"No","2017","Single parent ","Male","","","","","2"
"No","2017","Single parent ","Female","","","","","2"
"No","2017","Couple + C. LE 16 ","Male","","","","","2"
"No","2017","Couple + C. LE 16 ","Female","","","","","2"
"Yes","2017","1-pers.-HH","Male","","","","","1"
"Yes","2017","1-pers.-HH","Female","","","","","1"
"Yes","2017","Single parent ","Male","","","","","1"
"Yes","2017","(Married) couple without C. ","Male","","","","","1"
"Yes","2017","Couple + C. LE 16 ","Male","","","","","1"
"Yes","2017","Single parent ","Female","","","","","1"
"Yes","2017","Couple + C. LE 16 ","Female","","","","","1"
"Yes","2017","Couple + C. GT 16 ","Male","","","","","1"
"Yes","2017","Couple + C. GT 16 ","Female","","","","","1"
"Yes","2017","Couple + C. LE and GT 16","Male","","","","","1"
"Yes","2017","Couple + C. LE and GT 16","Female","","","","","1"
"Yes","2017","(Married) couple without C. ","Female","","","","","1"
"No","2018","1-pers.-HH","Male","","","","","2"
"No","2018","1-pers.-HH","Female","","","","","2"
"No","2018","(Married) couple without C. ","Male","","","","","2"
"No","2018","(Married) couple without C. ","Female","","","","","2"
"No","2018","Single parent ","Male","","","","","2"
"No","2018","Single parent ","Female","","","","","2"
"No","2018","Couple + C. LE 16 ","Male","","","","","2"
"No","2018","Couple + C. LE 16 ","Female","","","","","2"
"No","2018","Couple + C. GT 16 ","Male","","","","","2"
"No","2018","Couple + C. GT 16 ","Female","","","","","2"
"No","2018","Couple + C. LE and GT 16","Male","","","","","2"
"No","2018","Couple + C. LE and GT 16","Female","","","","","2"
"Yes","2018","1-pers.-HH","Male","","","","","1"
"Yes","2018","1-pers.-HH","Female","","","","","1"
