"plb0050","year","bula_h","n","percent","lower_confidence","upper_confidence"
"No","2001","Berlin","207","0.481916463207398","0.436054626140922","0.527778300273874"
"No","2001","Brandenburg","257","0.480824022363448","0.437461615875791","0.524186428851105"
"No","2001","Mecklenburg-Western Pomerania","157","0.518395038087359","0.461664637095233","0.575125439079486"
"No","2001","Saxony","509","0.581901771272884","0.549441639052117","0.614361903493652"
"No","2001","Saxony-Anhalt","298","0.614288518682678","0.57257135926921","0.656005678096147"
"No","2001","Thuringia","277","0.561972977474543","0.519122798048026","0.60482315690106"
"Yes","2002","Schleswig-Holstein","","","",""
"Yes","2002","Hamburg","","","",""
"Yes","2002","Lower Saxony","","","",""
"Yes","2002","Bremen","","","",""
"Yes","2002","North Rhine-Westphalia","","","",""
"Yes","2002","Hesse","","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","","","",""
"Yes","2002","Baden-Württemberg","","","",""
"Yes","2002","Bavaria","","","",""
"Yes","2002","Berlin","","","",""
"Yes","2002","Brandenburg","","","",""
"Yes","2002","Mecklenburg-Western Pomerania","","","",""
"Yes","2002","Saxony","","","",""
"Yes","2002","Saxony-Anhalt","","","",""
"Yes","2002","Thuringia","","","",""
"No","2002","Schleswig-Holstein","","","",""
"No","2002","Hamburg","","","",""
"No","2002","Lower Saxony","","","",""
"No","2002","Bremen","","","",""
"No","2002","North Rhine-Westphalia","","","",""
"No","2002","Hesse","","","",""
"No","2002","Rhineland-Palatinate,Saarland","","","",""
"No","2002","Baden-Württemberg","","","",""
"No","2002","Bavaria","","","",""
"No","2002","Berlin","","","",""
"No","2002","Brandenburg","","","",""
"No","2002","Mecklenburg-Western Pomerania","","","",""
"No","2002","Saxony","","","",""
"No","2002","Saxony-Anhalt","","","",""
"No","2002","Thuringia","","","",""
"Yes","2003","Schleswig-Holstein","","","",""
"Yes","2003","Hamburg","","","",""
"Yes","2003","Lower Saxony","","","",""
"Yes","2003","Bremen","","","",""
"Yes","2003","North Rhine-Westphalia","","","",""
"Yes","2003","Hesse","","","",""
"Yes","2003","Rhineland-Palatinate,Saarland","","","",""
"Yes","2003","Baden-Württemberg","","","",""
"Yes","2003","Bavaria","","","",""
"Yes","2003","Berlin","","","",""
"Yes","2003","Brandenburg","","","",""
"Yes","2003","Mecklenburg-Western Pomerania","","","",""
"Yes","2003","Saxony","","","",""
"Yes","2003","Saxony-Anhalt","","","",""
"Yes","2003","Thuringia","","","",""
"No","2003","Schleswig-Holstein","","","",""
"No","2003","Hamburg","","","",""
"No","2003","Lower Saxony","","","",""
"No","2003","Bremen","","","",""
"No","2003","North Rhine-Westphalia","","","",""
"No","2003","Hesse","","","",""
"No","2003","Rhineland-Palatinate,Saarland","","","",""
"No","2003","Baden-Württemberg","","","",""
"No","2003","Bavaria","","","",""
"No","2003","Berlin","","","",""
"No","2003","Brandenburg","","","",""
"No","2003","Mecklenburg-Western Pomerania","","","",""
"No","2003","Saxony","","","",""
"No","2003","Saxony-Anhalt","","","",""
"No","2003","Thuringia","","","",""
"Yes","2004","Schleswig-Holstein","","","",""
"Yes","2004","Hamburg","","","",""
"Yes","2004","Lower Saxony","","","",""
"Yes","2004","Bremen","","","",""
"Yes","2004","North Rhine-Westphalia","","","",""
"Yes","2004","Hesse","","","",""
"Yes","2004","Rhineland-Palatinate,Saarland","","","",""
"Yes","2004","Baden-Württemberg","","","",""
"Yes","2004","Bavaria","","","",""
"Yes","2004","Berlin","","","",""
"Yes","2004","Brandenburg","","","",""
"Yes","2004","Mecklenburg-Western Pomerania","","","",""
"Yes","2004","Saxony","","","",""
"Yes","2004","Saxony-Anhalt","","","",""
"Yes","2004","Thuringia","","","",""
"No","2004","Schleswig-Holstein","","","",""
"No","2004","Hamburg","","","",""
"No","2004","Lower Saxony","","","",""
"No","2004","Bremen","","","",""
"No","2004","North Rhine-Westphalia","","","",""
"No","2004","Hesse","","","",""
"No","2004","Rhineland-Palatinate,Saarland","","","",""
"No","2004","Baden-Württemberg","","","",""
"No","2004","Bavaria","","","",""
"No","2004","Berlin","","","",""
"No","2004","Brandenburg","","","",""
"No","2004","Mecklenburg-Western Pomerania","","","",""
"No","2004","Saxony","","","",""
"No","2004","Saxony-Anhalt","","","",""
"No","2004","Thuringia","","","",""
"Yes","2005","Schleswig-Holstein","","","",""
"Yes","2005","Hamburg","","","",""
"Yes","2005","Lower Saxony","","","",""
"Yes","2005","Bremen","","","",""
"Yes","2005","North Rhine-Westphalia","","","",""
"Yes","2005","Hesse","","","",""
"Yes","2005","Rhineland-Palatinate,Saarland","","","",""
"Yes","2005","Baden-Württemberg","","","",""
"Yes","2005","Bavaria","","","",""
"Yes","2005","Berlin","","","",""
"Yes","2005","Brandenburg","","","",""
"Yes","2005","Mecklenburg-Western Pomerania","","","",""
"Yes","2005","Saxony","","","",""
"Yes","2005","Saxony-Anhalt","","","",""
"Yes","2005","Thuringia","","","",""
"No","2005","Schleswig-Holstein","","","",""
"No","2005","Hamburg","","","",""
"No","2005","Lower Saxony","","","",""
"No","2005","Bremen","","","",""
"No","2005","North Rhine-Westphalia","","","",""
"No","2005","Hesse","","","",""
"No","2005","Rhineland-Palatinate,Saarland","","","",""
"No","2005","Baden-Württemberg","","","",""
"No","2005","Bavaria","","","",""
"No","2005","Berlin","","","",""
"No","2005","Brandenburg","","","",""
"No","2005","Mecklenburg-Western Pomerania","","","",""
"No","2005","Saxony","","","",""
"No","2005","Saxony-Anhalt","","","",""
"No","2005","Thuringia","","","",""
"Yes","2006","Schleswig-Holstein","179","0.473953577653241","0.422728621256981","0.525178534049501"
"Yes","2006","Hamburg","69","0.454263264934332","0.375625142853703","0.532901387014961"
"Yes","2006","Lower Saxony","545","0.51561251882672","0.485724017977958","0.545501019675483"
"Yes","2006","Bremen","45","0.504833825372761","0.39242743471844","0.617240216027082"
"Yes","2006","North Rhine-Westphalia","1346","0.535185857402326","0.515548211669375","0.554823503135278"
"Yes","2006","Hesse","487","0.537367902843746","0.504536837799322","0.57019896788817"
"Yes","2006","Rhineland-Palatinate,Saarland","354","0.441369247513669","0.405348716072809","0.477389778954529"
"Yes","2006","Baden-Württemberg","831","0.540640456141734","0.515926730639039","0.565354181644428"
"Yes","2006","Bavaria","940","0.501689525243063","0.478781372451048","0.524597678035078"
"Yes","2006","Berlin","234","0.478944673071773","0.432425624725458","0.525463721418089"
"Yes","2006","Brandenburg","240","0.478392638753348","0.433797381661984","0.522987895844711"
"Yes","2006","Mecklenburg-Western Pomerania","132","0.444978291531153","0.386242051601669","0.503714531460636"
"Yes","2006","Saxony","375","0.478075014904103","0.44419396025027","0.511956069557936"
"Yes","2006","Saxony-Anhalt","206","0.389863814860536","0.345099130675501","0.434628499045571"
"Yes","2006","Thuringia","206","0.354636745778071","0.311927829118549","0.397345662437593"
"No","2006","Schleswig-Holstein","186","0.526046422346759","0.474821465950499","0.577271378743019"
"No","2006","Hamburg","85","0.545736735065668","0.467098612985039","0.624374857146297"
"No","2006","Lower Saxony","529","0.48438748117328","0.454498980324517","0.514275982022042"
"No","2006","Bremen","31","0.495166174627239","0.382759783972918","0.60757256528156"
"No","2006","North Rhine-Westphalia","1132","0.464814142597674","0.445176496864723","0.484451788330625"
"No","2006","Hesse","399","0.462632097156254","0.42980103211183","0.495463162200677"
"No","2006","Rhineland-Palatinate,Saarland","376","0.558630752486331","0.522610221045471","0.594651283927191"
"No","2006","Baden-Württemberg","731","0.459359543858266","0.434645818355572","0.484073269360961"
"No","2006","Bavaria","890","0.498310474756937","0.475402321964922","0.521218627548952"
"No","2006","Berlin","209","0.521055326928227","0.474536278581911","0.567574375274542"
"No","2006","Brandenburg","242","0.521607361246652","0.477012104155289","0.566202618338016"
"No","2006","Mecklenburg-Western Pomerania","143","0.555021708468847","0.496285468539364","0.613757948398331"
"No","2006","Saxony","460","0.521924985095897","0.488043930442064","0.55580603974973"
"No","2006","Saxony-Anhalt","250","0.610136185139464","0.565371500954429","0.654900869324499"
"No","2006","Thuringia","276","0.645363254221929","0.602654337562407","0.688072170881451"
"Yes","2007","Schleswig-Holstein","","","",""
"Yes","2007","Hamburg","","","",""
"Yes","2007","Lower Saxony","","","",""
"Yes","2007","Bremen","","","",""
"Yes","2007","North Rhine-Westphalia","","","",""
"Yes","2007","Hesse","","","",""
"Yes","2007","Rhineland-Palatinate,Saarland","","","",""
"Yes","2007","Baden-Württemberg","","","",""
"Yes","2007","Bavaria","","","",""
"Yes","2007","Berlin","","","",""
"Yes","2007","Brandenburg","","","",""
"Yes","2007","Mecklenburg-Western Pomerania","","","",""
"Yes","2007","Saxony","","","",""
"Yes","2007","Saxony-Anhalt","","","",""
"Yes","2007","Thuringia","","","",""
"No","2007","Schleswig-Holstein","","","",""
"No","2007","Hamburg","","","",""
"No","2007","Lower Saxony","","","",""
"No","2007","Bremen","","","",""
"No","2007","North Rhine-Westphalia","","","",""
"No","2007","Hesse","","","",""
"No","2007","Rhineland-Palatinate,Saarland","","","",""
"No","2007","Baden-Württemberg","","","",""
"No","2007","Bavaria","","","",""
"No","2007","Berlin","","","",""
"No","2007","Brandenburg","","","",""
"No","2007","Mecklenburg-Western Pomerania","","","",""
"No","2007","Saxony","","","",""
"No","2007","Saxony-Anhalt","","","",""
"No","2007","Thuringia","","","",""
"Yes","2008","Schleswig-Holstein","","","",""
"Yes","2008","Hamburg","","","",""
"Yes","2008","Lower Saxony","","","",""
"Yes","2008","Bremen","","","",""
"Yes","2008","North Rhine-Westphalia","","","",""
"Yes","2008","Hesse","","","",""
"Yes","2008","Rhineland-Palatinate,Saarland","","","",""
"Yes","2008","Baden-Württemberg","","","",""
"Yes","2008","Bavaria","","","",""
"Yes","2008","Berlin","","","",""
"Yes","2008","Brandenburg","","","",""
"Yes","2008","Mecklenburg-Western Pomerania","","","",""
"Yes","2008","Saxony","","","",""
"Yes","2008","Saxony-Anhalt","","","",""
"Yes","2008","Thuringia","","","",""
"No","2008","Schleswig-Holstein","","","",""
"No","2008","Hamburg","","","",""
"No","2008","Lower Saxony","","","",""
"No","2008","Bremen","","","",""
"No","2008","North Rhine-Westphalia","","","",""
"No","2008","Hesse","","","",""
"No","2008","Rhineland-Palatinate,Saarland","","","",""
"No","2008","Baden-Württemberg","","","",""
"No","2008","Bavaria","","","",""
"No","2008","Berlin","","","",""
"No","2008","Brandenburg","","","",""
"No","2008","Mecklenburg-Western Pomerania","","","",""
"No","2008","Saxony","","","",""
"No","2008","Saxony-Anhalt","","","",""
"No","2008","Thuringia","","","",""
"Yes","2009","Schleswig-Holstein","","","",""
"Yes","2009","Hamburg","","","",""
"Yes","2009","Lower Saxony","","","",""
"Yes","2009","Bremen","","","",""
"Yes","2009","North Rhine-Westphalia","","","",""
"Yes","2009","Hesse","","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","","","",""
"Yes","2009","Baden-Württemberg","","","",""
"Yes","2009","Bavaria","","","",""
"Yes","2009","Berlin","","","",""
"Yes","2009","Brandenburg","","","",""
"Yes","2009","Mecklenburg-Western Pomerania","","","",""
"Yes","2009","Saxony","","","",""
"Yes","2009","Saxony-Anhalt","","","",""
"Yes","2009","Thuringia","","","",""
"No","2009","Schleswig-Holstein","","","",""
"No","2009","Hamburg","","","",""
"No","2009","Lower Saxony","","","",""
"No","2009","Bremen","","","",""
"No","2009","North Rhine-Westphalia","","","",""
"No","2009","Hesse","","","",""
"No","2009","Rhineland-Palatinate,Saarland","","","",""
"No","2009","Baden-Württemberg","","","",""
"No","2009","Bavaria","","","",""
"No","2009","Berlin","","","",""
"No","2009","Brandenburg","","","",""
"No","2009","Mecklenburg-Western Pomerania","","","",""
"No","2009","Saxony","","","",""
"No","2009","Saxony-Anhalt","","","",""
"No","2009","Thuringia","","","",""
"Yes","2010","Schleswig-Holstein","","","",""
"Yes","2010","Hamburg","","","",""
"Yes","2010","Lower Saxony","","","",""
"Yes","2010","Bremen","","","",""
"Yes","2010","North Rhine-Westphalia","","","",""
"Yes","2010","Hesse","","","",""
"Yes","2010","Rhineland-Palatinate,Saarland","","","",""
"Yes","2010","Baden-Württemberg","","","",""
"Yes","2010","Bavaria","","","",""
"Yes","2010","Berlin","","","",""
"Yes","2010","Brandenburg","","","",""
"Yes","2010","Mecklenburg-Western Pomerania","","","",""
"Yes","2010","Saxony","","","",""
"Yes","2010","Saxony-Anhalt","","","",""
"Yes","2010","Thuringia","","","",""
"No","2010","Schleswig-Holstein","","","",""
"No","2010","Hamburg","","","",""
"No","2010","Lower Saxony","","","",""
"No","2010","Bremen","","","",""
"No","2010","North Rhine-Westphalia","","","",""
"No","2010","Hesse","","","",""
"No","2010","Rhineland-Palatinate,Saarland","","","",""
"No","2010","Baden-Württemberg","","","",""
"No","2010","Bavaria","","","",""
"No","2010","Berlin","","","",""
"No","2010","Brandenburg","","","",""
"No","2010","Mecklenburg-Western Pomerania","","","",""
"No","2010","Saxony","","","",""
"No","2010","Saxony-Anhalt","","","",""
"No","2010","Thuringia","","","",""
"Yes","2011","Schleswig-Holstein","180","0.550945550320802","0.497682071350005","0.6042090292916"
"Yes","2011","Hamburg","84","0.501099158007391","0.425037987946095","0.577160328068686"
"Yes","2011","Lower Saxony","564","0.568990893503128","0.538555179428916","0.599426607577341"
"Yes","2011","Bremen","34","0.671612963977936","0.556556601070227","0.786669326885645"
"Yes","2011","North Rhine-Westphalia","1204","0.543313631885449","0.522541333228518","0.56408593054238"
"Yes","2011","Hesse","475","0.590847882345733","0.55690405471175","0.624791709979716"
"Yes","2011","Rhineland-Palatinate,Saarland","339","0.535022455887748","0.496197992930889","0.573846918844606"
"Yes","2011","Baden-Württemberg","737","0.573046445408491","0.54682545678919","0.599267434027792"
"Yes","2011","Bavaria","925","0.510549615245417","0.487188773625329","0.533910456865505"
"Yes","2011","Berlin","225","0.550974284466991","0.502710732465694","0.599237836468289"
"Yes","2011","Brandenburg","212","0.492277032598644","0.444690577406258","0.539863487791031"
"Yes","2011","Mecklenburg-Western Pomerania","140","0.519727632209605","0.45888192925077","0.58057333516844"
"Yes","2011","Saxony","362","0.464199470614054","0.429087829455018","0.49931111177309"
"Yes","2011","Saxony-Anhalt","243","0.513373939856319","0.46703896620456","0.559708913508077"
"Yes","2011","Thuringia","216","0.410189382360526","0.364944583166462","0.455434181554589"
"No","2011","Schleswig-Holstein","155","0.449054449679198","0.3957909707084","0.502317928649995"
"No","2011","Hamburg","82","0.498900841992609","0.422839671931314","0.574962012053905"
"No","2011","Lower Saxony","453","0.431009106496872","0.400573392422659","0.461444820571084"
"No","2011","Bremen","30","0.328387036022064","0.213330673114355","0.443443398929773"
"No","2011","North Rhine-Westphalia","1005","0.456686368114551","0.43591406945762","0.477458666771482"
"No","2011","Hesse","331","0.409152117654267","0.375208290020284","0.44309594528825"
"No","2011","Rhineland-Palatinate,Saarland","295","0.464977544112252","0.426153081155394","0.503802007069111"
"No","2011","Baden-Württemberg","630","0.426953554591509","0.400732565972207","0.45317454321081"
"No","2011","Bavaria","834","0.489450384754583","0.466089543134495","0.512811226374671"
"No","2011","Berlin","183","0.449025715533009","0.400762163531711","0.497289267534306"
"No","2011","Brandenburg","212","0.507722967401356","0.46013651220897","0.555309422593742"
"No","2011","Mecklenburg-Western Pomerania","119","0.480272367790395","0.41942666483156","0.54111807074923"
"No","2011","Saxony","413","0.535800529385946","0.50068888822691","0.570912170544982"
"No","2011","Saxony-Anhalt","204","0.486626060143681","0.440291086491922","0.53296103379544"
"No","2011","Thuringia","238","0.589810617639474","0.544565818445411","0.635055416833538"
"Yes","2012","Schleswig-Holstein","","","",""
"Yes","2012","Hamburg","","","",""
"Yes","2012","Lower Saxony","","","",""
"Yes","2012","Bremen","","","",""
"Yes","2012","North Rhine-Westphalia","","","",""
"Yes","2012","Hesse","","","",""
"Yes","2012","Rhineland-Palatinate,Saarland","","","",""
"Yes","2012","Baden-Württemberg","","","",""
"Yes","2012","Bavaria","","","",""
"Yes","2012","Berlin","","","",""
"Yes","2012","Brandenburg","","","",""
"Yes","2012","Mecklenburg-Western Pomerania","","","",""
"Yes","2012","Saxony","","","",""
"Yes","2012","Saxony-Anhalt","","","",""
"Yes","2012","Thuringia","","","",""
"No","2012","Schleswig-Holstein","","","",""
"No","2012","Hamburg","","","",""
"No","2012","Lower Saxony","","","",""
"No","2012","Bremen","","","",""
"No","2012","North Rhine-Westphalia","","","",""
"No","2012","Hesse","","","",""
"No","2012","Rhineland-Palatinate,Saarland","","","",""
"No","2012","Baden-Württemberg","","","",""
"No","2012","Bavaria","","","",""
"No","2012","Berlin","","","",""
"No","2012","Brandenburg","","","",""
"No","2012","Mecklenburg-Western Pomerania","","","",""
"No","2012","Saxony","","","",""
"No","2012","Saxony-Anhalt","","","",""
"No","2012","Thuringia","","","",""
"Yes","2013","Schleswig-Holstein","","","",""
"Yes","2013","Hamburg","","","",""
"Yes","2013","Lower Saxony","","","",""
"Yes","2013","Bremen","","","",""
"Yes","2013","North Rhine-Westphalia","","","",""
"Yes","2013","Hesse","","","",""
"Yes","2013","Rhineland-Palatinate,Saarland","","","",""
"Yes","2013","Baden-Württemberg","","","",""
"Yes","2013","Bavaria","","","",""
"Yes","2013","Berlin","","","",""
"Yes","2013","Brandenburg","","","",""
"Yes","2013","Mecklenburg-Western Pomerania","","","",""
"Yes","2013","Saxony","","","",""
"Yes","2013","Saxony-Anhalt","","","",""
"Yes","2013","Thuringia","","","",""
"No","2013","Schleswig-Holstein","","","",""
"No","2013","Hamburg","","","",""
"No","2013","Lower Saxony","","","",""
"No","2013","Bremen","","","",""
"No","2013","North Rhine-Westphalia","","","",""
"No","2013","Hesse","","","",""
"No","2013","Rhineland-Palatinate,Saarland","","","",""
"No","2013","Baden-Württemberg","","","",""
"No","2013","Bavaria","","","",""
"No","2013","Berlin","","","",""
"No","2013","Brandenburg","","","",""
"No","2013","Mecklenburg-Western Pomerania","","","",""
"No","2013","Saxony","","","",""
"No","2013","Saxony-Anhalt","","","",""
"No","2013","Thuringia","","","",""
"Yes","2014","Schleswig-Holstein","","","",""
"Yes","2014","Hamburg","","","",""
"Yes","2014","Lower Saxony","","","",""
"Yes","2014","Bremen","","","",""
"Yes","2014","North Rhine-Westphalia","","","",""
"Yes","2014","Hesse","","","",""
"Yes","2014","Rhineland-Palatinate,Saarland","","","",""
"Yes","2014","Baden-Württemberg","","","",""
"Yes","2014","Bavaria","","","",""
"Yes","2014","Berlin","","","",""
"Yes","2014","Brandenburg","","","",""
"Yes","2014","Mecklenburg-Western Pomerania","","","",""
"Yes","2014","Saxony","","","",""
"Yes","2014","Saxony-Anhalt","","","",""
"Yes","2014","Thuringia","","","",""
"No","2014","Schleswig-Holstein","","","",""
"No","2014","Hamburg","","","",""
"No","2014","Lower Saxony","","","",""
"No","2014","Bremen","","","",""
"No","2014","North Rhine-Westphalia","","","",""
"No","2014","Hesse","","","",""
"No","2014","Rhineland-Palatinate,Saarland","","","",""
"No","2014","Baden-Württemberg","","","",""
"No","2014","Bavaria","","","",""
"No","2014","Berlin","","","",""
"No","2014","Brandenburg","","","",""
"No","2014","Mecklenburg-Western Pomerania","","","",""
"No","2014","Saxony","","","",""
"No","2014","Saxony-Anhalt","","","",""
"No","2014","Thuringia","","","",""
"Yes","2015","Schleswig-Holstein","","","",""
"Yes","2015","Hamburg","","","",""
"Yes","2015","Lower Saxony","","","",""
"Yes","2015","Bremen","","","",""
"Yes","2015","North Rhine-Westphalia","","","",""
"Yes","2015","Hesse","","","",""
"Yes","2015","Rhineland-Palatinate,Saarland","","","",""
"Yes","2015","Baden-Württemberg","","","",""
"Yes","2015","Bavaria","","","",""
"Yes","2015","Berlin","","","",""
"Yes","2015","Brandenburg","","","",""
"Yes","2015","Mecklenburg-Western Pomerania","","","",""
"Yes","2015","Saxony","","","",""
"Yes","2015","Saxony-Anhalt","","","",""
"Yes","2015","Thuringia","","","",""
"No","2015","Schleswig-Holstein","","","",""
"No","2015","Hamburg","","","",""
"No","2015","Lower Saxony","","","",""
"No","2015","Bremen","","","",""
"No","2015","North Rhine-Westphalia","","","",""
"No","2015","Hesse","","","",""
"No","2015","Rhineland-Palatinate,Saarland","","","",""
"No","2015","Baden-Württemberg","","","",""
"No","2015","Bavaria","","","",""
"No","2015","Berlin","","","",""
"No","2015","Brandenburg","","","",""
"No","2015","Mecklenburg-Western Pomerania","","","",""
"No","2015","Saxony","","","",""
"No","2015","Saxony-Anhalt","","","",""
"No","2015","Thuringia","","","",""
"Yes","2016","Schleswig-Holstein","244","0.547219341047662","0.501482407300691","0.592956274794632"
"Yes","2016","Hamburg","136","0.665425724847933","0.605226880291761","0.725624569404105"
"Yes","2016","Lower Saxony","777","0.599570851918607","0.573615348042406","0.625526355794809"
"Yes","2016","Bremen","50","0.565090708251149","0.463789971565175","0.666391444937122"
"Yes","2016","North Rhine-Westphalia","1478","0.519367819164505","0.501183667991478","0.537551970337531"
"Yes","2016","Hesse","544","0.565993777516098","0.534510247313705","0.59747730771849"
"Yes","2016","Rhineland-Palatinate,Saarland","408","0.552530546215101","0.51906406834133","0.585997024088873"
"Yes","2016","Baden-Württemberg","955","0.545664856658162","0.522514614681573","0.568815098634751"
"Yes","2016","Bavaria","1264","0.534657386719302","0.514554579108445","0.554760194330159"
"Yes","2016","Berlin","235","0.512428933583456","0.466399590729891","0.558458276437022"
"Yes","2016","Brandenburg","253","0.55791740243423","0.513161101597973","0.602673703270487"
"Yes","2016","Mecklenburg-Western Pomerania","128","0.476732442641551","0.417046616511802","0.5364182687713"
"Yes","2016","Saxony","383","0.487744908351655","0.453215458018392","0.522274358684918"
"Yes","2016","Saxony-Anhalt","219","0.500899707920575","0.453913243848433","0.547886171992717"
"Yes","2016","Thuringia","236","0.455776740623774","0.41194669916618","0.499606782081368"
"No","2016","Schleswig-Holstein","211","0.452780658952338","0.407043725205368","0.498517592699309"
"No","2016","Hamburg","100","0.334574275152067","0.274375430595895","0.394773119708239"
"No","2016","Lower Saxony","592","0.400429148081393","0.374473644205191","0.426384651957594"
"No","2016","Bremen","42","0.434909291748851","0.333608555062878","0.536210028434825"
"No","2016","North Rhine-Westphalia","1422","0.480632180835495","0.462448029662469","0.498816332008522"
"No","2016","Hesse","408","0.434006222483902","0.40252269228151","0.465489752686295"
"No","2016","Rhineland-Palatinate,Saarland","440","0.447469453784899","0.414002975911127","0.48093593165867"
"No","2016","Baden-Württemberg","822","0.454335143341838","0.431184901365249","0.477485385318427"
"No","2016","Bavaria","1101","0.465342613280698","0.445239805669841","0.485445420891555"
"No","2016","Berlin","218","0.487571066416544","0.441541723562978","0.533600409270109"
"No","2016","Brandenburg","220","0.44208259756577","0.397326296729513","0.486838898402027"
"No","2016","Mecklenburg-Western Pomerania","141","0.523267557358449","0.4635817312287","0.582953383488198"
"No","2016","Saxony","422","0.512255091648345","0.477725641315082","0.546784541981608"
"No","2016","Saxony-Anhalt","216","0.499100292079425","0.452113828007283","0.546086756151567"
"No","2016","Thuringia","260","0.544223259376226","0.500393217918632","0.58805330083382"
"Yes","2017","Schleswig-Holstein","","","",""
"Yes","2017","Hamburg","","","",""
"Yes","2017","Lower Saxony","","","",""
"Yes","2017","Bremen","","","",""
"Yes","2017","North Rhine-Westphalia","","","",""
"Yes","2017","Hesse","","","",""
"Yes","2017","Rhineland-Palatinate,Saarland","","","",""
"Yes","2017","Baden-Württemberg","","","",""
"Yes","2017","Bavaria","","","",""
"Yes","2017","Berlin","","","",""
"Yes","2017","Brandenburg","","","",""
"Yes","2017","Mecklenburg-Western Pomerania","","","",""
"Yes","2017","Saxony","","","",""
"Yes","2017","Saxony-Anhalt","","","",""
"Yes","2017","Thuringia","","","",""
"No","2017","Schleswig-Holstein","","","",""
"No","2017","Hamburg","","","",""
"No","2017","Lower Saxony","","","",""
"No","2017","Bremen","","","",""
"No","2017","North Rhine-Westphalia","","","",""
"No","2017","Hesse","","","",""
"No","2017","Rhineland-Palatinate,Saarland","","","",""
"No","2017","Baden-Württemberg","","","",""
"No","2017","Bavaria","","","",""
"No","2017","Berlin","","","",""
"No","2017","Brandenburg","","","",""
"No","2017","Mecklenburg-Western Pomerania","","","",""
"No","2017","Saxony","","","",""
"No","2017","Saxony-Anhalt","","","",""
"No","2017","Thuringia","","","",""
"Yes","2018","Schleswig-Holstein","","","",""
"Yes","2018","Hamburg","","","",""
"Yes","2018","Lower Saxony","","","",""
"Yes","2018","Bremen","","","",""
"Yes","2018","North Rhine-Westphalia","","","",""
"Yes","2018","Hesse","","","",""
"Yes","2018","Rhineland-Palatinate,Saarland","","","",""
"Yes","2018","Baden-Württemberg","","","",""
"Yes","2018","Bavaria","","","",""
"Yes","2018","Berlin","","","",""
"Yes","2018","Brandenburg","","","",""
"Yes","2018","Mecklenburg-Western Pomerania","","","",""
"Yes","2018","Saxony","","","",""
"Yes","2018","Saxony-Anhalt","","","",""
"Yes","2018","Thuringia","","","",""
"No","2018","Schleswig-Holstein","","","",""
"No","2018","Hamburg","","","",""
"No","2018","Lower Saxony","","","",""
"No","2018","Bremen","","","",""
"No","2018","North Rhine-Westphalia","","","",""
"No","2018","Hesse","","","",""
"No","2018","Rhineland-Palatinate,Saarland","","","",""
"No","2018","Baden-Württemberg","","","",""
"No","2018","Bavaria","","","",""
"No","2018","Berlin","","","",""
"No","2018","Brandenburg","","","",""
"No","2018","Mecklenburg-Western Pomerania","","","",""
"No","2018","Saxony","","","",""
"No","2018","Saxony-Anhalt","","","",""
"No","2018","Thuringia","","","",""
"Yes","2019","Schleswig-Holstein","275","0.522247855082002","0.481976707478644","0.562519002685361"
"Yes","2019","Hamburg","147","0.605701189791858","0.551034742570715","0.660367637013001"
