"plb0050","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"No","2002","Couple + C. LE and GT 16","no migration background","","","",""
"No","2002","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2002","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2003","1-pers.-HH","no migration background","","","",""
"Yes","2003","1-pers.-HH","direct migration background","","","",""
"Yes","2003","1-pers.-HH","indirect migration background","","","",""
"Yes","2003","(Married) couple without C. ","no migration background","","","",""
"Yes","2003","(Married) couple without C. ","direct migration background","","","",""
"Yes","2003","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2003","Single parent ","no migration background","","","",""
"Yes","2003","Single parent ","direct migration background","","","",""
"Yes","2003","Single parent ","indirect migration background","","","",""
"Yes","2003","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2003","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2003","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2003","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2003","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2003","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2003","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2003","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2003","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2003","1-pers.-HH","no migration background","","","",""
"No","2003","1-pers.-HH","direct migration background","","","",""
"No","2003","1-pers.-HH","indirect migration background","","","",""
"No","2003","(Married) couple without C. ","no migration background","","","",""
"No","2003","(Married) couple without C. ","direct migration background","","","",""
"No","2003","(Married) couple without C. ","indirect migration background","","","",""
"No","2003","Single parent ","no migration background","","","",""
"No","2003","Single parent ","direct migration background","","","",""
"No","2003","Single parent ","indirect migration background","","","",""
"No","2003","Couple + C. LE 16 ","no migration background","","","",""
"No","2003","Couple + C. LE 16 ","direct migration background","","","",""
"No","2003","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2003","Couple + C. GT 16 ","no migration background","","","",""
"No","2003","Couple + C. GT 16 ","direct migration background","","","",""
"No","2003","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2003","Couple + C. LE and GT 16","no migration background","","","",""
"No","2003","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2003","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2004","1-pers.-HH","no migration background","","","",""
"Yes","2004","1-pers.-HH","direct migration background","","","",""
"Yes","2004","1-pers.-HH","indirect migration background","","","",""
"Yes","2004","(Married) couple without C. ","no migration background","","","",""
"Yes","2004","(Married) couple without C. ","direct migration background","","","",""
"Yes","2004","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2004","Single parent ","no migration background","","","",""
"Yes","2004","Single parent ","direct migration background","","","",""
"Yes","2004","Single parent ","indirect migration background","","","",""
"Yes","2004","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2004","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2004","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2004","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2004","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2004","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2004","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2004","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2004","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2004","1-pers.-HH","no migration background","","","",""
"No","2004","1-pers.-HH","direct migration background","","","",""
"No","2004","1-pers.-HH","indirect migration background","","","",""
"No","2004","(Married) couple without C. ","no migration background","","","",""
"No","2004","(Married) couple without C. ","direct migration background","","","",""
"No","2004","(Married) couple without C. ","indirect migration background","","","",""
"No","2004","Single parent ","no migration background","","","",""
"No","2004","Single parent ","direct migration background","","","",""
"No","2004","Single parent ","indirect migration background","","","",""
"No","2004","Couple + C. LE 16 ","no migration background","","","",""
"No","2004","Couple + C. LE 16 ","direct migration background","","","",""
"No","2004","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2004","Couple + C. GT 16 ","no migration background","","","",""
"No","2004","Couple + C. GT 16 ","direct migration background","","","",""
"No","2004","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2004","Couple + C. LE and GT 16","no migration background","","","",""
"No","2004","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2004","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2005","1-pers.-HH","no migration background","","","",""
"Yes","2005","1-pers.-HH","direct migration background","","","",""
"Yes","2005","1-pers.-HH","indirect migration background","","","",""
"Yes","2005","(Married) couple without C. ","no migration background","","","",""
"Yes","2005","(Married) couple without C. ","direct migration background","","","",""
"Yes","2005","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2005","Single parent ","no migration background","","","",""
"Yes","2005","Single parent ","direct migration background","","","",""
"Yes","2005","Single parent ","indirect migration background","","","",""
"Yes","2005","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2005","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2005","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2005","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2005","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2005","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2005","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2005","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2005","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2005","1-pers.-HH","no migration background","","","",""
"No","2005","1-pers.-HH","direct migration background","","","",""
"No","2005","1-pers.-HH","indirect migration background","","","",""
"No","2005","(Married) couple without C. ","no migration background","","","",""
"No","2005","(Married) couple without C. ","direct migration background","","","",""
"No","2005","(Married) couple without C. ","indirect migration background","","","",""
"No","2005","Single parent ","no migration background","","","",""
"No","2005","Single parent ","direct migration background","","","",""
"No","2005","Single parent ","indirect migration background","","","",""
"No","2005","Couple + C. LE 16 ","no migration background","","","",""
"No","2005","Couple + C. LE 16 ","direct migration background","","","",""
"No","2005","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2005","Couple + C. GT 16 ","no migration background","","","",""
"No","2005","Couple + C. GT 16 ","direct migration background","","","",""
"No","2005","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2005","Couple + C. LE and GT 16","no migration background","","","",""
"No","2005","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2005","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2006","1-pers.-HH","no migration background","682","0.524708055780326","0.497839042234809","0.551577069325842"
"Yes","2006","1-pers.-HH","direct migration background","45","0.456310078399449","0.352829520976557","0.55979063582234"
"Yes","2006","1-pers.-HH","indirect migration background","43","0.615218800158954","0.506545101107136","0.723892499210773"
"Yes","2006","(Married) couple without C. ","no migration background","1583","0.521055155793743","0.503323308649066","0.538787002938419"
"Yes","2006","(Married) couple without C. ","direct migration background","149","0.446429020399137","0.389700696826478","0.503157343971795"
"Yes","2006","(Married) couple without C. ","indirect migration background","55","0.624537748963636","0.528664479091116","0.720411018836156"
"Yes","2006","Single parent ","no migration background","261","0.499352670006652","0.457219988651259","0.541485351362044"
"Yes","2006","Single parent ","direct migration background","38","0.449057868883981","0.33937502733953","0.558740710428432"
"Yes","2006","Single parent ","indirect migration background","19","","",""
"Yes","2006","Couple + C. LE 16 ","no migration background","1263","0.512817481604484","0.492972642357564","0.532662320851404"
"Yes","2006","Couple + C. LE 16 ","direct migration background","182","0.494167471090209","0.441713806862852","0.546621135317566"
"Yes","2006","Couple + C. LE 16 ","indirect migration background","62","0.53340810231596","0.443011197445505","0.623805007186415"
"Yes","2006","Couple + C. GT 16 ","no migration background","1033","0.470462653319904","0.448934888649171","0.491990417990636"
"Yes","2006","Couple + C. GT 16 ","direct migration background","118","0.54803258685615","0.482416744678008","0.613648429034293"
"Yes","2006","Couple + C. GT 16 ","indirect migration background","35","0.382757476262002","0.282338313387792","0.483176639136211"
"Yes","2006","Couple + C. LE and GT 16","no migration background","400","0.454855200920219","0.420262531536995","0.489447870303443"
"Yes","2006","Couple + C. LE and GT 16","direct migration background","82","0.466511847016248","0.388968729506364","0.544054964526133"
"Yes","2006","Couple + C. LE and GT 16","indirect migration background","20","","",""
"No","2006","1-pers.-HH","no migration background","645","0.475291944219674","0.448422930674157","0.502160957765191"
"No","2006","1-pers.-HH","direct migration background","44","0.543689921600551","0.440209364177659","0.647170479023443"
"No","2006","1-pers.-HH","indirect migration background","34","0.384781199841046","0.276107500789227","0.493454898892864"
"No","2006","(Married) couple without C. ","no migration background","1466","0.478944844206257","0.461212997061581","0.496676691350934"
"No","2006","(Married) couple without C. ","direct migration background","146","0.553570979600863","0.496842656028205","0.610299303173522"
"No","2006","(Married) couple without C. ","indirect migration background","43","0.375462251036364","0.279588981163844","0.471335520908884"
"No","2006","Single parent ","no migration background","280","0.500647329993348","0.458514648637956","0.542780011348741"
"No","2006","Single parent ","direct migration background","41","0.550942131116019","0.441259289571568","0.66062497266047"
"No","2006","Single parent ","indirect migration background","22","","",""
"No","2006","Couple + C. LE 16 ","no migration background","1174","0.487182518395516","0.467337679148596","0.507027357642436"
"No","2006","Couple + C. LE 16 ","direct migration background","167","0.505832528909791","0.453378864682435","0.558286193137148"
"No","2006","Couple + C. LE 16 ","indirect migration background","55","0.46659189768404","0.376194992813585","0.556988802554495"
"No","2006","Couple + C. GT 16 ","no migration background","1032","0.529537346680096","0.508009582009364","0.551065111350829"
"No","2006","Couple + C. GT 16 ","direct migration background","103","0.45196741314385","0.386351570965707","0.517583255321992"
"No","2006","Couple + C. GT 16 ","indirect migration background","55","0.617242523737998","0.516823360863789","0.717661686612208"
"No","2006","Couple + C. LE and GT 16","no migration background","396","0.545144799079781","0.510552129696557","0.579737468463005"
"No","2006","Couple + C. LE and GT 16","direct migration background","77","0.533488152983752","0.455945035473867","0.611031270493636"
"No","2006","Couple + C. LE and GT 16","indirect migration background","21","","",""
"Yes","2007","1-pers.-HH","no migration background","","","",""
"Yes","2007","1-pers.-HH","direct migration background","","","",""
"Yes","2007","1-pers.-HH","indirect migration background","","","",""
"Yes","2007","(Married) couple without C. ","no migration background","","","",""
"Yes","2007","(Married) couple without C. ","direct migration background","","","",""
"Yes","2007","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2007","Single parent ","no migration background","","","",""
"Yes","2007","Single parent ","direct migration background","","","",""
"Yes","2007","Single parent ","indirect migration background","","","",""
"Yes","2007","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2007","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2007","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2007","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2007","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2007","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2007","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2007","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2007","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2007","1-pers.-HH","no migration background","","","",""
"No","2007","1-pers.-HH","direct migration background","","","",""
"No","2007","1-pers.-HH","indirect migration background","","","",""
"No","2007","(Married) couple without C. ","no migration background","","","",""
"No","2007","(Married) couple without C. ","direct migration background","","","",""
"No","2007","(Married) couple without C. ","indirect migration background","","","",""
"No","2007","Single parent ","no migration background","","","",""
"No","2007","Single parent ","direct migration background","","","",""
"No","2007","Single parent ","indirect migration background","","","",""
"No","2007","Couple + C. LE 16 ","no migration background","","","",""
"No","2007","Couple + C. LE 16 ","direct migration background","","","",""
"No","2007","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2007","Couple + C. GT 16 ","no migration background","","","",""
"No","2007","Couple + C. GT 16 ","direct migration background","","","",""
"No","2007","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2007","Couple + C. LE and GT 16","no migration background","","","",""
"No","2007","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2007","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2008","1-pers.-HH","no migration background","","","",""
"Yes","2008","1-pers.-HH","direct migration background","","","",""
"Yes","2008","1-pers.-HH","indirect migration background","","","",""
"Yes","2008","(Married) couple without C. ","no migration background","","","",""
"Yes","2008","(Married) couple without C. ","direct migration background","","","",""
"Yes","2008","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2008","Single parent ","no migration background","","","",""
"Yes","2008","Single parent ","direct migration background","","","",""
"Yes","2008","Single parent ","indirect migration background","","","",""
"Yes","2008","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2008","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2008","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2008","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2008","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2008","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2008","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2008","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2008","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2008","1-pers.-HH","no migration background","","","",""
"No","2008","1-pers.-HH","direct migration background","","","",""
"No","2008","1-pers.-HH","indirect migration background","","","",""
"No","2008","(Married) couple without C. ","no migration background","","","",""
"No","2008","(Married) couple without C. ","direct migration background","","","",""
"No","2008","(Married) couple without C. ","indirect migration background","","","",""
"No","2008","Single parent ","no migration background","","","",""
"No","2008","Single parent ","direct migration background","","","",""
"No","2008","Single parent ","indirect migration background","","","",""
"No","2008","Couple + C. LE 16 ","no migration background","","","",""
"No","2008","Couple + C. LE 16 ","direct migration background","","","",""
"No","2008","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2008","Couple + C. GT 16 ","no migration background","","","",""
"No","2008","Couple + C. GT 16 ","direct migration background","","","",""
"No","2008","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2008","Couple + C. LE and GT 16","no migration background","","","",""
"No","2008","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2008","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2009","1-pers.-HH","no migration background","","","",""
"Yes","2009","1-pers.-HH","direct migration background","","","",""
"Yes","2009","1-pers.-HH","indirect migration background","","","",""
"Yes","2009","(Married) couple without C. ","no migration background","","","",""
"Yes","2009","(Married) couple without C. ","direct migration background","","","",""
"Yes","2009","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2009","Single parent ","no migration background","","","",""
"Yes","2009","Single parent ","direct migration background","","","",""
"Yes","2009","Single parent ","indirect migration background","","","",""
"Yes","2009","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2009","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2009","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2009","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2009","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2009","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2009","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2009","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2009","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2009","1-pers.-HH","no migration background","","","",""
"No","2009","1-pers.-HH","direct migration background","","","",""
"No","2009","1-pers.-HH","indirect migration background","","","",""
"No","2009","(Married) couple without C. ","no migration background","","","",""
"No","2009","(Married) couple without C. ","direct migration background","","","",""
"No","2009","(Married) couple without C. ","indirect migration background","","","",""
"No","2009","Single parent ","no migration background","","","",""
"No","2009","Single parent ","direct migration background","","","",""
"No","2009","Single parent ","indirect migration background","","","",""
"No","2009","Couple + C. LE 16 ","no migration background","","","",""
"No","2009","Couple + C. LE 16 ","direct migration background","","","",""
"No","2009","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2009","Couple + C. GT 16 ","no migration background","","","",""
"No","2009","Couple + C. GT 16 ","direct migration background","","","",""
"No","2009","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2009","Couple + C. LE and GT 16","no migration background","","","",""
"No","2009","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2009","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2010","1-pers.-HH","no migration background","","","",""
"Yes","2010","1-pers.-HH","direct migration background","","","",""
"Yes","2010","1-pers.-HH","indirect migration background","","","",""
"Yes","2010","(Married) couple without C. ","no migration background","","","",""
"Yes","2010","(Married) couple without C. ","direct migration background","","","",""
"Yes","2010","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2010","Single parent ","no migration background","","","",""
"Yes","2010","Single parent ","direct migration background","","","",""
"Yes","2010","Single parent ","indirect migration background","","","",""
"Yes","2010","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2010","Couple + C. LE 16 ","direct migration background","","","",""
"Yes","2010","Couple + C. LE 16 ","indirect migration background","","","",""
"Yes","2010","Couple + C. GT 16 ","no migration background","","","",""
"Yes","2010","Couple + C. GT 16 ","direct migration background","","","",""
"Yes","2010","Couple + C. GT 16 ","indirect migration background","","","",""
"Yes","2010","Couple + C. LE and GT 16","no migration background","","","",""
"Yes","2010","Couple + C. LE and GT 16","direct migration background","","","",""
"Yes","2010","Couple + C. LE and GT 16","indirect migration background","","","",""
"No","2010","1-pers.-HH","no migration background","","","",""
"No","2010","1-pers.-HH","direct migration background","","","",""
"No","2010","1-pers.-HH","indirect migration background","","","",""
"No","2010","(Married) couple without C. ","no migration background","","","",""
"No","2010","(Married) couple without C. ","direct migration background","","","",""
"No","2010","(Married) couple without C. ","indirect migration background","","","",""
"No","2010","Single parent ","no migration background","","","",""
"No","2010","Single parent ","direct migration background","","","",""
"No","2010","Single parent ","indirect migration background","","","",""
"No","2010","Couple + C. LE 16 ","no migration background","","","",""
"No","2010","Couple + C. LE 16 ","direct migration background","","","",""
"No","2010","Couple + C. LE 16 ","indirect migration background","","","",""
"No","2010","Couple + C. GT 16 ","no migration background","","","",""
"No","2010","Couple + C. GT 16 ","direct migration background","","","",""
"No","2010","Couple + C. GT 16 ","indirect migration background","","","",""
"No","2010","Couple + C. LE and GT 16","no migration background","","","",""
"No","2010","Couple + C. LE and GT 16","direct migration background","","","",""
"No","2010","Couple + C. LE and GT 16","indirect migration background","","","",""
"Yes","2011","1-pers.-HH","no migration background","719","0.542511920554116","0.515636475846227","0.569387365262005"
"Yes","2011","1-pers.-HH","direct migration background","48","0.519327563215505","0.413113035009239","0.625542091421772"
"Yes","2011","1-pers.-HH","indirect migration background","40","0.625452720874626","0.508683955163244","0.742221486586008"
"Yes","2011","(Married) couple without C. ","no migration background","1717","0.555170650303558","0.537671484314954","0.572669816292162"
"Yes","2011","(Married) couple without C. ","direct migration background","110","0.513140865483311","0.447831299974841","0.578450430991781"
"Yes","2011","(Married) couple without C. ","indirect migration background","55","0.525626926617522","0.428721784605388","0.622532068629656"
"Yes","2011","Single parent ","no migration background","276","0.446719049725918","0.406501173284067","0.486936926167769"
"Yes","2011","Single parent ","direct migration background","41","0.5395584833989","0.421952329830376","0.657164636967425"
"Yes","2011","Single parent ","indirect migration background","24","","",""
"Yes","2011","Couple + C. LE 16 ","no migration background","1081","0.577802744322408","0.556215880152061","0.599389608492755"
"Yes","2011","Couple + C. LE 16 ","direct migration background","135","0.569865788092868","0.509453327640882","0.630278248544854"
"Yes","2011","Couple + C. LE 16 ","indirect migration background","85","0.555712101015022","0.474272199172031","0.637152002858012"
"Yes","2011","Couple + C. GT 16 ","no migration background","947","0.513557561146062","0.490499659605094","0.536615462687031"
"Yes","2011","Couple + C. GT 16 ","direct migration background","95","0.474443107840396","0.402095448479375","0.546790767201417"
"Yes","2011","Couple + C. GT 16 ","indirect migration background","50","0.515505498430033","0.41553460996984","0.615476386890226"
"Yes","2011","Couple + C. LE and GT 16","no migration background","335","0.521896880892153","0.48393126867403","0.559862493110276"
"Yes","2011","Couple + C. LE and GT 16","direct migration background","59","0.422105428205068","0.338167731711808","0.506043124698329"
"Yes","2011","Couple + C. LE and GT 16","indirect migration background","18","","",""
"No","2011","1-pers.-HH","no migration background","601","0.457488079445884","0.430612634737995","0.484363524153773"
"No","2011","1-pers.-HH","direct migration background","37","0.480672436784495","0.374457908578228","0.586886964990761"
"No","2011","1-pers.-HH","indirect migration background","26","","",""
"No","2011","(Married) couple without C. ","no migration background","1381","0.444829349696442","0.427330183707838","0.462328515685046"
"No","2011","(Married) couple without C. ","direct migration background","115","0.486859134516689","0.421549569008219","0.552168700025159"
"No","2011","(Married) couple without C. ","indirect migration background","47","0.474373073382478","0.377467931370344","0.571278215394612"
"No","2011","Single parent ","no migration background","311","0.553280950274082","0.513063073832231","0.593498826715933"
"No","2011","Single parent ","direct migration background","28","","",""
"No","2011","Single parent ","indirect migration background","22","","",""
"No","2011","Couple + C. LE 16 ","no migration background","930","0.422197255677592","0.400610391507245","0.443784119847938"
"No","2011","Couple + C. LE 16 ","direct migration background","123","0.430134211907132","0.369721751455146","0.490546672359118"
"No","2011","Couple + C. LE 16 ","indirect migration background","58","0.444287898984978","0.362847997141988","0.525727800827969"
"No","2011","Couple + C. GT 16 ","no migration background","858","0.486442438853938","0.463384537312969","0.509500340394906"
"No","2011","Couple + C. GT 16 ","direct migration background","88","0.525556892159604","0.453209232798583","0.597904551520625"
"No","2011","Couple + C. GT 16 ","indirect migration background","46","0.484494501569967","0.384523613109774","0.58446539003016"
"No","2011","Couple + C. LE and GT 16","no migration background","330","0.478103119107847","0.440137506889724","0.51606873132597"
"No","2011","Couple + C. LE and GT 16","direct migration background","74","0.577894571794932","0.493956875301671","0.661832268288192"
"No","2011","Couple + C. LE and GT 16","indirect migration background","21","","",""
"Yes","2012","1-pers.-HH","no migration background","","","",""
"Yes","2012","1-pers.-HH","direct migration background","","","",""
"Yes","2012","1-pers.-HH","indirect migration background","","","",""
"Yes","2012","(Married) couple without C. ","no migration background","","","",""
"Yes","2012","(Married) couple without C. ","direct migration background","","","",""
"Yes","2012","(Married) couple without C. ","indirect migration background","","","",""
"Yes","2012","Single parent ","no migration background","","","",""
"Yes","2012","Single parent ","direct migration background","","","",""
"Yes","2012","Single parent ","indirect migration background","","","",""
"Yes","2012","Couple + C. LE 16 ","no migration background","","","",""
"Yes","2012","Couple + C. LE 16 ","direct migration background","","","",""
