"plb0050","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2010","Not Working","West Germany","","","",""
"No","2010","Not Working","East Germany","","","",""
"Yes","2011","Full Time","West Germany","3275","0.599445927496746","0.586469873027316","0.612421981966175"
"Yes","2011","Full Time","East Germany","952","0.490076372002596","0.467185106285833","0.512967637719359"
"Yes","2011","Part Time","West Germany","1341","0.447709966556407","0.429847531700556","0.465572401412258"
"Yes","2011","Part Time","East Germany","306","0.4457571939972","0.408398400048206","0.483115987946194"
"Yes","2011","Not Working","West Germany","51","0.410898281113517","0.323595016719888","0.498201545507145"
"Yes","2011","Not Working","East Germany","15","","",""
"No","2011","Full Time","West Germany","2203","0.400554072503254","0.387578018033825","0.413530126972684"
"No","2011","Full Time","East Germany","880","0.509923627997404","0.487032362280641","0.532814893714167"
"No","2011","Part Time","West Germany","1636","0.552290033443593","0.534427598587742","0.570152468299444"
"No","2011","Part Time","East Germany","374","0.5542428060028","0.516884012053806","0.591601599951794"
"No","2011","Not Working","West Germany","71","0.589101718886483","0.501798454492854","0.676404983280112"
"No","2011","Not Working","East Germany","20","","",""
"Yes","2012","Full Time","West Germany","","","",""
"Yes","2012","Full Time","East Germany","","","",""
"Yes","2012","Part Time","West Germany","","","",""
"Yes","2012","Part Time","East Germany","","","",""
"Yes","2012","Not Working","West Germany","","","",""
"Yes","2012","Not Working","East Germany","","","",""
"No","2012","Full Time","West Germany","","","",""
"No","2012","Full Time","East Germany","","","",""
"No","2012","Part Time","West Germany","","","",""
"No","2012","Part Time","East Germany","","","",""
"No","2012","Not Working","West Germany","","","",""
"No","2012","Not Working","East Germany","","","",""
"Yes","2013","Full Time","West Germany","","","",""
"Yes","2013","Full Time","East Germany","","","",""
"Yes","2013","Part Time","West Germany","","","",""
"Yes","2013","Part Time","East Germany","","","",""
"Yes","2013","Not Working","West Germany","","","",""
"Yes","2013","Not Working","East Germany","","","",""
"No","2013","Full Time","West Germany","","","",""
"No","2013","Full Time","East Germany","","","",""
"No","2013","Part Time","West Germany","","","",""
"No","2013","Part Time","East Germany","","","",""
"No","2013","Not Working","West Germany","","","",""
"No","2013","Not Working","East Germany","","","",""
"Yes","2014","Full Time","West Germany","","","",""
"Yes","2014","Full Time","East Germany","","","",""
"Yes","2014","Part Time","West Germany","","","",""
"Yes","2014","Part Time","East Germany","","","",""
"Yes","2014","Not Working","West Germany","","","",""
"Yes","2014","Not Working","East Germany","","","",""
"No","2014","Full Time","West Germany","","","",""
"No","2014","Full Time","East Germany","","","",""
"No","2014","Part Time","West Germany","","","",""
"No","2014","Part Time","East Germany","","","",""
"No","2014","Not Working","West Germany","","","",""
"No","2014","Not Working","East Germany","","","",""
"Yes","2015","Full Time","West Germany","","","",""
"Yes","2015","Full Time","East Germany","","","",""
"Yes","2015","Part Time","West Germany","","","",""
"Yes","2015","Part Time","East Germany","","","",""
"Yes","2015","Not Working","West Germany","","","",""
"Yes","2015","Not Working","East Germany","","","",""
"No","2015","Full Time","West Germany","","","",""
"No","2015","Full Time","East Germany","","","",""
"No","2015","Part Time","West Germany","","","",""
"No","2015","Part Time","East Germany","","","",""
"No","2015","Not Working","West Germany","","","",""
"No","2015","Not Working","East Germany","","","",""
"Yes","2016","Full Time","West Germany","3936","0.604764143762681","0.593009166751612","0.61651912077375"
"Yes","2016","Full Time","East Germany","938","0.528816333235594","0.505574853443788","0.552057813027399"
"Yes","2016","Part Time","West Germany","1961","0.451527133071016","0.436714817545204","0.466339448596828"
"Yes","2016","Part Time","East Germany","362","0.439788910566895","0.406321838075186","0.473255983058604"
"Yes","2016","Not Working","West Germany","91","0.345210888635706","0.287531479261445","0.402890298009967"
"Yes","2016","Not Working","East Germany","22","","",""
"No","2016","Full Time","West Germany","2709","0.395235856237319","0.38348087922625","0.406990833248388"
"No","2016","Full Time","East Germany","834","0.471183666764406","0.447942186972601","0.494425146556212"
"No","2016","Part Time","West Germany","2375","0.548472866928984","0.533660551403172","0.563285182454796"
"No","2016","Part Time","East Germany","483","0.560211089433105","0.526744016941396","0.593678161924814"
"No","2016","Not Working","West Germany","170","0.654789111364294","0.597109701990033","0.712468520738555"
"No","2016","Not Working","East Germany","44","0.738304578018982","0.632259145789422","0.844350010248543"
"Yes","2017","Full Time","West Germany","","","",""
"Yes","2017","Full Time","East Germany","","","",""
"Yes","2017","Part Time","West Germany","","","",""
"Yes","2017","Part Time","East Germany","","","",""
"Yes","2017","Not Working","West Germany","","","",""
"Yes","2017","Not Working","East Germany","","","",""
"No","2017","Full Time","West Germany","","","",""
"No","2017","Full Time","East Germany","","","",""
"No","2017","Part Time","West Germany","","","",""
"No","2017","Part Time","East Germany","","","",""
"No","2017","Not Working","West Germany","","","",""
"No","2017","Not Working","East Germany","","","",""
"Yes","2018","Full Time","West Germany","","","",""
"Yes","2018","Full Time","East Germany","","","",""
"Yes","2018","Part Time","West Germany","","","",""
"Yes","2018","Part Time","East Germany","","","",""
"Yes","2018","Not Working","West Germany","","","",""
"Yes","2018","Not Working","East Germany","","","",""
"No","2018","Full Time","West Germany","","","",""
"No","2018","Full Time","East Germany","","","",""
"No","2018","Part Time","West Germany","","","",""
"No","2018","Part Time","East Germany","","","",""
"No","2018","Not Working","West Germany","","","",""
"No","2018","Not Working","East Germany","","","",""
"Yes","2019","Full Time","West Germany","3964","0.587678098994185","0.576532377686814","0.598823820301557"
"Yes","2019","Full Time","East Germany","1010","0.536015897038793","0.514916326402665","0.55711546767492"
"Yes","2019","Part Time","West Germany","2069","0.481251014218321","0.466636331891588","0.495865696545054"
"Yes","2019","Part Time","East Germany","378","0.46366878370691","0.431321846243677","0.496015721170144"
"Yes","2019","Not Working","West Germany","147","0.365158742624827","0.321015583131265","0.409301902118388"
"Yes","2019","Not Working","East Germany","41","0.418051176947552","0.33158421366374","0.504518140231363"
"No","2019","Full Time","West Germany","3529","0.412321901005815","0.401176179698443","0.423467622313186"
"No","2019","Full Time","East Germany","1136","0.463984102961207","0.44288453232508","0.485083673597335"
"No","2019","Part Time","West Germany","2421","0.518748985781679","0.504134303454946","0.533363668108412"
"No","2019","Part Time","East Germany","535","0.53633121629309","0.503984278829856","0.568678153756323"
"No","2019","Not Working","West Germany","310","0.634841257375173","0.590698097881612","0.678984416868735"
"No","2019","Not Working","East Germany","84","0.581948823052448","0.495481859768637","0.66841578633626"
