"plb0050","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2008","16-34 y.","East Germany","","","","","1"
"Yes","2008","66 and older","West Germany","","","","","1"
"Yes","2008","66 and older","East Germany","","","","","1"
"No","2009","16-34 y.","West Germany","","","","","2"
"No","2009","66 and older","West Germany","","","","","2"
"No","2009","66 and older","East Germany","","","","","2"
"No","2009","16-34 y.","East Germany","","","","","2"
"No","2009","35-65 y.","West Germany","","","","","2"
"No","2009","35-65 y.","East Germany","","","","","2"
"Yes","2009","35-65 y.","West Germany","","","","","1"
"Yes","2009","35-65 y.","East Germany","","","","","1"
"Yes","2009","16-34 y.","West Germany","","","","","1"
"Yes","2009","16-34 y.","East Germany","","","","","1"
"Yes","2009","66 and older","West Germany","","","","","1"
"Yes","2009","66 and older","East Germany","","","","","1"
"No","2010","16-34 y.","West Germany","","","","","2"
"No","2010","16-34 y.","East Germany","","","","","2"
"No","2010","66 and older","West Germany","","","","","2"
"No","2010","66 and older","East Germany","","","","","2"
"No","2010","35-65 y.","West Germany","","","","","2"
"No","2010","35-65 y.","East Germany","","","","","2"
"Yes","2010","35-65 y.","West Germany","","","","","1"
"Yes","2010","35-65 y.","East Germany","","","","","1"
"Yes","2010","16-34 y.","West Germany","","","","","1"
"Yes","2010","16-34 y.","East Germany","","","","","1"
"Yes","2010","66 and older","West Germany","","","","","1"
"Yes","2010","66 and older","East Germany","","","","","1"
"No","2011","16-34 y.","West Germany","993","0.468246076852638","0.446750191193636","0.48974196251164","2"
"No","2011","16-34 y.","East Germany","345","0.567548575251196","0.529256157378549","0.605840993123842","2"
"No","2011","66 and older","West Germany","138","0.804273405779199","0.744806298983229","0.863740512575168","2"
"No","2011","66 and older","East Germany","16","","","","2"
"No","2011","35-65 y.","West Germany","2779","0.432346550030008","0.420148282711197","0.444544817348819","2"
"No","2011","35-65 y.","East Germany","913","0.498200155779594","0.475628698239343","0.520771613319845","2"
"Yes","2011","35-65 y.","West Germany","3557","0.567653449969992","0.555455182651181","0.579851717288803","1"
"Yes","2011","35-65 y.","East Germany","972","0.501799844220406","0.479228386680155","0.524371301760657","1"
"Yes","2011","66 and older","West Germany","33","0.195726594220801","0.136259487424832","0.25519370101677","1"
"Yes","2011","16-34 y.","West Germany","1077","0.531753923147362","0.51025803748836","0.553249808806364","1"
"Yes","2011","16-34 y.","East Germany","298","0.432451424748804","0.394159006876158","0.470743842621451","1"
"Yes","2011","66 and older","East Germany","3","","","","1"
"No","2012","16-34 y.","West Germany","","","","","2"
"No","2012","16-34 y.","East Germany","","","","","2"
"No","2012","66 and older","West Germany","","","","","2"
"No","2012","66 and older","East Germany","","","","","2"
"No","2012","35-65 y.","West Germany","","","","","2"
"No","2012","35-65 y.","East Germany","","","","","2"
"Yes","2012","35-65 y.","West Germany","","","","","1"
"Yes","2012","35-65 y.","East Germany","","","","","1"
"Yes","2012","66 and older","West Germany","","","","","1"
"Yes","2012","66 and older","East Germany","","","","","1"
"Yes","2012","16-34 y.","West Germany","","","","","1"
"Yes","2012","16-34 y.","East Germany","","","","","1"
"No","2013","16-34 y.","West Germany","","","","","2"
"No","2013","16-34 y.","East Germany","","","","","2"
"No","2013","35-65 y.","West Germany","","","","","2"
"No","2013","35-65 y.","East Germany","","","","","2"
"No","2013","66 and older","West Germany","","","","","2"
"No","2013","66 and older","East Germany","","","","","2"
"Yes","2013","35-65 y.","West Germany","","","","","1"
"Yes","2013","35-65 y.","East Germany","","","","","1"
"Yes","2013","66 and older","West Germany","","","","","1"
"Yes","2013","66 and older","East Germany","","","","","1"
"Yes","2013","16-34 y.","West Germany","","","","","1"
"Yes","2013","16-34 y.","East Germany","","","","","1"
"No","2014","16-34 y.","West Germany","","","","","2"
"No","2014","16-34 y.","East Germany","","","","","2"
"No","2014","35-65 y.","West Germany","","","","","2"
"No","2014","35-65 y.","East Germany","","","","","2"
"No","2014","66 and older","West Germany","","","","","2"
"No","2014","66 and older","East Germany","","","","","2"
"Yes","2014","35-65 y.","West Germany","","","","","1"
"Yes","2014","35-65 y.","East Germany","","","","","1"
"Yes","2014","16-34 y.","West Germany","","","","","1"
"Yes","2014","66 and older","West Germany","","","","","1"
"Yes","2014","66 and older","East Germany","","","","","1"
"Yes","2014","16-34 y.","East Germany","","","","","1"
"No","2015","16-34 y.","West Germany","","","","","2"
"No","2015","16-34 y.","East Germany","","","","","2"
"No","2015","35-65 y.","West Germany","","","","","2"
"No","2015","35-65 y.","East Germany","","","","","2"
"No","2015","66 and older","West Germany","","","","","2"
"No","2015","66 and older","East Germany","","","","","2"
"Yes","2015","35-65 y.","West Germany","","","","","1"
"Yes","2015","35-65 y.","East Germany","","","","","1"
"Yes","2015","16-34 y.","West Germany","","","","","1"
"Yes","2015","16-34 y.","East Germany","","","","","1"
"Yes","2015","66 and older","West Germany","","","","","1"
"Yes","2015","66 and older","East Germany","","","","","1"
"No","2016","16-34 y.","West Germany","1411","0.478566397317082","0.460165086358414","0.496967708275751","2"
"No","2016","16-34 y.","East Germany","320","0.511252852027177","0.471188558505549","0.551317145548805","2"
"No","2016","35-65 y.","West Germany","3687","0.430996619120604","0.420283306642412","0.441709931598795","2"
"No","2016","35-65 y.","East Germany","1020","0.492624439433663","0.470998431137878","0.514250447729448","2"
"No","2016","66 and older","West Germany","156","0.786361746438343","0.729978410059468","0.842745082817218","2"
"No","2016","66 and older","East Germany","21","","","","2"
"Yes","2016","35-65 y.","West Germany","4521","0.569003380879396","0.558290068401205","0.579716693357588","1"
"Yes","2016","35-65 y.","East Germany","1033","0.507375560566337","0.485749552270552","0.529001568862122","1"
"Yes","2016","16-34 y.","West Germany","1420","0.521433602682918","0.503032291724249","0.539834913641586","1"
"Yes","2016","16-34 y.","East Germany","278","0.488747147972823","0.448682854451195","0.528811441494451","1"
"Yes","2016","66 and older","West Germany","47","0.213638253561657","0.157254917182782","0.270021589940532","1"
"Yes","2016","66 and older","East Germany","11","","","","1"
"No","2017","16-34 y.","West Germany","","","","","2"
"No","2017","16-34 y.","East Germany","","","","","2"
"No","2017","35-65 y.","West Germany","","","","","2"
"No","2017","35-65 y.","East Germany","","","","","2"
"No","2017","66 and older","West Germany","","","","","2"
"No","2017","66 and older","East Germany","","","","","2"
"Yes","2017","35-65 y.","West Germany","","","","","1"
"Yes","2017","35-65 y.","East Germany","","","","","1"
"Yes","2017","16-34 y.","West Germany","","","","","1"
"Yes","2017","16-34 y.","East Germany","","","","","1"
"Yes","2017","66 and older","West Germany","","","","","1"
"Yes","2017","66 and older","East Germany","","","","","1"
"No","2018","16-34 y.","West Germany","","","","","2"
"No","2018","16-34 y.","East Germany","","","","","2"
"No","2018","35-65 y.","West Germany","","","","","2"
"No","2018","35-65 y.","East Germany","","","","","2"
"No","2018","66 and older","West Germany","","","","","2"
"No","2018","66 and older","East Germany","","","","","2"
"Yes","2018","35-65 y.","West Germany","","","","","1"
"Yes","2018","35-65 y.","East Germany","","","","","1"
"Yes","2018","16-34 y.","West Germany","","","","","1"
"Yes","2018","16-34 y.","East Germany","","","","","1"
"Yes","2018","66 and older","West Germany","","","","","1"
"Yes","2018","66 and older","East Germany","","","","","1"
"No","2019","16-34 y.","West Germany","1372","0.45579198247902","0.437545502919593","0.474038462038447","2"
"No","2019","16-34 y.","East Germany","313","0.542430362049636","0.502433533525788","0.582427190573484","2"
"No","2019","35-65 y.","West Germany","4555","0.444093038136053","0.433922385364303","0.454263690907804","2"
"No","2019","35-65 y.","East Germany","1351","0.462767345475422","0.44317110534579","0.482363585605054","2"
"No","2019","66 and older","West Germany","333","0.749913952783254","0.707995368108726","0.791832537457783","2"
"No","2019","66 and older","East Germany","91","0.811797352291335","0.735567674539643","0.888027030043027","2"
"Yes","2019","35-65 y.","West Germany","4613","0.555906961863947","0.545736309092196","0.566077614635697","1"
"Yes","2019","35-65 y.","East Germany","1136","0.537232654524578","0.517636414394946","0.55682889465421","1"
"Yes","2019","16-34 y.","West Germany","1490","0.54420801752098","0.525961537961553","0.562454497080406","1"
"Yes","2019","66 and older","West Germany","77","0.250086047216746","0.208167462542217","0.292004631891274","1"
"Yes","2019","16-34 y.","East Germany","283","0.457569637950364","0.417572809426516","0.497566466474212","1"
"Yes","2019","66 and older","East Germany","10","","","","1"
