"plb0050","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Yes","2007","16-34 y.","Not Working","","","","","1"
"Yes","2007","35-65 y.","Full Time","","","","","1"
"Yes","2007","35-65 y.","Part Time","","","","","1"
"Yes","2007","35-65 y.","Not Working","","","","","1"
"Yes","2007","66 and older","Full Time","","","","","1"
"Yes","2007","66 and older","Part Time","","","","","1"
"Yes","2007","66 and older","Not Working","","","","","1"
"No","2008","16-34 y.","Full Time","","","","","2"
"No","2008","16-34 y.","Not Working","","","","","2"
"No","2008","35-65 y.","Full Time","","","","","2"
"No","2008","35-65 y.","Part Time","","","","","2"
"No","2008","66 and older","Full Time","","","","","2"
"No","2008","66 and older","Part Time","","","","","2"
"No","2008","66 and older","Not Working","","","","","2"
"No","2008","16-34 y.","Part Time","","","","","2"
"No","2008","35-65 y.","Not Working","","","","","2"
"Yes","2008","35-65 y.","Full Time","","","","","1"
"Yes","2008","16-34 y.","Full Time","","","","","1"
"Yes","2008","16-34 y.","Part Time","","","","","1"
"Yes","2008","16-34 y.","Not Working","","","","","1"
"Yes","2008","35-65 y.","Part Time","","","","","1"
"Yes","2008","35-65 y.","Not Working","","","","","1"
"Yes","2008","66 and older","Full Time","","","","","1"
"Yes","2008","66 and older","Part Time","","","","","1"
"Yes","2008","66 and older","Not Working","","","","","1"
"No","2009","16-34 y.","Full Time","","","","","2"
"No","2009","16-34 y.","Not Working","","","","","2"
"No","2009","35-65 y.","Full Time","","","","","2"
"No","2009","35-65 y.","Part Time","","","","","2"
"No","2009","66 and older","Full Time","","","","","2"
"No","2009","66 and older","Part Time","","","","","2"
"No","2009","66 and older","Not Working","","","","","2"
"No","2009","16-34 y.","Part Time","","","","","2"
"No","2009","35-65 y.","Not Working","","","","","2"
"Yes","2009","35-65 y.","Full Time","","","","","1"
"Yes","2009","16-34 y.","Full Time","","","","","1"
"Yes","2009","16-34 y.","Part Time","","","","","1"
"Yes","2009","16-34 y.","Not Working","","","","","1"
"Yes","2009","35-65 y.","Part Time","","","","","1"
"Yes","2009","35-65 y.","Not Working","","","","","1"
"Yes","2009","66 and older","Full Time","","","","","1"
"Yes","2009","66 and older","Part Time","","","","","1"
"Yes","2009","66 and older","Not Working","","","","","1"
"No","2010","16-34 y.","Full Time","","","","","2"
"No","2010","16-34 y.","Not Working","","","","","2"
"No","2010","35-65 y.","Full Time","","","","","2"
"No","2010","35-65 y.","Part Time","","","","","2"
"No","2010","66 and older","Full Time","","","","","2"
"No","2010","66 and older","Part Time","","","","","2"
"No","2010","66 and older","Not Working","","","","","2"
"No","2010","16-34 y.","Part Time","","","","","2"
"No","2010","35-65 y.","Not Working","","","","","2"
"Yes","2010","35-65 y.","Full Time","","","","","1"
"Yes","2010","66 and older","Part Time","","","","","1"
"Yes","2010","16-34 y.","Full Time","","","","","1"
"Yes","2010","16-34 y.","Part Time","","","","","1"
"Yes","2010","16-34 y.","Not Working","","","","","1"
"Yes","2010","35-65 y.","Part Time","","","","","1"
"Yes","2010","35-65 y.","Not Working","","","","","1"
"Yes","2010","66 and older","Full Time","","","","","1"
"Yes","2010","66 and older","Not Working","","","","","1"
"No","2011","16-34 y.","Full Time","814","0.468927598360832","0.445405267324938","0.492449929396725","2"
"No","2011","16-34 y.","Part Time","472","0.519326582941898","0.486666778925777","0.55198638695802","2"
"No","2011","16-34 y.","Not Working","52","0.552037707990732","0.446320976036831","0.657754439944633","2"
"No","2011","35-65 y.","Full Time","2234","0.399221382986029","0.386324150181223","0.412118615790834","2"
"No","2011","35-65 y.","Part Time","1422","0.54989774158115","0.530825933691006","0.568969549471294","2"
"No","2011","66 and older","Full Time","35","0.853645983401279","0.746749192076812","0.960542774725745","2"
"No","2011","66 and older","Part Time","116","0.783195035004232","0.715891725606871","0.850498344401592","2"
"No","2011","66 and older","Not Working","3","","","","2"
"No","2011","35-65 y.","Not Working","36","0.569852961388697","0.452178150757231","0.687527772020162","2"
"Yes","2011","35-65 y.","Full Time","3305","0.600778617013971","0.587881384209166","0.613675849818777","1"
"Yes","2011","66 and older","Part Time","28","","","","1"
"Yes","2011","16-34 y.","Full Time","915","0.531072401639169","0.507550070603275","0.554594732675062","1"
"Yes","2011","16-34 y.","Part Time","427","0.480673417058102","0.44801361304198","0.513333221074223","1"
"Yes","2011","16-34 y.","Not Working","33","0.447962292009268","0.342245560055367","0.553679023963169","1"
"Yes","2011","35-65 y.","Part Time","1192","0.45010225841885","0.431030450528706","0.469174066308994","1"
"Yes","2011","35-65 y.","Not Working","32","0.430147038611303","0.312472227979838","0.547821849242769","1"
"Yes","2011","66 and older","Full Time","7","","","","1"
"Yes","2011","66 and older","Not Working","1","","","","1"
"No","2012","16-34 y.","Full Time","","","","","2"
"No","2012","16-34 y.","Part Time","","","","","2"
"No","2012","16-34 y.","Not Working","","","","","2"
"No","2012","35-65 y.","Full Time","","","","","2"
"No","2012","35-65 y.","Part Time","","","","","2"
"No","2012","66 and older","Full Time","","","","","2"
"No","2012","66 and older","Part Time","","","","","2"
"No","2012","66 and older","Not Working","","","","","2"
"No","2012","35-65 y.","Not Working","","","","","2"
"Yes","2012","35-65 y.","Full Time","","","","","1"
"Yes","2012","66 and older","Part Time","","","","","1"
"Yes","2012","16-34 y.","Full Time","","","","","1"
"Yes","2012","16-34 y.","Part Time","","","","","1"
"Yes","2012","16-34 y.","Not Working","","","","","1"
"Yes","2012","35-65 y.","Part Time","","","","","1"
"Yes","2012","35-65 y.","Not Working","","","","","1"
"Yes","2012","66 and older","Full Time","","","","","1"
"Yes","2012","66 and older","Not Working","","","","","1"
"No","2013","16-34 y.","Full Time","","","","","2"
"No","2013","16-34 y.","Part Time","","","","","2"
"No","2013","16-34 y.","Not Working","","","","","2"
"No","2013","35-65 y.","Full Time","","","","","2"
"No","2013","35-65 y.","Part Time","","","","","2"
"No","2013","35-65 y.","Not Working","","","","","2"
"No","2013","66 and older","Full Time","","","","","2"
"No","2013","66 and older","Part Time","","","","","2"
"No","2013","66 and older","Not Working","","","","","2"
"Yes","2013","16-34 y.","Full Time","","","","","1"
"Yes","2013","16-34 y.","Part Time","","","","","1"
"Yes","2013","35-65 y.","Full Time","","","","","1"
"Yes","2013","66 and older","Part Time","","","","","1"
"Yes","2013","16-34 y.","Not Working","","","","","1"
"Yes","2013","35-65 y.","Part Time","","","","","1"
"Yes","2013","35-65 y.","Not Working","","","","","1"
"Yes","2013","66 and older","Full Time","","","","","1"
"Yes","2013","66 and older","Not Working","","","","","1"
"No","2014","16-34 y.","Full Time","","","","","2"
"No","2014","16-34 y.","Part Time","","","","","2"
"No","2014","16-34 y.","Not Working","","","","","2"
"No","2014","35-65 y.","Full Time","","","","","2"
"No","2014","35-65 y.","Part Time","","","","","2"
"No","2014","35-65 y.","Not Working","","","","","2"
"No","2014","66 and older","Full Time","","","","","2"
"No","2014","66 and older","Part Time","","","","","2"
"No","2014","66 and older","Not Working","","","","","2"
"Yes","2014","16-34 y.","Full Time","","","","","1"
"Yes","2014","16-34 y.","Part Time","","","","","1"
"Yes","2014","35-65 y.","Full Time","","","","","1"
"Yes","2014","66 and older","Part Time","","","","","1"
"Yes","2014","16-34 y.","Not Working","","","","","1"
"Yes","2014","35-65 y.","Part Time","","","","","1"
"Yes","2014","66 and older","Full Time","","","","","1"
"Yes","2014","66 and older","Not Working","","","","","1"
"Yes","2014","35-65 y.","Not Working","","","","","1"
"No","2015","16-34 y.","Full Time","","","","","2"
"No","2015","16-34 y.","Part Time","","","","","2"
"No","2015","16-34 y.","Not Working","","","","","2"
"No","2015","35-65 y.","Full Time","","","","","2"
"No","2015","35-65 y.","Part Time","","","","","2"
"No","2015","35-65 y.","Not Working","","","","","2"
"No","2015","66 and older","Full Time","","","","","2"
"No","2015","66 and older","Part Time","","","","","2"
"No","2015","66 and older","Not Working","","","","","2"
"Yes","2015","16-34 y.","Full Time","","","","","1"
"Yes","2015","16-34 y.","Part Time","","","","","1"
"Yes","2015","35-65 y.","Full Time","","","","","1"
"Yes","2015","16-34 y.","Not Working","","","","","1"
"Yes","2015","35-65 y.","Part Time","","","","","1"
"Yes","2015","35-65 y.","Not Working","","","","","1"
"Yes","2015","66 and older","Part Time","","","","","1"
"Yes","2015","66 and older","Full Time","","","","","1"
"Yes","2015","66 and older","Not Working","","","","","1"
"No","2016","16-34 y.","Full Time","893","0.440985900675659","0.418965728906517","0.463006072444801","2"
"No","2016","16-34 y.","Part Time","722","0.540158458194287","0.51304559163726","0.567271324751313","2"
"No","2016","16-34 y.","Not Working","116","0.685862749615643","0.617673420597715","0.754052078633572","2"
"No","2016","35-65 y.","Full Time","2615","0.395407610998317","0.383444726173104","0.40737049582353","2"
"No","2016","35-65 y.","Part Time","1999","0.534141902999664","0.518070873536285","0.550212932463044","2"
"No","2016","35-65 y.","Not Working","93","0.624081668337849","0.544695007043161","0.703468329632537","2"
"No","2016","66 and older","Full Time","35","0.673207966444188","0.539113913989264","0.807302018899112","2"
"No","2016","66 and older","Part Time","137","0.796599139571446","0.738118958804424","0.855079320338468","2"
"No","2016","66 and older","Not Working","5","","","","2"
"Yes","2016","16-34 y.","Full Time","1060","0.559014099324341","0.536993927555199","0.581034271093483","1"
"Yes","2016","16-34 y.","Part Time","576","0.459841541805713","0.432728675248687","0.48695440836274","1"
"Yes","2016","35-65 y.","Full Time","3802","0.604592389001683","0.59262950417647","0.616555273826896","1"
"Yes","2016","16-34 y.","Not Working","62","0.314137250384357","0.245947921366428","0.382326579402285","1"
"Yes","2016","35-65 y.","Part Time","1702","0.465858097000336","0.449787067536956","0.481929126463715","1"
"Yes","2016","35-65 y.","Not Working","50","0.375918331662151","0.296531670367463","0.455304992956839","1"
"Yes","2016","66 and older","Part Time","45","0.203400860428554","0.144920679661532","0.261881041195576","1"
"Yes","2016","66 and older","Not Working","1","","","","1"
"Yes","2016","66 and older","Full Time","12","","","","1"
"No","2017","16-34 y.","Full Time","","","","","2"
"No","2017","16-34 y.","Part Time","","","","","2"
"No","2017","16-34 y.","Not Working","","","","","2"
"No","2017","35-65 y.","Full Time","","","","","2"
"No","2017","35-65 y.","Part Time","","","","","2"
"No","2017","35-65 y.","Not Working","","","","","2"
"No","2017","66 and older","Full Time","","","","","2"
"No","2017","66 and older","Part Time","","","","","2"
"No","2017","66 and older","Not Working","","","","","2"
"Yes","2017","16-34 y.","Part Time","","","","","1"
"Yes","2017","35-65 y.","Full Time","","","","","1"
"Yes","2017","16-34 y.","Full Time","","","","","1"
"Yes","2017","16-34 y.","Not Working","","","","","1"
"Yes","2017","35-65 y.","Part Time","","","","","1"
"Yes","2017","35-65 y.","Not Working","","","","","1"
"Yes","2017","66 and older","Part Time","","","","","1"
"Yes","2017","66 and older","Full Time","","","","","1"
"Yes","2017","66 and older","Not Working","","","","","1"
"No","2018","16-34 y.","Full Time","","","","","2"
"No","2018","16-34 y.","Part Time","","","","","2"
"No","2018","16-34 y.","Not Working","","","","","2"
"No","2018","35-65 y.","Full Time","","","","","2"
"No","2018","35-65 y.","Part Time","","","","","2"
"No","2018","35-65 y.","Not Working","","","","","2"
"No","2018","66 and older","Full Time","","","","","2"
"No","2018","66 and older","Part Time","","","","","2"
"No","2018","66 and older","Not Working","","","","","2"
"Yes","2018","16-34 y.","Part Time","","","","","1"
"Yes","2018","35-65 y.","Full Time","","","","","1"
"Yes","2018","16-34 y.","Full Time","","","","","1"
"Yes","2018","16-34 y.","Not Working","","","","","1"
"Yes","2018","35-65 y.","Part Time","","","","","1"
"Yes","2018","35-65 y.","Not Working","","","","","1"
"Yes","2018","66 and older","Part Time","","","","","1"
"Yes","2018","66 and older","Not Working","","","","","1"
"Yes","2018","66 and older","Full Time","","","","","1"
"No","2019","16-34 y.","Full Time","894","0.443743704677806","0.421871133529856","0.465616275825756","2"
"No","2019","16-34 y.","Part Time","662","0.502178292062456","0.474636187606429","0.529720396518484","2"
"No","2019","16-34 y.","Not Working","133","0.53395008027478","0.468768726117674","0.599131434431885","2"
"No","2019","35-65 y.","Full Time","3630","0.409698220842301","0.398574372887342","0.420822068797259","2"
"No","2019","35-65 y.","Part Time","2069","0.50859707110754","0.492840315364997","0.524353826850083","2"
"No","2019","35-65 y.","Not Working","222","0.6667997019261","0.61449735427145","0.71910204958075","2"
"No","2019","66 and older","Full Time","151","0.687244009260619","0.619136281742836","0.755351736778401","2"
"No","2019","66 and older","Part Time","234","0.776110985355616","0.7279683173175","0.824253653393733","2"
"No","2019","66 and older","Not Working","40","0.768961844487092","0.647157318794763","0.890766370179422","2"
"Yes","2019","16-34 y.","Part Time","604","0.497821707937544","0.470279603481516","0.525363812393571","1"
"Yes","2019","35-65 y.","Full Time","3878","0.590301779157699","0.579177931202741","0.601425627112658","1"
"Yes","2019","35-65 y.","Not Working","90","0.3332002980739","0.28089795041925","0.38550264572855","1"
"Yes","2019","66 and older","Part Time","54","0.223889014644384","0.175746346606267","0.2720316826825","1"
"Yes","2019","16-34 y.","Full Time","1088","0.556256295322194","0.534383724174244","0.578128866470144","1"
"Yes","2019","16-34 y.","Not Working","92","0.46604991972522","0.400868565568115","0.531231273882326","1"
"Yes","2019","35-65 y.","Part Time","1798","0.49140292889246","0.475646173149917","0.507159684635003","1"
"Yes","2019","66 and older","Full Time","27","","","","1"
"Yes","2019","66 and older","Not Working","6","","","","1"
