"plb0050","year","bula_h","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Rhineland-Palatinate,Saarland","Part Time","127","0.606195203497391","0.542211285461644","0.670179121533138","2"
"No","2001","Rhineland-Palatinate,Saarland","Not Working","13","","","","2"
"No","2001","Baden-Württemberg","Full Time","451","0.415850262697204","0.386414803021326","0.445285722373082","2"
"No","2001","Rhineland-Palatinate,Saarland","Full Time","227","0.494400956569998","0.449859113530471","0.538942799609525","2"
"No","2001","Mecklenburg-Western Pomerania","Full Time","104","0.467491747967511","0.400643296698122","0.5343401992369","2"
"No","2001","Mecklenburg-Western Pomerania","Part Time","46","0.611162106934133","0.502277815634135","0.72004639823413","2"
"No","2001","Mecklenburg-Western Pomerania","Not Working","7","","","","2"
"No","2001","Saxony","Full Time","380","0.563162820091411","0.526207937341399","0.600117702841423","2"
"No","2001","Saxony","Part Time","112","0.613022886247387","0.541471331551472","0.684574440943301","2"
"No","2001","Saxony","Not Working","17","","","","2"
"No","2001","Saxony-Anhalt","Full Time","220","0.593611405087425","0.545113625663531","0.642109184511319","2"
"No","2001","Saxony-Anhalt","Part Time","64","0.637196071981233","0.548150646203503","0.726241497758964","2"
"No","2001","Thuringia","Part Time","61","0.54950451543095","0.458569734531506","0.640439296330394","2"
"No","2001","Thuringia","Not Working","10","","","","2"
"No","2001","Saxony-Anhalt","Not Working","14","","","","2"
"No","2001","Thuringia","Full Time","206","0.56416704920031","0.514699735361564","0.613634363039056","2"
"Yes","2001","Schleswig-Holstein","Full Time","142","0.572219712500423","0.511731142051386","0.63270828294946","1"
"Yes","2001","Schleswig-Holstein","Part Time","39","0.365331428560185","0.275752963691349","0.454909893429021","1"
"Yes","2001","Schleswig-Holstein","Not Working","1","","","","1"
"Yes","2001","Hamburg","Full Time","67","0.640509831295761","0.552035909588007","0.728983753003514","1"
"Yes","2001","Hamburg","Part Time","26","","","","1"
"Yes","2001","Hamburg","Not Working","2","","","","1"
"Yes","2001","Lower Saxony","Full Time","422","0.573610377119914","0.537636139932714","0.609584614307114","1"
"Yes","2001","Lower Saxony","Part Time","137","0.417943671977204","0.362681396634774","0.473205947319634","1"
"Yes","2001","Lower Saxony","Not Working","3","","","","1"
"Yes","2001","Bremen","Full Time","30","0.633368823359516","0.50363500708702","0.763102639632012","1"
"Yes","2001","Bremen","Part Time","19","","","","1"
"Yes","2001","Bremen","Not Working","","","","","1"
"Yes","2001","North Rhine-Westphalia","Full Time","1034","0.578368813854016","0.555389340034523","0.601348287673509","1"
"Yes","2001","North Rhine-Westphalia","Part Time","361","0.434018236452707","0.40036081830318","0.467675654602233","1"
"Yes","2001","North Rhine-Westphalia","Not Working","9","","","","1"
"Yes","2001","Hesse","Full Time","366","0.635773853548775","0.59661130146872","0.67493640562883","1"
"Yes","2001","Hesse","Part Time","119","0.458374384528368","0.398383547469183","0.518365221587553","1"
"Yes","2001","Hesse","Not Working","4","","","","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Full Time","257","0.505599043430002","0.461057200390475","0.550140886469529","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Part Time","97","0.393804796502609","0.329820878466862","0.457788714538356","1"
"Yes","2001","Rhineland-Palatinate,Saarland","Not Working","7","","","","1"
"Yes","2001","Baden-Württemberg","Full Time","626","0.584149737302796","0.554714277626918","0.613585196978674","1"
"Yes","2001","Baden-Württemberg","Part Time","209","0.423753649641736","0.379126571101413","0.46838072818206","1"
"Yes","2001","Baden-Württemberg","Not Working","8","","","","1"
"Yes","2001","Bavaria","Full Time","719","0.558053420441868","0.530772647880792","0.585334193002943","1"
"Yes","2001","Bavaria","Part Time","211","0.370725438644354","0.330432881194489","0.411017996094219","1"
"Yes","2001","Bavaria","Not Working","6","","","","1"
"Yes","2001","Berlin","Full Time","192","0.571604067113717","0.517130127560511","0.626078006666924","1"
"Yes","2001","Berlin","Part Time","52","0.389508383277722","0.306003725574024","0.47301304098142","1"
"Yes","2001","Berlin","Not Working","5","","","","1"
"Yes","2001","Brandenburg","Full Time","196","0.539272314838589","0.489286977545716","0.589257652131462","1"
"Yes","2001","Brandenburg","Part Time","54","0.47403082467301","0.382370982848776","0.565690666497243","1"
"Yes","2001","Brandenburg","Not Working","3","","","","1"
"Yes","2001","Mecklenburg-Western Pomerania","Full Time","110","0.532508252032489","0.4656598007631","0.599356703301878","1"
"Yes","2001","Mecklenburg-Western Pomerania","Part Time","31","0.388837893065867","0.27995360176587","0.497722184365864","1"
"Yes","2001","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","2001","Saxony","Full Time","312","0.436837179908589","0.399882297158577","0.473792062658601","1"
"Yes","2001","Saxony","Part Time","66","0.386977113752613","0.315425559056699","0.458528668448527","1"
"Yes","2001","Saxony","Not Working","","","","","1"
"Yes","2001","Saxony-Anhalt","Full Time","174","0.406388594912575","0.357890815488681","0.454886374336469","1"
"Yes","2001","Saxony-Anhalt","Part Time","48","0.362803928018767","0.273758502241037","0.451849353796497","1"
"Yes","2001","Saxony-Anhalt","Not Working","3","","","","1"
"Yes","2001","Thuringia","Full Time","180","0.43583295079969","0.386365636960944","0.485300264638436","1"
"Yes","2001","Thuringia","Part Time","54","0.45049548456905","0.359560703669606","0.541430265468494","1"
"Yes","2001","Thuringia","Not Working","4","","","","1"
"No","2002","Berlin","Part Time","","","","","2"
"No","2002","Schleswig-Holstein","Part Time","","","","","2"
"No","2002","Hamburg","Part Time","","","","","2"
"No","2002","Hamburg","Not Working","","","","","2"
"No","2002","Schleswig-Holstein","Full Time","","","","","2"
"No","2002","Hamburg","Full Time","","","","","2"
"No","2002","Lower Saxony","Full Time","","","","","2"
"No","2002","Bavaria","Part Time","","","","","2"
"No","2002","Bavaria","Not Working","","","","","2"
"No","2002","Berlin","Full Time","","","","","2"
"No","2002","Schleswig-Holstein","Not Working","","","","","2"
"No","2002","Lower Saxony","Part Time","","","","","2"
"No","2002","Lower Saxony","Not Working","","","","","2"
"No","2002","Bremen","Full Time","","","","","2"
"No","2002","Bremen","Not Working","","","","","2"
"No","2002","Baden-Württemberg","Part Time","","","","","2"
"No","2002","Baden-Württemberg","Not Working","","","","","2"
"No","2002","Bavaria","Full Time","","","","","2"
"No","2002","Brandenburg","Part Time","","","","","2"
"No","2002","Brandenburg","Not Working","","","","","2"
"No","2002","Bremen","Part Time","","","","","2"
"No","2002","Berlin","Not Working","","","","","2"
"No","2002","Brandenburg","Full Time","","","","","2"
"No","2002","North Rhine-Westphalia","Full Time","","","","","2"
"No","2002","North Rhine-Westphalia","Part Time","","","","","2"
"No","2002","North Rhine-Westphalia","Not Working","","","","","2"
"No","2002","Hesse","Full Time","","","","","2"
"No","2002","Hesse","Part Time","","","","","2"
"No","2002","Rhineland-Palatinate,Saarland","Part Time","","","","","2"
"No","2002","Rhineland-Palatinate,Saarland","Not Working","","","","","2"
"No","2002","Baden-Württemberg","Full Time","","","","","2"
"No","2002","Hesse","Not Working","","","","","2"
"No","2002","Rhineland-Palatinate,Saarland","Full Time","","","","","2"
"No","2002","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","2002","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","2002","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","2002","Saxony","Full Time","","","","","2"
"No","2002","Saxony","Part Time","","","","","2"
"No","2002","Saxony","Not Working","","","","","2"
"No","2002","Saxony-Anhalt","Full Time","","","","","2"
"No","2002","Saxony-Anhalt","Part Time","","","","","2"
"No","2002","Saxony-Anhalt","Not Working","","","","","2"
"No","2002","Thuringia","Full Time","","","","","2"
"No","2002","Thuringia","Part Time","","","","","2"
"No","2002","Thuringia","Not Working","","","","","2"
"Yes","2002","Schleswig-Holstein","Full Time","","","","","1"
"Yes","2002","Schleswig-Holstein","Part Time","","","","","1"
"Yes","2002","Schleswig-Holstein","Not Working","","","","","1"
"Yes","2002","Hamburg","Full Time","","","","","1"
"Yes","2002","Hamburg","Part Time","","","","","1"
"Yes","2002","Hamburg","Not Working","","","","","1"
"Yes","2002","Lower Saxony","Full Time","","","","","1"
"Yes","2002","Lower Saxony","Part Time","","","","","1"
"Yes","2002","Lower Saxony","Not Working","","","","","1"
"Yes","2002","Bremen","Full Time","","","","","1"
"Yes","2002","Bremen","Part Time","","","","","1"
"Yes","2002","Bremen","Not Working","","","","","1"
"Yes","2002","North Rhine-Westphalia","Full Time","","","","","1"
"Yes","2002","North Rhine-Westphalia","Part Time","","","","","1"
"Yes","2002","North Rhine-Westphalia","Not Working","","","","","1"
"Yes","2002","Hesse","Full Time","","","","","1"
"Yes","2002","Hesse","Part Time","","","","","1"
"Yes","2002","Hesse","Not Working","","","","","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Full Time","","","","","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Part Time","","","","","1"
"Yes","2002","Rhineland-Palatinate,Saarland","Not Working","","","","","1"
"Yes","2002","Baden-Württemberg","Full Time","","","","","1"
"Yes","2002","Baden-Württemberg","Part Time","","","","","1"
"Yes","2002","Baden-Württemberg","Not Working","","","","","1"
"Yes","2002","Bavaria","Full Time","","","","","1"
"Yes","2002","Bavaria","Part Time","","","","","1"
"Yes","2002","Bavaria","Not Working","","","","","1"
"Yes","2002","Berlin","Full Time","","","","","1"
"Yes","2002","Berlin","Part Time","","","","","1"
"Yes","2002","Berlin","Not Working","","","","","1"
"Yes","2002","Brandenburg","Full Time","","","","","1"
"Yes","2002","Brandenburg","Part Time","","","","","1"
"Yes","2002","Brandenburg","Not Working","","","","","1"
"Yes","2002","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","2002","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","2002","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","2002","Saxony","Full Time","","","","","1"
"Yes","2002","Saxony","Part Time","","","","","1"
"Yes","2002","Saxony","Not Working","","","","","1"
"Yes","2002","Saxony-Anhalt","Full Time","","","","","1"
"Yes","2002","Saxony-Anhalt","Part Time","","","","","1"
"Yes","2002","Saxony-Anhalt","Not Working","","","","","1"
"Yes","2002","Thuringia","Full Time","","","","","1"
"Yes","2002","Thuringia","Part Time","","","","","1"
"Yes","2002","Thuringia","Not Working","","","","","1"
"No","2003","Schleswig-Holstein","Part Time","","","","","2"
"No","2003","Berlin","Part Time","","","","","2"
"No","2003","Schleswig-Holstein","Full Time","","","","","2"
"No","2003","Brandenburg","Not Working","","","","","2"
"No","2003","Berlin","Not Working","","","","","2"
"No","2003","Schleswig-Holstein","Not Working","","","","","2"
"No","2003","Brandenburg","Part Time","","","","","2"
"No","2003","Hamburg","Part Time","","","","","2"
"No","2003","Hamburg","Not Working","","","","","2"
"No","2003","Lower Saxony","Full Time","","","","","2"
"No","2003","Bavaria","Part Time","","","","","2"
"No","2003","Bavaria","Not Working","","","","","2"
"No","2003","Brandenburg","Full Time","","","","","2"
"No","2003","Hamburg","Full Time","","","","","2"
"No","2003","Berlin","Full Time","","","","","2"
"No","2003","Lower Saxony","Part Time","","","","","2"
"No","2003","Bremen","Part Time","","","","","2"
"No","2003","Bremen","Not Working","","","","","2"
"No","2003","Baden-Württemberg","Part Time","","","","","2"
"No","2003","Baden-Württemberg","Not Working","","","","","2"
"No","2003","Bavaria","Full Time","","","","","2"
"No","2003","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","2003","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","2003","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","2003","Saxony","Full Time","","","","","2"
"No","2003","Lower Saxony","Not Working","","","","","2"
"No","2003","Bremen","Full Time","","","","","2"
"No","2003","North Rhine-Westphalia","Full Time","","","","","2"
"No","2003","North Rhine-Westphalia","Part Time","","","","","2"
"No","2003","North Rhine-Westphalia","Not Working","","","","","2"
"No","2003","Hesse","Full Time","","","","","2"
"No","2003","Hesse","Part Time","","","","","2"
"No","2003","Rhineland-Palatinate,Saarland","Part Time","","","","","2"
"No","2003","Rhineland-Palatinate,Saarland","Not Working","","","","","2"
"No","2003","Baden-Württemberg","Full Time","","","","","2"
"No","2003","Hesse","Not Working","","","","","2"
"No","2003","Rhineland-Palatinate,Saarland","Full Time","","","","","2"
"No","2003","Saxony","Part Time","","","","","2"
"No","2003","Saxony","Not Working","","","","","2"
"No","2003","Saxony-Anhalt","Full Time","","","","","2"
"No","2003","Saxony-Anhalt","Part Time","","","","","2"
"No","2003","Saxony-Anhalt","Not Working","","","","","2"
"No","2003","Thuringia","Full Time","","","","","2"
"No","2003","Thuringia","Part Time","","","","","2"
"No","2003","Thuringia","Not Working","","","","","2"
"Yes","2003","Schleswig-Holstein","Full Time","","","","","1"
"Yes","2003","Schleswig-Holstein","Part Time","","","","","1"
"Yes","2003","Schleswig-Holstein","Not Working","","","","","1"
"Yes","2003","Hamburg","Full Time","","","","","1"
"Yes","2003","Hamburg","Part Time","","","","","1"
"Yes","2003","Hamburg","Not Working","","","","","1"
"Yes","2003","Lower Saxony","Full Time","","","","","1"
"Yes","2003","Lower Saxony","Part Time","","","","","1"
"Yes","2003","Lower Saxony","Not Working","","","","","1"
"Yes","2003","Bremen","Full Time","","","","","1"
"Yes","2003","Bremen","Part Time","","","","","1"
"Yes","2003","Bremen","Not Working","","","","","1"
"Yes","2003","North Rhine-Westphalia","Full Time","","","","","1"
"Yes","2003","North Rhine-Westphalia","Part Time","","","","","1"
"Yes","2003","North Rhine-Westphalia","Not Working","","","","","1"
"Yes","2003","Hesse","Full Time","","","","","1"
"Yes","2003","Hesse","Part Time","","","","","1"
"Yes","2003","Hesse","Not Working","","","","","1"
"Yes","2003","Rhineland-Palatinate,Saarland","Full Time","","","","","1"
"Yes","2003","Rhineland-Palatinate,Saarland","Part Time","","","","","1"
"Yes","2003","Rhineland-Palatinate,Saarland","Not Working","","","","","1"
"Yes","2003","Baden-Württemberg","Full Time","","","","","1"
"Yes","2003","Baden-Württemberg","Part Time","","","","","1"
"Yes","2003","Baden-Württemberg","Not Working","","","","","1"
"Yes","2003","Bavaria","Full Time","","","","","1"
"Yes","2003","Bavaria","Part Time","","","","","1"
"Yes","2003","Bavaria","Not Working","","","","","1"
"Yes","2003","Berlin","Full Time","","","","","1"
"Yes","2003","Berlin","Part Time","","","","","1"
"Yes","2003","Berlin","Not Working","","","","","1"
"Yes","2003","Brandenburg","Full Time","","","","","1"
"Yes","2003","Brandenburg","Part Time","","","","","1"
"Yes","2003","Brandenburg","Not Working","","","","","1"
"Yes","2003","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","2003","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","2003","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","2003","Saxony","Full Time","","","","","1"
"Yes","2003","Saxony","Part Time","","","","","1"
"Yes","2003","Saxony","Not Working","","","","","1"
"Yes","2003","Saxony-Anhalt","Full Time","","","","","1"
"Yes","2003","Saxony-Anhalt","Part Time","","","","","1"
"Yes","2003","Saxony-Anhalt","Not Working","","","","","1"
"Yes","2003","Thuringia","Full Time","","","","","1"
"Yes","2003","Thuringia","Part Time","","","","","1"
"Yes","2003","Thuringia","Not Working","","","","","1"
"No","2004","Berlin","Not Working","","","","","2"
"No","2004","Brandenburg","Full Time","","","","","2"
"No","2004","Brandenburg","Part Time","","","","","2"
"No","2004","Berlin","Part Time","","","","","2"
"No","2004","Schleswig-Holstein","Not Working","","","","","2"
"No","2004","Hamburg","Full Time","","","","","2"
"No","2004","Hamburg","Part Time","","","","","2"
"No","2004","Hamburg","Not Working","","","","","2"
"No","2004","Brandenburg","Not Working","","","","","2"
"No","2004","Schleswig-Holstein","Full Time","","","","","2"
"No","2004","Schleswig-Holstein","Part Time","","","","","2"
"No","2004","Bavaria","Part Time","","","","","2"
"No","2004","Bavaria","Not Working","","","","","2"
"No","2004","Berlin","Full Time","","","","","2"
"No","2004","Lower Saxony","Full Time","","","","","2"
"No","2004","Lower Saxony","Part Time","","","","","2"
"No","2004","Lower Saxony","Not Working","","","","","2"
"No","2004","Bremen","Full Time","","","","","2"
"No","2004","Bremen","Part Time","","","","","2"
"No","2004","Bremen","Not Working","","","","","2"
"No","2004","North Rhine-Westphalia","Full Time","","","","","2"
"No","2004","North Rhine-Westphalia","Part Time","","","","","2"
"No","2004","North Rhine-Westphalia","Not Working","","","","","2"
"No","2004","Hesse","Full Time","","","","","2"
"No","2004","Rhineland-Palatinate,Saarland","Part Time","","","","","2"
"No","2004","Rhineland-Palatinate,Saarland","Not Working","","","","","2"
"No","2004","Baden-Württemberg","Part Time","","","","","2"
"No","2004","Baden-Württemberg","Not Working","","","","","2"
"No","2004","Bavaria","Full Time","","","","","2"
"No","2004","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","2004","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","2004","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","2004","Saxony","Full Time","","","","","2"
"No","2004","Hesse","Part Time","","","","","2"
"No","2004","Hesse","Not Working","","","","","2"
"No","2004","Rhineland-Palatinate,Saarland","Full Time","","","","","2"
"No","2004","Baden-Württemberg","Full Time","","","","","2"
"No","2004","Saxony","Part Time","","","","","2"
"No","2004","Saxony","Not Working","","","","","2"
"No","2004","Saxony-Anhalt","Full Time","","","","","2"
"No","2004","Saxony-Anhalt","Part Time","","","","","2"
"No","2004","Saxony-Anhalt","Not Working","","","","","2"
"No","2004","Thuringia","Full Time","","","","","2"
"No","2004","Thuringia","Part Time","","","","","2"
"No","2004","Thuringia","Not Working","","","","","2"
"Yes","2004","Schleswig-Holstein","Full Time","","","","","1"
"Yes","2004","Schleswig-Holstein","Part Time","","","","","1"
"Yes","2004","Schleswig-Holstein","Not Working","","","","","1"
"Yes","2004","Hamburg","Full Time","","","","","1"
"Yes","2004","Hamburg","Part Time","","","","","1"
"Yes","2004","Hamburg","Not Working","","","","","1"
"Yes","2004","Lower Saxony","Full Time","","","","","1"
"Yes","2004","Lower Saxony","Part Time","","","","","1"
"Yes","2004","Lower Saxony","Not Working","","","","","1"
"Yes","2004","Bremen","Full Time","","","","","1"
"Yes","2004","Bremen","Part Time","","","","","1"
"Yes","2004","Bremen","Not Working","","","","","1"
"Yes","2004","North Rhine-Westphalia","Full Time","","","","","1"
"Yes","2004","North Rhine-Westphalia","Part Time","","","","","1"
"Yes","2004","North Rhine-Westphalia","Not Working","","","","","1"
"Yes","2004","Hesse","Not Working","","","","","1"
"Yes","2004","Rhineland-Palatinate,Saarland","Full Time","","","","","1"
"Yes","2004","Rhineland-Palatinate,Saarland","Part Time","","","","","1"
"Yes","2004","Rhineland-Palatinate,Saarland","Not Working","","","","","1"
"Yes","2004","Baden-Württemberg","Full Time","","","","","1"
"Yes","2004","Baden-Württemberg","Part Time","","","","","1"
"Yes","2004","Baden-Württemberg","Not Working","","","","","1"
"Yes","2004","Bavaria","Full Time","","","","","1"
"Yes","2004","Bavaria","Part Time","","","","","1"
"Yes","2004","Bavaria","Not Working","","","","","1"
"Yes","2004","Berlin","Full Time","","","","","1"
"Yes","2004","Berlin","Part Time","","","","","1"
"Yes","2004","Berlin","Not Working","","","","","1"
"Yes","2004","Brandenburg","Full Time","","","","","1"
"Yes","2004","Brandenburg","Part Time","","","","","1"
"Yes","2004","Brandenburg","Not Working","","","","","1"
"Yes","2004","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","2004","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","2004","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","2004","Saxony","Full Time","","","","","1"
"Yes","2004","Saxony","Part Time","","","","","1"
"Yes","2004","Saxony","Not Working","","","","","1"
"Yes","2004","Saxony-Anhalt","Full Time","","","","","1"
"Yes","2004","Saxony-Anhalt","Part Time","","","","","1"
"Yes","2004","Saxony-Anhalt","Not Working","","","","","1"
"Yes","2004","Thuringia","Full Time","","","","","1"
"Yes","2004","Thuringia","Part Time","","","","","1"
"Yes","2004","Thuringia","Not Working","","","","","1"
"Yes","2004","Hesse","Full Time","","","","","1"
"Yes","2004","Hesse","Part Time","","","","","1"
"No","2005","Schleswig-Holstein","Full Time","","","","","2"
"No","2005","Hamburg","Not Working","","","","","2"
"No","2005","Berlin","Part Time","","","","","2"
"No","2005","Berlin","Not Working","","","","","2"
"No","2005","Brandenburg","Not Working","","","","","2"
"No","2005","Schleswig-Holstein","Part Time","","","","","2"
"No","2005","Schleswig-Holstein","Not Working","","","","","2"
"No","2005","Hamburg","Full Time","","","","","2"
"No","2005","Hamburg","Part Time","","","","","2"
"No","2005","Lower Saxony","Full Time","","","","","2"
"No","2005","Lower Saxony","Part Time","","","","","2"
"No","2005","Brandenburg","Full Time","","","","","2"
"No","2005","Brandenburg","Part Time","","","","","2"
"No","2005","Lower Saxony","Not Working","","","","","2"
"No","2005","Bremen","Full Time","","","","","2"
"No","2005","Bremen","Part Time","","","","","2"
"No","2005","Bremen","Not Working","","","","","2"
"No","2005","North Rhine-Westphalia","Part Time","","","","","2"
"No","2005","North Rhine-Westphalia","Not Working","","","","","2"
"No","2005","Hesse","Full Time","","","","","2"
"No","2005","Bavaria","Part Time","","","","","2"
"No","2005","Bavaria","Not Working","","","","","2"
"No","2005","Berlin","Full Time","","","","","2"
"No","2005","North Rhine-Westphalia","Full Time","","","","","2"
"No","2005","Hesse","Part Time","","","","","2"
"No","2005","Hesse","Not Working","","","","","2"
"No","2005","Rhineland-Palatinate,Saarland","Full Time","","","","","2"
"No","2005","Rhineland-Palatinate,Saarland","Part Time","","","","","2"
"No","2005","Rhineland-Palatinate,Saarland","Not Working","","","","","2"
"No","2005","Baden-Württemberg","Part Time","","","","","2"
"No","2005","Baden-Württemberg","Not Working","","","","","2"
"No","2005","Bavaria","Full Time","","","","","2"
"No","2005","Mecklenburg-Western Pomerania","Full Time","","","","","2"
"No","2005","Mecklenburg-Western Pomerania","Part Time","","","","","2"
"No","2005","Mecklenburg-Western Pomerania","Not Working","","","","","2"
"No","2005","Saxony","Full Time","","","","","2"
"No","2005","Baden-Württemberg","Full Time","","","","","2"
"No","2005","Saxony","Part Time","","","","","2"
"No","2005","Saxony","Not Working","","","","","2"
"No","2005","Saxony-Anhalt","Full Time","","","","","2"
"No","2005","Saxony-Anhalt","Part Time","","","","","2"
"No","2005","Saxony-Anhalt","Not Working","","","","","2"
"No","2005","Thuringia","Full Time","","","","","2"
"No","2005","Thuringia","Part Time","","","","","2"
"No","2005","Thuringia","Not Working","","","","","2"
"Yes","2005","Hesse","Not Working","","","","","1"
"Yes","2005","Rhineland-Palatinate,Saarland","Full Time","","","","","1"
"Yes","2005","Schleswig-Holstein","Full Time","","","","","1"
"Yes","2005","Schleswig-Holstein","Part Time","","","","","1"
"Yes","2005","Schleswig-Holstein","Not Working","","","","","1"
"Yes","2005","Hamburg","Full Time","","","","","1"
"Yes","2005","Hamburg","Part Time","","","","","1"
"Yes","2005","Hamburg","Not Working","","","","","1"
"Yes","2005","Lower Saxony","Full Time","","","","","1"
"Yes","2005","Lower Saxony","Part Time","","","","","1"
"Yes","2005","Lower Saxony","Not Working","","","","","1"
"Yes","2005","Bremen","Full Time","","","","","1"
"Yes","2005","Bremen","Part Time","","","","","1"
"Yes","2005","Bremen","Not Working","","","","","1"
"Yes","2005","North Rhine-Westphalia","Full Time","","","","","1"
"Yes","2005","North Rhine-Westphalia","Part Time","","","","","1"
"Yes","2005","North Rhine-Westphalia","Not Working","","","","","1"
"Yes","2005","Hesse","Full Time","","","","","1"
"Yes","2005","Hesse","Part Time","","","","","1"
"Yes","2005","Rhineland-Palatinate,Saarland","Part Time","","","","","1"
"Yes","2005","Rhineland-Palatinate,Saarland","Not Working","","","","","1"
"Yes","2005","Baden-Württemberg","Full Time","","","","","1"
"Yes","2005","Baden-Württemberg","Part Time","","","","","1"
"Yes","2005","Baden-Württemberg","Not Working","","","","","1"
"Yes","2005","Bavaria","Full Time","","","","","1"
"Yes","2005","Bavaria","Part Time","","","","","1"
"Yes","2005","Bavaria","Not Working","","","","","1"
"Yes","2005","Berlin","Full Time","","","","","1"
"Yes","2005","Berlin","Part Time","","","","","1"
"Yes","2005","Berlin","Not Working","","","","","1"
"Yes","2005","Brandenburg","Full Time","","","","","1"
"Yes","2005","Brandenburg","Part Time","","","","","1"
"Yes","2005","Brandenburg","Not Working","","","","","1"
"Yes","2005","Mecklenburg-Western Pomerania","Full Time","","","","","1"
"Yes","2005","Mecklenburg-Western Pomerania","Part Time","","","","","1"
"Yes","2005","Mecklenburg-Western Pomerania","Not Working","","","","","1"
"Yes","2005","Saxony","Full Time","","","","","1"
"Yes","2005","Saxony","Part Time","","","","","1"
"Yes","2005","Saxony","Not Working","","","","","1"
"Yes","2005","Saxony-Anhalt","Full Time","","","","","1"
"Yes","2005","Saxony-Anhalt","Part Time","","","","","1"
"Yes","2005","Saxony-Anhalt","Not Working","","","","","1"
"Yes","2005","Thuringia","Full Time","","","","","1"
"Yes","2005","Thuringia","Part Time","","","","","1"
"Yes","2005","Thuringia","Not Working","","","","","1"
"No","2006","Schleswig-Holstein","Not Working","8","","","","2"
"No","2006","Hamburg","Full Time","56","0.525155779650233","0.431409402147954","0.618902157152513","2"
"No","2006","Hamburg","Not Working","1","","","","2"
"No","2006","Lower Saxony","Full Time","304","0.421382049961871","0.384296177365632","0.45846792255811","2"
"No","2006","Lower Saxony","Part Time","209","0.578983381713306","0.528878926583709","0.629087836842903","2"
"No","2006","Lower Saxony","Not Working","16","","","","2"
