"plb0050","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2005","(2a) intermediate vocational","Male","","","",""
"Yes","2005","(2a) intermediate vocational","Female","","","",""
"Yes","2005","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2005","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2005","(3a) lower tertiary education","Male","","","",""
"Yes","2005","(3a) lower tertiary education","Female","","","",""
"Yes","2005","(3b) higher tertiary education","Male","","","",""
"Yes","2005","(3b) higher tertiary education","Female","","","",""
"No","2005","(0) in school","Male","","","",""
"No","2005","(0) in school","Female","","","",""
"No","2005","(1a) inadequately completed","Male","","","",""
"No","2005","(1a) inadequately completed","Female","","","",""
"No","2005","(1b) general elementary school","Male","","","",""
"No","2005","(1b) general elementary school","Female","","","",""
"No","2005","(1c) basic vocational qualification","Male","","","",""
"No","2005","(1c) basic vocational qualification","Female","","","",""
"No","2005","(2b) intermediate general qualification","Male","","","",""
"No","2005","(2b) intermediate general qualification","Female","","","",""
"No","2005","(2a) intermediate vocational","Male","","","",""
"No","2005","(2a) intermediate vocational","Female","","","",""
"No","2005","(2c_gen) general maturity certificate","Male","","","",""
"No","2005","(2c_gen) general maturity certificate","Female","","","",""
"No","2005","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2005","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2005","(3a) lower tertiary education","Male","","","",""
"No","2005","(3a) lower tertiary education","Female","","","",""
"No","2005","(3b) higher tertiary education","Male","","","",""
"No","2005","(3b) higher tertiary education","Female","","","",""
"Yes","2006","(0) in school","Male","2","","",""
"Yes","2006","(0) in school","Female","2","","",""
"Yes","2006","(1a) inadequately completed","Male","16","","",""
"Yes","2006","(1a) inadequately completed","Female","17","","",""
"Yes","2006","(1b) general elementary school","Male","122","0.432607193048522","0.373837212290075","0.491377173806969"
"Yes","2006","(1b) general elementary school","Female","117","0.394441238329567","0.340211176835619","0.448671299823514"
"Yes","2006","(1c) basic vocational qualification","Male","845","0.499523746630999","0.475463797470096","0.523583695791903"
"Yes","2006","(1c) basic vocational qualification","Female","438","0.436037722452935","0.405942816121205","0.466132628784665"
"Yes","2006","(2b) intermediate general qualification","Male","73","0.464898505910697","0.383716225417901","0.546080786403493"
"Yes","2006","(2b) intermediate general qualification","Female","90","0.444657209828116","0.373434166657602","0.515880252998629"
"Yes","2006","(2a) intermediate vocational","Male","825","0.525317526066239","0.501244859080867","0.54939019305161"
"Yes","2006","(2a) intermediate vocational","Female","885","0.481718841105856","0.459078095533728","0.504359586677985"
"Yes","2006","(2c_gen) general maturity certificate","Male","77","0.422950584346664","0.349963994167109","0.49593717452622"
"Yes","2006","(2c_gen) general maturity certificate","Female","80","0.459017039765142","0.387973697330867","0.530060382199417"
"Yes","2006","(2c_voc) vocational maturity certificate","Male","282","0.512235079575726","0.469148426532068","0.555321732619384"
"Yes","2006","(2c_voc) vocational maturity certificate","Female","319","0.52638411202472","0.486465505493027","0.566302718556413"
"Yes","2006","(3a) lower tertiary education","Male","380","0.613189668145639","0.575309868298253","0.651069467993026"
"Yes","2006","(3a) lower tertiary education","Female","321","0.567280405738693","0.525836174241484","0.608724637235902"
"Yes","2006","(3b) higher tertiary education","Male","703","0.591778472730393","0.563321852688106","0.620235092772679"
"Yes","2006","(3b) higher tertiary education","Female","509","0.585050128918716","0.551789637589622","0.618310620247811"
"No","2006","(0) in school","Male","19","","",""
"No","2006","(0) in school","Female","17","","",""
"No","2006","(1a) inadequately completed","Male","22","","",""
"No","2006","(1a) inadequately completed","Female","14","","",""
"No","2006","(1b) general elementary school","Male","151","0.567392806951478","0.508622826193031","0.626162787709925"
"No","2006","(1b) general elementary school","Female","195","0.605558761670433","0.551328700176486","0.659788823164381"
"No","2006","(1c) basic vocational qualification","Male","814","0.500476253369001","0.476416304208097","0.524536202529904"
"No","2006","(1c) basic vocational qualification","Female","605","0.563962277547065","0.533867371215335","0.594057183878795"
"No","2006","(2b) intermediate general qualification","Male","72","0.535101494089303","0.453919213596507","0.616283774582099"
"No","2006","(2b) intermediate general qualification","Female","97","0.555342790171884","0.48411974700137","0.626565833342398"
"No","2006","(2a) intermediate vocational","Male","828","0.474682473933761","0.45060980694839","0.498755140919133"
"No","2006","(2a) intermediate vocational","Female","986","0.518281158894144","0.495640413322015","0.540921904466273"
"No","2006","(2c_gen) general maturity certificate","Male","99","0.577049415653336","0.50406282547378","0.650036005832891"
"No","2006","(2c_gen) general maturity certificate","Female","109","0.540982960234858","0.469939617800583","0.612026302669133"
"No","2006","(2c_voc) vocational maturity certificate","Male","235","0.487764920424274","0.444678267380616","0.530851573467932"
"No","2006","(2c_voc) vocational maturity certificate","Female","282","0.47361588797528","0.433697281443587","0.513534494506973"
"No","2006","(3a) lower tertiary education","Male","255","0.386810331854361","0.348930532006974","0.424690131701747"
"No","2006","(3a) lower tertiary education","Female","228","0.432719594261307","0.391275362764098","0.474163825758516"
"No","2006","(3b) higher tertiary education","Male","443","0.408221527269608","0.379764907227321","0.436678147311894"
"No","2006","(3b) higher tertiary education","Female","334","0.414949871081284","0.381689379752189","0.448210362410378"
"Yes","2007","(0) in school","Male","","","",""
"Yes","2007","(0) in school","Female","","","",""
"Yes","2007","(1a) inadequately completed","Male","","","",""
"Yes","2007","(1a) inadequately completed","Female","","","",""
"Yes","2007","(1b) general elementary school","Male","","","",""
"Yes","2007","(1b) general elementary school","Female","","","",""
"Yes","2007","(1c) basic vocational qualification","Male","","","",""
"Yes","2007","(1c) basic vocational qualification","Female","","","",""
"Yes","2007","(2b) intermediate general qualification","Male","","","",""
"Yes","2007","(2b) intermediate general qualification","Female","","","",""
"Yes","2007","(2a) intermediate vocational","Male","","","",""
"Yes","2007","(2a) intermediate vocational","Female","","","",""
"Yes","2007","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2007","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2007","(3a) lower tertiary education","Male","","","",""
"Yes","2007","(3a) lower tertiary education","Female","","","",""
"Yes","2007","(3b) higher tertiary education","Male","","","",""
"Yes","2007","(3b) higher tertiary education","Female","","","",""
"No","2007","(0) in school","Male","","","",""
"No","2007","(0) in school","Female","","","",""
"No","2007","(1a) inadequately completed","Male","","","",""
"No","2007","(1a) inadequately completed","Female","","","",""
"No","2007","(1b) general elementary school","Male","","","",""
"No","2007","(1b) general elementary school","Female","","","",""
"No","2007","(1c) basic vocational qualification","Male","","","",""
"No","2007","(1c) basic vocational qualification","Female","","","",""
"No","2007","(2b) intermediate general qualification","Male","","","",""
"No","2007","(2b) intermediate general qualification","Female","","","",""
"No","2007","(2a) intermediate vocational","Male","","","",""
"No","2007","(2a) intermediate vocational","Female","","","",""
"No","2007","(2c_gen) general maturity certificate","Male","","","",""
"No","2007","(2c_gen) general maturity certificate","Female","","","",""
"No","2007","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2007","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2007","(3a) lower tertiary education","Male","","","",""
"No","2007","(3a) lower tertiary education","Female","","","",""
"No","2007","(3b) higher tertiary education","Male","","","",""
"No","2007","(3b) higher tertiary education","Female","","","",""
"Yes","2008","(0) in school","Male","","","",""
"Yes","2008","(0) in school","Female","","","",""
"Yes","2008","(1a) inadequately completed","Male","","","",""
"Yes","2008","(1a) inadequately completed","Female","","","",""
"Yes","2008","(1b) general elementary school","Male","","","",""
"Yes","2008","(1b) general elementary school","Female","","","",""
"Yes","2008","(1c) basic vocational qualification","Male","","","",""
"Yes","2008","(1c) basic vocational qualification","Female","","","",""
"Yes","2008","(2b) intermediate general qualification","Male","","","",""
"Yes","2008","(2b) intermediate general qualification","Female","","","",""
"Yes","2008","(2a) intermediate vocational","Male","","","",""
"Yes","2008","(2a) intermediate vocational","Female","","","",""
"Yes","2008","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2008","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2008","(3a) lower tertiary education","Male","","","",""
"Yes","2008","(3a) lower tertiary education","Female","","","",""
"Yes","2008","(3b) higher tertiary education","Male","","","",""
"Yes","2008","(3b) higher tertiary education","Female","","","",""
"No","2008","(0) in school","Male","","","",""
"No","2008","(0) in school","Female","","","",""
"No","2008","(1a) inadequately completed","Male","","","",""
"No","2008","(1a) inadequately completed","Female","","","",""
"No","2008","(1b) general elementary school","Male","","","",""
"No","2008","(1b) general elementary school","Female","","","",""
"No","2008","(1c) basic vocational qualification","Male","","","",""
"No","2008","(1c) basic vocational qualification","Female","","","",""
"No","2008","(2b) intermediate general qualification","Male","","","",""
"No","2008","(2b) intermediate general qualification","Female","","","",""
"No","2008","(2a) intermediate vocational","Male","","","",""
"No","2008","(2a) intermediate vocational","Female","","","",""
"No","2008","(2c_gen) general maturity certificate","Male","","","",""
"No","2008","(2c_gen) general maturity certificate","Female","","","",""
"No","2008","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2008","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2008","(3a) lower tertiary education","Male","","","",""
"No","2008","(3a) lower tertiary education","Female","","","",""
"No","2008","(3b) higher tertiary education","Male","","","",""
"No","2008","(3b) higher tertiary education","Female","","","",""
"Yes","2009","(0) in school","Male","","","",""
"Yes","2009","(0) in school","Female","","","",""
"Yes","2009","(1a) inadequately completed","Male","","","",""
"Yes","2009","(1a) inadequately completed","Female","","","",""
"Yes","2009","(1b) general elementary school","Male","","","",""
"Yes","2009","(1b) general elementary school","Female","","","",""
"Yes","2009","(1c) basic vocational qualification","Male","","","",""
"Yes","2009","(1c) basic vocational qualification","Female","","","",""
"Yes","2009","(2b) intermediate general qualification","Male","","","",""
"Yes","2009","(2b) intermediate general qualification","Female","","","",""
"Yes","2009","(2a) intermediate vocational","Male","","","",""
"Yes","2009","(2a) intermediate vocational","Female","","","",""
"Yes","2009","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2009","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2009","(3a) lower tertiary education","Male","","","",""
"Yes","2009","(3a) lower tertiary education","Female","","","",""
"Yes","2009","(3b) higher tertiary education","Male","","","",""
"Yes","2009","(3b) higher tertiary education","Female","","","",""
"No","2009","(0) in school","Male","","","",""
"No","2009","(0) in school","Female","","","",""
"No","2009","(1a) inadequately completed","Male","","","",""
"No","2009","(1a) inadequately completed","Female","","","",""
"No","2009","(1b) general elementary school","Male","","","",""
"No","2009","(1b) general elementary school","Female","","","",""
"No","2009","(1c) basic vocational qualification","Male","","","",""
"No","2009","(1c) basic vocational qualification","Female","","","",""
"No","2009","(2b) intermediate general qualification","Male","","","",""
"No","2009","(2b) intermediate general qualification","Female","","","",""
"No","2009","(2a) intermediate vocational","Male","","","",""
"No","2009","(2a) intermediate vocational","Female","","","",""
"No","2009","(2c_gen) general maturity certificate","Male","","","",""
"No","2009","(2c_gen) general maturity certificate","Female","","","",""
"No","2009","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2009","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2009","(3a) lower tertiary education","Male","","","",""
"No","2009","(3a) lower tertiary education","Female","","","",""
"No","2009","(3b) higher tertiary education","Male","","","",""
"No","2009","(3b) higher tertiary education","Female","","","",""
"Yes","2010","(0) in school","Male","","","",""
"Yes","2010","(0) in school","Female","","","",""
"Yes","2010","(1a) inadequately completed","Male","","","",""
"Yes","2010","(1a) inadequately completed","Female","","","",""
"Yes","2010","(1b) general elementary school","Male","","","",""
"Yes","2010","(1b) general elementary school","Female","","","",""
"Yes","2010","(1c) basic vocational qualification","Male","","","",""
"Yes","2010","(1c) basic vocational qualification","Female","","","",""
"Yes","2010","(2b) intermediate general qualification","Male","","","",""
"Yes","2010","(2b) intermediate general qualification","Female","","","",""
"Yes","2010","(2a) intermediate vocational","Male","","","",""
"Yes","2010","(2a) intermediate vocational","Female","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2010","(3a) lower tertiary education","Male","","","",""
"Yes","2010","(3a) lower tertiary education","Female","","","",""
"Yes","2010","(3b) higher tertiary education","Male","","","",""
"Yes","2010","(3b) higher tertiary education","Female","","","",""
"No","2010","(0) in school","Male","","","",""
"No","2010","(0) in school","Female","","","",""
"No","2010","(1a) inadequately completed","Male","","","",""
"No","2010","(1a) inadequately completed","Female","","","",""
"No","2010","(1b) general elementary school","Male","","","",""
"No","2010","(1b) general elementary school","Female","","","",""
"No","2010","(1c) basic vocational qualification","Male","","","",""
"No","2010","(1c) basic vocational qualification","Female","","","",""
"No","2010","(2b) intermediate general qualification","Male","","","",""
"No","2010","(2b) intermediate general qualification","Female","","","",""
"No","2010","(2a) intermediate vocational","Male","","","",""
"No","2010","(2a) intermediate vocational","Female","","","",""
"No","2010","(2c_gen) general maturity certificate","Male","","","",""
"No","2010","(2c_gen) general maturity certificate","Female","","","",""
"No","2010","(2c_voc) vocational maturity certificate","Male","","","",""
"No","2010","(2c_voc) vocational maturity certificate","Female","","","",""
"No","2010","(3a) lower tertiary education","Male","","","",""
"No","2010","(3a) lower tertiary education","Female","","","",""
"No","2010","(3b) higher tertiary education","Male","","","",""
"No","2010","(3b) higher tertiary education","Female","","","",""
"Yes","2011","(0) in school","Male","8","","",""
"Yes","2011","(0) in school","Female","4","","",""
"Yes","2011","(1a) inadequately completed","Male","15","","",""
"Yes","2011","(1a) inadequately completed","Female","15","","",""
"Yes","2011","(1b) general elementary school","Male","102","0.516940921652848","0.449832214859022","0.584049628446675"
"Yes","2011","(1b) general elementary school","Female","112","0.47089967604543","0.410109777505579","0.531689574585281"
"Yes","2011","(1c) basic vocational qualification","Male","694","0.513385916963606","0.486723745371215","0.540048088555997"
"Yes","2011","(1c) basic vocational qualification","Female","368","0.43383260580288","0.40116212841652","0.466503083189241"
"Yes","2011","(2b) intermediate general qualification","Male","68","0.492726487721967","0.406785475899026","0.578667499544907"
"Yes","2011","(2b) intermediate general qualification","Female","73","0.465305937626791","0.390325907899591","0.540285967353992"
"Yes","2011","(2a) intermediate vocational","Male","808","0.562700001010874","0.537655080306034","0.587744921715714"
"Yes","2011","(2a) intermediate vocational","Female","886","0.48396307483642","0.46098481529981","0.50694133437303"
"Yes","2011","(2c_gen) general maturity certificate","Male","93","0.480152354004612","0.408736153932925","0.551568554076299"
"Yes","2011","(2c_gen) general maturity certificate","Female","101","0.522278891935628","0.450877345345388","0.593680438525869"
"Yes","2011","(2c_voc) vocational maturity certificate","Male","275","0.571208033861693","0.526465596839817","0.615950470883569"
"Yes","2011","(2c_voc) vocational maturity certificate","Female","327","0.549302759310734","0.509752927470213","0.588852591151255"
"Yes","2011","(3a) lower tertiary education","Male","351","0.644559647457767","0.604738247727266","0.684381047188268"
"Yes","2011","(3a) lower tertiary education","Female","370","0.675673712451515","0.636832696743832","0.714514728159198"
"Yes","2011","(3b) higher tertiary education","Male","608","0.617556009157138","0.58714466023713","0.647967358077147"
"Yes","2011","(3b) higher tertiary education","Female","522","0.601449282672201","0.568554682335469","0.634343883008934"
"No","2011","(0) in school","Male","12","","",""
"No","2011","(0) in school","Female","8","","",""
"No","2011","(1a) inadequately completed","Male","31","0.740704178054937","0.614058803762088","0.867349552347786"
"No","2011","(1a) inadequately completed","Female","22","","",""
"No","2011","(1b) general elementary school","Male","111","0.483059078347152","0.415950371553325","0.550167785140979"
"No","2011","(1b) general elementary school","Female","147","0.52910032395457","0.468310425414719","0.589890222494421"
"No","2011","(1c) basic vocational qualification","Male","656","0.486614083036394","0.459951911444003","0.513276254628785"
"No","2011","(1c) basic vocational qualification","Female","516","0.56616739419712","0.533496916810759","0.59883787158348"
"No","2011","(2b) intermediate general qualification","Male","62","0.507273512278034","0.421332500455093","0.593214524100974"
"No","2011","(2b) intermediate general qualification","Female","97","0.534694062373208","0.459714032646008","0.609674092100409"
"No","2011","(2a) intermediate vocational","Male","699","0.437299998989126","0.412255078284286","0.462344919693966"
"No","2011","(2a) intermediate vocational","Female","931","0.51603692516358","0.49305866562697","0.53901518470019"
"No","2011","(2c_gen) general maturity certificate","Male","95","0.519847645995388","0.448431445923701","0.591263846067075"
"No","2011","(2c_gen) general maturity certificate","Female","87","0.477721108064371","0.406319561474131","0.549122654654612"
"No","2011","(2c_voc) vocational maturity certificate","Male","195","0.428791966138307","0.384049529116431","0.473534403160183"
