"plb0050","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2005","(2b) intermediate general qualification","in school","","","",""
"Yes","2005","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2005","(2b) intermediate general qualification","general elemantary","","","",""
"Yes","2005","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2005","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2005","(2b) intermediate general qualification","higher education","","","",""
"Yes","2005","(2a) intermediate vocational","in school","","","",""
"Yes","2005","(2a) intermediate vocational","inadequately","","","",""
"Yes","2005","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2005","(2a) intermediate vocational","middle vocational","","","",""
"Yes","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2005","(2a) intermediate vocational","higher vocational","","","",""
"Yes","2005","(2a) intermediate vocational","higher education","","","",""
"Yes","2005","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2005","(2c_gen) general maturity certificate","middle vocational","","","",""
"Yes","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2005","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Yes","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2005","(3a) lower tertiary education","in school","","","",""
"Yes","2005","(3a) lower tertiary education","inadequately","","","",""
"Yes","2005","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2005","(3a) lower tertiary education","middle vocational","","","",""
"Yes","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","2005","(3a) lower tertiary education","higher vocational","","","",""
"Yes","2005","(3a) lower tertiary education","higher education","","","",""
"Yes","2005","(3b) higher tertiary education","in school","","","",""
"Yes","2005","(3b) higher tertiary education","inadequately","","","",""
"Yes","2005","(3b) higher tertiary education","general elemantary","","","",""
"Yes","2005","(3b) higher tertiary education","middle vocational","","","",""
"Yes","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","2005","(3b) higher tertiary education","higher vocational","","","",""
"Yes","2005","(3b) higher tertiary education","higher education","","","",""
"No","2005","(0) in school","in school","","","",""
"No","2005","(0) in school","inadequately","","","",""
"No","2005","(0) in school","general elemantary","","","",""
"No","2005","(0) in school","middle vocational","","","",""
"No","2005","(0) in school","vocational + Abi","","","",""
"No","2005","(0) in school","higher vocational","","","",""
"No","2005","(0) in school","higher education","","","",""
"No","2005","(1a) inadequately completed","in school","","","",""
"No","2005","(1a) inadequately completed","inadequately","","","",""
"No","2005","(1a) inadequately completed","general elemantary","","","",""
"No","2005","(1a) inadequately completed","middle vocational","","","",""
"No","2005","(1a) inadequately completed","vocational + Abi","","","",""
"No","2005","(1a) inadequately completed","higher vocational","","","",""
"No","2005","(1a) inadequately completed","higher education","","","",""
"No","2005","(1b) general elementary school","in school","","","",""
"No","2005","(1b) general elementary school","inadequately","","","",""
"No","2005","(1b) general elementary school","general elemantary","","","",""
"No","2005","(1b) general elementary school","middle vocational","","","",""
"No","2005","(1b) general elementary school","vocational + Abi","","","",""
"No","2005","(1b) general elementary school","higher vocational","","","",""
"No","2005","(1b) general elementary school","higher education","","","",""
"No","2005","(1c) basic vocational qualification","in school","","","",""
"No","2005","(1c) basic vocational qualification","inadequately","","","",""
"No","2005","(1c) basic vocational qualification","general elemantary","","","",""
"No","2005","(1c) basic vocational qualification","middle vocational","","","",""
"No","2005","(1c) basic vocational qualification","vocational + Abi","","","",""
"No","2005","(1c) basic vocational qualification","higher vocational","","","",""
"No","2005","(1c) basic vocational qualification","higher education","","","",""
"No","2005","(2b) intermediate general qualification","in school","","","",""
"No","2005","(2b) intermediate general qualification","inadequately","","","",""
"No","2005","(2b) intermediate general qualification","general elemantary","","","",""
"No","2005","(2b) intermediate general qualification","middle vocational","","","",""
"No","2005","(2b) intermediate general qualification","vocational + Abi","","","",""
"No","2005","(2b) intermediate general qualification","higher vocational","","","",""
"No","2005","(2b) intermediate general qualification","higher education","","","",""
"No","2005","(2a) intermediate vocational","in school","","","",""
"No","2005","(2a) intermediate vocational","inadequately","","","",""
"No","2005","(2a) intermediate vocational","general elemantary","","","",""
"No","2005","(2a) intermediate vocational","middle vocational","","","",""
"No","2005","(2a) intermediate vocational","vocational + Abi","","","",""
"No","2005","(2a) intermediate vocational","higher vocational","","","",""
"No","2005","(2a) intermediate vocational","higher education","","","",""
"No","2005","(2c_gen) general maturity certificate","in school","","","",""
"No","2005","(2c_gen) general maturity certificate","inadequately","","","",""
"No","2005","(2c_gen) general maturity certificate","general elemantary","","","",""
"No","2005","(2c_gen) general maturity certificate","middle vocational","","","",""
"No","2005","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No","2005","(2c_gen) general maturity certificate","higher vocational","","","",""
"No","2005","(2c_gen) general maturity certificate","higher education","","","",""
"No","2005","(2c_voc) vocational maturity certificate","in school","","","",""
"No","2005","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No","2005","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No","2005","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No","2005","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"No","2005","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"No","2005","(2c_voc) vocational maturity certificate","higher education","","","",""
"No","2005","(3a) lower tertiary education","in school","","","",""
"No","2005","(3a) lower tertiary education","inadequately","","","",""
"No","2005","(3a) lower tertiary education","general elemantary","","","",""
"No","2005","(3a) lower tertiary education","middle vocational","","","",""
"No","2005","(3a) lower tertiary education","vocational + Abi","","","",""
"No","2005","(3a) lower tertiary education","higher vocational","","","",""
"No","2005","(3a) lower tertiary education","higher education","","","",""
"No","2005","(3b) higher tertiary education","in school","","","",""
"No","2005","(3b) higher tertiary education","inadequately","","","",""
"No","2005","(3b) higher tertiary education","general elemantary","","","",""
"No","2005","(3b) higher tertiary education","middle vocational","","","",""
"No","2005","(3b) higher tertiary education","vocational + Abi","","","",""
"No","2005","(3b) higher tertiary education","higher vocational","","","",""
"No","2005","(3b) higher tertiary education","higher education","","","",""
"Yes","2006","(0) in school","in school","4","","",""
"Yes","2006","(0) in school","inadequately","","","",""
"Yes","2006","(0) in school","general elemantary","","","",""
"Yes","2006","(0) in school","middle vocational","","","",""
"Yes","2006","(0) in school","vocational + Abi","","","",""
"Yes","2006","(0) in school","higher vocational","","","",""
"Yes","2006","(0) in school","higher education","","","",""
"Yes","2006","(1a) inadequately completed","in school","","","",""
"Yes","2006","(1a) inadequately completed","inadequately","26","","",""
"Yes","2006","(1a) inadequately completed","general elemantary","","","",""
"Yes","2006","(1a) inadequately completed","middle vocational","7","","",""
"Yes","2006","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","2006","(1a) inadequately completed","higher vocational","","","",""
"Yes","2006","(1a) inadequately completed","higher education","","","",""
"Yes","2006","(1b) general elementary school","in school","","","",""
"Yes","2006","(1b) general elementary school","inadequately","5","","",""
"Yes","2006","(1b) general elementary school","general elemantary","234","0.418716627425257","0.378000863013502","0.459432391837012"
"Yes","2006","(1b) general elementary school","middle vocational","","","",""
"Yes","2006","(1b) general elementary school","vocational + Abi","","","",""
"Yes","2006","(1b) general elementary school","higher vocational","","","",""
"Yes","2006","(1b) general elementary school","higher education","","","",""
"Yes","2006","(1c) basic vocational qualification","in school","","","",""
"Yes","2006","(1c) basic vocational qualification","inadequately","","","",""
"Yes","2006","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","2006","(1c) basic vocational qualification","middle vocational","1174","0.479720182484086","0.459974083425095","0.499466281543076"
"Yes","2006","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","2006","(1c) basic vocational qualification","higher vocational","109","0.42573930596357","0.363570664956941","0.4879079469702"
"Yes","2006","(1c) basic vocational qualification","higher education","","","",""
"Yes","2006","(2b) intermediate general qualification","in school","","","",""
"Yes","2006","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2006","(2b) intermediate general qualification","general elemantary","163","0.454399812019145","0.400840452327771","0.507959171710519"
"Yes","2006","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2006","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2006","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2006","(2b) intermediate general qualification","higher education","","","",""
"Yes","2006","(2a) intermediate vocational","in school","","","",""
"Yes","2006","(2a) intermediate vocational","inadequately","","","",""
"Yes","2006","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2006","(2a) intermediate vocational","middle vocational","1473","0.514034388044987","0.496149496135009","0.531919279954965"
"Yes","2006","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2006","(2a) intermediate vocational","higher vocational","237","0.44251323080203","0.399986415592512","0.485040046011548"
"Yes","2006","(2a) intermediate vocational","higher education","","","",""
"Yes","2006","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2006","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2006","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2006","(2c_gen) general maturity certificate","middle vocational","157","0.441100835163885","0.390163369991272","0.492038300336498"
"Yes","2006","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2006","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2006","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2006","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2006","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2006","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2006","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2006","(2c_voc) vocational maturity certificate","vocational + Abi","423","0.491071332209658","0.457061084643081","0.525081579776234"
"Yes","2006","(2c_voc) vocational maturity certificate","higher vocational","178","0.606869203756795","0.550457667143323","0.663280740370268"
"Yes","2006","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2006","(3a) lower tertiary education","in school","","","",""
"Yes","2006","(3a) lower tertiary education","inadequately","","","",""
"Yes","2006","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2006","(3a) lower tertiary education","middle vocational","","","",""
"Yes","2006","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","2006","(3a) lower tertiary education","higher vocational","","","",""
"Yes","2006","(3a) lower tertiary education","higher education","701","0.593601417049226","0.56562476143519","0.621578072663262"
"Yes","2006","(3b) higher tertiary education","in school","","","",""
"Yes","2006","(3b) higher tertiary education","inadequately","","","",""
"Yes","2006","(3b) higher tertiary education","general elemantary","","","",""
"Yes","2006","(3b) higher tertiary education","middle vocational","","","",""
"Yes","2006","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","2006","(3b) higher tertiary education","higher vocational","","","",""
"Yes","2006","(3b) higher tertiary education","higher education","1212","0.589065507589758","0.567443361653754","0.610687653525762"
"No","2006","(0) in school","in school","34","0.963269366970566","0.9034634196379","1.02307531430323"
"No","2006","(0) in school","inadequately","","","",""
"No","2006","(0) in school","general elemantary","","","",""
"No","2006","(0) in school","middle vocational","2","","",""
"No","2006","(0) in school","vocational + Abi","","","",""
"No","2006","(0) in school","higher vocational","","","",""
"No","2006","(0) in school","higher education","","","",""
"No","2006","(1a) inadequately completed","in school","","","",""
"No","2006","(1a) inadequately completed","inadequately","22","","",""
"No","2006","(1a) inadequately completed","general elemantary","","","",""
"No","2006","(1a) inadequately completed","middle vocational","13","","",""
"No","2006","(1a) inadequately completed","vocational + Abi","","","",""
"No","2006","(1a) inadequately completed","higher vocational","1","","",""
"No","2006","(1a) inadequately completed","higher education","","","",""
"No","2006","(1b) general elementary school","in school","","","",""
"No","2006","(1b) general elementary school","inadequately","16","","",""
"No","2006","(1b) general elementary school","general elemantary","330","0.581283372574743","0.540567608162988","0.621999136986498"
"No","2006","(1b) general elementary school","middle vocational","","","",""
"No","2006","(1b) general elementary school","vocational + Abi","","","",""
"No","2006","(1b) general elementary school","higher vocational","","","",""
"No","2006","(1b) general elementary school","higher education","","","",""
"No","2006","(1c) basic vocational qualification","in school","","","",""
"No","2006","(1c) basic vocational qualification","inadequately","","","",""
"No","2006","(1c) basic vocational qualification","general elemantary","","","",""
"No","2006","(1c) basic vocational qualification","middle vocational","1285","0.520279817515914","0.500533718456924","0.540025916574905"
"No","2006","(1c) basic vocational qualification","vocational + Abi","","","",""
"No","2006","(1c) basic vocational qualification","higher vocational","134","0.57426069403643","0.5120920530298","0.636429335043059"
"No","2006","(1c) basic vocational qualification","higher education","","","",""
"No","2006","(2b) intermediate general qualification","in school","","","",""
"No","2006","(2b) intermediate general qualification","inadequately","","","",""
"No","2006","(2b) intermediate general qualification","general elemantary","169","0.545600187980855","0.492040828289481","0.599159547672228"
"No","2006","(2b) intermediate general qualification","middle vocational","","","",""
"No","2006","(2b) intermediate general qualification","vocational + Abi","","","",""
"No","2006","(2b) intermediate general qualification","higher vocational","","","",""
"No","2006","(2b) intermediate general qualification","higher education","","","",""
"No","2006","(2a) intermediate vocational","in school","","","",""
"No","2006","(2a) intermediate vocational","inadequately","","","",""
"No","2006","(2a) intermediate vocational","general elemantary","","","",""
"No","2006","(2a) intermediate vocational","middle vocational","1527","0.485965611955013","0.468080720045035","0.503850503864991"
"No","2006","(2a) intermediate vocational","vocational + Abi","","","",""
"No","2006","(2a) intermediate vocational","higher vocational","287","0.55748676919797","0.514959953988452","0.600013584407488"
"No","2006","(2a) intermediate vocational","higher education","","","",""
"No","2006","(2c_gen) general maturity certificate","in school","","","",""
"No","2006","(2c_gen) general maturity certificate","inadequately","","","",""
"No","2006","(2c_gen) general maturity certificate","general elemantary","","","",""
"No","2006","(2c_gen) general maturity certificate","middle vocational","208","0.558899164836115","0.507961699663501","0.609836630008728"
"No","2006","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No","2006","(2c_gen) general maturity certificate","higher vocational","","","",""
"No","2006","(2c_gen) general maturity certificate","higher education","","","",""
"No","2006","(2c_voc) vocational maturity certificate","in school","","","",""
"No","2006","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No","2006","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No","2006","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No","2006","(2c_voc) vocational maturity certificate","vocational + Abi","407","0.508928667790342","0.474918420223766","0.542938915356919"
"No","2006","(2c_voc) vocational maturity certificate","higher vocational","110","0.393130796243205","0.336719259629732","0.449542332856677"
"No","2006","(2c_voc) vocational maturity certificate","higher education","","","",""
"No","2006","(3a) lower tertiary education","in school","","","",""
"No","2006","(3a) lower tertiary education","inadequately","","","",""
"No","2006","(3a) lower tertiary education","general elemantary","","","",""
"No","2006","(3a) lower tertiary education","middle vocational","","","",""
"No","2006","(3a) lower tertiary education","vocational + Abi","","","",""
"No","2006","(3a) lower tertiary education","higher vocational","","","",""
"No","2006","(3a) lower tertiary education","higher education","483","0.406398582950774","0.378421927336738","0.43437523856481"
"No","2006","(3b) higher tertiary education","in school","","","",""
"No","2006","(3b) higher tertiary education","inadequately","","","",""
"No","2006","(3b) higher tertiary education","general elemantary","","","",""
"No","2006","(3b) higher tertiary education","middle vocational","","","",""
"No","2006","(3b) higher tertiary education","vocational + Abi","","","",""
"No","2006","(3b) higher tertiary education","higher vocational","","","",""
"No","2006","(3b) higher tertiary education","higher education","777","0.410934492410242","0.389312346474238","0.432556638346246"
"Yes","2007","(0) in school","in school","","","",""
"Yes","2007","(0) in school","inadequately","","","",""
"Yes","2007","(0) in school","general elemantary","","","",""
"Yes","2007","(0) in school","middle vocational","","","",""
"Yes","2007","(0) in school","vocational + Abi","","","",""
"Yes","2007","(0) in school","higher vocational","","","",""
"Yes","2007","(0) in school","higher education","","","",""
"Yes","2007","(1a) inadequately completed","in school","","","",""
"Yes","2007","(1a) inadequately completed","inadequately","","","",""
"Yes","2007","(1a) inadequately completed","general elemantary","","","",""
"Yes","2007","(1a) inadequately completed","middle vocational","","","",""
"Yes","2007","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","2007","(1a) inadequately completed","higher vocational","","","",""
"Yes","2007","(1a) inadequately completed","higher education","","","",""
"Yes","2007","(1b) general elementary school","in school","","","",""
"Yes","2007","(1b) general elementary school","inadequately","","","",""
"Yes","2007","(1b) general elementary school","general elemantary","","","",""
"Yes","2007","(1b) general elementary school","middle vocational","","","",""
"Yes","2007","(1b) general elementary school","vocational + Abi","","","",""
"Yes","2007","(1b) general elementary school","higher vocational","","","",""
"Yes","2007","(1b) general elementary school","higher education","","","",""
"Yes","2007","(1c) basic vocational qualification","in school","","","",""
"Yes","2007","(1c) basic vocational qualification","inadequately","","","",""
"Yes","2007","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","2007","(1c) basic vocational qualification","middle vocational","","","",""
"Yes","2007","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","2007","(1c) basic vocational qualification","higher vocational","","","",""
"Yes","2007","(1c) basic vocational qualification","higher education","","","",""
"Yes","2007","(2b) intermediate general qualification","in school","","","",""
"Yes","2007","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2007","(2b) intermediate general qualification","general elemantary","","","",""
"Yes","2007","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2007","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2007","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2007","(2b) intermediate general qualification","higher education","","","",""
"Yes","2007","(2a) intermediate vocational","in school","","","",""
"Yes","2007","(2a) intermediate vocational","inadequately","","","",""
"Yes","2007","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2007","(2a) intermediate vocational","middle vocational","","","",""
"Yes","2007","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2007","(2a) intermediate vocational","higher vocational","","","",""
"Yes","2007","(2a) intermediate vocational","higher education","","","",""
"Yes","2007","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2007","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2007","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2007","(2c_gen) general maturity certificate","middle vocational","","","",""
"Yes","2007","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2007","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2007","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Yes","2007","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2007","(3a) lower tertiary education","in school","","","",""
"Yes","2007","(3a) lower tertiary education","inadequately","","","",""
"Yes","2007","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2007","(3a) lower tertiary education","middle vocational","","","",""
"Yes","2007","(3a) lower tertiary education","vocational + Abi","","","",""
"Yes","2007","(3a) lower tertiary education","higher vocational","","","",""
"Yes","2007","(3a) lower tertiary education","higher education","","","",""
"Yes","2007","(3b) higher tertiary education","in school","","","",""
"Yes","2007","(3b) higher tertiary education","inadequately","","","",""
"Yes","2007","(3b) higher tertiary education","general elemantary","","","",""
"Yes","2007","(3b) higher tertiary education","middle vocational","","","",""
"Yes","2007","(3b) higher tertiary education","vocational + Abi","","","",""
"Yes","2007","(3b) higher tertiary education","higher vocational","","","",""
"Yes","2007","(3b) higher tertiary education","higher education","","","",""
"No","2007","(0) in school","in school","","","",""
"No","2007","(0) in school","inadequately","","","",""
"No","2007","(0) in school","general elemantary","","","",""
"No","2007","(0) in school","middle vocational","","","",""
"No","2007","(0) in school","vocational + Abi","","","",""
"No","2007","(0) in school","higher vocational","","","",""
"No","2007","(0) in school","higher education","","","",""
"No","2007","(1a) inadequately completed","in school","","","",""
"No","2007","(1a) inadequately completed","inadequately","","","",""
"No","2007","(1a) inadequately completed","general elemantary","","","",""
"No","2007","(1a) inadequately completed","middle vocational","","","",""
"No","2007","(1a) inadequately completed","vocational + Abi","","","",""
"No","2007","(1a) inadequately completed","higher vocational","","","",""
"No","2007","(1a) inadequately completed","higher education","","","",""
"No","2007","(1b) general elementary school","in school","","","",""
"No","2007","(1b) general elementary school","inadequately","","","",""
"No","2007","(1b) general elementary school","general elemantary","","","",""
"No","2007","(1b) general elementary school","middle vocational","","","",""
"No","2007","(1b) general elementary school","vocational + Abi","","","",""
"No","2007","(1b) general elementary school","higher vocational","","","",""
"No","2007","(1b) general elementary school","higher education","","","",""
"No","2007","(1c) basic vocational qualification","in school","","","",""
"No","2007","(1c) basic vocational qualification","inadequately","","","",""
"No","2007","(1c) basic vocational qualification","general elemantary","","","",""
"No","2007","(1c) basic vocational qualification","middle vocational","","","",""
"No","2007","(1c) basic vocational qualification","vocational + Abi","","","",""
"No","2007","(1c) basic vocational qualification","higher vocational","","","",""
"No","2007","(1c) basic vocational qualification","higher education","","","",""
"No","2007","(2b) intermediate general qualification","in school","","","",""
"No","2007","(2b) intermediate general qualification","inadequately","","","",""
"No","2007","(2b) intermediate general qualification","general elemantary","","","",""
"No","2007","(2b) intermediate general qualification","middle vocational","","","",""
"No","2007","(2b) intermediate general qualification","vocational + Abi","","","",""
"No","2007","(2b) intermediate general qualification","higher vocational","","","",""
"No","2007","(2b) intermediate general qualification","higher education","","","",""
"No","2007","(2a) intermediate vocational","in school","","","",""
"No","2007","(2a) intermediate vocational","inadequately","","","",""
"No","2007","(2a) intermediate vocational","general elemantary","","","",""
"No","2007","(2a) intermediate vocational","middle vocational","","","",""
"No","2007","(2a) intermediate vocational","vocational + Abi","","","",""
"No","2007","(2a) intermediate vocational","higher vocational","","","",""
"No","2007","(2a) intermediate vocational","higher education","","","",""
"No","2007","(2c_gen) general maturity certificate","in school","","","",""
"No","2007","(2c_gen) general maturity certificate","inadequately","","","",""
"No","2007","(2c_gen) general maturity certificate","general elemantary","","","",""
"No","2007","(2c_gen) general maturity certificate","middle vocational","","","",""
"No","2007","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"No","2007","(2c_gen) general maturity certificate","higher vocational","","","",""
"No","2007","(2c_gen) general maturity certificate","higher education","","","",""
"No","2007","(2c_voc) vocational maturity certificate","in school","","","",""
"No","2007","(2c_voc) vocational maturity certificate","inadequately","","","",""
"No","2007","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"No","2007","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"No","2007","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"No","2007","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"No","2007","(2c_voc) vocational maturity certificate","higher education","","","",""
"No","2007","(3a) lower tertiary education","in school","","","",""
"No","2007","(3a) lower tertiary education","inadequately","","","",""
"No","2007","(3a) lower tertiary education","general elemantary","","","",""
"No","2007","(3a) lower tertiary education","middle vocational","","","",""
"No","2007","(3a) lower tertiary education","vocational + Abi","","","",""
"No","2007","(3a) lower tertiary education","higher vocational","","","",""
"No","2007","(3a) lower tertiary education","higher education","","","",""
"No","2007","(3b) higher tertiary education","in school","","","",""
"No","2007","(3b) higher tertiary education","inadequately","","","",""
"No","2007","(3b) higher tertiary education","general elemantary","","","",""
"No","2007","(3b) higher tertiary education","middle vocational","","","",""
"No","2007","(3b) higher tertiary education","vocational + Abi","","","",""
"No","2007","(3b) higher tertiary education","higher vocational","","","",""
"No","2007","(3b) higher tertiary education","higher education","","","",""
"Yes","2008","(0) in school","in school","","","",""
"Yes","2008","(0) in school","inadequately","","","",""
"Yes","2008","(0) in school","general elemantary","","","",""
"Yes","2008","(0) in school","middle vocational","","","",""
"Yes","2008","(0) in school","vocational + Abi","","","",""
"Yes","2008","(0) in school","higher vocational","","","",""
"Yes","2008","(0) in school","higher education","","","",""
"Yes","2008","(1a) inadequately completed","in school","","","",""
"Yes","2008","(1a) inadequately completed","inadequately","","","",""
"Yes","2008","(1a) inadequately completed","general elemantary","","","",""
"Yes","2008","(1a) inadequately completed","middle vocational","","","",""
"Yes","2008","(1a) inadequately completed","vocational + Abi","","","",""
"Yes","2008","(1a) inadequately completed","higher vocational","","","",""
"Yes","2008","(1a) inadequately completed","higher education","","","",""
"Yes","2008","(1b) general elementary school","in school","","","",""
"Yes","2008","(1b) general elementary school","inadequately","","","",""
"Yes","2008","(1b) general elementary school","general elemantary","","","",""
"Yes","2008","(1b) general elementary school","middle vocational","","","",""
"Yes","2008","(1b) general elementary school","vocational + Abi","","","",""
"Yes","2008","(1b) general elementary school","higher vocational","","","",""
"Yes","2008","(1b) general elementary school","higher education","","","",""
"Yes","2008","(1c) basic vocational qualification","in school","","","",""
"Yes","2008","(1c) basic vocational qualification","inadequately","","","",""
"Yes","2008","(1c) basic vocational qualification","general elemantary","","","",""
"Yes","2008","(1c) basic vocational qualification","middle vocational","","","",""
"Yes","2008","(1c) basic vocational qualification","vocational + Abi","","","",""
"Yes","2008","(1c) basic vocational qualification","higher vocational","","","",""
"Yes","2008","(1c) basic vocational qualification","higher education","","","",""
"Yes","2008","(2b) intermediate general qualification","in school","","","",""
"Yes","2008","(2b) intermediate general qualification","inadequately","","","",""
"Yes","2008","(2b) intermediate general qualification","general elemantary","","","",""
"Yes","2008","(2b) intermediate general qualification","middle vocational","","","",""
"Yes","2008","(2b) intermediate general qualification","vocational + Abi","","","",""
"Yes","2008","(2b) intermediate general qualification","higher vocational","","","",""
"Yes","2008","(2b) intermediate general qualification","higher education","","","",""
"Yes","2008","(2a) intermediate vocational","in school","","","",""
"Yes","2008","(2a) intermediate vocational","inadequately","","","",""
"Yes","2008","(2a) intermediate vocational","general elemantary","","","",""
"Yes","2008","(2a) intermediate vocational","middle vocational","","","",""
"Yes","2008","(2a) intermediate vocational","vocational + Abi","","","",""
"Yes","2008","(2a) intermediate vocational","higher vocational","","","",""
"Yes","2008","(2a) intermediate vocational","higher education","","","",""
"Yes","2008","(2c_gen) general maturity certificate","in school","","","",""
"Yes","2008","(2c_gen) general maturity certificate","inadequately","","","",""
"Yes","2008","(2c_gen) general maturity certificate","general elemantary","","","",""
"Yes","2008","(2c_gen) general maturity certificate","middle vocational","","","",""
"Yes","2008","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Yes","2008","(2c_gen) general maturity certificate","higher vocational","","","",""
"Yes","2008","(2c_gen) general maturity certificate","higher education","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","in school","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","vocational + Abi","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Yes","2008","(2c_voc) vocational maturity certificate","higher education","","","",""
"Yes","2008","(3a) lower tertiary education","in school","","","",""
"Yes","2008","(3a) lower tertiary education","inadequately","","","",""
"Yes","2008","(3a) lower tertiary education","general elemantary","","","",""
"Yes","2008","(3a) lower tertiary education","middle vocational","","","",""
