"plb0050","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"No","2006","1-pers.-HH","723","0.475047669479206","0.44971699714407","0.500378341814343","2"
"No","2006","(Married) couple without C. ","1655","0.484558719653231","0.467862987717432","0.501254451589029","2"
"No","2006","Couple + C. LE and GT 16","494","0.537017352218508","0.506050651385944","0.567984053051072","2"
"No","2006","Single parent ","343","0.508388209697869","0.470276692222023","0.546499727173716","2"
"No","2006","Couple + C. LE 16 ","1396","0.489089484390172","0.470905411794092","0.507273556986252","2"
"Yes","2006","1-pers.-HH","770","0.524952330520794","0.499621658185657","0.55028300285593","1"
"Yes","2006","(Married) couple without C. ","1787","0.515441280346769","0.498745548410971","0.532137012282568","1"
"Yes","2006","Single parent ","318","0.491611790302131","0.453500272826284","0.529723307777977","1"
"Yes","2006","Couple + C. LE 16 ","1507","0.510910515609828","0.492726443013748","0.529094588205908","1"
"Yes","2006","Couple + C. GT 16 ","1186","0.476091370146105","0.456009793663099","0.496172946629111","1"
"Yes","2006","Couple + C. LE and GT 16","502","0.462982647781492","0.432015946948928","0.493949348614056","1"
"No","2007","Couple + C. GT 16 ","","","","","2"
"No","2007","Couple + C. LE and GT 16","","","","","2"
"No","2007","1-pers.-HH","","","","","2"
"No","2007","(Married) couple without C. ","","","","","2"
"No","2007","Single parent ","","","","","2"
"No","2007","Couple + C. LE 16 ","","","","","2"
"Yes","2007","1-pers.-HH","","","","","1"
"Yes","2007","(Married) couple without C. ","","","","","1"
"Yes","2007","Single parent ","","","","","1"
"Yes","2007","Couple + C. LE 16 ","","","","","1"
"Yes","2007","Couple + C. GT 16 ","","","","","1"
"Yes","2007","Couple + C. LE and GT 16","","","","","1"
"No","2008","Couple + C. GT 16 ","","","","","2"
"No","2008","Couple + C. LE and GT 16","","","","","2"
"No","2008","1-pers.-HH","","","","","2"
"No","2008","(Married) couple without C. ","","","","","2"
"No","2008","Single parent ","","","","","2"
"No","2008","Couple + C. LE 16 ","","","","","2"
"Yes","2008","Single parent ","","","","","1"
"Yes","2008","Couple + C. LE 16 ","","","","","1"
"Yes","2008","1-pers.-HH","","","","","1"
"Yes","2008","(Married) couple without C. ","","","","","1"
"Yes","2008","Couple + C. GT 16 ","","","","","1"
"Yes","2008","Couple + C. LE and GT 16","","","","","1"
"No","2009","1-pers.-HH","","","","","2"
"No","2009","Couple + C. GT 16 ","","","","","2"
"No","2009","Couple + C. LE and GT 16","","","","","2"
"No","2009","(Married) couple without C. ","","","","","2"
"No","2009","Single parent ","","","","","2"
"No","2009","Couple + C. LE 16 ","","","","","2"
"Yes","2009","Single parent ","","","","","1"
"Yes","2009","Couple + C. LE 16 ","","","","","1"
"Yes","2009","1-pers.-HH","","","","","1"
"Yes","2009","(Married) couple without C. ","","","","","1"
"Yes","2009","Couple + C. GT 16 ","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","","","","","1"
"No","2010","1-pers.-HH","","","","","2"
"No","2010","(Married) couple without C. ","","","","","2"
"No","2010","Couple + C. GT 16 ","","","","","2"
"No","2010","Couple + C. LE and GT 16","","","","","2"
"No","2010","Single parent ","","","","","2"
"No","2010","Couple + C. LE 16 ","","","","","2"
"Yes","2010","Single parent ","","","","","1"
"Yes","2010","Couple + C. LE 16 ","","","","","1"
"Yes","2010","1-pers.-HH","","","","","1"
"Yes","2010","(Married) couple without C. ","","","","","1"
"Yes","2010","Couple + C. GT 16 ","","","","","1"
"Yes","2010","Couple + C. LE and GT 16","","","","","1"
"No","2011","1-pers.-HH","664","0.455553100569904","0.430103028147477","0.481003172992331","2"
"No","2011","(Married) couple without C. ","1543","0.449554144721818","0.432894485670261","0.466213803773375","2"
"No","2011","Couple + C. GT 16 ","992","0.491567428047796","0.470103585916388","0.513031270179204","2"
"No","2011","Couple + C. LE and GT 16","425","0.506586656500146","0.472716462811646","0.540456850188647","2"
"No","2011","Single parent ","361","0.531864088258192","0.494952235246008","0.568775941270375","2"
"No","2011","Couple + C. LE 16 ","1111","0.424731125636319","0.405004540011831","0.444457711260808","2"
"Yes","2011","Single parent ","341","0.468135911741808","0.431224058729625","0.505047764753992","1"
"Yes","2011","Couple + C. LE 16 ","1301","0.575268874363681","0.555542288739192","0.59499545998817","1"
"Yes","2011","Couple + C. GT 16 ","1092","0.508432571952204","0.486968729820796","0.529896414083612","1"
"Yes","2011","1-pers.-HH","807","0.544446899430096","0.518996827007669","0.569896971852523","1"
"Yes","2011","(Married) couple without C. ","1882","0.550445855278182","0.533786196226625","0.567105514329739","1"
"Yes","2011","Couple + C. LE and GT 16","412","0.493413343499854","0.459543149811354","0.527283537188355","1"
"No","2012","1-pers.-HH","","","","","2"
"No","2012","(Married) couple without C. ","","","","","2"
"No","2012","Couple + C. GT 16 ","","","","","2"
"No","2012","Couple + C. LE and GT 16","","","","","2"
"No","2012","Single parent ","","","","","2"
"No","2012","Couple + C. LE 16 ","","","","","2"
"Yes","2012","Single parent ","","","","","1"
"Yes","2012","Couple + C. LE 16 ","","","","","1"
"Yes","2012","Couple + C. GT 16 ","","","","","1"
"Yes","2012","Couple + C. LE and GT 16","","","","","1"
"Yes","2012","1-pers.-HH","","","","","1"
"Yes","2012","(Married) couple without C. ","","","","","1"
"No","2013","1-pers.-HH","","","","","2"
"No","2013","(Married) couple without C. ","","","","","2"
"No","2013","Single parent ","","","","","2"
"No","2013","Couple + C. LE 16 ","","","","","2"
"No","2013","Couple + C. GT 16 ","","","","","2"
"No","2013","Couple + C. LE and GT 16","","","","","2"
"Yes","2013","Single parent ","","","","","1"
"Yes","2013","Couple + C. LE 16 ","","","","","1"
"Yes","2013","Couple + C. GT 16 ","","","","","1"
"Yes","2013","Couple + C. LE and GT 16","","","","","1"
"Yes","2013","1-pers.-HH","","","","","1"
"Yes","2013","(Married) couple without C. ","","","","","1"
"No","2014","1-pers.-HH","","","","","2"
"No","2014","(Married) couple without C. ","","","","","2"
"No","2014","Single parent ","","","","","2"
"No","2014","Couple + C. LE 16 ","","","","","2"
"No","2014","Couple + C. GT 16 ","","","","","2"
"No","2014","Couple + C. LE and GT 16","","","","","2"
"Yes","2014","Single parent ","","","","","1"
"Yes","2014","Couple + C. LE 16 ","","","","","1"
"Yes","2014","1-pers.-HH","","","","","1"
"Yes","2014","Couple + C. GT 16 ","","","","","1"
"Yes","2014","Couple + C. LE and GT 16","","","","","1"
"Yes","2014","(Married) couple without C. ","","","","","1"
"No","2015","1-pers.-HH","","","","","2"
"No","2015","(Married) couple without C. ","","","","","2"
"No","2015","Single parent ","","","","","2"
"No","2015","Couple + C. LE 16 ","","","","","2"
"No","2015","Couple + C. GT 16 ","","","","","2"
"No","2015","Couple + C. LE and GT 16","","","","","2"
"Yes","2015","Single parent ","","","","","1"
"Yes","2015","Couple + C. LE 16 ","","","","","1"
"Yes","2015","1-pers.-HH","","","","","1"
"Yes","2015","(Married) couple without C. ","","","","","1"
"Yes","2015","Couple + C. GT 16 ","","","","","1"
"Yes","2015","Couple + C. LE and GT 16","","","","","1"
"No","2016","1-pers.-HH","643","0.424660420520761","0.399712724781305","0.449608116260218","2"
"No","2016","(Married) couple without C. ","1494","0.458200659202862","0.441039099331056","0.475362219074668","2"
"No","2016","Single parent ","680","0.491710768273264","0.46495336178708","0.518468174759449","2"
"No","2016","Couple + C. LE 16 ","2039","0.436921340685482","0.42210821124257","0.451734470128393","2"
"No","2016","Couple + C. GT 16 ","875","0.512138796116942","0.488917841506324","0.535359750727559","2"
"No","2016","Couple + C. LE and GT 16","713","0.500011781630171","0.474069623115593","0.525953940144748","2"
"Yes","2016","Single parent ","661","0.508289231726736","0.481531825240552","0.53504663821292","1"
"Yes","2016","Couple + C. LE 16 ","2268","0.563078659314518","0.548265529871607","0.57789178875743","1"
"Yes","2016","1-pers.-HH","865","0.575339579479239","0.550391883739782","0.600287275218695","1"
"Yes","2016","(Married) couple without C. ","1744","0.541799340797138","0.524637780925332","0.558960900668944","1"
"Yes","2016","Couple + C. GT 16 ","905","0.487861203883058","0.464640249272441","0.511082158493676","1"
"Yes","2016","Couple + C. LE and GT 16","714","0.499988218369829","0.474046059855252","0.525930376884407","1"
"No","2017","1-pers.-HH","","","","","2"
"No","2017","(Married) couple without C. ","","","","","2"
"No","2017","Single parent ","","","","","2"
"No","2017","Couple + C. LE 16 ","","","","","2"
"No","2017","Couple + C. GT 16 ","","","","","2"
"No","2017","Couple + C. LE and GT 16","","","","","2"
"Yes","2017","Single parent ","","","","","1"
"Yes","2017","Couple + C. LE 16 ","","","","","1"
"Yes","2017","1-pers.-HH","","","","","1"
"Yes","2017","(Married) couple without C. ","","","","","1"
"Yes","2017","Couple + C. GT 16 ","","","","","1"
"Yes","2017","Couple + C. LE and GT 16","","","","","1"
"No","2018","1-pers.-HH","","","","","2"
"No","2018","(Married) couple without C. ","","","","","2"
"No","2018","Single parent ","","","","","2"
"No","2018","Couple + C. LE 16 ","","","","","2"
"No","2018","Couple + C. GT 16 ","","","","","2"
"No","2018","Couple + C. LE and GT 16","","","","","2"
"Yes","2018","Single parent ","","","","","1"
"Yes","2018","Couple + C. LE 16 ","","","","","1"
"Yes","2018","1-pers.-HH","","","","","1"
"Yes","2018","(Married) couple without C. ","","","","","1"
"Yes","2018","Couple + C. GT 16 ","","","","","1"
"Yes","2018","Couple + C. LE and GT 16","","","","","1"
"No","2019","1-pers.-HH","980","0.423190584191076","0.401968311180213","0.444412857201938","2"
"No","2019","(Married) couple without C. ","2289","0.472933956581453","0.457906069258245","0.487961843904661","2"
"No","2019","Single parent ","666","0.500643272199397","0.473494791641384","0.527791752757409","2"
"No","2019","Couple + C. LE 16 ","2057","0.452078536402195","0.436820035315956","0.467337037488434","2"
"No","2019","Couple + C. GT 16 ","1058","0.461236795709347","0.439819087984607","0.482654503434087","2"
"No","2019","Couple + C. LE and GT 16","785","0.494436893100039","0.46938471462253","0.519489071577548","2"
"Yes","2019","Single parent ","637","0.499356727800603","0.472208247242591","0.526505208358616","1"
"Yes","2019","Couple + C. LE 16 ","2030","0.547921463597805","0.532662962511566","0.563179964684044","1"
"Yes","2019","1-pers.-HH","1102","0.576809415808925","0.555587142798062","0.598031688819787","1"
"Yes","2019","Couple + C. GT 16 ","1023","0.538763204290653","0.517345496565913","0.560180912015393","1"
"Yes","2019","(Married) couple without C. ","1951","0.527066043418547","0.512038156095339","0.542093930741755","1"
"Yes","2019","Couple + C. LE and GT 16","745","0.505563106899961","0.480510928422452","0.53061528537747","1"
