"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2008","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2008","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2008","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2008","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2008","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2008","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2008","Single parent","East Germany","","","","","","","","","","","","","",""
"2008","Single parent","West Germany","","","","","","","","","","","","","",""
"2009","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2009","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2009","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2009","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2009","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2009","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2009","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2009","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2009","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2009","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2009","Single parent","East Germany","","","","","","","","","","","","","",""
"2009","Single parent","West Germany","","","","","","","","","","","","","",""
"2010","(Married) couple without C.","East Germany","5.89","6","1711","4","5","7","7","7","5.83","5.95","1","7","6","6"
"2010","(Married) couple without C.","West Germany","5.85","6","4600","4","5","7","7","7","5.82","5.88","1","7","6","6"
"2010","1-pers.-HH","East Germany","5.86","6","692","4","5","7","7","7","5.77","5.95","1","7","6","6"
"2010","1-pers.-HH","West Germany","5.83","6","2050","4","5","7","7","7","5.78","5.88","1","7","6","6"
"2010","Couple + C. GT 16 ","East Germany","5.82","6","690","4","5","7","7","7","5.74","5.9","1","7","6","6"
"2010","Couple + C. GT 16 ","West Germany","5.79","6","2131","4","5","7","7","7","5.74","5.84","1","7","6","6"
"2010","Couple + C. LE 16","East Germany","5.96","6","556","5","5","7","7","7","5.87","6.05","1","7","6","6"
"2010","Couple + C. LE 16","West Germany","5.79","6","1992","4","5","7","7","7","5.74","5.84","1","7","6","6"
"2010","Couple + C. LE and GT 16","East Germany","5.69","6","183","4","5","6","7","7","5.53","5.85","1","7","6","6"
"2010","Couple + C. LE and GT 16","West Germany","5.88","6","862","4","5","7","7","7","5.8","5.96","1","7","6","6"
"2010","Single parent","East Germany","5.85","6","234","4","5","7","7","7","5.7","6","1","7","6","6"
"2010","Single parent","West Germany","5.81","6","654","4","5","7","7","7","5.72","5.9","1","7","6","6"
"2011","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2011","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2011","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2011","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2011","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2011","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2011","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2011","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2011","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2011","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2011","Single parent","East Germany","","","","","","","","","","","","","",""
"2011","Single parent","West Germany","","","","","","","","","","","","","",""
"2012","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2012","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2012","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2012","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2012","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2012","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2012","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2012","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2012","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2012","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2012","Single parent","East Germany","","","","","","","","","","","","","",""
"2012","Single parent","West Germany","","","","","","","","","","","","","",""
"2013","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2013","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2013","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2013","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2013","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2013","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2013","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2013","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2013","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2013","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2013","Single parent","East Germany","","","","","","","","","","","","","",""
"2013","Single parent","West Germany","","","","","","","","","","","","","",""
"2014","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2014","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2014","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2014","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2014","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2014","Couple + C. LE 16","West Germany","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2014","Couple + C. LE and GT 16","West Germany","","","","","","","","","","","","","",""
"2014","Single parent","East Germany","","","","","","","","","","","","","",""
"2014","Single parent","West Germany","","","","","","","","","","","","","",""
"2015","(Married) couple without C.","East Germany","5.9","6","2006","4","5","7","7","7","5.85","5.95","1","7","6","6"
"2015","(Married) couple without C.","West Germany","5.89","6","5914","4","5","7","7","7","5.86","5.92","1","7","6","6"
"2015","1-pers.-HH","East Germany","5.85","6","896","4","5","7","7","7","5.77","5.93","1","7","6","6"
"2015","1-pers.-HH","West Germany","5.89","6","2822","4","5","7","7","7","5.85","5.93","1","7","6","6"
"2015","Couple + C. GT 16 ","East Germany","5.81","6","483","4","5","7","7","7","5.7","5.92","1","7","6","6"
"2015","Couple + C. GT 16 ","West Germany","5.81","6","2470","4","5","7","7","7","5.76","5.86","1","7","6","6"
"2015","Couple + C. LE 16","East Germany","5.78","6","1143","4","5","7","7","7","5.71","5.85","1","7","6","6"
"2015","Couple + C. LE 16","West Germany","5.92","6","5571","4","5","7","7","7","5.89","5.95","1","7","6","6"
"2015","Couple + C. LE and GT 16","East Germany","5.94","6","314","4","5","7","7","7","5.81","6.07","1","7","6","6"
"2015","Couple + C. LE and GT 16","West Germany","5.84","6","1913","4","5","7","7","7","5.79","5.89","1","7","6","6"
"2015","Single parent","East Germany","5.78","6","463","4","5","7","7","7","5.66","5.9","1","7","6","6"
"2015","Single parent","West Germany","5.95","6","1924","4","5","7","7","7","5.9","6","1","7","6","6"
"2016","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2016","(Married) couple without C.","West Germany","6.13","7","145","4","6","7","7","7","5.98","6.28","1","7","7","7"
"2016","1-pers.-HH","East Germany","6.68","7","188","6","7","7","7","7","6.54","6.82","1","7","7","7"
"2016","1-pers.-HH","West Germany","6.64","7","765","6","7","7","7","7","6.58","6.7","1","7","7","7"
"2016","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2016","Couple + C. GT 16 ","West Germany","6.8","7","74","7","7","7","7","7","6.63","6.97","1","7","7","7"
"2016","Couple + C. LE 16","East Germany","6.62","7","311","6","7","7","7","7","6.55","6.69","1","7","7","7"
"2016","Couple + C. LE 16","West Germany","6.46","7","1564","5","7","7","7","7","6.43","6.49","1","7","7","7"
"2016","Couple + C. LE and GT 16","East Germany","6.93","7","60","7","7","7","7","7","6.84","7.02","5","7","7","7"
"2016","Couple + C. LE and GT 16","West Germany","6.54","7","351","5","6","7","7","7","6.49","6.59","2","7","7","7"
"2016","Single parent","East Germany","6.79","7","82","7","7","7","7","7","6.65","6.93","4","7","7","7"
"2016","Single parent","West Germany","6.44","7","267","5","6","7","7","7","6.34","6.54","1","7","7","7"
"2017","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2017","(Married) couple without C.","West Germany","6.78","7","118","6","7","7","7","7","6.71","6.85","5","7","7","7"
"2017","1-pers.-HH","East Germany","6.85","7","58","7","7","7","7","7","6.62","7.08","1","7","7","7"
"2017","1-pers.-HH","West Germany","6.72","7","513","6","7","7","7","7","6.66","6.78","1","7","7","7"
"2017","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2017","Couple + C. GT 16 ","West Germany","6.74","7","52","6","7","7","7","7","6.49","6.99","1","7","7","7"
"2017","Couple + C. LE 16","East Germany","6.87","7","117","6","7","7","7","7","6.76","6.98","3","7","7","7"
"2017","Couple + C. LE 16","West Germany","6.65","7","952","6","7","7","7","7","6.6","6.7","1","7","7","7"
"2017","Couple + C. LE and GT 16","East Germany","6.77","7","31","6","7","7","7","7","6.63","6.91","6","7","7","7"
"2017","Couple + C. LE and GT 16","West Germany","6.8","7","273","6","7","7","7","7","6.73","6.87","4","7","7","7"
"2017","Single parent","East Germany","","","","","","","","","","","","","",""
"2017","Single parent","West Germany","6.81","7","157","6","7","7","7","7","6.69","6.93","1","7","7","7"
"2018","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"2018","(Married) couple without C.","West Germany","","","","","","","","","","","","","",""
"2018","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"2018","1-pers.-HH","West Germany","","","","","","","","","","","","","",""
"2018","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"2018","Couple + C. GT 16 ","West Germany","","","","","","","","","","","","","",""
"2018","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"2018","Couple + C. LE 16","West Germany","6.64","7","128","6","7","7","7","7","6.48","6.8","2","7","7","7"
"2018","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"2018","Couple + C. LE and GT 16","West Germany","6.44","7","86","6","7","7","7","7","6.24","6.64","1","7","7","7"
