"plh0188","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Rather not true","1995","1-pers.-HH","446","0.320836810355421","0.296818439321106","0.344855181389736"
"Rather not true","1995","(Married) couple without C. ","1069","0.310590586657339","0.295286634954177","0.3258945383605"
"Rather not true","1995","Single parent ","177","0.274696781130518","0.239361834361441","0.310031727899595"
"Rather not true","1995","Couple + C. LE 16 ","791","0.253604218210846","0.238403554740941","0.268804881680751"
"Rather not true","1995","Couple + C. GT 16 ","667","0.268946983121127","0.251541153538454","0.2863528127038"
"Rather not true","1995","Couple + C. LE and GT 16","340","0.273438208323785","0.248649541476807","0.298226875170764"
"Totally disagree","1995","1-pers.-HH","126","0.103943347116041","0.0882404253161784","0.119646268915904"
"Totally disagree","1995","(Married) couple without C. ","206","0.0638223750525701","0.0557381862664217","0.0719065638387184"
"Totally disagree","1995","Single parent ","26","","",""
"Totally disagree","1995","Couple + C. LE 16 ","101","0.0298520231781434","0.0239062875360269","0.0357977588202598"
"Totally disagree","1995","Couple + C. GT 16 ","121","0.047646264005738","0.0392844496166895","0.0560080783947864"
"Totally disagree","1995","Couple + C. LE and GT 16","30","0.0215148653551727","0.0134456050519869","0.0295841256583586"
"True entirely","1996","1-pers.-HH","212","0.133002726037899","0.115725648682904","0.150279803392895"
"True entirely","1996","(Married) couple without C. ","458","0.124432063992853","0.113590968218703","0.135273159767003"
"True entirely","1996","Single parent ","108","0.175511352249808","0.146312267444376","0.20471043705524"
"True entirely","1996","Couple + C. LE 16 ","412","0.124723267843415","0.112909939223046","0.136536596463784"
"True entirely","1996","Couple + C. GT 16 ","308","0.117312528117547","0.104329746023012","0.130295310212082"
"True entirely","1996","Couple + C. LE and GT 16","169","0.128526284058392","0.109973195960603","0.14707937215618"
"Tends to agree","1996","1-pers.-HH","638","0.425590250305066","0.400434465142324","0.450746035467808"
"Tends to agree","1996","(Married) couple without C. ","1655","0.459642036591908","0.443273390744183","0.476010682439633"
"Tends to agree","1996","Single parent ","295","0.454519921153452","0.416299963477502","0.492739878829403"
"Tends to agree","1996","Couple + C. LE 16 ","1644","0.559410170394189","0.541659765428534","0.577160575359845"
"Tends to agree","1996","Couple + C. GT 16 ","1198","0.502283517506954","0.482111117814509","0.522455917199399"
"Tends to agree","1996","Couple + C. LE and GT 16","652","0.534767378962382","0.507116393265136","0.562418364659628"
"Rather not true","1996","1-pers.-HH","497","0.348711478247345","0.324464871198702","0.372958085295988"
"Rather not true","1996","(Married) couple without C. ","1222","0.352588014740243","0.336895727666356","0.36828030181413"
"Rather not true","1996","Single parent ","212","0.315258584228986","0.279595323239749","0.350921845218223"
"Rather not true","1996","Couple + C. LE 16 ","836","0.281749995537685","0.265665937540344","0.297834053535027"
"Rather not true","1996","Couple + C. GT 16 ","715","0.319438087264357","0.300626767835894","0.338249406692819"
"Rather not true","1996","Couple + C. LE and GT 16","375","0.292052567236111","0.266845396430216","0.317259738042007"
"Totally disagree","1996","1-pers.-HH","137","0.0926955454096902","0.0779406174240213","0.107450473395359"
"Totally disagree","1996","(Married) couple without C. ","226","0.0633378846749953","0.0553379699233234","0.0713377994266671"
"Totally disagree","1996","Single parent ","37","0.0547101423677534","0.0372543038875211","0.0721659808479858"
"Totally disagree","1996","Couple + C. LE 16 ","113","0.0341165662247111","0.0276261751105988","0.0406069573388234"
"Totally disagree","1996","Couple + C. GT 16 ","139","0.0609658671111424","0.0513125592588588","0.0706191749634259"
"Totally disagree","1996","Couple + C. LE and GT 16","54","0.0446537697431147","0.0332038472740903","0.0561036922121391"
"True entirely","1997","1-pers.-HH","143","0.0879733130516407","0.0734138575024191","0.102532768600862"
"True entirely","1997","(Married) couple without C. ","281","0.0795520819302151","0.0707102369504659","0.0883939269099643"
"True entirely","1997","Single parent ","75","0.12232470473188","0.0968597118988348","0.147789697564925"
"True entirely","1997","Couple + C. LE 16 ","252","0.0864638304682432","0.0761292563717553","0.096798404564731"
"True entirely","1997","Couple + C. GT 16 ","196","0.0777060723695392","0.0669394758573807","0.0884726688816977"
"True entirely","1997","Couple + C. LE and GT 16","105","0.0881253782462824","0.0721131080790959","0.104137648413469"
"Tends to agree","1997","1-pers.-HH","511","0.354752924658324","0.330161034949884","0.379344814366763"
"Tends to agree","1997","(Married) couple without C. ","1429","0.39511873681548","0.379144637145314","0.411092836485647"
"Tends to agree","1997","Single parent ","242","0.363898693756649","0.326507190524931","0.401290196988368"
"Tends to agree","1997","Couple + C. LE 16 ","1350","0.472813278225801","0.454454679132836","0.491171877318766"
"Tends to agree","1997","Couple + C. GT 16 ","975","0.414108952501978","0.394299064291431","0.433918840712525"
"Tends to agree","1997","Couple + C. LE and GT 16","540","0.455405137976793","0.427275083031814","0.483535192921771"
"Rather not true","1997","1-pers.-HH","585","0.401493222834113","0.376296762546703","0.426689683121524"
"Rather not true","1997","(Married) couple without C. ","1463","0.400293309514678","0.384283870128391","0.416302748900964"
"Rather not true","1997","Single parent ","255","0.405668582259491","0.367507598259408","0.443829566259573"
"Rather not true","1997","Couple + C. LE 16 ","1040","0.365102701830577","0.347398688128965","0.382806715532189"
"Rather not true","1997","Couple + C. GT 16 ","979","0.406599822145882","0.386844973243044","0.426354671048721"
"Rather not true","1997","Couple + C. LE and GT 16","472","0.389202456286462","0.361661990904345","0.416742921668579"
"Totally disagree","1997","1-pers.-HH","215","0.155780539455922","0.137140356572146","0.174420722339699"
"Totally disagree","1997","(Married) couple without C. ","425","0.125035871739627","0.114228254664903","0.135843488814351"
"Totally disagree","1997","Single parent ","64","0.10810801925198","0.0839753912790964","0.132240647224864"
"Totally disagree","1997","Couple + C. LE 16 ","199","0.0756201894753786","0.0658981679012792","0.085342211049478"
"Totally disagree","1997","Couple + C. GT 16 ","225","0.101585152982601","0.0894353324283047","0.113734973536897"
"Totally disagree","1997","Couple + C. LE and GT 16","87","0.0672670274904631","0.0531183896331333","0.081415665347793"
"True entirely","1998","1-pers.-HH","","","",""
"True entirely","1998","(Married) couple without C. ","","","",""
"True entirely","1998","Single parent ","","","",""
"True entirely","1998","Couple + C. LE 16 ","","","",""
"True entirely","1998","Couple + C. GT 16 ","","","",""
"True entirely","1998","Couple + C. LE and GT 16","","","",""
"Tends to agree","1998","1-pers.-HH","","","",""
"Tends to agree","1998","(Married) couple without C. ","","","",""
"Tends to agree","1998","Single parent ","","","",""
"Tends to agree","1998","Couple + C. LE 16 ","","","",""
"Tends to agree","1998","Couple + C. GT 16 ","","","",""
"Tends to agree","1998","Couple + C. LE and GT 16","","","",""
"Rather not true","1998","1-pers.-HH","","","",""
"Rather not true","1998","(Married) couple without C. ","","","",""
"Rather not true","1998","Single parent ","","","",""
"Rather not true","1998","Couple + C. LE 16 ","","","",""
"Rather not true","1998","Couple + C. GT 16 ","","","",""
"Rather not true","1998","Couple + C. LE and GT 16","","","",""
"Totally disagree","1998","1-pers.-HH","","","",""
"Totally disagree","1998","(Married) couple without C. ","","","",""
"Totally disagree","1998","Single parent ","","","",""
"Totally disagree","1998","Couple + C. LE 16 ","","","",""
"Totally disagree","1998","Couple + C. GT 16 ","","","",""
"Totally disagree","1998","Couple + C. LE and GT 16","","","",""
"True entirely","1999","1-pers.-HH","","","",""
"True entirely","1999","(Married) couple without C. ","","","",""
"True entirely","1999","Single parent ","","","",""
"True entirely","1999","Couple + C. LE 16 ","","","",""
"True entirely","1999","Couple + C. GT 16 ","","","",""
"True entirely","1999","Couple + C. LE and GT 16","","","",""
"Tends to agree","1999","1-pers.-HH","","","",""
"Tends to agree","1999","(Married) couple without C. ","","","",""
"Tends to agree","1999","Single parent ","","","",""
"Tends to agree","1999","Couple + C. LE 16 ","","","",""
"Tends to agree","1999","Couple + C. GT 16 ","","","",""
"Tends to agree","1999","Couple + C. LE and GT 16","","","",""
"Rather not true","1999","1-pers.-HH","","","",""
"Rather not true","1999","(Married) couple without C. ","","","",""
"Rather not true","1999","Single parent ","","","",""
"Rather not true","1999","Couple + C. LE 16 ","","","",""
"Rather not true","1999","Couple + C. GT 16 ","","","",""
"Rather not true","1999","Couple + C. LE and GT 16","","","",""
"Totally disagree","1999","1-pers.-HH","","","",""
"Totally disagree","1999","(Married) couple without C. ","","","",""
"Totally disagree","1999","Single parent ","","","",""
"Totally disagree","1999","Couple + C. LE 16 ","","","",""
"Totally disagree","1999","Couple + C. GT 16 ","","","",""
"Totally disagree","1999","Couple + C. LE and GT 16","","","",""
"True entirely","2000","1-pers.-HH","","","",""
"True entirely","2000","(Married) couple without C. ","","","",""
"True entirely","2000","Single parent ","","","",""
"True entirely","2000","Couple + C. LE 16 ","","","",""
"True entirely","2000","Couple + C. GT 16 ","","","",""
"True entirely","2000","Couple + C. LE and GT 16","","","",""
"Tends to agree","2000","1-pers.-HH","","","",""
"Tends to agree","2000","(Married) couple without C. ","","","",""
"Tends to agree","2000","Single parent ","","","",""
"Tends to agree","2000","Couple + C. LE 16 ","","","",""
"Tends to agree","2000","Couple + C. GT 16 ","","","",""
"Tends to agree","2000","Couple + C. LE and GT 16","","","",""
"Rather not true","2000","1-pers.-HH","","","",""
"Rather not true","2000","(Married) couple without C. ","","","",""
"Rather not true","2000","Single parent ","","","",""
"Rather not true","2000","Couple + C. LE 16 ","","","",""
"Rather not true","2000","Couple + C. GT 16 ","","","",""
"Rather not true","2000","Couple + C. LE and GT 16","","","",""
"Totally disagree","2000","1-pers.-HH","","","",""
"Totally disagree","2000","(Married) couple without C. ","","","",""
"Totally disagree","2000","Single parent ","","","",""
"Totally disagree","2000","Couple + C. LE 16 ","","","",""
"Totally disagree","2000","Couple + C. GT 16 ","","","",""
"Totally disagree","2000","Couple + C. LE and GT 16","","","",""
"True entirely","2001","1-pers.-HH","","","",""
"True entirely","2001","(Married) couple without C. ","","","",""
"True entirely","2001","Single parent ","","","",""
"True entirely","2001","Couple + C. LE 16 ","","","",""
"True entirely","2001","Couple + C. GT 16 ","","","",""
"True entirely","2001","Couple + C. LE and GT 16","","","",""
"Tends to agree","2001","1-pers.-HH","","","",""
"Tends to agree","2001","(Married) couple without C. ","","","",""
"Tends to agree","2001","Single parent ","","","",""
"Tends to agree","2001","Couple + C. LE 16 ","","","",""
"Tends to agree","2001","Couple + C. GT 16 ","","","",""
"Tends to agree","2001","Couple + C. LE and GT 16","","","",""
"Rather not true","2001","1-pers.-HH","","","",""
"Rather not true","2001","(Married) couple without C. ","","","",""
"Rather not true","2001","Single parent ","","","",""
"Rather not true","2001","Couple + C. LE 16 ","","","",""
"Rather not true","2001","Couple + C. GT 16 ","","","",""
"Rather not true","2001","Couple + C. LE and GT 16","","","",""
"Totally disagree","2001","1-pers.-HH","","","",""
"Totally disagree","2001","(Married) couple without C. ","","","",""
"Totally disagree","2001","Single parent ","","","",""
"Totally disagree","2001","Couple + C. LE 16 ","","","",""
"Totally disagree","2001","Couple + C. GT 16 ","","","",""
"Totally disagree","2001","Couple + C. LE and GT 16","","","",""
"True entirely","2002","1-pers.-HH","","","",""
"True entirely","2002","(Married) couple without C. ","","","",""
"True entirely","2002","Single parent ","","","",""
"True entirely","2002","Couple + C. LE 16 ","","","",""
"True entirely","2002","Couple + C. GT 16 ","","","",""
"True entirely","2002","Couple + C. LE and GT 16","","","",""
"Tends to agree","2002","1-pers.-HH","","","",""
"Tends to agree","2002","(Married) couple without C. ","","","",""
"Tends to agree","2002","Single parent ","","","",""
"Tends to agree","2002","Couple + C. LE 16 ","","","",""
"Tends to agree","2002","Couple + C. GT 16 ","","","",""
"Tends to agree","2002","Couple + C. LE and GT 16","","","",""
"Rather not true","2002","1-pers.-HH","","","",""
"Rather not true","2002","(Married) couple without C. ","","","",""
"Rather not true","2002","Single parent ","","","",""
"Rather not true","2002","Couple + C. LE 16 ","","","",""
"Rather not true","2002","Couple + C. GT 16 ","","","",""
"Rather not true","2002","Couple + C. LE and GT 16","","","",""
"Totally disagree","2002","1-pers.-HH","","","",""
"Totally disagree","2002","(Married) couple without C. ","","","",""
"Totally disagree","2002","Single parent ","","","",""
"Totally disagree","2002","Couple + C. LE 16 ","","","",""
"Totally disagree","2002","Couple + C. GT 16 ","","","",""
"Totally disagree","2002","Couple + C. LE and GT 16","","","",""
"True entirely","2003","1-pers.-HH","","","",""
"True entirely","2003","(Married) couple without C. ","","","",""
"True entirely","2003","Single parent ","","","",""
"True entirely","2003","Couple + C. LE 16 ","","","",""
"True entirely","2003","Couple + C. GT 16 ","","","",""
"True entirely","2003","Couple + C. LE and GT 16","","","",""
"Tends to agree","2003","1-pers.-HH","","","",""
"Tends to agree","2003","(Married) couple without C. ","","","",""
"Tends to agree","2003","Single parent ","","","",""
"Tends to agree","2003","Couple + C. LE 16 ","","","",""
"Tends to agree","2003","Couple + C. GT 16 ","","","",""
"Tends to agree","2003","Couple + C. LE and GT 16","","","",""
"Rather not true","2003","1-pers.-HH","","","",""
"Rather not true","2003","(Married) couple without C. ","","","",""
"Rather not true","2003","Single parent ","","","",""
"Rather not true","2003","Couple + C. LE 16 ","","","",""
"Rather not true","2003","Couple + C. GT 16 ","","","",""
"Rather not true","2003","Couple + C. LE and GT 16","","","",""
"Totally disagree","2003","1-pers.-HH","","","",""
"Totally disagree","2003","(Married) couple without C. ","","","",""
"Totally disagree","2003","Single parent ","","","",""
"Totally disagree","2003","Couple + C. LE 16 ","","","",""
"Totally disagree","2003","Couple + C. GT 16 ","","","",""
"Totally disagree","2003","Couple + C. LE and GT 16","","","",""
"True entirely","2004","1-pers.-HH","","","",""
"True entirely","2004","(Married) couple without C. ","","","",""
"True entirely","2004","Single parent ","","","",""
"True entirely","2004","Couple + C. LE 16 ","","","",""
"True entirely","2004","Couple + C. GT 16 ","","","",""
"True entirely","2004","Couple + C. LE and GT 16","","","",""
"Tends to agree","2004","1-pers.-HH","","","",""
