"pli0081","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Never","1991","35-65 y.","Not Employed","","","","","5"
"Never","1991","35-65 y.","Employed","","","","","5"
"Never","1991","66 and older","Not Employed","","","","","5"
"Never","1991","66 and older","Employed","","","","","5"
"Rarely","1991","16-34 y.","Employed","","","","","4"
"Rarely","1991","16-34 y.","Not Employed","","","","","4"
"Rarely","1991","35-65 y.","Not Employed","","","","","4"
"Rarely","1991","35-65 y.","Employed","","","","","4"
"Rarely","1991","66 and older","Not Employed","","","","","4"
"Rarely","1991","66 and older","Employed","","","","","4"
"Daily","1992","16-34 y.","Not Employed","","","","","1"
"Daily","1992","16-34 y.","Employed","","","","","1"
"Daily","1992","35-65 y.","Not Employed","","","","","1"
"Daily","1992","35-65 y.","Employed","","","","","1"
"Daily","1992","66 and older","Not Employed","","","","","1"
"Daily","1992","66 and older","Employed","","","","","1"
"Min 1x per month","1992","16-34 y.","Employed","","","","","3"
"Min 1x per month","1992","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1992","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1992","35-65 y.","Employed","","","","","3"
"Min 1x per month","1992","66 and older","Not Employed","","","","","3"
"Min 1x per month","1992","66 and older","Employed","","","","","3"
"Min 1x per week","1992","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1992","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1992","16-34 y.","Employed","","","","","2"
"Min 1x per week","1992","66 and older","Not Employed","","","","","2"
"Min 1x per week","1992","35-65 y.","Employed","","","","","2"
"Min 1x per week","1992","66 and older","Employed","","","","","2"
"Never","1992","16-34 y.","Not Employed","","","","","5"
"Never","1992","16-34 y.","Employed","","","","","5"
"Never","1992","35-65 y.","Not Employed","","","","","5"
"Never","1992","35-65 y.","Employed","","","","","5"
"Never","1992","66 and older","Not Employed","","","","","5"
"Never","1992","66 and older","Employed","","","","","5"
"Rarely","1992","16-34 y.","Not Employed","","","","","4"
"Rarely","1992","16-34 y.","Employed","","","","","4"
"Rarely","1992","35-65 y.","Not Employed","","","","","4"
"Rarely","1992","35-65 y.","Employed","","","","","4"
"Rarely","1992","66 and older","Not Employed","","","","","4"
"Rarely","1992","66 and older","Employed","","","","","4"
"Daily","1993","16-34 y.","Not Employed","","","","","1"
"Daily","1993","16-34 y.","Employed","","","","","1"
"Daily","1993","35-65 y.","Not Employed","","","","","1"
"Daily","1993","35-65 y.","Employed","","","","","1"
"Daily","1993","66 and older","Not Employed","","","","","1"
"Daily","1993","66 and older","Employed","","","","","1"
"Min 1x per month","1993","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1993","16-34 y.","Employed","","","","","3"
"Min 1x per month","1993","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1993","35-65 y.","Employed","","","","","3"
"Min 1x per month","1993","66 and older","Not Employed","","","","","3"
"Min 1x per month","1993","66 and older","Employed","","","","","3"
"Min 1x per week","1993","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1993","16-34 y.","Employed","","","","","2"
"Min 1x per week","1993","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1993","35-65 y.","Employed","","","","","2"
"Min 1x per week","1993","66 and older","Not Employed","","","","","2"
"Min 1x per week","1993","66 and older","Employed","","","","","2"
"Never","1993","16-34 y.","Not Employed","","","","","5"
"Never","1993","16-34 y.","Employed","","","","","5"
"Never","1993","35-65 y.","Not Employed","","","","","5"
"Never","1993","35-65 y.","Employed","","","","","5"
"Never","1993","66 and older","Not Employed","","","","","5"
"Never","1993","66 and older","Employed","","","","","5"
"Rarely","1993","16-34 y.","Not Employed","","","","","4"
"Rarely","1993","16-34 y.","Employed","","","","","4"
"Rarely","1993","35-65 y.","Not Employed","","","","","4"
"Rarely","1993","35-65 y.","Employed","","","","","4"
"Rarely","1993","66 and older","Not Employed","","","","","4"
"Rarely","1993","66 and older","Employed","","","","","4"
"Daily","1994","16-34 y.","Not Employed","","","","","1"
"Daily","1994","16-34 y.","Employed","","","","","1"
"Daily","1994","35-65 y.","Not Employed","","","","","1"
"Daily","1994","35-65 y.","Employed","","","","","1"
"Daily","1994","66 and older","Not Employed","","","","","1"
"Daily","1994","66 and older","Employed","","","","","1"
"Min 1x per month","1994","16-34 y.","Employed","","","","","3"
"Min 1x per month","1994","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1994","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1994","35-65 y.","Employed","","","","","3"
"Min 1x per month","1994","66 and older","Employed","","","","","3"
"Min 1x per month","1994","66 and older","Not Employed","","","","","3"
"Min 1x per week","1994","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1994","16-34 y.","Employed","","","","","2"
"Min 1x per week","1994","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1994","35-65 y.","Employed","","","","","2"
"Min 1x per week","1994","66 and older","Employed","","","","","2"
"Min 1x per week","1994","66 and older","Not Employed","","","","","2"
"Never","1994","16-34 y.","Not Employed","","","","","5"
"Never","1994","16-34 y.","Employed","","","","","5"
"Never","1994","35-65 y.","Not Employed","","","","","5"
"Never","1994","35-65 y.","Employed","","","","","5"
"Never","1994","66 and older","Not Employed","","","","","5"
"Never","1994","66 and older","Employed","","","","","5"
"Rarely","1994","16-34 y.","Employed","","","","","4"
"Rarely","1994","16-34 y.","Not Employed","","","","","4"
"Rarely","1994","35-65 y.","Employed","","","","","4"
"Rarely","1994","35-65 y.","Not Employed","","","","","4"
"Rarely","1994","66 and older","Not Employed","","","","","4"
"Rarely","1994","66 and older","Employed","","","","","4"
"Daily","1995","16-34 y.","Not Employed","122","0.0755554962247143","0.0615198313319123","0.0895911611175162","1"
"Daily","1995","16-34 y.","Employed","322","0.0792884639346186","0.0704267044160891","0.088150223453148","1"
"Daily","1995","35-65 y.","Not Employed","195","0.085855555404545","0.0733956400663274","0.0983154707427626","1"
"Daily","1995","35-65 y.","Employed","279","0.0454810620276302","0.0396346387434365","0.0513274853118239","1"
"Daily","1995","66 and older","Not Employed","166","0.118413053971479","0.102051499943779","0.134774607999179","1"
"Daily","1995","66 and older","Employed","5","","","","1"
"Min 1x per month","1995","16-34 y.","Not Employed","377","0.289944263776166","0.265847261541901","0.314041266010431","3"
"Min 1x per month","1995","16-34 y.","Employed","969","0.292842992591782","0.277917505653922","0.307768479529642","3"
"Min 1x per month","1995","35-65 y.","Not Employed","519","0.283644831349041","0.263596643881657","0.303693018816425","3"
"Min 1x per month","1995","35-65 y.","Employed","1580","0.326760108483453","0.313599313663488","0.339920903303419","3"
"Min 1x per month","1995","66 and older","Not Employed","391","0.255612981638342","0.23352362674102","0.277702336535665","3"
"Min 1x per month","1995","66 and older","Employed","12","","","","3"
"Min 1x per week","1995","16-34 y.","Not Employed","539","0.377039946603467","0.351301441505658","0.402778451701276","2"
"Min 1x per week","1995","16-34 y.","Employed","1593","0.414931702600704","0.398771576029863","0.431091829171546","2"
"Min 1x per week","1995","35-65 y.","Not Employed","846","0.416810318133394","0.3948823887105","0.438738247556288","2"
"Min 1x per week","1995","35-65 y.","Employed","1778","0.354821523521253","0.341396112349361","0.368246934693145","2"
"Min 1x per week","1995","66 and older","Not Employed","594","0.372395322187953","0.34791385854983","0.396876785826077","2"
"Min 1x per week","1995","66 and older","Employed","15","","","","2"
"Never","1995","16-34 y.","Not Employed","58","0.0455583917024079","0.0344840374638728","0.056632745940943","5"
"Never","1995","16-34 y.","Employed","81","0.0266742610009656","0.021389462073944","0.0319590599279871","5"
"Never","1995","35-65 y.","Not Employed","66","0.0278170135038965","0.0205030508714931","0.0351309761362999","5"
"Never","1995","35-65 y.","Employed","144","0.0249913190266292","0.020611244374942","0.0293713936783164","5"
"Never","1995","66 and older","Not Employed","58","0.0447626411598448","0.0342912185903135","0.055234063729376","5"
"Never","1995","66 and older","Employed","","","","","5"
"Rarely","1995","16-34 y.","Employed","606","0.18626257987193","0.173493543714023","0.199031616029836","4"
"Rarely","1995","16-34 y.","Not Employed","266","0.211901901693245","0.190199034934544","0.233604768451945","4"
"Rarely","1995","35-65 y.","Not Employed","316","0.185872281609124","0.168571048252019","0.203173514966228","4"
"Rarely","1995","35-65 y.","Employed","1098","0.247945986941034","0.235829248299108","0.26006272558296","4"
"Rarely","1995","66 and older","Not Employed","289","0.208816001042381","0.188232804580787","0.229399197503974","4"
"Rarely","1995","66 and older","Employed","10","","","","4"
"Daily","1996","16-34 y.","Not Employed","","","","","1"
"Daily","1996","16-34 y.","Employed","","","","","1"
"Daily","1996","35-65 y.","Not Employed","","","","","1"
"Daily","1996","35-65 y.","Employed","","","","","1"
"Daily","1996","66 and older","Not Employed","","","","","1"
"Daily","1996","66 and older","Employed","","","","","1"
"Min 1x per month","1996","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1996","16-34 y.","Employed","","","","","3"
"Min 1x per month","1996","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1996","35-65 y.","Employed","","","","","3"
"Min 1x per month","1996","66 and older","Not Employed","","","","","3"
"Min 1x per month","1996","66 and older","Employed","","","","","3"
"Min 1x per week","1996","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1996","16-34 y.","Employed","","","","","2"
"Min 1x per week","1996","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1996","66 and older","Not Employed","","","","","2"
"Min 1x per week","1996","35-65 y.","Employed","","","","","2"
"Min 1x per week","1996","66 and older","Employed","","","","","2"
"Never","1996","16-34 y.","Not Employed","","","","","5"
"Never","1996","16-34 y.","Employed","","","","","5"
"Never","1996","35-65 y.","Not Employed","","","","","5"
"Never","1996","35-65 y.","Employed","","","","","5"
"Never","1996","66 and older","Not Employed","","","","","5"
"Never","1996","66 and older","Employed","","","","","5"
"Rarely","1996","16-34 y.","Employed","","","","","4"
"Rarely","1996","16-34 y.","Not Employed","","","","","4"
"Rarely","1996","35-65 y.","Not Employed","","","","","4"
"Rarely","1996","35-65 y.","Employed","","","","","4"
"Rarely","1996","66 and older","Not Employed","","","","","4"
"Rarely","1996","66 and older","Employed","","","","","4"
"Daily","1997","16-34 y.","Not Employed","","","","","1"
"Daily","1997","16-34 y.","Employed","","","","","1"
"Daily","1997","35-65 y.","Not Employed","","","","","1"
"Daily","1997","35-65 y.","Employed","","","","","1"
"Daily","1997","66 and older","Not Employed","","","","","1"
"Daily","1997","66 and older","Employed","","","","","1"
"Min 1x per month","1997","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1997","16-34 y.","Employed","","","","","3"
"Min 1x per month","1997","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1997","35-65 y.","Employed","","","","","3"
"Min 1x per month","1997","66 and older","Not Employed","","","","","3"
"Min 1x per month","1997","66 and older","Employed","","","","","3"
"Min 1x per week","1997","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1997","16-34 y.","Employed","","","","","2"
"Min 1x per week","1997","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1997","35-65 y.","Employed","","","","","2"
"Min 1x per week","1997","66 and older","Employed","","","","","2"
"Min 1x per week","1997","66 and older","Not Employed","","","","","2"
"Never","1997","16-34 y.","Not Employed","","","","","5"
"Never","1997","16-34 y.","Employed","","","","","5"
"Never","1997","35-65 y.","Not Employed","","","","","5"
"Never","1997","35-65 y.","Employed","","","","","5"
"Never","1997","66 and older","Not Employed","","","","","5"
"Never","1997","66 and older","Employed","","","","","5"
"Rarely","1997","16-34 y.","Not Employed","","","","","4"
"Rarely","1997","35-65 y.","Not Employed","","","","","4"
"Rarely","1997","16-34 y.","Employed","","","","","4"
"Rarely","1997","35-65 y.","Employed","","","","","4"
"Rarely","1997","66 and older","Not Employed","","","","","4"
"Rarely","1997","66 and older","Employed","","","","","4"
"Daily","1998","16-34 y.","Not Employed","143","0.0884004177548906","0.0734930230585632","0.103307812451218","1"
"Daily","1998","16-34 y.","Employed","346","0.087955142934054","0.0785341440686257","0.0973761417994822","1"
"Daily","1998","35-65 y.","Not Employed","256","0.0958909669315251","0.0835479232667844","0.108234010596266","1"
"Daily","1998","35-65 y.","Employed","310","0.0532742158269926","0.0472382807462249","0.0593101509077602","1"
"Daily","1998","66 and older","Employed","7","","","","1"
"Daily","1998","66 and older","Not Employed","216","0.110271529394593","0.0958613223996253","0.124681736389561","1"
"Min 1x per month","1998","16-34 y.","Not Employed","385","0.292365862563399","0.268480037259433","0.316251687867365","3"
"Min 1x per month","1998","16-34 y.","Employed","937","0.289089774624827","0.274010446951726","0.304169102297927","3"
"Min 1x per month","1998","35-65 y.","Not Employed","579","0.269406846790574","0.250808894658987","0.288004798922161","3"
"Min 1x per month","1998","35-65 y.","Employed","1782","0.326813407382338","0.314206992787378","0.339419821977299","3"
"Min 1x per month","1998","66 and older","Employed","14","","","","3"
"Min 1x per month","1998","66 and older","Not Employed","490","0.265627975129125","0.245308862181953","0.285947088076298","3"
"Min 1x per week","1998","16-34 y.","Not Employed","578","0.397904234105305","0.372200595899505","0.423607872311106","2"
"Min 1x per week","1998","16-34 y.","Employed","1581","0.432387790374813","0.415909171543246","0.44886640920638","2"
"Min 1x per week","1998","35-65 y.","Not Employed","953","0.417740250487476","0.397065772241958","0.438414728732993","2"
"Min 1x per week","1998","35-65 y.","Employed","1971","0.357311607033531","0.344432145246325","0.370191068820737","2"
"Min 1x per week","1998","66 and older","Not Employed","762","0.409307607264573","0.386686421122043","0.431928793407103","2"
"Min 1x per week","1998","66 and older","Employed","24","","","","2"
"Never","1998","16-34 y.","Not Employed","30","0.0201844091767866","0.0127993713111098","0.0275694470424633","5"
"Never","1998","16-34 y.","Employed","30","0.0119399920688368","0.00832712558125278","0.0155528585564209","5"
"Never","1998","35-65 y.","Not Employed","48","0.0266812006550844","0.0199257666981915","0.0334366346119773","5"
"Never","1998","35-65 y.","Employed","91","0.017399610981268","0.0138853649776189","0.0209138569849172","5"
"Never","1998","66 and older","Not Employed","49","0.0357768949914636","0.0272321350420931","0.044321654940834","5"
"Never","1998","66 and older","Employed","2","","","","5"
"Rarely","1998","16-34 y.","Not Employed","257","0.201145076399619","0.180094635615427","0.222195517183811","4"
"Rarely","1998","16-34 y.","Employed","578","0.178627299997469","0.165886336199544","0.191368263795395","4"
"Rarely","1998","35-65 y.","Not Employed","350","0.190280735135341","0.173826122661233","0.206735347609449","4"
"Rarely","1998","35-65 y.","Employed","1164","0.24520115877587","0.233638684060877","0.256763633490863","4"
"Rarely","1998","66 and older","Employed","11","","","","4"
"Rarely","1998","66 and older","Not Employed","298","0.179015993220245","0.161379061198906","0.196652925241584","4"
"Daily","1999","16-34 y.","Not Employed","","","","","1"
"Daily","1999","16-34 y.","Employed","","","","","1"
"Daily","1999","35-65 y.","Not Employed","","","","","1"
"Daily","1999","35-65 y.","Employed","","","","","1"
"Daily","1999","66 and older","Employed","","","","","1"
"Daily","1999","66 and older","Not Employed","","","","","1"
"Min 1x per month","1999","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","1999","16-34 y.","Employed","","","","","3"
"Min 1x per month","1999","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","1999","35-65 y.","Employed","","","","","3"
"Min 1x per month","1999","66 and older","Employed","","","","","3"
"Min 1x per month","1999","66 and older","Not Employed","","","","","3"
"Min 1x per week","1999","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","1999","16-34 y.","Employed","","","","","2"
"Min 1x per week","1999","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","1999","35-65 y.","Employed","","","","","2"
"Min 1x per week","1999","66 and older","Employed","","","","","2"
"Min 1x per week","1999","66 and older","Not Employed","","","","","2"
"Never","1999","16-34 y.","Employed","","","","","5"
"Never","1999","16-34 y.","Not Employed","","","","","5"
"Never","1999","35-65 y.","Not Employed","","","","","5"
"Never","1999","35-65 y.","Employed","","","","","5"
"Never","1999","66 and older","Not Employed","","","","","5"
"Never","1999","66 and older","Employed","","","","","5"
"Rarely","1999","16-34 y.","Not Employed","","","","","4"
"Rarely","1999","16-34 y.","Employed","","","","","4"
"Rarely","1999","35-65 y.","Not Employed","","","","","4"
"Rarely","1999","35-65 y.","Employed","","","","","4"
"Rarely","1999","66 and older","Not Employed","","","","","4"
"Rarely","1999","66 and older","Employed","","","","","4"
"Daily","2000","16-34 y.","Not Employed","","","","","1"
"Daily","2000","16-34 y.","Employed","","","","","1"
"Daily","2000","35-65 y.","Not Employed","","","","","1"
"Daily","2000","35-65 y.","Employed","","","","","1"
"Daily","2000","66 and older","Not Employed","","","","","1"
"Daily","2000","66 and older","Employed","","","","","1"
"Min 1x per month","2000","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2000","16-34 y.","Employed","","","","","3"
"Min 1x per month","2000","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2000","35-65 y.","Employed","","","","","3"
"Min 1x per month","2000","66 and older","Not Employed","","","","","3"
"Min 1x per month","2000","66 and older","Employed","","","","","3"
"Min 1x per week","2000","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2000","16-34 y.","Employed","","","","","2"
"Min 1x per week","2000","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2000","35-65 y.","Employed","","","","","2"
"Min 1x per week","2000","66 and older","Not Employed","","","","","2"
"Min 1x per week","2000","66 and older","Employed","","","","","2"
"Never","2000","16-34 y.","Not Employed","","","","","5"
"Never","2000","16-34 y.","Employed","","","","","5"
"Never","2000","35-65 y.","Not Employed","","","","","5"
"Never","2000","35-65 y.","Employed","","","","","5"
"Never","2000","66 and older","Not Employed","","","","","5"
"Never","2000","66 and older","Employed","","","","","5"
"Rarely","2000","16-34 y.","Not Employed","","","","","4"
"Rarely","2000","16-34 y.","Employed","","","","","4"
"Rarely","2000","35-65 y.","Not Employed","","","","","4"
"Rarely","2000","35-65 y.","Employed","","","","","4"
"Rarely","2000","66 and older","Not Employed","","","","","4"
"Rarely","2000","66 and older","Employed","","","","","4"
"Daily","2001","16-34 y.","Not Employed","","","","","1"
"Daily","2001","16-34 y.","Employed","","","","","1"
"Daily","2001","35-65 y.","Not Employed","","","","","1"
"Daily","2001","35-65 y.","Employed","","","","","1"
"Daily","2001","66 and older","Employed","","","","","1"
"Daily","2001","66 and older","Not Employed","","","","","1"
"Min 1x per month","2001","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2001","16-34 y.","Employed","","","","","3"
"Min 1x per month","2001","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2001","35-65 y.","Employed","","","","","3"
"Min 1x per month","2001","66 and older","Not Employed","","","","","3"
"Min 1x per month","2001","66 and older","Employed","","","","","3"
"Min 1x per week","2001","16-34 y.","Employed","","","","","2"
"Min 1x per week","2001","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2001","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2001","35-65 y.","Employed","","","","","2"
"Min 1x per week","2001","66 and older","Not Employed","","","","","2"
"Min 1x per week","2001","66 and older","Employed","","","","","2"
"Never","2001","16-34 y.","Employed","","","","","5"
"Never","2001","16-34 y.","Not Employed","","","","","5"
"Never","2001","35-65 y.","Not Employed","","","","","5"
"Never","2001","35-65 y.","Employed","","","","","5"
"Never","2001","66 and older","Not Employed","","","","","5"
"Never","2001","66 and older","Employed","","","","","5"
"Rarely","2001","16-34 y.","Not Employed","","","","","4"
"Rarely","2001","16-34 y.","Employed","","","","","4"
"Rarely","2001","35-65 y.","Not Employed","","","","","4"
"Rarely","2001","66 and older","Not Employed","","","","","4"
"Rarely","2001","35-65 y.","Employed","","","","","4"
"Rarely","2001","66 and older","Employed","","","","","4"
"Daily","2002","16-34 y.","Not Employed","","","","","1"
"Daily","2002","16-34 y.","Employed","","","","","1"
"Daily","2002","35-65 y.","Not Employed","","","","","1"
"Daily","2002","35-65 y.","Employed","","","","","1"
"Daily","2002","66 and older","Employed","","","","","1"
"Daily","2002","66 and older","Not Employed","","","","","1"
"Min 1x per month","2002","16-34 y.","Not Employed","","","","","3"
"Min 1x per month","2002","16-34 y.","Employed","","","","","3"
"Min 1x per month","2002","35-65 y.","Not Employed","","","","","3"
"Min 1x per month","2002","35-65 y.","Employed","","","","","3"
"Min 1x per month","2002","66 and older","Not Employed","","","","","3"
"Min 1x per month","2002","66 and older","Employed","","","","","3"
"Min 1x per week","2002","16-34 y.","Not Employed","","","","","2"
"Min 1x per week","2002","16-34 y.","Employed","","","","","2"
"Min 1x per week","2002","35-65 y.","Not Employed","","","","","2"
"Min 1x per week","2002","35-65 y.","Employed","","","","","2"
"Min 1x per week","2002","66 and older","Employed","","","","","2"
"Min 1x per week","2002","66 and older","Not Employed","","","","","2"
"Never","2002","16-34 y.","Not Employed","","","","","5"
"Never","2002","16-34 y.","Employed","","","","","5"
"Never","2002","35-65 y.","Not Employed","","","","","5"
"Never","2002","35-65 y.","Employed","","","","","5"
"Never","2002","66 and older","Not Employed","","","","","5"
"Never","2002","66 and older","Employed","","","","","5"
"Rarely","2002","16-34 y.","Not Employed","","","","","4"
"Rarely","2002","16-34 y.","Employed","","","","","4"
"Rarely","2002","35-65 y.","Not Employed","","","","","4"
"Rarely","2002","35-65 y.","Employed","","","","","4"
"Rarely","2002","66 and older","Not Employed","","","","","4"
"Rarely","2002","66 and older","Employed","","","","","4"
"Daily","2003","16-34 y.","Not Employed","144","0.0866633514047797","0.0730553389900014","0.100271363819558","1"
"Daily","2003","16-34 y.","Employed","300","0.0670885507917931","0.0595324126849086","0.0746446888986776","1"
"Daily","2003","35-65 y.","Not Employed","276","0.0879119899605333","0.0778675178415006","0.0979564620795661","1"
"Daily","2003","35-65 y.","Employed","529","0.0533975459160743","0.0488957362130921","0.0578993556190565","1"
"Daily","2003","66 and older","Not Employed","338","0.100145388667437","0.0901572398351131","0.110133537499761","1"
"Daily","2003","66 and older","Employed","12","","","","1"
"Min 1x per month","2003","16-34 y.","Not Employed","486","0.286562030408799","0.264692022153239","0.308432038664359","3"
"Min 1x per month","2003","16-34 y.","Employed","1242","0.298717468556336","0.284893514208231","0.31254142290444","3"
"Min 1x per month","2003","35-65 y.","Not Employed","831","0.265093454795901","0.249436754112181","0.280750155479621","3"
"Min 1x per month","2003","35-65 y.","Employed","3238","0.324019452713335","0.314648250436252","0.333390654990419","3"
"Min 1x per month","2003","66 and older","Not Employed","993","0.270525648003219","0.255745030101179","0.285306265905258","3"
"Min 1x per month","2003","66 and older","Employed","58","0.224978002850641","0.168366851043321","0.281589154657962","3"
"Min 1x per week","2003","16-34 y.","Employed","1911","0.438205022613263","0.42321911427439","0.453190930952135","2"
"Min 1x per week","2003","16-34 y.","Not Employed","601","0.350260633824954","0.327186427618101","0.373334840031807","2"
"Min 1x per week","2003","35-65 y.","Not Employed","1217","0.383603027021935","0.366354343641054","0.400851710402816","2"
"Min 1x per week","2003","35-65 y.","Employed","3551","0.373386261765546","0.363700767363738","0.383071756167355","2"
"Min 1x per week","2003","66 and older","Employed","91","0.458120207174461","0.390571638609836","0.525668775739087","2"
"Min 1x per week","2003","66 and older","Not Employed","1394","0.402130328546375","0.38581596899077","0.41844468810198","2"
"Never","2003","16-34 y.","Not Employed","49","0.0382705764733544","0.0289911642439351","0.0475499887027737","5"
"Never","2003","16-34 y.","Employed","47","0.0180565421988927","0.0140347835504629","0.0220783008473225","5"
"Never","2003","35-65 y.","Not Employed","113","0.0492087792191","0.0415360730683487","0.0568814853698513","5"
"Never","2003","35-65 y.","Employed","174","0.0237162492008059","0.0206693807492118","0.0267631176524","5"
"Never","2003","66 and older","Not Employed","156","0.0507790080015157","0.0434741945944796","0.0580838214085518","5"
"Never","2003","66 and older","Employed","3","","","","5"
"Rarely","2003","16-34 y.","Not Employed","362","0.238243407888113","0.217638054292118","0.258848761484109","4"
