"pli0081","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","1992","Couple + C. LE 16 ","Urban Area","","","","","2"
"Min 1x per week","1992","Couple + C. LE 16 ","Rural Area","","","","","2"
"Min 1x per week","1992","Couple + C. GT 16 ","Urban Area","","","","","2"
"Min 1x per week","1992","Couple + C. GT 16 ","Rural Area","","","","","2"
"Min 1x per week","1992","Couple + C. LE and GT 16","Urban Area","","","","","2"
"Min 1x per week","1992","Couple + C. LE and GT 16","Rural Area","","","","","2"
"Never","1992","1-pers.-HH","Urban Area","","","","","5"
"Never","1992","1-pers.-HH","Rural Area","","","","","5"
"Never","1992","(Married) couple without C. ","Urban Area","","","","","5"
"Never","1992","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","1992","(Married) couple without C. ","Rural Area","","","","","5"
"Never","1992","Single parent ","Urban Area","","","","","5"
"Never","1992","Single parent ","Rural Area","","","","","5"
"Never","1992","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","1992","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","1992","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","1992","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","1992","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Rarely","1992","1-pers.-HH","Rural Area","","","","","4"
"Rarely","1992","Single parent ","Urban Area","","","","","4"
"Rarely","1992","1-pers.-HH","Urban Area","","","","","4"
"Rarely","1992","(Married) couple without C. ","Urban Area","","","","","4"
"Rarely","1992","(Married) couple without C. ","Rural Area","","","","","4"
"Rarely","1992","Single parent ","Rural Area","","","","","4"
"Rarely","1992","Couple + C. LE 16 ","Urban Area","","","","","4"
"Rarely","1992","Couple + C. LE 16 ","Rural Area","","","","","4"
"Rarely","1992","Couple + C. GT 16 ","Urban Area","","","","","4"
"Rarely","1992","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Rarely","1992","Couple + C. GT 16 ","Rural Area","","","","","4"
"Rarely","1992","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Daily","1993","1-pers.-HH","Urban Area","","","","","1"
"Daily","1993","1-pers.-HH","Rural Area","","","","","1"
"Daily","1993","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1993","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1993","Single parent ","Urban Area","","","","","1"
"Daily","1993","Single parent ","Rural Area","","","","","1"
"Daily","1993","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1993","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1993","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1993","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1993","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1993","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1993","1-pers.-HH","Rural Area","","","","","3"
"Min 1x per month","1993","1-pers.-HH","Urban Area","","","","","3"
"Min 1x per month","1993","(Married) couple without C. ","Urban Area","","","","","3"
"Min 1x per month","1993","(Married) couple without C. ","Rural Area","","","","","3"
"Min 1x per month","1993","Single parent ","Urban Area","","","","","3"
"Min 1x per month","1993","Single parent ","Rural Area","","","","","3"
"Min 1x per month","1993","Couple + C. LE 16 ","Rural Area","","","","","3"
"Min 1x per month","1993","Couple + C. LE 16 ","Urban Area","","","","","3"
"Min 1x per month","1993","Couple + C. GT 16 ","Urban Area","","","","","3"
"Min 1x per month","1993","Couple + C. GT 16 ","Rural Area","","","","","3"
"Min 1x per month","1993","Couple + C. LE and GT 16","Urban Area","","","","","3"
"Min 1x per month","1993","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Min 1x per week","1993","1-pers.-HH","Rural Area","","","","","2"
"Min 1x per week","1993","1-pers.-HH","Urban Area","","","","","2"
"Min 1x per week","1993","(Married) couple without C. ","Urban Area","","","","","2"
"Min 1x per week","1993","(Married) couple without C. ","Rural Area","","","","","2"
"Min 1x per week","1993","Single parent ","Urban Area","","","","","2"
"Min 1x per week","1993","Single parent ","Rural Area","","","","","2"
"Min 1x per week","1993","Couple + C. LE 16 ","Urban Area","","","","","2"
"Min 1x per week","1993","Couple + C. LE 16 ","Rural Area","","","","","2"
"Min 1x per week","1993","Couple + C. GT 16 ","Urban Area","","","","","2"
"Min 1x per week","1993","Couple + C. GT 16 ","Rural Area","","","","","2"
"Min 1x per week","1993","Couple + C. LE and GT 16","Urban Area","","","","","2"
"Min 1x per week","1993","Couple + C. LE and GT 16","Rural Area","","","","","2"
"Never","1993","1-pers.-HH","Urban Area","","","","","5"
"Never","1993","1-pers.-HH","Rural Area","","","","","5"
"Never","1993","(Married) couple without C. ","Urban Area","","","","","5"
"Never","1993","(Married) couple without C. ","Rural Area","","","","","5"
"Never","1993","Single parent ","Urban Area","","","","","5"
"Never","1993","Single parent ","Rural Area","","","","","5"
"Never","1993","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","1993","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","1993","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","1993","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","1993","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","1993","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Rarely","1993","1-pers.-HH","Urban Area","","","","","4"
"Rarely","1993","(Married) couple without C. ","Urban Area","","","","","4"
"Rarely","1993","(Married) couple without C. ","Rural Area","","","","","4"
"Rarely","1993","1-pers.-HH","Rural Area","","","","","4"
"Rarely","1993","Single parent ","Rural Area","","","","","4"
"Rarely","1993","Single parent ","Urban Area","","","","","4"
"Rarely","1993","Couple + C. LE 16 ","Urban Area","","","","","4"
"Rarely","1993","Couple + C. LE 16 ","Rural Area","","","","","4"
"Rarely","1993","Couple + C. GT 16 ","Urban Area","","","","","4"
"Rarely","1993","Couple + C. GT 16 ","Rural Area","","","","","4"
"Rarely","1993","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Rarely","1993","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Daily","1994","1-pers.-HH","Urban Area","","","","","1"
"Daily","1994","1-pers.-HH","Rural Area","","","","","1"
"Daily","1994","(Married) couple without C. ","Urban Area","","","","","1"
"Daily","1994","(Married) couple without C. ","Rural Area","","","","","1"
"Daily","1994","Single parent ","Urban Area","","","","","1"
"Daily","1994","Single parent ","Rural Area","","","","","1"
"Daily","1994","Couple + C. LE 16 ","Urban Area","","","","","1"
"Daily","1994","Couple + C. LE 16 ","Rural Area","","","","","1"
"Daily","1994","Couple + C. GT 16 ","Urban Area","","","","","1"
"Daily","1994","Couple + C. GT 16 ","Rural Area","","","","","1"
"Daily","1994","Couple + C. LE and GT 16","Urban Area","","","","","1"
"Daily","1994","Couple + C. LE and GT 16","Rural Area","","","","","1"
"Min 1x per month","1994","1-pers.-HH","Urban Area","","","","","3"
"Min 1x per month","1994","(Married) couple without C. ","Urban Area","","","","","3"
"Min 1x per month","1994","(Married) couple without C. ","Rural Area","","","","","3"
"Min 1x per month","1994","1-pers.-HH","Rural Area","","","","","3"
"Min 1x per month","1994","Single parent ","Urban Area","","","","","3"
"Min 1x per month","1994","Single parent ","Rural Area","","","","","3"
"Min 1x per month","1994","Couple + C. LE 16 ","Rural Area","","","","","3"
"Min 1x per month","1994","Couple + C. LE 16 ","Urban Area","","","","","3"
"Min 1x per month","1994","Couple + C. GT 16 ","Urban Area","","","","","3"
"Min 1x per month","1994","Couple + C. GT 16 ","Rural Area","","","","","3"
"Min 1x per month","1994","Couple + C. LE and GT 16","Urban Area","","","","","3"
"Min 1x per month","1994","Couple + C. LE and GT 16","Rural Area","","","","","3"
"Min 1x per week","1994","1-pers.-HH","Rural Area","","","","","2"
"Min 1x per week","1994","Single parent ","Rural Area","","","","","2"
"Min 1x per week","1994","1-pers.-HH","Urban Area","","","","","2"
"Min 1x per week","1994","(Married) couple without C. ","Urban Area","","","","","2"
"Min 1x per week","1994","(Married) couple without C. ","Rural Area","","","","","2"
"Min 1x per week","1994","Single parent ","Urban Area","","","","","2"
"Min 1x per week","1994","Couple + C. LE 16 ","Urban Area","","","","","2"
"Min 1x per week","1994","Couple + C. LE 16 ","Rural Area","","","","","2"
"Min 1x per week","1994","Couple + C. GT 16 ","Urban Area","","","","","2"
"Min 1x per week","1994","Couple + C. GT 16 ","Rural Area","","","","","2"
"Min 1x per week","1994","Couple + C. LE and GT 16","Urban Area","","","","","2"
"Min 1x per week","1994","Couple + C. LE and GT 16","Rural Area","","","","","2"
"Never","1994","1-pers.-HH","Urban Area","","","","","5"
"Never","1994","1-pers.-HH","Rural Area","","","","","5"
"Never","1994","(Married) couple without C. ","Urban Area","","","","","5"
"Never","1994","(Married) couple without C. ","Rural Area","","","","","5"
"Never","1994","Single parent ","Urban Area","","","","","5"
"Never","1994","Single parent ","Rural Area","","","","","5"
"Never","1994","Couple + C. LE 16 ","Urban Area","","","","","5"
"Never","1994","Couple + C. LE 16 ","Rural Area","","","","","5"
"Never","1994","Couple + C. GT 16 ","Urban Area","","","","","5"
"Never","1994","Couple + C. GT 16 ","Rural Area","","","","","5"
"Never","1994","Couple + C. LE and GT 16","Urban Area","","","","","5"
"Never","1994","Couple + C. LE and GT 16","Rural Area","","","","","5"
"Rarely","1994","1-pers.-HH","Urban Area","","","","","4"
"Rarely","1994","1-pers.-HH","Rural Area","","","","","4"
"Rarely","1994","(Married) couple without C. ","Rural Area","","","","","4"
"Rarely","1994","(Married) couple without C. ","Urban Area","","","","","4"
"Rarely","1994","Single parent ","Urban Area","","","","","4"
"Rarely","1994","Couple + C. LE 16 ","Rural Area","","","","","4"
"Rarely","1994","Couple + C. LE 16 ","Urban Area","","","","","4"
"Rarely","1994","Single parent ","Rural Area","","","","","4"
"Rarely","1994","Couple + C. GT 16 ","Urban Area","","","","","4"
"Rarely","1994","Couple + C. LE and GT 16","Urban Area","","","","","4"
"Rarely","1994","Couple + C. LE and GT 16","Rural Area","","","","","4"
"Rarely","1994","Couple + C. GT 16 ","Rural Area","","","","","4"
"Daily","1995","1-pers.-HH","Urban Area","105","0.0946724033957508","0.0769391128018855","0.112405693989616","1"
"Daily","1995","1-pers.-HH","Rural Area","58","0.140978568885569","0.106832540940805","0.175124596830332","1"
"Daily","1995","(Married) couple without C. ","Urban Area","210","0.0741474537035212","0.0637084406309062","0.0845864667761363","1"
"Daily","1995","(Married) couple without C. ","Rural Area","98","0.0877338391898087","0.0709619354945064","0.104505742885111","1"
"Daily","1995","Single parent ","Urban Area","31","0.0573860132829974","0.0350898612435799","0.0796821653224148","1"
"Daily","1995","Single parent ","Rural Area","21","","","","1"
"Daily","1995","Couple + C. LE 16 ","Urban Area","162","0.0590791302067628","0.0488529411092264","0.0693053193042991","1"
"Daily","1995","Couple + C. LE 16 ","Rural Area","80","0.0632836320681108","0.0489281855684783","0.0776390785677433","1"
"Daily","1995","Couple + C. GT 16 ","Urban Area","132","0.0742327717188964","0.0613107372304582","0.0871548062073346","1"
"Daily","1995","Couple + C. GT 16 ","Rural Area","56","0.0487447440544389","0.0347309129396782","0.0627585751691996","1"
"Daily","1995","Couple + C. LE and GT 16","Urban Area","56","0.0487929640661456","0.0338268970762269","0.0637590310560642","1"
"Daily","1995","Couple + C. LE and GT 16","Rural Area","15","","","","1"
"Min 1x per month","1995","1-pers.-HH","Urban Area","240","0.231977422540661","0.20641013809735","0.257544706983971","3"
"Min 1x per month","1995","1-pers.-HH","Rural Area","90","0.24831910998506","0.205927152657791","0.29071106731233","3"
"Min 1x per month","1995","(Married) couple without C. ","Rural Area","313","0.28418098964284","0.257442483792396","0.310919495493285","3"
"Min 1x per month","1995","(Married) couple without C. ","Urban Area","681","0.300783068151164","0.282511615839218","0.319054520463109","3"
"Min 1x per month","1995","Single parent ","Urban Area","107","0.275934788923466","0.233084671134504","0.318784906712427","3"
"Min 1x per month","1995","Single parent ","Rural Area","56","0.280056033429219","0.216542058743216","0.343570008115223","3"
"Min 1x per month","1995","Couple + C. LE 16 ","Urban Area","589","0.309057122825366","0.289014217603381","0.329100028047351","3"
"Min 1x per month","1995","Couple + C. LE 16 ","Rural Area","373","0.359447555866548","0.331155659031555","0.387739452701542","3"
"Min 1x per month","1995","Couple + C. GT 16 ","Rural Area","305","0.339313519653621","0.308499898445207","0.370127140862035","3"
"Min 1x per month","1995","Couple + C. GT 16 ","Urban Area","463","0.320604828642537","0.297599501496816","0.343610155788257","3"
"Min 1x per month","1995","Couple + C. LE and GT 16","Urban Area","240","0.34750262751283","0.31442304749325","0.380582207532411","3"
"Min 1x per month","1995","Couple + C. LE and GT 16","Rural Area","158","0.35461802266307","0.310269092468251","0.398966952857889","3"
"Min 1x per week","1995","1-pers.-HH","Urban Area","414","0.374886941455836","0.345564225581472","0.404209657330199","2"
"Min 1x per week","1995","(Married) couple without C. ","Rural Area","482","0.429385707405863","0.400040774221979","0.458730640589748","2"
"Min 1x per week","1995","1-pers.-HH","Rural Area","154","0.361818345243114","0.314668628002501","0.408968062483727","2"
"Min 1x per week","1995","(Married) couple without C. ","Urban Area","1057","0.410621810634832","0.391021703511006","0.430221917758658","2"
"Min 1x per week","1995","Single parent ","Urban Area","168","0.387888716578833","0.341176689290334","0.434600743867332","2"
"Min 1x per week","1995","Single parent ","Rural Area","68","0.374931310669907","0.306455496578701","0.443407124761114","2"
"Min 1x per week","1995","Couple + C. LE 16 ","Urban Area","926","0.428474652098448","0.407011152337252","0.449938151859644","2"
"Min 1x per week","1995","Couple + C. LE 16 ","Rural Area","432","0.371873981438924","0.343377696779906","0.400370266097942","2"
"Min 1x per week","1995","Couple + C. GT 16 ","Urban Area","569","0.304252821572506","0.281573754252525","0.326931888892486","2"
"Min 1x per week","1995","Couple + C. GT 16 ","Rural Area","348","0.3797190143973","0.348134816358275","0.411303212436326","2"
"Min 1x per week","1995","Couple + C. LE and GT 16","Urban Area","270","0.296159016846178","0.264442074508527","0.327875959183829","2"
"Min 1x per week","1995","Couple + C. LE and GT 16","Rural Area","146","0.333463732221587","0.289758792514987","0.377168671928188","2"
"Never","1995","1-pers.-HH","Urban Area","68","0.061265188746101","0.0467389526106745","0.0757914248815276","5"
"Never","1995","(Married) couple without C. ","Rural Area","16","","","","5"
"Never","1995","1-pers.-HH","Rural Area","13","","","","5"
"Never","1995","(Married) couple without C. ","Urban Area","63","0.0288768366564097","0.0222048929598998","0.0355487803529196","5"
"Never","1995","Couple + C. LE 16 ","Urban Area","45","0.0194096093689063","0.0134258732065417","0.0253933455312708","5"
"Never","1995","Couple + C. LE 16 ","Rural Area","21","","","","5"
"Never","1995","Couple + C. GT 16 ","Rural Area","17","","","","5"
"Never","1995","Couple + C. LE and GT 16","Urban Area","47","0.0402564636002741","0.0266016125995181","0.05391131460103","5"
"Never","1995","Couple + C. LE and GT 16","Rural Area","15","","","","5"
"Never","1995","Single parent ","Urban Area","14","","","","5"
"Never","1995","Single parent ","Rural Area","6","","","","5"
"Never","1995","Couple + C. GT 16 ","Urban Area","54","0.0303015549454936","0.0218520169491249","0.0387510929418622","5"
"Rarely","1995","1-pers.-HH","Urban Area","220","0.237198043861652","0.211432684699057","0.262963403024248","4"
"Rarely","1995","(Married) couple without C. ","Urban Area","409","0.185570830854074","0.170081882773607","0.20105977893454","4"
"Rarely","1995","1-pers.-HH","Rural Area","84","0.218258892766881","0.177728660570029","0.258789124963732","4"
"Rarely","1995","(Married) couple without C. ","Rural Area","184","0.183307286082619","0.16036919809087","0.206245374074367","4"
