"pli0081","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"Min 1x per week","1994","35-65 y.","Urban Area","","","",""
"Min 1x per week","1994","35-65 y.","Rural Area","","","",""
"Min 1x per week","1994","66 and older","Urban Area","","","",""
"Min 1x per week","1994","66 and older","Rural Area","","","",""
"Min 1x per month","1994","16-34 y.","Urban Area","","","",""
"Min 1x per month","1994","16-34 y.","Rural Area","","","",""
"Min 1x per month","1994","35-65 y.","Urban Area","","","",""
"Min 1x per month","1994","35-65 y.","Rural Area","","","",""
"Min 1x per month","1994","66 and older","Urban Area","","","",""
"Min 1x per month","1994","66 and older","Rural Area","","","",""
"Rarely","1994","16-34 y.","Urban Area","","","",""
"Rarely","1994","16-34 y.","Rural Area","","","",""
"Rarely","1994","35-65 y.","Urban Area","","","",""
"Rarely","1994","35-65 y.","Rural Area","","","",""
"Rarely","1994","66 and older","Urban Area","","","",""
"Rarely","1994","66 and older","Rural Area","","","",""
"Never","1994","16-34 y.","Urban Area","","","",""
"Never","1994","16-34 y.","Rural Area","","","",""
"Never","1994","35-65 y.","Urban Area","","","",""
"Never","1994","35-65 y.","Rural Area","","","",""
"Never","1994","66 and older","Urban Area","","","",""
"Never","1994","66 and older","Rural Area","","","",""
"Daily","1995","16-34 y.","Urban Area","317","0.079654990222109","0.0704449638359874","0.0888650166082307"
"Daily","1995","16-34 y.","Rural Area","127","0.075316894743154","0.062438148926681","0.0881956405596269"
"Daily","1995","35-65 y.","Urban Area","320","0.057714073193052","0.0508883683521959","0.0645397780339081"
"Daily","1995","35-65 y.","Rural Area","154","0.0580960792191711","0.0486119939697472","0.0675801644685949"
"Daily","1995","66 and older","Urban Area","108","0.10945845228005","0.0904742627182183","0.128442641841882"
"Daily","1995","66 and older","Rural Area","63","0.145447780096614","0.114576681839576","0.176318878353652"
"Min 1x per week","1995","16-34 y.","Urban Area","1449","0.402812520206921","0.386129069727173","0.419495970686669"
"Min 1x per week","1995","16-34 y.","Rural Area","683","0.409704655951665","0.385705219939967","0.433704091963363"
"Min 1x per week","1995","35-65 y.","Urban Area","1752","0.374565385165147","0.360398640512783","0.388732129817511"
"Min 1x per week","1995","35-65 y.","Rural Area","872","0.37196860312097","0.352372823140351","0.39156438310159"
"Min 1x per week","1995","66 and older","Urban Area","424","0.373118101483965","0.343710720942399","0.402525482025531"
"Min 1x per week","1995","66 and older","Rural Area","185","0.364139203127561","0.322004108673607","0.406274297581514"
"Min 1x per month","1995","16-34 y.","Urban Area","875","0.283879562245042","0.268542607120935","0.299216517369148"
"Min 1x per month","1995","16-34 y.","Rural Area","471","0.310244493296095","0.287669348924951","0.332819637667238"
"Min 1x per month","1995","35-65 y.","Urban Area","1312","0.304488278228267","0.291018736962453","0.317957819494081"
"Min 1x per month","1995","35-65 y.","Rural Area","787","0.334552401327052","0.315422719722498","0.353682082931606"
"Min 1x per month","1995","66 and older","Urban Area","273","0.263169344768087","0.236393584570665","0.28994510496551"
"Min 1x per month","1995","66 and older","Rural Area","130","0.241482525500879","0.204006383326583","0.278958667675176"
"Rarely","1995","16-34 y.","Urban Area","572","0.196949744938327","0.183421915382898","0.210477574493757"
"Rarely","1995","16-34 y.","Rural Area","300","0.184290969026792","0.165369686548051","0.203212251505532"
"Rarely","1995","35-65 y.","Urban Area","939","0.233829564310108","0.22144080846121","0.246218320159007"
"Rarely","1995","35-65 y.","Rural Area","475","0.217718302414658","0.2009863049815","0.234450299847817"
"Rarely","1995","66 and older","Urban Area","192","0.205259487807275","0.180700830803262","0.229818144811288"
"Rarely","1995","66 and older","Rural Area","107","0.218680066441589","0.182485091615947","0.254875041267232"
"Never","1995","16-34 y.","Urban Area","107","0.0367031823876007","0.030307145307288","0.0430992194679135"
"Never","1995","16-34 y.","Rural Area","32","0.0204429869822947","0.0135371242363839","0.0273488497282055"
"Never","1995","35-65 y.","Urban Area","161","0.0294026991034262","0.0244581302544774","0.0343472679523749"
"Never","1995","35-65 y.","Rural Area","49","0.0176646139181484","0.0123238829189099","0.023005344917387"
"Never","1995","66 and older","Urban Area","42","0.0489946136606222","0.0358694123163505","0.0621198150048939"
"Never","1995","66 and older","Rural Area","16","","",""
"Daily","1996","16-34 y.","Urban Area","","","",""
"Daily","1996","16-34 y.","Rural Area","","","",""
"Daily","1996","35-65 y.","Urban Area","","","",""
"Daily","1996","35-65 y.","Rural Area","","","",""
"Daily","1996","66 and older","Urban Area","","","",""
"Daily","1996","66 and older","Rural Area","","","",""
"Min 1x per week","1996","16-34 y.","Urban Area","","","",""
"Min 1x per week","1996","16-34 y.","Rural Area","","","",""
"Min 1x per week","1996","35-65 y.","Urban Area","","","",""
"Min 1x per week","1996","35-65 y.","Rural Area","","","",""
"Min 1x per week","1996","66 and older","Urban Area","","","",""
"Min 1x per week","1996","66 and older","Rural Area","","","",""
"Min 1x per month","1996","16-34 y.","Urban Area","","","",""
"Min 1x per month","1996","16-34 y.","Rural Area","","","",""
"Min 1x per month","1996","35-65 y.","Urban Area","","","",""
"Min 1x per month","1996","35-65 y.","Rural Area","","","",""
"Min 1x per month","1996","66 and older","Urban Area","","","",""
"Min 1x per month","1996","66 and older","Rural Area","","","",""
"Rarely","1996","16-34 y.","Urban Area","","","",""
"Rarely","1996","16-34 y.","Rural Area","","","",""
"Rarely","1996","35-65 y.","Urban Area","","","",""
"Rarely","1996","35-65 y.","Rural Area","","","",""
"Rarely","1996","66 and older","Urban Area","","","",""
"Rarely","1996","66 and older","Rural Area","","","",""
"Never","1996","16-34 y.","Urban Area","","","",""
"Never","1996","16-34 y.","Rural Area","","","",""
"Never","1996","35-65 y.","Urban Area","","","",""
"Never","1996","35-65 y.","Rural Area","","","",""
