"pli0081","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Rarely","1998","East Germany","Female","314","0.162402776020978","0.146254968228727","0.17855058381323"
"Never","1998","West Germany","Male","114","0.0253349305124716","0.0209845212035777","0.0296853398213655"
"Never","1998","West Germany","Female","96","0.0204437407280739","0.0166531771801877","0.02423430427596"
"Never","1998","East Germany","Male","17","","",""
"Never","1998","East Germany","Female","23","","",""
"Daily","1999","West Germany","Male","","","",""
"Daily","1999","West Germany","Female","","","",""
"Daily","1999","East Germany","Male","","","",""
"Daily","1999","East Germany","Female","","","",""
"Min 1x per week","1999","West Germany","Male","","","",""
"Min 1x per week","1999","West Germany","Female","","","",""
"Min 1x per week","1999","East Germany","Male","","","",""
"Min 1x per week","1999","East Germany","Female","","","",""
"Min 1x per month","1999","West Germany","Male","","","",""
"Min 1x per month","1999","West Germany","Female","","","",""
"Min 1x per month","1999","East Germany","Male","","","",""
"Min 1x per month","1999","East Germany","Female","","","",""
"Rarely","1999","West Germany","Male","","","",""
"Rarely","1999","West Germany","Female","","","",""
"Rarely","1999","East Germany","Male","","","",""
"Rarely","1999","East Germany","Female","","","",""
"Never","1999","West Germany","Male","","","",""
"Never","1999","West Germany","Female","","","",""
"Never","1999","East Germany","Male","","","",""
"Never","1999","East Germany","Female","","","",""
"Daily","2000","West Germany","Male","","","",""
"Daily","2000","West Germany","Female","","","",""
"Daily","2000","East Germany","Male","","","",""
"Daily","2000","East Germany","Female","","","",""
"Min 1x per week","2000","West Germany","Male","","","",""
"Min 1x per week","2000","West Germany","Female","","","",""
"Min 1x per week","2000","East Germany","Male","","","",""
"Min 1x per week","2000","East Germany","Female","","","",""
"Min 1x per month","2000","West Germany","Male","","","",""
"Min 1x per month","2000","West Germany","Female","","","",""
"Min 1x per month","2000","East Germany","Male","","","",""
"Min 1x per month","2000","East Germany","Female","","","",""
"Rarely","2000","West Germany","Male","","","",""
"Rarely","2000","West Germany","Female","","","",""
"Rarely","2000","East Germany","Male","","","",""
"Rarely","2000","East Germany","Female","","","",""
"Never","2000","West Germany","Male","","","",""
"Never","2000","West Germany","Female","","","",""
"Never","2000","East Germany","Male","","","",""
"Never","2000","East Germany","Female","","","",""
"Daily","2001","West Germany","Male","","","",""
"Daily","2001","West Germany","Female","","","",""
"Daily","2001","East Germany","Male","","","",""
"Daily","2001","East Germany","Female","","","",""
"Min 1x per week","2001","West Germany","Male","","","",""
"Min 1x per week","2001","West Germany","Female","","","",""
"Min 1x per week","2001","East Germany","Male","","","",""
"Min 1x per week","2001","East Germany","Female","","","",""
"Min 1x per month","2001","West Germany","Male","","","",""
"Min 1x per month","2001","West Germany","Female","","","",""
"Min 1x per month","2001","East Germany","Male","","","",""
"Min 1x per month","2001","East Germany","Female","","","",""
"Rarely","2001","West Germany","Male","","","",""
"Rarely","2001","West Germany","Female","","","",""
"Rarely","2001","East Germany","Male","","","",""
"Rarely","2001","East Germany","Female","","","",""
"Never","2001","West Germany","Male","","","",""
"Never","2001","West Germany","Female","","","",""
"Never","2001","East Germany","Male","","","",""
"Never","2001","East Germany","Female","","","",""
"Daily","2002","West Germany","Male","","","",""
"Daily","2002","West Germany","Female","","","",""
"Daily","2002","East Germany","Male","","","",""
"Daily","2002","East Germany","Female","","","",""
"Min 1x per week","2002","West Germany","Male","","","",""
"Min 1x per week","2002","West Germany","Female","","","",""
"Min 1x per week","2002","East Germany","Male","","","",""
"Min 1x per week","2002","East Germany","Female","","","",""
"Min 1x per month","2002","West Germany","Male","","","",""
"Min 1x per month","2002","West Germany","Female","","","",""
"Min 1x per month","2002","East Germany","Male","","","",""
"Min 1x per month","2002","East Germany","Female","","","",""
"Rarely","2002","West Germany","Male","","","",""
"Rarely","2002","West Germany","Female","","","",""
"Rarely","2002","East Germany","Male","","","",""
"Rarely","2002","East Germany","Female","","","",""
"Never","2002","West Germany","Male","","","",""
"Never","2002","West Germany","Female","","","",""
"Never","2002","East Germany","Male","","","",""
"Never","2002","East Germany","Female","","","",""
"Daily","2003","West Germany","Male","470","0.0594187990116347","0.0542666596520926","0.0645709383711768"
"Daily","2003","West Germany","Female","751","0.0846253463603219","0.0787876581121359","0.0904630346085078"
"Daily","2003","East Germany","Male","146","0.0574731167824725","0.0484940058580845","0.0664522277068605"
"Daily","2003","East Germany","Female","232","0.0871066298933739","0.0765958206228249","0.0976174391639228"
"Min 1x per week","2003","West Germany","Male","3064","0.375826211044684","0.365270832420631","0.386381589668737"
"Min 1x per week","2003","West Germany","Female","3629","0.408939601877446","0.398627748163109","0.419251455591783"
"Min 1x per week","2003","East Germany","Male","964","0.371136574802727","0.352498582208319","0.389774567397134"
"Min 1x per week","2003","East Germany","Female","1108","0.402738608550935","0.384457843093282","0.421019374008588"
"Min 1x per month","2003","West Germany","Male","2553","0.30588059668082","0.295838588369912","0.315922604991728"
"Min 1x per month","2003","West Germany","Female","2450","0.273422744646582","0.264074082907368","0.282771406385797"
"Min 1x per month","2003","East Germany","Male","912","0.340855832776921","0.32256937192908","0.359142293624763"
"Min 1x per month","2003","East Germany","Female","933","0.317698396199365","0.300344530566707","0.335052261832022"
"Rarely","2003","West Germany","Male","1776","0.221705985782039","0.212653078462508","0.230758893101569"
"Rarely","2003","West Germany","Female","1672","0.200596219586175","0.192197062603749","0.208995376568601"
"Rarely","2003","East Germany","Male","506","0.201665029938262","0.186185350492354","0.21714470938417"
"Rarely","2003","East Germany","Female","458","0.173321050956321","0.159212103391734","0.187429998520908"
"Never","2003","West Germany","Male","225","0.0371684074808227","0.0330456322086012","0.0412911827530443"
"Never","2003","West Germany","Female","230","0.0324160875294743","0.0287014551062597","0.0361307199526889"
"Never","2003","East Germany","Male","53","0.0288694456996175","0.0224097490970847","0.0353291423021503"
"Never","2003","East Germany","Female","34","0.0191353144000058","0.0140288198386804","0.0242418089613311"
"Daily","2004","West Germany","Male","","","",""
"Daily","2004","West Germany","Female","","","",""
"Daily","2004","East Germany","Male","","","",""
"Daily","2004","East Germany","Female","","","",""
"Min 1x per week","2004","West Germany","Male","","","",""
"Min 1x per week","2004","West Germany","Female","","","",""
"Min 1x per week","2004","East Germany","Male","","","",""
"Min 1x per week","2004","East Germany","Female","","","",""
"Min 1x per month","2004","West Germany","Male","","","",""
"Min 1x per month","2004","West Germany","Female","","","",""
"Min 1x per month","2004","East Germany","Male","","","",""
"Min 1x per month","2004","East Germany","Female","","","",""
"Rarely","2004","West Germany","Male","","","",""
"Rarely","2004","West Germany","Female","","","",""
"Rarely","2004","East Germany","Male","","","",""
"Rarely","2004","East Germany","Female","","","",""
"Never","2004","West Germany","Male","","","",""
"Never","2004","West Germany","Female","","","",""
"Never","2004","East Germany","Male","","","",""
"Never","2004","East Germany","Female","","","",""
"Daily","2005","West Germany","Male","","","",""
"Daily","2005","West Germany","Female","","","",""
"Daily","2005","East Germany","Male","","","",""
"Daily","2005","East Germany","Female","","","",""
"Min 1x per week","2005","West Germany","Male","","","",""
"Min 1x per week","2005","West Germany","Female","","","",""
"Min 1x per week","2005","East Germany","Male","","","",""
"Min 1x per week","2005","East Germany","Female","","","",""
"Min 1x per month","2005","West Germany","Male","","","",""
"Min 1x per month","2005","West Germany","Female","","","",""
"Min 1x per month","2005","East Germany","Male","","","",""
"Min 1x per month","2005","East Germany","Female","","","",""
"Rarely","2005","West Germany","Male","","","",""
"Rarely","2005","West Germany","Female","","","",""
"Rarely","2005","East Germany","Male","","","",""
"Rarely","2005","East Germany","Female","","","",""
"Never","2005","West Germany","Male","","","",""
"Never","2005","West Germany","Female","","","",""
"Never","2005","East Germany","Male","","","",""
"Never","2005","East Germany","Female","","","",""
"Daily","2006","West Germany","Male","","","",""
"Daily","2006","West Germany","Female","","","",""
"Daily","2006","East Germany","Male","","","",""
"Daily","2006","East Germany","Female","","","",""
"Min 1x per week","2006","West Germany","Male","","","",""
"Min 1x per week","2006","West Germany","Female","","","",""
"Min 1x per week","2006","East Germany","Male","","","",""
"Min 1x per week","2006","East Germany","Female","","","",""
"Min 1x per month","2006","West Germany","Male","","","",""
"Min 1x per month","2006","West Germany","Female","","","",""
"Min 1x per month","2006","East Germany","Male","","","",""
"Min 1x per month","2006","East Germany","Female","","","",""
"Rarely","2006","West Germany","Male","","","",""
"Rarely","2006","West Germany","Female","","","",""
"Rarely","2006","East Germany","Male","","","",""
"Rarely","2006","East Germany","Female","","","",""
"Never","2006","West Germany","Male","","","",""
"Never","2006","West Germany","Female","","","",""
"Never","2006","East Germany","Male","","","",""
"Never","2006","East Germany","Female","","","",""
"Daily","2007","West Germany","Male","","","",""
"Daily","2007","West Germany","Female","","","",""
"Daily","2007","East Germany","Male","","","",""
"Daily","2007","East Germany","Female","","","",""
"Min 1x per week","2007","West Germany","Male","","","",""
"Min 1x per week","2007","West Germany","Female","","","",""
"Min 1x per week","2007","East Germany","Male","","","",""
"Min 1x per week","2007","East Germany","Female","","","",""
"Min 1x per month","2007","West Germany","Male","","","",""
"Min 1x per month","2007","West Germany","Female","","","",""
"Min 1x per month","2007","East Germany","Male","","","",""
"Min 1x per month","2007","East Germany","Female","","","",""
"Rarely","2007","West Germany","Male","","","",""
"Rarely","2007","West Germany","Female","","","",""
"Rarely","2007","East Germany","Male","","","",""
"Rarely","2007","East Germany","Female","","","",""
"Never","2007","West Germany","Male","","","",""
"Never","2007","West Germany","Female","","","",""
"Never","2007","East Germany","Male","","","",""
"Never","2007","East Germany","Female","","","",""
"Daily","2008","West Germany","Male","455","0.0627384420182916","0.057022180628087","0.0684547034084963"
"Daily","2008","West Germany","Female","733","0.0913098964938194","0.0848580267360828","0.097761766251556"
"Daily","2008","East Germany","Male","140","0.0610631463432323","0.0512838207932681","0.0708424718931966"
"Daily","2008","East Germany","Female","232","0.0946830357892848","0.0831509148801759","0.106215156698394"
"Min 1x per week","2008","West Germany","Male","2513","0.349474426789518","0.338234727290877","0.360714126288159"
"Min 1x per week","2008","West Germany","Female","3039","0.393613407367064","0.382670606297877","0.404556208436252"
"Min 1x per week","2008","East Germany","Male","833","0.369976010860515","0.350257848065713","0.389694173655317"
"Min 1x per week","2008","East Germany","Female","977","0.377791614238202","0.35869453906214","0.396888689414263"
"Min 1x per month","2008","West Germany","Male","2162","0.31082493350875","0.299914612829148","0.321735254188352"
"Min 1x per month","2008","West Germany","Female","2162","0.273642850097486","0.263656979636924","0.283628720558047"
"Min 1x per month","2008","East Germany","Male","805","0.332199365644009","0.312962959624785","0.351435771663233"
"Min 1x per month","2008","East Germany","Female","784","0.308987232559669","0.290786617102334","0.327187848017004"
"Rarely","2008","West Germany","Male","1600","0.243414071535444","0.233297886071892","0.253530256998996"
"Rarely","2008","West Germany","Female","1563","0.214155477952562","0.204966828648635","0.22334412725649"
"Rarely","2008","East Germany","Male","478","0.211974372636789","0.19528219598994","0.228666549283638"
"Rarely","2008","East Germany","Female","447","0.197088293175659","0.181419444722133","0.212757141629184"
"Never","2008","West Germany","Male","183","0.033548126147997","0.0293035037394508","0.0377927485565432"
"Never","2008","West Germany","Female","160","0.0272783680890682","0.0236298017492739","0.0309269344288626"
"Never","2008","East Germany","Male","47","0.0247871045154548","0.018437250531161","0.0311369584997486"
"Never","2008","East Germany","Female","36","0.0214498242371857","0.0157432405653392","0.0271564079090322"
"Daily","2009","West Germany","Male","","","",""
"Daily","2009","West Germany","Female","","","",""
"Daily","2009","East Germany","Male","","","",""
"Daily","2009","East Germany","Female","","","",""
"Min 1x per week","2009","West Germany","Male","","","",""
"Min 1x per week","2009","West Germany","Female","","","",""
"Min 1x per week","2009","East Germany","Male","","","",""
"Min 1x per week","2009","East Germany","Female","","","",""
"Min 1x per month","2009","West Germany","Male","","","",""
"Min 1x per month","2009","West Germany","Female","","","",""
"Min 1x per month","2009","East Germany","Male","","","",""
"Min 1x per month","2009","East Germany","Female","","","",""
"Rarely","2009","West Germany","Male","","","",""
"Rarely","2009","West Germany","Female","","","",""
"Rarely","2009","East Germany","Male","","","",""
"Rarely","2009","East Germany","Female","","","",""
"Never","2009","West Germany","Male","","","",""
"Never","2009","West Germany","Female","","","",""
"Never","2009","East Germany","Male","","","",""
"Never","2009","East Germany","Female","","","",""
"Daily","2010","West Germany","Male","","","",""
"Daily","2010","West Germany","Female","","","",""
"Daily","2010","East Germany","Male","","","",""
"Daily","2010","East Germany","Female","","","",""
"Min 1x per week","2010","West Germany","Male","","","",""
"Min 1x per week","2010","West Germany","Female","","","",""
"Min 1x per week","2010","East Germany","Male","","","",""
"Min 1x per week","2010","East Germany","Female","","","",""
"Min 1x per month","2010","West Germany","Male","","","",""
"Min 1x per month","2010","West Germany","Female","","","",""
"Min 1x per month","2010","East Germany","Male","","","",""
"Min 1x per month","2010","East Germany","Female","","","",""
"Rarely","2010","West Germany","Male","","","",""
"Rarely","2010","West Germany","Female","","","",""
"Rarely","2010","East Germany","Male","","","",""
"Rarely","2010","East Germany","Female","","","",""
"Never","2010","West Germany","Male","","","",""
"Never","2010","West Germany","Female","","","",""
"Never","2010","East Germany","Male","","","",""
"Never","2010","East Germany","Female","","","",""
"Daily","2011","West Germany","Male","","","",""
"Daily","2011","West Germany","Female","","","",""
"Daily","2011","East Germany","Male","","","",""
"Daily","2011","East Germany","Female","","","",""
"Min 1x per week","2011","West Germany","Male","","","",""
"Min 1x per week","2011","West Germany","Female","","","",""
"Min 1x per week","2011","East Germany","Male","","","",""
"Min 1x per week","2011","East Germany","Female","","","",""
"Min 1x per month","2011","West Germany","Male","","","",""
"Min 1x per month","2011","West Germany","Female","","","",""
"Min 1x per month","2011","East Germany","Male","","","",""
"Min 1x per month","2011","East Germany","Female","","","",""
"Rarely","2011","West Germany","Male","","","",""
"Rarely","2011","West Germany","Female","","","",""
"Rarely","2011","East Germany","Male","","","",""
"Rarely","2011","East Germany","Female","","","",""
"Never","2011","West Germany","Male","","","",""
"Never","2011","West Germany","Female","","","",""
"Never","2011","East Germany","Male","","","",""
"Never","2011","East Germany","Female","","","",""
"Daily","2012","West Germany","Male","","","",""
"Daily","2012","West Germany","Female","","","",""
"Daily","2012","East Germany","Male","","","",""
"Daily","2012","East Germany","Female","","","",""
"Min 1x per week","2012","West Germany","Male","","","",""
"Min 1x per week","2012","West Germany","Female","","","",""
"Min 1x per week","2012","East Germany","Male","","","",""
"Min 1x per week","2012","East Germany","Female","","","",""
"Min 1x per month","2012","West Germany","Male","","","",""
"Min 1x per month","2012","West Germany","Female","","","",""
"Min 1x per month","2012","East Germany","Male","","","",""
"Min 1x per month","2012","East Germany","Female","","","",""
"Rarely","2012","West Germany","Male","","","",""
"Rarely","2012","West Germany","Female","","","",""
"Rarely","2012","East Germany","Male","","","",""
"Rarely","2012","East Germany","Female","","","",""
"Never","2012","West Germany","Male","","","",""
"Never","2012","West Germany","Female","","","",""
"Never","2012","East Germany","Male","","","",""
"Never","2012","East Germany","Female","","","",""
"Daily","2013","West Germany","Male","558","0.0612696756443687","0.0562972336538681","0.0662421176348693"
"Daily","2013","West Germany","Female","1010","0.0890018056944147","0.083648137830738","0.0943554735580915"
"Daily","2013","East Germany","Male","185","0.0727299586474904","0.0627727370877105","0.0826871802072704"
"Daily","2013","East Germany","Female","288","0.090206901330757","0.0801546810858032","0.100259121575711"
"Min 1x per week","2013","West Germany","Male","3242","0.335096401735072","0.325309601250941","0.344883202219203"
"Min 1x per week","2013","West Germany","Female","4317","0.383779107255134","0.374635824909571","0.392922389600696"
"Min 1x per week","2013","East Germany","Male","894","0.328900323121085","0.310886576443497","0.346914069798672"
"Min 1x per week","2013","East Germany","Female","1252","0.392816220664481","0.375679584308058","0.409952857020905"
"Min 1x per month","2013","West Germany","Male","2813","0.318960816589966","0.309297388303416","0.328624244876517"
"Min 1x per month","2013","West Germany","Female","3048","0.279793484463257","0.271353520759527","0.288233448166988"
"Min 1x per month","2013","East Germany","Male","923","0.353470198007328","0.335140763686896","0.37179963232776"
"Min 1x per month","2013","East Germany","Female","973","0.307408581390175","0.29121781746295","0.323599345317401"
"Rarely","2013","West Germany","Male","2049","0.244658966153189","0.235745869454115","0.253572062852263"
"Rarely","2013","West Germany","Female","2219","0.21717623506432","0.2094239201156","0.22492855001304"
"Rarely","2013","East Germany","Male","545","0.216072581255271","0.20029224898158","0.231852913528962"
"Rarely","2013","East Germany","Female","542","0.187001143015266","0.173319511418421","0.200682774612111"
"Never","2013","West Germany","Male","274","0.0400141398774039","0.0359504957091712","0.0440777840456366"
"Never","2013","West Germany","Female","273","0.0302493675228743","0.0270291779269898","0.0334695571187588"
"Never","2013","East Germany","Male","66","0.0288269389688256","0.0224115061119368","0.0352423718257144"
"Never","2013","East Germany","Female","65","0.0225671535993204","0.0173557746892519","0.0277785325093889"
"Daily","2014","West Germany","Male","","","",""
"Daily","2014","West Germany","Female","","","",""
"Daily","2014","East Germany","Male","","","",""
"Daily","2014","East Germany","Female","","","",""
"Min 1x per week","2014","West Germany","Male","","","",""
"Min 1x per week","2014","West Germany","Female","","","",""
"Min 1x per week","2014","East Germany","Male","","","",""
"Min 1x per week","2014","East Germany","Female","","","",""
"Min 1x per month","2014","West Germany","Male","","","",""
"Min 1x per month","2014","West Germany","Female","","","",""
"Min 1x per month","2014","East Germany","Male","","","",""
"Min 1x per month","2014","East Germany","Female","","","",""
"Rarely","2014","West Germany","Male","","","",""
"Rarely","2014","West Germany","Female","","","",""
"Rarely","2014","East Germany","Male","","","",""
"Rarely","2014","East Germany","Female","","","",""
"Never","2014","West Germany","Male","","","",""
"Never","2014","West Germany","Female","","","",""
"Never","2014","East Germany","Male","","","",""
"Never","2014","East Germany","Female","","","",""
"Daily","2015","West Germany","Male","","","",""
"Daily","2015","West Germany","Female","","","",""
"Daily","2015","East Germany","Male","","","",""
"Daily","2015","East Germany","Female","","","",""
"Min 1x per week","2015","West Germany","Male","","","",""
