"pli0081","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1990","Couple + C. LE 16 ","no migration background","256","0.188223073375523","0.167562064526823","0.208884082224223","4"
"Rarely","1990","Single parent ","no migration background","94","0.255556623061251","0.210748494594885","0.300364751527618","4"
"Rarely","1990","Single parent ","direct migration background","21","","","","4"
"Rarely","1990","Single parent ","indirect migration background","4","","","","4"
"Rarely","1990","Couple + C. LE 16 ","direct migration background","106","0.194315729645989","0.164663561004656","0.223967898287323","4"
"Rarely","1990","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Rarely","1990","Couple + C. GT 16 ","no migration background","403","0.286439248876533","0.262966043481366","0.3099124542717","4"
"Rarely","1990","Couple + C. GT 16 ","direct migration background","109","0.266327495924306","0.227620599298584","0.305034392550027","4"
"Daily","1991","1-pers.-HH","no migration background","","","","","1"
"Daily","1991","1-pers.-HH","direct migration background","","","","","1"
"Daily","1991","1-pers.-HH","indirect migration background","","","","","1"
"Daily","1991","(Married) couple without C. ","no migration background","","","","","1"
"Daily","1991","(Married) couple without C. ","direct migration background","","","","","1"
"Daily","1991","(Married) couple without C. ","indirect migration background","","","","","1"
"Daily","1991","Single parent ","no migration background","","","","","1"
"Daily","1991","Single parent ","direct migration background","","","","","1"
"Daily","1991","Single parent ","indirect migration background","","","","","1"
"Daily","1991","Couple + C. LE 16 ","no migration background","","","","","1"
"Daily","1991","Couple + C. LE 16 ","direct migration background","","","","","1"
"Daily","1991","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Daily","1991","Couple + C. GT 16 ","no migration background","","","","","1"
"Daily","1991","Couple + C. GT 16 ","direct migration background","","","","","1"
"Daily","1991","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","no migration background","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Daily","1991","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Min 1x per month","1991","1-pers.-HH","direct migration background","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","direct migration background","","","","","3"
"Min 1x per month","1991","1-pers.-HH","indirect migration background","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","no migration background","","","","","3"
"Min 1x per month","1991","1-pers.-HH","no migration background","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","direct migration background","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","direct migration background","","","","","3"
"Min 1x per month","1991","(Married) couple without C. ","indirect migration background","","","","","3"
"Min 1x per month","1991","Single parent ","no migration background","","","","","3"
"Min 1x per month","1991","Single parent ","direct migration background","","","","","3"
"Min 1x per month","1991","Single parent ","indirect migration background","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","direct migration background","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","no migration background","","","","","3"
"Min 1x per month","1991","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Min 1x per month","1991","Couple + C. LE and GT 16","no migration background","","","","","3"
"Min 1x per month","1991","Couple + C. LE 16 ","no migration background","","","","","3"
"Min 1x per week","1991","1-pers.-HH","no migration background","","","","","2"
"Min 1x per week","1991","1-pers.-HH","direct migration background","","","","","2"
"Min 1x per week","1991","1-pers.-HH","indirect migration background","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","no migration background","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","direct migration background","","","","","2"
"Min 1x per week","1991","(Married) couple without C. ","indirect migration background","","","","","2"
"Min 1x per week","1991","Single parent ","indirect migration background","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","no migration background","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","no migration background","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","direct migration background","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","direct migration background","","","","","2"
"Min 1x per week","1991","Single parent ","no migration background","","","","","2"
"Min 1x per week","1991","Single parent ","direct migration background","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","direct migration background","","","","","2"
"Min 1x per week","1991","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Min 1x per week","1991","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","no migration background","","","","","2"
"Min 1x per week","1991","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Never","1991","1-pers.-HH","no migration background","","","","","5"
"Never","1991","Couple + C. LE 16 ","no migration background","","","","","5"
"Never","1991","1-pers.-HH","direct migration background","","","","","5"
"Never","1991","1-pers.-HH","indirect migration background","","","","","5"
"Never","1991","(Married) couple without C. ","no migration background","","","","","5"
"Never","1991","(Married) couple without C. ","direct migration background","","","","","5"
"Never","1991","(Married) couple without C. ","indirect migration background","","","","","5"
"Never","1991","Single parent ","no migration background","","","","","5"
"Never","1991","Single parent ","direct migration background","","","","","5"
"Never","1991","Single parent ","indirect migration background","","","","","5"
"Never","1991","Couple + C. LE 16 ","direct migration background","","","","","5"
"Never","1991","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Never","1991","Couple + C. GT 16 ","no migration background","","","","","5"
"Never","1991","Couple + C. GT 16 ","direct migration background","","","","","5"
"Never","1991","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Never","1991","Couple + C. LE and GT 16","no migration background","","","","","5"
"Never","1991","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Never","1991","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Rarely","1991","1-pers.-HH","no migration background","","","","","4"
"Rarely","1991","Couple + C. LE 16 ","direct migration background","","","","","4"
"Rarely","1991","1-pers.-HH","direct migration background","","","","","4"
"Rarely","1991","(Married) couple without C. ","direct migration background","","","","","4"
"Rarely","1991","(Married) couple without C. ","indirect migration background","","","","","4"
"Rarely","1991","Couple + C. LE and GT 16","no migration background","","","","","4"
"Rarely","1991","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Rarely","1991","1-pers.-HH","indirect migration background","","","","","4"
"Rarely","1991","(Married) couple without C. ","no migration background","","","","","4"
"Rarely","1991","Single parent ","no migration background","","","","","4"
"Rarely","1991","Single parent ","direct migration background","","","","","4"
"Rarely","1991","Single parent ","indirect migration background","","","","","4"
"Rarely","1991","Couple + C. LE 16 ","no migration background","","","","","4"
"Rarely","1991","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Rarely","1991","Couple + C. GT 16 ","no migration background","","","","","4"
"Rarely","1991","Couple + C. GT 16 ","direct migration background","","","","","4"
"Rarely","1991","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Rarely","1991","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Daily","1992","1-pers.-HH","no migration background","","","","","1"
"Daily","1992","1-pers.-HH","direct migration background","","","","","1"
"Daily","1992","1-pers.-HH","indirect migration background","","","","","1"
"Daily","1992","(Married) couple without C. ","no migration background","","","","","1"
"Daily","1992","(Married) couple without C. ","direct migration background","","","","","1"
"Daily","1992","(Married) couple without C. ","indirect migration background","","","","","1"
"Daily","1992","Single parent ","no migration background","","","","","1"
"Daily","1992","Single parent ","direct migration background","","","","","1"
"Daily","1992","Single parent ","indirect migration background","","","","","1"
"Daily","1992","Couple + C. LE 16 ","no migration background","","","","","1"
"Daily","1992","Couple + C. LE 16 ","direct migration background","","","","","1"
"Daily","1992","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Daily","1992","Couple + C. GT 16 ","no migration background","","","","","1"
"Daily","1992","Couple + C. GT 16 ","direct migration background","","","","","1"
"Daily","1992","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Daily","1992","Couple + C. LE and GT 16","no migration background","","","","","1"
"Daily","1992","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Daily","1992","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Min 1x per month","1992","1-pers.-HH","no migration background","","","","","3"
"Min 1x per month","1992","1-pers.-HH","direct migration background","","","","","3"
"Min 1x per month","1992","1-pers.-HH","indirect migration background","","","","","3"
"Min 1x per month","1992","(Married) couple without C. ","no migration background","","","","","3"
"Min 1x per month","1992","Couple + C. GT 16 ","direct migration background","","","","","3"
"Min 1x per month","1992","Couple + C. LE and GT 16","direct migration background","","","","","3"
"Min 1x per month","1992","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Min 1x per month","1992","(Married) couple without C. ","direct migration background","","","","","3"
"Min 1x per month","1992","(Married) couple without C. ","indirect migration background","","","","","3"
"Min 1x per month","1992","Single parent ","no migration background","","","","","3"
"Min 1x per month","1992","Single parent ","direct migration background","","","","","3"
"Min 1x per month","1992","Single parent ","indirect migration background","","","","","3"
"Min 1x per month","1992","Couple + C. LE 16 ","direct migration background","","","","","3"
"Min 1x per month","1992","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Min 1x per month","1992","Couple + C. GT 16 ","no migration background","","","","","3"
"Min 1x per month","1992","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Min 1x per month","1992","Couple + C. LE and GT 16","no migration background","","","","","3"
"Min 1x per month","1992","Couple + C. LE 16 ","no migration background","","","","","3"
"Min 1x per week","1992","1-pers.-HH","no migration background","","","","","2"
"Min 1x per week","1992","(Married) couple without C. ","no migration background","","","","","2"
"Min 1x per week","1992","(Married) couple without C. ","direct migration background","","","","","2"
"Min 1x per week","1992","Single parent ","direct migration background","","","","","2"
"Min 1x per week","1992","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Min 1x per week","1992","Couple + C. GT 16 ","no migration background","","","","","2"
"Min 1x per week","1992","Couple + C. LE and GT 16","direct migration background","","","","","2"
"Min 1x per week","1992","Couple + C. LE and GT 16","no migration background","","","","","2"
"Min 1x per week","1992","1-pers.-HH","indirect migration background","","","","","2"
"Min 1x per week","1992","Single parent ","indirect migration background","","","","","2"
"Min 1x per week","1992","1-pers.-HH","direct migration background","","","","","2"
"Min 1x per week","1992","(Married) couple without C. ","indirect migration background","","","","","2"
"Min 1x per week","1992","Single parent ","no migration background","","","","","2"
"Min 1x per week","1992","Couple + C. LE 16 ","no migration background","","","","","2"
"Min 1x per week","1992","Couple + C. LE 16 ","direct migration background","","","","","2"
"Min 1x per week","1992","Couple + C. GT 16 ","direct migration background","","","","","2"
"Min 1x per week","1992","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Min 1x per week","1992","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Never","1992","1-pers.-HH","direct migration background","","","","","5"
"Never","1992","Couple + C. LE 16 ","no migration background","","","","","5"
"Never","1992","1-pers.-HH","no migration background","","","","","5"
"Never","1992","1-pers.-HH","indirect migration background","","","","","5"
"Never","1992","(Married) couple without C. ","no migration background","","","","","5"
"Never","1992","(Married) couple without C. ","direct migration background","","","","","5"
"Never","1992","(Married) couple without C. ","indirect migration background","","","","","5"
"Never","1992","Single parent ","no migration background","","","","","5"
"Never","1992","Single parent ","direct migration background","","","","","5"
"Never","1992","Single parent ","indirect migration background","","","","","5"
"Never","1992","Couple + C. LE 16 ","direct migration background","","","","","5"
"Never","1992","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Never","1992","Couple + C. GT 16 ","no migration background","","","","","5"
"Never","1992","Couple + C. GT 16 ","direct migration background","","","","","5"
"Never","1992","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Never","1992","Couple + C. LE and GT 16","no migration background","","","","","5"
"Never","1992","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Never","1992","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Rarely","1992","1-pers.-HH","no migration background","","","","","4"
"Rarely","1992","1-pers.-HH","direct migration background","","","","","4"
"Rarely","1992","1-pers.-HH","indirect migration background","","","","","4"
"Rarely","1992","(Married) couple without C. ","direct migration background","","","","","4"
"Rarely","1992","(Married) couple without C. ","indirect migration background","","","","","4"
"Rarely","1992","Couple + C. LE 16 ","direct migration background","","","","","4"
"Rarely","1992","Couple + C. LE and GT 16","no migration background","","","","","4"
"Rarely","1992","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Rarely","1992","(Married) couple without C. ","no migration background","","","","","4"
"Rarely","1992","Single parent ","no migration background","","","","","4"
"Rarely","1992","Single parent ","direct migration background","","","","","4"
"Rarely","1992","Single parent ","indirect migration background","","","","","4"
"Rarely","1992","Couple + C. LE 16 ","no migration background","","","","","4"
"Rarely","1992","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Rarely","1992","Couple + C. GT 16 ","no migration background","","","","","4"
"Rarely","1992","Couple + C. GT 16 ","direct migration background","","","","","4"
"Rarely","1992","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Rarely","1992","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Daily","1993","1-pers.-HH","no migration background","","","","","1"
"Daily","1993","1-pers.-HH","direct migration background","","","","","1"
"Daily","1993","1-pers.-HH","indirect migration background","","","","","1"
"Daily","1993","(Married) couple without C. ","no migration background","","","","","1"
"Daily","1993","(Married) couple without C. ","direct migration background","","","","","1"
"Daily","1993","(Married) couple without C. ","indirect migration background","","","","","1"
"Daily","1993","Single parent ","no migration background","","","","","1"
"Daily","1993","Single parent ","direct migration background","","","","","1"
"Daily","1993","Single parent ","indirect migration background","","","","","1"
"Daily","1993","Couple + C. LE 16 ","no migration background","","","","","1"
"Daily","1993","Couple + C. LE 16 ","direct migration background","","","","","1"
"Daily","1993","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Daily","1993","Couple + C. GT 16 ","no migration background","","","","","1"
"Daily","1993","Couple + C. GT 16 ","direct migration background","","","","","1"
"Daily","1993","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Daily","1993","Couple + C. LE and GT 16","no migration background","","","","","1"
"Daily","1993","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Daily","1993","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Min 1x per month","1993","1-pers.-HH","no migration background","","","","","3"
"Min 1x per month","1993","1-pers.-HH","direct migration background","","","","","3"
"Min 1x per month","1993","1-pers.-HH","indirect migration background","","","","","3"
"Min 1x per month","1993","(Married) couple without C. ","direct migration background","","","","","3"
"Min 1x per month","1993","Single parent ","direct migration background","","","","","3"
"Min 1x per month","1993","Couple + C. LE and GT 16","direct migration background","","","","","3"
"Min 1x per month","1993","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"Min 1x per month","1993","(Married) couple without C. ","no migration background","","","","","3"
"Min 1x per month","1993","(Married) couple without C. ","indirect migration background","","","","","3"
"Min 1x per month","1993","Single parent ","no migration background","","","","","3"
"Min 1x per month","1993","Single parent ","indirect migration background","","","","","3"
"Min 1x per month","1993","Couple + C. LE 16 ","no migration background","","","","","3"
"Min 1x per month","1993","Couple + C. LE 16 ","direct migration background","","","","","3"
"Min 1x per month","1993","Couple + C. LE 16 ","indirect migration background","","","","","3"
"Min 1x per month","1993","Couple + C. GT 16 ","no migration background","","","","","3"
"Min 1x per month","1993","Couple + C. GT 16 ","direct migration background","","","","","3"
"Min 1x per month","1993","Couple + C. GT 16 ","indirect migration background","","","","","3"
"Min 1x per month","1993","Couple + C. LE and GT 16","no migration background","","","","","3"
"Min 1x per week","1993","1-pers.-HH","no migration background","","","","","2"
"Min 1x per week","1993","(Married) couple without C. ","no migration background","","","","","2"
"Min 1x per week","1993","1-pers.-HH","indirect migration background","","","","","2"
"Min 1x per week","1993","Single parent ","direct migration background","","","","","2"
"Min 1x per week","1993","Single parent ","no migration background","","","","","2"
"Min 1x per week","1993","1-pers.-HH","direct migration background","","","","","2"
"Min 1x per week","1993","(Married) couple without C. ","direct migration background","","","","","2"
"Min 1x per week","1993","Single parent ","indirect migration background","","","","","2"
"Min 1x per week","1993","Couple + C. LE 16 ","indirect migration background","","","","","2"
"Min 1x per week","1993","Couple + C. GT 16 ","no migration background","","","","","2"
"Min 1x per week","1993","Couple + C. LE and GT 16","no migration background","","","","","2"
"Min 1x per week","1993","(Married) couple without C. ","indirect migration background","","","","","2"
"Min 1x per week","1993","Couple + C. LE 16 ","direct migration background","","","","","2"
"Min 1x per week","1993","Couple + C. GT 16 ","direct migration background","","","","","2"
"Min 1x per week","1993","Couple + C. GT 16 ","indirect migration background","","","","","2"
"Min 1x per week","1993","Couple + C. LE and GT 16","direct migration background","","","","","2"
"Min 1x per week","1993","Couple + C. LE 16 ","no migration background","","","","","2"
"Min 1x per week","1993","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"Never","1993","1-pers.-HH","no migration background","","","","","5"
"Never","1993","1-pers.-HH","direct migration background","","","","","5"
"Never","1993","1-pers.-HH","indirect migration background","","","","","5"
"Never","1993","(Married) couple without C. ","no migration background","","","","","5"
"Never","1993","(Married) couple without C. ","direct migration background","","","","","5"
"Never","1993","(Married) couple without C. ","indirect migration background","","","","","5"
"Never","1993","Couple + C. LE 16 ","no migration background","","","","","5"
"Never","1993","Single parent ","no migration background","","","","","5"
"Never","1993","Single parent ","direct migration background","","","","","5"
"Never","1993","Single parent ","indirect migration background","","","","","5"
"Never","1993","Couple + C. LE 16 ","direct migration background","","","","","5"
"Never","1993","Couple + C. LE 16 ","indirect migration background","","","","","5"
"Never","1993","Couple + C. GT 16 ","no migration background","","","","","5"
"Never","1993","Couple + C. GT 16 ","direct migration background","","","","","5"
"Never","1993","Couple + C. GT 16 ","indirect migration background","","","","","5"
"Never","1993","Couple + C. LE and GT 16","no migration background","","","","","5"
"Never","1993","Couple + C. LE and GT 16","direct migration background","","","","","5"
"Never","1993","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"Rarely","1993","(Married) couple without C. ","direct migration background","","","","","4"
"Rarely","1993","1-pers.-HH","indirect migration background","","","","","4"
"Rarely","1993","(Married) couple without C. ","no migration background","","","","","4"
"Rarely","1993","1-pers.-HH","direct migration background","","","","","4"
"Rarely","1993","1-pers.-HH","no migration background","","","","","4"
"Rarely","1993","Single parent ","direct migration background","","","","","4"
"Rarely","1993","(Married) couple without C. ","indirect migration background","","","","","4"
"Rarely","1993","Single parent ","no migration background","","","","","4"
"Rarely","1993","Single parent ","indirect migration background","","","","","4"
"Rarely","1993","Couple + C. LE 16 ","no migration background","","","","","4"
"Rarely","1993","Couple + C. LE 16 ","direct migration background","","","","","4"
"Rarely","1993","Couple + C. LE 16 ","indirect migration background","","","","","4"
"Rarely","1993","Couple + C. GT 16 ","no migration background","","","","","4"
"Rarely","1993","Couple + C. GT 16 ","direct migration background","","","","","4"
"Rarely","1993","Couple + C. LE and GT 16","no migration background","","","","","4"
"Rarely","1993","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"Rarely","1993","Couple + C. GT 16 ","indirect migration background","","","","","4"
"Rarely","1993","Couple + C. LE and GT 16","direct migration background","","","","","4"
"Daily","1994","1-pers.-HH","no migration background","","","","","1"
"Daily","1994","1-pers.-HH","direct migration background","","","","","1"
"Daily","1994","1-pers.-HH","indirect migration background","","","","","1"
"Daily","1994","(Married) couple without C. ","no migration background","","","","","1"
"Daily","1994","(Married) couple without C. ","direct migration background","","","","","1"
"Daily","1994","(Married) couple without C. ","indirect migration background","","","","","1"
"Daily","1994","Single parent ","no migration background","","","","","1"
"Daily","1994","Single parent ","direct migration background","","","","","1"
"Daily","1994","Single parent ","indirect migration background","","","","","1"
"Daily","1994","Couple + C. LE 16 ","no migration background","","","","","1"
"Daily","1994","Couple + C. LE 16 ","direct migration background","","","","","1"
"Daily","1994","Couple + C. LE 16 ","indirect migration background","","","","","1"
"Daily","1994","Couple + C. GT 16 ","no migration background","","","","","1"
"Daily","1994","Couple + C. GT 16 ","direct migration background","","","","","1"
"Daily","1994","Couple + C. GT 16 ","indirect migration background","","","","","1"
"Daily","1994","Couple + C. LE and GT 16","no migration background","","","","","1"
"Daily","1994","Couple + C. LE and GT 16","direct migration background","","","","","1"
"Daily","1994","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"Min 1x per month","1994","1-pers.-HH","no migration background","","","","","3"
"Min 1x per month","1994","1-pers.-HH","direct migration background","","","","","3"
