"pli0081","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","1990","Saxony-Anhalt","Couple + C. LE 16 ","","","","","5"
"Never","1990","Saxony-Anhalt","Couple + C. GT 16 ","","","","","5"
"Never","1990","Saxony-Anhalt","Couple + C. LE and GT 16","","","","","5"
"Never","1990","Thuringia","1-pers.-HH","","","","","5"
"Never","1990","Thuringia","(Married) couple without C. ","","","","","5"
"Never","1990","North Rhine-Westphalia","1-pers.-HH","17","","","","5"
"Never","1990","North Rhine-Westphalia","(Married) couple without C. ","19","","","","5"
"Never","1990","North Rhine-Westphalia","Single parent ","7","","","","5"
"Never","1990","North Rhine-Westphalia","Couple + C. LE 16 ","23","","","","5"
"Never","1990","North Rhine-Westphalia","Couple + C. GT 16 ","22","","","","5"
"Never","1990","North Rhine-Westphalia","Couple + C. LE and GT 16","14","","","","5"
"Never","1990","Hesse","1-pers.-HH","3","","","","5"
"Never","1990","Hesse","(Married) couple without C. ","4","","","","5"
"Never","1990","Hesse","Single parent ","7","","","","5"
"Never","1990","Hesse","Couple + C. LE 16 ","14","","","","5"
"Never","1990","Hesse","Couple + C. GT 16 ","9","","","","5"
"Never","1990","Hesse","Couple + C. LE and GT 16","13","","","","5"
"Never","1990","Rhineland-Palatinate,Saarland","1-pers.-HH","2","","","","5"
"Never","1990","Rhineland-Palatinate,Saarland","(Married) couple without C. ","6","","","","5"
"Never","1990","Rhineland-Palatinate,Saarland","Single parent ","1","","","","5"
"Never","1990","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","1","","","","5"
"Never","1990","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","1","","","","5"
