"pli0081","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Daily","1991","Saxony","Employed","","","",""
"Daily","1991","Saxony-Anhalt","Not Employed","","","",""
"Daily","1991","Saxony-Anhalt","Employed","","","",""
"Daily","1991","Thuringia","Not Employed","","","",""
"Daily","1991","Thuringia","Employed","","","",""
"Min 1x per week","1991","Schleswig-Holstein","Not Employed","","","",""
"Min 1x per week","1991","Schleswig-Holstein","Employed","","","",""
"Min 1x per week","1991","Hamburg","Not Employed","","","",""
"Min 1x per week","1991","Hamburg","Employed","","","",""
"Min 1x per week","1991","Lower Saxony","Not Employed","","","",""
"Min 1x per week","1991","Lower Saxony","Employed","","","",""
"Min 1x per week","1991","Bremen","Not Employed","","","",""
"Min 1x per week","1991","Bremen","Employed","","","",""
"Min 1x per week","1991","North Rhine-Westphalia","Not Employed","","","",""
"Min 1x per week","1991","North Rhine-Westphalia","Employed","","","",""
"Min 1x per week","1991","Hesse","Not Employed","","","",""
"Min 1x per week","1991","Hesse","Employed","","","",""
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","Employed","","","",""
"Min 1x per week","1991","Baden-Württemberg","Not Employed","","","",""
"Min 1x per week","1991","Baden-Württemberg","Employed","","","",""
"Min 1x per week","1991","Bavaria","Not Employed","","","",""
"Min 1x per week","1991","Bavaria","Employed","","","",""
"Min 1x per week","1991","Berlin","Not Employed","","","",""
"Min 1x per week","1991","Berlin","Employed","","","",""
"Min 1x per week","1991","Brandenburg","Not Employed","","","",""
"Min 1x per week","1991","Brandenburg","Employed","","","",""
"Min 1x per week","1991","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per week","1991","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per week","1991","Saxony","Not Employed","","","",""
"Min 1x per week","1991","Saxony","Employed","","","",""
"Min 1x per week","1991","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per week","1991","Saxony-Anhalt","Employed","","","",""
"Min 1x per week","1991","Thuringia","Not Employed","","","",""
"Min 1x per week","1991","Thuringia","Employed","","","",""
"Min 1x per month","1991","Schleswig-Holstein","Not Employed","","","",""
"Min 1x per month","1991","Schleswig-Holstein","Employed","","","",""
"Min 1x per month","1991","Hamburg","Not Employed","","","",""
"Min 1x per month","1991","Hamburg","Employed","","","",""
"Min 1x per month","1991","Lower Saxony","Not Employed","","","",""
"Min 1x per month","1991","Lower Saxony","Employed","","","",""
"Min 1x per month","1991","Bremen","Not Employed","","","",""
"Min 1x per month","1991","Bremen","Employed","","","",""
"Min 1x per month","1991","North Rhine-Westphalia","Not Employed","","","",""
"Min 1x per month","1991","North Rhine-Westphalia","Employed","","","",""
"Min 1x per month","1991","Hesse","Not Employed","","","",""
"Min 1x per month","1991","Hesse","Employed","","","",""
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","Employed","","","",""
"Min 1x per month","1991","Baden-Württemberg","Not Employed","","","",""
"Min 1x per month","1991","Baden-Württemberg","Employed","","","",""
"Min 1x per month","1991","Bavaria","Not Employed","","","",""
"Min 1x per month","1991","Bavaria","Employed","","","",""
"Min 1x per month","1991","Berlin","Not Employed","","","",""
"Min 1x per month","1991","Berlin","Employed","","","",""
"Min 1x per month","1991","Brandenburg","Not Employed","","","",""
"Min 1x per month","1991","Brandenburg","Employed","","","",""
"Min 1x per month","1991","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per month","1991","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per month","1991","Saxony","Not Employed","","","",""
"Min 1x per month","1991","Saxony","Employed","","","",""
"Min 1x per month","1991","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per month","1991","Saxony-Anhalt","Employed","","","",""
"Min 1x per month","1991","Thuringia","Not Employed","","","",""
"Min 1x per month","1991","Thuringia","Employed","","","",""
"Rarely","1991","Schleswig-Holstein","Not Employed","","","",""
"Rarely","1991","Schleswig-Holstein","Employed","","","",""
"Rarely","1991","Hamburg","Not Employed","","","",""
"Rarely","1991","Hamburg","Employed","","","",""
"Rarely","1991","Lower Saxony","Not Employed","","","",""
"Rarely","1991","Lower Saxony","Employed","","","",""
"Rarely","1991","Bremen","Not Employed","","","",""
"Rarely","1991","Bremen","Employed","","","",""
"Rarely","1991","North Rhine-Westphalia","Not Employed","","","",""
"Rarely","1991","North Rhine-Westphalia","Employed","","","",""
"Rarely","1991","Hesse","Not Employed","","","",""
"Rarely","1991","Hesse","Employed","","","",""
"Rarely","1991","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Rarely","1991","Rhineland-Palatinate,Saarland","Employed","","","",""
"Rarely","1991","Baden-Württemberg","Not Employed","","","",""
"Rarely","1991","Baden-Württemberg","Employed","","","",""
"Rarely","1991","Bavaria","Not Employed","","","",""
"Rarely","1991","Bavaria","Employed","","","",""
"Rarely","1991","Berlin","Not Employed","","","",""
"Rarely","1991","Berlin","Employed","","","",""
"Rarely","1991","Brandenburg","Not Employed","","","",""
"Rarely","1991","Brandenburg","Employed","","","",""
"Rarely","1991","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Rarely","1991","Mecklenburg-Western Pomerania","Employed","","","",""
"Rarely","1991","Saxony","Not Employed","","","",""
"Rarely","1991","Saxony","Employed","","","",""
"Rarely","1991","Saxony-Anhalt","Not Employed","","","",""
"Rarely","1991","Saxony-Anhalt","Employed","","","",""
"Rarely","1991","Thuringia","Not Employed","","","",""
"Rarely","1991","Thuringia","Employed","","","",""
"Never","1991","Schleswig-Holstein","Not Employed","","","",""
"Never","1991","Schleswig-Holstein","Employed","","","",""
"Never","1991","Hamburg","Not Employed","","","",""
"Never","1991","Hamburg","Employed","","","",""
"Never","1991","Lower Saxony","Not Employed","","","",""
"Never","1991","Lower Saxony","Employed","","","",""
"Never","1991","Bremen","Not Employed","","","",""
"Never","1991","Bremen","Employed","","","",""
"Never","1991","North Rhine-Westphalia","Not Employed","","","",""
"Never","1991","North Rhine-Westphalia","Employed","","","",""
"Never","1991","Hesse","Not Employed","","","",""
"Never","1991","Hesse","Employed","","","",""
"Never","1991","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Never","1991","Rhineland-Palatinate,Saarland","Employed","","","",""
"Never","1991","Baden-Württemberg","Not Employed","","","",""
"Never","1991","Baden-Württemberg","Employed","","","",""
"Never","1991","Bavaria","Not Employed","","","",""
"Never","1991","Bavaria","Employed","","","",""
"Never","1991","Berlin","Not Employed","","","",""
"Never","1991","Berlin","Employed","","","",""
"Never","1991","Brandenburg","Not Employed","","","",""
"Never","1991","Brandenburg","Employed","","","",""
"Never","1991","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Never","1991","Mecklenburg-Western Pomerania","Employed","","","",""
"Never","1991","Saxony","Not Employed","","","",""
"Never","1991","Saxony","Employed","","","",""
"Never","1991","Saxony-Anhalt","Not Employed","","","",""
"Never","1991","Saxony-Anhalt","Employed","","","",""
"Never","1991","Thuringia","Not Employed","","","",""
"Never","1991","Thuringia","Employed","","","",""
"Daily","1992","Schleswig-Holstein","Not Employed","","","",""
"Daily","1992","Schleswig-Holstein","Employed","","","",""
"Daily","1992","Hamburg","Not Employed","","","",""
"Daily","1992","Hamburg","Employed","","","",""
"Daily","1992","Lower Saxony","Not Employed","","","",""
"Daily","1992","Lower Saxony","Employed","","","",""
"Daily","1992","Bremen","Not Employed","","","",""
"Daily","1992","Bremen","Employed","","","",""
"Daily","1992","North Rhine-Westphalia","Not Employed","","","",""
"Daily","1992","North Rhine-Westphalia","Employed","","","",""
"Daily","1992","Hesse","Not Employed","","","",""
"Daily","1992","Hesse","Employed","","","",""
"Daily","1992","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Daily","1992","Rhineland-Palatinate,Saarland","Employed","","","",""
"Daily","1992","Baden-Württemberg","Not Employed","","","",""
"Daily","1992","Baden-Württemberg","Employed","","","",""
"Daily","1992","Bavaria","Not Employed","","","",""
"Daily","1992","Bavaria","Employed","","","",""
"Daily","1992","Berlin","Not Employed","","","",""
"Daily","1992","Berlin","Employed","","","",""
"Daily","1992","Brandenburg","Not Employed","","","",""
"Daily","1992","Brandenburg","Employed","","","",""
"Daily","1992","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Daily","1992","Mecklenburg-Western Pomerania","Employed","","","",""
"Daily","1992","Saxony","Not Employed","","","",""
"Daily","1992","Saxony","Employed","","","",""
"Daily","1992","Saxony-Anhalt","Not Employed","","","",""
"Daily","1992","Saxony-Anhalt","Employed","","","",""
"Daily","1992","Thuringia","Not Employed","","","",""
"Daily","1992","Thuringia","Employed","","","",""
"Min 1x per week","1992","Schleswig-Holstein","Not Employed","","","",""
"Min 1x per week","1992","Schleswig-Holstein","Employed","","","",""
"Min 1x per week","1992","Hamburg","Not Employed","","","",""
"Min 1x per week","1992","Hamburg","Employed","","","",""
"Min 1x per week","1992","Lower Saxony","Not Employed","","","",""
"Min 1x per week","1992","Lower Saxony","Employed","","","",""
"Min 1x per week","1992","Bremen","Not Employed","","","",""
"Min 1x per week","1992","Bremen","Employed","","","",""
"Min 1x per week","1992","North Rhine-Westphalia","Not Employed","","","",""
"Min 1x per week","1992","North Rhine-Westphalia","Employed","","","",""
"Min 1x per week","1992","Hesse","Not Employed","","","",""
"Min 1x per week","1992","Hesse","Employed","","","",""
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","Employed","","","",""
"Min 1x per week","1992","Baden-Württemberg","Not Employed","","","",""
"Min 1x per week","1992","Baden-Württemberg","Employed","","","",""
"Min 1x per week","1992","Bavaria","Not Employed","","","",""
"Min 1x per week","1992","Bavaria","Employed","","","",""
"Min 1x per week","1992","Berlin","Not Employed","","","",""
"Min 1x per week","1992","Berlin","Employed","","","",""
"Min 1x per week","1992","Brandenburg","Not Employed","","","",""
"Min 1x per week","1992","Brandenburg","Employed","","","",""
"Min 1x per week","1992","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per week","1992","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per week","1992","Saxony","Not Employed","","","",""
"Min 1x per week","1992","Saxony","Employed","","","",""
"Min 1x per week","1992","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per week","1992","Saxony-Anhalt","Employed","","","",""
"Min 1x per week","1992","Thuringia","Not Employed","","","",""
"Min 1x per week","1992","Thuringia","Employed","","","",""
"Min 1x per month","1992","Schleswig-Holstein","Not Employed","","","",""
"Min 1x per month","1992","Schleswig-Holstein","Employed","","","",""
"Min 1x per month","1992","Hamburg","Not Employed","","","",""
"Min 1x per month","1992","Hamburg","Employed","","","",""
"Min 1x per month","1992","Lower Saxony","Not Employed","","","",""
"Min 1x per month","1992","Lower Saxony","Employed","","","",""
"Min 1x per month","1992","Bremen","Not Employed","","","",""
"Min 1x per month","1992","Bremen","Employed","","","",""
"Min 1x per month","1992","North Rhine-Westphalia","Not Employed","","","",""
"Min 1x per month","1992","North Rhine-Westphalia","Employed","","","",""
"Min 1x per month","1992","Hesse","Not Employed","","","",""
"Min 1x per month","1992","Hesse","Employed","","","",""
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","Employed","","","",""
"Min 1x per month","1992","Baden-Württemberg","Not Employed","","","",""
"Min 1x per month","1992","Baden-Württemberg","Employed","","","",""
"Min 1x per month","1992","Bavaria","Not Employed","","","",""
"Min 1x per month","1992","Bavaria","Employed","","","",""
"Min 1x per month","1992","Berlin","Not Employed","","","",""
"Min 1x per month","1992","Berlin","Employed","","","",""
"Min 1x per month","1992","Brandenburg","Not Employed","","","",""
"Min 1x per month","1992","Brandenburg","Employed","","","",""
"Min 1x per month","1992","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Min 1x per month","1992","Mecklenburg-Western Pomerania","Employed","","","",""
"Min 1x per month","1992","Saxony","Not Employed","","","",""
"Min 1x per month","1992","Saxony","Employed","","","",""
"Min 1x per month","1992","Saxony-Anhalt","Not Employed","","","",""
"Min 1x per month","1992","Saxony-Anhalt","Employed","","","",""
"Min 1x per month","1992","Thuringia","Not Employed","","","",""
"Min 1x per month","1992","Thuringia","Employed","","","",""
"Rarely","1992","Schleswig-Holstein","Not Employed","","","",""
"Rarely","1992","Schleswig-Holstein","Employed","","","",""
"Rarely","1992","Hamburg","Not Employed","","","",""
"Rarely","1992","Hamburg","Employed","","","",""
"Rarely","1992","Lower Saxony","Not Employed","","","",""
"Rarely","1992","Lower Saxony","Employed","","","",""
"Rarely","1992","Bremen","Not Employed","","","",""
"Rarely","1992","Bremen","Employed","","","",""
"Rarely","1992","North Rhine-Westphalia","Not Employed","","","",""
"Rarely","1992","North Rhine-Westphalia","Employed","","","",""
"Rarely","1992","Hesse","Not Employed","","","",""
"Rarely","1992","Hesse","Employed","","","",""
"Rarely","1992","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Rarely","1992","Rhineland-Palatinate,Saarland","Employed","","","",""
"Rarely","1992","Baden-Württemberg","Not Employed","","","",""
"Rarely","1992","Baden-Württemberg","Employed","","","",""
"Rarely","1992","Bavaria","Not Employed","","","",""
"Rarely","1992","Bavaria","Employed","","","",""
"Rarely","1992","Berlin","Not Employed","","","",""
"Rarely","1992","Berlin","Employed","","","",""
"Rarely","1992","Brandenburg","Not Employed","","","",""
"Rarely","1992","Brandenburg","Employed","","","",""
"Rarely","1992","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Rarely","1992","Mecklenburg-Western Pomerania","Employed","","","",""
"Rarely","1992","Saxony","Not Employed","","","",""
"Rarely","1992","Saxony","Employed","","","",""
"Rarely","1992","Saxony-Anhalt","Not Employed","","","",""
"Rarely","1992","Saxony-Anhalt","Employed","","","",""
"Rarely","1992","Thuringia","Not Employed","","","",""
"Rarely","1992","Thuringia","Employed","","","",""
"Never","1992","Schleswig-Holstein","Not Employed","","","",""
"Never","1992","Schleswig-Holstein","Employed","","","",""
"Never","1992","Hamburg","Not Employed","","","",""
"Never","1992","Hamburg","Employed","","","",""
"Never","1992","Lower Saxony","Not Employed","","","",""
"Never","1992","Lower Saxony","Employed","","","",""
"Never","1992","Bremen","Not Employed","","","",""
"Never","1992","Bremen","Employed","","","",""
"Never","1992","North Rhine-Westphalia","Not Employed","","","",""
"Never","1992","North Rhine-Westphalia","Employed","","","",""
"Never","1992","Hesse","Not Employed","","","",""
"Never","1992","Hesse","Employed","","","",""
"Never","1992","Rhineland-Palatinate,Saarland","Not Employed","","","",""
"Never","1992","Rhineland-Palatinate,Saarland","Employed","","","",""
"Never","1992","Baden-Württemberg","Not Employed","","","",""
"Never","1992","Baden-Württemberg","Employed","","","",""
"Never","1992","Bavaria","Not Employed","","","",""
"Never","1992","Bavaria","Employed","","","",""
"Never","1992","Berlin","Not Employed","","","",""
"Never","1992","Berlin","Employed","","","",""
"Never","1992","Brandenburg","Not Employed","","","",""
