"pli0081","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Daily","1991","North Rhine-Westphalia","","","",""
"Daily","1991","Hesse","","","",""
"Daily","1991","Rhineland-Palatinate,Saarland","","","",""
"Daily","1991","Baden-Württemberg","","","",""
"Daily","1991","Bavaria","","","",""
"Daily","1991","Berlin","","","",""
"Daily","1991","Brandenburg","","","",""
"Daily","1991","Mecklenburg-Western Pomerania","","","",""
"Daily","1991","Saxony","","","",""
"Daily","1991","Saxony-Anhalt","","","",""
"Daily","1991","Thuringia","","","",""
"Min 1x per week","1991","Schleswig-Holstein","","","",""
"Min 1x per week","1991","Hamburg","","","",""
"Min 1x per week","1991","Lower Saxony","","","",""
"Min 1x per week","1991","Bremen","","","",""
"Min 1x per week","1991","North Rhine-Westphalia","","","",""
"Min 1x per week","1991","Hesse","","","",""
"Min 1x per week","1991","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1991","Baden-Württemberg","","","",""
"Min 1x per week","1991","Bavaria","","","",""
"Min 1x per week","1991","Berlin","","","",""
"Min 1x per week","1991","Brandenburg","","","",""
"Min 1x per week","1991","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1991","Saxony","","","",""
"Min 1x per week","1991","Saxony-Anhalt","","","",""
"Min 1x per week","1991","Thuringia","","","",""
"Min 1x per month","1991","Schleswig-Holstein","","","",""
"Min 1x per month","1991","Hamburg","","","",""
"Min 1x per month","1991","Lower Saxony","","","",""
"Min 1x per month","1991","Bremen","","","",""
"Min 1x per month","1991","North Rhine-Westphalia","","","",""
"Min 1x per month","1991","Hesse","","","",""
"Min 1x per month","1991","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per month","1991","Baden-Württemberg","","","",""
"Min 1x per month","1991","Bavaria","","","",""
"Min 1x per month","1991","Berlin","","","",""
"Min 1x per month","1991","Brandenburg","","","",""
"Min 1x per month","1991","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1991","Saxony","","","",""
"Min 1x per month","1991","Saxony-Anhalt","","","",""
"Min 1x per month","1991","Thuringia","","","",""
"Rarely","1991","Schleswig-Holstein","","","",""
"Rarely","1991","Hamburg","","","",""
"Rarely","1991","Lower Saxony","","","",""
"Rarely","1991","Bremen","","","",""
"Rarely","1991","North Rhine-Westphalia","","","",""
"Rarely","1991","Hesse","","","",""
"Rarely","1991","Rhineland-Palatinate,Saarland","","","",""
"Rarely","1991","Baden-Württemberg","","","",""
"Rarely","1991","Bavaria","","","",""
"Rarely","1991","Berlin","","","",""
"Rarely","1991","Brandenburg","","","",""
"Rarely","1991","Mecklenburg-Western Pomerania","","","",""
"Rarely","1991","Saxony","","","",""
"Rarely","1991","Saxony-Anhalt","","","",""
"Rarely","1991","Thuringia","","","",""
"Never","1991","Schleswig-Holstein","","","",""
"Never","1991","Hamburg","","","",""
"Never","1991","Lower Saxony","","","",""
"Never","1991","Bremen","","","",""
"Never","1991","North Rhine-Westphalia","","","",""
"Never","1991","Hesse","","","",""
"Never","1991","Rhineland-Palatinate,Saarland","","","",""
"Never","1991","Baden-Württemberg","","","",""
"Never","1991","Bavaria","","","",""
"Never","1991","Berlin","","","",""
"Never","1991","Brandenburg","","","",""
"Never","1991","Mecklenburg-Western Pomerania","","","",""
"Never","1991","Saxony","","","",""
"Never","1991","Saxony-Anhalt","","","",""
"Never","1991","Thuringia","","","",""
"Daily","1992","Schleswig-Holstein","","","",""
"Daily","1992","Hamburg","","","",""
"Daily","1992","Lower Saxony","","","",""
"Daily","1992","Bremen","","","",""
"Daily","1992","North Rhine-Westphalia","","","",""
"Daily","1992","Hesse","","","",""
"Daily","1992","Rhineland-Palatinate,Saarland","","","",""
"Daily","1992","Baden-Württemberg","","","",""
"Daily","1992","Bavaria","","","",""
"Daily","1992","Berlin","","","",""
"Daily","1992","Brandenburg","","","",""
"Daily","1992","Mecklenburg-Western Pomerania","","","",""
"Daily","1992","Saxony","","","",""
"Daily","1992","Saxony-Anhalt","","","",""
"Daily","1992","Thuringia","","","",""
"Min 1x per week","1992","Schleswig-Holstein","","","",""
"Min 1x per week","1992","Hamburg","","","",""
"Min 1x per week","1992","Lower Saxony","","","",""
"Min 1x per week","1992","Bremen","","","",""
"Min 1x per week","1992","North Rhine-Westphalia","","","",""
"Min 1x per week","1992","Hesse","","","",""
"Min 1x per week","1992","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1992","Baden-Württemberg","","","",""
"Min 1x per week","1992","Bavaria","","","",""
"Min 1x per week","1992","Berlin","","","",""
"Min 1x per week","1992","Brandenburg","","","",""
"Min 1x per week","1992","Mecklenburg-Western Pomerania","","","",""
"Min 1x per week","1992","Saxony","","","",""
"Min 1x per week","1992","Saxony-Anhalt","","","",""
"Min 1x per week","1992","Thuringia","","","",""
"Min 1x per month","1992","Schleswig-Holstein","","","",""
"Min 1x per month","1992","Hamburg","","","",""
"Min 1x per month","1992","Lower Saxony","","","",""
"Min 1x per month","1992","Bremen","","","",""
"Min 1x per month","1992","North Rhine-Westphalia","","","",""
"Min 1x per month","1992","Hesse","","","",""
"Min 1x per month","1992","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per month","1992","Baden-Württemberg","","","",""
"Min 1x per month","1992","Bavaria","","","",""
"Min 1x per month","1992","Berlin","","","",""
"Min 1x per month","1992","Brandenburg","","","",""
"Min 1x per month","1992","Mecklenburg-Western Pomerania","","","",""
"Min 1x per month","1992","Saxony","","","",""
"Min 1x per month","1992","Saxony-Anhalt","","","",""
"Min 1x per month","1992","Thuringia","","","",""
"Rarely","1992","Schleswig-Holstein","","","",""
"Rarely","1992","Hamburg","","","",""
"Rarely","1992","Lower Saxony","","","",""
"Rarely","1992","Bremen","","","",""
"Rarely","1992","North Rhine-Westphalia","","","",""
"Rarely","1992","Hesse","","","",""
"Rarely","1992","Rhineland-Palatinate,Saarland","","","",""
"Rarely","1992","Baden-Württemberg","","","",""
"Rarely","1992","Bavaria","","","",""
"Rarely","1992","Berlin","","","",""
"Rarely","1992","Brandenburg","","","",""
"Rarely","1992","Mecklenburg-Western Pomerania","","","",""
"Rarely","1992","Saxony","","","",""
"Rarely","1992","Saxony-Anhalt","","","",""
"Rarely","1992","Thuringia","","","",""
"Never","1992","Schleswig-Holstein","","","",""
"Never","1992","Hamburg","","","",""
"Never","1992","Lower Saxony","","","",""
"Never","1992","Bremen","","","",""
"Never","1992","North Rhine-Westphalia","","","",""
"Never","1992","Hesse","","","",""
"Never","1992","Rhineland-Palatinate,Saarland","","","",""
"Never","1992","Baden-Württemberg","","","",""
"Never","1992","Bavaria","","","",""
"Never","1992","Berlin","","","",""
"Never","1992","Brandenburg","","","",""
"Never","1992","Mecklenburg-Western Pomerania","","","",""
"Never","1992","Saxony","","","",""
"Never","1992","Saxony-Anhalt","","","",""
"Never","1992","Thuringia","","","",""
"Daily","1993","Schleswig-Holstein","","","",""
"Daily","1993","Hamburg","","","",""
"Daily","1993","Lower Saxony","","","",""
"Daily","1993","Bremen","","","",""
"Daily","1993","North Rhine-Westphalia","","","",""
"Daily","1993","Hesse","","","",""
"Daily","1993","Rhineland-Palatinate,Saarland","","","",""
"Daily","1993","Baden-Württemberg","","","",""
"Daily","1993","Bavaria","","","",""
"Daily","1993","Berlin","","","",""
"Daily","1993","Brandenburg","","","",""
"Daily","1993","Mecklenburg-Western Pomerania","","","",""
"Daily","1993","Saxony","","","",""
"Daily","1993","Saxony-Anhalt","","","",""
"Daily","1993","Thuringia","","","",""
"Min 1x per week","1993","Schleswig-Holstein","","","",""
"Min 1x per week","1993","Hamburg","","","",""
"Min 1x per week","1993","Lower Saxony","","","",""
"Min 1x per week","1993","Bremen","","","",""
"Min 1x per week","1993","North Rhine-Westphalia","","","",""
"Min 1x per week","1993","Hesse","","","",""
"Min 1x per week","1993","Rhineland-Palatinate,Saarland","","","",""
"Min 1x per week","1993","Baden-Württemberg","","","",""
"Min 1x per week","1993","Bavaria","","","",""
"Min 1x per week","1993","Berlin","","","",""
"Min 1x per week","1993","Brandenburg","","","",""
"Min 1x per week","1993","Mecklenburg-Western Pomerania","","","",""
