"ple0005","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"A little","2007","35-65 y.","Urban Area","","","","","2"
"A little","2007","35-65 y.","Rural Area","","","","","2"
"A little","2007","66 and older","Urban Area","","","","","2"
"A little","2007","66 and older","Rural Area","","","","","2"
"Not at all","2007","16-34 y.","Urban Area","","","","","3"
"Not at all","2007","16-34 y.","Rural Area","","","","","3"
"Not at all","2007","35-65 y.","Urban Area","","","","","3"
"Not at all","2007","35-65 y.","Rural Area","","","","","3"
"Not at all","2007","66 and older","Urban Area","","","","","3"
"Not at all","2007","66 and older","Rural Area","","","","","3"
"Strong","2007","16-34 y.","Urban Area","","","","","1"
"Strong","2007","16-34 y.","Rural Area","","","","","1"
"Strong","2007","35-65 y.","Urban Area","","","","","1"
"Strong","2007","35-65 y.","Rural Area","","","","","1"
"Strong","2007","66 and older","Urban Area","","","","","1"
"Strong","2007","66 and older","Rural Area","","","","","1"
"A little","2008","16-34 y.","Urban Area","508","0.20524801758338","0.190548455812869","0.219947579353891","2"
"A little","2008","16-34 y.","Rural Area","300","0.206773081439856","0.186013426690862","0.22753273618885","2"
"A little","2008","35-65 y.","Urban Area","2514","0.371472143359278","0.360194526647007","0.382749760071548","2"
"A little","2008","35-65 y.","Rural Area","1466","0.416593298033804","0.4005247836269","0.432661812440709","2"
"A little","2008","66 and older","Urban Area","1291","0.452845475158664","0.434608899608869","0.471082050708458","2"
"A little","2008","66 and older","Rural Area","729","0.4908331413866","0.465381195418148","0.516285087355053","2"
"Not at all","2008","16-34 y.","Urban Area","2338","0.775221206551474","0.760028344931793","0.790414068171155","3"
"Not at all","2008","16-34 y.","Rural Area","1123","0.761678847052761","0.739839399531094","0.783518294574427","3"
"Not at all","2008","35-65 y.","Urban Area","3794","0.503202206800722","0.491532685616526","0.514871727984918","3"
"Not at all","2008","35-65 y.","Rural Area","1712","0.453902362264102","0.43767491335156","0.470129811176645","3"
"Not at all","2008","66 and older","Urban Area","577","0.170807617166873","0.157019830810527","0.184595403523219","3"
"Not at all","2008","66 and older","Rural Area","258","0.163237197287275","0.144420875267491","0.182053519307059","3"
"Strong","2008","16-34 y.","Urban Area","54","0.0195307758651462","0.014494310830791","0.0245672408995013","1"
"Strong","2008","16-34 y.","Rural Area","39","0.0315480715073833","0.0225882399083091","0.0405079031064575","1"
"Strong","2008","35-65 y.","Urban Area","744","0.125325649840001","0.117598219169563","0.133053080510439","1"
"Strong","2008","35-65 y.","Rural Area","438","0.129504339702093","0.118560761486154","0.140447917918033","1"
"Strong","2008","66 and older","Urban Area","994","0.376346907674463","0.358597699124576","0.39409611622435","1"
"Strong","2008","66 and older","Rural Area","495","0.345929661326125","0.321712116211611","0.370147206440638","1"
"A little","2009","16-34 y.","Urban Area","","","","","2"
"A little","2009","16-34 y.","Rural Area","","","","","2"
"A little","2009","35-65 y.","Urban Area","","","","","2"
"A little","2009","35-65 y.","Rural Area","","","","","2"
"A little","2009","66 and older","Urban Area","","","","","2"
"A little","2009","66 and older","Rural Area","","","","","2"
"Not at all","2009","16-34 y.","Urban Area","","","","","3"
"Not at all","2009","16-34 y.","Rural Area","","","","","3"
"Not at all","2009","35-65 y.","Urban Area","","","","","3"
"Not at all","2009","35-65 y.","Rural Area","","","","","3"
"Not at all","2009","66 and older","Urban Area","","","","","3"
"Not at all","2009","66 and older","Rural Area","","","","","3"
"Strong","2009","16-34 y.","Urban Area","","","","","1"
"Strong","2009","16-34 y.","Rural Area","","","","","1"
"Strong","2009","35-65 y.","Urban Area","","","","","1"
"Strong","2009","35-65 y.","Rural Area","","","","","1"
"Strong","2009","66 and older","Urban Area","","","","","1"
"Strong","2009","66 and older","Rural Area","","","","","1"
"A little","2010","16-34 y.","Urban Area","440","0.173700792971188","0.1585847193445","0.188816866597877","2"
"A little","2010","16-34 y.","Rural Area","277","0.238177834471709","0.213759372333407","0.262596296610012","2"
"A little","2010","35-65 y.","Urban Area","2226","0.401781336951788","0.389321166582934","0.414241507320641","2"
"A little","2010","35-65 y.","Rural Area","1368","0.45985325733439","0.442351382251465","0.477355132417316","2"
"A little","2010","66 and older","Urban Area","1261","0.467293006223656","0.448361114225158","0.486224898222154","2"
"A little","2010","66 and older","Rural Area","677","0.495234101721119","0.468835935647321","0.521632267794916","2"
"Not at all","2010","16-34 y.","Urban Area","1932","0.807778515913451","0.792056199140084","0.823500832686817","3"
"Not at all","2010","16-34 y.","Rural Area","871","0.735754561595637","0.71047840329685","0.761030719894423","3"
"Not at all","2010","35-65 y.","Urban Area","3056","0.467375286472319","0.454694603330589","0.48005596961405","3"
"Not at all","2010","35-65 y.","Rural Area","1360","0.3928643959233","0.375713640555644","0.410015151290956","3"
"Not at all","2010","66 and older","Urban Area","535","0.177565338681815","0.163064771890551","0.19206590547308","3"
"Not at all","2010","66 and older","Rural Area","236","0.158672295839745","0.139381211929474","0.177963379750016","3"
"Strong","2010","16-34 y.","Urban Area","41","0.018520691115361","0.0131412321551588","0.0239001500755631","1"
"Strong","2010","16-34 y.","Rural Area","21","","","","1"
"Strong","2010","35-65 y.","Urban Area","665","0.130843376575893","0.122272524190819","0.139414228960967","1"
"Strong","2010","35-65 y.","Rural Area","387","0.14728234674231","0.13483728543928","0.15972740804534","1"
"Strong","2010","66 and older","Urban Area","872","0.355141655094529","0.33698281318445","0.373300497004608","1"
"Strong","2010","66 and older","Rural Area","465","0.346093602439136","0.320976007000409","0.371211197877864","1"
"A little","2011","16-34 y.","Urban Area","","","","","2"
"A little","2011","16-34 y.","Rural Area","","","","","2"
"A little","2011","35-65 y.","Urban Area","","","","","2"
"A little","2011","35-65 y.","Rural Area","","","","","2"
"A little","2011","66 and older","Urban Area","","","","","2"
"A little","2011","66 and older","Rural Area","","","","","2"
"Not at all","2011","16-34 y.","Urban Area","","","","","3"
"Not at all","2011","16-34 y.","Rural Area","","","","","3"
"Not at all","2011","35-65 y.","Urban Area","","","","","3"
"Not at all","2011","35-65 y.","Rural Area","","","","","3"
"Not at all","2011","66 and older","Urban Area","","","","","3"
"Not at all","2011","66 and older","Rural Area","","","","","3"
"Strong","2011","16-34 y.","Urban Area","","","","","1"
"Strong","2011","16-34 y.","Rural Area","","","","","1"
"Strong","2011","35-65 y.","Urban Area","","","","","1"
"Strong","2011","35-65 y.","Rural Area","","","","","1"
"Strong","2011","66 and older","Urban Area","","","","","1"
"Strong","2011","66 and older","Rural Area","","","","","1"
"A little","2012","16-34 y.","Urban Area","524","0.18739507522153","0.173005178510334","0.201784971932725","2"
"A little","2012","16-34 y.","Rural Area","299","0.245185090064682","0.221915807601402","0.268454372527963","2"
"A little","2012","35-65 y.","Urban Area","2604","0.393987158839867","0.38258676173251","0.405387555947224","2"
"A little","2012","35-65 y.","Rural Area","1695","0.42510114799801","0.410024148346376","0.440178147649644","2"
"A little","2012","66 and older","Urban Area","1553","0.45351295719418","0.436739688722237","0.470286225666123","2"
"A little","2012","66 and older","Rural Area","851","0.464034809976555","0.441223232179447","0.486846387773663","2"
"Not at all","2012","16-34 y.","Urban Area","2244","0.791170178978565","0.776181268087031","0.806159089870098","3"
"Not at all","2012","16-34 y.","Rural Area","980","0.726926487817046","0.702827391189043","0.75102558444505","3"
"Not at all","2012","35-65 y.","Urban Area","3636","0.482498046667406","0.470839569976428","0.494156523358383","3"
"Not at all","2012","35-65 y.","Rural Area","1865","0.430446302304784","0.41534550445647","0.445547100153098","3"
"Not at all","2012","66 and older","Urban Area","777","0.205982437485128","0.192356604399088","0.219608270571167","3"
"Not at all","2012","66 and older","Rural Area","355","0.176201369823264","0.158774197503759","0.193628542142769","3"
"Strong","2012","16-34 y.","Urban Area","57","0.0214347457999055","0.0160941104099111","0.0267753811898998","1"
"Strong","2012","16-34 y.","Rural Area","34","0.0278884221182718","0.018982359231144","0.0367944850053996","1"
"Strong","2012","35-65 y.","Urban Area","817","0.123514794492727","0.115838178484725","0.131191410500729","1"
"Strong","2012","35-65 y.","Rural Area","570","0.144452549697206","0.133730996079469","0.155174103314943","1"
"Strong","2012","66 and older","Urban Area","1054","0.340504605320692","0.324538452108164","0.356470758533221","1"
"Strong","2012","66 and older","Rural Area","630","0.359763820200181","0.33781098576928","0.381716654631082","1"
"A little","2013","16-34 y.","Urban Area","","","","","2"
"A little","2013","16-34 y.","Rural Area","","","","","2"
"A little","2013","35-65 y.","Urban Area","","","","","2"
"A little","2013","35-65 y.","Rural Area","","","","","2"
"A little","2013","66 and older","Urban Area","","","","","2"
"A little","2013","66 and older","Rural Area","","","","","2"
"Not at all","2013","16-34 y.","Urban Area","","","","","3"
"Not at all","2013","16-34 y.","Rural Area","","","","","3"
"Not at all","2013","35-65 y.","Urban Area","","","","","3"
"Not at all","2013","35-65 y.","Rural Area","","","","","3"
"Not at all","2013","66 and older","Urban Area","","","","","3"
"Not at all","2013","66 and older","Rural Area","","","","","3"
"Strong","2013","16-34 y.","Urban Area","","","","","1"
"Strong","2013","16-34 y.","Rural Area","","","","","1"
"Strong","2013","35-65 y.","Urban Area","","","","","1"
"Strong","2013","35-65 y.","Rural Area","","","","","1"
"Strong","2013","66 and older","Urban Area","","","","","1"
"Strong","2013","66 and older","Rural Area","","","","","1"
"A little","2014","16-34 y.","Urban Area","799","0.167496124228471","0.156596701759073","0.178395546697869","2"
"A little","2014","16-34 y.","Rural Area","426","0.210296122261913","0.192698165413972","0.227894079109854","2"
"A little","2014","35-65 y.","Urban Area","3408","0.354422796489611","0.345100529574724","0.363745063404499","2"
"A little","2014","35-65 y.","Rural Area","2043","0.395531747398461","0.382577482040935","0.408486012755986","2"
"A little","2014","66 and older","Urban Area","1506","0.471085040297659","0.453870738537007","0.488299342058312","2"
"A little","2014","66 and older","Rural Area","870","0.506268184326517","0.482937113326634","0.529599255326401","2"
"Not at all","2014","16-34 y.","Urban Area","3560","0.802340584741285","0.79071683886054","0.81396433062203","3"
"Not at all","2014","16-34 y.","Rural Area","1567","0.757340810227678","0.738828588966751","0.775853031488605","3"
"Not at all","2014","35-65 y.","Urban Area","5525","0.510923099384692","0.501180990907941","0.520665207861442","3"
"Not at all","2014","35-65 y.","Rural Area","2757","0.465987475222048","0.452771530591284","0.479203419852812","3"
"Not at all","2014","66 and older","Urban Area","730","0.201365698516625","0.187535973147247","0.215195423886002","3"
"Not at all","2014","66 and older","Rural Area","322","0.166939458442631","0.149536760471975","0.184342156413286","3"
"Strong","2014","16-34 y.","Urban Area","150","0.0301632910302438","0.0251710373617903","0.0351555446986973","1"
"Strong","2014","16-34 y.","Rural Area","67","0.0323630675104087","0.0247212697762009","0.0400048652446165","1"
"Strong","2014","35-65 y.","Urban Area","1181","0.134654104125697","0.128001506094834","0.14130670215656","1"
"Strong","2014","35-65 y.","Rural Area","673","0.138480777379492","0.129329902876067","0.147631651882916","1"
"Strong","2014","66 and older","Urban Area","994","0.327549261185716","0.311364161467502","0.34373436090393","1"
"Strong","2014","66 and older","Rural Area","572","0.326792357230852","0.304904196710191","0.348680517751513","1"
"A little","2015","16-34 y.","Urban Area","","","","","2"
"A little","2015","16-34 y.","Rural Area","","","","","2"
"A little","2015","66 and older","Urban Area","","","","","2"
"A little","2015","66 and older","Rural Area","","","","","2"
"A little","2015","35-65 y.","Urban Area","","","","","2"
"A little","2015","35-65 y.","Rural Area","","","","","2"
"Not at all","2015","16-34 y.","Urban Area","","","","","3"
"Not at all","2015","16-34 y.","Rural Area","","","","","3"
"Not at all","2015","35-65 y.","Urban Area","","","","","3"
"Not at all","2015","35-65 y.","Rural Area","","","","","3"
"Not at all","2015","66 and older","Urban Area","","","","","3"
"Not at all","2015","66 and older","Rural Area","","","","","3"
"Strong","2015","16-34 y.","Urban Area","","","","","1"
"Strong","2015","16-34 y.","Rural Area","","","","","1"
"Strong","2015","66 and older","Rural Area","","","","","1"
"Strong","2015","35-65 y.","Urban Area","","","","","1"
"Strong","2015","35-65 y.","Rural Area","","","","","1"
"Strong","2015","66 and older","Urban Area","","","","","1"
"A little","2016","16-34 y.","Urban Area","1029","0.16885872729153","0.159017785552654","0.178699669030406","2"
"A little","2016","16-34 y.","Rural Area","534","0.219123235655149","0.203105762878054","0.235140708432244","2"
"A little","2016","66 and older","Urban Area","1474","0.476128444358785","0.458447423987717","0.493809464729853","2"
"A little","2016","66 and older","Rural Area","818","0.477483961150762","0.453939985424545","0.501027936876979","2"
"A little","2016","35-65 y.","Urban Area","3440","0.351953587211277","0.342719758869137","0.361187415553417","2"
"A little","2016","35-65 y.","Rural Area","2046","0.408545975679443","0.395510903066665","0.421581048292221","2"
"Not at all","2016","16-34 y.","Urban Area","4333","0.798128637905886","0.787584494980766","0.808672780831007","3"
"Not at all","2016","16-34 y.","Rural Area","1918","0.746841258975532","0.73000408718208","0.763678430768984","3"
"Not at all","2016","35-65 y.","Urban Area","5639","0.5161008195737","0.506438514160473","0.525763124986928","3"
"Not at all","2016","35-65 y.","Rural Area","2745","0.458903179762213","0.445689294996425","0.472117064528001","3"
"Not at all","2016","66 and older","Urban Area","702","0.2092672840916","0.194866094282755","0.223668473900445","3"
"Not at all","2016","66 and older","Rural Area","356","0.182636246155067","0.164424492464039","0.200847999846096","3"
"Strong","2016","16-34 y.","Urban Area","205","0.0330126348025839","0.0283192304263041","0.0377060391788638","1"
"Strong","2016","16-34 y.","Rural Area","110","0.0340355053693191","0.0270144045085763","0.0410566062300619","1"
"Strong","2016","66 and older","Rural Area","555","0.339879792694171","0.317553080173914","0.362206505214427","1"
"Strong","2016","35-65 y.","Urban Area","1197","0.131945593215023","0.125402140606963","0.138489045823083","1"
"Strong","2016","35-65 y.","Rural Area","672","0.132550844558344","0.123559062859079","0.141542626257608","1"
"Strong","2016","66 and older","Urban Area","889","0.314604271549615","0.298164875597371","0.331043667501859","1"
"A little","2017","16-34 y.","Urban Area","284","0.219949923654158","0.19808003198166","0.241819815326656","2"
"A little","2017","16-34 y.","Rural Area","88","0.109456546522661","0.0822263465669257","0.136686746478395","2"
"A little","2017","66 and older","Urban Area","7","","","","2"
"A little","2017","66 and older","Rural Area","1","","","","2"
"A little","2017","35-65 y.","Urban Area","257","0.367010255965047","0.331355540747153","0.402664971182941","2"
"A little","2017","35-65 y.","Rural Area","91","0.281736004947658","0.228568660579652","0.334903349315664","2"
"Not at all","2017","16-34 y.","Urban Area","1031","0.730178113104164","0.706742491606267","0.753613734602062","3"
"Not at all","2017","16-34 y.","Rural Area","391","0.84681875637662","0.815406406079669","0.87823110667357","3"
"Not at all","2017","35-65 y.","Urban Area","313","0.46332046889777","0.426433090197737","0.500207847597803","3"
"Not at all","2017","35-65 y.","Rural Area","142","0.587759309747279","0.529581558441579","0.645937061052979","3"
"Not at all","2017","66 and older","Urban Area","8","","","","3"
"Not at all","2017","66 and older","Rural Area","3","","","","3"
"Strong","2017","16-34 y.","Urban Area","63","0.0498719632416778","0.038378715149087","0.0613652113342687","1"
"Strong","2017","16-34 y.","Rural Area","26","","","","1"
"Strong","2017","66 and older","Rural Area","4","","","","1"
"Strong","2017","35-65 y.","Urban Area","132","0.169669275137183","0.141903698879264","0.197434851395102","1"
"Strong","2017","35-65 y.","Rural Area","42","0.130504685305063","0.0906913630597501","0.170318007550375","1"
"Strong","2017","66 and older","Urban Area","15","","","","1"
"A little","2018","16-34 y.","Urban Area","1086","0.180931299507205","0.171007828099266","0.190854770915144","2"
"A little","2018","16-34 y.","Rural Area","523","0.210237177416441","0.194277135402509","0.226197219430374","2"
"A little","2018","35-65 y.","Rural Area","2188","0.40303967151384","0.390437852671121","0.41564149035656","2"
"A little","2018","66 and older","Urban Area","1467","0.454915233146471","0.437707652126867","0.472122814166074","2"
"A little","2018","66 and older","Rural Area","947","0.50891619328388","0.486282040684316","0.531550345883443","2"
"A little","2018","35-65 y.","Urban Area","3700","0.354496726892068","0.345464920094756","0.363528533689381","2"
"Not at all","2018","16-34 y.","Urban Area","4459","0.785752363986545","0.775175730040709","0.796328997932381","3"
"Not at all","2018","16-34 y.","Rural Area","1875","0.746947796249849","0.729919111096993","0.763976481402704","3"
"Not at all","2018","35-65 y.","Urban Area","5736","0.521907136222118","0.512475825617055","0.53133844682718","3"
"Not at all","2018","35-65 y.","Rural Area","2885","0.465128642688882","0.452314256397678","0.477943028980086","3"
"Not at all","2018","66 and older","Urban Area","825","0.239765095674118","0.225011786516289","0.254518404831947","3"
"Not at all","2018","66 and older","Rural Area","365","0.179087574821116","0.161727785911275","0.196447363730957","3"
"Strong","2018","16-34 y.","Urban Area","236","0.0333163365062504","0.0286902109467759","0.0379424620657249","1"
"Strong","2018","16-34 y.","Rural Area","106","0.0428150263337096","0.0348858701463054","0.0507441825211139","1"
"Strong","2018","35-65 y.","Urban Area","1340","0.123596136885814","0.117382099101912","0.129810174669716","1"
"Strong","2018","35-65 y.","Rural Area","747","0.131831685797278","0.123140111096227","0.14052326049833","1"
"Strong","2018","66 and older","Urban Area","925","0.305319671179411","0.289405191128689","0.321234151230133","1"
"Strong","2018","66 and older","Rural Area","562","0.311996231895004","0.291019714786927","0.332972749003082","1"
"A little","2019","16-34 y.","Urban Area","18","","","","2"
"A little","2019","16-34 y.","Rural Area","5","","","","2"
"A little","2019","35-65 y.","Rural Area","15","","","","2"
"A little","2019","66 and older","Urban Area","1","","","","2"
"A little","2019","66 and older","Rural Area","1","","","","2"
"A little","2019","35-65 y.","Urban Area","19","","","","2"
"Not at all","2019","16-34 y.","Urban Area","71","0.672738680296708","0.580311217418525","0.765166143174892","3"
"Not at all","2019","16-34 y.","Rural Area","38","0.776681771372226","0.655000012825164","0.898363529919288","3"
"Not at all","2019","35-65 y.","Urban Area","35","0.575653415196044","0.460689958108275","0.690616872283814","3"
"Not at all","2019","35-65 y.","Rural Area","31","0.559501609672927","0.425847293185161","0.693155926160693","3"
"Not at all","2019","66 and older","Urban Area","","","","","3"
"Not at all","2019","66 and older","Rural Area","","","","","3"
"Strong","2019","16-34 y.","Urban Area","10","","","","1"
"Strong","2019","16-34 y.","Rural Area","2","","","","1"
"Strong","2019","66 and older","Urban Area","2","","","","1"
"Strong","2019","66 and older","Rural Area","2","","","","1"
"Strong","2019","35-65 y.","Urban Area","17","","","","1"
"Strong","2019","35-65 y.","Rural Area","7","","","","1"
