"ple0005","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"A little","2005","(0) in school","","","",""
"A little","2005","(1a) inadequately completed","","","",""
"A little","2005","(1b) general elementary school","","","",""
"A little","2005","(1c) basic vocational qualification","","","",""
"A little","2005","(2b) intermediate general qualification","","","",""
"A little","2005","(2a) intermediate vocational","","","",""
"A little","2005","(2c_gen) general maturity certificate","","","",""
"A little","2005","(2c_voc) vocational maturity certificate","","","",""
"A little","2005","(3a) lower tertiary education","","","",""
"A little","2005","(3b) higher tertiary education","","","",""
"Not at all","2005","(0) in school","","","",""
"Not at all","2005","(1a) inadequately completed","","","",""
"Not at all","2005","(1b) general elementary school","","","",""
"Not at all","2005","(1c) basic vocational qualification","","","",""
"Not at all","2005","(2b) intermediate general qualification","","","",""
"Not at all","2005","(2a) intermediate vocational","","","",""
"Not at all","2005","(2c_gen) general maturity certificate","","","",""
"Not at all","2005","(2c_voc) vocational maturity certificate","","","",""
"Not at all","2005","(3a) lower tertiary education","","","",""
"Not at all","2005","(3b) higher tertiary education","","","",""
"Strong","2006","(0) in school","9","","",""
"Strong","2006","(1a) inadequately completed","76","0.308178896253442","0.250003579225294","0.36635421328159"
"Strong","2006","(1b) general elementary school","541","0.296710382905768","0.27644561382478","0.316975151986756"
"Strong","2006","(1c) basic vocational qualification","1310","0.217777036660326","0.207485138939556","0.228068934381096"
"Strong","2006","(2b) intermediate general qualification","38","0.0765372424181531","0.0549937426624189","0.0980807421738873"
"Strong","2006","(2a) intermediate vocational","549","0.118611502476156","0.109801379476903","0.127421625475409"
"Strong","2006","(2c_gen) general maturity certificate","25","","",""
"Strong","2006","(2c_voc) vocational maturity certificate","144","0.0981814779460945","0.0837626221168152","0.112600333775374"
"Strong","2006","(3a) lower tertiary education","217","0.144741524373014","0.128519155246137","0.160963893499892"
"Strong","2006","(3b) higher tertiary education","220","0.0905351050342447","0.0798627165370686","0.101207493531421"
"A little","2006","(0) in school","43","0.0995416264313445","0.0704912211071129","0.128592031755576"
"A little","2006","(1a) inadequately completed","98","0.389496107599215","0.328058232370695","0.450933982827735"
"A little","2006","(1b) general elementary school","723","0.357063062177159","0.335807879802957","0.378318244551362"
"A little","2006","(1c) basic vocational qualification","2486","0.408397168844753","0.396140269426179","0.420654068263327"
"A little","2006","(2b) intermediate general qualification","134","0.232636615256273","0.198398509460913","0.266874721051634"
"A little","2006","(2a) intermediate vocational","1878","0.36207431515084","0.348978914743005","0.375169715558676"
"A little","2006","(2c_gen) general maturity certificate","149","0.179773749330756","0.153634037471601","0.205913461189911"
"A little","2006","(2c_voc) vocational maturity certificate","517","0.328658785084275","0.305897293459871","0.35142027670868"
"A little","2006","(3a) lower tertiary education","667","0.3547922907643","0.332732272079316","0.376852309449284"
