"ple0005","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence"
"A little","2006","16-34 y.","Full Time","447","0.20266218502072","0.185594920978918","0.219729449062522"
"A little","2006","16-34 y.","Part Time","321","0.237139734502634","0.215694019963111","0.258585449042156"
"A little","2006","16-34 y.","Not Working","240","0.168675298877371","0.149680737303233","0.18766986045151"
"A little","2006","35-65 y.","Full Time","2233","0.369418663205705","0.357444340107049","0.381392986304361"
"A little","2006","35-65 y.","Part Time","1270","0.397562952714866","0.380804460813765","0.414321444615967"
"A little","2006","35-65 y.","Not Working","1146","0.397775221143451","0.379937181693972","0.415613260592929"
"A little","2006","66 and older","Full Time","24","","",""
"A little","2006","66 and older","Part Time","109","0.418027783738144","0.354283995060961","0.481771572415328"
"A little","2006","66 and older","Not Working","1891","0.444001184318249","0.428946167305658","0.459056201330841"
"Not at all","2006","16-34 y.","Full Time","1650","0.784751518556553","0.767301636470007","0.802201400643099"
"Not at all","2006","16-34 y.","Part Time","1151","0.73912469065197","0.716983998039299","0.761265383264642"
"Not at all","2006","16-34 y.","Not Working","1225","0.809968193347062","0.790067632401069","0.829868754293054"
"Not at all","2006","35-65 y.","Full Time","3572","0.553907805811822","0.541575279395745","0.566240332227899"
"Not at all","2006","35-65 y.","Part Time","1690","0.489192779962858","0.472075108869689","0.506310451056026"
"Not at all","2006","35-65 y.","Not Working","1059","0.354394776986101","0.336961616802517","0.371827937169685"
"Not at all","2006","66 and older","Full Time","24","","",""
"Not at all","2006","66 and older","Part Time","76","0.31718245767422","0.257038626678448","0.377326288669992"
"Not at all","2006","66 and older","Not Working","738","0.154881182096602","0.143918660386721","0.165843703806483"
"Strong","2007","16-34 y.","Full Time","","","",""
"Strong","2007","16-34 y.","Part Time","","","",""
"Strong","2007","16-34 y.","Not Working","","","",""
"Strong","2007","35-65 y.","Full Time","","","",""
"Strong","2007","35-65 y.","Part Time","","","",""
"Strong","2007","35-65 y.","Not Working","","","",""
"Strong","2007","66 and older","Full Time","","","",""
"Strong","2007","66 and older","Part Time","","","",""
"Strong","2007","66 and older","Not Working","","","",""
"A little","2007","16-34 y.","Full Time","","","",""
