"ple0005","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"Strong","2010","Employed","674","0.0736027010727958","0.0685706000493531","0.0786348020962384","1"
"A little","2011","Not Employed","","","","","2"
"A little","2011","Employed","","","","","2"
"Not at all","2011","Not Employed","","","","","3"
"Not at all","2011","Employed","","","","","3"
"Strong","2011","Not Employed","","","","","1"
"Strong","2011","Employed","","","","","1"
"A little","2012","Not Employed","3291","0.411766707335751","0.401014329364793","0.422519085306709","2"
"A little","2012","Employed","4235","0.34925222199173","0.340893860655885","0.357610583327575","2"
"Not at all","2012","Not Employed","2488","0.278907716360313","0.269109888699126","0.2887055440215","3"
"Not at all","2012","Employed","7369","0.579314911403824","0.570659631462887","0.587970191344761","3"
"Strong","2012","Not Employed","2269","0.309325576303936","0.299227266050574","0.319423886557297","1"
"Strong","2012","Employed","893","0.0714328666044462","0.0669174180423821","0.0759483151665103","1"
"A little","2013","Not Employed","","","","","2"
"A little","2013","Employed","","","","","2"
"Not at all","2013","Not Employed","","","","","3"
"Not at all","2013","Employed","","","","","3"
"Strong","2013","Not Employed","","","","","1"
"Strong","2013","Employed","","","","","1"
"A little","2014","Not Employed","3558","0.407674055564695","0.397722642678714","0.417625468450677","2"
"A little","2014","Employed","5494","0.318041658218972","0.311196767728213","0.324886548709731","2"
"Not at all","2014","Not Employed","3441","0.296445507397831","0.287197053463365","0.305693961332296","3"
"Not at all","2014","Employed","11020","0.60668489687437","0.59950534264415","0.613864451104589","3"
"Strong","2014","Not Employed","2368","0.295880437037474","0.286637092058289","0.305123782016659","1"
"Strong","2014","Employed","1269","0.0752734449066584","0.0713957544531079","0.079151135360209","1"
"A little","2015","Not Employed","","","","","2"
"A little","2015","Employed","","","","","2"
"Not at all","2015","Not Employed","","","","","3"
"Not at all","2015","Employed","","","","","3"
"Strong","2015","Not Employed","","","","","1"
"Strong","2015","Employed","","","","","1"
"A little","2016","Not Employed","4295","0.392049306871813","0.383493203158542","0.400605410585084","2"
"A little","2016","Employed","5040","0.328060731341114","0.320816051458613","0.335305411223615","2"
"Not at all","2016","Not Employed","5699","0.314696118645273","0.30655734809171","0.322834889198836","3"
"Not at all","2016","Employed","9981","0.597403797574153","0.589836411503939","0.604971183644367","3"
"Strong","2016","Not Employed","2513","0.293254574482914","0.285275997920641","0.301233151045187","1"
"Strong","2016","Employed","1113","0.0745354710847332","0.0704828270972127","0.0785881150722537","1"
"A little","2017","Not Employed","728","0.22823184665781","0.212951597023869","0.24351209629175","2"
"A little","2017","Employed","","","","","2"
"Not at all","2017","Not Employed","1888","0.690952724802413","0.674128482020585","0.707776967584242","3"
"Not at all","2017","Employed","","","","","3"
"Strong","2017","Not Employed","282","0.080815428539777","0.0708923277257885","0.0907385293537655","1"
"Strong","2017","Employed","","","","","1"
"A little","2018","Not Employed","4283","0.403906204957515","0.395124807550453","0.412687602364576","2"
"A little","2018","Employed","5628","0.325885303873276","0.319033945439848","0.332736662306705","2"
"Not at all","2018","Not Employed","5080","0.306463349138033","0.298212663335341","0.314714034940724","3"
"Not at all","2018","Employed","11065","0.599323680829476","0.592160515751378","0.606486845907573","3"
"Strong","2018","Not Employed","2631","0.289630445904453","0.281512795480995","0.29774809632791","1"
"Strong","2018","Employed","1285","0.0747910152972481","0.0709457878098395","0.0786362427846567","1"
"A little","2019","Not Employed","60","0.191661430763566","0.145392474088513","0.237930387438619","2"
"A little","2019","Employed","","","","","2"
"Not at all","2019","Not Employed","178","0.641247098579621","0.584865665464068","0.697628531695175","3"
"Not at all","2019","Employed","","","","","3"
"Strong","2019","Not Employed","40","0.167091470656813","0.123238250573258","0.210944690740367","1"
"Strong","2019","Employed","","","","","1"
