"ple0005","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Strong","2006","no migration background","2705","0.16571716258754","0.160403498547932","0.171030826627147","1"
"Strong","2006","direct migration background","405","0.176408143495888","0.161113892682575","0.1917023943092","1"
"Strong","2006","indirect migration background","41","0.0447857661709653","0.0306377056384909","0.0589338267034396","1"
"A little","2007","direct migration background","","","","","2"
"A little","2007","no migration background","","","","","2"
"A little","2007","indirect migration background","","","","","2"
"Not at all","2007","indirect migration background","","","","","3"
"Not at all","2007","direct migration background","","","","","3"
"Not at all","2007","no migration background","","","","","3"
"Strong","2007","no migration background","","","","","1"
"Strong","2007","direct migration background","","","","","1"
"Strong","2007","indirect migration background","","","","","1"
"A little","2008","direct migration background","664","0.362409722542525","0.340857676283015","0.383961768802035","2"
"A little","2008","no migration background","5985","0.37090515564732","0.363576970884153","0.378233340410486","2"
"A little","2008","indirect migration background","159","0.205692345687898","0.177179347919511","0.234205343456285","2"
"Not at all","2008","indirect migration background","578","0.736923995430187","0.705864713664027","0.767983277196347","3"
"Not at all","2008","direct migration background","909","0.458147217145173","0.43580836117374","0.480486073116605","3"
"Not at all","2008","no migration background","8315","0.466985083789641","0.459416265163905","0.474553902415377","3"
"Strong","2008","no migration background","2391","0.162109760563039","0.156518560140348","0.16770096098573","1"
"Strong","2008","direct migration background","338","0.179443060312303","0.162238822285518","0.196647298339087","1"
"Strong","2008","indirect migration background","35","0.0573836588819152","0.0409777218203459","0.0737895959434845","1"
"A little","2009","no migration background","","","","","2"
"A little","2009","direct migration background","","","","","2"
"A little","2009","indirect migration background","","","","","2"
"Not at all","2009","indirect migration background","","","","","3"
"Not at all","2009","direct migration background","","","","","3"
"Not at all","2009","no migration background","","","","","3"
"Strong","2009","no migration background","","","","","1"
"Strong","2009","direct migration background","","","","","1"
"Strong","2009","indirect migration background","","","","","1"
"A little","2010","no migration background","5558","0.397297677188233","0.389349602570511","0.405245751805955","2"
"A little","2010","direct migration background","544","0.355703528300912","0.331264366181447","0.380142690420377","2"
"A little","2010","indirect migration background","147","0.223132807806806","0.191248092262117","0.255017523351495","2"
"Not at all","2010","direct migration background","667","0.44661499464914","0.421235691526068","0.471994297772212","3"
"Not at all","2010","indirect migration background","484","0.745712810854786","0.712364373872943","0.779061247836629","3"
"Not at all","2010","no migration background","6839","0.43201696964145","0.423971144804555","0.440062794478346","3"
"Strong","2010","no migration background","2164","0.170685353170317","0.164574381287786","0.176796325052848","1"
"Strong","2010","direct migration background","263","0.197681477049948","0.177350617163951","0.218012336935944","1"
"Strong","2010","indirect migration background","24","","","","1"
"A little","2011","no migration background","","","","","2"
"A little","2011","direct migration background","","","","","2"
"A little","2011","indirect migration background","","","","","2"
"Not at all","2011","no migration background","","","","","3"
"Not at all","2011","direct migration background","","","","","3"
"Not at all","2011","indirect migration background","","","","","3"
"Strong","2011","indirect migration background","","","","","1"
"Strong","2011","no migration background","","","","","1"
"Strong","2011","direct migration background","","","","","1"
"A little","2012","no migration background","6614","0.379967849007095","0.372838372666709","0.38709732534748","2"
"A little","2012","direct migration background","718","0.373865348769575","0.352363303832051","0.395367393707099","2"
"A little","2012","indirect migration background","194","0.238975141664953","0.209330902254886","0.268619381075019","2"
"Not at all","2012","no migration background","8380","0.449150876940017","0.441844710539788","0.456457043340247","3"
"Not at all","2012","direct migration background","925","0.476738949874235","0.454542280652128","0.498935619096341","3"
"Not at all","2012","indirect migration background","552","0.69783773426255","0.665917809018483","0.729757659506618","3"
"Strong","2012","indirect migration background","49","0.0631871240724972","0.0462747238714245","0.0800995242735699","1"
"Strong","2012","direct migration background","302","0.149395701356191","0.133553295846676","0.165238106865705","1"
"Strong","2012","no migration background","2811","0.170881274052888","0.165352450874192","0.176410097231584","1"
"A little","2013","no migration background","","","","","2"
"A little","2013","indirect migration background","","","","","2"
"A little","2013","direct migration background","","","","","2"
"Not at all","2013","no migration background","","","","","3"
"Not at all","2013","direct migration background","","","","","3"
"Not at all","2013","indirect migration background","","","","","3"
"Strong","2013","indirect migration background","","","","","1"
"Strong","2013","direct migration background","","","","","1"
"Strong","2013","no migration background","","","","","1"
"A little","2014","no migration background","7207","0.368924114718646","0.362275888309738","0.375572341127554","2"
"A little","2014","indirect migration background","354","0.197152586027369","0.178716842141485","0.215588329913253","2"
"A little","2014","direct migration background","1491","0.308244753368459","0.295603711563719","0.3208857951732","2"
"Not at all","2014","no migration background","10166","0.467875582837193","0.461000652989183","0.474750512685203","3"
"Not at all","2014","direct migration background","2958","0.527876114485706","0.514209756834882","0.541542472136529","3"
"Not at all","2014","indirect migration background","1337","0.742171711261212","0.721901400719874","0.76244202180255","3"
"Strong","2014","indirect migration background","98","0.060675702711419","0.0496130798687584","0.0717383255540795","1"
"Strong","2014","direct migration background","677","0.163879132145835","0.153745733008099","0.174012531283571","1"
"Strong","2014","no migration background","2862","0.163200302444161","0.158108544805884","0.168292060082437","1"
"A little","2015","no migration background","","","","","2"
"A little","2015","indirect migration background","","","","","2"
"A little","2015","direct migration background","","","","","2"
"Not at all","2015","no migration background","","","","","3"
"Not at all","2015","direct migration background","","","","","3"
"Not at all","2015","indirect migration background","","","","","3"
"Strong","2015","indirect migration background","","","","","1"
"Strong","2015","direct migration background","","","","","1"
"Strong","2015","no migration background","","","","","1"
"A little","2016","no migration background","6517","0.370489356612184","0.363416386392772","0.377562326831595","2"
"A little","2016","indirect migration background","347","0.212658868692314","0.192281617377527","0.233036120007101","2"
"A little","2016","direct migration background","2478","0.302408242368233","0.293025416059837","0.311791068676628","2"
"Not at all","2016","no migration background","8832","0.467244925092611","0.459937766773239","0.474552083411983","3"
"Not at all","2016","direct migration background","5750","0.547866455159165","0.53769912527995","0.558033785038379","3"
"Not at all","2016","indirect migration background","1111","0.731449594331012","0.70937831586188","0.753520872800144","3"
"Strong","2016","indirect migration background","91","0.0558915369766742","0.0444520551219682","0.0673310188313802","1"
"Strong","2016","direct migration background","977","0.149725302472603","0.142436378473212","0.157014226471993","1"
"Strong","2016","no migration background","2560","0.162265718295205","0.156865902373739","0.167665534216671","1"
"A little","2017","indirect migration background","","","","","2"
"A little","2017","direct migration background","728","0.22823184665781","0.212951597023869","0.24351209629175","2"
"A little","2017","no migration background","","","","","2"
"Not at all","2017","no migration background","","","","","3"
"Not at all","2017","direct migration background","1888","0.690952724802413","0.674128482020585","0.707776967584242","3"
"Not at all","2017","indirect migration background","","","","","3"
"Strong","2017","indirect migration background","","","","","1"
"Strong","2017","direct migration background","282","0.080815428539777","0.0708923277257885","0.0907385293537655","1"
"Strong","2017","no migration background","","","","","1"
"A little","2018","indirect migration background","404","0.221182293543315","0.201441148700953","0.240923438385676","2"
"A little","2018","direct migration background","2554","0.329387471723241","0.319497895342909","0.339277048103573","2"
"A little","2018","no migration background","6953","0.36806041208677","0.361308301451971","0.374812522721569","2"
"Not at all","2018","no migration background","9912","0.472813978801155","0.465824105377383","0.479803852224927","3"
"Not at all","2018","direct migration background","5037","0.526364885584573","0.515858490687224","0.536871280481922","3"
"Not at all","2018","indirect migration background","1196","0.729806403396773","0.70868510515493","0.750927701638617","3"
"Strong","2018","indirect migration background","98","0.0490113030599119","0.038742612893541","0.0592799932262828","1"
"Strong","2018","direct migration background","1085","0.144247642692186","0.136854710315318","0.151640575069054","1"
"Strong","2018","no migration background","2733","0.159125609112075","0.154004337414713","0.164246880809437","1"
"A little","2019","indirect migration background","","","","","2"
"A little","2019","direct migration background","60","0.191661430763566","0.145392474088513","0.237930387438619","2"
"A little","2019","no migration background","","","","","2"
"Not at all","2019","no migration background","","","","","3"
"Not at all","2019","direct migration background","178","0.641247098579621","0.584865665464068","0.697628531695175","3"
"Not at all","2019","indirect migration background","","","","","3"
"Strong","2019","indirect migration background","","","","","1"
"Strong","2019","direct migration background","40","0.167091470656813","0.123238250573258","0.210944690740367","1"
"Strong","2019","no migration background","","","","","1"
