"ple0005","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"A little","2010","indirect migration background","Urban Area","118","0.219827971036159","0.185374081015955","0.254281861056363"
"A little","2010","indirect migration background","Rural Area","29","","",""
"Not at all","2010","no migration background","Urban Area","4549","0.45084045922565","0.4407168630928","0.4609640553585"
"Not at all","2010","no migration background","Rural Area","2290","0.394414892963139","0.38123371410676","0.407596071819518"
"Not at all","2010","direct migration background","Urban Area","554","0.451569824055575","0.423330714591306","0.479808933519845"
"Not at all","2010","direct migration background","Rural Area","113","0.428176834607867","0.370322302274494","0.48603136694124"
"Not at all","2010","indirect migration background","Urban Area","420","0.761757343656353","0.726315224147687","0.797199463165019"
"Not at all","2010","indirect migration background","Rural Area","64","0.660046178590558","0.567204023005786","0.752888334175331"
"Strong","2011","no migration background","Urban Area","","","",""
"Strong","2011","no migration background","Rural Area","","","",""
"Strong","2011","direct migration background","Urban Area","","","",""
"Strong","2011","direct migration background","Rural Area","","","",""
"Strong","2011","indirect migration background","Urban Area","","","",""
"Strong","2011","indirect migration background","Rural Area","","","",""
"A little","2011","no migration background","Urban Area","","","",""
"A little","2011","no migration background","Rural Area","","","",""
"A little","2011","direct migration background","Urban Area","","","",""
"A little","2011","direct migration background","Rural Area","","","",""
"A little","2011","indirect migration background","Urban Area","","","",""
"A little","2011","indirect migration background","Rural Area","","","",""
"Not at all","2011","no migration background","Urban Area","","","",""
"Not at all","2011","no migration background","Rural Area","","","",""
"Not at all","2011","direct migration background","Urban Area","","","",""
"Not at all","2011","direct migration background","Rural Area","","","",""
"Not at all","2011","indirect migration background","Urban Area","","","",""
"Not at all","2011","indirect migration background","Rural Area","","","",""
"Strong","2012","no migration background","Urban Area","1683","0.166331086695448","0.159417378340955","0.173244795049942"
"Strong","2012","no migration background","Rural Area","1128","0.179761017713933","0.170539628860146","0.18898240656772"
"Strong","2012","direct migration background","Urban Area","208","0.145309777987586","0.127318950605482","0.16330060536969"
"Strong","2012","direct migration background","Rural Area","94","0.162693020977027","0.129360784465405","0.196025257488649"
"Strong","2012","indirect migration background","Urban Area","37","0.0530519240780072","0.0357945687704038","0.0703092793856107"
"Strong","2012","indirect migration background","Rural Area","12","","",""
"A little","2012","no migration background","Urban Area","3989","0.367802544354163","0.358849695022949","0.376755393685377"
"A little","2012","no migration background","Rural Area","2625","0.403708582825436","0.39192596898103","0.415491196669842"
"A little","2012","direct migration background","Urban Area","543","0.369835628807843","0.345190525359133","0.394480732256554"
"A little","2012","direct migration background","Rural Area","175","0.386979758776708","0.342993282783746","0.430966234769669"
"A little","2012","indirect migration background","Urban Area","149","0.236069292388622","0.203372336527402","0.268766248249841"
"A little","2012","indirect migration background","Rural Area","45","0.252226564857492","0.182021272447728","0.322431857267256"
"Not at all","2012","no migration background","Urban Area","5472","0.465866368950389","0.456604829499951","0.475127908400826"
"Not at all","2012","no migration background","Rural Area","2908","0.41653039946063","0.404691513356333","0.428369285564928"
"Not at all","2012","direct migration background","Urban Area","723","0.484854593204571","0.459341094256833","0.510368092152309"
"Not at all","2012","direct migration background","Rural Area","202","0.450327220246265","0.405395416598817","0.495259023893714"
"Not at all","2012","indirect migration background","Urban Area","462","0.710878783533371","0.675972923275611","0.745784643791131"
"Not at all","2012","indirect migration background","Rural Area","90","0.638367181481295","0.560696231378235","0.716038131584355"
"Strong","2013","no migration background","Urban Area","","","",""
"Strong","2013","no migration background","Rural Area","","","",""
"Strong","2013","direct migration background","Urban Area","","","",""
"Strong","2013","direct migration background","Rural Area","","","",""
"Strong","2013","indirect migration background","Urban Area","","","",""
"Strong","2013","indirect migration background","Rural Area","","","",""
"A little","2013","no migration background","Urban Area","","","",""
"A little","2013","no migration background","Rural Area","","","",""
"A little","2013","direct migration background","Urban Area","","","",""
"A little","2013","direct migration background","Rural Area","","","",""
"A little","2013","indirect migration background","Urban Area","","","",""
"A little","2013","indirect migration background","Rural Area","","","",""
"Not at all","2013","no migration background","Urban Area","","","",""
"Not at all","2013","no migration background","Rural Area","","","",""
"Not at all","2013","direct migration background","Urban Area","","","",""
"Not at all","2013","direct migration background","Rural Area","","","",""
"Not at all","2013","indirect migration background","Urban Area","","","",""
"Not at all","2013","indirect migration background","Rural Area","","","",""
"Strong","2014","no migration background","Urban Area","1734","0.162069521924629","0.155618835256165","0.168520208593092"
"Strong","2014","no migration background","Rural Area","1128","0.165344364830632","0.157045713812789","0.173643015848475"
"Strong","2014","direct migration background","Urban Area","507","0.166880151853634","0.15510514860781","0.178655155099457"
"Strong","2014","direct migration background","Rural Area","170","0.152737906960781","0.132984333007227","0.172491480914336"
"Strong","2014","indirect migration background","Urban Area","84","0.0585838222920727","0.0465540548110576","0.0706135897730878"
"Strong","2014","indirect migration background","Rural Area","14","","",""
"A little","2014","no migration background","Urban Area","4304","0.354926284349491","0.346550508765848","0.363302059933134"
"A little","2014","no migration background","Rural Area","2903","0.395465270202223","0.384542722745903","0.406387817658543"
"A little","2014","direct migration background","Urban Area","1119","0.307524237914608","0.292951306676172","0.322097169153045"
"A little","2014","direct migration background","Rural Area","372","0.31091965247019","0.285502763261352","0.336336541679028"
"A little","2014","indirect migration background","Urban Area","290","0.186757516833946","0.166794479132613","0.206720554535279"
"A little","2014","indirect migration background","Rural Area","64","0.247429782624931","0.200515410215575","0.294344155034288"
"Not at all","2014","no migration background","Urban Area","6499","0.48300419372588","0.474256969910101","0.49175141754166"
"Not at all","2014","no migration background","Rural Area","3667","0.439190364967145","0.428103895306847","0.450276834627443"
"Not at all","2014","direct migration background","Urban Area","2226","0.525595610231758","0.509826573457803","0.541364647005713"
"Not at all","2014","direct migration background","Rural Area","732","0.536342440569029","0.508959307846141","0.563725573291916"
"Not at all","2014","indirect migration background","Urban Area","1090","0.754658660873981","0.732617310478853","0.776700011269109"
"Not at all","2014","indirect migration background","Rural Area","247","0.681776844338895","0.631136876285281","0.732416812392508"
"Strong","2015","no migration background","Urban Area","","","",""
"Strong","2015","no migration background","Rural Area","","","",""
"Strong","2015","direct migration background","Urban Area","","","",""
"Strong","2015","direct migration background","Rural Area","","","",""
"Strong","2015","indirect migration background","Urban Area","","","",""
"Strong","2015","indirect migration background","Rural Area","","","",""
"A little","2015","no migration background","Urban Area","","","",""
"A little","2015","no migration background","Rural Area","","","",""
"A little","2015","direct migration background","Urban Area","","","",""
"A little","2015","direct migration background","Rural Area","","","",""
"A little","2015","indirect migration background","Urban Area","","","",""
"A little","2015","indirect migration background","Rural Area","","","",""
"Not at all","2015","no migration background","Urban Area","","","",""
"Not at all","2015","no migration background","Rural Area","","","",""
"Not at all","2015","direct migration background","Urban Area","","","",""
"Not at all","2015","direct migration background","Rural Area","","","",""
"Not at all","2015","indirect migration background","Urban Area","","","",""
"Not at all","2015","indirect migration background","Rural Area","","","",""
"Strong","2016","no migration background","Urban Area","1518","0.159569479295575","0.152754123075721","0.166384835515428"
"Strong","2016","no migration background","Rural Area","1042","0.167457254450929","0.158594374918676","0.176320133983183"
"Strong","2016","direct migration background","Urban Area","701","0.150590655656038","0.141946457418377","0.159234853893699"
"Strong","2016","direct migration background","Rural Area","276","0.146585627146668","0.13306557181219","0.160105682481145"
"Strong","2016","indirect migration background","Urban Area","72","0.0579625007490736","0.04496694233189","0.0709580591662572"
"Strong","2016","indirect migration background","Rural Area","19","","",""
"A little","2016","no migration background","Urban Area","3894","0.353756919415289","0.344858494031801","0.362655344798777"
"A little","2016","no migration background","Rural Area","2623","0.402707217377848","0.391065744447147","0.414348690308549"
"A little","2016","direct migration background","Urban Area","1773","0.308500148094644","0.29733689110151","0.319663405087779"
"A little","2016","direct migration background","Rural Area","705","0.280305583635059","0.263136673041164","0.297474494228954"
"A little","2016","indirect migration background","Urban Area","277","0.202594194561774","0.180240954211986","0.224947434911562"
"A little","2016","indirect migration background","Rural Area","70","0.263513643026691","0.214234538335922","0.312792747717459"
"Not at all","2016","no migration background","Urban Area","5679","0.486673601289137","0.477371556363764","0.495975646214509"
"Not at all","2016","no migration background","Rural Area","3153","0.429835528171223","0.418084636482952","0.441586419859494"
"Not at all","2016","direct migration background","Urban Area","4102","0.540909196249318","0.528864976575547","0.552953415923089"
"Not at all","2016","direct migration background","Rural Area","1648","0.573108789218274","0.554201470764889","0.592016107671659"
"Not at all","2016","indirect migration background","Urban Area","893","0.739443304689152","0.715032007820222","0.763854601558082"
"Not at all","2016","indirect migration background","Rural Area","218","0.691058983459262","0.639372825871961","0.742745141046563"
"Strong","2017","no migration background","Urban Area","","","",""
"Strong","2017","no migration background","Rural Area","","","",""
"Strong","2017","direct migration background","Urban Area","210","0.0843017609112464","0.0724467658863183","0.0961567559361745"
"Strong","2017","direct migration background","Rural Area","72","0.0712957539403965","0.0533295828615553","0.0892619250192377"
"Strong","2017","indirect migration background","Urban Area","","","",""
"Strong","2017","indirect migration background","Rural Area","","","",""
"A little","2017","no migration background","Urban Area","","","",""
"A little","2017","no migration background","Rural Area","","","",""
"A little","2017","direct migration background","Urban Area","548","0.255929762202558","0.237309995863781","0.274549528541334"
"A little","2017","direct migration background","Rural Area","180","0.152600749283122","0.127493024869055","0.17770847369719"
"A little","2017","indirect migration background","Urban Area","","","",""
"A little","2017","indirect migration background","Rural Area","","","",""
"Not at all","2017","no migration background","Urban Area","","","",""
"Not at all","2017","no migration background","Rural Area","","","",""
"Not at all","2017","direct migration background","Urban Area","1352","0.659768476886196","0.639552724064493","0.679984229707899"
"Not at all","2017","direct migration background","Rural Area","536","0.776103496776481","0.746998439531277","0.805208554021685"
"Not at all","2017","indirect migration background","Urban Area","","","",""
"Not at all","2017","indirect migration background","Rural Area","","","",""
"Strong","2018","no migration background","Urban Area","1612","0.15464519515739","0.148180383760182","0.161110006554598"
"Strong","2018","no migration background","Rural Area","1121","0.167515969637895","0.159110301024461","0.175921638251328"
"Strong","2018","direct migration background","Urban Area","814","0.147123754134594","0.138429660944771","0.155817847324416"
"Strong","2018","direct migration background","Rural Area","271","0.132985345932764","0.11910521004254","0.146865481822988"
"Strong","2018","indirect migration background","Urban Area","75","0.0504917445007353","0.0389436371549832","0.0620398518464874"
"Strong","2018","indirect migration background","Rural Area","23","","",""
"A little","2018","no migration background","Urban Area","4075","0.352208135074145","0.343667590425083","0.360748679723207"
"A little","2018","no migration background","Rural Area","2878","0.397746579623145","0.386729941968724","0.408763217277566"
"A little","2018","direct migration background","Urban Area","1847","0.317229241234246","0.305806668153015","0.328651814315476"
"A little","2018","direct migration background","Rural Area","707","0.376996753414324","0.357186384397552","0.396807122431096"
"A little","2018","indirect migration background","Urban Area","331","0.217659332234093","0.195895375636191","0.239423288831995"
"A little","2018","indirect migration background","Rural Area","73","0.240761107970649","0.193695805951858","0.28782640998944"
"Not at all","2018","no migration background","Urban Area","6329","0.493146669768465","0.484207496903895","0.502085842633035"
"Not at all","2018","no migration background","Rural Area","3583","0.434737450738961","0.42357923293113","0.445895668546791"
"Not at all","2018","direct migration background","Urban Area","3716","0.535647004631161","0.523406386527791","0.547887622734531"
"Not at all","2018","direct migration background","Rural Area","1321","0.490017900652912","0.469583493412095","0.51045230789373"
"Not at all","2018","indirect migration background","Urban Area","975","0.731848923265172","0.708484678707865","0.755213167822478"
"Not at all","2018","indirect migration background","Rural Area","221","0.718455124186628","0.668945218735741","0.767965029637516"
"Strong","2019","no migration background","Urban Area","","","",""
"Strong","2019","no migration background","Rural Area","","","",""
"Strong","2019","direct migration background","Urban Area","29","","",""
"Strong","2019","direct migration background","Rural Area","11","","",""
"Strong","2019","indirect migration background","Urban Area","","","",""
"Strong","2019","indirect migration background","Rural Area","","","",""
"A little","2019","no migration background","Urban Area","","","",""
"A little","2019","no migration background","Rural Area","","","",""
"A little","2019","direct migration background","Urban Area","38","0.171488229130977","0.115319895621039","0.227656562640914"
"A little","2019","direct migration background","Rural Area","21","","",""
"A little","2019","indirect migration background","Urban Area","","","",""
"A little","2019","indirect migration background","Rural Area","","","",""
"Not at all","2019","no migration background","Urban Area","","","",""
"Not at all","2019","no migration background","Rural Area","","","",""
"Not at all","2019","direct migration background","Urban Area","106","0.627181921942756","0.555125899184462","0.699237944701049"
"Not at all","2019","direct migration background","Rural Area","69","0.671016613461545","0.579385909307422","0.762647317615669"
"Not at all","2019","indirect migration background","Urban Area","","","",""
"Not at all","2019","indirect migration background","Rural Area","","","",""
