"plh0204_h","year","n","percent","lower_confidence","upper_confidence"
"2","2008","2369","0.122873954911824","0.118253004503735","0.127494905319913"
"3","2008","2919","0.146720961121349","0.141740586563093","0.151701335679604"
"4","2008","2191","0.111143727429529","0.10671958973473","0.115567865124329"
"5","2008","3847","0.20118504095122","0.195542284276781","0.20682779762566"
"6","2008","2031","0.103027366764634","0.0987484259236684","0.1073063076056"
"7","2008","2070","0.104785451899901","0.100474388133676","0.109096515666127"
"8","2008","1426","0.0689744626401971","0.0654075264080395","0.0725413988723547"
"9","2008","385","0.0214414744942383","0.0194025970936327","0.023480351894844"
"10 Very willing to take risks","2008","229","0.0127052750239317","0.0111288045933486","0.0142817454545147"
"0 Not at all Willing to take risks","2009","1622","0.0986328890906779","0.0942829492625649","0.102982828918791"
"1","2009","1353","0.0761449191264516","0.0722755166147213","0.0800143216381818"
"2","2009","2627","0.139128689581693","0.134079763840543","0.144177615322844"
"3","2009","2958","0.154462354572562","0.149190064237004","0.15973464490812"
"4","2009","2083","0.112594781619656","0.107983287712815","0.117206275526497"
"5","2009","3664","0.20749296011803","0.201577006421749","0.213408913814311"
"6","2009","1654","0.0934034252776131","0.089158109918223","0.0976487406370033"
"7","2009","1324","0.0721206089467012","0.0683466517042877","0.0758945661891148"
"8","2009","601","0.0351603872245961","0.0324733362450524","0.0378474382041397"
"9","2009","100","0.00671299094150163","0.00552170250325362","0.00790427937974963"
"10 Very willing to take risks","2009","63","0.00414599350051693","0.00320857468882754","0.00508341231220633"
"0 Not at all Willing to take risks","2010","1392","0.0659159772501051","0.0627758413585737","0.0690561131416365"
"1","2010","1241","0.0595587193409511","0.0565637068295558","0.0625537318523464"
"2","2010","2888","0.125370769346664","0.121180226719565","0.129561311973764"
"3","2010","3567","0.153581579364972","0.149018875932611","0.158144282797334"
"4","2010","2365","0.0973943303060829","0.0936422166095459","0.10114644400262"
"5","2010","4973","0.201400610249276","0.196325388744268","0.206475831754285"
"6","2010","2564","0.101265472633401","0.0974477310025262","0.105083214264276"
"7","2010","2572","0.102635163360178","0.0987946194383135","0.106475707282042"
"8","2010","1714","0.0653826451309024","0.0622543459045063","0.0685109443572985"
"9","2010","373","0.0148576815209131","0.0133266464693673","0.0163887165724589"
"10 Very willing to take risks","2010","338","0.0126370514965533","0.0112234681696056","0.0140506348235011"
"0 Not at all Willing to take risks","2011","1022","0.0534012836285229","0.050345980189919","0.0564565870671268"
"1","2011","1049","0.0523213496229896","0.0492953730429451","0.0553473262030342"
"2","2011","2222","0.108565377904173","0.104337855012372","0.112792900795975"
"3","2011","2791","0.131265276689738","0.126676318884229","0.135854234495247"
"4","2011","2201","0.101363553756229","0.0972621882612604","0.105464919251197"
"5","2011","4695","0.223892955224317","0.218228259693045","0.229557650755589"
"6","2011","2383","0.111374342851948","0.107099230364098","0.115649455339797"
"7","2011","2397","0.116255951479765","0.111900166895746","0.120611736063785"
"8","2011","1505","0.0749563471396101","0.0713780132157305","0.0785346810634898"
"9","2011","325","0.0159618931151148","0.0142587791793794","0.0176650070508501"
"10 Very willing to take risks","2011","212","0.0106416685875919","0.00924730119736167","0.0120360359778222"
"0 Not at all Willing to take risks","2012","982","0.0409062490229282","0.0385721678117871","0.0432403302340693"
"1","2012","1017","0.0396184272646928","0.0373198393025068","0.0419170152268787"
"2","2012","2574","0.0941457097143516","0.090704429458991","0.0975869899697121"
"3","2012","3490","0.121021406640389","0.117178048546593","0.124864764734186"
"4","2012","2836","0.102119055106444","0.0985508207180448","0.105687289494843"
"5","2012","6272","0.22771856702028","0.22277685286213","0.23266028117843"
"6","2012","3351","0.116925945993245","0.113139388009655","0.120712503976835"
"7","2012","3641","0.131143654965052","0.127165898106929","0.135121411823176"
"8","2012","2430","0.0903735386260698","0.0869948918554302","0.0937521853967094"
"9","2012","643","0.022442731025778","0.0206973125852633","0.0241881494662928"
"10 Very willing to take risks","2012","428","0.013584714620769","0.012220616032408","0.01494881320913"
"0 Not at all Willing to take risks","2013","1469","0.0596794677136366","0.0566749673092318","0.0626839681180414"
"1","2013","1480","0.0596163233261018","0.0566133119874386","0.062619334664765"
"2","2013","2864","0.117219478854348","0.113139592173521","0.121299365535176"
"3","2013","3194","0.13667215817476","0.132315537618287","0.141028778731233"
"4","2013","2069","0.0900140676277262","0.0863841700612548","0.0936439651941976"
"5","2013","4585","0.193427260191922","0.188417667153396","0.198436853230448"
"6","2013","2371","0.10358946307635","0.0997246089727325","0.107454317179967"
"7","2013","2743","0.11653183582366","0.112462349596182","0.120601322051138"
"8","2013","2026","0.0811582506312558","0.0776948037176505","0.0846216975448611"
"9","2013","629","0.02694437674446","0.0248907347277612","0.0289980187611588"
"10 Very willing to take risks","2013","451","0.015147317835779","0.0135982325031986","0.0166964031683594"
"0 Not at all Willing to take risks","2014","1525","0.0570285033156573","0.0542637749108738","0.0597932317204408"
"1","2014","1232","0.0476990049917463","0.0451580382323628","0.0502399717511298"
"2","2014","2631","0.0950509427847746","0.0915543304505353","0.0985475551190139"
"3","2014","3208","0.118599463278966","0.114744810869648","0.122454115688284"
"4","2014","2466","0.0940145042527357","0.0905350169386076","0.0974939915668638"
"5","2014","5469","0.203549124507","0.198748791996949","0.208349457017051"
"6","2014","3247","0.120098554026161","0.11622291687976","0.123974191172562"
"7","2014","3571","0.132053447525812","0.128017192786634","0.136089702264989"
"8","2014","2539","0.093187598198798","0.0897218660932961","0.0966533303042999"
"9","2014","654","0.0206056863129355","0.0189120134230122","0.0222993592028588"
"10 Very willing to take risks","2014","484","0.0181131708054137","0.0165232145953457","0.0197031270154817"
"0 Not at all Willing to take risks","2015","1244","0.0472814391355701","0.0447447678296071","0.0498181104415332"
"1","2015","1272","0.0455552551868681","0.0430630650257249","0.0480474453480114"
"2","2015","2629","0.0917086259331957","0.0882591411946521","0.0951581106717393"
"3","2015","3215","0.126230025448684","0.122260702517983","0.130199348379385"
"4","2015","2556","0.0973468910166403","0.0938039981178736","0.100889783915407"
"5","2015","5033","0.190746928586997","0.186051151257863","0.195442705916131"
"6","2015","3225","0.125393544174509","0.121435501540381","0.129351586808636"
"7","2015","3671","0.135655160743852","0.131562570905974","0.139747750581731"
"8","2015","2661","0.095474927626284","0.0919626283566069","0.0989872268959612"
"9","2015","801","0.0272226655341403","0.0252777148902059","0.0291676161780748"
"10 Very willing to take risks","2015","585","0.0173845366132593","0.0158224327861807","0.018946640440338"
"0 Not at all Willing to take risks","2016","2044","0.0454849802686054","0.0430678455917073","0.0479021149455035"
"1","2016","1346","0.0494888048158289","0.046972822633405","0.0520047869982529"
"2","2016","2678","0.0988971689980023","0.0954341524466811","0.102360185549323"
"3","2016","3052","0.117566484297922","0.113830042486461","0.121302926109384"
"4","2016","2344","0.0935776832232609","0.0901991600700413","0.0969562063764804"
"5","2016","5217","0.180607138933735","0.176144528210727","0.185069749656742"
"6","2016","3288","0.125833974452025","0.121986538675471","0.129681410228578"
"7","2016","3764","0.138857617136848","0.134846200266314","0.142869034007383"
"8","2016","2946","0.102860632188735","0.0993366799618806","0.10638458441559"
"9","2016","876","0.0288988095062657","0.0269554744741307","0.0308421445384006"
"10 Very willing to take risks","2016","991","0.0179267061787715","0.0163874969414212","0.0194659154161218"
"0 Not at all Willing to take risks","2017","2610","0.0400884914004312","0.0379405594608814","0.0422364233399811"
"1","2017","1482","0.0497176960081684","0.0473376964396518","0.0520976955766849"
"2","2017","3337","0.112604068015942","0.109142835164993","0.116065300866891"
"3","2017","3802","0.13733446221958","0.133565636542218","0.141103287896941"
"4","2017","2716","0.0920422188794387","0.0888768711432922","0.0952075666155852"
"5","2017","5916","0.189048076006139","0.18476082663625","0.193335325376028"
"6","2017","3527","0.114907949746546","0.111416029485311","0.11839987000778"
"7","2017","3902","0.128947912910647","0.125278265978227","0.132617559843068"
"8","2017","2862","0.0924891222185686","0.0893168802348724","0.0956613642022647"
"9","2017","881","0.0251947162329529","0.0234787500179158","0.0269106824479899"
"10 Very willing to take risks","2017","1006","0.0176252863615869","0.0161844928682564","0.0190660798549174"
"0 Not at all Willing to take risks","2018","2924","0.0561750130043365","0.0535670389978239","0.0587829870108491"
"1","2018","1910","0.0638133266515254","0.0610449648231211","0.0665816884799298"
"2","2018","3663","0.129940373631333","0.126132061851252","0.133748685411415"
"3","2018","3957","0.144728556861752","0.140743678823289","0.148713434900215"
"4","2018","2570","0.0944225762406305","0.0911106043012213","0.0977345481800396"
"5","2018","5311","0.183115374586554","0.178734824016325","0.187495925156783"
"6","2018","2724","0.100799848486848","0.097389929526999","0.104209767446698"
"7","2018","3063","0.10340730051012","0.099958571010707","0.106856030009534"
"8","2018","2404","0.0852702610596645","0.082107028458303","0.0884334936610259"
"9","2018","723","0.0233178355919253","0.0216085813013947","0.0250270898824559"
"10 Very willing to take risks","2018","696","0.0150095333753101","0.0136323697562111","0.0163866969944091"
"0 Not at all Willing to take risks","2019","1819","0.0388450051276938","0.0366444384527431","0.0410455718026445"
"1","2019","1287","0.0407426101335227","0.0384911605437281","0.0429940597233172"
"2","2019","2548","0.0930275198688301","0.0897194627264099","0.0963355770112504"
"3","2019","3279","0.123951203629216","0.120198366217258","0.127704041041174"
"4","2019","2603","0.0942978060921566","0.0909695730274031","0.0976260391569101"
"5","2019","5186","0.184655754148496","0.180236772940991","0.189074735356"
"6","2019","3430","0.124684338235533","0.120921994002091","0.128446682468975"
"7","2019","4018","0.13920786254381","0.135265548156604","0.143150176931015"
"8","2019","3275","0.104743802134306","0.101256351554309","0.108231252714302"
"9","2019","1282","0.0337899193367394","0.0317321362836133","0.0358477023898656"
"10 Very willing to take risks","2019","891","0.0220541787496974","0.0203816520116934","0.0237267054877014"
