"plh0204_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"4","2004","35-65 y.","Other degree","84","0.0822556963991029","0.0635072641679693","0.101004128630237"
"4","2004","35-65 y.","no degree/no degree yet","10","","",""
"4","2004","66 and older","lower secondary degree","226","0.0826974262440842","0.0717891531751604","0.0936056993130079"
"4","2004","66 and older","secondary school degree","65","0.114057648187889","0.0872464545683983","0.14086884180738"
"4","2004","66 and older","college entrance qualification","69","0.107011649716416","0.080938731801147","0.133084567631684"
"4","2004","66 and older","Other degree","14","","",""
"4","2004","66 and older","no degree/no degree yet","2","","",""
"5","2004","16-34 y.","lower secondary degree","230","0.228789938112394","0.20326079573931","0.254319080485478"
"5","2004","16-34 y.","secondary school degree","414","0.229028703362369","0.209441563581657","0.248615843143082"
"5","2004","16-34 y.","college entrance qualification","326","0.215061335669899","0.195296505938944","0.234826165400854"
"5","2004","16-34 y.","Other degree","31","0.190890342243091","0.133794028807519","0.247986655678663"
"5","2004","16-34 y.","no degree/no degree yet","149","0.229379607320411","0.197685947350331","0.261073267290491"
"5","2004","35-65 y.","lower secondary degree","969","0.252547282543079","0.239182918824172","0.265911646261986"
"5","2004","35-65 y.","secondary school degree","956","0.243793383910343","0.230442193103789","0.257144574716898"
"5","2004","35-65 y.","college entrance qualification","665","0.212334943055342","0.198094056419585","0.226575829691099"
"5","2004","35-65 y.","Other degree","151","0.170197054023773","0.144553121694469","0.195840986353078"
"5","2004","35-65 y.","no degree/no degree yet","21","","",""
"5","2004","66 and older","lower secondary degree","461","0.184557781326664","0.169193350546196","0.199922212107133"
"5","2004","66 and older","secondary school degree","123","0.205917776492648","0.17181177018049","0.240023782804807"
"5","2004","66 and older","college entrance qualification","112","0.204842513694879","0.170802648190918","0.23888237919884"
"5","2004","66 and older","Other degree","27","","",""
"5","2004","66 and older","no degree/no degree yet","7","","",""
"6","2004","16-34 y.","lower secondary degree","110","0.105191365885903","0.086545328461652","0.123837403310155"
"6","2004","16-34 y.","secondary school degree","225","0.131723771357828","0.11595971443127","0.147487828284387"
"6","2004","16-34 y.","college entrance qualification","254","0.155061582036475","0.137649180206624","0.172473983866325"
"6","2004","16-34 y.","Other degree","27","","",""
"6","2004","16-34 y.","no degree/no degree yet","98","0.115537309657778","0.0914396077861981","0.139635011529359"
"6","2004","35-65 y.","lower secondary degree","386","0.089226105404381","0.0804573828359847","0.0979948279727774"
"6","2004","35-65 y.","secondary school degree","463","0.11468852029667","0.104780273145009","0.124596767448331"
"6","2004","35-65 y.","college entrance qualification","427","0.132139901330642","0.120347632960715","0.14393216970057"
"6","2004","35-65 y.","Other degree","66","0.0761534720503753","0.0580540008473767","0.0942529432533738"
"6","2004","35-65 y.","no degree/no degree yet","11","","",""
"6","2004","66 and older","lower secondary degree","145","0.0576088241998697","0.0483806919556883","0.0668369564440511"
