"plh0204_h","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"8","2004","Part Time","1-pers.-HH","48","0.0950725754641251","0.068002197189153","0.122142953739097","8"
"8","2004","Part Time","Single parent ","25","","","","8"
"8","2004","Full Time","1-pers.-HH","106","0.0957294603016941","0.0775302211942331","0.113928699409155","8"
"8","2004","Full Time","(Married) couple without C. ","224","0.0901814119993425","0.0789238041423173","0.101439019856368","8"
"8","2004","Full Time","Single parent ","37","0.131711127747934","0.0970178757568189","0.166404379739049","8"
"8","2004","Full Time","Couple + C. LE and GT 16","59","0.0737740030813207","0.0542977593063677","0.0932502468562738","8"
"8","2004","Part Time","Couple + C. LE 16 ","56","0.051348328489697","0.0392856389539364","0.0634110180254576","8"
"8","2004","Part Time","Couple + C. GT 16 ","72","0.0603878916236905","0.0457767397225053","0.0749990435248756","8"
"8","2004","Part Time","Couple + C. LE and GT 16","42","0.0802461779937257","0.0576236472210653","0.102868708766386","8"
"8","2004","Not Working","1-pers.-HH","55","0.0378351414583597","0.0280213413158397","0.0476489416008796","8"
"8","2004","Not Working","(Married) couple without C. ","142","0.0371352483352209","0.0309079507050362","0.0433625459654056","8"
"8","2004","Not Working","Single parent ","25","","","","8"
"8","2004","Not Working","Couple + C. LE 16 ","46","0.0612104305819984","0.0441340039570655","0.0782868572069312","8"
"8","2004","Full Time","Couple + C. LE 16 ","176","0.083206891766299","0.0711354991546918","0.0952782843779062","8"
"8","2004","Full Time","Couple + C. GT 16 ","151","0.0857546418106653","0.0724011923558894","0.0991080912654412","8"
"8","2004","Not Working","Couple + C. LE and GT 16","54","0.104931837046364","0.0790595154222016","0.130804158670527","8"
"8","2004","Not Working","Couple + C. GT 16 ","76","0.055514286640414","0.0425152837126655","0.0685132895681625","8"
"9","2004","Not Working","1-pers.-HH","15","","","","9"
"9","2004","Not Working","(Married) couple without C. ","20","","","","9"
"9","2004","Not Working","Single parent ","10","","","","9"
"9","2004","Part Time","Couple + C. LE and GT 16","8","","","","9"
"9","2004","Full Time","Couple + C. LE and GT 16","22","","","","9"
"9","2004","Part Time","1-pers.-HH","8","","","","9"
"9","2004","Part Time","(Married) couple without C. ","23","","","","9"
"9","2004","Part Time","Single parent ","8","","","","9"
"9","2004","Part Time","Couple + C. LE 16 ","13","","","","9"
"9","2004","Part Time","Couple + C. GT 16 ","17","","","","9"
"9","2004","Not Working","Couple + C. LE 16 ","12","","","","9"
"9","2004","Not Working","Couple + C. GT 16 ","30","0.0164771728335215","0.00925041446587091","0.0237039312011721","9"
"9","2004","Full Time","1-pers.-HH","19","","","","9"
"9","2004","Full Time","(Married) couple without C. ","50","0.0162812827960235","0.0113074638112773","0.0212551017807696","9"
"9","2004","Full Time","Single parent ","9","","","","9"
"9","2004","Full Time","Couple + C. LE 16 ","47","0.0158646677260789","0.010403507003913","0.0213258284482448","9"
"9","2004","Full Time","Couple + C. GT 16 ","42","0.020291403916687","0.0135672480247376","0.0270155598086364","9"
"9","2004","Not Working","Couple + C. LE and GT 16","17","","","","9"
"0 Not at all Willing to take risks","2005","Full Time","Couple + C. LE and GT 16","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","1-pers.-HH","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","(Married) couple without C. ","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","Single parent ","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","Couple + C. LE 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","Couple + C. GT 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","Couple + C. LE and GT 16","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","1-pers.-HH","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","(Married) couple without C. ","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","Single parent ","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","Couple + C. LE 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","Couple + C. GT 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","Couple + C. LE and GT 16","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","1-pers.-HH","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","(Married) couple without C. ","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","Single parent ","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","Couple + C. LE 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","Couple + C. GT 16 ","","","","","0"
"1","2005","Part Time","(Married) couple without C. ","","","","","1"
"1","2005","Full Time","(Married) couple without C. ","","","","","1"
"1","2005","Full Time","Single parent ","","","","","1"
"1","2005","Full Time","Couple + C. LE 16 ","","","","","1"
"1","2005","Full Time","Couple + C. GT 16 ","","","","","1"
"1","2005","Part Time","1-pers.-HH","","","","","1"
"1","2005","Full Time","1-pers.-HH","","","","","1"
"1","2005","Full Time","Couple + C. LE and GT 16","","","","","1"
"1","2005","Part Time","Single parent ","","","","","1"
"1","2005","Part Time","Couple + C. LE 16 ","","","","","1"
"1","2005","Part Time","Couple + C. GT 16 ","","","","","1"
"1","2005","Part Time","Couple + C. LE and GT 16","","","","","1"
"1","2005","Not Working","1-pers.-HH","","","","","1"
"1","2005","Not Working","(Married) couple without C. ","","","","","1"
"1","2005","Not Working","Couple + C. LE 16 ","","","","","1"
"1","2005","Not Working","Single parent ","","","","","1"
"1","2005","Not Working","Couple + C. GT 16 ","","","","","1"
"1","2005","Not Working","Couple + C. LE and GT 16","","","","","1"
"10 Very willing to take risks","2005","Part Time","Single parent ","","","","","10"
"10 Very willing to take risks","2005","Full Time","Couple + C. LE and GT 16","","","","","10"
"10 Very willing to take risks","2005","Full Time","(Married) couple without C. ","","","","","10"
"10 Very willing to take risks","2005","Part Time","Couple + C. GT 16 ","","","","","10"
"10 Very willing to take risks","2005","Full Time","Couple + C. GT 16 ","","","","","10"
"10 Very willing to take risks","2005","Full Time","Single parent ","","","","","10"
"10 Very willing to take risks","2005","Full Time","1-pers.-HH","","","","","10"
"10 Very willing to take risks","2005","Full Time","Couple + C. LE 16 ","","","","","10"
"10 Very willing to take risks","2005","Part Time","Couple + C. LE 16 ","","","","","10"
"10 Very willing to take risks","2005","Part Time","Couple + C. LE and GT 16","","","","","10"
"10 Very willing to take risks","2005","Part Time","(Married) couple without C. ","","","","","10"
"10 Very willing to take risks","2005","Not Working","(Married) couple without C. ","","","","","10"
"10 Very willing to take risks","2005","Not Working","Single parent ","","","","","10"
"10 Very willing to take risks","2005","Not Working","Couple + C. GT 16 ","","","","","10"
"10 Very willing to take risks","2005","Not Working","Couple + C. LE and GT 16","","","","","10"
"10 Very willing to take risks","2005","Part Time","1-pers.-HH","","","","","10"
"10 Very willing to take risks","2005","Not Working","1-pers.-HH","","","","","10"
"10 Very willing to take risks","2005","Not Working","Couple + C. LE 16 ","","","","","10"
"2","2005","Full Time","1-pers.-HH","","","","","2"
"2","2005","Full Time","(Married) couple without C. ","","","","","2"
"2","2005","Full Time","Couple + C. GT 16 ","","","","","2"
"2","2005","Full Time","Couple + C. LE and GT 16","","","","","2"
"2","2005","Part Time","1-pers.-HH","","","","","2"
"2","2005","Part Time","(Married) couple without C. ","","","","","2"
"2","2005","Part Time","Single parent ","","","","","2"
"2","2005","Part Time","Couple + C. LE 16 ","","","","","2"
"2","2005","Part Time","Couple + C. GT 16 ","","","","","2"
"2","2005","Part Time","Couple + C. LE and GT 16","","","","","2"
"2","2005","Not Working","1-pers.-HH","","","","","2"
"2","2005","Not Working","(Married) couple without C. ","","","","","2"
"2","2005","Not Working","Couple + C. GT 16 ","","","","","2"
"2","2005","Not Working","Couple + C. LE and GT 16","","","","","2"
"2","2005","Full Time","Single parent ","","","","","2"
"2","2005","Full Time","Couple + C. LE 16 ","","","","","2"
"2","2005","Not Working","Single parent ","","","","","2"
"2","2005","Not Working","Couple + C. LE 16 ","","","","","2"
"3","2005","Part Time","1-pers.-HH","","","","","3"
"3","2005","Full Time","Couple + C. LE and GT 16","","","","","3"
"3","2005","Part Time","(Married) couple without C. ","","","","","3"
"3","2005","Part Time","Couple + C. LE 16 ","","","","","3"
"3","2005","Part Time","Single parent ","","","","","3"
"3","2005","Full Time","1-pers.-HH","","","","","3"
"3","2005","Full Time","(Married) couple without C. ","","","","","3"
"3","2005","Full Time","Single parent ","","","","","3"
"3","2005","Full Time","Couple + C. LE 16 ","","","","","3"
"3","2005","Full Time","Couple + C. GT 16 ","","","","","3"
"3","2005","Part Time","Couple + C. GT 16 ","","","","","3"
"3","2005","Part Time","Couple + C. LE and GT 16","","","","","3"
"3","2005","Not Working","1-pers.-HH","","","","","3"
"3","2005","Not Working","(Married) couple without C. ","","","","","3"
"3","2005","Not Working","Single parent ","","","","","3"
"3","2005","Not Working","Couple + C. LE 16 ","","","","","3"
"3","2005","Not Working","Couple + C. LE and GT 16","","","","","3"
"3","2005","Not Working","Couple + C. GT 16 ","","","","","3"
"4","2005","Full Time","Couple + C. GT 16 ","","","","","4"
"4","2005","Part Time","(Married) couple without C. ","","","","","4"
"4","2005","Part Time","Single parent ","","","","","4"
"4","2005","Part Time","Couple + C. LE 16 ","","","","","4"
"4","2005","Full Time","1-pers.-HH","","","","","4"
"4","2005","Full Time","(Married) couple without C. ","","","","","4"
"4","2005","Full Time","Single parent ","","","","","4"
"4","2005","Full Time","Couple + C. LE 16 ","","","","","4"
"4","2005","Full Time","Couple + C. LE and GT 16","","","","","4"
"4","2005","Part Time","1-pers.-HH","","","","","4"
"4","2005","Part Time","Couple + C. GT 16 ","","","","","4"
"4","2005","Part Time","Couple + C. LE and GT 16","","","","","4"
"4","2005","Not Working","1-pers.-HH","","","","","4"
"4","2005","Not Working","(Married) couple without C. ","","","","","4"
"4","2005","Not Working","Single parent ","","","","","4"
"4","2005","Not Working","Couple + C. LE 16 ","","","","","4"
"4","2005","Not Working","Couple + C. GT 16 ","","","","","4"
"4","2005","Not Working","Couple + C. LE and GT 16","","","","","4"
"5","2005","Full Time","Couple + C. LE and GT 16","","","","","5"
"5","2005","Full Time","1-pers.-HH","","","","","5"
"5","2005","Full Time","(Married) couple without C. ","","","","","5"
"5","2005","Full Time","Single parent ","","","","","5"
"5","2005","Full Time","Couple + C. LE 16 ","","","","","5"
"5","2005","Full Time","Couple + C. GT 16 ","","","","","5"
"5","2005","Part Time","1-pers.-HH","","","","","5"
"5","2005","Part Time","(Married) couple without C. ","","","","","5"
"5","2005","Part Time","Single parent ","","","","","5"
"5","2005","Part Time","Couple + C. LE 16 ","","","","","5"
"5","2005","Part Time","Couple + C. GT 16 ","","","","","5"
"5","2005","Part Time","Couple + C. LE and GT 16","","","","","5"
"5","2005","Not Working","1-pers.-HH","","","","","5"
"5","2005","Not Working","(Married) couple without C. ","","","","","5"
"5","2005","Not Working","Single parent ","","","","","5"
"5","2005","Not Working","Couple + C. LE 16 ","","","","","5"
"5","2005","Not Working","Couple + C. GT 16 ","","","","","5"
"5","2005","Not Working","Couple + C. LE and GT 16","","","","","5"
"6","2005","Part Time","Single parent ","","","","","6"
"6","2005","Part Time","Couple + C. LE 16 ","","","","","6"
"6","2005","Part Time","Couple + C. GT 16 ","","","","","6"
"6","2005","Not Working","1-pers.-HH","","","","","6"
"6","2005","Full Time","1-pers.-HH","","","","","6"
"6","2005","Full Time","(Married) couple without C. ","","","","","6"
"6","2005","Full Time","Couple + C. GT 16 ","","","","","6"
