"plh0204_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"3","2004","college entrance qualification","West Germany","564","0.135111793088862","0.124818710071948","0.145404876105776"
"3","2004","college entrance qualification","East Germany","138","0.114924361836011","0.0963372020492005","0.133511521622822"
"3","2004","Other degree","West Germany","142","0.135282913401653","0.115323304132648","0.155242522670658"
"3","2004","Other degree","East Germany","9","","",""
"3","2004","no degree/no degree yet","West Germany","65","0.101477339771905","0.0793131234579452","0.123641556085864"
"3","2004","no degree/no degree yet","East Germany","25","","",""
"4","2004","lower secondary degree","West Germany","637","0.100447718119424","0.0928882030057447","0.108007233233103"
"4","2004","lower secondary degree","East Germany","154","0.100375118882345","0.0850396928233453","0.115710544941344"
"4","2004","secondary school degree","West Germany","410","0.0996706927849301","0.090344154291911","0.108997231277949"
"4","2004","secondary school degree","East Germany","286","0.121338096334675","0.108045774061429","0.13463041860792"
"4","2004","college entrance qualification","West Germany","479","0.109272458356985","0.0998785427030682","0.118666374010901"
"4","2004","college entrance qualification","East Germany","133","0.116917083302764","0.0981905875444847","0.135643579061044"
"4","2004","Other degree","West Germany","111","0.0933361965043484","0.0763599477748658","0.110312445233831"
"4","2004","Other degree","East Germany","4","","",""
"4","2004","no degree/no degree yet","West Germany","53","0.0789947541090955","0.0591961986787939","0.0987933095393972"
"4","2004","no degree/no degree yet","East Germany","21","","",""
"5","2004","lower secondary degree","West Germany","1322","0.226168952010654","0.21564811565735","0.236689788363959"
"5","2004","lower secondary degree","East Germany","338","0.21903402427607","0.197927149730599","0.24014089882154"
"5","2004","secondary school degree","West Germany","912","0.227309754102654","0.21426163819579","0.240357870009517"
"5","2004","secondary school degree","East Germany","581","0.252615014824089","0.234926427914419","0.27030360173376"
"5","2004","college entrance qualification","West Germany","862","0.209660823652752","0.197403821628281","0.221917825677223"
"5","2004","college entrance qualification","East Germany","241","0.22574422721873","0.201379175294851","0.250109279142609"
"5","2004","Other degree","West Germany","199","0.16790640635786","0.146093513623565","0.189719299092156"
"5","2004","Other degree","East Germany","10","","",""
"5","2004","no degree/no degree yet","West Germany","139","0.193427948904727","0.164435525137723","0.222420372671731"
"5","2004","no degree/no degree yet","East Germany","38","0.214391909205164","0.154931250529637","0.27385256788069"
"6","2004","lower secondary degree","West Germany","503","0.0786126200094604","0.0718443455351777","0.085380894483743"
"6","2004","lower secondary degree","East Germany","138","0.0873659028755599","0.0729556563431815","0.101776149407938"
"6","2004","secondary school degree","West Germany","461","0.123295214832641","0.113059083386693","0.133531346278589"
"6","2004","secondary school degree","East Germany","276","0.109297605542306","0.0965958716751612","0.12199933940945"
"6","2004","college entrance qualification","West Germany","576","0.135194932854626","0.124899178338618","0.145490687370634"
"6","2004","college entrance qualification","East Germany","160","0.134026356033984","0.11417161482528","0.153881097242688"
"6","2004","Other degree","West Germany","90","0.0849760543385401","0.0687034130203499","0.10124869565673"
"6","2004","Other degree","East Germany","4","","",""
"6","2004","no degree/no degree yet","West Germany","82","0.0916653646401698","0.0704852211267455","0.112845508153594"
"6","2004","no degree/no degree yet","East Germany","28","","",""
"7","2004","lower secondary degree","West Germany","490","0.0771711719667109","0.070459992980462","0.0838823509529598"
"7","2004","lower secondary degree","East Germany","76","0.0478088378208154","0.0369203330114721","0.0586973426301588"
"7","2004","secondary school degree","West Germany","493","0.117757574052158","0.107722410633008","0.127792737471309"
"7","2004","secondary school degree","East Germany","300","0.12566308598477","0.112169274367992","0.139156897601548"
"7","2004","college entrance qualification","West Germany","665","0.151766429794044","0.140962930545011","0.162569929043076"
"7","2004","college entrance qualification","East Germany","201","0.169918756928252","0.14803117675469","0.191806337101815"
"7","2004","Other degree","West Germany","53","0.0459869256642113","0.0337636419312486","0.0582102093971739"
"7","2004","Other degree","East Germany","4","","",""
"7","2004","no degree/no degree yet","West Germany","90","0.117008601865482","0.0934152058446055","0.140601997886358"
"7","2004","no degree/no degree yet","East Germany","27","","",""
"8","2004","lower secondary degree","West Germany","332","0.0538262725427236","0.0481509141410531","0.059501630944394"
"8","2004","lower secondary degree","East Germany","72","0.051165525725045","0.0399211323885249","0.062409919061565"
"8","2004","secondary school degree","West Germany","295","0.0725276679613336","0.0644527449006452","0.0806025910220221"
"8","2004","secondary school degree","East Germany","190","0.0787211516617114","0.0677580701063609","0.0896842332170619"
"8","2004","college entrance qualification","West Germany","365","0.0798911030954918","0.0717273909511267","0.0880548152398569"
"8","2004","college entrance qualification","East Germany","107","0.0999961612613555","0.082512570452061","0.11747975207065"
"8","2004","Other degree","West Germany","49","0.0471683193170373","0.0347966917836375","0.059539946850437"
"8","2004","Other degree","East Germany","4","","",""
"8","2004","no degree/no degree yet","West Germany","58","0.0791745049939628","0.0593553710820211","0.0989936389059045"
"8","2004","no degree/no degree yet","East Germany","25","","",""
"9","2004","lower secondary degree","West Germany","84","0.0104650768459265","0.00790591665661934","0.0130242370352336"
"9","2004","lower secondary degree","East Germany","13","","",""
"9","2004","secondary school degree","West Germany","60","0.0166325775368636","0.0126508298033627","0.0206143252703644"
"9","2004","secondary school degree","East Germany","47","0.0167386532011203","0.0115160610176692","0.0219612453845715"
"9","2004","college entrance qualification","West Germany","94","0.0206190582290302","0.0163401881909296","0.0248979282671309"
"9","2004","college entrance qualification","East Germany","22","","",""
"9","2004","Other degree","West Germany","12","","",""
"9","2004","Other degree","East Germany","2","","",""
"9","2004","no degree/no degree yet","West Germany","32","0.0318852844051109","0.0189890807029386","0.0447814881072832"
"9","2004","no degree/no degree yet","East Germany","4","","",""
"10 Very willing to take risks","2004","lower secondary degree","West Germany","62","0.00874759954959524","0.00640581320068495","0.0110893858985055"
"10 Very willing to take risks","2004","lower secondary degree","East Germany","11","","",""
"10 Very willing to take risks","2004","secondary school degree","West Germany","32","0.00807145729452024","0.00528564259830694","0.0108572719907335"
"10 Very willing to take risks","2004","secondary school degree","East Germany","16","","",""
"10 Very willing to take risks","2004","college entrance qualification","West Germany","36","0.0106685920426685","0.00757514054156431","0.0137620435437726"
"10 Very willing to take risks","2004","college entrance qualification","East Germany","8","","",""
"10 Very willing to take risks","2004","Other degree","West Germany","20","","",""
"10 Very willing to take risks","2004","Other degree","East Germany","2","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","West Germany","13","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","East Germany","2","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","West Germany","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","East Germany","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","West Germany","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","East Germany","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","West Germany","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","East Germany","","","",""
"0 Not at all Willing to take risks","2005","Other degree","West Germany","","","",""
"0 Not at all Willing to take risks","2005","Other degree","East Germany","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","West Germany","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","East Germany","","","",""
"1","2005","lower secondary degree","West Germany","","","",""
"1","2005","lower secondary degree","East Germany","","","",""
"1","2005","secondary school degree","West Germany","","","",""
"1","2005","secondary school degree","East Germany","","","",""
"1","2005","college entrance qualification","West Germany","","","",""
"1","2005","college entrance qualification","East Germany","","","",""
"1","2005","Other degree","West Germany","","","",""
"1","2005","Other degree","East Germany","","","",""
"1","2005","no degree/no degree yet","West Germany","","","",""
"1","2005","no degree/no degree yet","East Germany","","","",""
"2","2005","lower secondary degree","West Germany","","","",""
"2","2005","lower secondary degree","East Germany","","","",""
"2","2005","secondary school degree","West Germany","","","",""
"2","2005","secondary school degree","East Germany","","","",""
"2","2005","college entrance qualification","West Germany","","","",""
"2","2005","college entrance qualification","East Germany","","","",""
"2","2005","Other degree","West Germany","","","",""
"2","2005","Other degree","East Germany","","","",""
"2","2005","no degree/no degree yet","West Germany","","","",""
"2","2005","no degree/no degree yet","East Germany","","","",""
"3","2005","lower secondary degree","West Germany","","","",""
"3","2005","lower secondary degree","East Germany","","","",""
"3","2005","secondary school degree","West Germany","","","",""
"3","2005","secondary school degree","East Germany","","","",""
"3","2005","college entrance qualification","West Germany","","","",""
"3","2005","college entrance qualification","East Germany","","","",""
"3","2005","Other degree","West Germany","","","",""
"3","2005","Other degree","East Germany","","","",""
"3","2005","no degree/no degree yet","West Germany","","","",""
"3","2005","no degree/no degree yet","East Germany","","","",""
"4","2005","lower secondary degree","West Germany","","","",""
"4","2005","lower secondary degree","East Germany","","","",""
"4","2005","secondary school degree","West Germany","","","",""
"4","2005","secondary school degree","East Germany","","","",""
"4","2005","college entrance qualification","West Germany","","","",""
"4","2005","college entrance qualification","East Germany","","","",""
"4","2005","Other degree","West Germany","","","",""
"4","2005","Other degree","East Germany","","","",""
"4","2005","no degree/no degree yet","West Germany","","","",""
"4","2005","no degree/no degree yet","East Germany","","","",""
"5","2005","lower secondary degree","West Germany","","","",""
"5","2005","lower secondary degree","East Germany","","","",""
"5","2005","secondary school degree","West Germany","","","",""
"5","2005","secondary school degree","East Germany","","","",""
"5","2005","college entrance qualification","West Germany","","","",""
"5","2005","college entrance qualification","East Germany","","","",""
"5","2005","Other degree","West Germany","","","",""
"5","2005","Other degree","East Germany","","","",""
"5","2005","no degree/no degree yet","West Germany","","","",""
"5","2005","no degree/no degree yet","East Germany","","","",""
"6","2005","lower secondary degree","West Germany","","","",""
"6","2005","lower secondary degree","East Germany","","","",""
"6","2005","secondary school degree","West Germany","","","",""
"6","2005","secondary school degree","East Germany","","","",""
"6","2005","college entrance qualification","West Germany","","","",""
"6","2005","college entrance qualification","East Germany","","","",""
"6","2005","Other degree","West Germany","","","",""
"6","2005","Other degree","East Germany","","","",""
"6","2005","no degree/no degree yet","West Germany","","","",""
"6","2005","no degree/no degree yet","East Germany","","","",""
"7","2005","lower secondary degree","West Germany","","","",""
"7","2005","lower secondary degree","East Germany","","","",""
"7","2005","secondary school degree","West Germany","","","",""
"7","2005","secondary school degree","East Germany","","","",""
"7","2005","college entrance qualification","West Germany","","","",""
"7","2005","college entrance qualification","East Germany","","","",""
"7","2005","Other degree","West Germany","","","",""
"7","2005","Other degree","East Germany","","","",""
"7","2005","no degree/no degree yet","West Germany","","","",""
"7","2005","no degree/no degree yet","East Germany","","","",""
"8","2005","lower secondary degree","West Germany","","","",""
"8","2005","lower secondary degree","East Germany","","","",""
"8","2005","secondary school degree","West Germany","","","",""
"8","2005","secondary school degree","East Germany","","","",""
"8","2005","college entrance qualification","West Germany","","","",""
"8","2005","college entrance qualification","East Germany","","","",""
"8","2005","Other degree","West Germany","","","",""
"8","2005","Other degree","East Germany","","","",""
"8","2005","no degree/no degree yet","West Germany","","","",""
"8","2005","no degree/no degree yet","East Germany","","","",""
"9","2005","lower secondary degree","West Germany","","","",""
"9","2005","lower secondary degree","East Germany","","","",""
"9","2005","secondary school degree","West Germany","","","",""
"9","2005","secondary school degree","East Germany","","","",""
"9","2005","college entrance qualification","West Germany","","","",""
"9","2005","college entrance qualification","East Germany","","","",""
"9","2005","Other degree","West Germany","","","",""
"9","2005","Other degree","East Germany","","","",""
"9","2005","no degree/no degree yet","West Germany","","","",""
"9","2005","no degree/no degree yet","East Germany","","","",""
"10 Very willing to take risks","2005","lower secondary degree","West Germany","","","",""
"10 Very willing to take risks","2005","lower secondary degree","East Germany","","","",""
"10 Very willing to take risks","2005","secondary school degree","West Germany","","","",""
"10 Very willing to take risks","2005","secondary school degree","East Germany","","","",""
"10 Very willing to take risks","2005","college entrance qualification","West Germany","","","",""
"10 Very willing to take risks","2005","college entrance qualification","East Germany","","","",""
"10 Very willing to take risks","2005","Other degree","West Germany","","","",""
"10 Very willing to take risks","2005","Other degree","East Germany","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","West Germany","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","East Germany","","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","West Germany","471","0.0889999501891999","0.0818631433510046","0.0961367570273952"
"0 Not at all Willing to take risks","2006","lower secondary degree","East Germany","96","0.0713454835214985","0.0581827065250673","0.0845082605179297"
"0 Not at all Willing to take risks","2006","secondary school degree","West Germany","150","0.0408734611450192","0.0348195132055366","0.0469274090845018"
"0 Not at all Willing to take risks","2006","secondary school degree","East Germany","58","0.0245342604213614","0.0182795579504603","0.0307889628922625"
"0 Not at all Willing to take risks","2006","college entrance qualification","West Germany","95","0.023519325015331","0.0190481117966756","0.0279905382339863"
"0 Not at all Willing to take risks","2006","college entrance qualification","East Germany","16","","",""
"0 Not at all Willing to take risks","2006","Other degree","West Germany","126","0.117838944427865","0.0989565336149331","0.136721355240797"
"0 Not at all Willing to take risks","2006","Other degree","East Germany","7","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","West Germany","40","0.0871307915030501","0.0635179680200516","0.110743614986049"
"0 Not at all Willing to take risks","2006","no degree/no degree yet","East Germany","3","","",""
"1","2006","lower secondary degree","West Germany","351","0.05941345850709","0.0534884134490917","0.0653385035650883"
"1","2006","lower secondary degree","East Germany","85","0.0563612539178593","0.0445680882657044","0.0681544195700142"
"1","2006","secondary school degree","West Germany","149","0.0394615847872911","0.0335087387402026","0.0454144308343797"
"1","2006","secondary school degree","East Germany","58","0.026227064440194","0.0197657950055781","0.0326883338748099"
"1","2006","college entrance qualification","West Germany","100","0.0248022930377812","0.0202137651011531","0.0293908209744093"
"1","2006","college entrance qualification","East Germany","15","","",""
"1","2006","Other degree","West Germany","61","0.0484281497758698","0.035856021279428","0.0610002782723116"
"1","2006","Other degree","East Germany","3","","",""
"1","2006","no degree/no degree yet","West Germany","17","","",""
"1","2006","no degree/no degree yet","East Germany","3","","",""
"2","2006","lower secondary degree","West Germany","639","0.105136796201502","0.0974489346262132","0.112824657776791"
"2","2006","lower secondary degree","East Germany","145","0.0861973235443656","0.0718453939067128","0.100549253182018"
"2","2006","secondary school degree","West Germany","333","0.080962654416689","0.0726222142843086","0.0893030945490693"
"2","2006","secondary school degree","East Germany","180","0.077000382511201","0.0662218071709616","0.0877789578514404"
"2","2006","college entrance qualification","West Germany","339","0.0753566372198063","0.0675685822083038","0.0831446922313087"
"2","2006","college entrance qualification","East Germany","88","0.0781752492122038","0.0629294207224291","0.0934210777019786"
"2","2006","Other degree","West Germany","116","0.102322223337279","0.0845727978384268","0.120071648836132"
"2","2006","Other degree","East Germany","5","","",""
"2","2006","no degree/no degree yet","West Germany","46","0.0956906506774364","0.0710614069729074","0.120319894381965"
"2","2006","no degree/no degree yet","East Germany","9","","",""
"3","2006","lower secondary degree","West Germany","804","0.127080899329167","0.118733003934238","0.135428794724097"
"3","2006","lower secondary degree","East Germany","187","0.135661456638548","0.118150600865048","0.153172312412048"
"3","2006","secondary school degree","West Germany","469","0.105920735683953","0.0965114094571857","0.11533006191072"
"3","2006","secondary school degree","East Germany","271","0.114575186752483","0.101697576077729","0.127452797427237"
"3","2006","college entrance qualification","West Germany","546","0.116924627959499","0.107444089330325","0.126405166588673"
"3","2006","college entrance qualification","East Germany","130","0.111363551607019","0.0934976142067196","0.129229489007319"
"3","2006","Other degree","West Germany","132","0.113608711536007","0.0950239224630202","0.132193500608994"
"3","2006","Other degree","East Germany","9","","",""
"3","2006","no degree/no degree yet","West Germany","52","0.125096417353656","0.0973976562060876","0.152795178501224"
"3","2006","no degree/no degree yet","East Germany","10","","",""
"4","2006","lower secondary degree","West Germany","617","0.0958031457975872","0.0884262908977479","0.103180000697427"
"4","2006","lower secondary degree","East Germany","161","0.106533164963411","0.0907563683780439","0.122309961548777"
"4","2006","secondary school degree","West Germany","405","0.0994379337617338","0.090288106590338","0.10858776093313"
"4","2006","secondary school degree","East Germany","231","0.109288624282951","0.096674121441584","0.121903127124319"
"4","2006","college entrance qualification","West Germany","496","0.117990748151426","0.108472836371066","0.127508659931787"
"4","2006","college entrance qualification","East Germany","132","0.110873455894297","0.0930419594820112","0.128704952306583"
"4","2006","Other degree","West Germany","120","0.112485353590647","0.0939809610370401","0.130989746144255"
"4","2006","Other degree","East Germany","5","","",""
"4","2006","no degree/no degree yet","West Germany","44","0.0733225360235417","0.0514982094693402","0.0951468625777433"
"4","2006","no degree/no degree yet","East Germany","9","","",""
"5","2006","lower secondary degree","West Germany","1442","0.244336619242755","0.233566802114244","0.255106436371266"
"5","2006","lower secondary degree","East Germany","398","0.285103640505","0.262017033120404","0.308190247889596"
"5","2006","secondary school degree","West Germany","1032","0.257556758582196","0.244186243912326","0.270927273252067"
"5","2006","secondary school degree","East Germany","643","0.269012066247026","0.251083104355384","0.286941028138667"
"5","2006","college entrance qualification","West Germany","881","0.188722136195734","0.177177576805682","0.200266695585787"
"5","2006","college entrance qualification","East Germany","289","0.224638995326309","0.200936898827877","0.248341091824741"
"5","2006","Other degree","West Germany","231","0.19457250911554","0.171388259510971","0.217756758720108"
"5","2006","Other degree","East Germany","19","","",""
"5","2006","no degree/no degree yet","West Germany","96","0.167602756675748","0.136330177037583","0.198875336313913"
"5","2006","no degree/no degree yet","East Germany","17","","",""
"6","2006","lower secondary degree","West Germany","592","0.0933961941527268","0.0861029085803867","0.100689479725067"
"6","2006","lower secondary degree","East Germany","145","0.0950502356318566","0.0800524884743984","0.110047982789315"
"6","2006","secondary school degree","West Germany","525","0.120126023165439","0.110185509953508","0.130066536377371"
"6","2006","secondary school degree","East Germany","320","0.138882245313142","0.124900261458621","0.152864229167663"
"6","2006","college entrance qualification","West Germany","616","0.146623859971258","0.136187388277849","0.157060331664667"
"6","2006","college entrance qualification","East Germany","170","0.13136703471187","0.112182398765796","0.150551670657945"
"6","2006","Other degree","West Germany","109","0.0919301673537502","0.0750091009777648","0.108851233729736"
"6","2006","Other degree","East Germany","9","","",""
"6","2006","no degree/no degree yet","West Germany","68","0.117912096799819","0.0909102837464857","0.144913909853152"
"6","2006","no degree/no degree yet","East Germany","12","","",""
"7","2006","lower secondary degree","West Germany","596","0.0889553872385582","0.0818201928427233","0.0960905816343931"
"7","2006","lower secondary degree","East Germany","122","0.0801267187493166","0.0662435093362577","0.0940099281623755"
"7","2006","secondary school degree","West Germany","505","0.120679084308648","0.110718846097688","0.130639322519607"
"7","2006","secondary school degree","East Germany","315","0.115908840775819","0.102966257591862","0.128851423959776"
"7","2006","college entrance qualification","West Germany","738","0.171165082983737","0.160052302537801","0.182277863429674"
"7","2006","college entrance qualification","East Germany","197","0.162561808687629","0.141607282121408","0.183516335253851"
"7","2006","Other degree","West Germany","103","0.0963232890688799","0.0790445806254123","0.113601997512347"
"7","2006","Other degree","East Germany","5","","",""
"7","2006","no degree/no degree yet","West Germany","77","0.129325628393537","0.101230696022815","0.157420560764258"
"7","2006","no degree/no degree yet","East Germany","23","","",""
"8","2006","lower secondary degree","West Germany","420","0.0650757991703553","0.0588935313322735","0.0712580670084371"
"8","2006","lower secondary degree","East Germany","93","0.0598604591316183","0.047729269981219","0.0719916482820177"
"8","2006","secondary school degree","West Germany","390","0.0940572629544001","0.0851318860948985","0.102982639813902"
"8","2006","secondary school degree","East Germany","203","0.0893487009016639","0.0778159121558949","0.100881489647433"
"8","2006","college entrance qualification","West Germany","446","0.101325642031497","0.0924225270041027","0.110228757058891"
"8","2006","college entrance qualification","East Germany","116","0.113566939747661","0.0955475057914868","0.131586373703835"
"8","2006","Other degree","West Germany","76","0.0725115478666973","0.0573236760481659","0.0876994196852287"
"8","2006","Other degree","East Germany","3","","",""
"8","2006","no degree/no degree yet","West Germany","74","0.117792753526753","0.0908027830717062","0.144782723981801"
"8","2006","no degree/no degree yet","East Germany","9","","",""
"9","2006","lower secondary degree","West Germany","95","0.0145581020258932","0.0115560532009758","0.0175601508508106"
"9","2006","lower secondary degree","East Germany","20","","",""
"9","2006","secondary school degree","West Germany","103","0.0258307219243565","0.0209804564814137","0.0306809873672993"
"9","2006","secondary school degree","East Germany","47","0.0242541893884041","0.0180343969826326","0.0304739817941755"
"9","2006","college entrance qualification","West Germany","110","0.020322394039818","0.0161593581822788","0.0244854298973572"
"9","2006","college entrance qualification","East Germany","25","","",""
"9","2006","Other degree","West Germany","18","","",""
"9","2006","Other degree","East Germany","2","","",""
"9","2006","no degree/no degree yet","West Germany","20","","",""
"9","2006","no degree/no degree yet","East Germany","3","","",""
"10 Very willing to take risks","2006","lower secondary degree","West Germany","88","0.0172436481451646","0.0139808713395208","0.0205064249508085"
"10 Very willing to take risks","2006","lower secondary degree","East Germany","17","","",""
"10 Very willing to take risks","2006","secondary school degree","West Germany","48","0.0150937792702742","0.0113657745124322","0.0188217840281163"
"10 Very willing to take risks","2006","secondary school degree","East Germany","24","","",""
"10 Very willing to take risks","2006","college entrance qualification","West Germany","46","0.0132472533941118","0.00987400578623258","0.016620501001991"
"10 Very willing to take risks","2006","college entrance qualification","East Germany","13","","",""
"10 Very willing to take risks","2006","Other degree","West Germany","28","","",""
"10 Very willing to take risks","2006","Other degree","East Germany","3","","",""
"10 Very willing to take risks","2006","no degree/no degree yet","West Germany","14","","",""
"10 Very willing to take risks","2006","no degree/no degree yet","East Germany","1","","",""
"0 Not at all Willing to take risks","2007","lower secondary degree","West Germany","","","",""
"0 Not at all Willing to take risks","2007","lower secondary degree","East Germany","","","",""
"0 Not at all Willing to take risks","2007","secondary school degree","West Germany","","","",""
"0 Not at all Willing to take risks","2007","secondary school degree","East Germany","","","",""
"0 Not at all Willing to take risks","2007","college entrance qualification","West Germany","","","",""
"0 Not at all Willing to take risks","2007","college entrance qualification","East Germany","","","",""
"0 Not at all Willing to take risks","2007","Other degree","West Germany","","","",""
"0 Not at all Willing to take risks","2007","Other degree","East Germany","","","",""
"0 Not at all Willing to take risks","2007","no degree/no degree yet","West Germany","","","",""
"0 Not at all Willing to take risks","2007","no degree/no degree yet","East Germany","","","",""
"1","2007","lower secondary degree","West Germany","","","",""
"1","2007","lower secondary degree","East Germany","","","",""
"1","2007","secondary school degree","West Germany","","","",""
"1","2007","secondary school degree","East Germany","","","",""
"1","2007","college entrance qualification","West Germany","","","",""
"1","2007","college entrance qualification","East Germany","","","",""
"1","2007","Other degree","West Germany","","","",""
"1","2007","Other degree","East Germany","","","",""
"1","2007","no degree/no degree yet","West Germany","","","",""
"1","2007","no degree/no degree yet","East Germany","","","",""
"2","2007","lower secondary degree","West Germany","","","",""
"2","2007","lower secondary degree","East Germany","","","",""
"2","2007","secondary school degree","West Germany","","","",""
"2","2007","secondary school degree","East Germany","","","",""
"2","2007","college entrance qualification","West Germany","","","",""
"2","2007","college entrance qualification","East Germany","","","",""
"2","2007","Other degree","West Germany","","","",""
"2","2007","Other degree","East Germany","","","",""
"2","2007","no degree/no degree yet","West Germany","","","",""
"2","2007","no degree/no degree yet","East Germany","","","",""
"3","2007","lower secondary degree","West Germany","","","",""
"3","2007","lower secondary degree","East Germany","","","",""
"3","2007","secondary school degree","West Germany","","","",""
"3","2007","secondary school degree","East Germany","","","",""
"3","2007","college entrance qualification","West Germany","","","",""
"3","2007","college entrance qualification","East Germany","","","",""
"3","2007","Other degree","West Germany","","","",""
"3","2007","Other degree","East Germany","","","",""
"3","2007","no degree/no degree yet","West Germany","","","",""
"3","2007","no degree/no degree yet","East Germany","","","",""
"4","2007","lower secondary degree","West Germany","","","",""
"4","2007","lower secondary degree","East Germany","","","",""
"4","2007","secondary school degree","West Germany","","","",""
"4","2007","secondary school degree","East Germany","","","",""
"4","2007","college entrance qualification","West Germany","","","",""
"4","2007","college entrance qualification","East Germany","","","",""
"4","2007","Other degree","West Germany","","","",""
"4","2007","Other degree","East Germany","","","",""
"4","2007","no degree/no degree yet","West Germany","","","",""
"4","2007","no degree/no degree yet","East Germany","","","",""
"5","2007","lower secondary degree","West Germany","","","",""
"5","2007","lower secondary degree","East Germany","","","",""
"5","2007","secondary school degree","West Germany","","","",""
"5","2007","secondary school degree","East Germany","","","",""
"5","2007","college entrance qualification","West Germany","","","",""
"5","2007","college entrance qualification","East Germany","","","",""
"5","2007","Other degree","West Germany","","","",""
"5","2007","Other degree","East Germany","","","",""
"5","2007","no degree/no degree yet","West Germany","","","",""
"5","2007","no degree/no degree yet","East Germany","","","",""
"6","2007","lower secondary degree","West Germany","","","",""
"6","2007","lower secondary degree","East Germany","","","",""
"6","2007","secondary school degree","West Germany","","","",""
"6","2007","secondary school degree","East Germany","","","",""
"6","2007","college entrance qualification","West Germany","","","",""
"6","2007","college entrance qualification","East Germany","","","",""
"6","2007","Other degree","West Germany","","","",""
"6","2007","Other degree","East Germany","","","",""
"6","2007","no degree/no degree yet","West Germany","","","",""
"6","2007","no degree/no degree yet","East Germany","","","",""
