"plh0204_h","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"4","2004","lower secondary degree","middle vocational","558","0.0982539950281065","0.0901900333675602","0.106317956688653"
"4","2004","lower secondary degree","vocational + Abi","5","","",""
"4","2004","lower secondary degree","higher vocational","51","0.107402295640479","0.0796745220500547","0.135130069230904"
"4","2004","lower secondary degree","higher education","21","","",""
"4","2004","secondary school degree","in school","","","",""
"4","2004","secondary school degree","inadequately","","","",""
"4","2004","secondary school degree","general elemantary","54","0.0737314079620958","0.052924549560558","0.0945382663636335"
"4","2004","secondary school degree","middle vocational","478","0.111081471075458","0.10164642306022","0.120516519090697"
"4","2004","secondary school degree","vocational + Abi","3","","",""
"4","2004","secondary school degree","higher vocational","88","0.09911899565806","0.0774420133982189","0.120795977917901"
"4","2004","secondary school degree","higher education","73","0.121120118857304","0.0959409645509957","0.146299273163611"
"4","2004","college entrance qualification","in school","","","",""
"4","2004","college entrance qualification","inadequately","","","",""
"4","2004","college entrance qualification","general elemantary","","","",""
"4","2004","college entrance qualification","middle vocational","83","0.111110105316922","0.0889557504379959","0.133264460195849"
"4","2004","college entrance qualification","vocational + Abi","106","0.106768879660435","0.087334687639682","0.126203071681188"
"4","2004","college entrance qualification","higher vocational","36","0.0835922772051207","0.0552369282223724","0.111947626187869"
"4","2004","college entrance qualification","higher education","387","0.115548270545324","0.10457276070818","0.126523780382467"
"4","2004","Other degree","in school","","","",""
"4","2004","Other degree","inadequately","5","","",""
"4","2004","Other degree","general elemantary","21","","",""
"4","2004","Other degree","middle vocational","43","0.0859672668630111","0.0592541021790601","0.112680431546962"
"4","2004","Other degree","vocational + Abi","12","","",""
"4","2004","Other degree","higher vocational","5","","",""
"4","2004","Other degree","higher education","29","","",""
"4","2004","no degree/no degree yet","in school","59","0.0885068779268827","0.0663454050863642","0.110668350767401"
"4","2004","no degree/no degree yet","inadequately","11","","",""
"4","2004","no degree/no degree yet","general elemantary","","","",""
"4","2004","no degree/no degree yet","middle vocational","3","","",""
"4","2004","no degree/no degree yet","vocational + Abi","","","",""
"4","2004","no degree/no degree yet","higher vocational","","","",""
"4","2004","no degree/no degree yet","higher education","1","","",""
"5","2004","lower secondary degree","in school","","","",""
"5","2004","lower secondary degree","inadequately","","","",""
"5","2004","lower secondary degree","general elemantary","296","0.176450192786465","0.157887260208655","0.195013125364274"
"5","2004","lower secondary degree","middle vocational","1200","0.238318557060718","0.226776137685149","0.249860976436287"
"5","2004","lower secondary degree","vocational + Abi","2","","",""
"5","2004","lower secondary degree","higher vocational","108","0.246592309999861","0.20799250389234","0.285192116107383"
"5","2004","lower secondary degree","higher education","54","0.314166051664733","0.24798916902263","0.380342934306835"
"5","2004","secondary school degree","in school","","","",""
"5","2004","secondary school degree","inadequately","","","",""
"5","2004","secondary school degree","general elemantary","132","0.207709343439202","0.175410865066342","0.240007821812061"
"5","2004","secondary school degree","middle vocational","1043","0.237694151536961","0.224913111425986","0.250475191647935"
"5","2004","secondary school degree","vocational + Abi","6","","",""
"5","2004","secondary school degree","higher vocational","161","0.23358686955475","0.202893657314701","0.264280081794798"
"5","2004","secondary school degree","higher education","151","0.259237562716981","0.225418880990757","0.293056244443205"
"5","2004","college entrance qualification","in school","","","",""
"5","2004","college entrance qualification","inadequately","","","",""
"5","2004","college entrance qualification","general elemantary","","","",""
"5","2004","college entrance qualification","middle vocational","149","0.202041984306383","0.173736592064694","0.230347376548071"
"5","2004","college entrance qualification","vocational + Abi","210","0.228479972512052","0.202058324969504","0.254901620054601"
"5","2004","college entrance qualification","higher vocational","89","0.272584009122454","0.22696465232721","0.318203365917697"
"5","2004","college entrance qualification","higher education","655","0.19990978631232","0.186179094563435","0.213640478061205"
"5","2004","Other degree","in school","","","",""
"5","2004","Other degree","inadequately","7","","",""
"5","2004","Other degree","general elemantary","47","0.102762184246076","0.0710861220936491","0.134438246398502"
"5","2004","Other degree","middle vocational","79","0.182260857248458","0.145470669430522","0.219051045066395"
"5","2004","Other degree","vocational + Abi","26","","",""
"5","2004","Other degree","higher vocational","9","","",""
"5","2004","Other degree","higher education","41","0.20619287092344","0.148666680997442","0.263719060849438"
"5","2004","no degree/no degree yet","in school","142","0.237831506858246","0.204611967878975","0.271051045837517"
"5","2004","no degree/no degree yet","inadequately","26","","",""
"5","2004","no degree/no degree yet","general elemantary","","","",""
"5","2004","no degree/no degree yet","middle vocational","7","","",""
"5","2004","no degree/no degree yet","vocational + Abi","","","",""
"5","2004","no degree/no degree yet","higher vocational","2","","",""
"5","2004","no degree/no degree yet","higher education","","","",""
"6","2004","lower secondary degree","in school","","","",""
"6","2004","lower secondary degree","inadequately","","","",""
"6","2004","lower secondary degree","general elemantary","100","0.0524135118307007","0.0415612155209881","0.0632658081404132"
"6","2004","lower secondary degree","middle vocational","456","0.0834488604536052","0.0759564805903456","0.0909412403168647"
"6","2004","lower secondary degree","vocational + Abi","4","","",""
"6","2004","lower secondary degree","higher vocational","61","0.141510475638772","0.110297000042726","0.172723951234817"
"6","2004","lower secondary degree","higher education","20","","",""
"6","2004","secondary school degree","in school","","","",""
"6","2004","secondary school degree","inadequately","","","",""
"6","2004","secondary school degree","general elemantary","74","0.100585620736682","0.0766381504877012","0.124533090985663"
"6","2004","secondary school degree","middle vocational","501","0.122026769130049","0.112198873910541","0.131854664349558"
"6","2004","secondary school degree","vocational + Abi","6","","",""
"6","2004","secondary school degree","higher vocational","81","0.11801345695085","0.0946098170867285","0.141417096814972"
"6","2004","secondary school degree","higher education","75","0.108007744560156","0.0840538450041572","0.131961644116155"
"6","2004","college entrance qualification","in school","","","",""
"6","2004","college entrance qualification","inadequately","","","",""
"6","2004","college entrance qualification","general elemantary","","","",""
"6","2004","college entrance qualification","middle vocational","117","0.14238286757798","0.117748924370031","0.167016810785929"
"6","2004","college entrance qualification","vocational + Abi","134","0.122918849073424","0.102255945196193","0.143581752950654"
"6","2004","college entrance qualification","higher vocational","51","0.153345524131895","0.116431090906117","0.190259957357673"
"6","2004","college entrance qualification","higher education","434","0.135419665941964","0.123672057674512","0.147167274209416"
"6","2004","Other degree","in school","","","",""
"6","2004","Other degree","inadequately","2","","",""
"6","2004","Other degree","general elemantary","18","","",""
"6","2004","Other degree","middle vocational","25","","",""
"6","2004","Other degree","vocational + Abi","14","","",""
"6","2004","Other degree","higher vocational","8","","",""
"6","2004","Other degree","higher education","27","","",""
"6","2004","no degree/no degree yet","in school","94","0.11849911845918","0.0932816000439533","0.143716636874407"
"6","2004","no degree/no degree yet","inadequately","10","","",""
"6","2004","no degree/no degree yet","general elemantary","","","",""
"6","2004","no degree/no degree yet","middle vocational","6","","",""
"6","2004","no degree/no degree yet","vocational + Abi","","","",""
"6","2004","no degree/no degree yet","higher vocational","","","",""
"6","2004","no degree/no degree yet","higher education","","","",""
"7","2004","lower secondary degree","in school","","","",""
"7","2004","lower secondary degree","inadequately","","","",""
"7","2004","lower secondary degree","general elemantary","78","0.0471716666039362","0.0368478917325443","0.057495441475328"
"7","2004","lower secondary degree","middle vocational","420","0.0800245515511271","0.0726738130178613","0.0873752900843929"
"7","2004","lower secondary degree","vocational + Abi","1","","",""
"7","2004","lower secondary degree","higher vocational","42","0.0794818135215414","0.0552586754425905","0.103704951600492"
"7","2004","lower secondary degree","higher education","25","","",""
"7","2004","secondary school degree","in school","","","",""
"7","2004","secondary school degree","inadequately","","","",""
"7","2004","secondary school degree","general elemantary","90","0.133510502264165","0.106430347289402","0.160590657238929"
"7","2004","secondary school degree","middle vocational","513","0.117372429385271","0.107708269297329","0.127036589473213"
"7","2004","secondary school degree","vocational + Abi","3","","",""
"7","2004","secondary school degree","higher vocational","95","0.128418259796517","0.104149135119978","0.152687384473057"
"7","2004","secondary school degree","higher education","92","0.122084194874771","0.0968188989550892","0.147349490794452"
"7","2004","college entrance qualification","in school","","","",""
"7","2004","college entrance qualification","inadequately","","","",""
"7","2004","college entrance qualification","general elemantary","","","",""
"7","2004","college entrance qualification","middle vocational","164","0.199783877384413","0.171597308596592","0.227970446172234"
"7","2004","college entrance qualification","vocational + Abi","138","0.138030678015507","0.116323871299963","0.159737484731051"
"7","2004","college entrance qualification","higher vocational","59","0.162136392010016","0.1243761764943","0.199896607525731"
"7","2004","college entrance qualification","higher education","505","0.149248295206358","0.137014477233133","0.161482113179583"
"7","2004","Other degree","in school","","","",""
"7","2004","Other degree","inadequately","3","","",""
"7","2004","Other degree","general elemantary","10","","",""
"7","2004","Other degree","middle vocational","24","","",""
"7","2004","Other degree","vocational + Abi","5","","",""
"7","2004","Other degree","higher vocational","2","","",""
"7","2004","Other degree","higher education","13","","",""
"7","2004","no degree/no degree yet","in school","101","0.160595857141695","0.131948396303695","0.189243317979695"
"7","2004","no degree/no degree yet","inadequately","11","","",""
"7","2004","no degree/no degree yet","general elemantary","","","",""
"7","2004","no degree/no degree yet","middle vocational","4","","",""
"7","2004","no degree/no degree yet","vocational + Abi","","","",""
"7","2004","no degree/no degree yet","higher vocational","","","",""
"7","2004","no degree/no degree yet","higher education","1","","",""
"8","2004","lower secondary degree","in school","","","",""
"8","2004","lower secondary degree","inadequately","","","",""
"8","2004","lower secondary degree","general elemantary","76","0.0473251799402881","0.0369854531355885","0.0576649067449878"
"8","2004","lower secondary degree","middle vocational","279","0.055190853135373","0.0490044697595909","0.0613772365111551"
"8","2004","lower secondary degree","vocational + Abi","3","","",""
"8","2004","lower secondary degree","higher vocational","33","0.0550583765784976","0.0346318499273962","0.075484903229599"
"8","2004","lower secondary degree","higher education","13","","",""
"8","2004","secondary school degree","in school","","","",""
"8","2004","secondary school degree","inadequately","","","",""
"8","2004","secondary school degree","general elemantary","63","0.125821381565591","0.099416203917986","0.152226559213195"
"8","2004","secondary school degree","middle vocational","296","0.0631560339167355","0.0558524944480346","0.0704595733854363"
"8","2004","secondary school degree","vocational + Abi","2","","",""
"8","2004","secondary school degree","higher vocational","67","0.102917812918427","0.0808759624493778","0.124959663387477"
"8","2004","secondary school degree","higher education","57","0.0694024422043638","0.0497897792728823","0.0890151051358453"
"8","2004","college entrance qualification","in school","","","",""
"8","2004","college entrance qualification","inadequately","","","",""
"8","2004","college entrance qualification","general elemantary","","","",""
"8","2004","college entrance qualification","middle vocational","87","0.117795680856797","0.0950704859209969","0.140520875792597"
"8","2004","college entrance qualification","vocational + Abi","69","0.0581356400080736","0.0434098828375352","0.0728613971786119"
"8","2004","college entrance qualification","higher vocational","24","","",""
"8","2004","college entrance qualification","higher education","292","0.084293810639785","0.0747552723093854","0.0938323489701845"
"8","2004","Other degree","in school","","","",""
"8","2004","Other degree","inadequately","4","","",""
"8","2004","Other degree","general elemantary","2","","",""
"8","2004","Other degree","middle vocational","21","","",""
"8","2004","Other degree","vocational + Abi","6","","",""
"8","2004","Other degree","higher vocational","6","","",""
"8","2004","Other degree","higher education","14","","",""
"8","2004","no degree/no degree yet","in school","75","0.12139088110668","0.0959094217810983","0.146872340432262"
"8","2004","no degree/no degree yet","inadequately","5","","",""
"8","2004","no degree/no degree yet","general elemantary","","","",""
"8","2004","no degree/no degree yet","middle vocational","3","","",""
"8","2004","no degree/no degree yet","vocational + Abi","","","",""
"8","2004","no degree/no degree yet","higher vocational","","","",""
"8","2004","no degree/no degree yet","higher education","","","",""
"9","2004","lower secondary degree","in school","","","",""
"9","2004","lower secondary degree","inadequately","","","",""
"9","2004","lower secondary degree","general elemantary","19","","",""
"9","2004","lower secondary degree","middle vocational","67","0.00997874618333161","0.00728602442880027","0.0126714679378629"
"9","2004","lower secondary degree","vocational + Abi","1","","",""
"9","2004","lower secondary degree","higher vocational","7","","",""
"9","2004","lower secondary degree","higher education","3","","",""
"9","2004","secondary school degree","in school","","","",""
"9","2004","secondary school degree","inadequately","","","",""
"9","2004","secondary school degree","general elemantary","22","","",""
"9","2004","secondary school degree","middle vocational","64","0.0131772385615427","0.00975331463220984","0.0166011624908756"
"9","2004","secondary school degree","vocational + Abi","","","",""
"9","2004","secondary school degree","higher vocational","11","","",""
"9","2004","secondary school degree","higher education","10","","",""
"9","2004","college entrance qualification","in school","","","",""
"9","2004","college entrance qualification","inadequately","","","",""
"9","2004","college entrance qualification","general elemantary","","","",""
"9","2004","college entrance qualification","middle vocational","19","","",""
"9","2004","college entrance qualification","vocational + Abi","23","","",""
"9","2004","college entrance qualification","higher vocational","3","","",""
"9","2004","college entrance qualification","higher education","71","0.0169865237865281","0.0125500501773528","0.0214229973957033"
"9","2004","Other degree","in school","","","",""
"9","2004","Other degree","inadequately","2","","",""
"9","2004","Other degree","general elemantary","2","","",""
"9","2004","Other degree","middle vocational","3","","",""
"9","2004","Other degree","vocational + Abi","","","",""
"9","2004","Other degree","higher vocational","2","","",""
"9","2004","Other degree","higher education","5","","",""
"9","2004","no degree/no degree yet","in school","33","0.0470412356709128","0.0305212439135704","0.0635612274282552"
"9","2004","no degree/no degree yet","inadequately","2","","",""
"9","2004","no degree/no degree yet","general elemantary","","","",""
"9","2004","no degree/no degree yet","middle vocational","1","","",""
"9","2004","no degree/no degree yet","vocational + Abi","","","",""
"9","2004","no degree/no degree yet","higher vocational","","","",""
"9","2004","no degree/no degree yet","higher education","","","",""
"10 Very willing to take risks","2004","lower secondary degree","in school","","","",""
"10 Very willing to take risks","2004","lower secondary degree","inadequately","","","",""
"10 Very willing to take risks","2004","lower secondary degree","general elemantary","19","","",""
"10 Very willing to take risks","2004","lower secondary degree","middle vocational","48","0.00843087394851888","0.00595385671641674","0.010907891180621"
"10 Very willing to take risks","2004","lower secondary degree","vocational + Abi","","","",""
"10 Very willing to take risks","2004","lower secondary degree","higher vocational","2","","",""
"10 Very willing to take risks","2004","lower secondary degree","higher education","4","","",""
"10 Very willing to take risks","2004","secondary school degree","in school","","","",""
"10 Very willing to take risks","2004","secondary school degree","inadequately","","","",""
"10 Very willing to take risks","2004","secondary school degree","general elemantary","6","","",""
"10 Very willing to take risks","2004","secondary school degree","middle vocational","35","0.00686750539157726","0.00438782661800565","0.00934718416514888"
"10 Very willing to take risks","2004","secondary school degree","vocational + Abi","","","",""
"10 Very willing to take risks","2004","secondary school degree","higher vocational","5","","",""
"10 Very willing to take risks","2004","secondary school degree","higher education","2","","",""
"10 Very willing to take risks","2004","college entrance qualification","in school","","","",""
"10 Very willing to take risks","2004","college entrance qualification","inadequately","","","",""
"10 Very willing to take risks","2004","college entrance qualification","general elemantary","","","",""
"10 Very willing to take risks","2004","college entrance qualification","middle vocational","11","","",""
"10 Very willing to take risks","2004","college entrance qualification","vocational + Abi","6","","",""
"10 Very willing to take risks","2004","college entrance qualification","higher vocational","1","","",""
"10 Very willing to take risks","2004","college entrance qualification","higher education","26","","",""
"10 Very willing to take risks","2004","Other degree","in school","","","",""
"10 Very willing to take risks","2004","Other degree","inadequately","1","","",""
"10 Very willing to take risks","2004","Other degree","general elemantary","5","","",""
"10 Very willing to take risks","2004","Other degree","middle vocational","13","","",""
"10 Very willing to take risks","2004","Other degree","vocational + Abi","1","","",""
"10 Very willing to take risks","2004","Other degree","higher vocational","","","",""
"10 Very willing to take risks","2004","Other degree","higher education","2","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","in school","11","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","inadequately","1","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","general elemantary","","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","middle vocational","3","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","vocational + Abi","","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","higher vocational","","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","higher education","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","in school","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","inadequately","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","general elemantary","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","middle vocational","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","higher vocational","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","higher education","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","in school","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","inadequately","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","general elemantary","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","middle vocational","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","higher vocational","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","higher education","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","in school","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","general elemantary","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","middle vocational","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","higher vocational","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","higher education","","","",""
"0 Not at all Willing to take risks","2005","Other degree","in school","","","",""
"0 Not at all Willing to take risks","2005","Other degree","inadequately","","","",""
"0 Not at all Willing to take risks","2005","Other degree","general elemantary","","","",""
"0 Not at all Willing to take risks","2005","Other degree","middle vocational","","","",""
"0 Not at all Willing to take risks","2005","Other degree","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2005","Other degree","higher vocational","","","",""
"0 Not at all Willing to take risks","2005","Other degree","higher education","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","in school","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","inadequately","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","general elemantary","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","middle vocational","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","vocational + Abi","","","",""
