"plh0204_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"1","2004","secondary school degree","(2a) intermediate vocational","182","0.041820681237367","0.036262642166808","0.047378720307926"
"1","2004","secondary school degree","(2c_gen) general maturity certificate","","","",""
"1","2004","secondary school degree","(2c_voc) vocational maturity certificate","3","","",""
"1","2004","secondary school degree","(3a) lower tertiary education","20","","",""
"1","2004","secondary school degree","(3b) higher tertiary education","3","","",""
"1","2004","college entrance qualification","(0) in school","","","",""
"1","2004","college entrance qualification","(1a) inadequately completed","","","",""
"1","2004","college entrance qualification","(1b) general elementary school","","","",""
"1","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"1","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"1","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"1","2004","college entrance qualification","(2c_gen) general maturity certificate","10","","",""
"1","2004","college entrance qualification","(2c_voc) vocational maturity certificate","44","0.029758673492994","0.0206471388512586","0.0388702081347294"
"1","2004","college entrance qualification","(3a) lower tertiary education","34","0.0425724078300866","0.0300467686519376","0.0550980470082357"
"1","2004","college entrance qualification","(3b) higher tertiary education","54","0.0301964827149228","0.0231427683874739","0.0372501970423717"
"1","2004","Other degree","(0) in school","","","",""
"1","2004","Other degree","(1a) inadequately completed","","","",""
"1","2004","Other degree","(1b) general elementary school","40","0.1274414773675","0.0942608258520013","0.160622128882999"
"1","2004","Other degree","(1c) basic vocational qualification","35","0.118662165783212","0.0866487216454269","0.150675609920998"
"1","2004","Other degree","(2b) intermediate general qualification","","","",""
"1","2004","Other degree","(2a) intermediate vocational","","","",""
"1","2004","Other degree","(2c_gen) general maturity certificate","4","","",""
"1","2004","Other degree","(2c_voc) vocational maturity certificate","8","","",""
"1","2004","Other degree","(3a) lower tertiary education","","","",""
"1","2004","Other degree","(3b) higher tertiary education","8","","",""
"1","2004","no degree/no degree yet","(0) in school","10","","",""
"1","2004","no degree/no degree yet","(1a) inadequately completed","23","","",""
"1","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"1","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"1","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"1","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"1","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"1","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"1","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"1","2004","no degree/no degree yet","(3b) higher tertiary education","","","",""
"2","2004","lower secondary degree","(0) in school","","","",""
"2","2004","lower secondary degree","(1a) inadequately completed","","","",""
"2","2004","lower secondary degree","(1b) general elementary school","220","0.134887777270987","0.118237724887645","0.151537829654329"
"2","2004","lower secondary degree","(1c) basic vocational qualification","656","0.114853693051012","0.106558874111919","0.123148511990105"
"2","2004","lower secondary degree","(2b) intermediate general qualification","","","",""
"2","2004","lower secondary degree","(2a) intermediate vocational","2","","",""
"2","2004","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"2","2004","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"2","2004","lower secondary degree","(3a) lower tertiary education","12","","",""
"2","2004","lower secondary degree","(3b) higher tertiary education","2","","",""
"2","2004","secondary school degree","(0) in school","","","",""
"2","2004","secondary school degree","(1a) inadequately completed","","","",""
"2","2004","secondary school degree","(1b) general elementary school","","","",""
"2","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"2","2004","secondary school degree","(2b) intermediate general qualification","44","0.0836725159909034","0.0616265796281047","0.105718452353702"
"2","2004","secondary school degree","(2a) intermediate vocational","480","0.0960808715577653","0.087898373651623","0.104263369463908"
"2","2004","secondary school degree","(2c_gen) general maturity certificate","","","",""
"2","2004","secondary school degree","(2c_voc) vocational maturity certificate","6","","",""
"2","2004","secondary school degree","(3a) lower tertiary education","53","0.113154891458439","0.0861855271483302","0.140124255768548"
"2","2004","secondary school degree","(3b) higher tertiary education","7","","",""
"2","2004","college entrance qualification","(0) in school","","","",""
"2","2004","college entrance qualification","(1a) inadequately completed","","","",""
"2","2004","college entrance qualification","(1b) general elementary school","","","",""
"2","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"2","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"2","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"2","2004","college entrance qualification","(2c_gen) general maturity certificate","53","0.0568059968096358","0.0404884092408283","0.0731235843784433"
"2","2004","college entrance qualification","(2c_voc) vocational maturity certificate","97","0.0759173867289733","0.0617146876159051","0.0901200858420414"
"2","2004","college entrance qualification","(3a) lower tertiary education","70","0.0645270844875615","0.0492841195432502","0.0797700494318729"
"2","2004","college entrance qualification","(3b) higher tertiary education","211","0.0915565297849143","0.0796690052745286","0.1034440542953"
"2","2004","Other degree","(0) in school","","","",""
"2","2004","Other degree","(1a) inadequately completed","","","",""
"2","2004","Other degree","(1b) general elementary school","59","0.178551696589207","0.140444733676849","0.216658659501564"
"2","2004","Other degree","(1c) basic vocational qualification","45","0.103763946792953","0.0735755879376716","0.133952305648234"
"2","2004","Other degree","(2b) intermediate general qualification","","","",""
"2","2004","Other degree","(2a) intermediate vocational","","","",""
"2","2004","Other degree","(2c_gen) general maturity certificate","6","","",""
"2","2004","Other degree","(2c_voc) vocational maturity certificate","16","","",""
"2","2004","Other degree","(3a) lower tertiary education","1","","",""
"2","2004","Other degree","(3b) higher tertiary education","17","","",""
"2","2004","no degree/no degree yet","(0) in school","28","","",""
"2","2004","no degree/no degree yet","(1a) inadequately completed","35","0.132394839187344","0.0912775543094876","0.1735121240652"
"2","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"2","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"2","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"2","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"2","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"2","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"2","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"2","2004","no degree/no degree yet","(3b) higher tertiary education","","","",""
"3","2004","lower secondary degree","(0) in school","","","",""
"3","2004","lower secondary degree","(1a) inadequately completed","","","",""
"3","2004","lower secondary degree","(1b) general elementary school","209","0.121058034223894","0.105159027605413","0.136957040842374"
"3","2004","lower secondary degree","(1c) basic vocational qualification","730","0.120921389885848","0.112439506069852","0.129403273701844"
"3","2004","lower secondary degree","(2b) intermediate general qualification","1","","",""
"3","2004","lower secondary degree","(2a) intermediate vocational","","","",""
"3","2004","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"3","2004","lower secondary degree","(2c_voc) vocational maturity certificate","4","","",""
"3","2004","lower secondary degree","(3a) lower tertiary education","17","","",""
"3","2004","lower secondary degree","(3b) higher tertiary education","7","","",""
"3","2004","secondary school degree","(0) in school","","","",""
"3","2004","secondary school degree","(1a) inadequately completed","","","",""
"3","2004","secondary school degree","(1b) general elementary school","","","",""
"3","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"3","2004","secondary school degree","(2b) intermediate general qualification","68","0.119838523112614","0.0939807463836897","0.145696299841538"
"3","2004","secondary school degree","(2a) intermediate vocational","649","0.128789020342807","0.119488575160772","0.138089465524842"
"3","2004","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"3","2004","secondary school degree","(2c_voc) vocational maturity certificate","6","","",""
"3","2004","secondary school degree","(3a) lower tertiary education","70","0.129680462946571","0.10107909541915","0.158281830473992"
"3","2004","secondary school degree","(3b) higher tertiary education","10","","",""
"3","2004","college entrance qualification","(0) in school","","","",""
"3","2004","college entrance qualification","(1a) inadequately completed","","","",""
"3","2004","college entrance qualification","(1b) general elementary school","","","",""
"3","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"3","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"3","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"3","2004","college entrance qualification","(2c_gen) general maturity certificate","67","0.10780243604791","0.0859397686376368","0.129665103458183"
"3","2004","college entrance qualification","(2c_voc) vocational maturity certificate","191","0.126110125002817","0.108308969507307","0.143911280498327"
"3","2004","college entrance qualification","(3a) lower tertiary education","117","0.135169543862142","0.113957245247975","0.156381842476309"
"3","2004","college entrance qualification","(3b) higher tertiary education","327","0.143928538723352","0.129459946476596","0.158397130970108"
"3","2004","Other degree","(0) in school","","","",""
"3","2004","Other degree","(1a) inadequately completed","","","",""
"3","2004","Other degree","(1b) general elementary school","46","0.123551500756741","0.0908084273603897","0.156294574153093"
"3","2004","Other degree","(1c) basic vocational qualification","58","0.150591967989197","0.115187005090924","0.185996930887471"
"3","2004","Other degree","(2b) intermediate general qualification","","","",""
"3","2004","Other degree","(2a) intermediate vocational","","","",""
"3","2004","Other degree","(2c_gen) general maturity certificate","9","","",""
"3","2004","Other degree","(2c_voc) vocational maturity certificate","20","","",""
"3","2004","Other degree","(3a) lower tertiary education","2","","",""
"3","2004","Other degree","(3b) higher tertiary education","16","","",""
"3","2004","no degree/no degree yet","(0) in school","60","0.0898641194416037","0.067585282465679","0.112142956417528"
"3","2004","no degree/no degree yet","(1a) inadequately completed","30","0.138771089196919","0.0968302963558016","0.180711882038036"
"3","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"3","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"3","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"3","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"3","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"3","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"3","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"3","2004","no degree/no degree yet","(3b) higher tertiary education","","","",""
"4","2004","lower secondary degree","(0) in school","","","",""
"4","2004","lower secondary degree","(1a) inadequately completed","","","",""
"4","2004","lower secondary degree","(1b) general elementary school","156","0.101602673558582","0.0868768404395341","0.116328506677629"
"4","2004","lower secondary degree","(1c) basic vocational qualification","606","0.0992639171657666","0.0914849599544853","0.107042874377048"
"4","2004","lower secondary degree","(2b) intermediate general qualification","","","",""
"4","2004","lower secondary degree","(2a) intermediate vocational","3","","",""
"4","2004","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"4","2004","lower secondary degree","(2c_voc) vocational maturity certificate","5","","",""
"4","2004","lower secondary degree","(3a) lower tertiary education","17","","",""
"4","2004","lower secondary degree","(3b) higher tertiary education","4","","",""
"4","2004","secondary school degree","(0) in school","","","",""
"4","2004","secondary school degree","(1a) inadequately completed","","","",""
"4","2004","secondary school degree","(1b) general elementary school","","","",""
"4","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"4","2004","secondary school degree","(2b) intermediate general qualification","54","0.0737314079620958","0.052924549560558","0.0945382663636335"
"4","2004","secondary school degree","(2a) intermediate vocational","564","0.109184062918072","0.10052489299597","0.117843232840174"
"4","2004","secondary school degree","(2c_gen) general maturity certificate","","","",""
"4","2004","secondary school degree","(2c_voc) vocational maturity certificate","5","","",""
"4","2004","secondary school degree","(3a) lower tertiary education","67","0.139606637791229","0.110100544189539","0.169112731392919"
"4","2004","secondary school degree","(3b) higher tertiary education","6","","",""
"4","2004","college entrance qualification","(0) in school","","","",""
"4","2004","college entrance qualification","(1a) inadequately completed","","","",""
"4","2004","college entrance qualification","(1b) general elementary school","","","",""
"4","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"4","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"4","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"4","2004","college entrance qualification","(2c_gen) general maturity certificate","83","0.111110105316922","0.0889557504379959","0.133264460195849"
"4","2004","college entrance qualification","(2c_voc) vocational maturity certificate","142","0.100702173459923","0.0845654240111141","0.116838922908731"
"4","2004","college entrance qualification","(3a) lower tertiary education","121","0.114991693565423","0.0951996914405495","0.134783695690297"
"4","2004","college entrance qualification","(3b) higher tertiary education","266","0.115859992482089","0.102667553950901","0.129052431013277"
"4","2004","Other degree","(0) in school","","","",""
"4","2004","Other degree","(1a) inadequately completed","","","",""
"4","2004","Other degree","(1b) general elementary school","26","","",""
"4","2004","Other degree","(1c) basic vocational qualification","42","0.0879979891451952","0.0599540297563993","0.116041948533991"
"4","2004","Other degree","(2b) intermediate general qualification","","","",""
"4","2004","Other degree","(2a) intermediate vocational","","","",""
"4","2004","Other degree","(2c_gen) general maturity certificate","5","","",""
"4","2004","Other degree","(2c_voc) vocational maturity certificate","13","","",""
"4","2004","Other degree","(3a) lower tertiary education","5","","",""
"4","2004","Other degree","(3b) higher tertiary education","24","","",""
"4","2004","no degree/no degree yet","(0) in school","59","0.0883727921174367","0.0662614978949377","0.110484086339936"
"4","2004","no degree/no degree yet","(1a) inadequately completed","14","","",""
"4","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"4","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"4","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"4","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"4","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"4","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"4","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"4","2004","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"5","2004","lower secondary degree","(0) in school","","","",""
"5","2004","lower secondary degree","(1a) inadequately completed","","","",""
"5","2004","lower secondary degree","(1b) general elementary school","296","0.176889962573962","0.158291646466351","0.195488278681573"
"5","2004","lower secondary degree","(1c) basic vocational qualification","1301","0.239154700700787","0.228057471926637","0.250251929474937"
"5","2004","lower secondary degree","(2b) intermediate general qualification","","","",""
"5","2004","lower secondary degree","(2a) intermediate vocational","6","","",""
"5","2004","lower secondary degree","(2c_gen) general maturity certificate","1","","",""
"5","2004","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"5","2004","lower secondary degree","(3a) lower tertiary education","42","0.313848613082863","0.238575176718071","0.389122049447656"
"5","2004","lower secondary degree","(3b) higher tertiary education","12","","",""
"5","2004","secondary school degree","(0) in school","","","",""
"5","2004","secondary school degree","(1a) inadequately completed","","","",""
"5","2004","secondary school degree","(1b) general elementary school","","","",""
"5","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"5","2004","secondary school degree","(2b) intermediate general qualification","132","0.207709343439202","0.175410865066342","0.240007821812061"
"5","2004","secondary school degree","(2a) intermediate vocational","1203","0.2372418649323","0.225430727138387","0.249053002726213"
"5","2004","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"5","2004","secondary school degree","(2c_voc) vocational maturity certificate","6","","",""
"5","2004","secondary school degree","(3a) lower tertiary education","120","0.25246180522106","0.215476884544037","0.289446725898083"
"5","2004","secondary school degree","(3b) higher tertiary education","31","0.289935261374308","0.207007744309058","0.372862778439558"
"5","2004","college entrance qualification","(0) in school","","","",""
"5","2004","college entrance qualification","(1a) inadequately completed","","","",""
"5","2004","college entrance qualification","(1b) general elementary school","","","",""
"5","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"5","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"5","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"5","2004","college entrance qualification","(2c_gen) general maturity certificate","149","0.202041984306383","0.173736592064694","0.230347376548071"
"5","2004","college entrance qualification","(2c_voc) vocational maturity certificate","299","0.240024642740911","0.217122689004591","0.26292659647723"
"5","2004","college entrance qualification","(3a) lower tertiary education","218","0.221073064015849","0.195327696438127","0.24681843159357"
"5","2004","college entrance qualification","(3b) higher tertiary education","437","0.188056874402041","0.171950224411253","0.204163524392829"
"5","2004","Other degree","(0) in school","","","",""
"5","2004","Other degree","(1a) inadequately completed","","","",""
"5","2004","Other degree","(1b) general elementary school","54","0.105039053792093","0.0745313394808886","0.135546768103297"
"5","2004","Other degree","(1c) basic vocational qualification","75","0.18418212060333","0.145809151717325","0.222555089489335"
"5","2004","Other degree","(2b) intermediate general qualification","","","",""
"5","2004","Other degree","(2a) intermediate vocational","","","",""
"5","2004","Other degree","(2c_gen) general maturity certificate","8","","",""
"5","2004","Other degree","(2c_voc) vocational maturity certificate","31","0.250092432607467","0.180788703314488","0.319396161900447"
"5","2004","Other degree","(3a) lower tertiary education","5","","",""
"5","2004","Other degree","(3b) higher tertiary education","36","0.206990841535185","0.145726451098344","0.268255231972025"
"5","2004","no degree/no degree yet","(0) in school","142","0.237471197796896","0.204321480149066","0.270620915444725"
"5","2004","no degree/no degree yet","(1a) inadequately completed","35","0.135817378666711","0.094254245982521","0.177380511350902"
"5","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"5","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"5","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"5","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"5","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"5","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"5","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"5","2004","no degree/no degree yet","(3b) higher tertiary education","","","",""
"6","2004","lower secondary degree","(0) in school","","","",""
"6","2004","lower secondary degree","(1a) inadequately completed","","","",""
"6","2004","lower secondary degree","(1b) general elementary school","100","0.0525441429090563","0.0416690060853379","0.0634192797327748"
"6","2004","lower secondary degree","(1c) basic vocational qualification","512","0.0880081658839102","0.0806378880830407","0.0953784436847797"
"6","2004","lower secondary degree","(2b) intermediate general qualification","","","",""
"6","2004","lower secondary degree","(2a) intermediate vocational","3","","",""
"6","2004","lower secondary degree","(2c_gen) general maturity certificate","2","","",""
"6","2004","lower secondary degree","(2c_voc) vocational maturity certificate","4","","",""
"6","2004","lower secondary degree","(3a) lower tertiary education","17","","",""
"6","2004","lower secondary degree","(3b) higher tertiary education","3","","",""
"6","2004","secondary school degree","(0) in school","","","",""
"6","2004","secondary school degree","(1a) inadequately completed","","","",""
"6","2004","secondary school degree","(1b) general elementary school","","","",""
"6","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"6","2004","secondary school degree","(2b) intermediate general qualification","74","0.100585620736682","0.0766381504877012","0.124533090985663"
"6","2004","secondary school degree","(2a) intermediate vocational","581","0.121445258031252","0.112375883395738","0.130514632666765"
"6","2004","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"6","2004","secondary school degree","(2c_voc) vocational maturity certificate","6","","",""
"6","2004","secondary school degree","(3a) lower tertiary education","53","0.0851142667236589","0.0613570934720688","0.108871439975249"
"6","2004","secondary school degree","(3b) higher tertiary education","22","","",""
"6","2004","college entrance qualification","(0) in school","","","",""
"6","2004","college entrance qualification","(1a) inadequately completed","","","",""
"6","2004","college entrance qualification","(1b) general elementary school","","","",""
"6","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"6","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"6","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"6","2004","college entrance qualification","(2c_gen) general maturity certificate","117","0.14238286757798","0.117748924370031","0.167016810785929"
"6","2004","college entrance qualification","(2c_voc) vocational maturity certificate","185","0.130883333884953","0.112798018970894","0.148968648799012"
"6","2004","college entrance qualification","(3a) lower tertiary education","131","0.113375103374028","0.093704774117921","0.133045432630134"
"6","2004","college entrance qualification","(3b) higher tertiary education","303","0.147766158856661","0.133138841310495","0.162393476402827"
"6","2004","Other degree","(0) in school","","","",""
"6","2004","Other degree","(1a) inadequately completed","","","",""
"6","2004","Other degree","(1b) general elementary school","20","","",""
"6","2004","Other degree","(1c) basic vocational qualification","26","","",""
"6","2004","Other degree","(2b) intermediate general qualification","","","",""
"6","2004","Other degree","(2a) intermediate vocational","","","",""
"6","2004","Other degree","(2c_gen) general maturity certificate","4","","",""
"6","2004","Other degree","(2c_voc) vocational maturity certificate","17","","",""
"6","2004","Other degree","(3a) lower tertiary education","2","","",""
"6","2004","Other degree","(3b) higher tertiary education","25","","",""
"6","2004","no degree/no degree yet","(0) in school","94","0.118319595120549","0.0931584636000812","0.143480726641017"
"6","2004","no degree/no degree yet","(1a) inadequately completed","16","","",""
"6","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"6","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"6","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"6","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"6","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"6","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"6","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"6","2004","no degree/no degree yet","(3b) higher tertiary education","","","",""
"7","2004","lower secondary degree","(0) in school","","","",""
"7","2004","lower secondary degree","(1a) inadequately completed","","","",""
"7","2004","lower secondary degree","(1b) general elementary school","76","0.0452366783781097","0.0351072182679006","0.0553661384883188"
"7","2004","lower secondary degree","(1c) basic vocational qualification","455","0.0792275901598286","0.0722010542587099","0.0862541260609473"
"7","2004","lower secondary degree","(2b) intermediate general qualification","2","","",""
"7","2004","lower secondary degree","(2a) intermediate vocational","2","","",""
"7","2004","lower secondary degree","(2c_gen) general maturity certificate","4","","",""
"7","2004","lower secondary degree","(2c_voc) vocational maturity certificate","2","","",""
"7","2004","lower secondary degree","(3a) lower tertiary education","20","","",""
"7","2004","lower secondary degree","(3b) higher tertiary education","5","","",""
"7","2004","secondary school degree","(0) in school","","","",""
"7","2004","secondary school degree","(1a) inadequately completed","","","",""
"7","2004","secondary school degree","(1b) general elementary school","","","",""
"7","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"7","2004","secondary school degree","(2b) intermediate general qualification","90","0.133510502264165","0.106430347289402","0.160590657238929"
"7","2004","secondary school degree","(2a) intermediate vocational","608","0.119084881638902","0.110092018296269","0.128077744981535"
"7","2004","secondary school degree","(2c_gen) general maturity certificate","","","",""
"7","2004","secondary school degree","(2c_voc) vocational maturity certificate","3","","",""
