"plh0204_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"3","2011","35-65 y.","(0) in school","","","",""
"3","2011","35-65 y.","(1a) inadequately completed","12","","",""
"3","2011","35-65 y.","(1b) general elementary school","89","0.129330922826533","0.103632575805302","0.155029269847763"
"3","2011","35-65 y.","(1c) basic vocational qualification","376","0.131452829349275","0.119161290811813","0.143744367886738"
"3","2011","35-65 y.","(2b) intermediate general qualification","20","","",""
"3","2011","35-65 y.","(2a) intermediate vocational","470","0.128195714205372","0.117061281412997","0.139330146997748"
"3","2011","35-65 y.","(2c_gen) general maturity certificate","25","","",""
"3","2011","35-65 y.","(2c_voc) vocational maturity certificate","146","0.15048224366834","0.127564537608943","0.173399949727736"
"3","2011","35-65 y.","(3a) lower tertiary education","192","0.183570831172067","0.160535507691862","0.206606154652272"
"3","2011","35-65 y.","(3b) higher tertiary education","266","0.156765741268167","0.139813406589595","0.173718075946738"
"3","2011","66 and older","(0) in school","","","",""
"3","2011","66 and older","(1a) inadequately completed","3","","",""
"3","2011","66 and older","(1b) general elementary school","108","0.143251806621578","0.118523319083233","0.167980294159923"
"3","2011","66 and older","(1c) basic vocational qualification","296","0.123221913639946","0.109480764130961","0.136963063148931"
"3","2011","66 and older","(2b) intermediate general qualification","11","","",""
"3","2011","66 and older","(2a) intermediate vocational","105","0.142806086191032","0.116924408009351","0.168687764372713"
"3","2011","66 and older","(2c_gen) general maturity certificate","10","","",""
"3","2011","66 and older","(2c_voc) vocational maturity certificate","29","","",""
"3","2011","66 and older","(3a) lower tertiary education","61","0.151268653725737","0.11823638023362","0.184300927217853"
"3","2011","66 and older","(3b) higher tertiary education","82","0.133944115922618","0.107536302658791","0.160351929186446"
"4","2011","16-34 y.","(0) in school","27","","",""
"4","2011","16-34 y.","(1a) inadequately completed","3","","",""
"4","2011","16-34 y.","(1b) general elementary school","19","","",""
"4","2011","16-34 y.","(1c) basic vocational qualification","28","","",""
"4","2011","16-34 y.","(2b) intermediate general qualification","21","","",""
"4","2011","16-34 y.","(2a) intermediate vocational","83","0.0967992974571493","0.0764867625526251","0.117111832361674"
"4","2011","16-34 y.","(2c_gen) general maturity certificate","75","0.117251605442851","0.0929272510825057","0.141575959803197"
"4","2011","16-34 y.","(2c_voc) vocational maturity certificate","46","0.0917635596192323","0.0647581718125971","0.118768947425868"
"4","2011","16-34 y.","(3a) lower tertiary education","23","","",""
"4","2011","16-34 y.","(3b) higher tertiary education","47","0.0836491289637269","0.0575716410458885","0.109726616881565"
"4","2011","35-65 y.","(0) in school","","","",""
"4","2011","35-65 y.","(1a) inadequately completed","11","","",""
"4","2011","35-65 y.","(1b) general elementary school","49","0.0697858788615455","0.0502738387021726","0.0892979190209184"
"4","2011","35-65 y.","(1c) basic vocational qualification","332","0.107652219649308","0.096377567768116","0.1189268715305"
"4","2011","35-65 y.","(2b) intermediate general qualification","15","","",""
"4","2011","35-65 y.","(2a) intermediate vocational","399","0.114836032467793","0.104217297086603","0.125454767848983"
"4","2011","35-65 y.","(2c_gen) general maturity certificate","15","","",""
"4","2011","35-65 y.","(2c_voc) vocational maturity certificate","99","0.105442199165625","0.0857563697790789","0.125128028552172"
"4","2011","35-65 y.","(3a) lower tertiary education","135","0.145493505836029","0.124513156742313","0.166473854929744"
"4","2011","35-65 y.","(3b) higher tertiary education","195","0.10219974829941","0.0880761749163737","0.116323321682447"
"4","2011","66 and older","(0) in school","","","",""
"4","2011","66 and older","(1a) inadequately completed","7","","",""
"4","2011","66 and older","(1b) general elementary school","72","0.0810308776770333","0.0617690881485182","0.100292667205548"
"4","2011","66 and older","(1c) basic vocational qualification","227","0.0975403886898214","0.0851369993817954","0.109943777997847"
"4","2011","66 and older","(2b) intermediate general qualification","10","","",""
"4","2011","66 and older","(2a) intermediate vocational","84","0.116236835157081","0.0925275002457307","0.139946170068431"
"4","2011","66 and older","(2c_gen) general maturity certificate","4","","",""
"4","2011","66 and older","(2c_voc) vocational maturity certificate","23","","",""
"4","2011","66 and older","(3a) lower tertiary education","51","0.107079059082146","0.0785729691528592","0.135585149011433"
"4","2011","66 and older","(3b) higher tertiary education","66","0.102456089856073","0.0789438283738029","0.125968351338343"
"5","2011","16-34 y.","(0) in school","58","0.17704188130185","0.134822667476533","0.219261095127166"
"5","2011","16-34 y.","(1a) inadequately completed","10","","",""
"5","2011","16-34 y.","(1b) general elementary school","68","0.228765788853543","0.177511888527801","0.280019689179285"
"5","2011","16-34 y.","(1c) basic vocational qualification","86","0.2002270030181","0.160763627046756","0.239690378989444"
"5","2011","16-34 y.","(2b) intermediate general qualification","77","0.247028583956395","0.200425678726785","0.293631489186004"
"5","2011","16-34 y.","(2a) intermediate vocational","214","0.236467578458764","0.207277488588035","0.265657668329492"
"5","2011","16-34 y.","(2c_gen) general maturity certificate","115","0.156106798522179","0.128664650209598","0.18354894683476"
"5","2011","16-34 y.","(2c_voc) vocational maturity certificate","82","0.202586409907215","0.164988578034803","0.240184241779628"
"5","2011","16-34 y.","(3a) lower tertiary education","34","0.109589936333541","0.0676392899844838","0.151540582682598"
"5","2011","16-34 y.","(3b) higher tertiary education","79","0.207290765670197","0.169109433302657","0.245472098037736"
"5","2011","35-65 y.","(0) in school","","","",""
"5","2011","35-65 y.","(1a) inadequately completed","27","","",""
"5","2011","35-65 y.","(1b) general elementary school","158","0.213272219584198","0.181902775065332","0.244641664103065"
"5","2011","35-65 y.","(1c) basic vocational qualification","733","0.267270191614745","0.251172197458998","0.283368185770492"
"5","2011","35-65 y.","(2b) intermediate general qualification","29","","",""
"5","2011","35-65 y.","(2a) intermediate vocational","839","0.233778539912588","0.219682363642221","0.247874716182955"
"5","2011","35-65 y.","(2c_gen) general maturity certificate","31","0.232523872806911","0.169755672251286","0.295292073362535"
"5","2011","35-65 y.","(2c_voc) vocational maturity certificate","210","0.233693308869322","0.206568497086377","0.260818120652266"
"5","2011","35-65 y.","(3a) lower tertiary education","209","0.176394439709895","0.153714844312109","0.199074035107681"
"5","2011","35-65 y.","(3b) higher tertiary education","331","0.210424325448814","0.19141902812993","0.229429622767698"
"5","2011","66 and older","(0) in school","","","",""
"5","2011","66 and older","(1a) inadequately completed","11","","",""
"5","2011","66 and older","(1b) general elementary school","117","0.145445458182959","0.120560272970387","0.170330643395531"
"5","2011","66 and older","(1c) basic vocational qualification","536","0.251140591551098","0.233010798418431","0.269270384683765"
"5","2011","66 and older","(2b) intermediate general qualification","11","","",""
"5","2011","66 and older","(2a) intermediate vocational","176","0.223512823008693","0.192695287793354","0.254330358224032"
"5","2011","66 and older","(2c_gen) general maturity certificate","6","","",""
"5","2011","66 and older","(2c_voc) vocational maturity certificate","49","0.241951069420906","0.182892244860998","0.301009893980815"
"5","2011","66 and older","(3a) lower tertiary education","125","0.275769478478442","0.234570126579142","0.316968830377742"
"5","2011","66 and older","(3b) higher tertiary education","159","0.262523284583043","0.22840747097432","0.296639098191767"
"6","2011","16-34 y.","(0) in school","55","0.14653046488035","0.107415653311075","0.185645276449626"
"6","2011","16-34 y.","(1a) inadequately completed","5","","",""
"6","2011","16-34 y.","(1b) general elementary school","29","","",""
"6","2011","16-34 y.","(1c) basic vocational qualification","52","0.11341221906037","0.0821413221384492","0.14468311598229"
"6","2011","16-34 y.","(2b) intermediate general qualification","51","0.167857428113985","0.127472501803851","0.208242354424119"
"6","2011","16-34 y.","(2a) intermediate vocational","95","0.11121065850172","0.0896129083097322","0.132808408693709"
"6","2011","16-34 y.","(2c_gen) general maturity certificate","118","0.160408269838141","0.132661597354385","0.188154942321898"
"6","2011","16-34 y.","(2c_voc) vocational maturity certificate","74","0.174455168305123","0.138955190429838","0.209955146180408"
"6","2011","16-34 y.","(3a) lower tertiary education","44","0.178080551521808","0.126702081932598","0.229459021111017"
"6","2011","16-34 y.","(3b) higher tertiary education","54","0.107477085898322","0.078304711980432","0.136649459816213"
"6","2011","35-65 y.","(0) in school","","","",""
"6","2011","35-65 y.","(1a) inadequately completed","16","","",""
"6","2011","35-65 y.","(1b) general elementary school","44","0.0840833908052836","0.0628308667300775","0.10533591488049"
"6","2011","35-65 y.","(1c) basic vocational qualification","290","0.0952846915182458","0.0846041786221731","0.105965204414318"
"6","2011","35-65 y.","(2b) intermediate general qualification","11","","",""
"6","2011","35-65 y.","(2a) intermediate vocational","414","0.131844496816119","0.12057637300994","0.143112620622297"
"6","2011","35-65 y.","(2c_gen) general maturity certificate","16","","",""
"6","2011","35-65 y.","(2c_voc) vocational maturity certificate","112","0.123434949913312","0.102350929233147","0.144518970593478"
"6","2011","35-65 y.","(3a) lower tertiary education","145","0.131206033567128","0.111116561530427","0.151295505603828"
"6","2011","35-65 y.","(3b) higher tertiary education","254","0.139706166497357","0.123541713632564","0.155870619362151"
"6","2011","66 and older","(0) in school","","","",""
"6","2011","66 and older","(1a) inadequately completed","3","","",""
"6","2011","66 and older","(1b) general elementary school","51","0.0606681444340806","0.0438177223698778","0.0775185664982834"
"6","2011","66 and older","(1c) basic vocational qualification","169","0.0743094068126883","0.0633449008148741","0.0852739128105024"
"6","2011","66 and older","(2b) intermediate general qualification","9","","",""
"6","2011","66 and older","(2a) intermediate vocational","62","0.0953028156375452","0.0735816053488351","0.117024025926255"
"6","2011","66 and older","(2c_gen) general maturity certificate","4","","",""
"6","2011","66 and older","(2c_voc) vocational maturity certificate","16","","",""
"6","2011","66 and older","(3a) lower tertiary education","64","0.127344733697898","0.0966127407153039","0.158076726680491"
"6","2011","66 and older","(3b) higher tertiary education","74","0.106823782606839","0.0828740751276788","0.130773490085999"
"7","2011","16-34 y.","(0) in school","61","0.202392848837189","0.157952713969532","0.246832983704846"
"7","2011","16-34 y.","(1a) inadequately completed","5","","",""
"7","2011","16-34 y.","(1b) general elementary school","37","0.194468852653999","0.146173601052354","0.242764104255644"
"7","2011","16-34 y.","(1c) basic vocational qualification","63","0.194337299597867","0.155315773173527","0.233358826022208"
"7","2011","16-34 y.","(2b) intermediate general qualification","60","0.179271542772773","0.137823353161235","0.22071973238431"
"7","2011","16-34 y.","(2a) intermediate vocational","100","0.173707253469945","0.147680989182848","0.199733517757042"
"7","2011","16-34 y.","(2c_gen) general maturity certificate","119","0.199652691629502","0.169429502865278","0.229875880393726"
"7","2011","16-34 y.","(2c_voc) vocational maturity certificate","66","0.129315300624237","0.0979267513288336","0.160703849919641"
"7","2011","16-34 y.","(3a) lower tertiary education","37","0.199218986483338","0.14558000333398","0.252857969632696"
"7","2011","16-34 y.","(3b) higher tertiary education","74","0.192672178787483","0.155523907663244","0.229820449911722"
"7","2011","35-65 y.","(0) in school","","","",""
"7","2011","35-65 y.","(1a) inadequately completed","15","","",""
"7","2011","35-65 y.","(1b) general elementary school","46","0.0864091899185459","0.0648921131663542","0.107926266670738"
"7","2011","35-65 y.","(1c) basic vocational qualification","293","0.100565139459031","0.0896247404569109","0.111505538461151"
"7","2011","35-65 y.","(2b) intermediate general qualification","17","","",""
"7","2011","35-65 y.","(2a) intermediate vocational","386","0.108418592091845","0.0980634937269931","0.118773690456697"
"7","2011","35-65 y.","(2c_gen) general maturity certificate","24","","",""
"7","2011","35-65 y.","(2c_voc) vocational maturity certificate","118","0.115905737622454","0.0953873117698232","0.136424163475085"
"7","2011","35-65 y.","(3a) lower tertiary education","156","0.149513037017199","0.128294932519838","0.17073114151456"
"7","2011","35-65 y.","(3b) higher tertiary education","247","0.120759012936136","0.105566012297518","0.135952013574753"
"7","2011","66 and older","(0) in school","","","",""
"7","2011","66 and older","(1a) inadequately completed","3","","",""
"7","2011","66 and older","(1b) general elementary school","32","0.0323247238751387","0.0198407418007627","0.0448087059495148"
"7","2011","66 and older","(1c) basic vocational qualification","139","0.0612392633425922","0.0512155950943223","0.071262931590862"
"7","2011","66 and older","(2b) intermediate general qualification","3","","",""
"7","2011","66 and older","(2a) intermediate vocational","61","0.0868775239349661","0.0660423193728776","0.107712728497055"
"7","2011","66 and older","(2c_gen) general maturity certificate","2","","",""
"7","2011","66 and older","(2c_voc) vocational maturity certificate","15","","",""
"7","2011","66 and older","(3a) lower tertiary education","45","0.104647087845955","0.0764282208597218","0.132865954832189"
"7","2011","66 and older","(3b) higher tertiary education","95","0.159077125207343","0.130718863111565","0.187435387303122"
"8","2011","16-34 y.","(0) in school","45","0.164586365961017","0.123572474814606","0.205600257107428"
"8","2011","16-34 y.","(1a) inadequately completed","3","","",""
"8","2011","16-34 y.","(1b) general elementary school","37","0.124007924083465","0.0837906116013065","0.164225236565623"
"8","2011","16-34 y.","(1c) basic vocational qualification","48","0.121821280351765","0.0895658695429211","0.154076691160608"
"8","2011","16-34 y.","(2b) intermediate general qualification","47","0.153527805404779","0.114573989147238","0.19248162166232"
"8","2011","16-34 y.","(2a) intermediate vocational","87","0.114135779508826","0.0922918697469806","0.135979689270671"
"8","2011","16-34 y.","(2c_gen) general maturity certificate","74","0.118657568348741","0.0942073064029306","0.143107830294552"
"8","2011","16-34 y.","(2c_voc) vocational maturity certificate","53","0.149710534953191","0.116335217046368","0.183085852860013"
"8","2011","16-34 y.","(3a) lower tertiary education","13","","",""
"8","2011","16-34 y.","(3b) higher tertiary education","34","0.0858063151290359","0.0594258239573709","0.112186806300701"
"8","2011","35-65 y.","(0) in school","","","",""
"8","2011","35-65 y.","(1a) inadequately completed","4","","",""
"8","2011","35-65 y.","(1b) general elementary school","43","0.0495606032824892","0.0329395727177212","0.0661816338472571"
"8","2011","35-65 y.","(1c) basic vocational qualification","184","0.0605514512773749","0.0518753752036805","0.0692275273510694"
"8","2011","35-65 y.","(2b) intermediate general qualification","10","","",""
"8","2011","35-65 y.","(2a) intermediate vocational","208","0.0626240209243583","0.0545544725405563","0.0706935693081602"
"8","2011","35-65 y.","(2c_gen) general maturity certificate","16","","",""
"8","2011","35-65 y.","(2c_voc) vocational maturity certificate","68","0.0741319702233197","0.0573393061229737","0.0909246343236658"
"8","2011","35-65 y.","(3a) lower tertiary education","74","0.0831238276708644","0.0666970896156526","0.0995505657260762"
"8","2011","35-65 y.","(3b) higher tertiary education","138","0.0928178475158018","0.0792880028240603","0.106347692207543"
"8","2011","66 and older","(0) in school","","","",""
"8","2011","66 and older","(1a) inadequately completed","3","","",""
"8","2011","66 and older","(1b) general elementary school","19","","",""
"8","2011","66 and older","(1c) basic vocational qualification","100","0.0416708755568704","0.0333166171714649","0.0500251339422759"
"8","2011","66 and older","(2b) intermediate general qualification","3","","",""
"8","2011","66 and older","(2a) intermediate vocational","44","0.0653821246228956","0.0470958140711486","0.0836684351746426"
"8","2011","66 and older","(2c_gen) general maturity certificate","","","",""
"8","2011","66 and older","(2c_voc) vocational maturity certificate","15","","",""
"8","2011","66 and older","(3a) lower tertiary education","31","0.072984969685617","0.0490055329542828","0.0969644064169513"
"8","2011","66 and older","(3b) higher tertiary education","45","0.0667612478039184","0.0474078926363206","0.0861146029715163"
"9","2011","16-34 y.","(0) in school","17","","",""
"9","2011","16-34 y.","(1a) inadequately completed","2","","",""
"9","2011","16-34 y.","(1b) general elementary school","10","","",""
"9","2011","16-34 y.","(1c) basic vocational qualification","13","","",""
"9","2011","16-34 y.","(2b) intermediate general qualification","15","","",""
"9","2011","16-34 y.","(2a) intermediate vocational","23","","",""
"9","2011","16-34 y.","(2c_gen) general maturity certificate","14","","",""
"9","2011","16-34 y.","(2c_voc) vocational maturity certificate","6","","",""
"9","2011","16-34 y.","(3a) lower tertiary education","4","","",""
"9","2011","16-34 y.","(3b) higher tertiary education","7","","",""
"9","2011","35-65 y.","(0) in school","","","",""
"9","2011","35-65 y.","(1a) inadequately completed","1","","",""
"9","2011","35-65 y.","(1b) general elementary school","7","","",""
"9","2011","35-65 y.","(1c) basic vocational qualification","52","0.0146208693710459","0.0102545766127174","0.0189871621293744"
"9","2011","35-65 y.","(2b) intermediate general qualification","4","","",""
"9","2011","35-65 y.","(2a) intermediate vocational","53","0.0154470646423263","0.0113396895714159","0.0195544397132367"
"9","2011","35-65 y.","(2c_gen) general maturity certificate","2","","",""
"9","2011","35-65 y.","(2c_voc) vocational maturity certificate","10","","",""
"9","2011","35-65 y.","(3a) lower tertiary education","10","","",""
"9","2011","35-65 y.","(3b) higher tertiary education","27","","",""
"9","2011","66 and older","(0) in school","","","",""
"9","2011","66 and older","(1a) inadequately completed","1","","",""
"9","2011","66 and older","(1b) general elementary school","2","","",""
"9","2011","66 and older","(1c) basic vocational qualification","8","","",""
"9","2011","66 and older","(2b) intermediate general qualification","","","",""
"9","2011","66 and older","(2a) intermediate vocational","6","","",""
"9","2011","66 and older","(2c_gen) general maturity certificate","","","",""
"9","2011","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"9","2011","66 and older","(3a) lower tertiary education","2","","",""
"9","2011","66 and older","(3b) higher tertiary education","8","","",""
"10 Very willing to take risks","2011","16-34 y.","(0) in school","2","","",""
"10 Very willing to take risks","2011","16-34 y.","(1a) inadequately completed","2","","",""
"10 Very willing to take risks","2011","16-34 y.","(1b) general elementary school","13","","",""
"10 Very willing to take risks","2011","16-34 y.","(1c) basic vocational qualification","10","","",""
"10 Very willing to take risks","2011","16-34 y.","(2b) intermediate general qualification","10","","",""
"10 Very willing to take risks","2011","16-34 y.","(2a) intermediate vocational","8","","",""
"10 Very willing to take risks","2011","16-34 y.","(2c_gen) general maturity certificate","4","","",""
"10 Very willing to take risks","2011","16-34 y.","(2c_voc) vocational maturity certificate","4","","",""
"10 Very willing to take risks","2011","16-34 y.","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2011","16-34 y.","(3b) higher tertiary education","5","","",""
"10 Very willing to take risks","2011","35-65 y.","(0) in school","","","",""
"10 Very willing to take risks","2011","35-65 y.","(1a) inadequately completed","8","","",""
"10 Very willing to take risks","2011","35-65 y.","(1b) general elementary school","7","","",""
"10 Very willing to take risks","2011","35-65 y.","(1c) basic vocational qualification","28","","",""
"10 Very willing to take risks","2011","35-65 y.","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2011","35-65 y.","(2a) intermediate vocational","38","0.0128486127793937","0.00909765785015179","0.0165995677086355"
"10 Very willing to take risks","2011","35-65 y.","(2c_gen) general maturity certificate","3","","",""
"10 Very willing to take risks","2011","35-65 y.","(2c_voc) vocational maturity certificate","2","","",""
"10 Very willing to take risks","2011","35-65 y.","(3a) lower tertiary education","16","","",""
"10 Very willing to take risks","2011","35-65 y.","(3b) higher tertiary education","7","","",""
"10 Very willing to take risks","2011","66 and older","(0) in school","","","",""
"10 Very willing to take risks","2011","66 and older","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2011","66 and older","(1b) general elementary school","2","","",""
"10 Very willing to take risks","2011","66 and older","(1c) basic vocational qualification","13","","",""
"10 Very willing to take risks","2011","66 and older","(2b) intermediate general qualification","1","","",""
"10 Very willing to take risks","2011","66 and older","(2a) intermediate vocational","6","","",""
"10 Very willing to take risks","2011","66 and older","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2011","66 and older","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2011","66 and older","(3a) lower tertiary education","1","","",""
"10 Very willing to take risks","2011","66 and older","(3b) higher tertiary education","6","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(0) in school","","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(1a) inadequately completed","6","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(1b) general elementary school","18","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(1c) basic vocational qualification","13","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(2b) intermediate general qualification","9","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(2a) intermediate vocational","33","0.0147764517214554","0.00823266744428032","0.0213202359986305"
"0 Not at all Willing to take risks","2012","16-34 y.","(2c_gen) general maturity certificate","10","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(2c_voc) vocational maturity certificate","15","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(3a) lower tertiary education","5","","",""
"0 Not at all Willing to take risks","2012","16-34 y.","(3b) higher tertiary education","4","","",""
"0 Not at all Willing to take risks","2012","35-65 y.","(0) in school","","","",""
"0 Not at all Willing to take risks","2012","35-65 y.","(1a) inadequately completed","22","","",""
"0 Not at all Willing to take risks","2012","35-65 y.","(1b) general elementary school","63","0.0781322334204314","0.0607617118996939","0.0955027549411688"
"0 Not at all Willing to take risks","2012","35-65 y.","(1c) basic vocational qualification","153","0.046211834155497","0.0393822014783762","0.0530414668326177"
"0 Not at all Willing to take risks","2012","35-65 y.","(2b) intermediate general qualification","10","","",""
"0 Not at all Willing to take risks","2012","35-65 y.","(2a) intermediate vocational","121","0.0236194827487002","0.019385145861891","0.0278538196355093"
"0 Not at all Willing to take risks","2012","35-65 y.","(2c_gen) general maturity certificate","15","","",""
"0 Not at all Willing to take risks","2012","35-65 y.","(2c_voc) vocational maturity certificate","41","0.0243611574377431","0.0169715144870759","0.0317508003884103"
"0 Not at all Willing to take risks","2012","35-65 y.","(3a) lower tertiary education","16","","",""
"0 Not at all Willing to take risks","2012","35-65 y.","(3b) higher tertiary education","42","0.0231757800810991","0.0174374003929356","0.0289141597692626"
"0 Not at all Willing to take risks","2012","66 and older","(0) in school","","","",""
"0 Not at all Willing to take risks","2012","66 and older","(1a) inadequately completed","13","","",""
"0 Not at all Willing to take risks","2012","66 and older","(1b) general elementary school","102","0.14378030243292","0.118568498155611","0.16899210671023"
"0 Not at all Willing to take risks","2012","66 and older","(1c) basic vocational qualification","164","0.0815885557569181","0.0700818346433743","0.0930952768704619"
"0 Not at all Willing to take risks","2012","66 and older","(2b) intermediate general qualification","3","","",""
"0 Not at all Willing to take risks","2012","66 and older","(2a) intermediate vocational","36","0.0531064571130409","0.0369277373590377","0.069285176867044"
"0 Not at all Willing to take risks","2012","66 and older","(2c_gen) general maturity certificate","1","","",""
"0 Not at all Willing to take risks","2012","66 and older","(2c_voc) vocational maturity certificate","11","","",""
"0 Not at all Willing to take risks","2012","66 and older","(3a) lower tertiary education","18","","",""
"0 Not at all Willing to take risks","2012","66 and older","(3b) higher tertiary education","19","","",""
"1","2012","16-34 y.","(0) in school","8","","",""
"1","2012","16-34 y.","(1a) inadequately completed","6","","",""
"1","2012","16-34 y.","(1b) general elementary school","13","","",""
"1","2012","16-34 y.","(1c) basic vocational qualification","11","","",""
"1","2012","16-34 y.","(2b) intermediate general qualification","10","","",""
"1","2012","16-34 y.","(2a) intermediate vocational","31","0.0215587871435832","0.0136818744198091","0.0294356998673574"
"1","2012","16-34 y.","(2c_gen) general maturity certificate","21","","",""
"1","2012","16-34 y.","(2c_voc) vocational maturity certificate","20","","",""
"1","2012","16-34 y.","(3a) lower tertiary education","5","","",""
"1","2012","16-34 y.","(3b) higher tertiary education","18","","",""
"1","2012","35-65 y.","(0) in school","","","",""
"1","2012","35-65 y.","(1a) inadequately completed","14","","",""
"1","2012","35-65 y.","(1b) general elementary school","47","0.061042117033741","0.045546771218853","0.0765374628486289"
"1","2012","35-65 y.","(1c) basic vocational qualification","133","0.0357383276923136","0.0296994067496827","0.0417772486349445"
"1","2012","35-65 y.","(2b) intermediate general qualification","16","","",""
"1","2012","35-65 y.","(2a) intermediate vocational","164","0.0321955862970244","0.0272736880351152","0.0371174845589336"
"1","2012","35-65 y.","(2c_gen) general maturity certificate","12","","",""
"1","2012","35-65 y.","(2c_voc) vocational maturity certificate","56","0.0397216945506924","0.0303602601813998","0.0490831289199849"
"1","2012","35-65 y.","(3a) lower tertiary education","42","0.0248565871262793","0.0169167272427908","0.0327964470097678"
"1","2012","35-65 y.","(3b) higher tertiary education","66","0.0234990451394628","0.017721739626583","0.0292763506523425"
"1","2012","66 and older","(0) in school","","","",""
"1","2012","66 and older","(1a) inadequately completed","11","","",""
"1","2012","66 and older","(1b) general elementary school","69","0.102826737068543","0.0810018094570586","0.124651664680027"
"1","2012","66 and older","(1c) basic vocational qualification","128","0.0638985894465786","0.0536178250492171","0.07417935384394"
"1","2012","66 and older","(2b) intermediate general qualification","7","","",""
"1","2012","66 and older","(2a) intermediate vocational","32","0.0504742483472333","0.0346796635430941","0.0662688331513725"
"1","2012","66 and older","(2c_gen) general maturity certificate","3","","",""
"1","2012","66 and older","(2c_voc) vocational maturity certificate","8","","",""
"1","2012","66 and older","(3a) lower tertiary education","16","","",""
"1","2012","66 and older","(3b) higher tertiary education","20","","",""
"2","2012","16-34 y.","(0) in school","20","","",""
"2","2012","16-34 y.","(1a) inadequately completed","11","","",""
"2","2012","16-34 y.","(1b) general elementary school","20","","",""
"2","2012","16-34 y.","(1c) basic vocational qualification","47","0.0823847824750212","0.0617039980705769","0.103065566879466"
"2","2012","16-34 y.","(2b) intermediate general qualification","26","","",""
"2","2012","16-34 y.","(2a) intermediate vocational","103","0.0674413688689642","0.0538401520485312","0.0810425856893972"
"2","2012","16-34 y.","(2c_gen) general maturity certificate","49","0.0561753968541721","0.0398371842273186","0.0725136094810256"
"2","2012","16-34 y.","(2c_voc) vocational maturity certificate","53","0.0733453347972499","0.0525025348103413","0.0941881347841586"
"2","2012","16-34 y.","(3a) lower tertiary education","22","","",""
"2","2012","16-34 y.","(3b) higher tertiary education","58","0.0687618791191043","0.0485477941657185","0.08897596407249"
"2","2012","35-65 y.","(0) in school","","","",""
"2","2012","35-65 y.","(1a) inadequately completed","23","","",""
"2","2012","35-65 y.","(1b) general elementary school","87","0.0942637783786808","0.0753518108708865","0.113175745886475"
"2","2012","35-65 y.","(1c) basic vocational qualification","354","0.102067494091425","0.0922192149119048","0.111915773270945"
"2","2012","35-65 y.","(2b) intermediate general qualification","20","","",""
"2","2012","35-65 y.","(2a) intermediate vocational","460","0.0940482820063841","0.0859093274457398","0.102187236567028"
"2","2012","35-65 y.","(2c_gen) general maturity certificate","26","","",""
"2","2012","35-65 y.","(2c_voc) vocational maturity certificate","177","0.0918150885715992","0.0779738764520465","0.105656300691152"
"2","2012","35-65 y.","(3a) lower tertiary education","123","0.0839460935739211","0.0698038405061848","0.0980883466416573"
"2","2012","35-65 y.","(3b) higher tertiary education","258","0.0906852499900075","0.079733353370706","0.101637146609309"
"2","2012","66 and older","(0) in school","","","",""
"2","2012","66 and older","(1a) inadequately completed","11","","",""
"2","2012","66 and older","(1b) general elementary school","129","0.180310339126681","0.152685696591493","0.207934981661868"
"2","2012","66 and older","(1c) basic vocational qualification","258","0.125122092585838","0.111214273088034","0.139029912083642"
"2","2012","66 and older","(2b) intermediate general qualification","14","","",""
"2","2012","66 and older","(2a) intermediate vocational","72","0.0955778606545371","0.0743657367511409","0.116789984557933"
"2","2012","66 and older","(2c_gen) general maturity certificate","2","","",""
"2","2012","66 and older","(2c_voc) vocational maturity certificate","28","","",""
"2","2012","66 and older","(3a) lower tertiary education","36","0.0711520605931249","0.0481058145207725","0.0941983066654774"
"2","2012","66 and older","(3b) higher tertiary education","55","0.0753450481761034","0.0553887188664604","0.0953013774857463"
"3","2012","16-34 y.","(0) in school","37","0.0651662420309872","0.0430165631935613","0.087315920868413"
"3","2012","16-34 y.","(1a) inadequately completed","14","","",""
"3","2012","16-34 y.","(1b) general elementary school","34","0.0387901920248021","0.0225788151778924","0.0550015688717118"
"3","2012","16-34 y.","(1c) basic vocational qualification","63","0.0852978219237149","0.0642880164531162","0.106307627394314"
"3","2012","16-34 y.","(2b) intermediate general qualification","38","0.0983099788755553","0.071131505323364","0.125488452427747"
"3","2012","16-34 y.","(2a) intermediate vocational","135","0.0901902690235213","0.0746545401819937","0.105725997865049"
"3","2012","16-34 y.","(2c_gen) general maturity certificate","91","0.119701940540414","0.0966688990563301","0.142734982024498"
"3","2012","16-34 y.","(2c_voc) vocational maturity certificate","75","0.143742530099158","0.115694285630396","0.17179077456792"
