"plh0204_h","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"3","2004","16-34 y.","(1c) basic vocational qualification","69","0.0837969868320872","0.0630168789299676","0.104577094734207"
"3","2004","16-34 y.","(2b) intermediate general qualification","48","0.114990365110031","0.086301985953303","0.143678744266759"
"3","2004","16-34 y.","(2a) intermediate vocational","157","0.122321449434174","0.104258294553962","0.140384604314387"
"3","2004","16-34 y.","(2c_gen) general maturity certificate","63","0.0973996129107301","0.0755593513434749","0.119239874477985"
"3","2004","16-34 y.","(2c_voc) vocational maturity certificate","78","0.145473340826404","0.115597116312066","0.175349565340743"
"3","2004","16-34 y.","(3a) lower tertiary education","27","","",""
"3","2004","16-34 y.","(3b) higher tertiary education","48","0.134567476365986","0.097522787540533","0.17161216519144"
"3","2004","35-65 y.","(0) in school","","","",""
"3","2004","35-65 y.","(1a) inadequately completed","17","","",""
"3","2004","35-65 y.","(1b) general elementary school","111","0.129445809100583","0.106455328889944","0.152436289311223"
"3","2004","35-65 y.","(1c) basic vocational qualification","459","0.113530331457579","0.103234341686135","0.123826321229022"
"3","2004","35-65 y.","(2b) intermediate general qualification","17","","",""
"3","2004","35-65 y.","(2a) intermediate vocational","447","0.134726534072591","0.123142141955434","0.146310926189747"
"3","2004","35-65 y.","(2c_gen) general maturity certificate","11","","",""
"3","2004","35-65 y.","(2c_voc) vocational maturity certificate","126","0.122546197341688","0.100856030980646","0.14423636370273"
"3","2004","35-65 y.","(3a) lower tertiary education","144","0.138636866062321","0.119149769814109","0.158123962310532"
"3","2004","35-65 y.","(3b) higher tertiary education","262","0.128970071629372","0.113974203490964","0.143965939767781"
"3","2004","66 and older","(0) in school","","","",""
"3","2004","66 and older","(1a) inadequately completed","9","","",""
"3","2004","66 and older","(1b) general elementary school","86","0.109996646512154","0.0874074964190925","0.132585796605215"
"3","2004","66 and older","(1c) basic vocational qualification","260","0.152704925503117","0.135794011984799","0.169615839021435"
"3","2004","66 and older","(2b) intermediate general qualification","4","","",""
