"plh0204_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"4","2004","35-65 y.","1-pers.-HH","120","0.105772841554696","0.088299111426918","0.123246571682475","4"
"4","2004","35-65 y.","(Married) couple without C. ","440","0.104005372312554","0.0944308269466894","0.113579917678419","4"
"4","2004","35-65 y.","Single parent ","58","0.0793445601465796","0.0569393342302729","0.101749786062886","4"
"4","2004","35-65 y.","Couple + C. LE 16 ","348","0.124938219702962","0.11276042969153","0.137116009714393","4"
"4","2004","66 and older","(Married) couple without C. ","246","0.0979087675564892","0.0858286089814129","0.109988926131566","4"
"4","2004","66 and older","Single parent ","7","","","","4"
"4","2004","66 and older","Couple + C. LE 16 ","","","","","4"
"4","2004","66 and older","Couple + C. GT 16 ","17","","","","4"
"4","2004","66 and older","Couple + C. LE and GT 16","","","","","4"
"4","2004","35-65 y.","Couple + C. GT 16 ","253","0.10675826191781","0.0941324786469893","0.119384045188631","4"
"4","2004","35-65 y.","Couple + C. LE and GT 16","94","0.0832188015176129","0.0670423724686303","0.0993952305665954","4"
"4","2004","66 and older","1-pers.-HH","98","0.083756516401573","0.0671501739028402","0.100362858900306","4"
"5","2004","16-34 y.","Couple + C. LE and GT 16","157","0.24973716287759","0.216763484266762","0.282710841488417","5"
"5","2004","16-34 y.","1-pers.-HH","132","0.209642197599002","0.178301272437411","0.240983122760593","5"
"5","2004","16-34 y.","(Married) couple without C. ","241","0.243616510181018","0.2173374071622","0.269895613199835","5"
"5","2004","16-34 y.","Single parent ","87","0.164780077824665","0.130915130644671","0.198645025004659","5"
"5","2004","16-34 y.","Couple + C. LE 16 ","257","0.245495717534345","0.221325683511441","0.269665751557249","5"
"5","2004","16-34 y.","Couple + C. GT 16 ","304","0.198066507739828","0.17747479874264","0.218658216737015","5"
"5","2004","35-65 y.","1-pers.-HH","297","0.256496593239102","0.231684872048701","0.281308314429502","5"
"5","2004","35-65 y.","(Married) couple without C. ","849","0.22871301004398","0.215539818412469","0.241886201675492","5"
"5","2004","35-65 y.","Single parent ","150","0.27601931382801","0.238961873896512","0.313076753759508","5"
"5","2004","35-65 y.","Couple + C. LE 16 ","640","0.217704087550067","0.20250490298594","0.232903272114194","5"
"5","2004","35-65 y.","Couple + C. GT 16 ","516","0.219531388795122","0.202607540957522","0.236455236632723","5"
"5","2004","35-65 y.","Couple + C. LE and GT 16","246","0.233575212879238","0.208796015943017","0.25835440981546","5"
"5","2004","66 and older","(Married) couple without C. ","494","0.207797576237801","0.191305515156578","0.224289637319024","5"
"5","2004","66 and older","Single parent ","6","","","","5"
"5","2004","66 and older","Couple + C. LE and GT 16","3","","","","5"
"5","2004","66 and older","1-pers.-HH","186","0.164173017512094","0.141967120449361","0.186378914574827","5"
"5","2004","66 and older","Couple + C. LE 16 ","","","","","5"
"5","2004","66 and older","Couple + C. GT 16 ","30","0.238498264281947","0.173472692597861","0.303523835966034","5"
"6","2004","16-34 y.","1-pers.-HH","93","0.154071594828991","0.126275186602034","0.181868003055948","6"
"6","2004","16-34 y.","Couple + C. GT 16 ","216","0.141553347108029","0.1235424883139","0.159564205902157","6"
"6","2004","16-34 y.","Couple + C. LE and GT 16","93","0.126084394042898","0.100798139146144","0.151370648939652","6"
"6","2004","35-65 y.","(Married) couple without C. ","410","0.100418368572716","0.090991565339077","0.109845171806354","6"
"6","2004","35-65 y.","Single parent ","49","0.102312017006965","0.0771892068774399","0.127434827136489","6"
"6","2004","35-65 y.","Couple + C. LE 16 ","369","0.12348510601512","0.111368292997909","0.135601919032331","6"
"6","2004","35-65 y.","Couple + C. GT 16 ","264","0.110240938560996","0.0974359044510951","0.123045972670896","6"
"6","2004","35-65 y.","Couple + C. LE and GT 16","135","0.10134926607252","0.083674859119988","0.119023673025052","6"
"6","2004","66 and older","1-pers.-HH","65","0.0608145986278014","0.0464881407421983","0.0751410565134046","6"
"6","2004","66 and older","(Married) couple without C. ","170","0.0775887801231334","0.0667145539221704","0.0884630063240965","6"
"6","2004","66 and older","Single parent ","1","","","","6"
"6","2004","66 and older","Couple + C. LE 16 ","1","","","","6"
"6","2004","66 and older","Couple + C. GT 16 ","10","","","","6"
"6","2004","66 and older","Couple + C. LE and GT 16","","","","","6"
"6","2004","16-34 y.","(Married) couple without C. ","132","0.139257646825977","0.118062702945662","0.160452590706292","6"
"6","2004","16-34 y.","Single parent ","69","0.135033120147851","0.103835783533887","0.166230456761815","6"
"6","2004","16-34 y.","Couple + C. LE 16 ","133","0.12225936672959","0.103862298473818","0.140656434985361","6"
"6","2004","35-65 y.","1-pers.-HH","110","0.0874969317130336","0.0714427494611895","0.103551113964878","6"
"7","2004","16-34 y.","1-pers.-HH","124","0.173178090479246","0.144043222831828","0.202312958126663","7"
"7","2004","16-34 y.","(Married) couple without C. ","145","0.155717590694453","0.133520356378607","0.177914825010299","7"
"7","2004","16-34 y.","Couple + C. GT 16 ","261","0.185333077354224","0.165256752969206","0.205409401739242","7"
"7","2004","16-34 y.","Couple + C. LE and GT 16","97","0.134653046544708","0.10865011439671","0.160655978692707","7"
"7","2004","35-65 y.","1-pers.-HH","147","0.11345808571335","0.0954386173847409","0.131477554041959","7"
"7","2004","35-65 y.","(Married) couple without C. ","432","0.105651287392661","0.0960101468960369","0.115292427889285","7"
"7","2004","35-65 y.","Single parent ","64","0.100756321031855","0.0758036503646654","0.125708991699045","7"
"7","2004","35-65 y.","Couple + C. LE 16 ","358","0.124296851765583","0.112145908686052","0.136447794845113","7"
"7","2004","35-65 y.","Couple + C. GT 16 ","245","0.0921617550628807","0.0803353517818448","0.103988158343917","7"
"7","2004","35-65 y.","Couple + C. LE and GT 16","130","0.104712203884492","0.0867806030743544","0.12264380469463","7"
"7","2004","66 and older","1-pers.-HH","37","0.0318356373752545","0.0213114018363473","0.0423598729141617","7"
"7","2004","66 and older","(Married) couple without C. ","131","0.0547373428037742","0.0454913251447038","0.0639833604628445","7"
"7","2004","66 and older","Single parent ","1","","","","7"
"7","2004","66 and older","Couple + C. LE 16 ","2","","","","7"
"7","2004","66 and older","Couple + C. GT 16 ","10","","","","7"
"7","2004","66 and older","Couple + C. LE and GT 16","","","","","7"
"7","2004","16-34 y.","Single parent ","74","0.128744271119896","0.0981715279385164","0.159317014301276","7"
"7","2004","16-34 y.","Couple + C. LE 16 ","134","0.108716860142127","0.0912352776868219","0.126198442597432","7"
"8","2004","35-65 y.","(Married) couple without C. ","266","0.0602872061080579","0.052821898274488","0.0677525139416278","8"
"8","2004","35-65 y.","1-pers.-HH","93","0.0779515460476137","0.0627193034160059","0.0931837886792214","8"
"8","2004","35-65 y.","Single parent ","34","0.0544082521856151","0.0356052840002157","0.0732112203710144","8"
"8","2004","16-34 y.","1-pers.-HH","85","0.112706973169746","0.0883586243106372","0.137055322028854","8"
"8","2004","16-34 y.","(Married) couple without C. ","98","0.0930395711683287","0.0752561965281107","0.110822945808547","8"
"8","2004","16-34 y.","Single parent ","52","0.135590046223501","0.1043385070058","0.166841585441203","8"
"8","2004","16-34 y.","Couple + C. LE and GT 16","76","0.117823293154765","0.0932641919919415","0.142382394317588","8"
"8","2004","35-65 y.","Couple + C. LE 16 ","192","0.0641453525211855","0.055121577369415","0.073169127672956","8"
"8","2004","35-65 y.","Couple + C. GT 16 ","128","0.0468106283825847","0.0381741854038149","0.0554470713613545","8"
"8","2004","35-65 y.","Couple + C. LE and GT 16","79","0.0641658961776491","0.0498146159168131","0.078517176438485","8"
"8","2004","66 and older","1-pers.-HH","31","0.028768099031326","0.0187479013309569","0.038788296731695","8"
"8","2004","66 and older","(Married) couple without C. ","98","0.0396294360069612","0.0316995858978582","0.0475592861160642","8"
"8","2004","66 and older","Single parent ","1","","","","8"
"8","2004","66 and older","Couple + C. LE 16 ","","","","","8"
"8","2004","16-34 y.","Couple + C. LE 16 ","86","0.0806730062857156","0.065378918676406","0.0959670938950252","8"
"8","2004","16-34 y.","Couple + C. GT 16 ","165","0.111187294048279","0.0949448865634584","0.127429701533099","8"
"8","2004","66 and older","Couple + C. LE and GT 16","","","","","8"
"8","2004","66 and older","Couple + C. GT 16 ","6","","","","8"
"9","2004","66 and older","1-pers.-HH","6","","","","9"
"9","2004","66 and older","(Married) couple without C. ","13","","","","9"
"9","2004","66 and older","Single parent ","1","","","","9"
"9","2004","35-65 y.","Couple + C. LE and GT 16","23","","","","9"
"9","2004","16-34 y.","Couple + C. LE and GT 16","24","","","","9"
"9","2004","35-65 y.","1-pers.-HH","25","","","","9"
"9","2004","35-65 y.","(Married) couple without C. ","54","0.0147839417630717","0.0109986580649618","0.0185692254611816","9"
"9","2004","35-65 y.","Single parent ","10","","","","9"
"9","2004","35-65 y.","Couple + C. LE 16 ","50","0.0157737014433874","0.0111847257500612","0.0203626771367136","9"
"9","2004","35-65 y.","Couple + C. GT 16 ","36","0.0102672152379116","0.00614568595004026","0.014388744525783","9"
"9","2004","66 and older","Couple + C. LE 16 ","","","","","9"
"9","2004","66 and older","Couple + C. GT 16 ","","","","","9"
"9","2004","16-34 y.","1-pers.-HH","11","","","","9"
"9","2004","16-34 y.","(Married) couple without C. ","26","","","","9"
"9","2004","16-34 y.","Single parent ","16","","","","9"
"9","2004","16-34 y.","Couple + C. LE 16 ","22","","","","9"
"9","2004","16-34 y.","Couple + C. GT 16 ","53","0.0314804411115358","0.0224586597823993","0.0405022224406722","9"
"9","2004","66 and older","Couple + C. LE and GT 16","","","","","9"
"0 Not at all Willing to take risks","2005","16-34 y.","Couple + C. LE and GT 16","","","","","0"
"0 Not at all Willing to take risks","2005","35-65 y.","1-pers.-HH","","","","","0"
"0 Not at all Willing to take risks","2005","35-65 y.","(Married) couple without C. ","","","","","0"
"0 Not at all Willing to take risks","2005","35-65 y.","Single parent ","","","","","0"
"0 Not at all Willing to take risks","2005","35-65 y.","Couple + C. LE 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","35-65 y.","Couple + C. GT 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","35-65 y.","Couple + C. LE and GT 16","","","","","0"
"0 Not at all Willing to take risks","2005","66 and older","1-pers.-HH","","","","","0"
"0 Not at all Willing to take risks","2005","66 and older","(Married) couple without C. ","","","","","0"
"0 Not at all Willing to take risks","2005","66 and older","Single parent ","","","","","0"
"0 Not at all Willing to take risks","2005","66 and older","Couple + C. LE 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","66 and older","Couple + C. GT 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","66 and older","Couple + C. LE and GT 16","","","","","0"
"0 Not at all Willing to take risks","2005","16-34 y.","1-pers.-HH","","","","","0"
"0 Not at all Willing to take risks","2005","16-34 y.","(Married) couple without C. ","","","","","0"
"0 Not at all Willing to take risks","2005","16-34 y.","Single parent ","","","","","0"
"0 Not at all Willing to take risks","2005","16-34 y.","Couple + C. LE 16 ","","","","","0"
"0 Not at all Willing to take risks","2005","16-34 y.","Couple + C. GT 16 ","","","","","0"
"1","2005","35-65 y.","(Married) couple without C. ","","","","","1"
"1","2005","16-34 y.","(Married) couple without C. ","","","","","1"
"1","2005","16-34 y.","Single parent ","","","","","1"
"1","2005","16-34 y.","Couple + C. LE 16 ","","","","","1"
"1","2005","16-34 y.","Couple + C. GT 16 ","","","","","1"
"1","2005","35-65 y.","1-pers.-HH","","","","","1"
"1","2005","16-34 y.","1-pers.-HH","","","","","1"
"1","2005","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"1","2005","35-65 y.","Single parent ","","","","","1"
"1","2005","35-65 y.","Couple + C. LE 16 ","","","","","1"
"1","2005","35-65 y.","Couple + C. GT 16 ","","","","","1"
"1","2005","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"1","2005","66 and older","1-pers.-HH","","","","","1"
"1","2005","66 and older","(Married) couple without C. ","","","","","1"
"1","2005","66 and older","Couple + C. LE 16 ","","","","","1"
"1","2005","66 and older","Single parent ","","","","","1"
"1","2005","66 and older","Couple + C. GT 16 ","","","","","1"
"1","2005","66 and older","Couple + C. LE and GT 16","","","","","1"
"10 Very willing to take risks","2005","35-65 y.","Single parent ","","","","","10"
"10 Very willing to take risks","2005","16-34 y.","Couple + C. LE and GT 16","","","","","10"
"10 Very willing to take risks","2005","16-34 y.","(Married) couple without C. ","","","","","10"
"10 Very willing to take risks","2005","35-65 y.","Couple + C. GT 16 ","","","","","10"
"10 Very willing to take risks","2005","16-34 y.","Couple + C. GT 16 ","","","","","10"
"10 Very willing to take risks","2005","16-34 y.","Single parent ","","","","","10"
"10 Very willing to take risks","2005","16-34 y.","1-pers.-HH","","","","","10"
"10 Very willing to take risks","2005","16-34 y.","Couple + C. LE 16 ","","","","","10"
"10 Very willing to take risks","2005","35-65 y.","Couple + C. LE 16 ","","","","","10"
"10 Very willing to take risks","2005","35-65 y.","Couple + C. LE and GT 16","","","","","10"
"10 Very willing to take risks","2005","35-65 y.","(Married) couple without C. ","","","","","10"
"10 Very willing to take risks","2005","66 and older","(Married) couple without C. ","","","","","10"
"10 Very willing to take risks","2005","66 and older","Single parent ","","","","","10"
"10 Very willing to take risks","2005","66 and older","Couple + C. GT 16 ","","","","","10"
"10 Very willing to take risks","2005","66 and older","Couple + C. LE and GT 16","","","","","10"
"10 Very willing to take risks","2005","35-65 y.","1-pers.-HH","","","","","10"
"10 Very willing to take risks","2005","66 and older","1-pers.-HH","","","","","10"
"10 Very willing to take risks","2005","66 and older","Couple + C. LE 16 ","","","","","10"
"2","2005","16-34 y.","1-pers.-HH","","","","","2"
"2","2005","16-34 y.","(Married) couple without C. ","","","","","2"
"2","2005","16-34 y.","Couple + C. GT 16 ","","","","","2"
"2","2005","16-34 y.","Couple + C. LE and GT 16","","","","","2"
"2","2005","35-65 y.","1-pers.-HH","","","","","2"
"2","2005","35-65 y.","(Married) couple without C. ","","","","","2"
"2","2005","35-65 y.","Single parent ","","","","","2"
"2","2005","35-65 y.","Couple + C. LE 16 ","","","","","2"
"2","2005","35-65 y.","Couple + C. GT 16 ","","","","","2"
"2","2005","35-65 y.","Couple + C. LE and GT 16","","","","","2"
"2","2005","66 and older","1-pers.-HH","","","","","2"
"2","2005","66 and older","(Married) couple without C. ","","","","","2"
"2","2005","66 and older","Couple + C. GT 16 ","","","","","2"
"2","2005","66 and older","Couple + C. LE and GT 16","","","","","2"
"2","2005","16-34 y.","Single parent ","","","","","2"
"2","2005","16-34 y.","Couple + C. LE 16 ","","","","","2"
"2","2005","66 and older","Single parent ","","","","","2"
"2","2005","66 and older","Couple + C. LE 16 ","","","","","2"
"3","2005","35-65 y.","1-pers.-HH","","","","","3"
"3","2005","16-34 y.","Couple + C. LE and GT 16","","","","","3"
"3","2005","35-65 y.","(Married) couple without C. ","","","","","3"
"3","2005","35-65 y.","Couple + C. LE 16 ","","","","","3"
"3","2005","35-65 y.","Single parent ","","","","","3"
"3","2005","16-34 y.","1-pers.-HH","","","","","3"
"3","2005","16-34 y.","(Married) couple without C. ","","","","","3"
"3","2005","16-34 y.","Single parent ","","","","","3"
"3","2005","16-34 y.","Couple + C. LE 16 ","","","","","3"
"3","2005","16-34 y.","Couple + C. GT 16 ","","","","","3"
"3","2005","35-65 y.","Couple + C. GT 16 ","","","","","3"
"3","2005","35-65 y.","Couple + C. LE and GT 16","","","","","3"
"3","2005","66 and older","1-pers.-HH","","","","","3"
"3","2005","66 and older","(Married) couple without C. ","","","","","3"
"3","2005","66 and older","Single parent ","","","","","3"
"3","2005","66 and older","Couple + C. LE 16 ","","","","","3"
"3","2005","66 and older","Couple + C. LE and GT 16","","","","","3"
"3","2005","66 and older","Couple + C. GT 16 ","","","","","3"
"4","2005","16-34 y.","Couple + C. GT 16 ","","","","","4"
"4","2005","35-65 y.","(Married) couple without C. ","","","","","4"
"4","2005","35-65 y.","Single parent ","","","","","4"
"4","2005","35-65 y.","Couple + C. LE 16 ","","","","","4"
"4","2005","16-34 y.","1-pers.-HH","","","","","4"
"4","2005","16-34 y.","(Married) couple without C. ","","","","","4"
"4","2005","16-34 y.","Single parent ","","","","","4"
"4","2005","16-34 y.","Couple + C. LE 16 ","","","","","4"
"4","2005","16-34 y.","Couple + C. LE and GT 16","","","","","4"
"4","2005","35-65 y.","1-pers.-HH","","","","","4"
"4","2005","35-65 y.","Couple + C. GT 16 ","","","","","4"
"4","2005","35-65 y.","Couple + C. LE and GT 16","","","","","4"
"4","2005","66 and older","1-pers.-HH","","","","","4"
"4","2005","66 and older","(Married) couple without C. ","","","","","4"
"4","2005","66 and older","Single parent ","","","","","4"
"4","2005","66 and older","Couple + C. LE 16 ","","","","","4"
"4","2005","66 and older","Couple + C. GT 16 ","","","","","4"
"4","2005","66 and older","Couple + C. LE and GT 16","","","","","4"
"5","2005","16-34 y.","Couple + C. LE and GT 16","","","","","5"
"5","2005","16-34 y.","1-pers.-HH","","","","","5"
"5","2005","16-34 y.","(Married) couple without C. ","","","","","5"
"5","2005","16-34 y.","Single parent ","","","","","5"
"5","2005","16-34 y.","Couple + C. LE 16 ","","","","","5"
"5","2005","16-34 y.","Couple + C. GT 16 ","","","","","5"
"5","2005","35-65 y.","1-pers.-HH","","","","","5"
"5","2005","35-65 y.","(Married) couple without C. ","","","","","5"
"5","2005","35-65 y.","Single parent ","","","","","5"
"5","2005","35-65 y.","Couple + C. LE 16 ","","","","","5"
"5","2005","35-65 y.","Couple + C. GT 16 ","","","","","5"
"5","2005","35-65 y.","Couple + C. LE and GT 16","","","","","5"
"5","2005","66 and older","1-pers.-HH","","","","","5"
"5","2005","66 and older","(Married) couple without C. ","","","","","5"
"5","2005","66 and older","Single parent ","","","","","5"
"5","2005","66 and older","Couple + C. LE 16 ","","","","","5"
"5","2005","66 and older","Couple + C. GT 16 ","","","","","5"
"5","2005","66 and older","Couple + C. LE and GT 16","","","","","5"
"6","2005","35-65 y.","Single parent ","","","","","6"
"6","2005","35-65 y.","Couple + C. LE 16 ","","","","","6"
"6","2005","35-65 y.","Couple + C. GT 16 ","","","","","6"
"6","2005","66 and older","1-pers.-HH","","","","","6"
"6","2005","16-34 y.","1-pers.-HH","","","","","6"
"6","2005","16-34 y.","(Married) couple without C. ","","","","","6"
"6","2005","16-34 y.","Couple + C. GT 16 ","","","","","6"
"6","2005","16-34 y.","Couple + C. LE and GT 16","","","","","6"
"6","2005","35-65 y.","Couple + C. LE and GT 16","","","","","6"
"6","2005","16-34 y.","Single parent ","","","","","6"
"6","2005","16-34 y.","Couple + C. LE 16 ","","","","","6"
"6","2005","35-65 y.","1-pers.-HH","","","","","6"
"6","2005","35-65 y.","(Married) couple without C. ","","","","","6"
"6","2005","66 and older","(Married) couple without C. ","","","","","6"
