"plh0204_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","Single parent ","(2b) intermediate general qualification","2","","",""
"0 Not at all Willing to take risks","2004","Single parent ","(2a) intermediate vocational","11","","",""
"0 Not at all Willing to take risks","2004","Single parent ","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2004","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"0 Not at all Willing to take risks","2004","Single parent ","(3a) lower tertiary education","3","","",""
"0 Not at all Willing to take risks","2004","Single parent ","(3b) higher tertiary education","5","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(0) in school","","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(1a) inadequately completed","8","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(1b) general elementary school","31","0.127415646322109","0.0853183057199576","0.169512986924261"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(1c) basic vocational qualification","56","0.0538102780849019","0.0390848966392687","0.0685356595305351"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(2b) intermediate general qualification","1","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(2a) intermediate vocational","46","0.0307996606195735","0.0215002361099688","0.0400990851291781"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(2c_gen) general maturity certificate","4","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","24","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(3a) lower tertiary education","7","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","(3b) higher tertiary education","7","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(0) in school","5","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(1a) inadequately completed","18","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(1b) general elementary school","46","0.162183065506023","0.119975373915316","0.204390757096731"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(1c) basic vocational qualification","79","0.0950713442452291","0.0756699553603925","0.114472733130066"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(2b) intermediate general qualification","8","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(2a) intermediate vocational","36","0.052233770428645","0.0372407472464394","0.0672267936108506"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(2c_gen) general maturity certificate","6","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","12","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(3a) lower tertiary education","13","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","(3b) higher tertiary education","11","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(0) in school","12","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(1a) inadequately completed","10","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(1b) general elementary school","23","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(1c) basic vocational qualification","23","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(2b) intermediate general qualification","5","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(2a) intermediate vocational","17","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","5","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(3a) lower tertiary education","4","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","(3b) higher tertiary education","4","","",""
"1","2004","1-pers.-HH","(0) in school","","","",""
"1","2004","1-pers.-HH","(1a) inadequately completed","1","","",""
"1","2004","1-pers.-HH","(1b) general elementary school","49","0.120150930613038","0.0873738816355972","0.152927979590479"
"1","2004","1-pers.-HH","(1c) basic vocational qualification","70","0.0794552519090643","0.0617171919605953","0.0971933118575333"
"1","2004","1-pers.-HH","(2b) intermediate general qualification","1","","",""
"1","2004","1-pers.-HH","(2a) intermediate vocational","24","","",""
"1","2004","1-pers.-HH","(2c_gen) general maturity certificate","3","","",""
"1","2004","1-pers.-HH","(2c_voc) vocational maturity certificate","10","","",""
"1","2004","1-pers.-HH","(3a) lower tertiary education","8","","",""
"1","2004","1-pers.-HH","(3b) higher tertiary education","10","","",""
"1","2004","(Married) couple without C. ","(0) in school","","","",""
"1","2004","(Married) couple without C. ","(1a) inadequately completed","7","","",""
"1","2004","(Married) couple without C. ","(1b) general elementary school","65","0.0981498523370279","0.0755032349667562","0.1207964697073"
"1","2004","(Married) couple without C. ","(1c) basic vocational qualification","195","0.0713565268127619","0.0615221576801406","0.0811908959453833"
"1","2004","(Married) couple without C. ","(2b) intermediate general qualification","5","","",""
"1","2004","(Married) couple without C. ","(2a) intermediate vocational","54","0.0347931240492515","0.0254788390357908","0.0441074090627122"
"1","2004","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"1","2004","(Married) couple without C. ","(2c_voc) vocational maturity certificate","15","","",""
"1","2004","(Married) couple without C. ","(3a) lower tertiary education","27","","",""
"1","2004","(Married) couple without C. ","(3b) higher tertiary education","21","","",""
"1","2004","Single parent ","(0) in school","1","","",""
"1","2004","Single parent ","(1a) inadequately completed","","","",""
"1","2004","Single parent ","(1b) general elementary school","12","","",""
"1","2004","Single parent ","(1c) basic vocational qualification","13","","",""
"1","2004","Single parent ","(2b) intermediate general qualification","3","","",""
"1","2004","Single parent ","(2a) intermediate vocational","9","","",""
"1","2004","Single parent ","(2c_gen) general maturity certificate","1","","",""
"1","2004","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"1","2004","Single parent ","(3a) lower tertiary education","3","","",""
"1","2004","Single parent ","(3b) higher tertiary education","2","","",""
"1","2004","Couple + C. LE 16 ","(0) in school","","","",""
"1","2004","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"1","2004","Couple + C. LE 16 ","(1b) general elementary school","25","","",""
"1","2004","Couple + C. LE 16 ","(1c) basic vocational qualification","30","0.0340710732826945","0.0222322015404437","0.0459099450249454"
"1","2004","Couple + C. LE 16 ","(2b) intermediate general qualification","4","","",""
"1","2004","Couple + C. LE 16 ","(2a) intermediate vocational","45","0.0452757714647823","0.0340853039575843","0.0564662389719803"
"1","2004","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"1","2004","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","17","","",""
"1","2004","Couple + C. LE 16 ","(3a) lower tertiary education","8","","",""
"1","2004","Couple + C. LE 16 ","(3b) higher tertiary education","15","","",""
"1","2004","Couple + C. GT 16 ","(0) in school","6","","",""
"1","2004","Couple + C. GT 16 ","(1a) inadequately completed","8","","",""
"1","2004","Couple + C. GT 16 ","(1b) general elementary school","20","","",""
"1","2004","Couple + C. GT 16 ","(1c) basic vocational qualification","54","0.0834508576188857","0.0651574710052348","0.101744244232537"
"1","2004","Couple + C. GT 16 ","(2b) intermediate general qualification","7","","",""
"1","2004","Couple + C. GT 16 ","(2a) intermediate vocational","32","0.0450238373362904","0.0310511343181697","0.058996540354411"
"1","2004","Couple + C. GT 16 ","(2c_gen) general maturity certificate","5","","",""
"1","2004","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","11","","",""
"1","2004","Couple + C. GT 16 ","(3a) lower tertiary education","9","","",""
"1","2004","Couple + C. GT 16 ","(3b) higher tertiary education","12","","",""
"1","2004","Couple + C. LE and GT 16","(0) in school","2","","",""
"1","2004","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"1","2004","Couple + C. LE and GT 16","(1b) general elementary school","7","","",""
"1","2004","Couple + C. LE and GT 16","(1c) basic vocational qualification","21","","",""
"1","2004","Couple + C. LE and GT 16","(2b) intermediate general qualification","4","","",""
"1","2004","Couple + C. LE and GT 16","(2a) intermediate vocational","9","","",""
"1","2004","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"1","2004","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","5","","",""
"1","2004","Couple + C. LE and GT 16","(3a) lower tertiary education","2","","",""
"1","2004","Couple + C. LE and GT 16","(3b) higher tertiary education","3","","",""
"2","2004","1-pers.-HH","(0) in school","","","",""
"2","2004","1-pers.-HH","(1a) inadequately completed","4","","",""
"2","2004","1-pers.-HH","(1b) general elementary school","51","0.15312298569217","0.116820818033764","0.189425153350577"
"2","2004","1-pers.-HH","(1c) basic vocational qualification","125","0.13571193408263","0.113249302215901","0.158174565949359"
"2","2004","1-pers.-HH","(2b) intermediate general qualification","2","","",""
"2","2004","1-pers.-HH","(2a) intermediate vocational","57","0.0835518615010972","0.0617176495995521","0.105386073402642"
"2","2004","1-pers.-HH","(2c_gen) general maturity certificate","7","","",""
"2","2004","1-pers.-HH","(2c_voc) vocational maturity certificate","15","","",""
"2","2004","1-pers.-HH","(3a) lower tertiary education","19","","",""
"2","2004","1-pers.-HH","(3b) higher tertiary education","23","","",""
"2","2004","(Married) couple without C. ","(0) in school","","","",""
"2","2004","(Married) couple without C. ","(1a) inadequately completed","17","","",""
"2","2004","(Married) couple without C. ","(1b) general elementary school","104","0.146306276292433","0.119404940248513","0.173207612336352"
"2","2004","(Married) couple without C. ","(1c) basic vocational qualification","316","0.115633284304335","0.103416334949383","0.127850233659286"
"2","2004","(Married) couple without C. ","(2b) intermediate general qualification","14","","",""
"2","2004","(Married) couple without C. ","(2a) intermediate vocational","135","0.099082294500585","0.0838966511651424","0.114267937836028"
"2","2004","(Married) couple without C. ","(2c_gen) general maturity certificate","9","","",""
"2","2004","(Married) couple without C. ","(2c_voc) vocational maturity certificate","34","0.060749338331328","0.0391769033693459","0.0823217732933102"
"2","2004","(Married) couple without C. ","(3a) lower tertiary education","59","0.0846129834700296","0.0639222175629232","0.105303749377136"
"2","2004","(Married) couple without C. ","(3b) higher tertiary education","80","0.0793261030940392","0.0622752776085784","0.0963769285795"
"2","2004","Single parent ","(0) in school","4","","",""
"2","2004","Single parent ","(1a) inadequately completed","1","","",""
"2","2004","Single parent ","(1b) general elementary school","22","","",""
"2","2004","Single parent ","(1c) basic vocational qualification","25","","",""
"2","2004","Single parent ","(2b) intermediate general qualification","2","","",""
"2","2004","Single parent ","(2a) intermediate vocational","23","","",""
"2","2004","Single parent ","(2c_gen) general maturity certificate","3","","",""
"2","2004","Single parent ","(2c_voc) vocational maturity certificate","5","","",""
"2","2004","Single parent ","(3a) lower tertiary education","2","","",""
"2","2004","Single parent ","(3b) higher tertiary education","8","","",""
"2","2004","Couple + C. LE 16 ","(0) in school","","","",""
"2","2004","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"2","2004","Couple + C. LE 16 ","(1b) general elementary school","32","0.149794408311994","0.104738749010115","0.194850067613872"
"2","2004","Couple + C. LE 16 ","(1c) basic vocational qualification","76","0.0855667881597013","0.0673121414160602","0.103821434903342"
"2","2004","Couple + C. LE 16 ","(2b) intermediate general qualification","6","","",""
"2","2004","Couple + C. LE 16 ","(2a) intermediate vocational","131","0.0871307736963406","0.0719509615311732","0.102310585861508"
"2","2004","Couple + C. LE 16 ","(2c_gen) general maturity certificate","12","","",""
"2","2004","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","48","0.109223214914279","0.080687834205726","0.137758595622832"
"2","2004","Couple + C. LE 16 ","(3a) lower tertiary education","29","","",""
"2","2004","Couple + C. LE 16 ","(3b) higher tertiary education","62","0.110148261856023","0.0850346847850469","0.135261838926999"
"2","2004","Couple + C. GT 16 ","(0) in school","8","","",""
"2","2004","Couple + C. GT 16 ","(1a) inadequately completed","3","","",""
"2","2004","Couple + C. GT 16 ","(1b) general elementary school","39","0.141525613368949","0.101614350051435","0.181436876686464"
"2","2004","Couple + C. GT 16 ","(1c) basic vocational qualification","96","0.0964915044330784","0.0769610885108173","0.116021920355339"
"2","2004","Couple + C. GT 16 ","(2b) intermediate general qualification","14","","",""
"2","2004","Couple + C. GT 16 ","(2a) intermediate vocational","89","0.131598723857433","0.108818972735752","0.154378474979114"
"2","2004","Couple + C. GT 16 ","(2c_gen) general maturity certificate","19","","",""
"2","2004","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","13","","",""
"2","2004","Couple + C. GT 16 ","(3a) lower tertiary education","20","","",""
"2","2004","Couple + C. GT 16 ","(3b) higher tertiary education","41","0.0957823111009006","0.0674681826527727","0.124096439549028"
"2","2004","Couple + C. LE and GT 16","(0) in school","16","","",""
"2","2004","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"2","2004","Couple + C. LE and GT 16","(1b) general elementary school","12","","",""
"2","2004","Couple + C. LE and GT 16","(1c) basic vocational qualification","36","0.114552242311711","0.0809458562545693","0.148158628368852"
"2","2004","Couple + C. LE and GT 16","(2b) intermediate general qualification","4","","",""
"2","2004","Couple + C. LE and GT 16","(2a) intermediate vocational","35","0.102132457637274","0.0704976799596515","0.133767235314896"
"2","2004","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","8","","",""
"2","2004","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"2","2004","Couple + C. LE and GT 16","(3a) lower tertiary education","5","","",""
"2","2004","Couple + C. LE and GT 16","(3b) higher tertiary education","16","","",""
"3","2004","1-pers.-HH","(0) in school","","","",""
"3","2004","1-pers.-HH","(1a) inadequately completed","6","","",""
"3","2004","1-pers.-HH","(1b) general elementary school","55","0.14262066034921","0.107368972192925","0.177872348505495"
"3","2004","1-pers.-HH","(1c) basic vocational qualification","106","0.118353149398675","0.0971666306676207","0.139539668129729"
"3","2004","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"3","2004","1-pers.-HH","(2a) intermediate vocational","72","0.115257026829515","0.0900600883161834","0.140453965342847"
"3","2004","1-pers.-HH","(2c_gen) general maturity certificate","14","","",""
"3","2004","1-pers.-HH","(2c_voc) vocational maturity certificate","21","","",""
"3","2004","1-pers.-HH","(3a) lower tertiary education","30","0.171431629439729","0.122076336521562","0.220786922357895"
"3","2004","1-pers.-HH","(3b) higher tertiary education","45","0.143575523679243","0.105393378394641","0.181757668963845"
"3","2004","(Married) couple without C. ","(0) in school","1","","",""
"3","2004","(Married) couple without C. ","(1a) inadequately completed","9","","",""
"3","2004","(Married) couple without C. ","(1b) general elementary school","91","0.118249709311287","0.0936707113545575","0.142828707268017"
"3","2004","(Married) couple without C. ","(1c) basic vocational qualification","365","0.130425413991085","0.11755952855724","0.14329129942493"
"3","2004","(Married) couple without C. ","(2b) intermediate general qualification","10","","",""
"3","2004","(Married) couple without C. ","(2a) intermediate vocational","191","0.126739959849608","0.109830832961625","0.143649086737591"
"3","2004","(Married) couple without C. ","(2c_gen) general maturity certificate","10","","",""
"3","2004","(Married) couple without C. ","(2c_voc) vocational maturity certificate","80","0.167952547203639","0.134192349396547","0.201712745010731"
"3","2004","(Married) couple without C. ","(3a) lower tertiary education","86","0.123018055402921","0.0985986298313311","0.14743748097451"
"3","2004","(Married) couple without C. ","(3b) higher tertiary education","134","0.141539606745367","0.11954665313719","0.163532560353544"
"3","2004","Single parent ","(0) in school","3","","",""
"3","2004","Single parent ","(1a) inadequately completed","1","","",""
"3","2004","Single parent ","(1b) general elementary school","13","","",""
"3","2004","Single parent ","(1c) basic vocational qualification","24","","",""
"3","2004","Single parent ","(2b) intermediate general qualification","12","","",""
"3","2004","Single parent ","(2a) intermediate vocational","36","0.124396498851502","0.0844337578172615","0.164359239885743"
"3","2004","Single parent ","(2c_gen) general maturity certificate","9","","",""
"3","2004","Single parent ","(2c_voc) vocational maturity certificate","7","","",""
"3","2004","Single parent ","(3a) lower tertiary education","3","","",""
"3","2004","Single parent ","(3b) higher tertiary education","8","","",""
"3","2004","Couple + C. LE 16 ","(0) in school","","","",""
"3","2004","Couple + C. LE 16 ","(1a) inadequately completed","6","","",""
"3","2004","Couple + C. LE 16 ","(1b) general elementary school","31","0.101659266034922","0.0635058348272271","0.139812697242616"
"3","2004","Couple + C. LE 16 ","(1c) basic vocational qualification","125","0.129156690201487","0.107270342940326","0.151043037462648"
"3","2004","Couple + C. LE 16 ","(2b) intermediate general qualification","10","","",""
"3","2004","Couple + C. LE 16 ","(2a) intermediate vocational","169","0.138567314353062","0.119971405791816","0.157163222914308"
"3","2004","Couple + C. LE 16 ","(2c_gen) general maturity certificate","9","","",""
"3","2004","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","72","0.139126308828198","0.107465930689181","0.170786686967215"
"3","2004","Couple + C. LE 16 ","(3a) lower tertiary education","30","0.0801909006736182","0.0508440475491941","0.109537753798042"
"3","2004","Couple + C. LE 16 ","(3b) higher tertiary education","86","0.131732476366444","0.104603454725269","0.158861498007619"
"3","2004","Couple + C. GT 16 ","(0) in school","33","0.1284055905236","0.0888661128100498","0.167945068237151"
"3","2004","Couple + C. GT 16 ","(1a) inadequately completed","4","","",""
"3","2004","Couple + C. GT 16 ","(1b) general elementary school","36","0.153093573589449","0.11186384505072","0.194323302128179"
"3","2004","Couple + C. GT 16 ","(1c) basic vocational qualification","102","0.111477441529497","0.0906599422294162","0.132294940829578"
"3","2004","Couple + C. GT 16 ","(2b) intermediate general qualification","23","","",""
"3","2004","Couple + C. GT 16 ","(2a) intermediate vocational","116","0.123093707636218","0.100954736746207","0.14523267852623"
"3","2004","Couple + C. GT 16 ","(2c_gen) general maturity certificate","28","","",""
"3","2004","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","23","","",""
"3","2004","Couple + C. GT 16 ","(3a) lower tertiary education","37","0.217729637523487","0.167946376583305","0.267512898463669"
"3","2004","Couple + C. GT 16 ","(3b) higher tertiary education","58","0.12415546556573","0.0924290888897782","0.155881842241681"
"3","2004","Couple + C. LE and GT 16","(0) in school","21","","",""
"3","2004","Couple + C. LE and GT 16","(1a) inadequately completed","4","","",""
"3","2004","Couple + C. LE and GT 16","(1b) general elementary school","18","","",""
"3","2004","Couple + C. LE and GT 16","(1c) basic vocational qualification","49","0.13189100637115","0.0961856590256924","0.167596353716607"
"3","2004","Couple + C. LE and GT 16","(2b) intermediate general qualification","7","","",""
"3","2004","Couple + C. LE and GT 16","(2a) intermediate vocational","47","0.142576073434236","0.106050429301795","0.179101717566676"
"3","2004","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"3","2004","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","16","","",""
"3","2004","Couple + C. LE and GT 16","(3a) lower tertiary education","18","","",""
"3","2004","Couple + C. LE and GT 16","(3b) higher tertiary education","25","","",""
"4","2004","1-pers.-HH","(0) in school","","","",""
"4","2004","1-pers.-HH","(1a) inadequately completed","","","",""
"4","2004","1-pers.-HH","(1b) general elementary school","25","","",""
"4","2004","1-pers.-HH","(1c) basic vocational qualification","90","0.10503041486077","0.0849217127645549","0.125139116956985"
"4","2004","1-pers.-HH","(2b) intermediate general qualification","7","","",""
"4","2004","1-pers.-HH","(2a) intermediate vocational","66","0.111698135300846","0.0868434220295722","0.13655284857212"
"4","2004","1-pers.-HH","(2c_gen) general maturity certificate","11","","",""
"4","2004","1-pers.-HH","(2c_voc) vocational maturity certificate","22","","",""
"4","2004","1-pers.-HH","(3a) lower tertiary education","29","","",""
"4","2004","1-pers.-HH","(3b) higher tertiary education","29","","",""
"4","2004","(Married) couple without C. ","(0) in school","","","",""
"4","2004","(Married) couple without C. ","(1a) inadequately completed","6","","",""
"4","2004","(Married) couple without C. ","(1b) general elementary school","67","0.104345748433646","0.0810756134814042","0.127615883385888"
"4","2004","(Married) couple without C. ","(1c) basic vocational qualification","281","0.0974442033505092","0.0861144571008284","0.10877394960019"
"4","2004","(Married) couple without C. ","(2b) intermediate general qualification","12","","",""
"4","2004","(Married) couple without C. ","(2a) intermediate vocational","169","0.10651209954996","0.0908324476293244","0.122191751470596"
"4","2004","(Married) couple without C. ","(2c_gen) general maturity certificate","22","","",""
"4","2004","(Married) couple without C. ","(2c_voc) vocational maturity certificate","66","0.119428488723415","0.0901415538668083","0.148715423580022"
"4","2004","(Married) couple without C. ","(3a) lower tertiary education","75","0.102284549636937","0.0797561647490811","0.124812934524794"
"4","2004","(Married) couple without C. ","(3b) higher tertiary education","115","0.116768398534732","0.0965063012576604","0.137030495811803"
"4","2004","Single parent ","(0) in school","8","","",""
"4","2004","Single parent ","(1a) inadequately completed","2","","",""
"4","2004","Single parent ","(1b) general elementary school","12","","",""
"4","2004","Single parent ","(1c) basic vocational qualification","26","","",""
"4","2004","Single parent ","(2b) intermediate general qualification","3","","",""
"4","2004","Single parent ","(2a) intermediate vocational","28","","",""
"4","2004","Single parent ","(2c_gen) general maturity certificate","5","","",""
"4","2004","Single parent ","(2c_voc) vocational maturity certificate","6","","",""
"4","2004","Single parent ","(3a) lower tertiary education","8","","",""
"4","2004","Single parent ","(3b) higher tertiary education","6","","",""
"4","2004","Couple + C. LE 16 ","(0) in school","","","",""
"4","2004","Couple + C. LE 16 ","(1a) inadequately completed","1","","",""
"4","2004","Couple + C. LE 16 ","(1b) general elementary school","27","","",""
"4","2004","Couple + C. LE 16 ","(1c) basic vocational qualification","100","0.0962116582102664","0.0769678048174593","0.115455511603073"
"4","2004","Couple + C. LE 16 ","(2b) intermediate general qualification","3","","",""
"4","2004","Couple + C. LE 16 ","(2a) intermediate vocational","173","0.125848821516309","0.107996521399053","0.143701121633564"
"4","2004","Couple + C. LE 16 ","(2c_gen) general maturity certificate","8","","",""
"4","2004","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","47","0.0964312106905508","0.0694270198466844","0.123435401534417"
"4","2004","Couple + C. LE 16 ","(3a) lower tertiary education","53","0.18866722001631","0.146390831668209","0.230943608364411"
"4","2004","Couple + C. LE 16 ","(3b) higher tertiary education","81","0.149980067363593","0.121338798605058","0.178621336122128"
"4","2004","Couple + C. GT 16 ","(0) in school","26","","",""
"4","2004","Couple + C. GT 16 ","(1a) inadequately completed","3","","",""
"4","2004","Couple + C. GT 16 ","(1b) general elementary school","32","0.1470173200583","0.106469394719364","0.187565245397236"
"4","2004","Couple + C. GT 16 ","(1c) basic vocational qualification","99","0.10621301334784","0.0858328945238891","0.126593132171792"
"4","2004","Couple + C. GT 16 ","(2b) intermediate general qualification","17","","",""
"4","2004","Couple + C. GT 16 ","(2a) intermediate vocational","89","0.0998670559831522","0.07966352111247","0.120070590853834"
"4","2004","Couple + C. GT 16 ","(2c_gen) general maturity certificate","35","0.119173891108021","0.0840036828154095","0.154344099400633"
"4","2004","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","15","","",""
"4","2004","Couple + C. GT 16 ","(3a) lower tertiary education","36","0.126109827191143","0.0860647605561602","0.166154893826126"
"4","2004","Couple + C. GT 16 ","(3b) higher tertiary education","42","0.0998940034060807","0.0710443513665815","0.12874365544558"
"4","2004","Couple + C. LE and GT 16","(0) in school","25","","",""
"4","2004","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"4","2004","Couple + C. LE and GT 16","(1b) general elementary school","15","","",""
"4","2004","Couple + C. LE and GT 16","(1c) basic vocational qualification","30","0.0804740383427605","0.0517696406112565","0.109178436074264"
"4","2004","Couple + C. LE and GT 16","(2b) intermediate general qualification","12","","",""
"4","2004","Couple + C. LE and GT 16","(2a) intermediate vocational","29","","",""
"4","2004","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","5","","",""
"4","2004","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","7","","",""
"4","2004","Couple + C. LE and GT 16","(3a) lower tertiary education","7","","",""
"4","2004","Couple + C. LE and GT 16","(3b) higher tertiary education","21","","",""
"5","2004","1-pers.-HH","(0) in school","","","",""
"5","2004","1-pers.-HH","(1a) inadequately completed","3","","",""
"5","2004","1-pers.-HH","(1b) general elementary school","56","0.136243199521023","0.101660782150555","0.17082561689149"
"5","2004","1-pers.-HH","(1c) basic vocational qualification","207","0.242163319336071","0.214066034571028","0.270260604101114"
"5","2004","1-pers.-HH","(2b) intermediate general qualification","16","","",""
"5","2004","1-pers.-HH","(2a) intermediate vocational","140","0.223365455935995","0.190501346701374","0.256229565170615"
"5","2004","1-pers.-HH","(2c_gen) general maturity certificate","25","","",""
"5","2004","1-pers.-HH","(2c_voc) vocational maturity certificate","48","0.218110322757899","0.163787484390987","0.272433161124812"
"5","2004","1-pers.-HH","(3a) lower tertiary education","49","0.182756679891518","0.13214667241751","0.233366687365525"
"5","2004","1-pers.-HH","(3b) higher tertiary education","64","0.196438806226155","0.153177591809048","0.239700020643262"
"5","2004","(Married) couple without C. ","(0) in school","1","","",""
"5","2004","(Married) couple without C. ","(1a) inadequately completed","8","","",""
"5","2004","(Married) couple without C. ","(1b) general elementary school","115","0.188065455273038","0.158320977296737","0.217809933249339"
"5","2004","(Married) couple without C. ","(1c) basic vocational qualification","564","0.219711455854492","0.203893181094171","0.235529730614812"
"5","2004","(Married) couple without C. ","(2b) intermediate general qualification","19","","",""
"5","2004","(Married) couple without C. ","(2a) intermediate vocational","389","0.263979583674568","0.24157573104727","0.286383436301867"
