"plh0204_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"1","2004","Couple + C. LE 16 ","indirect migration background","13","","","","1"
"1","2004","Couple + C. GT 16 ","no migration background","120","0.0466084109043071","0.0394053357147526","0.0538114860938617","1"
"1","2004","Couple + C. GT 16 ","direct migration background","39","0.0973606702543064","0.0690431025890649","0.125678237919548","1"
"1","2004","Couple + C. GT 16 ","indirect migration background","7","","","","1"
"1","2004","Couple + C. LE and GT 16","no migration background","38","0.0379426790602473","0.0277320753840669","0.0481532827364278","1"
"1","2004","Couple + C. LE and GT 16","direct migration background","16","","","","1"
"1","2004","Couple + C. LE and GT 16","indirect migration background","3","","","","1"
"10 Very willing to take risks","2004","1-pers.-HH","indirect migration background","2","","","","10"
"10 Very willing to take risks","2004","(Married) couple without C. ","no migration background","54","0.0092063816590507","0.0068686889517642","0.0115440743663372","10"
"10 Very willing to take risks","2004","1-pers.-HH","no migration background","22","","","","10"
"10 Very willing to take risks","2004","Couple + C. LE 16 ","indirect migration background","3","","","","10"
"10 Very willing to take risks","2004","(Married) couple without C. ","direct migration background","4","","","","10"
"10 Very willing to take risks","2004","(Married) couple without C. ","indirect migration background","","","","","10"
"10 Very willing to take risks","2004","Couple + C. LE 16 ","no migration background","25","","","","10"
"10 Very willing to take risks","2004","1-pers.-HH","direct migration background","1","","","","10"
"10 Very willing to take risks","2004","Single parent ","direct migration background","3","","","","10"
"10 Very willing to take risks","2004","Single parent ","indirect migration background","1","","","","10"
"10 Very willing to take risks","2004","Couple + C. LE 16 ","direct migration background","11","","","","10"
"10 Very willing to take risks","2004","Single parent ","no migration background","12","","","","10"
"10 Very willing to take risks","2004","Couple + C. GT 16 ","no migration background","17","","","","10"
"10 Very willing to take risks","2004","Couple + C. GT 16 ","direct migration background","4","","","","10"
"10 Very willing to take risks","2004","Couple + C. GT 16 ","indirect migration background","7","","","","10"
"10 Very willing to take risks","2004","Couple + C. LE and GT 16","no migration background","22","","","","10"
"10 Very willing to take risks","2004","Couple + C. LE and GT 16","direct migration background","8","","","","10"
"10 Very willing to take risks","2004","Couple + C. LE and GT 16","indirect migration background","5","","","","10"
"2","2004","1-pers.-HH","no migration background","260","0.10450669149938","0.0927658961121802","0.11624748688658","2"
"2","2004","1-pers.-HH","direct migration background","38","0.190972368560994","0.13830905892316","0.243635678198827","2"
"2","2004","(Married) couple without C. ","indirect migration background","10","","","","2"
"2","2004","Single parent ","no migration background","69","0.0760895725635753","0.0585914560098556","0.0935876891172949","2"
"2","2004","Couple + C. LE 16 ","indirect migration background","19","","","","2"
"2","2004","Couple + C. GT 16 ","no migration background","295","0.0940430369287713","0.084069085513914","0.104016988343629","2"
"2","2004","Couple + C. GT 16 ","direct migration background","39","0.0925446429047058","0.0648627796149598","0.120226506194452","2"
"2","2004","Couple + C. GT 16 ","indirect migration background","12","","","","2"
"2","2004","Single parent ","direct migration background","16","","","","2"
"2","2004","Single parent ","indirect migration background","11","","","","2"
"2","2004","Couple + C. LE 16 ","no migration background","313","0.0922473477981786","0.0823336472641","0.102161048332257","2"
"2","2004","Couple + C. LE 16 ","direct migration background","69","0.12900845819775","0.102231212307075","0.155785704088424","2"
"2","2004","1-pers.-HH","indirect migration background","6","","","","2"
"2","2004","(Married) couple without C. ","no migration background","658","0.105928216872003","0.0983956436950342","0.113460790048972","2"
"2","2004","(Married) couple without C. ","direct migration background","103","0.121148248418784","0.0974779876759466","0.144818509161621","2"
"2","2004","Couple + C. LE and GT 16","no migration background","105","0.0884468215416773","0.0732721580531248","0.10362148503023","2"
"2","2004","Couple + C. LE and GT 16","direct migration background","28","","","","2"
"2","2004","Couple + C. LE and GT 16","indirect migration background","12","","","","2"
"3","2004","1-pers.-HH","direct migration background","29","","","","3"
"3","2004","1-pers.-HH","no migration background","316","0.126848279611368","0.11407561686019","0.139620942362547","3"
"3","2004","(Married) couple without C. ","no migration background","882","0.131868003340438","0.123586409428955","0.140149597251922","3"
"3","2004","1-pers.-HH","indirect migration background","9","","","","3"
"3","2004","(Married) couple without C. ","indirect migration background","17","","","","3"
"3","2004","Single parent ","no migration background","92","0.0890696720049413","0.0702712538575283","0.107868090152354","3"
"3","2004","Single parent ","direct migration background","20","","","","3"
"3","2004","Single parent ","indirect migration background","4","","","","3"
"3","2004","Couple + C. LE 16 ","no migration background","439","0.130007658934293","0.118485940123009","0.141529377745577","3"
"3","2004","(Married) couple without C. ","direct migration background","81","0.115224215211915","0.09206226336493","0.138386167058899","3"
"3","2004","Couple + C. LE 16 ","direct migration background","81","0.133722043956319","0.106533873750033","0.160910214162604","3"
"3","2004","Couple + C. LE 16 ","indirect migration background","23","","","","3"
"3","2004","Couple + C. GT 16 ","no migration background","407","0.123157911920956","0.111928888326507","0.134386935515405","3"
"3","2004","Couple + C. GT 16 ","direct migration background","49","0.121639075665384","0.0904156821731811","0.152862469157588","3"
"3","2004","Couple + C. GT 16 ","indirect migration background","18","","","","3"
"3","2004","Couple + C. LE and GT 16","indirect migration background","11","","","","3"
"3","2004","Couple + C. LE and GT 16","no migration background","168","0.118453641938607","0.10118398399764","0.135723299879574","3"
"3","2004","Couple + C. LE and GT 16","direct migration background","39","0.117653166965341","0.0814938974838067","0.153812436446875","3"
"4","2004","1-pers.-HH","no migration background","261","0.0995665125790433","0.0880750114392427","0.111058013718844","4"
"4","2004","1-pers.-HH","direct migration background","13","","","","4"
"4","2004","1-pers.-HH","indirect migration background","7","","","","4"
"4","2004","(Married) couple without C. ","no migration background","730","0.105672175879387","0.0981476345751338","0.113196717183641","4"
"4","2004","(Married) couple without C. ","direct migration background","75","0.0971629054244372","0.0756775963955518","0.118648214453323","4"
"4","2004","(Married) couple without C. ","indirect migration background","11","","","","4"
"4","2004","Single parent ","no migration background","90","0.0918671348328334","0.0728051297583364","0.11092913990733","4"
"4","2004","Single parent ","direct migration background","10","","","","4"
"4","2004","Single parent ","indirect migration background","7","","","","4"
"4","2004","Couple + C. LE 16 ","no migration background","413","0.12328195228981","0.11201893337641","0.134544971203211","4"
"4","2004","Couple + C. GT 16 ","direct migration background","40","0.100296921587597","0.0716023035536717","0.128991539621522","4"
"4","2004","Couple + C. GT 16 ","indirect migration background","13","","","","4"
"4","2004","Couple + C. LE and GT 16","no migration background","123","0.0848880815643094","0.0699928446890706","0.0997833184395481","4"
"4","2004","Couple + C. LE and GT 16","direct migration background","26","","","","4"
"4","2004","Couple + C. LE and GT 16","indirect migration background","8","","","","4"
"4","2004","Couple + C. LE 16 ","direct migration background","63","0.113355463824174","0.0880306742409762","0.138680253407371","4"
"4","2004","Couple + C. LE 16 ","indirect migration background","20","","","","4"
"4","2004","Couple + C. GT 16 ","no migration background","348","0.10411477914262","0.0936788164168593","0.11455074186838","4"
"5","2004","(Married) couple without C. ","indirect migration background","20","","","","5"
"5","2004","1-pers.-HH","no migration background","545","0.208471108906244","0.192880947142899","0.224061270669588","5"
"5","2004","1-pers.-HH","direct migration background","50","0.233841115381632","0.177130930601722","0.290551300161543","5"
"5","2004","1-pers.-HH","indirect migration background","20","","","","5"
"5","2004","(Married) couple without C. ","no migration background","1447","0.229888857726819","0.219590048845835","0.240187666607804","5"
"5","2004","(Married) couple without C. ","direct migration background","117","0.177819201735167","0.150082191039412","0.205556212430922","5"
"5","2004","Single parent ","no migration background","197","0.222763311884263","0.195302569259811","0.250224054508716","5"
"5","2004","Single parent ","direct migration background","37","0.25670774019043","0.182748067788883","0.330667412591977","5"
"5","2004","Single parent ","indirect migration background","9","","","","5"
"5","2004","Couple + C. LE 16 ","no migration background","752","0.240430256382248","0.225789838378672","0.255070674385824","5"
"5","2004","Couple + C. LE 16 ","direct migration background","111","0.184088836313926","0.153129972817926","0.215047699809926","5"
"5","2004","Couple + C. LE 16 ","indirect migration background","34","0.130033702383907","0.0807616385382693","0.179305766229544","5"
"5","2004","Couple + C. GT 16 ","direct migration background","71","0.127632664034212","0.0957585840455488","0.159506744022875","5"
"5","2004","Couple + C. GT 16 ","indirect migration background","33","0.175047533020723","0.12115558683079","0.228939479210657","5"
"5","2004","Couple + C. LE and GT 16","indirect migration background","34","0.282540822275539","0.206592111371901","0.358489533179176","5"
"5","2004","Couple + C. GT 16 ","no migration background","746","0.229807968275758","0.215432162579002","0.244183773972515","5"
"5","2004","Couple + C. LE and GT 16","no migration background","322","0.251414373567117","0.228229606212829","0.274599140921406","5"
"5","2004","Couple + C. LE and GT 16","direct migration background","50","0.191934059177688","0.147736570168513","0.236131548186864","5"
"6","2004","1-pers.-HH","no migration background","241","0.0911536179812444","0.0801070722631353","0.102200163699353","6"
"6","2004","(Married) couple without C. ","direct migration background","56","0.0738018099197856","0.054835967787502","0.0927676520520693","6"
"6","2004","(Married) couple without C. ","indirect migration background","20","","","","6"
"6","2004","Single parent ","direct migration background","8","","","","6"
"6","2004","Single parent ","indirect migration background","10","","","","6"
"6","2004","Couple + C. LE 16 ","no migration background","431","0.128058680425681","0.116610848916447","0.139506511934915","6"
"6","2004","Couple + C. LE 16 ","direct migration background","53","0.102388101984455","0.0781711828333271","0.126605021135584","6"
"6","2004","Couple + C. LE 16 ","indirect migration background","19","","","","6"
"6","2004","Couple + C. GT 16 ","no migration background","416","0.113838821132993","0.102985773798815","0.124691868467171","6"
"6","2004","Couple + C. GT 16 ","direct migration background","43","0.12491210671957","0.0933304326375207","0.156493780801619","6"
"6","2004","Couple + C. GT 16 ","indirect migration background","31","0.163764750379899","0.111283296662702","0.216246204097095","6"
"6","2004","Couple + C. LE and GT 16","no migration background","173","0.11651840423984","0.0993716088145928","0.133665199665087","6"
"6","2004","Couple + C. LE and GT 16","direct migration background","36","0.0965453380565111","0.0634004156419597","0.129690260471062","6"
"6","2004","Couple + C. LE and GT 16","indirect migration background","19","","","","6"
"6","2004","1-pers.-HH","direct migration background","20","","","","6"
"6","2004","1-pers.-HH","indirect migration background","7","","","","6"
"6","2004","(Married) couple without C. ","no migration background","636","0.0979158604455648","0.0906413900620838","0.105190330829046","6"
"6","2004","Single parent ","no migration background","101","0.11410073624779","0.0931185763549217","0.135082896140658","6"
"7","2004","1-pers.-HH","no migration background","287","0.0979571858551196","0.0865487521478108","0.109365619562428","7"
"7","2004","1-pers.-HH","direct migration background","10","","","","7"
"7","2004","(Married) couple without C. ","direct migration background","43","0.0654895502891288","0.0475436708400718","0.0834354297381858","7"
"7","2004","(Married) couple without C. ","indirect migration background","12","","","","7"
"7","2004","Single parent ","no migration background","122","0.114667889546131","0.0936403810939167","0.135695397998345","7"
"7","2004","Single parent ","direct migration background","5","","","","7"
"7","2004","Single parent ","indirect migration background","12","","","","7"
"7","2004","Couple + C. LE 16 ","no migration background","415","0.124841813523216","0.113517851541685","0.136165775504746","7"
"7","2004","Couple + C. LE 16 ","direct migration background","59","0.0855057232945682","0.0631680500482357","0.107843396540901","7"
"7","2004","Couple + C. LE 16 ","indirect migration background","20","","","","7"
"7","2004","Couple + C. GT 16 ","no migration background","448","0.130139258240878","0.118642400143923","0.141636116337833","7"
"7","2004","Couple + C. GT 16 ","direct migration background","37","0.0922801610472197","0.0646338538984691","0.11992646819597","7"
"7","2004","Couple + C. GT 16 ","indirect migration background","31","0.105538509099916","0.061965484367798","0.149111533832035","7"
"7","2004","Couple + C. LE and GT 16","no migration background","180","0.121957149561243","0.104468815644373","0.139445483478114","7"
"7","2004","Couple + C. LE and GT 16","direct migration background","29","","","","7"
"7","2004","Couple + C. LE and GT 16","indirect migration background","18","","","","7"
"7","2004","1-pers.-HH","indirect migration background","11","","","","7"
"7","2004","(Married) couple without C. ","no migration background","653","0.096032482200293","0.0888207959520087","0.103244168448577","7"
"8","2004","Single parent ","direct migration background","7","","","","8"
"8","2004","Single parent ","no migration background","71","0.0896043967259888","0.0707551701710607","0.108453623280917","8"
"8","2004","Single parent ","indirect migration background","9","","","","8"
"8","2004","1-pers.-HH","no migration background","186","0.063902370476853","0.0545156614723196","0.0732890794813864","8"
"8","2004","1-pers.-HH","direct migration background","10","","","","8"
"8","2004","1-pers.-HH","indirect migration background","13","","","","8"
"8","2004","(Married) couple without C. ","indirect migration background","10","","","","8"
"8","2004","Couple + C. LE 16 ","no migration background","228","0.0698847846400791","0.0611503504215031","0.0786192188586551","8"
"8","2004","Couple + C. LE 16 ","direct migration background","42","0.0680127844459038","0.0479010233940438","0.0881245454977638","8"
"8","2004","Couple + C. LE 16 ","indirect migration background","8","","","","8"
"8","2004","Couple + C. GT 16 ","no migration background","254","0.067499817276183","0.0589269538822106","0.0760726806701554","8"
"8","2004","Couple + C. GT 16 ","direct migration background","24","","","","8"
"8","2004","Couple + C. GT 16 ","indirect migration background","21","","","","8"
"8","2004","Couple + C. LE and GT 16","no migration background","119","0.0840060493682952","0.0691812599785152","0.0988308387580752","8"
"8","2004","(Married) couple without C. ","no migration background","423","0.0595765503079499","0.0537829205879946","0.0653701800279051","8"
"8","2004","(Married) couple without C. ","direct migration background","29","","","","8"
"8","2004","Couple + C. LE and GT 16","indirect migration background","13","","","","8"
"8","2004","Couple + C. LE and GT 16","direct migration background","23","","","","8"
"9","2004","Couple + C. GT 16 ","no migration background","73","0.0180959358632967","0.0135410741627609","0.0226507975638326","9"
"9","2004","Couple + C. GT 16 ","direct migration background","9","","","","9"
"9","2004","Couple + C. GT 16 ","indirect migration background","7","","","","9"
"9","2004","Couple + C. LE 16 ","indirect migration background","6","","","","9"
"9","2004","(Married) couple without C. ","indirect migration background","1","","","","9"
"9","2004","Single parent ","no migration background","23","","","","9"
"9","2004","Single parent ","direct migration background","1","","","","9"
"9","2004","Single parent ","indirect migration background","3","","","","9"
"9","2004","Couple + C. LE 16 ","no migration background","57","0.0144622709954895","0.0103722083176396","0.0185523336733394","9"
"9","2004","Couple + C. LE 16 ","direct migration background","9","","","","9"
"9","2004","Couple + C. LE and GT 16","no migration background","39","0.0256210706765335","0.0171770453344362","0.0340650960186309","9"
"9","2004","Couple + C. LE and GT 16","direct migration background","6","","","","9"
"9","2004","1-pers.-HH","no migration background","35","0.0107548794532895","0.00679621191935193","0.014713546987227","9"
"9","2004","1-pers.-HH","direct migration background","3","","","","9"
"9","2004","1-pers.-HH","indirect migration background","4","","","","9"
"9","2004","(Married) couple without C. ","no migration background","83","0.0125971003082647","0.00986728146604072","0.0153269191504887","9"
"9","2004","(Married) couple without C. ","direct migration background","9","","","","9"
"9","2004","Couple + C. LE and GT 16","indirect migration background","2","","","","9"
"0 Not at all Willing to take risks","2005","(Married) couple without C. ","indirect migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Single parent ","no migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Single parent ","direct migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Single parent ","indirect migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. LE 16 ","no migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. LE 16 ","direct migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. LE 16 ","indirect migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. GT 16 ","no migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. GT 16 ","direct migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. GT 16 ","indirect migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. LE and GT 16","no migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. LE and GT 16","direct migration background","","","","","0"
"0 Not at all Willing to take risks","2005","Couple + C. LE and GT 16","indirect migration background","","","","","0"
"0 Not at all Willing to take risks","2005","1-pers.-HH","no migration background","","","","","0"
"0 Not at all Willing to take risks","2005","1-pers.-HH","direct migration background","","","","","0"
"0 Not at all Willing to take risks","2005","1-pers.-HH","indirect migration background","","","","","0"
"0 Not at all Willing to take risks","2005","(Married) couple without C. ","no migration background","","","","","0"
"0 Not at all Willing to take risks","2005","(Married) couple without C. ","direct migration background","","","","","0"
"1","2005","Single parent ","direct migration background","","","","","1"
"1","2005","1-pers.-HH","direct migration background","","","","","1"
"1","2005","1-pers.-HH","indirect migration background","","","","","1"
"1","2005","(Married) couple without C. ","no migration background","","","","","1"
"1","2005","(Married) couple without C. ","direct migration background","","","","","1"
"1","2005","Single parent ","no migration background","","","","","1"
"1","2005","1-pers.-HH","no migration background","","","","","1"
"1","2005","(Married) couple without C. ","indirect migration background","","","","","1"
"1","2005","Single parent ","indirect migration background","","","","","1"
"1","2005","Couple + C. LE 16 ","no migration background","","","","","1"
"1","2005","Couple + C. LE 16 ","direct migration background","","","","","1"
"1","2005","Couple + C. LE 16 ","indirect migration background","","","","","1"
"1","2005","Couple + C. GT 16 ","no migration background","","","","","1"
"1","2005","Couple + C. GT 16 ","direct migration background","","","","","1"
"1","2005","Couple + C. LE and GT 16","no migration background","","","","","1"
"1","2005","Couple + C. GT 16 ","indirect migration background","","","","","1"
"1","2005","Couple + C. LE and GT 16","direct migration background","","","","","1"
"1","2005","Couple + C. LE and GT 16","indirect migration background","","","","","1"
"10 Very willing to take risks","2005","Single parent ","indirect migration background","","","","","10"
"10 Very willing to take risks","2005","(Married) couple without C. ","indirect migration background","","","","","10"
"10 Very willing to take risks","2005","1-pers.-HH","direct migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. LE 16 ","direct migration background","","","","","10"
"10 Very willing to take risks","2005","(Married) couple without C. ","direct migration background","","","","","10"
"10 Very willing to take risks","2005","1-pers.-HH","indirect migration background","","","","","10"
"10 Very willing to take risks","2005","1-pers.-HH","no migration background","","","","","10"
"10 Very willing to take risks","2005","(Married) couple without C. ","no migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. LE 16 ","no migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. LE 16 ","indirect migration background","","","","","10"
"10 Very willing to take risks","2005","Single parent ","direct migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. GT 16 ","direct migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. GT 16 ","indirect migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. LE and GT 16","direct migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. LE and GT 16","indirect migration background","","","","","10"
"10 Very willing to take risks","2005","Single parent ","no migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. GT 16 ","no migration background","","","","","10"
"10 Very willing to take risks","2005","Couple + C. LE and GT 16","no migration background","","","","","10"
"2","2005","1-pers.-HH","no migration background","","","","","2"
"2","2005","1-pers.-HH","direct migration background","","","","","2"
"2","2005","(Married) couple without C. ","direct migration background","","","","","2"
"2","2005","(Married) couple without C. ","indirect migration background","","","","","2"
"2","2005","Single parent ","no migration background","","","","","2"
"2","2005","Single parent ","direct migration background","","","","","2"
"2","2005","Single parent ","indirect migration background","","","","","2"
"2","2005","Couple + C. LE 16 ","no migration background","","","","","2"
"2","2005","Couple + C. LE 16 ","direct migration background","","","","","2"
"2","2005","Couple + C. LE 16 ","indirect migration background","","","","","2"
"2","2005","Couple + C. GT 16 ","no migration background","","","","","2"
"2","2005","Couple + C. GT 16 ","direct migration background","","","","","2"
"2","2005","Couple + C. LE and GT 16","direct migration background","","","","","2"
"2","2005","Couple + C. LE and GT 16","indirect migration background","","","","","2"
"2","2005","1-pers.-HH","indirect migration background","","","","","2"
"2","2005","(Married) couple without C. ","no migration background","","","","","2"
"2","2005","Couple + C. GT 16 ","indirect migration background","","","","","2"
"2","2005","Couple + C. LE and GT 16","no migration background","","","","","2"
"3","2005","Single parent ","no migration background","","","","","3"
"3","2005","(Married) couple without C. ","indirect migration background","","","","","3"
"3","2005","Single parent ","direct migration background","","","","","3"
"3","2005","Couple + C. LE 16 ","no migration background","","","","","3"
"3","2005","Single parent ","indirect migration background","","","","","3"
"3","2005","1-pers.-HH","no migration background","","","","","3"
"3","2005","1-pers.-HH","direct migration background","","","","","3"
"3","2005","1-pers.-HH","indirect migration background","","","","","3"
"3","2005","(Married) couple without C. ","no migration background","","","","","3"
"3","2005","(Married) couple without C. ","direct migration background","","","","","3"
"3","2005","Couple + C. LE 16 ","direct migration background","","","","","3"
"3","2005","Couple + C. LE 16 ","indirect migration background","","","","","3"
"3","2005","Couple + C. GT 16 ","no migration background","","","","","3"
"3","2005","Couple + C. GT 16 ","direct migration background","","","","","3"
"3","2005","Couple + C. GT 16 ","indirect migration background","","","","","3"
"3","2005","Couple + C. LE and GT 16","no migration background","","","","","3"
"3","2005","Couple + C. LE and GT 16","indirect migration background","","","","","3"
"3","2005","Couple + C. LE and GT 16","direct migration background","","","","","3"
"4","2005","(Married) couple without C. ","direct migration background","","","","","4"
"4","2005","Single parent ","direct migration background","","","","","4"
"4","2005","Single parent ","indirect migration background","","","","","4"
"4","2005","Couple + C. LE 16 ","no migration background","","","","","4"
"4","2005","1-pers.-HH","no migration background","","","","","4"
"4","2005","1-pers.-HH","direct migration background","","","","","4"
"4","2005","1-pers.-HH","indirect migration background","","","","","4"
"4","2005","(Married) couple without C. ","no migration background","","","","","4"
"4","2005","(Married) couple without C. ","indirect migration background","","","","","4"
"4","2005","Single parent ","no migration background","","","","","4"
"4","2005","Couple + C. LE 16 ","direct migration background","","","","","4"
"4","2005","Couple + C. LE 16 ","indirect migration background","","","","","4"
"4","2005","Couple + C. GT 16 ","no migration background","","","","","4"
"4","2005","Couple + C. GT 16 ","direct migration background","","","","","4"
"4","2005","Couple + C. GT 16 ","indirect migration background","","","","","4"
"4","2005","Couple + C. LE and GT 16","no migration background","","","","","4"
"4","2005","Couple + C. LE and GT 16","direct migration background","","","","","4"
"4","2005","Couple + C. LE and GT 16","indirect migration background","","","","","4"
"5","2005","(Married) couple without C. ","indirect migration background","","","","","5"
"5","2005","1-pers.-HH","no migration background","","","","","5"
"5","2005","1-pers.-HH","direct migration background","","","","","5"
"5","2005","1-pers.-HH","indirect migration background","","","","","5"
"5","2005","(Married) couple without C. ","no migration background","","","","","5"
"5","2005","(Married) couple without C. ","direct migration background","","","","","5"
"5","2005","Single parent ","no migration background","","","","","5"
"5","2005","Single parent ","direct migration background","","","","","5"
"5","2005","Single parent ","indirect migration background","","","","","5"
"5","2005","Couple + C. LE 16 ","no migration background","","","","","5"
"5","2005","Couple + C. LE 16 ","direct migration background","","","","","5"
"5","2005","Couple + C. LE 16 ","indirect migration background","","","","","5"
"5","2005","Couple + C. GT 16 ","no migration background","","","","","5"
"5","2005","Couple + C. GT 16 ","direct migration background","","","","","5"
"5","2005","Couple + C. GT 16 ","indirect migration background","","","","","5"
"5","2005","Couple + C. LE and GT 16","no migration background","","","","","5"
"5","2005","Couple + C. LE and GT 16","direct migration background","","","","","5"
"5","2005","Couple + C. LE and GT 16","indirect migration background","","","","","5"
"6","2005","Single parent ","indirect migration background","","","","","6"
"6","2005","Couple + C. LE 16 ","no migration background","","","","","6"
"6","2005","Couple + C. LE 16 ","direct migration background","","","","","6"
"6","2005","Couple + C. GT 16 ","no migration background","","","","","6"
"6","2005","1-pers.-HH","no migration background","","","","","6"
"6","2005","1-pers.-HH","direct migration background","","","","","6"
"6","2005","(Married) couple without C. ","direct migration background","","","","","6"
"6","2005","(Married) couple without C. ","indirect migration background","","","","","6"
"6","2005","Couple + C. LE 16 ","indirect migration background","","","","","6"
"6","2005","1-pers.-HH","indirect migration background","","","","","6"
"6","2005","(Married) couple without C. ","no migration background","","","","","6"
"6","2005","Single parent ","no migration background","","","","","6"
"6","2005","Single parent ","direct migration background","","","","","6"
"6","2005","Couple + C. GT 16 ","direct migration background","","","","","6"
"6","2005","Couple + C. GT 16 ","indirect migration background","","","","","6"
"6","2005","Couple + C. LE and GT 16","no migration background","","","","","6"
"6","2005","Couple + C. LE and GT 16","direct migration background","","","","","6"
"6","2005","Couple + C. LE and GT 16","indirect migration background","","","","","6"
"7","2005","1-pers.-HH","direct migration background","","","","","7"
"7","2005","Single parent ","indirect migration background","","","","","7"
"7","2005","Couple + C. LE 16 ","no migration background","","","","","7"
"7","2005","1-pers.-HH","no migration background","","","","","7"
"7","2005","Couple + C. GT 16 ","direct migration background","","","","","7"
"7","2005","Single parent ","direct migration background","","","","","7"
"7","2005","Couple + C. GT 16 ","no migration background","","","","","7"
"7","2005","Couple + C. GT 16 ","indirect migration background","","","","","7"
"7","2005","Couple + C. LE 16 ","direct migration background","","","","","7"
"7","2005","Couple + C. LE 16 ","indirect migration background","","","","","7"
"7","2005","(Married) couple without C. ","indirect migration background","","","","","7"
"7","2005","Single parent ","no migration background","","","","","7"
"7","2005","Couple + C. LE and GT 16","no migration background","","","","","7"
"7","2005","Couple + C. LE and GT 16","direct migration background","","","","","7"
"7","2005","Couple + C. LE and GT 16","indirect migration background","","","","","7"
"7","2005","(Married) couple without C. ","direct migration background","","","","","7"
"7","2005","1-pers.-HH","indirect migration background","","","","","7"
