"plh0204_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"7","2004","(1b) general elementary school","89","0.0415580350501945","0.0328222625497812","0.0502938075506078"
"7","2004","(1c) basic vocational qualification","472","0.0762717099975878","0.0695932063292857","0.0829502136658899"
"7","2004","(2b) intermediate general qualification","92","0.139911269740548","0.112360266220004","0.167462273261091"
"7","2004","(2a) intermediate vocational","610","0.119164659759282","0.110189880565918","0.128139438952647"
"7","2004","(2c_gen) general maturity certificate","175","0.196971152219384","0.170187285693087","0.223755018745682"
"7","2004","(2c_voc) vocational maturity certificate","209","0.130997195047256","0.114254422426884","0.147739967667628"
"7","2004","(3a) lower tertiary education","249","0.139207593714576","0.122766850590111","0.15564833683904"
"7","2004","(3b) higher tertiary education","391","0.139360631485822","0.126030713125394","0.15269054984625"
"8","2004","(0) in school","75","0.121206976816598","0.0957824226707186","0.146631530962477"
"8","2004","(1a) inadequately completed","8","","",""
"8","2004","(1b) general elementary school","82","0.0434579656784978","0.0345335944263031","0.0523823369306924"
"8","2004","(1c) basic vocational qualification","326","0.0552590911636482","0.0495102073092467","0.0610079750180497"
"8","2004","(2b) intermediate general qualification","63","0.124654274565361","0.0984191675431723","0.150889381587549"
"8","2004","(2a) intermediate vocational","364","0.0686337949997744","0.0616300244031189","0.07563756559643"
"8","2004","(2c_gen) general maturity certificate","91","0.112591125896771","0.0913038371763348","0.133878414617208"
"8","2004","(2c_voc) vocational maturity certificate","112","0.0666706056286454","0.0542920360014299","0.0790491752558609"
"8","2004","(3a) lower tertiary education","151","0.0798580320403566","0.0669836175063103","0.0927324465744028"
"8","2004","(3b) higher tertiary education","225","0.0762084348587666","0.0659958577165104","0.0864210120010228"
"9","2004","(0) in school","33","0.0469699693206583","0.0304879785290706","0.063451960112246"
"9","2004","(1a) inadequately completed","3","","",""
"9","2004","(1b) general elementary school","23","","",""
"9","2004","(1c) basic vocational qualification","76","0.0097721589881664","0.00729708529977959","0.0122472326765532"
"9","2004","(2b) intermediate general qualification","22","","",""
"9","2004","(2a) intermediate vocational","77","0.0144508639702873","0.0111449715584622","0.0177567563821123"
"9","2004","(2c_gen) general maturity certificate","19","","",""
"9","2004","(2c_voc) vocational maturity certificate","28","","",""
"9","2004","(3a) lower tertiary education","39","0.017847608782938","0.0115594974116419","0.024135720154234"
"9","2004","(3b) higher tertiary education","50","0.0165533464760486","0.0116424007022837","0.0214642922498135"
"10 Very willing to take risks","2004","(0) in school","11","","",""
"10 Very willing to take risks","2004","(1a) inadequately completed","4","","",""
"10 Very willing to take risks","2004","(1b) general elementary school","25","","",""
"10 Very willing to take risks","2004","(1c) basic vocational qualification","60","0.00867562508813091","0.00634225521974754","0.0110089949565143"
"10 Very willing to take risks","2004","(2b) intermediate general qualification","6","","",""
"10 Very willing to take risks","2004","(2a) intermediate vocational","40","0.00854610398998084","0.0059962047660267","0.011096003213935"
"10 Very willing to take risks","2004","(2c_gen) general maturity certificate","14","","",""
"10 Very willing to take risks","2004","(2c_voc) vocational maturity certificate","8","","",""
"10 Very willing to take risks","2004","(3a) lower tertiary education","11","","",""
"10 Very willing to take risks","2004","(3b) higher tertiary education","23","","",""
"0 Not at all Willing to take risks","2005","(0) in school","","","",""
"0 Not at all Willing to take risks","2005","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2005","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2005","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2005","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2005","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2005","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2005","(2c_voc) vocational maturity certificate","","","",""
"0 Not at all Willing to take risks","2005","(3a) lower tertiary education","","","",""
"0 Not at all Willing to take risks","2005","(3b) higher tertiary education","","","",""
"1","2005","(0) in school","","","",""
"1","2005","(1a) inadequately completed","","","",""
"1","2005","(1b) general elementary school","","","",""
"1","2005","(1c) basic vocational qualification","","","",""
"1","2005","(2b) intermediate general qualification","","","",""
"1","2005","(2a) intermediate vocational","","","",""
"1","2005","(2c_gen) general maturity certificate","","","",""
"1","2005","(2c_voc) vocational maturity certificate","","","",""
"1","2005","(3a) lower tertiary education","","","",""
"1","2005","(3b) higher tertiary education","","","",""
"2","2005","(0) in school","","","",""
"2","2005","(1a) inadequately completed","","","",""
"2","2005","(1b) general elementary school","","","",""
"2","2005","(1c) basic vocational qualification","","","",""
"2","2005","(2b) intermediate general qualification","","","",""
"2","2005","(2a) intermediate vocational","","","",""
"2","2005","(2c_gen) general maturity certificate","","","",""
"2","2005","(2c_voc) vocational maturity certificate","","","",""
"2","2005","(3a) lower tertiary education","","","",""
"2","2005","(3b) higher tertiary education","","","",""
"3","2005","(0) in school","","","",""
"3","2005","(1a) inadequately completed","","","",""
"3","2005","(1b) general elementary school","","","",""
"3","2005","(1c) basic vocational qualification","","","",""
"3","2005","(2b) intermediate general qualification","","","",""
"3","2005","(2a) intermediate vocational","","","",""
"3","2005","(2c_gen) general maturity certificate","","","",""
"3","2005","(2c_voc) vocational maturity certificate","","","",""
"3","2005","(3a) lower tertiary education","","","",""
"3","2005","(3b) higher tertiary education","","","",""
"4","2005","(0) in school","","","",""
"4","2005","(1a) inadequately completed","","","",""
"4","2005","(1b) general elementary school","","","",""
"4","2005","(1c) basic vocational qualification","","","",""
"4","2005","(2b) intermediate general qualification","","","",""
"4","2005","(2a) intermediate vocational","","","",""
"4","2005","(2c_gen) general maturity certificate","","","",""
"4","2005","(2c_voc) vocational maturity certificate","","","",""
"4","2005","(3a) lower tertiary education","","","",""
"4","2005","(3b) higher tertiary education","","","",""
"5","2005","(0) in school","","","",""
"5","2005","(1a) inadequately completed","","","",""
"5","2005","(1b) general elementary school","","","",""
"5","2005","(1c) basic vocational qualification","","","",""
"5","2005","(2b) intermediate general qualification","","","",""
"5","2005","(2a) intermediate vocational","","","",""
"5","2005","(2c_gen) general maturity certificate","","","",""
"5","2005","(2c_voc) vocational maturity certificate","","","",""
"5","2005","(3a) lower tertiary education","","","",""
"5","2005","(3b) higher tertiary education","","","",""
"6","2005","(0) in school","","","",""
"6","2005","(1a) inadequately completed","","","",""
"6","2005","(1b) general elementary school","","","",""
"6","2005","(1c) basic vocational qualification","","","",""
"6","2005","(2b) intermediate general qualification","","","",""
"6","2005","(2a) intermediate vocational","","","",""
"6","2005","(2c_gen) general maturity certificate","","","",""
"6","2005","(2c_voc) vocational maturity certificate","","","",""
"6","2005","(3a) lower tertiary education","","","",""
"6","2005","(3b) higher tertiary education","","","",""
"7","2005","(0) in school","","","",""
"7","2005","(1a) inadequately completed","","","",""
"7","2005","(1b) general elementary school","","","",""
"7","2005","(1c) basic vocational qualification","","","",""
"7","2005","(2b) intermediate general qualification","","","",""
"7","2005","(2a) intermediate vocational","","","",""
"7","2005","(2c_gen) general maturity certificate","","","",""
"7","2005","(2c_voc) vocational maturity certificate","","","",""
"7","2005","(3a) lower tertiary education","","","",""
"7","2005","(3b) higher tertiary education","","","",""
"8","2005","(0) in school","","","",""
"8","2005","(1a) inadequately completed","","","",""
"8","2005","(1b) general elementary school","","","",""
"8","2005","(1c) basic vocational qualification","","","",""
"8","2005","(2b) intermediate general qualification","","","",""
"8","2005","(2a) intermediate vocational","","","",""
"8","2005","(2c_gen) general maturity certificate","","","",""
"8","2005","(2c_voc) vocational maturity certificate","","","",""
"8","2005","(3a) lower tertiary education","","","",""
"8","2005","(3b) higher tertiary education","","","",""
"9","2005","(0) in school","","","",""
"9","2005","(1a) inadequately completed","","","",""
"9","2005","(1b) general elementary school","","","",""
"9","2005","(1c) basic vocational qualification","","","",""
"9","2005","(2b) intermediate general qualification","","","",""
"9","2005","(2a) intermediate vocational","","","",""
"9","2005","(2c_gen) general maturity certificate","","","",""
"9","2005","(2c_voc) vocational maturity certificate","","","",""
"9","2005","(3a) lower tertiary education","","","",""
"9","2005","(3b) higher tertiary education","","","",""
"10 Very willing to take risks","2005","(0) in school","","","",""
"10 Very willing to take risks","2005","(1a) inadequately completed","","","",""
"10 Very willing to take risks","2005","(1b) general elementary school","","","",""
"10 Very willing to take risks","2005","(1c) basic vocational qualification","","","",""
"10 Very willing to take risks","2005","(2b) intermediate general qualification","","","",""
"10 Very willing to take risks","2005","(2a) intermediate vocational","","","",""
"10 Very willing to take risks","2005","(2c_gen) general maturity certificate","","","",""
"10 Very willing to take risks","2005","(2c_voc) vocational maturity certificate","","","",""
"10 Very willing to take risks","2005","(3a) lower tertiary education","","","",""
"10 Very willing to take risks","2005","(3b) higher tertiary education","","","",""
"0 Not at all Willing to take risks","2006","(0) in school","6","","",""
"0 Not at all Willing to take risks","2006","(1a) inadequately completed","37","0.137932104208939","0.0941231355513207","0.181741072866557"
"0 Not at all Willing to take risks","2006","(1b) general elementary school","252","0.144840551902386","0.129175644893483","0.16050545891129"
"0 Not at all Willing to take risks","2006","(1c) basic vocational qualification","414","0.0757934632416132","0.0691803641951332","0.0824065622880931"
"0 Not at all Willing to take risks","2006","(2b) intermediate general qualification","19","","",""
"0 Not at all Willing to take risks","2006","(2a) intermediate vocational","179","0.036272867185386","0.0311709510778637","0.0413747832929083"
"0 Not at all Willing to take risks","2006","(2c_gen) general maturity certificate","12","","",""
"0 Not at all Willing to take risks","2006","(2c_voc) vocational maturity certificate","48","0.0348229161697985","0.025922908960136","0.043722923379461"
"0 Not at all Willing to take risks","2006","(3a) lower tertiary education","30","0.01833190907136","0.0121449762203297","0.0245188419223904"
"0 Not at all Willing to take risks","2006","(3b) higher tertiary education","65","0.0268741759266685","0.0208486412765571","0.0328997105767798"
"1","2006","(0) in school","1","","",""
"1","2006","(1a) inadequately completed","19","","",""
"1","2006","(1b) general elementary school","159","0.0825248697124682","0.0702773327007407","0.0947724067241957"
"1","2006","(1c) basic vocational qualification","325","0.0525925286209695","0.0470150866289881","0.0581699706129509"
"1","2006","(2b) intermediate general qualification","16","","",""
"1","2006","(2a) intermediate vocational","173","0.0353429576920898","0.0303044347305341","0.0403814806536455"
"1","2006","(2c_gen) general maturity certificate","22","","",""
"1","2006","(2c_voc) vocational maturity certificate","42","0.0249980928370992","0.017419118095136","0.0325770675790625"
"1","2006","(3a) lower tertiary education","34","0.0216076929810131","0.0149019032277604","0.0283134827342658"
"1","2006","(3b) higher tertiary education","52","0.0199251905776971","0.0147183489675184","0.0251320321878759"
"2","2006","(0) in school","19","","",""
"2","2006","(1a) inadequately completed","36","0.122484133408725","0.0808329813549466","0.164135285462504"
"2","2006","(1b) general elementary school","250","0.119994396793192","0.10553059743518","0.134458196151204"
"2","2006","(1c) basic vocational qualification","604","0.0988783197901278","0.0914198988291778","0.106336740751078"
"2","2006","(2b) intermediate general qualification","42","0.0726871734858442","0.0515765019326347","0.0937978450390537"
"2","2006","(2a) intermediate vocational","426","0.0835073236209876","0.0759582769734779","0.0910563702684974"
"2","2006","(2c_gen) general maturity certificate","55","0.0721575303580449","0.0545439039800297","0.0897711567360601"
"2","2006","(2c_voc) vocational maturity certificate","142","0.0790263131645731","0.0659295564400064","0.0921230698891398"
"2","2006","(3a) lower tertiary education","116","0.0618145394886597","0.0507079969016644","0.072921082075655"
"2","2006","(3b) higher tertiary education","212","0.0775870571632834","0.0676192220500892","0.0875548922764776"
"3","2006","(0) in school","33","0.0838127092535275","0.0567915187256676","0.110833899781387"
"3","2006","(1a) inadequately completed","29","","",""
"3","2006","(1b) general elementary school","254","0.11564473895445","0.101410458825564","0.129879019083336"
"3","2006","(1c) basic vocational qualification","818","0.134792409958099","0.126259493122873","0.143325326793325"
"3","2006","(2b) intermediate general qualification","49","0.0653893134096065","0.0452877986679343","0.0854908281512788"
"3","2006","(2a) intermediate vocational","609","0.113378871029853","0.104727191393719","0.122030550665987"
"3","2006","(2c_gen) general maturity certificate","84","0.0924050881589317","0.0726915401507854","0.112118636167078"
"3","2006","(2c_voc) vocational maturity certificate","193","0.103293684036324","0.0885190651592283","0.11806830291342"
"3","2006","(3a) lower tertiary education","214","0.124957279341606","0.109706760238101","0.140207798445111"
"3","2006","(3b) higher tertiary education","327","0.113803803041886","0.101971021676916","0.125636584406856"
"4","2006","(0) in school","32","0.0822358600990567","0.0554470409604603","0.109024679237653"
"4","2006","(1a) inadequately completed","19","","",""
"4","2006","(1b) general elementary school","178","0.086709765648647","0.0741841927288288","0.0992353385684652"
"4","2006","(1c) basic vocational qualification","651","0.0999336153356489","0.0924398911530977","0.1074273395182"
"4","2006","(2b) intermediate general qualification","38","0.0678826530814944","0.0474288192285718","0.088336486934417"
"4","2006","(2a) intermediate vocational","524","0.104761114225498","0.0964044134755347","0.11311781497546"
"4","2006","(2c_gen) general maturity certificate","87","0.0992072265489234","0.0788576710728895","0.119556782024957"
"4","2006","(2c_voc) vocational maturity certificate","183","0.126967511990609","0.110804741867085","0.143130282114132"
"4","2006","(3a) lower tertiary education","203","0.124351925908691","0.109133130652761","0.139570721164622"
"4","2006","(3b) higher tertiary education","310","0.118313388890448","0.1062791790098","0.130347598771097"
"5","2006","(0) in school","73","0.177065183498746","0.139842582778451","0.214287784219041"
"5","2006","(1a) inadequately completed","40","0.167595950889312","0.120143519983294","0.21504838179533"
"5","2006","(1b) general elementary school","398","0.221023541674954","0.202554659110236","0.239492424239671"
"5","2006","(1c) basic vocational qualification","1522","0.252851639896379","0.24199136184209","0.263711917950668"
"5","2006","(2b) intermediate general qualification","146","0.231479612795823","0.197183563488421","0.265775662103225"
"5","2006","(2a) intermediate vocational","1339","0.261773408227522","0.249777781774013","0.27376903468103"
"5","2006","(2c_gen) general maturity certificate","162","0.185225496250818","0.158780718316153","0.211670274185483"
"5","2006","(2c_voc) vocational maturity certificate","359","0.210833016940047","0.191031062632693","0.2306349712474"
"5","2006","(3a) lower tertiary education","444","0.234148315894351","0.21461809869791","0.253678533090792"
"5","2006","(3b) higher tertiary education","568","0.194539596313633","0.179790357271203","0.209288835356064"
"6","2006","(0) in school","61","0.140851017430472","0.106929783435195","0.174772251425749"
"6","2006","(1a) inadequately completed","19","","",""
"6","2006","(1b) general elementary school","143","0.0771084369185296","0.0652347532610728","0.0889821205759865"
"6","2006","(1c) basic vocational qualification","619","0.0962233030392741","0.0888548667378019","0.103591739340746"
"6","2006","(2b) intermediate general qualification","72","0.1170265349846","0.0908883140717284","0.143164755897472"
"6","2006","(2a) intermediate vocational","664","0.126309859279104","0.11724496652902","0.135374752029188"
"6","2006","(2c_gen) general maturity certificate","122","0.146184207232156","0.122134868135845","0.170233546328468"
"6","2006","(2c_voc) vocational maturity certificate","228","0.147279590328359","0.130075611418889","0.164483569237828"
"6","2006","(3a) lower tertiary education","241","0.122012149963963","0.106917084147068","0.137107215780858"
"6","2006","(3b) higher tertiary education","399","0.144936400332594","0.131819492821713","0.158053307843474"
"7","2006","(0) in school","77","0.182403277292993","0.144746487155942","0.220060067430043"
"7","2006","(1a) inadequately completed","21","","",""
"7","2006","(1b) general elementary school","137","0.0649543202371893","0.053985002371301","0.0759236381030775"
"7","2006","(1c) basic vocational qualification","597","0.0903756394392799","0.0832115439421968","0.097539734936363"
"7","2006","(2b) intermediate general qualification","100","0.16992166403456","0.139383428473073","0.200459899596047"
"7","2006","(2a) intermediate vocational","620","0.112973154268472","0.10433499243138","0.121611316105563"
"7","2006","(2c_gen) general maturity certificate","165","0.19497527826169","0.168006255558546","0.221944300964834"
"7","2006","(2c_voc) vocational maturity certificate","241","0.146269635698642","0.129114595394556","0.163424676002729"
"7","2006","(3a) lower tertiary education","283","0.155375967996199","0.138668414560719","0.172083521431679"
"7","2006","(3b) higher tertiary education","444","0.166969048703309","0.153072976346355","0.180865121060263"
"8","2006","(0) in school","72","0.180786731860543","0.143260135647637","0.218313328073449"
"8","2006","(1a) inadequately completed","11","","",""
"8","2006","(1b) general elementary school","111","0.055422898792169","0.0452388021595111","0.0656069954248268"
"8","2006","(1c) basic vocational qualification","420","0.0647497601495997","0.0586009989075648","0.0708985213916346"
"8","2006","(2b) intermediate general qualification","64","0.113568288059423","0.087768792968998","0.139367783149847"
"8","2006","(2a) intermediate vocational","459","0.0884985426924503","0.0807483576754685","0.0962487277094321"
"8","2006","(2c_gen) general maturity certificate","87","0.111871766023039","0.0904147704760599","0.133328761570019"
"8","2006","(2c_voc) vocational maturity certificate","134","0.09155372860714","0.0775532806933155","0.105554176520965"
"8","2006","(3a) lower tertiary education","186","0.106386563622268","0.0921663063516062","0.12060682089293"
"8","2006","(3b) higher tertiary education","291","0.108086251126511","0.0965174017217971","0.119655100531226"
"9","2006","(0) in school","19","","",""
"9","2006","(1a) inadequately completed","4","","",""
"9","2006","(1b) general elementary school","26","","",""
"9","2006","(1c) basic vocational qualification","92","0.0151905914211663","0.0121344878428583","0.0182466949994743"
"9","2006","(2b) intermediate general qualification","27","","",""
"9","2006","(2a) intermediate vocational","111","0.0232071469952436","0.0190987023465295","0.0273155916439577"
"9","2006","(2c_gen) general maturity certificate","25","","",""
"9","2006","(2c_voc) vocational maturity certificate","33","0.0137974635393658","0.00813458855684181","0.0194603385218899"
"9","2006","(3a) lower tertiary education","36","0.017952192335909","0.0118284870755989","0.0240758975962192"
"9","2006","(3b) higher tertiary education","70","0.021430956371545","0.0160351044346298","0.0268268083084602"
"10 Very willing to take risks","2006","(0) in school","11","","",""
"10 Very willing to take risks","2006","(1a) inadequately completed","3","","",""
"10 Very willing to take risks","2006","(1b) general elementary school","31","0.0160912908918544","0.0104907234441116","0.0216918583395972"
"10 Very willing to take risks","2006","(1c) basic vocational qualification","91","0.0186187291078421","0.0152412044148311","0.021996253800853"
"10 Very willing to take risks","2006","(2b) intermediate general qualification","8","","",""
"10 Very willing to take risks","2006","(2a) intermediate vocational","55","0.0139747547833948","0.0107715740599056","0.017177935506884"
"10 Very willing to take risks","2006","(2c_gen) general maturity certificate","8","","",""
"10 Very willing to take risks","2006","(2c_voc) vocational maturity certificate","27","","",""
"10 Very willing to take risks","2006","(3a) lower tertiary education","19","","",""
"10 Very willing to take risks","2006","(3b) higher tertiary education","29","","",""
"0 Not at all Willing to take risks","2007","(0) in school","","","",""
"0 Not at all Willing to take risks","2007","(1a) inadequately completed","","","",""
"0 Not at all Willing to take risks","2007","(1b) general elementary school","","","",""
"0 Not at all Willing to take risks","2007","(1c) basic vocational qualification","","","",""
"0 Not at all Willing to take risks","2007","(2b) intermediate general qualification","","","",""
"0 Not at all Willing to take risks","2007","(2a) intermediate vocational","","","",""
"0 Not at all Willing to take risks","2007","(2c_gen) general maturity certificate","","","",""
"0 Not at all Willing to take risks","2007","(2c_voc) vocational maturity certificate","","","",""
"0 Not at all Willing to take risks","2007","(3a) lower tertiary education","","","",""
"0 Not at all Willing to take risks","2007","(3b) higher tertiary education","","","",""
"1","2007","(0) in school","","","",""
"1","2007","(1a) inadequately completed","","","",""
"1","2007","(1b) general elementary school","","","",""
"1","2007","(1c) basic vocational qualification","","","",""
"1","2007","(2b) intermediate general qualification","","","",""
"1","2007","(2a) intermediate vocational","","","",""
"1","2007","(2c_gen) general maturity certificate","","","",""
"1","2007","(2c_voc) vocational maturity certificate","","","",""
"1","2007","(3a) lower tertiary education","","","",""
"1","2007","(3b) higher tertiary education","","","",""
"2","2007","(0) in school","","","",""
"2","2007","(1a) inadequately completed","","","",""
"2","2007","(1b) general elementary school","","","",""
"2","2007","(1c) basic vocational qualification","","","",""
"2","2007","(2b) intermediate general qualification","","","",""
"2","2007","(2a) intermediate vocational","","","",""
"2","2007","(2c_gen) general maturity certificate","","","",""
"2","2007","(2c_voc) vocational maturity certificate","","","",""
"2","2007","(3a) lower tertiary education","","","",""
"2","2007","(3b) higher tertiary education","","","",""
"3","2007","(0) in school","","","",""
"3","2007","(1a) inadequately completed","","","",""
"3","2007","(1b) general elementary school","","","",""
"3","2007","(1c) basic vocational qualification","","","",""
"3","2007","(2b) intermediate general qualification","","","",""
"3","2007","(2a) intermediate vocational","","","",""
"3","2007","(2c_gen) general maturity certificate","","","",""
"3","2007","(2c_voc) vocational maturity certificate","","","",""
"3","2007","(3a) lower tertiary education","","","",""
"3","2007","(3b) higher tertiary education","","","",""
"4","2007","(0) in school","","","",""
"4","2007","(1a) inadequately completed","","","",""
"4","2007","(1b) general elementary school","","","",""
"4","2007","(1c) basic vocational qualification","","","",""
"4","2007","(2b) intermediate general qualification","","","",""
"4","2007","(2a) intermediate vocational","","","",""
"4","2007","(2c_gen) general maturity certificate","","","",""
"4","2007","(2c_voc) vocational maturity certificate","","","",""
"4","2007","(3a) lower tertiary education","","","",""
"4","2007","(3b) higher tertiary education","","","",""
"5","2007","(0) in school","","","",""
"5","2007","(1a) inadequately completed","","","",""
"5","2007","(1b) general elementary school","","","",""
"5","2007","(1c) basic vocational qualification","","","",""
"5","2007","(2b) intermediate general qualification","","","",""
"5","2007","(2a) intermediate vocational","","","",""
"5","2007","(2c_gen) general maturity certificate","","","",""
"5","2007","(2c_voc) vocational maturity certificate","","","",""
"5","2007","(3a) lower tertiary education","","","",""
"5","2007","(3b) higher tertiary education","","","",""
"6","2007","(0) in school","","","",""
"6","2007","(1a) inadequately completed","","","",""
"6","2007","(1b) general elementary school","","","",""
"6","2007","(1c) basic vocational qualification","","","",""
"6","2007","(2b) intermediate general qualification","","","",""
"6","2007","(2a) intermediate vocational","","","",""
"6","2007","(2c_gen) general maturity certificate","","","",""
