"plh0204_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"4","2004","no degree/no degree yet","Female","46","0.0929268780387168","0.0668997669758927","0.118953989101541"
"5","2004","lower secondary degree","Male","882","0.249831733614878","0.23584274417767","0.263820723052086"
"5","2004","lower secondary degree","Female","778","0.20224951640286","0.189594290775682","0.214904742030039"
"5","2004","secondary school degree","Male","636","0.240406113450942","0.224239452908554","0.25657277399333"
"5","2004","secondary school degree","Female","857","0.230563099865794","0.216798636685596","0.244327563045992"
"5","2004","college entrance qualification","Male","534","0.187509201723306","0.173209275582362","0.201809127864251"
"5","2004","college entrance qualification","Female","569","0.241764239627368","0.22500108617309","0.258527393081645"
"5","2004","Other degree","Male","105","0.186755264044419","0.154845922945032","0.218664605143805"
"5","2004","Other degree","Female","104","0.154365070106186","0.125622889132286","0.183107251080087"
"5","2004","no degree/no degree yet","Male","70","0.17851053244118","0.141799814950159","0.2152212499322"
"5","2004","no degree/no degree yet","Female","107","0.214366282385934","0.177576905005789","0.251155659766078"
"6","2004","lower secondary degree","Male","367","0.0946616145939553","0.0852019526131584","0.104121276574752"
"6","2004","lower secondary degree","Female","274","0.0663058844922788","0.0584666987325615","0.0741450702519961"
"6","2004","secondary school degree","Male","358","0.140094558017758","0.126963708728709","0.153225407306808"
"6","2004","secondary school degree","Female","379","0.101989731019691","0.0920997206535886","0.111879741385793"
"6","2004","college entrance qualification","Male","437","0.144450565831313","0.131571171087776","0.15732996057485"
"6","2004","college entrance qualification","Female","299","0.123725681815442","0.110834060870771","0.136617302760113"
"6","2004","Other degree","Male","54","0.118111221654274","0.09168571826925","0.144536725039298"
"6","2004","Other degree","Female","40","0.0536691033036988","0.035740872899954","0.0715973337074437"
"6","2004","no degree/no degree yet","Male","62","0.121984520001267","0.09061098919295","0.153358050809584"
"6","2004","no degree/no degree yet","Female","48","0.0735074186632234","0.0501125451319191","0.0969022921945277"
"7","2004","lower secondary degree","Male","366","0.0939050578369555","0.0844793376641652","0.103330778009746"
"7","2004","lower secondary degree","Female","200","0.0532495454584844","0.046175492249288","0.0603235986676808"
"7","2004","secondary school degree","Male","428","0.15328087929677","0.139651674720858","0.166910083872683"
"7","2004","secondary school degree","Female","365","0.0932740992556603","0.0837703183720089","0.102777880139312"
"7","2004","college entrance qualification","Male","571","0.206988904279253","0.192145741812765","0.221832066745741"
"7","2004","college entrance qualification","Female","295","0.0921370660439139","0.0808134563994394","0.103460675688388"
"7","2004","Other degree","Male","34","0.0486731980340496","0.031054225144226","0.0662921709238732"
"7","2004","Other degree","Female","23","","",""
"7","2004","no degree/no degree yet","Male","69","0.165476354182936","0.129851979866996","0.201100728498877"
"7","2004","no degree/no degree yet","Female","48","0.0835317027494475","0.0587278849188937","0.108335520580001"
"8","2004","lower secondary degree","Male","286","0.0744223720718175","0.0659414831400315","0.0829032610036036"
"8","2004","lower secondary degree","Female","118","0.0340294814693787","0.028317297182584","0.0397416657561734"
"8","2004","secondary school degree","Male","302","0.10722391626502","0.0955188482454382","0.118928984284602"
"8","2004","secondary school degree","Female","183","0.0477762410203973","0.0408059105763627","0.0547465714644319"
"8","2004","college entrance qualification","Male","311","0.105050463121341","0.0938170550447994","0.116283871197883"
"8","2004","college entrance qualification","Female","161","0.0568693643223762","0.0478019664924108","0.0659367621523416"
"8","2004","Other degree","Male","36","0.0550898260775254","0.0364087562740569","0.0737708958809939"
"8","2004","Other degree","Female","17","","",""
"8","2004","no degree/no degree yet","Male","50","0.117708626406431","0.0868149130609078","0.148602339751953"
"8","2004","no degree/no degree yet","Female","33","0.0505125582703309","0.030879930279651","0.0701451862610108"
"9","2004","lower secondary degree","Male","69","0.0138719201374923","0.010092561116637","0.0176512791583476"
"9","2004","lower secondary degree","Female","28","","",""
"9","2004","secondary school degree","Male","70","0.0238723808066025","0.0180973008340818","0.0296474607791231"
"9","2004","secondary school degree","Female","37","0.0108173029721056","0.00743684434978853","0.0141977615944227"
"9","2004","college entrance qualification","Male","83","0.0214883051710183","0.0161758244361665","0.0268007859058701"
"9","2004","college entrance qualification","Female","33","0.0182519958052619","0.013011012800818","0.0234929788097057"
"9","2004","Other degree","Male","10","","",""
"9","2004","Other degree","Female","4","","",""
"9","2004","no degree/no degree yet","Male","19","","",""
"9","2004","no degree/no degree yet","Female","17","","",""
"10 Very willing to take risks","2004","lower secondary degree","Male","46","0.0121347565188104","0.00859683998117754","0.0156726730564432"
"10 Very willing to take risks","2004","lower secondary degree","Female","27","","",""
"10 Very willing to take risks","2004","secondary school degree","Male","32","0.0116239227947694","0.00756889060385892","0.0156789549856799"
"10 Very willing to take risks","2004","secondary school degree","Female","16","","",""
"10 Very willing to take risks","2004","college entrance qualification","Male","31","0.0138111305566864","0.00953542352576931","0.0180868375876036"
"10 Very willing to take risks","2004","college entrance qualification","Female","13","","",""
"10 Very willing to take risks","2004","Other degree","Male","18","","",""
"10 Very willing to take risks","2004","Other degree","Female","4","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","Male","8","","",""
"10 Very willing to take risks","2004","no degree/no degree yet","Female","7","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","Male","","","",""
"0 Not at all Willing to take risks","2005","lower secondary degree","Female","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","Male","","","",""
"0 Not at all Willing to take risks","2005","secondary school degree","Female","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","Male","","","",""
"0 Not at all Willing to take risks","2005","college entrance qualification","Female","","","",""
"0 Not at all Willing to take risks","2005","Other degree","Male","","","",""
"0 Not at all Willing to take risks","2005","Other degree","Female","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","Male","","","",""
"0 Not at all Willing to take risks","2005","no degree/no degree yet","Female","","","",""
"1","2005","lower secondary degree","Male","","","",""
"1","2005","lower secondary degree","Female","","","",""
"1","2005","secondary school degree","Male","","","",""
"1","2005","secondary school degree","Female","","","",""
"1","2005","college entrance qualification","Male","","","",""
"1","2005","college entrance qualification","Female","","","",""
"1","2005","Other degree","Male","","","",""
"1","2005","Other degree","Female","","","",""
"1","2005","no degree/no degree yet","Male","","","",""
"1","2005","no degree/no degree yet","Female","","","",""
"2","2005","lower secondary degree","Male","","","",""
"2","2005","lower secondary degree","Female","","","",""
"2","2005","secondary school degree","Male","","","",""
"2","2005","secondary school degree","Female","","","",""
"2","2005","college entrance qualification","Male","","","",""
"2","2005","college entrance qualification","Female","","","",""
"2","2005","Other degree","Male","","","",""
"2","2005","Other degree","Female","","","",""
"2","2005","no degree/no degree yet","Male","","","",""
"2","2005","no degree/no degree yet","Female","","","",""
"3","2005","lower secondary degree","Male","","","",""
"3","2005","lower secondary degree","Female","","","",""
"3","2005","secondary school degree","Male","","","",""
"3","2005","secondary school degree","Female","","","",""
"3","2005","college entrance qualification","Male","","","",""
"3","2005","college entrance qualification","Female","","","",""
"3","2005","Other degree","Male","","","",""
"3","2005","Other degree","Female","","","",""
"3","2005","no degree/no degree yet","Male","","","",""
"3","2005","no degree/no degree yet","Female","","","",""
"4","2005","lower secondary degree","Male","","","",""
"4","2005","lower secondary degree","Female","","","",""
"4","2005","secondary school degree","Male","","","",""
"4","2005","secondary school degree","Female","","","",""
"4","2005","college entrance qualification","Male","","","",""
"4","2005","college entrance qualification","Female","","","",""
"4","2005","Other degree","Male","","","",""
"4","2005","Other degree","Female","","","",""
"4","2005","no degree/no degree yet","Male","","","",""
"4","2005","no degree/no degree yet","Female","","","",""
"5","2005","lower secondary degree","Male","","","",""
"5","2005","lower secondary degree","Female","","","",""
"5","2005","secondary school degree","Male","","","",""
"5","2005","secondary school degree","Female","","","",""
"5","2005","college entrance qualification","Male","","","",""
"5","2005","college entrance qualification","Female","","","",""
"5","2005","Other degree","Male","","","",""
"5","2005","Other degree","Female","","","",""
"5","2005","no degree/no degree yet","Male","","","",""
"5","2005","no degree/no degree yet","Female","","","",""
"6","2005","lower secondary degree","Male","","","",""
"6","2005","lower secondary degree","Female","","","",""
"6","2005","secondary school degree","Male","","","",""
"6","2005","secondary school degree","Female","","","",""
"6","2005","college entrance qualification","Male","","","",""
"6","2005","college entrance qualification","Female","","","",""
"6","2005","Other degree","Male","","","",""
"6","2005","Other degree","Female","","","",""
"6","2005","no degree/no degree yet","Male","","","",""
"6","2005","no degree/no degree yet","Female","","","",""
"7","2005","lower secondary degree","Male","","","",""
"7","2005","lower secondary degree","Female","","","",""
"7","2005","secondary school degree","Male","","","",""
"7","2005","secondary school degree","Female","","","",""
"7","2005","college entrance qualification","Male","","","",""
"7","2005","college entrance qualification","Female","","","",""
"7","2005","Other degree","Male","","","",""
"7","2005","Other degree","Female","","","",""
"7","2005","no degree/no degree yet","Male","","","",""
"7","2005","no degree/no degree yet","Female","","","",""
"8","2005","lower secondary degree","Male","","","",""
"8","2005","lower secondary degree","Female","","","",""
"8","2005","secondary school degree","Male","","","",""
"8","2005","secondary school degree","Female","","","",""
"8","2005","college entrance qualification","Male","","","",""
"8","2005","college entrance qualification","Female","","","",""
"8","2005","Other degree","Male","","","",""
"8","2005","Other degree","Female","","","",""
"8","2005","no degree/no degree yet","Male","","","",""
"8","2005","no degree/no degree yet","Female","","","",""
"9","2005","lower secondary degree","Male","","","",""
"9","2005","lower secondary degree","Female","","","",""
"9","2005","secondary school degree","Male","","","",""
"9","2005","secondary school degree","Female","","","",""
"9","2005","college entrance qualification","Male","","","",""
"9","2005","college entrance qualification","Female","","","",""
"9","2005","Other degree","Male","","","",""
"9","2005","Other degree","Female","","","",""
"9","2005","no degree/no degree yet","Male","","","",""
"9","2005","no degree/no degree yet","Female","","","",""
"10 Very willing to take risks","2005","lower secondary degree","Male","","","",""
"10 Very willing to take risks","2005","lower secondary degree","Female","","","",""
"10 Very willing to take risks","2005","secondary school degree","Male","","","",""
"10 Very willing to take risks","2005","secondary school degree","Female","","","",""
"10 Very willing to take risks","2005","college entrance qualification","Male","","","",""
"10 Very willing to take risks","2005","college entrance qualification","Female","","","",""
"10 Very willing to take risks","2005","Other degree","Male","","","",""
"10 Very willing to take risks","2005","Other degree","Female","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","Male","","","",""
"10 Very willing to take risks","2005","no degree/no degree yet","Female","","","",""
"0 Not at all Willing to take risks","2006","lower secondary degree","Male","204","0.0616669254747531","0.0539128856670808","0.0694209652824255"
"0 Not at all Willing to take risks","2006","lower secondary degree","Female","363","0.109347205734179","0.0995365308731207","0.119157880595238"
"0 Not at all Willing to take risks","2006","secondary school degree","Male","58","0.0204060352710713","0.015115037798269","0.0256970327438736"
"0 Not at all Willing to take risks","2006","secondary school degree","Female","150","0.048569041330384","0.041657440574651","0.0554806420861169"
"0 Not at all Willing to take risks","2006","college entrance qualification","Male","40","0.0127459480962542","0.0086765368706773","0.0168153593218311"
"0 Not at all Willing to take risks","2006","college entrance qualification","Female","71","0.0345970795432391","0.0276843435615911","0.0415098155248871"
"0 Not at all Willing to take risks","2006","Other degree","Male","51","0.0909061166907689","0.0670963577537653","0.114715875627772"
"0 Not at all Willing to take risks","2006","Other degree","Female","82","0.139034815599354","0.112018109780852","0.166051521417856"
"0 Not at all Willing to take risks","2006","no degree/no degree yet","Male","11","","",""
"0 Not at all Willing to take risks","2006","no degree/no degree yet","Female","32","0.10837185260703","0.0754752411900315","0.141268464024029"
"1","2006","lower secondary degree","Male","123","0.0329456830907278","0.0271919719074589","0.0386993942739967"
"1","2006","lower secondary degree","Female","313","0.083141747361623","0.0744621117350949","0.0918213829881511"
"1","2006","secondary school degree","Male","58","0.0165807590597843","0.0118020923442797","0.0213594257752888"
"1","2006","secondary school degree","Female","149","0.0508270430035702","0.0437650003132753","0.0578890856938652"
"1","2006","college entrance qualification","Male","37","0.0157800258374156","0.0112590624935034","0.0203009891813278"
"1","2006","college entrance qualification","Female","78","0.0307959650346473","0.0242611927011387","0.0373307373681558"
"1","2006","Other degree","Male","17","","",""
"1","2006","Other degree","Female","47","0.0634057050610425","0.0443766274061791","0.0824347827159058"
"1","2006","no degree/no degree yet","Male","7","","",""
"1","2006","no degree/no degree yet","Female","13","","",""
"2","2006","lower secondary degree","Male","304","0.0859405907625237","0.0769059737949858","0.0949752077300616"
"2","2006","lower secondary degree","Female","480","0.117552161854562","0.107427030812233","0.12767729289689"
"2","2006","secondary school degree","Male","160","0.0595599882250734","0.0507031637488093","0.0684168127013376"
"2","2006","secondary school degree","Female","353","0.0962154120574865","0.086734174548195","0.105696649566778"
"2","2006","college entrance qualification","Male","176","0.0668681657299997","0.0578064120772579","0.0759299193827414"
"2","2006","college entrance qualification","Female","251","0.0860667168599659","0.0754582942861302","0.0966751394338015"
"2","2006","Other degree","Male","50","0.0718749275410694","0.0504831910644615","0.0932666640176773"
"2","2006","Other degree","Female","71","0.125137741883042","0.0993007580254935","0.15097472574059"
"2","2006","no degree/no degree yet","Male","22","","",""
"2","2006","no degree/no degree yet","Female","33","0.111478201375528","0.0781716205713073","0.144784782179748"
"3","2006","lower secondary degree","Male","435","0.118540251507706","0.108120495955749","0.128960007059663"
"3","2006","lower secondary degree","Female","556","0.137479231560341","0.126653826657092","0.148304636463591"
"3","2006","secondary school degree","Male","269","0.0939664104250232","0.0830471391657166","0.10488568168433"
"3","2006","secondary school degree","Female","471","0.120406946807193","0.109943448563743","0.130870445050642"
"3","2006","college entrance qualification","Male","302","0.0984034851471206","0.0875980466513162","0.109208923642925"
"3","2006","college entrance qualification","Female","374","0.136221090269571","0.123246327679437","0.149195852859705"
"3","2006","Other degree","Male","59","0.108552325406725","0.0827878341465473","0.134316816666903"
"3","2006","Other degree","Female","82","0.116665931355615","0.0915983557853971","0.141733506925833"
"3","2006","no degree/no degree yet","Male","25","","",""
"3","2006","no degree/no degree yet","Female","37","0.131213615442954","0.0954824661812515","0.166944764704657"
"4","2006","lower secondary degree","Male","368","0.0972099649806647","0.0876606517854424","0.106759278175887"
"4","2006","lower secondary degree","Female","410","0.0975708939165579","0.0882424864102924","0.106899301422823"
"4","2006","secondary school degree","Male","240","0.0991001370672899","0.0879183665447354","0.110281907589844"
"4","2006","secondary school degree","Female","396","0.105121568474032","0.0952601775623588","0.114982959385705"
"4","2006","college entrance qualification","Male","298","0.10534098848311","0.0942042375108149","0.116477739455405"
"4","2006","college entrance qualification","Female","330","0.130015949708778","0.117294696190295","0.142737203227261"
"4","2006","Other degree","Male","63","0.121852061500442","0.0947592321767992","0.148944890824084"
"4","2006","Other degree","Female","62","0.102215403731433","0.0785604520469034","0.125870355415963"
"4","2006","no degree/no degree yet","Male","25","","",""
"4","2006","no degree/no degree yet","Female","28","","",""
"5","2006","lower secondary degree","Male","915","0.255916938284495","0.241850517960347","0.269983358608644"
"5","2006","lower secondary degree","Female","925","0.245256849579972","0.231731422618497","0.258782276541448"
"5","2006","secondary school degree","Male","655","0.242762738647163","0.226717647468515","0.258807829825811"
"5","2006","secondary school degree","Female","1020","0.275893165190923","0.261522329212748","0.290264001169099"
"5","2006","college entrance qualification","Male","538","0.174064907637057","0.160309938669115","0.187819876604999"
"5","2006","college entrance qualification","Female","632","0.218011811438076","0.202394148183714","0.233629474692437"
"5","2006","Other degree","Male","124","0.234400337244855","0.199314320981866","0.269486353507845"
"5","2006","Other degree","Female","126","0.178374505558833","0.14848070307073","0.208268308046937"
"5","2006","no degree/no degree yet","Male","51","0.186844523902703","0.143027963577139","0.230661084228267"
"5","2006","no degree/no degree yet","Female","62","0.156704072214466","0.118233276088772","0.195174868340161"
"6","2006","lower secondary degree","Male","407","0.105343821682602","0.0954479060673082","0.115239737297896"
"6","2006","lower secondary degree","Female","330","0.0827643628495763","0.074102666221589","0.0914260594775637"
"6","2006","secondary school degree","Male","407","0.144399324319839","0.13124546092916","0.157553187710518"
"6","2006","secondary school degree","Female","438","0.110658382786181","0.100571970741607","0.120744794830755"
"6","2006","college entrance qualification","Male","440","0.15213657764881","0.139107585731861","0.16516556956576"
"6","2006","college entrance qualification","Female","346","0.134999891210166","0.122074290485932","0.147925491934399"
"6","2006","Other degree","Male","64","0.109808881687657","0.0839139696393838","0.13570379373593"
"6","2006","Other degree","Female","54","0.0806625535809129","0.0593982445751606","0.101926862586665"
"6","2006","no degree/no degree yet","Male","35","0.119499806621894","0.0830361995199657","0.155963413723822"
"6","2006","no degree/no degree yet","Female","45","0.109358230960097","0.0763305334445883","0.142385928475606"
"7","2006","lower secondary degree","Male","453","0.113501402536671","0.103276409846075","0.123726395227267"
"7","2006","lower secondary degree","Female","265","0.0636081537971051","0.0559358458210114","0.0712804617731989"
"7","2006","secondary school degree","Male","414","0.14449489488603","0.131337414185524","0.157652375586537"
"7","2006","secondary school degree","Female","406","0.098666668610613","0.0890784442761338","0.108254892945092"
"7","2006","college entrance qualification","Male","591","0.204417148517426","0.189787549820291","0.219046747214562"
"7","2006","college entrance qualification","Female","344","0.130058027897798","0.117335023696584","0.142781032099011"
"7","2006","Other degree","Male","45","0.0756298735398968","0.0537309021885419","0.0975288448912517"
"7","2006","Other degree","Female","63","0.109742460259088","0.0853349774202334","0.134149943097943"
"7","2006","no degree/no degree yet","Male","53","0.165360471077259","0.123598919642678","0.207122022511841"
"7","2006","no degree/no degree yet","Female","47","0.11935187759771","0.0850421819533157","0.153661573242105"
"8","2006","lower secondary degree","Male","339","0.0889797928627027","0.0798021095875076","0.0981574761378978"
"8","2006","lower secondary degree","Female","174","0.0413610152907367","0.0351011648202321","0.0476208657612412"
"8","2006","secondary school degree","Male","349","0.123333683045094","0.111028354945651","0.135639011144536"
"8","2006","secondary school degree","Female","244","0.0676321216389865","0.0595582768628763","0.0757059664150966"
"8","2006","college entrance qualification","Male","379","0.133451360093831","0.121114943746126","0.145787776441536"
"8","2006","college entrance qualification","Female","183","0.0687575346045408","0.0591863106122498","0.0783287585968318"
"8","2006","Other degree","Male","49","0.0825589173771184","0.0597646748897687","0.105353159864468"
"8","2006","Other degree","Female","30","0.0598355918987132","0.0413148015758471","0.0783563822215793"
"8","2006","no degree/no degree yet","Male","56","0.150254708589535","0.110087677921827","0.190421739257242"
"8","2006","no degree/no degree yet","Female","27","","",""
"9","2006","lower secondary degree","Male","80","0.0184306922135523","0.0140950376405033","0.0227663467866014"
"9","2006","lower secondary degree","Female","35","0.00982699620026119","0.00672596057502377","0.0129280318254986"
"9","2006","secondary school degree","Male","90","0.036181850206895","0.0291934442855272","0.0431702561282628"
"9","2006","secondary school degree","Female","60","0.0165361622010777","0.0124359456171883","0.0206363787849671"
"9","2006","college entrance qualification","Male","86","0.0231773058574603","0.0177188426171871","0.0286357690977335"
"9","2006","college entrance qualification","Female","49","0.0196226361558135","0.0143763586500427","0.0248689136615842"
"9","2006","Other degree","Male","15","","",""
"9","2006","Other degree","Female","5","","",""
"9","2006","no degree/no degree yet","Male","12","","",""
"9","2006","no degree/no degree yet","Female","11","","",""
"10 Very willing to take risks","2006","lower secondary degree","Male","69","0.0215239366036008","0.0168459462621481","0.0262019269450536"
"10 Very willing to take risks","2006","lower secondary degree","Female","36","0.0120913818550848","0.00865550827393464","0.015527255436235"
"10 Very willing to take risks","2006","secondary school degree","Male","43","0.0192141788467371","0.0140768993901146","0.0243514583033597"
"10 Very willing to take risks","2006","secondary school degree","Female","29","","",""
"10 Very willing to take risks","2006","college entrance qualification","Male","32","0.0136140869515151","0.00941022221032473","0.0178179516927054"
"10 Very willing to take risks","2006","college entrance qualification","Female","27","","",""
"10 Very willing to take risks","2006","Other degree","Male","23","","",""
"10 Very willing to take risks","2006","Other degree","Female","8","","",""
"10 Very willing to take risks","2006","no degree/no degree yet","Male","7","","",""
"10 Very willing to take risks","2006","no degree/no degree yet","Female","8","","",""
"0 Not at all Willing to take risks","2007","lower secondary degree","Male","","","",""
"0 Not at all Willing to take risks","2007","lower secondary degree","Female","","","",""
"0 Not at all Willing to take risks","2007","secondary school degree","Male","","","",""
"0 Not at all Willing to take risks","2007","secondary school degree","Female","","","",""
"0 Not at all Willing to take risks","2007","college entrance qualification","Male","","","",""
"0 Not at all Willing to take risks","2007","college entrance qualification","Female","","","",""
"0 Not at all Willing to take risks","2007","Other degree","Male","","","",""
"0 Not at all Willing to take risks","2007","Other degree","Female","","","",""
"0 Not at all Willing to take risks","2007","no degree/no degree yet","Male","","","",""
"0 Not at all Willing to take risks","2007","no degree/no degree yet","Female","","","",""
"1","2007","lower secondary degree","Male","","","",""
"1","2007","lower secondary degree","Female","","","",""
"1","2007","secondary school degree","Male","","","",""
"1","2007","secondary school degree","Female","","","",""
"1","2007","college entrance qualification","Male","","","",""
"1","2007","college entrance qualification","Female","","","",""
"1","2007","Other degree","Male","","","",""
"1","2007","Other degree","Female","","","",""
"1","2007","no degree/no degree yet","Male","","","",""
"1","2007","no degree/no degree yet","Female","","","",""
"2","2007","lower secondary degree","Male","","","",""
"2","2007","lower secondary degree","Female","","","",""
"2","2007","secondary school degree","Male","","","",""
"2","2007","secondary school degree","Female","","","",""
"2","2007","college entrance qualification","Male","","","",""
"2","2007","college entrance qualification","Female","","","",""
"2","2007","Other degree","Male","","","",""
"2","2007","Other degree","Female","","","",""
"2","2007","no degree/no degree yet","Male","","","",""
"2","2007","no degree/no degree yet","Female","","","",""
"3","2007","lower secondary degree","Male","","","",""
"3","2007","lower secondary degree","Female","","","",""
"3","2007","secondary school degree","Male","","","",""
"3","2007","secondary school degree","Female","","","",""
"3","2007","college entrance qualification","Male","","","",""
"3","2007","college entrance qualification","Female","","","",""
"3","2007","Other degree","Male","","","",""
"3","2007","Other degree","Female","","","",""
"3","2007","no degree/no degree yet","Male","","","",""
"3","2007","no degree/no degree yet","Female","","","",""
"4","2007","lower secondary degree","Male","","","",""
"4","2007","lower secondary degree","Female","","","",""
"4","2007","secondary school degree","Male","","","",""
"4","2007","secondary school degree","Female","","","",""
"4","2007","college entrance qualification","Male","","","",""
"4","2007","college entrance qualification","Female","","","",""
"4","2007","Other degree","Male","","","",""
"4","2007","Other degree","Female","","","",""
"4","2007","no degree/no degree yet","Male","","","",""
"4","2007","no degree/no degree yet","Female","","","",""
"5","2007","lower secondary degree","Male","","","",""
"5","2007","lower secondary degree","Female","","","",""
"5","2007","secondary school degree","Male","","","",""
"5","2007","secondary school degree","Female","","","",""
"5","2007","college entrance qualification","Male","","","",""
"5","2007","college entrance qualification","Female","","","",""
"5","2007","Other degree","Male","","","",""
"5","2007","Other degree","Female","","","",""
"5","2007","no degree/no degree yet","Male","","","",""
"5","2007","no degree/no degree yet","Female","","","",""
"6","2007","lower secondary degree","Male","","","",""
"6","2007","lower secondary degree","Female","","","",""
"6","2007","secondary school degree","Male","","","",""
"6","2007","secondary school degree","Female","","","",""
"6","2007","college entrance qualification","Male","","","",""
"6","2007","college entrance qualification","Female","","","",""
"6","2007","Other degree","Male","","","",""
"6","2007","Other degree","Female","","","",""
"6","2007","no degree/no degree yet","Male","","","",""
"6","2007","no degree/no degree yet","Female","","","",""
"7","2007","lower secondary degree","Male","","","",""
"7","2007","lower secondary degree","Female","","","",""
"7","2007","secondary school degree","Male","","","",""
"7","2007","secondary school degree","Female","","","",""
"7","2007","college entrance qualification","Male","","","",""
"7","2007","college entrance qualification","Female","","","",""
"7","2007","Other degree","Male","","","",""
"7","2007","Other degree","Female","","","",""
"7","2007","no degree/no degree yet","Male","","","",""
