"plh0204_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","higher vocational","38","0.0824341874988564","0.0583276196967166","0.106540755300996"
"0 Not at all Willing to take risks","2004","(1c) basic vocational qualification","higher education","","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","in school","","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","inadequately","","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","general elemantary","29","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","middle vocational","","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","higher vocational","","","",""
"0 Not at all Willing to take risks","2004","(2b) intermediate general qualification","higher education","","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","in school","","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","inadequately","","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","middle vocational","219","0.0613020550597599","0.0541120417684741","0.0684920683510456"
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","higher vocational","22","","",""
"0 Not at all Willing to take risks","2004","(2a) intermediate vocational","higher education","","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","in school","","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","inadequately","","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","middle vocational","25","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","higher vocational","","","",""
"0 Not at all Willing to take risks","2004","(2c_gen) general maturity certificate","higher education","","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","in school","","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","inadequately","","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","vocational + Abi","69","0.0699492226426387","0.0552523074601949","0.0846461378250825"
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","higher vocational","18","","",""
"0 Not at all Willing to take risks","2004","(2c_voc) vocational maturity certificate","higher education","","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","in school","","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","inadequately","","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","middle vocational","","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","higher vocational","","","",""
"0 Not at all Willing to take risks","2004","(3a) lower tertiary education","higher education","50","0.0357249382012551","0.0269098435937125","0.0445400328087978"
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","in school","","","",""
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","inadequately","","","",""
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","general elemantary","","","",""
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","middle vocational","","","",""
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","vocational + Abi","","","",""
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","higher vocational","","","",""
"0 Not at all Willing to take risks","2004","(3b) higher tertiary education","higher education","68","0.0356613561082062","0.0285236190536654","0.042799093162747"
"1","2004","(0) in school","in school","10","","",""
"1","2004","(0) in school","inadequately","","","",""
"1","2004","(0) in school","general elemantary","","","",""
"1","2004","(0) in school","middle vocational","","","",""
"1","2004","(0) in school","vocational + Abi","","","",""
"1","2004","(0) in school","higher vocational","","","",""
"1","2004","(0) in school","higher education","","","",""
"1","2004","(1a) inadequately completed","in school","","","",""
"1","2004","(1a) inadequately completed","inadequately","22","","",""
"1","2004","(1a) inadequately completed","general elemantary","","","",""
"1","2004","(1a) inadequately completed","middle vocational","1","","",""
"1","2004","(1a) inadequately completed","vocational + Abi","","","",""
"1","2004","(1a) inadequately completed","higher vocational","","","",""
"1","2004","(1a) inadequately completed","higher education","","","",""
"1","2004","(1b) general elementary school","in school","","","",""
"1","2004","(1b) general elementary school","inadequately","1","","",""
"1","2004","(1b) general elementary school","general elemantary","193","0.0992303882172631","0.0860282526997179","0.112432523734808"
"1","2004","(1b) general elementary school","middle vocational","","","",""
"1","2004","(1b) general elementary school","vocational + Abi","","","",""
"1","2004","(1b) general elementary school","higher vocational","","","",""
"1","2004","(1b) general elementary school","higher education","","","",""
"1","2004","(1c) basic vocational qualification","in school","","","",""
"1","2004","(1c) basic vocational qualification","inadequately","","","",""
"1","2004","(1c) basic vocational qualification","general elemantary","","","",""
"1","2004","(1c) basic vocational qualification","middle vocational","363","0.0699874430688565","0.0632862373951185","0.0766886487425946"
"1","2004","(1c) basic vocational qualification","vocational + Abi","","","",""
"1","2004","(1c) basic vocational qualification","higher vocational","28","","",""
"1","2004","(1c) basic vocational qualification","higher education","","","",""
"1","2004","(2b) intermediate general qualification","in school","","","",""
"1","2004","(2b) intermediate general qualification","inadequately","","","",""
"1","2004","(2b) intermediate general qualification","general elemantary","24","","",""
"1","2004","(2b) intermediate general qualification","middle vocational","","","",""
"1","2004","(2b) intermediate general qualification","vocational + Abi","","","",""
"1","2004","(2b) intermediate general qualification","higher vocational","","","",""
"1","2004","(2b) intermediate general qualification","higher education","","","",""
"1","2004","(2a) intermediate vocational","in school","","","",""
"1","2004","(2a) intermediate vocational","inadequately","","","",""
"1","2004","(2a) intermediate vocational","general elemantary","","","",""
"1","2004","(2a) intermediate vocational","middle vocational","162","0.0432787468876433","0.0371797376327975","0.0493777561424891"
"1","2004","(2a) intermediate vocational","vocational + Abi","","","",""
"1","2004","(2a) intermediate vocational","higher vocational","21","","",""
"1","2004","(2a) intermediate vocational","higher education","","","",""
"1","2004","(2c_gen) general maturity certificate","in school","","","",""
"1","2004","(2c_gen) general maturity certificate","inadequately","","","",""
"1","2004","(2c_gen) general maturity certificate","general elemantary","","","",""
"1","2004","(2c_gen) general maturity certificate","middle vocational","16","","",""
"1","2004","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"1","2004","(2c_gen) general maturity certificate","higher vocational","","","",""
"1","2004","(2c_gen) general maturity certificate","higher education","","","",""
"1","2004","(2c_voc) vocational maturity certificate","in school","","","",""
"1","2004","(2c_voc) vocational maturity certificate","inadequately","","","",""
"1","2004","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"1","2004","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"1","2004","(2c_voc) vocational maturity certificate","vocational + Abi","44","0.0338123767844188","0.0233975992784225","0.0442271542904151"
"1","2004","(2c_voc) vocational maturity certificate","higher vocational","15","","",""
"1","2004","(2c_voc) vocational maturity certificate","higher education","","","",""
"1","2004","(3a) lower tertiary education","in school","","","",""
"1","2004","(3a) lower tertiary education","inadequately","","","",""
"1","2004","(3a) lower tertiary education","general elemantary","","","",""
"1","2004","(3a) lower tertiary education","middle vocational","","","",""
"1","2004","(3a) lower tertiary education","vocational + Abi","","","",""
"1","2004","(3a) lower tertiary education","higher vocational","","","",""
"1","2004","(3a) lower tertiary education","higher education","60","0.038072851315386","0.0289837789859284","0.0471619236448436"
"1","2004","(3b) higher tertiary education","in school","","","",""
"1","2004","(3b) higher tertiary education","inadequately","","","",""
"1","2004","(3b) higher tertiary education","general elemantary","","","",""
"1","2004","(3b) higher tertiary education","middle vocational","","","",""
"1","2004","(3b) higher tertiary education","vocational + Abi","","","",""
"1","2004","(3b) higher tertiary education","higher vocational","","","",""
"1","2004","(3b) higher tertiary education","higher education","66","0.0322437879232319","0.0254446657586119","0.0390429100878518"
"2","2004","(0) in school","in school","28","","",""
"2","2004","(0) in school","inadequately","","","",""
"2","2004","(0) in school","general elemantary","","","",""
"2","2004","(0) in school","middle vocational","","","",""
"2","2004","(0) in school","vocational + Abi","","","",""
"2","2004","(0) in school","higher vocational","","","",""
"2","2004","(0) in school","higher education","","","",""
"2","2004","(1a) inadequately completed","in school","","","",""
"2","2004","(1a) inadequately completed","inadequately","30","0.142431653221832","0.0950497417567902","0.189813564686874"
"2","2004","(1a) inadequately completed","general elemantary","","","",""
"2","2004","(1a) inadequately completed","middle vocational","5","","",""
"2","2004","(1a) inadequately completed","vocational + Abi","","","",""
"2","2004","(1a) inadequately completed","higher vocational","","","",""
"2","2004","(1a) inadequately completed","higher education","","","",""
"2","2004","(1b) general elementary school","in school","","","",""
"2","2004","(1b) general elementary school","inadequately","2","","",""
"2","2004","(1b) general elementary school","general elemantary","277","0.143369555610286","0.127894215590074","0.158844895630498"
"2","2004","(1b) general elementary school","middle vocational","","","",""
"2","2004","(1b) general elementary school","vocational + Abi","","","",""
"2","2004","(1b) general elementary school","higher vocational","","","",""
"2","2004","(1b) general elementary school","higher education","","","",""
"2","2004","(1c) basic vocational qualification","in school","","","",""
"2","2004","(1c) basic vocational qualification","inadequately","","","",""
"2","2004","(1c) basic vocational qualification","general elemantary","","","",""
"2","2004","(1c) basic vocational qualification","middle vocational","640","0.112795419981394","0.104486279566882","0.121104560395906"
"2","2004","(1c) basic vocational qualification","vocational + Abi","","","",""
"2","2004","(1c) basic vocational qualification","higher vocational","61","0.129279168905066","0.0998710780179649","0.158687259792168"
"2","2004","(1c) basic vocational qualification","higher education","","","",""
"2","2004","(2b) intermediate general qualification","in school","","","",""
"2","2004","(2b) intermediate general qualification","inadequately","","","",""
"2","2004","(2b) intermediate general qualification","general elemantary","44","0.0828963778025866","0.0609977740022992","0.104794981602874"
"2","2004","(2b) intermediate general qualification","middle vocational","","","",""
"2","2004","(2b) intermediate general qualification","vocational + Abi","","","",""
"2","2004","(2b) intermediate general qualification","higher vocational","","","",""
"2","2004","(2b) intermediate general qualification","higher education","","","",""
"2","2004","(2a) intermediate vocational","in school","","","",""
"2","2004","(2a) intermediate vocational","inadequately","","","",""
"2","2004","(2a) intermediate vocational","general elemantary","","","",""
"2","2004","(2a) intermediate vocational","middle vocational","400","0.0939667967391949","0.0852212188774112","0.102712374600979"
"2","2004","(2a) intermediate vocational","vocational + Abi","","","",""
"2","2004","(2a) intermediate vocational","higher vocational","82","0.105494147018847","0.0832101836054936","0.127778110432199"
"2","2004","(2a) intermediate vocational","higher education","","","",""
"2","2004","(2c_gen) general maturity certificate","in school","","","",""
"2","2004","(2c_gen) general maturity certificate","inadequately","","","",""
"2","2004","(2c_gen) general maturity certificate","general elemantary","","","",""
"2","2004","(2c_gen) general maturity certificate","middle vocational","59","0.0569450667443464","0.0413386595308874","0.0725514739578055"
"2","2004","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"2","2004","(2c_gen) general maturity certificate","higher vocational","","","",""
"2","2004","(2c_gen) general maturity certificate","higher education","","","",""
"2","2004","(2c_voc) vocational maturity certificate","in school","","","",""
"2","2004","(2c_voc) vocational maturity certificate","inadequately","","","",""
"2","2004","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"2","2004","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"2","2004","(2c_voc) vocational maturity certificate","vocational + Abi","93","0.0903920061724265","0.0738695899525418","0.106914422392311"
"2","2004","(2c_voc) vocational maturity certificate","higher vocational","28","","",""
"2","2004","(2c_voc) vocational maturity certificate","higher education","","","",""
"2","2004","(3a) lower tertiary education","in school","","","",""
"2","2004","(3a) lower tertiary education","inadequately","","","",""
"2","2004","(3a) lower tertiary education","general elemantary","","","",""
"2","2004","(3a) lower tertiary education","middle vocational","","","",""
"2","2004","(3a) lower tertiary education","vocational + Abi","","","",""
"2","2004","(3a) lower tertiary education","higher vocational","","","",""
"2","2004","(3a) lower tertiary education","higher education","137","0.0811984561820922","0.0682259014638755","0.094171010900309"
"2","2004","(3b) higher tertiary education","in school","","","",""
"2","2004","(3b) higher tertiary education","inadequately","","","",""
"2","2004","(3b) higher tertiary education","general elemantary","","","",""
"2","2004","(3b) higher tertiary education","middle vocational","","","",""
"2","2004","(3b) higher tertiary education","vocational + Abi","","","",""
"2","2004","(3b) higher tertiary education","higher vocational","","","",""
"2","2004","(3b) higher tertiary education","higher education","237","0.0945793181508172","0.0833159020795644","0.10584273422207"
"3","2004","(0) in school","in school","59","0.0894324119830048","0.0671666800048573","0.111698143961152"
"3","2004","(0) in school","inadequately","","","",""
"3","2004","(0) in school","general elemantary","","","",""
"3","2004","(0) in school","middle vocational","1","","",""
"3","2004","(0) in school","vocational + Abi","","","",""
"3","2004","(0) in school","higher vocational","","","",""
"3","2004","(0) in school","higher education","","","",""
"3","2004","(1a) inadequately completed","in school","","","",""
"3","2004","(1a) inadequately completed","inadequately","18","","",""
"3","2004","(1a) inadequately completed","general elemantary","","","",""
"3","2004","(1a) inadequately completed","middle vocational","9","","",""
"3","2004","(1a) inadequately completed","vocational + Abi","","","",""
"3","2004","(1a) inadequately completed","higher vocational","3","","",""
"3","2004","(1a) inadequately completed","higher education","","","",""
"3","2004","(1b) general elementary school","in school","","","",""
"3","2004","(1b) general elementary school","inadequately","2","","",""
"3","2004","(1b) general elementary school","general elemantary","253","0.122445231063862","0.107970082464092","0.136920379663633"
"3","2004","(1b) general elementary school","middle vocational","","","",""
"3","2004","(1b) general elementary school","vocational + Abi","","","",""
"3","2004","(1b) general elementary school","higher vocational","","","",""
"3","2004","(1b) general elementary school","higher education","","","",""
"3","2004","(1c) basic vocational qualification","in school","","","",""
"3","2004","(1c) basic vocational qualification","inadequately","","","",""
"3","2004","(1c) basic vocational qualification","general elemantary","","","",""
"3","2004","(1c) basic vocational qualification","middle vocational","727","0.123668505012045","0.115021569037861","0.132315440986229"
"3","2004","(1c) basic vocational qualification","vocational + Abi","","","",""
"3","2004","(1c) basic vocational qualification","higher vocational","61","0.113744307050424","0.0859146764033572","0.141573937697492"
"3","2004","(1c) basic vocational qualification","higher education","","","",""
"3","2004","(2b) intermediate general qualification","in school","","","",""
"3","2004","(2b) intermediate general qualification","inadequately","","","",""
"3","2004","(2b) intermediate general qualification","general elemantary","69","0.120363618064129","0.0945208723984016","0.146206363729857"
"3","2004","(2b) intermediate general qualification","middle vocational","","","",""
"3","2004","(2b) intermediate general qualification","vocational + Abi","","","",""
"3","2004","(2b) intermediate general qualification","higher vocational","","","",""
"3","2004","(2b) intermediate general qualification","higher education","","","",""
"3","2004","(2a) intermediate vocational","in school","","","",""
"3","2004","(2a) intermediate vocational","inadequately","","","",""
"3","2004","(2a) intermediate vocational","general elemantary","","","",""
"3","2004","(2a) intermediate vocational","middle vocational","553","0.129720444079772","0.119649670152636","0.139791218006907"
"3","2004","(2a) intermediate vocational","vocational + Abi","","","",""
"3","2004","(2a) intermediate vocational","higher vocational","96","0.117943818220025","0.094546160872655","0.141341475567395"
"3","2004","(2a) intermediate vocational","higher education","","","",""
"3","2004","(2c_gen) general maturity certificate","in school","","","",""
"3","2004","(2c_gen) general maturity certificate","inadequately","","","",""
"3","2004","(2c_gen) general maturity certificate","general elemantary","","","",""
"3","2004","(2c_gen) general maturity certificate","middle vocational","77","0.111526331344919","0.090327233728343","0.132725428961494"
"3","2004","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"3","2004","(2c_gen) general maturity certificate","higher vocational","","","",""
"3","2004","(2c_gen) general maturity certificate","higher education","","","",""
"3","2004","(2c_voc) vocational maturity certificate","in school","","","",""
"3","2004","(2c_voc) vocational maturity certificate","inadequately","","","",""
"3","2004","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"3","2004","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"3","2004","(2c_voc) vocational maturity certificate","vocational + Abi","165","0.132383997284976","0.112855764942738","0.151912229627215"
"3","2004","(2c_voc) vocational maturity certificate","higher vocational","56","0.108804739883344","0.0784024770343742","0.139207002732313"
"3","2004","(2c_voc) vocational maturity certificate","higher education","","","",""
"3","2004","(3a) lower tertiary education","in school","","","",""
"3","2004","(3a) lower tertiary education","inadequately","","","",""
"3","2004","(3a) lower tertiary education","general elemantary","","","",""
"3","2004","(3a) lower tertiary education","middle vocational","","","",""
"3","2004","(3a) lower tertiary education","vocational + Abi","","","",""
"3","2004","(3a) lower tertiary education","higher vocational","","","",""
"3","2004","(3a) lower tertiary education","higher education","206","0.133104247729148","0.116971060937671","0.149237434520625"
"3","2004","(3b) higher tertiary education","in school","","","",""
"3","2004","(3b) higher tertiary education","inadequately","","","",""
"3","2004","(3b) higher tertiary education","general elemantary","","","",""
"3","2004","(3b) higher tertiary education","middle vocational","","","",""
"3","2004","(3b) higher tertiary education","vocational + Abi","","","",""
"3","2004","(3b) higher tertiary education","higher vocational","","","",""
"3","2004","(3b) higher tertiary education","higher education","361","0.137483243065638","0.124228983013509","0.150737503117767"
"4","2004","(0) in school","in school","59","0.0885068779268827","0.0663454050863642","0.110668350767401"
"4","2004","(0) in school","inadequately","","","",""
"4","2004","(0) in school","general elemantary","","","",""
"4","2004","(0) in school","middle vocational","","","",""
"4","2004","(0) in school","vocational + Abi","","","",""
"4","2004","(0) in school","higher vocational","","","",""
"4","2004","(0) in school","higher education","","","",""
"4","2004","(1a) inadequately completed","in school","","","",""
"4","2004","(1a) inadequately completed","inadequately","11","","",""
"4","2004","(1a) inadequately completed","general elemantary","","","",""
"4","2004","(1a) inadequately completed","middle vocational","3","","",""
"4","2004","(1a) inadequately completed","vocational + Abi","","","",""
"4","2004","(1a) inadequately completed","higher vocational","","","",""
"4","2004","(1a) inadequately completed","higher education","","","",""
"4","2004","(1b) general elementary school","in school","","","",""
"4","2004","(1b) general elementary school","inadequately","5","","",""
"4","2004","(1b) general elementary school","general elemantary","177","0.09460540497995","0.0816815552024143","0.107529254757486"
"4","2004","(1b) general elementary school","middle vocational","","","",""
"4","2004","(1b) general elementary school","vocational + Abi","","","",""
"4","2004","(1b) general elementary school","higher vocational","","","",""
"4","2004","(1b) general elementary school","higher education","","","",""
"4","2004","(1c) basic vocational qualification","in school","","","",""
"4","2004","(1c) basic vocational qualification","inadequately","","","",""
"4","2004","(1c) basic vocational qualification","general elemantary","","","",""
"4","2004","(1c) basic vocational qualification","middle vocational","593","0.0977699251810559","0.0899687546956998","0.105571095666412"
"4","2004","(1c) basic vocational qualification","vocational + Abi","","","",""
"4","2004","(1c) basic vocational qualification","higher vocational","55","0.107122366310111","0.0800142625233433","0.134230470096879"
"4","2004","(1c) basic vocational qualification","higher education","","","",""
"4","2004","(2b) intermediate general qualification","in school","","","",""
"4","2004","(2b) intermediate general qualification","inadequately","","","",""
"4","2004","(2b) intermediate general qualification","general elemantary","54","0.073047482533058","0.052380797750933","0.0937141673151829"
"4","2004","(2b) intermediate general qualification","middle vocational","","","",""
"4","2004","(2b) intermediate general qualification","vocational + Abi","","","",""
"4","2004","(2b) intermediate general qualification","higher vocational","","","",""
"4","2004","(2b) intermediate general qualification","higher education","","","",""
"4","2004","(2a) intermediate vocational","in school","","","",""
"4","2004","(2a) intermediate vocational","inadequately","","","",""
"4","2004","(2a) intermediate vocational","general elemantary","","","",""
"4","2004","(2a) intermediate vocational","middle vocational","481","0.110988709711533","0.101573667265965","0.120403752157102"
"4","2004","(2a) intermediate vocational","vocational + Abi","","","",""
"4","2004","(2a) intermediate vocational","higher vocational","86","0.0973670409123499","0.0758616054757697","0.11887247634893"
"4","2004","(2a) intermediate vocational","higher education","","","",""
"4","2004","(2c_gen) general maturity certificate","in school","","","",""
"4","2004","(2c_gen) general maturity certificate","inadequately","","","",""
"4","2004","(2c_gen) general maturity certificate","general elemantary","","","",""
"4","2004","(2c_gen) general maturity certificate","middle vocational","88","0.105506245824412","0.0848175017598042","0.12619498988902"
"4","2004","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"4","2004","(2c_gen) general maturity certificate","higher vocational","","","",""
"4","2004","(2c_gen) general maturity certificate","higher education","","","",""
"4","2004","(2c_voc) vocational maturity certificate","in school","","","",""
"4","2004","(2c_voc) vocational maturity certificate","inadequately","","","",""
"4","2004","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"4","2004","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"4","2004","(2c_voc) vocational maturity certificate","vocational + Abi","126","0.102629737453549","0.0851431985959311","0.120116276311167"
"4","2004","(2c_voc) vocational maturity certificate","higher vocational","39","0.0810000065665512","0.0543623601953102","0.107637652937792"
"4","2004","(2c_voc) vocational maturity certificate","higher education","","","",""
"4","2004","(3a) lower tertiary education","in school","","","",""
"4","2004","(3a) lower tertiary education","inadequately","","","",""
"4","2004","(3a) lower tertiary education","general elemantary","","","",""
"4","2004","(3a) lower tertiary education","middle vocational","","","",""
"4","2004","(3a) lower tertiary education","vocational + Abi","","","",""
"4","2004","(3a) lower tertiary education","higher vocational","","","",""
"4","2004","(3a) lower tertiary education","higher education","211","0.126805494971412","0.111001557567289","0.142609432375534"
"4","2004","(3b) higher tertiary education","in school","","","",""
"4","2004","(3b) higher tertiary education","inadequately","","","",""
"4","2004","(3b) higher tertiary education","general elemantary","","","",""
"4","2004","(3b) higher tertiary education","middle vocational","","","",""
"4","2004","(3b) higher tertiary education","vocational + Abi","","","",""
"4","2004","(3b) higher tertiary education","higher vocational","","","",""
"4","2004","(3b) higher tertiary education","higher education","301","0.115394885408163","0.103097441911764","0.127692328904562"
"5","2004","(0) in school","in school","142","0.237831506858246","0.204611967878975","0.271051045837517"
"5","2004","(0) in school","inadequately","","","",""
"5","2004","(0) in school","general elemantary","","","",""
"5","2004","(0) in school","middle vocational","","","",""
"5","2004","(0) in school","vocational + Abi","","","",""
"5","2004","(0) in school","higher vocational","","","",""
"5","2004","(0) in school","higher education","","","",""
"5","2004","(1a) inadequately completed","in school","","","",""
"5","2004","(1a) inadequately completed","inadequately","26","","",""
"5","2004","(1a) inadequately completed","general elemantary","","","",""
"5","2004","(1a) inadequately completed","middle vocational","7","","",""
"5","2004","(1a) inadequately completed","vocational + Abi","","","",""
"5","2004","(1a) inadequately completed","higher vocational","2","","",""
"5","2004","(1a) inadequately completed","higher education","","","",""
"5","2004","(1b) general elementary school","in school","","","",""
"5","2004","(1b) general elementary school","inadequately","7","","",""
"5","2004","(1b) general elementary school","general elemantary","343","0.166167267463208","0.149730092165064","0.182604442761351"
"5","2004","(1b) general elementary school","middle vocational","","","",""
"5","2004","(1b) general elementary school","vocational + Abi","","","",""
"5","2004","(1b) general elementary school","higher vocational","","","",""
"5","2004","(1b) general elementary school","higher education","","","",""
"5","2004","(1c) basic vocational qualification","in school","","","",""
"5","2004","(1c) basic vocational qualification","inadequately","","","",""
"5","2004","(1c) basic vocational qualification","general elemantary","","","",""
"5","2004","(1c) basic vocational qualification","middle vocational","1266","0.235253344877744","0.224112319222928","0.24639437053256"
"5","2004","(1c) basic vocational qualification","vocational + Abi","","","",""
"5","2004","(1c) basic vocational qualification","higher vocational","110","0.23892304464809","0.201545876429142","0.276300212867039"
"5","2004","(1c) basic vocational qualification","higher education","","","",""
"5","2004","(2b) intermediate general qualification","in school","","","",""
"5","2004","(2b) intermediate general qualification","inadequately","","","",""
"5","2004","(2b) intermediate general qualification","general elemantary","132","0.205782651602531","0.173674632783454","0.237890670421608"
"5","2004","(2b) intermediate general qualification","middle vocational","","","",""
"5","2004","(2b) intermediate general qualification","vocational + Abi","","","",""
"5","2004","(2b) intermediate general qualification","higher vocational","","","",""
"5","2004","(2b) intermediate general qualification","higher education","","","",""
"5","2004","(2a) intermediate vocational","in school","","","",""
"5","2004","(2a) intermediate vocational","inadequately","","","",""
"5","2004","(2a) intermediate vocational","general elemantary","","","",""
"5","2004","(2a) intermediate vocational","middle vocational","1046","0.238012799201887","0.225248315974643","0.250777282429131"
"5","2004","(2a) intermediate vocational","vocational + Abi","","","",""
"5","2004","(2a) intermediate vocational","higher vocational","163","0.234968710784085","0.204212609891916","0.265724811676254"
"5","2004","(2a) intermediate vocational","higher education","","","",""
"5","2004","(2c_gen) general maturity certificate","in school","","","",""
"5","2004","(2c_gen) general maturity certificate","inadequately","","","",""
"5","2004","(2c_gen) general maturity certificate","general elemantary","","","",""
"5","2004","(2c_gen) general maturity certificate","middle vocational","159","0.192745447472535","0.166180821721094","0.219310073223976"
"5","2004","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"5","2004","(2c_gen) general maturity certificate","higher vocational","","","",""
"5","2004","(2c_gen) general maturity certificate","higher education","","","",""
"5","2004","(2c_voc) vocational maturity certificate","in school","","","",""
"5","2004","(2c_voc) vocational maturity certificate","inadequately","","","",""
"5","2004","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"5","2004","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"5","2004","(2c_voc) vocational maturity certificate","vocational + Abi","244","0.224321753208464","0.200285990216776","0.248357516200152"
"5","2004","(2c_voc) vocational maturity certificate","higher vocational","94","0.264156502783199","0.221111875743854","0.307201129822545"
"5","2004","(2c_voc) vocational maturity certificate","higher education","","","",""
"5","2004","(3a) lower tertiary education","in school","","","",""
"5","2004","(3a) lower tertiary education","inadequately","","","",""
"5","2004","(3a) lower tertiary education","general elemantary","","","",""
