"plh0204_h","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence"
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","vocational + Abi","19","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","higher vocational","17","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE 16 ","higher education","14","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","in school","5","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","inadequately","23","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","general elemantary","49","0.127991138865861","0.0981974055249644","0.157784872206758"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","middle vocational","117","0.0707269418909398","0.0591689788295914","0.0822849049522882"
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","vocational + Abi","10","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","higher vocational","6","","",""
"0 Not at all Willing to take risks","2004","Couple + C. GT 16 ","higher education","24","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","in school","12","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","inadequately","9","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","general elemantary","28","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","middle vocational","43","0.0800969962998424","0.0600883587312802","0.100105633868405"
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","vocational + Abi","2","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","higher vocational","4","","",""
"0 Not at all Willing to take risks","2004","Couple + C. LE and GT 16","higher education","8","","",""
"1","2004","1-pers.-HH","in school","","","",""
"1","2004","1-pers.-HH","inadequately","1","","",""
"1","2004","1-pers.-HH","general elemantary","50","0.110799311314514","0.0811661570670029","0.140432465562026"
"1","2004","1-pers.-HH","middle vocational","93","0.0635773135961991","0.051302942335109","0.0758516848572892"
"1","2004","1-pers.-HH","vocational + Abi","7","","",""
"1","2004","1-pers.-HH","higher vocational","8","","",""
"1","2004","1-pers.-HH","higher education","18","","",""
"1","2004","(Married) couple without C. ","in school","","","",""
"1","2004","(Married) couple without C. ","inadequately","6","","",""
"1","2004","(Married) couple without C. ","general elemantary","70","0.0944317135676575","0.0734612839540393","0.115402143181276"
"1","2004","(Married) couple without C. ","middle vocational","232","0.0622546915962534","0.0546026522045192","0.0699067309879877"
"1","2004","(Married) couple without C. ","vocational + Abi","11","","",""
"1","2004","(Married) couple without C. ","higher vocational","27","","",""
"1","2004","(Married) couple without C. ","higher education","48","0.0294124673042281","0.0212845901701203","0.0375403444383358"
"1","2004","Single parent ","in school","1","","",""
"1","2004","Single parent ","inadequately","","","",""
"1","2004","Single parent ","general elemantary","15","","",""
"1","2004","Single parent ","middle vocational","21","","",""
"1","2004","Single parent ","vocational + Abi","","","",""
"1","2004","Single parent ","higher vocational","2","","",""
"1","2004","Single parent ","higher education","5","","",""
"1","2004","Couple + C. LE 16 ","in school","","","",""
"1","2004","Couple + C. LE 16 ","inadequately","2","","",""
"1","2004","Couple + C. LE 16 ","general elemantary","29","","",""
"1","2004","Couple + C. LE 16 ","middle vocational","64","0.0381004079968236","0.0297499630915683","0.0464508529020789"
"1","2004","Couple + C. LE 16 ","vocational + Abi","14","","",""
"1","2004","Couple + C. LE 16 ","higher vocational","14","","",""
"1","2004","Couple + C. LE 16 ","higher education","23","","",""
"1","2004","Couple + C. GT 16 ","in school","6","","",""
"1","2004","Couple + C. GT 16 ","inadequately","8","","",""
"1","2004","Couple + C. GT 16 ","general elemantary","27","","",""
"1","2004","Couple + C. GT 16 ","middle vocational","89","0.0610531763803516","0.0502589426103359","0.0718474101503673"
"1","2004","Couple + C. GT 16 ","vocational + Abi","6","","",""
"1","2004","Couple + C. GT 16 ","higher vocational","7","","",""
"1","2004","Couple + C. GT 16 ","higher education","21","","",""
"1","2004","Couple + C. LE and GT 16","in school","2","","",""
"1","2004","Couple + C. LE and GT 16","inadequately","2","","",""
"1","2004","Couple + C. LE and GT 16","general elemantary","10","","",""
"1","2004","Couple + C. LE and GT 16","middle vocational","25","","",""
"1","2004","Couple + C. LE and GT 16","vocational + Abi","5","","",""
"1","2004","Couple + C. LE and GT 16","higher vocational","5","","",""
"1","2004","Couple + C. LE and GT 16","higher education","5","","",""
"2","2004","1-pers.-HH","in school","","","",""
"2","2004","1-pers.-HH","inadequately","4","","",""
"2","2004","1-pers.-HH","general elemantary","53","0.150439683475323","0.116688596007171","0.184190770943475"
"2","2004","1-pers.-HH","middle vocational","172","0.111979671171066","0.0961163815588636","0.127842960783268"
"2","2004","1-pers.-HH","vocational + Abi","9","","",""
"2","2004","1-pers.-HH","higher vocational","23","","",""
"2","2004","1-pers.-HH","higher education","42","0.0914497374577886","0.067316058987612","0.115583415927965"
"2","2004","(Married) couple without C. ","in school","","","",""
"2","2004","(Married) couple without C. ","inadequately","13","","",""
"2","2004","(Married) couple without C. ","general elemantary","118","0.147792267094223","0.122342349466752","0.173242184721693"
"2","2004","(Married) couple without C. ","middle vocational","410","0.107269182352972","0.0974687225270018","0.117069642178943"
"2","2004","(Married) couple without C. ","vocational + Abi","27","","",""
"2","2004","(Married) couple without C. ","higher vocational","61","0.111649508203004","0.0860851794183602","0.137213836987649"
"2","2004","(Married) couple without C. ","higher education","139","0.0816750795281835","0.068500492369955","0.094849666686412"
"2","2004","Single parent ","in school","4","","",""
"2","2004","Single parent ","inadequately","2","","",""
"2","2004","Single parent ","general elemantary","23","","",""
"2","2004","Single parent ","middle vocational","47","0.0835066229140863","0.0599096520876586","0.107103593740514"
"2","2004","Single parent ","vocational + Abi","5","","",""
"2","2004","Single parent ","higher vocational","4","","",""
"2","2004","Single parent ","higher education","10","","",""
"2","2004","Couple + C. LE 16 ","in school","","","",""
"2","2004","Couple + C. LE 16 ","inadequately","1","","",""
"2","2004","Couple + C. LE 16 ","general elemantary","38","0.133373204480049","0.0950294205279256","0.171716988432173"
"2","2004","Couple + C. LE 16 ","middle vocational","190","0.0862974614734192","0.0740490051567071","0.0985459177901312"
"2","2004","Couple + C. LE 16 ","vocational + Abi","34","0.129497339906154","0.0931067002330656","0.165887979579241"
"2","2004","Couple + C. LE 16 ","higher vocational","45","0.0802379049738832","0.0546501792430994","0.105825630704667"
"2","2004","Couple + C. LE 16 ","higher education","91","0.101487012273816","0.0820374419747943","0.120936582572839"
"2","2004","Couple + C. GT 16 ","in school","8","","",""
"2","2004","Couple + C. GT 16 ","inadequately","4","","",""
"2","2004","Couple + C. GT 16 ","general elemantary","52","0.128690149242832","0.098827145414557","0.158553153071107"
"2","2004","Couple + C. GT 16 ","middle vocational","179","0.0935720403558622","0.0804422774036546","0.10670180330807"
"2","2004","Couple + C. GT 16 ","vocational + Abi","13","","",""
"2","2004","Couple + C. GT 16 ","higher vocational","25","","",""
"2","2004","Couple + C. GT 16 ","higher education","61","0.0758406933205293","0.0559276438868161","0.0957537427542425"
"2","2004","Couple + C. LE and GT 16","in school","16","","",""
"2","2004","Couple + C. LE and GT 16","inadequately","4","","",""
"2","2004","Couple + C. LE and GT 16","general elemantary","16","","",""
"2","2004","Couple + C. LE and GT 16","middle vocational","71","0.108229684161613","0.0853295468903911","0.131129821432835"
"2","2004","Couple + C. LE and GT 16","vocational + Abi","3","","",""
"2","2004","Couple + C. LE and GT 16","higher vocational","11","","",""
"2","2004","Couple + C. LE and GT 16","higher education","21","","",""
"3","2004","1-pers.-HH","in school","","","",""
"3","2004","1-pers.-HH","inadequately","2","","",""
"3","2004","1-pers.-HH","general elemantary","58","0.131146067357041","0.0992776513656886","0.163014483348393"
"3","2004","1-pers.-HH","middle vocational","181","0.121344438413027","0.104918451425985","0.137770425400069"
"3","2004","1-pers.-HH","vocational + Abi","17","","",""
"3","2004","1-pers.-HH","higher vocational","20","","",""
"3","2004","1-pers.-HH","higher education","75","0.155644440507291","0.125292441333066","0.185996439681517"
"3","2004","(Married) couple without C. ","in school","","","",""
"3","2004","(Married) couple without C. ","inadequately","5","","",""
"3","2004","(Married) couple without C. ","general elemantary","101","0.123926422302762","0.100297710937616","0.147555133667909"
"3","2004","(Married) couple without C. ","middle vocational","509","0.128059252810224","0.117476523870199","0.13864198175025"
"3","2004","(Married) couple without C. ","vocational + Abi","59","0.165123909885347","0.126001460698727","0.204246359071967"
"3","2004","(Married) couple without C. ","higher vocational","83","0.136901465784169","0.108998648692993","0.164804282875345"
"3","2004","(Married) couple without C. ","higher education","220","0.133310427241934","0.116958916164509","0.14966193831936"
"3","2004","Single parent ","in school","3","","",""
"3","2004","Single parent ","inadequately","1","","",""
"3","2004","Single parent ","general elemantary","25","","",""
"3","2004","Single parent ","middle vocational","64","0.109245975224414","0.0826379435182455","0.135854006930582"
"3","2004","Single parent ","vocational + Abi","5","","",""
"3","2004","Single parent ","higher vocational","7","","",""
"3","2004","Single parent ","higher education","11","","",""
"3","2004","Couple + C. LE 16 ","in school","","","",""
"3","2004","Couple + C. LE 16 ","inadequately","3","","",""
"3","2004","Couple + C. LE 16 ","general elemantary","41","0.112489763798414","0.0768538575804154","0.148125670016412"
"3","2004","Couple + C. LE 16 ","middle vocational","271","0.143940269779953","0.128628579995815","0.159251959564091"
"3","2004","Couple + C. LE 16 ","vocational + Abi","53","0.142642967020297","0.104739385027145","0.180546549013448"
"3","2004","Couple + C. LE 16 ","higher vocational","55","0.120876586695592","0.0901722188694756","0.151580954521708"
"3","2004","Couple + C. LE 16 ","higher education","116","0.112235625819101","0.0919047157008533","0.132566535937348"
"3","2004","Couple + C. GT 16 ","in school","33","0.1284055905236","0.0888661128100498","0.167945068237151"
"3","2004","Couple + C. GT 16 ","inadequately","5","","",""
"3","2004","Couple + C. GT 16 ","general elemantary","57","0.142750108911228","0.111552847711453","0.173947370111003"
"3","2004","Couple + C. GT 16 ","middle vocational","227","0.117480680603522","0.102964160276683","0.13199720093036"
"3","2004","Couple + C. GT 16 ","vocational + Abi","20","","",""
"3","2004","Couple + C. GT 16 ","higher vocational","27","","",""
"3","2004","Couple + C. GT 16 ","higher education","95","0.165089550710995","0.137164565941222","0.193014535480768"
"3","2004","Couple + C. LE and GT 16","in school","21","","",""
"3","2004","Couple + C. LE and GT 16","inadequately","4","","",""
"3","2004","Couple + C. LE and GT 16","general elemantary","25","","",""
"3","2004","Couple + C. LE and GT 16","middle vocational","89","0.124542953497754","0.100203244262562","0.148882662732946"
"3","2004","Couple + C. LE and GT 16","vocational + Abi","9","","",""
"3","2004","Couple + C. LE and GT 16","higher vocational","20","","",""
"3","2004","Couple + C. LE and GT 16","higher education","43","0.155513260198159","0.113216834619277","0.19780968577704"
"4","2004","1-pers.-HH","in school","","","",""
"4","2004","1-pers.-HH","inadequately","","","",""
"4","2004","1-pers.-HH","general elemantary","32","0.0628846445066208","0.0399665614956697","0.0858027275175719"
"4","2004","1-pers.-HH","middle vocational","144","0.0985430301647199","0.0835497152806105","0.113536345048829"
"4","2004","1-pers.-HH","vocational + Abi","18","","",""
"4","2004","1-pers.-HH","higher vocational","27","","",""
"4","2004","1-pers.-HH","higher education","58","0.105350823917612","0.0796466788761302","0.131054968959094"
"4","2004","(Married) couple without C. ","in school","","","",""
"4","2004","(Married) couple without C. ","inadequately","5","","",""
"4","2004","(Married) couple without C. ","general elemantary","78","0.0976972316440169","0.0764057902279836","0.11898867306005"
"4","2004","(Married) couple without C. ","middle vocational","426","0.103617762131729","0.0939658706725697","0.113269653590889"
"4","2004","(Married) couple without C. ","vocational + Abi","49","0.120689975783173","0.0863644930358526","0.155015458530494"
"4","2004","(Married) couple without C. ","higher vocational","67","0.0915645882921302","0.0681533376434296","0.114975838940831"
"4","2004","(Married) couple without C. ","higher education","190","0.110333182052223","0.0952615315300337","0.125404832574412"
"4","2004","Single parent ","in school","8","","",""
"4","2004","Single parent ","inadequately","2","","",""
"4","2004","Single parent ","general elemantary","15","","",""
"4","2004","Single parent ","middle vocational","54","0.0941851259955319","0.0692712088860412","0.119099043105022"
"4","2004","Single parent ","vocational + Abi","5","","",""
"4","2004","Single parent ","higher vocational","6","","",""
"4","2004","Single parent ","higher education","14","","",""
"4","2004","Couple + C. LE 16 ","in school","","","",""
"4","2004","Couple + C. LE 16 ","inadequately","2","","",""
"4","2004","Couple + C. LE 16 ","general elemantary","29","","",""
"4","2004","Couple + C. LE 16 ","middle vocational","242","0.113945685759683","0.100085819262178","0.127805552257189"
"4","2004","Couple + C. LE 16 ","vocational + Abi","34","0.102680722303265","0.0697810046183913","0.135580439988139"
"4","2004","Couple + C. LE 16 ","higher vocational","52","0.0861576642911365","0.0597282987184453","0.112587029863828"
"4","2004","Couple + C. LE 16 ","higher education","134","0.164614420761471","0.140729707946917","0.188499133576025"
"4","2004","Couple + C. GT 16 ","in school","26","","",""
"4","2004","Couple + C. GT 16 ","inadequately","3","","",""
"4","2004","Couple + C. GT 16 ","general elemantary","49","0.123689524787156","0.0943285826118744","0.153050466962438"
"4","2004","Couple + C. GT 16 ","middle vocational","204","0.105530555007305","0.091679302232878","0.119381807781732"
"4","2004","Couple + C. GT 16 ","vocational + Abi","12","","",""
"4","2004","Couple + C. GT 16 ","higher vocational","22","","",""
"4","2004","Couple + C. GT 16 ","higher education","78","0.111362133345349","0.0877005184000385","0.13502374829066"
"4","2004","Couple + C. LE and GT 16","in school","25","","",""
"4","2004","Couple + C. LE and GT 16","inadequately","4","","",""
"4","2004","Couple + C. LE and GT 16","general elemantary","24","","",""
"4","2004","Couple + C. LE and GT 16","middle vocational","62","0.0811319438874297","0.0610057847731025","0.101258103001757"
"4","2004","Couple + C. LE and GT 16","vocational + Abi","6","","",""
"4","2004","Couple + C. LE and GT 16","higher vocational","4","","",""
"4","2004","Couple + C. LE and GT 16","higher education","28","","",""
"5","2004","1-pers.-HH","in school","","","",""
"5","2004","1-pers.-HH","inadequately","2","","",""
"5","2004","1-pers.-HH","general elemantary","72","0.159102768785365","0.124570923540049","0.193634614030681"
"5","2004","1-pers.-HH","middle vocational","343","0.228590281781011","0.207465917912239","0.249714645649782"
"5","2004","1-pers.-HH","vocational + Abi","34","0.209612873226782","0.147317603354807","0.271908143098757"
"5","2004","1-pers.-HH","higher vocational","45","0.249267030069307","0.189314397592779","0.309219662545835"
"5","2004","1-pers.-HH","higher education","113","0.190510897774651","0.15763154750786","0.223390248041442"
"5","2004","(Married) couple without C. ","in school","1","","",""
"5","2004","(Married) couple without C. ","inadequately","7","","",""
"5","2004","(Married) couple without C. ","general elemantary","133","0.193117623397444","0.16480997066672","0.221425276128167"
"5","2004","(Married) couple without C. ","middle vocational","886","0.231508402991729","0.218150089072193","0.244866716911265"
"5","2004","(Married) couple without C. ","vocational + Abi","62","0.186201813146921","0.145185147418031","0.227218478875812"
"5","2004","(Married) couple without C. ","higher vocational","126","0.250663244751155","0.215483096931755","0.285843392570555"
"5","2004","(Married) couple without C. ","higher education","363","0.220400152763708","0.200459660964057","0.240340644563359"
"5","2004","Single parent ","in school","19","","",""
"5","2004","Single parent ","inadequately","3","","",""
"5","2004","Single parent ","general elemantary","39","0.15081814052044","0.104160688681932","0.197475592358949"
"5","2004","Single parent ","middle vocational","116","0.214828463057432","0.179796916215898","0.249860009898966"
"5","2004","Single parent ","vocational + Abi","14","","",""
"5","2004","Single parent ","higher vocational","16","","",""
"5","2004","Single parent ","higher education","30","0.274711941197926","0.192411360069639","0.357012522326212"
"5","2004","Couple + C. LE 16 ","in school","","","",""
"5","2004","Couple + C. LE 16 ","inadequately","9","","",""
"5","2004","Couple + C. LE 16 ","general elemantary","58","0.173829006316674","0.131088396445211","0.216569616188137"
"5","2004","Couple + C. LE 16 ","middle vocational","480","0.245605252332977","0.226829468151885","0.264381036514069"
"5","2004","Couple + C. LE 16 ","vocational + Abi","57","0.175893073436821","0.134627264252146","0.217158882621496"
"5","2004","Couple + C. LE 16 ","higher vocational","98","0.220227322770474","0.181195058159807","0.25925958738114"
"5","2004","Couple + C. LE 16 ","higher education","193","0.225457818050046","0.198542607296161","0.252373028803931"
"5","2004","Couple + C. GT 16 ","in school","65","0.219671077066365","0.170737491892696","0.268604662240033"
"5","2004","Couple + C. GT 16 ","inadequately","6","","",""
"5","2004","Couple + C. GT 16 ","general elemantary","96","0.175123082044464","0.141227679407074","0.209018484681854"
"5","2004","Couple + C. GT 16 ","middle vocational","438","0.231541387763639","0.212524399170599","0.25055837635668"
"5","2004","Couple + C. GT 16 ","vocational + Abi","54","0.308211167181168","0.242380516527266","0.374041817835071"
"5","2004","Couple + C. GT 16 ","higher vocational","49","0.174392261402426","0.125354046198369","0.223430476606484"
"5","2004","Couple + C. GT 16 ","higher education","126","0.190879097495141","0.161319460210121","0.220438734780161"
"5","2004","Couple + C. LE and GT 16","in school","56","0.245637032167118","0.193711228304026","0.297562836030209"
"5","2004","Couple + C. LE and GT 16","inadequately","3","","",""
"5","2004","Couple + C. LE and GT 16","general elemantary","59","0.209031809624192","0.159795766358543","0.258267852889842"
"5","2004","Couple + C. LE and GT 16","middle vocational","166","0.239902835961146","0.208426031862302","0.27137964005999"
"5","2004","Couple + C. LE and GT 16","vocational + Abi","16","","",""
"5","2004","Couple + C. LE and GT 16","higher vocational","28","","",""
"5","2004","Couple + C. LE and GT 16","higher education","64","0.25866658145357","0.207557216161453","0.309775946745687"
"6","2004","1-pers.-HH","in school","1","","",""
"6","2004","1-pers.-HH","inadequately","2","","",""
"6","2004","1-pers.-HH","general elemantary","25","","",""
"6","2004","1-pers.-HH","middle vocational","121","0.0789243103050644","0.0653610135805891","0.0924876070295398"
"6","2004","1-pers.-HH","vocational + Abi","19","","",""
"6","2004","1-pers.-HH","higher vocational","20","","",""
"6","2004","1-pers.-HH","higher education","77","0.157967128532064","0.127431582061748","0.18850267500238"
"6","2004","(Married) couple without C. ","in school","1","","",""
"6","2004","(Married) couple without C. ","inadequately","2","","",""
"6","2004","(Married) couple without C. ","general elemantary","38","0.0540969596985687","0.0378752162059692","0.0703187031911683"
"6","2004","(Married) couple without C. ","middle vocational","356","0.0943879208629945","0.0851286238100404","0.103647217915949"
"6","2004","(Married) couple without C. ","vocational + Abi","43","0.117914821630276","0.0839327772163281","0.151896866044225"
"6","2004","(Married) couple without C. ","higher vocational","65","0.144468526204656","0.115930861538402","0.173006190870909"
"6","2004","(Married) couple without C. ","higher education","206","0.110507349977725","0.0954252848748099","0.125589415080641"
"6","2004","Single parent ","in school","12","","",""
"6","2004","Single parent ","inadequately","1","","",""
"6","2004","Single parent ","general elemantary","14","","",""
"6","2004","Single parent ","middle vocational","63","0.134378013883312","0.10528696513916","0.163469062627465"
"6","2004","Single parent ","vocational + Abi","6","","",""
"6","2004","Single parent ","higher vocational","5","","",""
"6","2004","Single parent ","higher education","8","","",""
"6","2004","Couple + C. LE 16 ","in school","","","",""
"6","2004","Couple + C. LE 16 ","inadequately","2","","",""
"6","2004","Couple + C. LE 16 ","general elemantary","20","","",""
"6","2004","Couple + C. LE 16 ","middle vocational","241","0.118134575008785","0.104055646584839","0.132213503432731"
"6","2004","Couple + C. LE 16 ","vocational + Abi","50","0.151861525183036","0.112963148663003","0.19075990170307"
"6","2004","Couple + C. LE 16 ","higher vocational","59","0.176522194119274","0.140611007926386","0.212433380312162"
"6","2004","Couple + C. LE 16 ","higher education","131","0.12890000006718","0.10731743478012","0.15048256535424"
"6","2004","Couple + C. GT 16 ","in school","43","0.137986424471441","0.0972242843596004","0.178748564583282"
"6","2004","Couple + C. GT 16 ","inadequately","3","","",""
"6","2004","Couple + C. GT 16 ","general elemantary","54","0.0730869954872568","0.0498749150008479","0.0962990759736657"
"6","2004","Couple + C. GT 16 ","middle vocational","225","0.113370441308842","0.0990769536693445","0.12766392894834"
"6","2004","Couple + C. GT 16 ","vocational + Abi","30","0.170205848031147","0.116627463763944","0.223784232298351"
"6","2004","Couple + C. GT 16 ","higher vocational","32","0.131375559779377","0.087718198252062","0.175032921306692"
"6","2004","Couple + C. GT 16 ","higher education","87","0.135651024052755","0.109895564515195","0.161406483590315"
"6","2004","Couple + C. LE and GT 16","in school","35","0.0975786315341125","0.0617831528597388","0.133374110208486"
"6","2004","Couple + C. LE and GT 16","inadequately","2","","",""
"6","2004","Couple + C. LE and GT 16","general elemantary","35","0.130145385935758","0.089404059080613","0.170886712790904"
"6","2004","Couple + C. LE and GT 16","middle vocational","83","0.105884341645743","0.0832039210130025","0.128564762278483"
"6","2004","Couple + C. LE and GT 16","vocational + Abi","9","","",""
"6","2004","Couple + C. LE and GT 16","higher vocational","17","","",""
"6","2004","Couple + C. LE and GT 16","higher education","38","0.124692149192866","0.0861333496939308","0.1632509486918"
"7","2004","1-pers.-HH","in school","1","","",""
"7","2004","1-pers.-HH","inadequately","2","","",""
"7","2004","1-pers.-HH","general elemantary","21","","",""
"7","2004","1-pers.-HH","middle vocational","144","0.0840572700064267","0.0700989225195435","0.0980156174933099"
"7","2004","1-pers.-HH","vocational + Abi","32","0.181551054821119","0.12255521987474","0.240546889767497"
"7","2004","1-pers.-HH","higher vocational","19","","",""
"7","2004","1-pers.-HH","higher education","84","0.137896460356318","0.109028633944364","0.166764286768271"
"7","2004","(Married) couple without C. ","in school","","","",""
"7","2004","(Married) couple without C. ","inadequately","","","",""
"7","2004","(Married) couple without C. ","general elemantary","21","","",""
"7","2004","(Married) couple without C. ","middle vocational","331","0.0877976179920243","0.0788349837885801","0.0967602521954685"
"7","2004","(Married) couple without C. ","vocational + Abi","43","0.125726860272162","0.0907929142696369","0.160660806274687"
"7","2004","(Married) couple without C. ","higher vocational","65","0.0901785080262881","0.0669274118638297","0.113429604188746"
"7","2004","(Married) couple without C. ","higher education","247","0.151887067898902","0.134621483256648","0.169152652541156"
"7","2004","Single parent ","in school","14","","",""
"7","2004","Single parent ","inadequately","3","","",""
"7","2004","Single parent ","general elemantary","25","","",""
"7","2004","Single parent ","middle vocational","68","0.110955125599825","0.084165499288448","0.137744751911203"
"7","2004","Single parent ","vocational + Abi","3","","",""
"7","2004","Single parent ","higher vocational","3","","",""
"7","2004","Single parent ","higher education","20","","",""
"7","2004","Couple + C. LE 16 ","in school","","","",""
"7","2004","Couple + C. LE 16 ","inadequately","5","","",""
"7","2004","Couple + C. LE 16 ","general elemantary","22","","",""
"7","2004","Couple + C. LE 16 ","middle vocational","250","0.120840326446789","0.106622940401058","0.135057712492519"
"7","2004","Couple + C. LE 16 ","vocational + Abi","34","0.102977972841218","0.070036126453665","0.135919819228771"
"7","2004","Couple + C. LE 16 ","higher vocational","55","0.146535874412414","0.113226324968543","0.179845423856285"
"7","2004","Couple + C. LE 16 ","higher education","126","0.12997195349212","0.108313170628713","0.151630736355527"
"7","2004","Couple + C. GT 16 ","in school","41","0.176083204154563","0.131065598926294","0.221100809382832"
"7","2004","Couple + C. GT 16 ","inadequately","3","","",""
"7","2004","Couple + C. GT 16 ","general elemantary","51","0.0876924812646737","0.0624677625516364","0.112917199977711"
"7","2004","Couple + C. GT 16 ","middle vocational","236","0.121685057157765","0.106946297060484","0.136423817255045"
"7","2004","Couple + C. GT 16 ","vocational + Abi","28","","",""
"7","2004","Couple + C. GT 16 ","higher vocational","38","0.187992167320951","0.137498820276885","0.238485514365016"
"7","2004","Couple + C. GT 16 ","higher education","105","0.124086291248381","0.0992889129333643","0.148883669563397"
"7","2004","Couple + C. LE and GT 16","in school","43","0.12941677776272","0.0889268906956676","0.169906664829772"
"7","2004","Couple + C. LE and GT 16","inadequately","1","","",""
"7","2004","Couple + C. LE and GT 16","general elemantary","31","0.143087672656139","0.100687585378175","0.185487759934103"
"7","2004","Couple + C. LE and GT 16","middle vocational","81","0.109591865601327","0.0865656745577342","0.13261805664492"
"7","2004","Couple + C. LE and GT 16","vocational + Abi","5","","",""
"7","2004","Couple + C. LE and GT 16","higher vocational","13","","",""
"7","2004","Couple + C. LE and GT 16","higher education","44","0.101483024095751","0.0662391711583144","0.136726877033188"
"8","2004","1-pers.-HH","in school","","","",""
"8","2004","1-pers.-HH","inadequately","","","",""
"8","2004","1-pers.-HH","general elemantary","19","","",""
"8","2004","1-pers.-HH","middle vocational","113","0.0663017074937283","0.053785353312379","0.0788180616750776"
"8","2004","1-pers.-HH","vocational + Abi","9","","",""
"8","2004","1-pers.-HH","higher vocational","20","","",""
"8","2004","1-pers.-HH","higher education","46","0.0651695719179556","0.044504036305955","0.0858351075299561"
"8","2004","(Married) couple without C. ","in school","","","",""
"8","2004","(Married) couple without C. ","inadequately","1","","",""
"8","2004","(Married) couple without C. ","general elemantary","23","","",""
"8","2004","(Married) couple without C. ","middle vocational","212","0.0497822440382779","0.0428941747122078","0.0566703133643479"
"8","2004","(Married) couple without C. ","vocational + Abi","24","","",""
"8","2004","(Married) couple without C. ","higher vocational","42","0.0614182992809497","0.0419288867616707","0.0809077118002287"
"8","2004","(Married) couple without C. ","higher education","157","0.0930572756670241","0.0790820398588291","0.107032511475219"
"8","2004","Single parent ","in school","10","","",""
"8","2004","Single parent ","inadequately","1","","",""
"8","2004","Single parent ","general elemantary","21","","",""
"8","2004","Single parent ","middle vocational","37","0.0734593712846986","0.0512064533053284","0.0957122892640688"
"8","2004","Single parent ","vocational + Abi","5","","",""
"8","2004","Single parent ","higher vocational","6","","",""
"8","2004","Single parent ","higher education","5","","",""
"8","2004","Couple + C. LE 16 ","in school","","","",""
