"plh0204_h","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"4","2004","Full Time","middle vocational","412","0.0989924689885746","0.0897222442734671","0.108262693703682","4"
"4","2004","Full Time","vocational + Abi","53","0.099335110748229","0.073989415620955","0.124680805875503","4"
"4","2004","Part Time","vocational + Abi","37","0.110419797431032","0.0769580075161937","0.14388158734587","4"
"4","2004","Full Time","general elemantary","57","0.0983312700681271","0.0745651239163108","0.122097416219943","4"
"4","2004","Not Working","general elemantary","128","0.0867746794042712","0.0721587599849768","0.101390598823566","4"
"4","2004","Not Working","middle vocational","461","0.103050877103731","0.0938066133521308","0.112295140855332","4"
"4","2004","Full Time","higher vocational","80","0.0767006330509369","0.0583855704668585","0.0950156956350154","4"
"4","2004","Full Time","higher education","273","0.129058701964173","0.115589319000397","0.142528084927948","4"
"4","2004","Part Time","in school","10","","","","4"
"4","2004","Part Time","inadequately","1","","","","4"
"4","2004","Part Time","general elemantary","46","0.0931276960318971","0.0688624449057808","0.117392947158013","4"
"4","2004","Part Time","middle vocational","295","0.107151859812491","0.0953665276610037","0.118937191963978","4"
"4","2004","Part Time","higher education","111","0.0966809841960171","0.0776159166515581","0.115746051740476","4"
"4","2004","Not Working","in school","49","0.0847866878671501","0.061269861763963","0.108303513970337","4"
"4","2004","Not Working","inadequately","9","","","","4"
"4","2004","Not Working","vocational + Abi","36","0.0996033049226991","0.064835323125537","0.134371286719861","4"
"4","2004","Not Working","higher vocational","48","0.095108679035593","0.0691069667894126","0.121110391281773","4"
"4","2004","Not Working","higher education","128","0.122793424507108","0.102380183566069","0.143206665448146","4"
"5","2004","Full Time","vocational + Abi","109","0.200700793999511","0.166761685042158","0.234639902956864","5"
"5","2004","Full Time","middle vocational","1003","0.256291831576252","0.242740136181646","0.269843526970858","5"
"5","2004","Full Time","inadequately","7","","","","5"
"5","2004","Full Time","general elemantary","132","0.209681440789152","0.177189883934356","0.242172997643947","5"
"5","2004","Full Time","in school","1","","","","5"
"5","2004","Full Time","higher vocational","180","0.260152837733039","0.229958677607759","0.290346997858318","5"
"5","2004","Full Time","higher education","443","0.1868232260789","0.171164099705782","0.202482352452017","5"
"5","2004","Part Time","in school","17","","","","5"
"5","2004","Not Working","general elemantary","228","0.148997316222278","0.130509085739016","0.16748554670554","5"
"5","2004","Not Working","middle vocational","875","0.20706911232741","0.194748340759952","0.219389883894867","5"
"5","2004","Not Working","vocational + Abi","62","0.236749831276622","0.187397922487182","0.286101740066063","5"
"5","2004","Part Time","inadequately","5","","","","5"
"5","2004","Part Time","general elemantary","115","0.205563481577378","0.171821166718061","0.239305796436696","5"
"5","2004","Part Time","middle vocational","613","0.244351954252162","0.22797923325425","0.260724675250075","5"
"5","2004","Part Time","vocational + Abi","73","0.247877297448172","0.20177783451882","0.293976760377524","5"
"5","2004","Part Time","higher vocational","96","0.278003344555298","0.230521493510014","0.325485195600582","5"
"5","2004","Part Time","higher education","219","0.234160219688297","0.206840718873012","0.261479720503583","5"
"5","2004","Not Working","in school","124","0.249529285062732","0.212996620905112","0.286061949220352","5"
"5","2004","Not Working","inadequately","21","","","","5"
"5","2004","Not Working","higher vocational","95","0.202924195657867","0.167278229445563","0.238570161870171","5"
"5","2004","Not Working","higher education","242","0.248942210816391","0.222047962210706","0.275836459422077","5"
"6","2004","Part Time","vocational + Abi","38","0.0915769439557796","0.0607826473924971","0.122371240519062","6"
"6","2004","Part Time","higher vocational","36","0.104859658912798","0.072389469410759","0.137329848414836","6"
"6","2004","Part Time","higher education","117","0.149015920368876","0.126042572285457","0.171989268452294","6"
"6","2004","Not Working","in school","78","0.116047771104654","0.0890090274879133","0.143086514721395","6"
"6","2004","Not Working","inadequately","4","","","","6"
"6","2004","Not Working","vocational + Abi","35","0.100195255726607","0.0653355770698846","0.13505493438333","6"
"6","2004","Not Working","higher vocational","53","0.113661158713456","0.0855292245907087","0.141793092836203","6"
"6","2004","Not Working","general elemantary","75","0.0457153147952992","0.0348707908199115","0.0565598387706869","6"
"6","2004","Not Working","middle vocational","337","0.0758978443505553","0.0678452227957233","0.0839504659053874","6"
"6","2004","Not Working","higher education","107","0.0971941696734202","0.0787698800785576","0.115618459268283","6"
"6","2004","Part Time","general elemantary","44","0.0539360906742929","0.035074762921774","0.0727974184268118","6"
"6","2004","Part Time","middle vocational","292","0.10675006872141","0.0949842067713334","0.118515930671487","6"
"6","2004","Full Time","in school","","","","","6"
"6","2004","Full Time","inadequately","4","","","","6"
"6","2004","Full Time","general elemantary","73","0.113058614007007","0.0877837560478134","0.1383334719662","6"
"6","2004","Full Time","middle vocational","478","0.121414134937392","0.111276148541589","0.131552121333196","6"
"6","2004","Full Time","vocational + Abi","85","0.167027634800844","0.13542082504523","0.198634444556459","6"
"6","2004","Full Time","higher vocational","112","0.161801925050511","0.1364563099348","0.187147540166222","6"
"6","2004","Full Time","higher education","332","0.135159973354243","0.121424249472127","0.148895697236359","6"
"6","2004","Part Time","in school","16","","","","6"
"6","2004","Part Time","inadequately","4","","","","6"
"7","2004","Full Time","middle vocational","574","0.140542136955075","0.129754146732426","0.151330127177724","7"
"7","2004","Full Time","higher vocational","128","0.153420654626038","0.12861712916371","0.178224180088366","7"
"7","2004","Part Time","in school","17","","","","7"
"7","2004","Full Time","vocational + Abi","89","0.16318121420752","0.131868407960488","0.194494020454553","7"
"7","2004","Part Time","vocational + Abi","41","0.134701905525554","0.0982514563926783","0.17115235465843","7"
"7","2004","Part Time","middle vocational","280","0.0939563418972125","0.0828392605559821","0.105073423238443","7"
"7","2004","Not Working","higher education","100","0.0782634736699102","0.0615580911076082","0.0949688562322121","7"
"7","2004","Full Time","higher education","424","0.175882889164274","0.160587311847413","0.191178466481135","7"
"7","2004","Part Time","general elemantary","50","0.0678294906704339","0.0468338443068798","0.088825137033988","7"
"7","2004","Part Time","higher vocational","33","0.109215030035548","0.0761580874799313","0.142271972591166","7"
"7","2004","Part Time","higher education","116","0.131823511254421","0.109998841117504","0.153648181391338","7"
"7","2004","Not Working","in school","84","0.148170476462855","0.118178099133669","0.178162853792041","7"
"7","2004","Not Working","inadequately","5","","","","7"
"7","2004","Not Working","general elemantary","67","0.0476777733268559","0.0366143227156326","0.0587412239380793","7"
"7","2004","Not Working","middle vocational","281","0.0655046473995079","0.0579817141817716","0.0730275806172442","7"
"7","2004","Not Working","vocational + Abi","17","","","","7"
"7","2004","Not Working","higher vocational","38","0.0657927426217272","0.0438189877625457","0.0877664974809088","7"
"7","2004","Full Time","in school","","","","","7"
"7","2004","Full Time","inadequately","5","","","","7"
"7","2004","Full Time","general elemantary","61","0.0850292650636023","0.0627665950341396","0.107291935093065","7"
"7","2004","Part Time","inadequately","4","","","","7"
"8","2004","Full Time","in school","","","","","8"
"8","2004","Full Time","vocational + Abi","46","0.0782086825581307","0.0554569228840669","0.100960442232194","8"
"8","2004","Full Time","middle vocational","345","0.086419258084238","0.077697506595501","0.0951410095729751","8"
"8","2004","Part Time","higher education","67","0.0594130418378525","0.0441624179409842","0.0746636657347209","8"
"8","2004","Full Time","inadequately","3","","","","8"
"8","2004","Full Time","general elemantary","54","0.110984379528788","0.0859131830689934","0.136055575988583","8"
"8","2004","Not Working","general elemantary","42","0.0279987596894627","0.0194334422119553","0.03656407716697","8"
"8","2004","Not Working","middle vocational","175","0.0420192399066998","0.0359187450338979","0.0481197347795018","8"
"8","2004","Part Time","middle vocational","170","0.0573164577515017","0.0484596788160445","0.066173236686959","8"
"8","2004","Not Working","in school","63","0.112944313400435","0.0862227825132152","0.139665844287654","8"
"8","2004","Part Time","higher vocational","26","","","","8"
"8","2004","Not Working","inadequately","5","","","","8"
"8","2004","Part Time","general elemantary","45","0.0887357476737582","0.0649923008783348","0.112479194469182","8"
"8","2004","Part Time","vocational + Abi","22","","","","8"
"8","2004","Part Time","in school","12","","","","8"
"8","2004","Part Time","inadequately","1","","","","8"
"8","2004","Full Time","higher vocational","81","0.106828949468511","0.0855696249257038","0.128088274011318","8"
"8","2004","Full Time","higher education","234","0.092282259209071","0.0806545507725757","0.103909967645566","8"
"8","2004","Not Working","vocational + Abi","12","","","","8"
"8","2004","Not Working","higher vocational","23","","","","8"
"8","2004","Not Working","higher education","75","0.0656144306921707","0.050213881420093","0.0810149799642483","8"
"9","2004","Part Time","vocational + Abi","10","","","","9"
"9","2004","Part Time","higher vocational","2","","","","9"
"9","2004","Part Time","higher education","16","","","","9"
"9","2004","Not Working","in school","28","","","","9"
"9","2004","Not Working","inadequately","3","","","","9"
"9","2004","Not Working","general elemantary","13","","","","9"
"9","2004","Not Working","middle vocational","34","0.00706454839982458","0.00451792170123832","0.00961117509841084","9"
"9","2004","Full Time","in school","","","","","9"
"9","2004","Full Time","inadequately","1","","","","9"
"9","2004","Full Time","general elemantary","22","","","","9"
"9","2004","Full Time","middle vocational","87","0.0171776490336415","0.0131444992794913","0.0212107987877918","9"
"9","2004","Full Time","vocational + Abi","9","","","","9"
"9","2004","Full Time","higher vocational","16","","","","9"
"9","2004","Part Time","in school","5","","","","9"
"9","2004","Not Working","vocational + Abi","5","","","","9"
"9","2004","Not Working","higher vocational","6","","","","9"
"9","2004","Part Time","inadequately","","","","","9"
"9","2004","Part Time","general elemantary","8","","","","9"
"9","2004","Part Time","middle vocational","33","0.0114570170650574","0.00740205561389259","0.0155119785162223","9"
"9","2004","Full Time","higher education","58","0.0168796970207717","0.0117042809680286","0.0220551130735149","9"
"9","2004","Not Working","higher education","15","","","","9"
"0 Not at all Willing to take risks","2005","Part Time","general elemantary","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","middle vocational","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","vocational + Abi","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","higher vocational","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","higher education","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","in school","","","","","0"
"0 Not at all Willing to take risks","2005","Part Time","inadequately","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","vocational + Abi","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","higher vocational","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","higher education","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","in school","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","inadequately","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","general elemantary","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","middle vocational","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","vocational + Abi","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","higher vocational","","","","","0"
"0 Not at all Willing to take risks","2005","Full Time","higher education","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","in school","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","inadequately","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","general elemantary","","","","","0"
"0 Not at all Willing to take risks","2005","Not Working","middle vocational","","","","","0"
"1","2005","Full Time","middle vocational","","","","","1"
"1","2005","Full Time","higher vocational","","","","","1"
"1","2005","Full Time","vocational + Abi","","","","","1"
"1","2005","Full Time","in school","","","","","1"
"1","2005","Full Time","inadequately","","","","","1"
"1","2005","Full Time","general elemantary","","","","","1"
"1","2005","Part Time","general elemantary","","","","","1"
"1","2005","Part Time","middle vocational","","","","","1"
"1","2005","Part Time","vocational + Abi","","","","","1"
"1","2005","Part Time","higher vocational","","","","","1"
"1","2005","Part Time","higher education","","","","","1"
"1","2005","Not Working","in school","","","","","1"
"1","2005","Not Working","inadequately","","","","","1"
"1","2005","Not Working","general elemantary","","","","","1"
"1","2005","Not Working","middle vocational","","","","","1"
"1","2005","Not Working","vocational + Abi","","","","","1"
"1","2005","Not Working","higher vocational","","","","","1"
"1","2005","Not Working","higher education","","","","","1"
"1","2005","Full Time","higher education","","","","","1"
"1","2005","Part Time","in school","","","","","1"
"1","2005","Part Time","inadequately","","","","","1"
"10 Very willing to take risks","2005","Part Time","middle vocational","","","","","10"
"10 Very willing to take risks","2005","Part Time","general elemantary","","","","","10"
"10 Very willing to take risks","2005","Full Time","vocational + Abi","","","","","10"
"10 Very willing to take risks","2005","Part Time","inadequately","","","","","10"
"10 Very willing to take risks","2005","Full Time","inadequately","","","","","10"
"10 Very willing to take risks","2005","Full Time","general elemantary","","","","","10"
"10 Very willing to take risks","2005","Full Time","middle vocational","","","","","10"
"10 Very willing to take risks","2005","Full Time","higher vocational","","","","","10"
"10 Very willing to take risks","2005","Full Time","higher education","","","","","10"
"10 Very willing to take risks","2005","Part Time","in school","","","","","10"
"10 Very willing to take risks","2005","Full Time","in school","","","","","10"
"10 Very willing to take risks","2005","Not Working","general elemantary","","","","","10"
"10 Very willing to take risks","2005","Not Working","middle vocational","","","","","10"
"10 Very willing to take risks","2005","Not Working","vocational + Abi","","","","","10"
"10 Very willing to take risks","2005","Not Working","higher vocational","","","","","10"
"10 Very willing to take risks","2005","Not Working","higher education","","","","","10"
"10 Very willing to take risks","2005","Part Time","vocational + Abi","","","","","10"
"10 Very willing to take risks","2005","Part Time","higher vocational","","","","","10"
"10 Very willing to take risks","2005","Part Time","higher education","","","","","10"
"10 Very willing to take risks","2005","Not Working","in school","","","","","10"
"10 Very willing to take risks","2005","Not Working","inadequately","","","","","10"
"2","2005","Part Time","vocational + Abi","","","","","2"
"2","2005","Part Time","higher vocational","","","","","2"
"2","2005","Part Time","higher education","","","","","2"
"2","2005","Not Working","in school","","","","","2"
"2","2005","Full Time","middle vocational","","","","","2"
"2","2005","Full Time","vocational + Abi","","","","","2"
"2","2005","Not Working","inadequately","","","","","2"
"2","2005","Not Working","general elemantary","","","","","2"
"2","2005","Full Time","higher vocational","","","","","2"
"2","2005","Full Time","higher education","","","","","2"
"2","2005","Part Time","general elemantary","","","","","2"
"2","2005","Part Time","middle vocational","","","","","2"
"2","2005","Not Working","middle vocational","","","","","2"
"2","2005","Not Working","vocational + Abi","","","","","2"
"2","2005","Not Working","higher vocational","","","","","2"
"2","2005","Full Time","in school","","","","","2"
"2","2005","Full Time","inadequately","","","","","2"
"2","2005","Full Time","general elemantary","","","","","2"
"2","2005","Part Time","in school","","","","","2"
"2","2005","Part Time","inadequately","","","","","2"
"2","2005","Not Working","higher education","","","","","2"
"3","2005","Part Time","vocational + Abi","","","","","3"
"3","2005","Part Time","inadequately","","","","","3"
"3","2005","Part Time","general elemantary","","","","","3"
"3","2005","Part Time","higher vocational","","","","","3"
"3","2005","Part Time","higher education","","","","","3"
"3","2005","Not Working","in school","","","","","3"
"3","2005","Not Working","inadequately","","","","","3"
"3","2005","Not Working","general elemantary","","","","","3"
"3","2005","Not Working","vocational + Abi","","","","","3"
"3","2005","Not Working","higher vocational","","","","","3"
"3","2005","Not Working","middle vocational","","","","","3"
"3","2005","Not Working","higher education","","","","","3"
"3","2005","Full Time","in school","","","","","3"
"3","2005","Full Time","inadequately","","","","","3"
"3","2005","Full Time","general elemantary","","","","","3"
"3","2005","Full Time","middle vocational","","","","","3"
"3","2005","Full Time","vocational + Abi","","","","","3"
"3","2005","Full Time","higher education","","","","","3"
"3","2005","Part Time","in school","","","","","3"
"3","2005","Part Time","middle vocational","","","","","3"
"3","2005","Full Time","higher vocational","","","","","3"
"4","2005","Full Time","in school","","","","","4"
"4","2005","Full Time","inadequately","","","","","4"
"4","2005","Full Time","general elemantary","","","","","4"
"4","2005","Full Time","middle vocational","","","","","4"
"4","2005","Full Time","vocational + Abi","","","","","4"
"4","2005","Part Time","vocational + Abi","","","","","4"
"4","2005","Part Time","higher vocational","","","","","4"
"4","2005","Part Time","general elemantary","","","","","4"
"4","2005","Part Time","middle vocational","","","","","4"
"4","2005","Part Time","higher education","","","","","4"
"4","2005","Not Working","in school","","","","","4"
"4","2005","Not Working","inadequately","","","","","4"
"4","2005","Not Working","general elemantary","","","","","4"
"4","2005","Not Working","middle vocational","","","","","4"
"4","2005","Part Time","in school","","","","","4"
"4","2005","Part Time","inadequately","","","","","4"
"4","2005","Not Working","higher education","","","","","4"
"4","2005","Full Time","higher vocational","","","","","4"
"4","2005","Full Time","higher education","","","","","4"
"4","2005","Not Working","higher vocational","","","","","4"
"4","2005","Not Working","vocational + Abi","","","","","4"
"5","2005","Full Time","in school","","","","","5"
"5","2005","Full Time","inadequately","","","","","5"
"5","2005","Full Time","general elemantary","","","","","5"
"5","2005","Full Time","middle vocational","","","","","5"
"5","2005","Full Time","vocational + Abi","","","","","5"
"5","2005","Full Time","higher vocational","","","","","5"
"5","2005","Full Time","higher education","","","","","5"
"5","2005","Part Time","in school","","","","","5"
"5","2005","Part Time","inadequately","","","","","5"
"5","2005","Part Time","general elemantary","","","","","5"
"5","2005","Part Time","middle vocational","","","","","5"
"5","2005","Part Time","vocational + Abi","","","","","5"
"5","2005","Part Time","higher vocational","","","","","5"
"5","2005","Part Time","higher education","","","","","5"
"5","2005","Not Working","in school","","","","","5"
"5","2005","Not Working","inadequately","","","","","5"
"5","2005","Not Working","general elemantary","","","","","5"
"5","2005","Not Working","middle vocational","","","","","5"
"5","2005","Not Working","vocational + Abi","","","","","5"
"5","2005","Not Working","higher vocational","","","","","5"
"5","2005","Not Working","higher education","","","","","5"
"6","2005","Part Time","vocational + Abi","","","","","6"
"6","2005","Part Time","higher vocational","","","","","6"
"6","2005","Part Time","higher education","","","","","6"
"6","2005","Not Working","in school","","","","","6"
"6","2005","Not Working","inadequately","","","","","6"
"6","2005","Not Working","general elemantary","","","","","6"
"6","2005","Not Working","middle vocational","","","","","6"
"6","2005","Not Working","vocational + Abi","","","","","6"
"6","2005","Not Working","higher vocational","","","","","6"
"6","2005","Not Working","higher education","","","","","6"
"6","2005","Full Time","in school","","","","","6"
"6","2005","Part Time","in school","","","","","6"
"6","2005","Part Time","inadequately","","","","","6"
"6","2005","Part Time","general elemantary","","","","","6"
"6","2005","Full Time","general elemantary","","","","","6"
"6","2005","Full Time","higher vocational","","","","","6"
"6","2005","Full Time","higher education","","","","","6"
"6","2005","Part Time","middle vocational","","","","","6"
"6","2005","Full Time","vocational + Abi","","","","","6"
"6","2005","Full Time","inadequately","","","","","6"
"6","2005","Full Time","middle vocational","","","","","6"
"7","2005","Part Time","vocational + Abi","","","","","7"
"7","2005","Full Time","vocational + Abi","","","","","7"
"7","2005","Full Time","in school","","","","","7"
"7","2005","Full Time","inadequately","","","","","7"
"7","2005","Full Time","general elemantary","","","","","7"
"7","2005","Full Time","middle vocational","","","","","7"
"7","2005","Full Time","higher vocational","","","","","7"
"7","2005","Full Time","higher education","","","","","7"
"7","2005","Part Time","in school","","","","","7"
"7","2005","Part Time","inadequately","","","","","7"
"7","2005","Not Working","middle vocational","","","","","7"
"7","2005","Part Time","general elemantary","","","","","7"
"7","2005","Part Time","middle vocational","","","","","7"
"7","2005","Part Time","higher vocational","","","","","7"
"7","2005","Part Time","higher education","","","","","7"
"7","2005","Not Working","in school","","","","","7"
"7","2005","Not Working","inadequately","","","","","7"
"7","2005","Not Working","general elemantary","","","","","7"
"7","2005","Not Working","vocational + Abi","","","","","7"
"7","2005","Not Working","higher vocational","","","","","7"
"7","2005","Not Working","higher education","","","","","7"
"8","2005","Part Time","middle vocational","","","","","8"
