"ple0081_h","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"No","2002","66 and older","vocational + Abi","86","0.865383838693471","0.798819687961775","0.931947989425167"
"No","2002","66 and older","higher vocational","221","0.89574876830201","0.857405698070132","0.934091838533888"
"No","2002","66 and older","higher education","471","0.87714248939671","0.849607323349068","0.904677655444353"
"Yes","2003","16-34 y.","in school","","","",""
"Yes","2003","16-34 y.","inadequately","","","",""
"Yes","2003","16-34 y.","general elemantary","","","",""
"Yes","2003","16-34 y.","middle vocational","","","",""
"Yes","2003","16-34 y.","vocational + Abi","","","",""
"Yes","2003","16-34 y.","higher vocational","","","",""
"Yes","2003","16-34 y.","higher education","","","",""
"Yes","2003","35-65 y.","in school","","","",""
"Yes","2003","35-65 y.","inadequately","","","",""
"Yes","2003","35-65 y.","general elemantary","","","",""
"Yes","2003","35-65 y.","middle vocational","","","",""
"Yes","2003","35-65 y.","vocational + Abi","","","",""
"Yes","2003","35-65 y.","higher vocational","","","",""
"Yes","2003","35-65 y.","higher education","","","",""
"Yes","2003","66 and older","in school","","","",""
"Yes","2003","66 and older","inadequately","","","",""
"Yes","2003","66 and older","general elemantary","","","",""
"Yes","2003","66 and older","middle vocational","","","",""
"Yes","2003","66 and older","vocational + Abi","","","",""
"Yes","2003","66 and older","higher vocational","","","",""
"Yes","2003","66 and older","higher education","","","",""
"No","2003","16-34 y.","in school","","","",""
"No","2003","16-34 y.","inadequately","","","",""
"No","2003","16-34 y.","general elemantary","","","",""
"No","2003","16-34 y.","middle vocational","","","",""
"No","2003","16-34 y.","vocational + Abi","","","",""
"No","2003","16-34 y.","higher vocational","","","",""
"No","2003","16-34 y.","higher education","","","",""
"No","2003","35-65 y.","in school","","","",""
"No","2003","35-65 y.","inadequately","","","",""
"No","2003","35-65 y.","general elemantary","","","",""
"No","2003","35-65 y.","middle vocational","","","",""
"No","2003","35-65 y.","vocational + Abi","","","",""
"No","2003","35-65 y.","higher vocational","","","",""
"No","2003","35-65 y.","higher education","","","",""
"No","2003","66 and older","in school","","","",""
"No","2003","66 and older","inadequately","","","",""
"No","2003","66 and older","general elemantary","","","",""
"No","2003","66 and older","middle vocational","","","",""
"No","2003","66 and older","vocational + Abi","","","",""
"No","2003","66 and older","higher vocational","","","",""
"No","2003","66 and older","higher education","","","",""
"Yes","2004","16-34 y.","in school","150","0.234872267859161","0.20200372098833","0.267740814729993"
"Yes","2004","16-34 y.","inadequately","34","0.621679925023676","0.497932776457465","0.745427073589887"
"Yes","2004","16-34 y.","general elemantary","428","0.475828699705579","0.443309044821836","0.508348354589323"
"Yes","2004","16-34 y.","middle vocational","1045","0.414870268504241","0.395739579206229","0.434000957802252"
"Yes","2004","16-34 y.","vocational + Abi","146","0.329422269380253","0.28590014109458","0.372944397665927"
"Yes","2004","16-34 y.","higher vocational","88","0.340928693494806","0.282748390301447","0.399108996688165"
"Yes","2004","16-34 y.","higher education","109","0.262683456093103","0.225667282227381","0.299699629958825"
"Yes","2004","35-65 y.","in school","","","",""
"Yes","2004","35-65 y.","inadequately","63","0.490064093869288","0.407551018705544","0.572577169033032"
"Yes","2004","35-65 y.","general elemantary","319","0.373905633015225","0.342417613225326","0.405393652805125"
"Yes","2004","35-65 y.","middle vocational","2307","0.376160138692537","0.364192522069304","0.38812775531577"
"Yes","2004","35-65 y.","vocational + Abi","179","0.303214432974781","0.266886972311265","0.339541893638298"
"Yes","2004","35-65 y.","higher vocational","325","0.281586547920895","0.255408651592195","0.307764444249594"
"Yes","2004","35-65 y.","higher education","683","0.249438882923317","0.234285404958916","0.264592360887718"
"Yes","2004","66 and older","in school","","","",""
"Yes","2004","66 and older","inadequately","4","","",""
"Yes","2004","66 and older","general elemantary","64","0.0831127878183545","0.0637275450154199","0.102498030621289"
"Yes","2004","66 and older","middle vocational","231","0.115922227467009","0.101828532731947","0.130015922202071"
"Yes","2004","66 and older","vocational + Abi","14","","",""
"Yes","2004","66 and older","higher vocational","21","","",""
"Yes","2004","66 and older","higher education","88","0.125839046654114","0.099878266932712","0.151799826375516"
"No","2004","16-34 y.","in school","489","0.765127732140839","0.732259185270007","0.79799627901167"
"No","2004","16-34 y.","inadequately","25","","",""
"No","2004","16-34 y.","general elemantary","478","0.524171300294421","0.491651645410677","0.556690955178164"
"No","2004","16-34 y.","middle vocational","1503","0.585129731495759","0.565999042197747","0.604260420793771"
"No","2004","16-34 y.","vocational + Abi","302","0.670577730619746","0.627055602334073","0.71409985890542"
"No","2004","16-34 y.","higher vocational","167","0.659071306505194","0.600891003311835","0.717251609698553"
"No","2004","16-34 y.","higher education","434","0.737316543906897","0.700300370041175","0.774332717772618"
"No","2004","35-65 y.","in school","","","",""
"No","2004","35-65 y.","inadequately","78","0.509935906130712","0.427422830966968","0.592448981294456"
"No","2004","35-65 y.","general elemantary","588","0.626094366984774","0.594606347194875","0.657582386774674"
"No","2004","35-65 y.","middle vocational","3987","0.623839861307463","0.61187224468423","0.635807477930696"
"No","2004","35-65 y.","vocational + Abi","436","0.696785567025219","0.660458106361702","0.733113027688735"
"No","2004","35-65 y.","higher vocational","809","0.718413452079105","0.692235555750406","0.744591348407805"
"No","2004","35-65 y.","higher education","2449","0.750561117076683","0.735407639112282","0.765714595041084"
"No","2004","66 and older","in school","","","",""
"No","2004","66 and older","inadequately","50","0.942288543712914","0.880090864042319","1.00448622338351"
"No","2004","66 and older","general elemantary","715","0.916887212181645","0.897501969378711","0.93627245498458"
"No","2004","66 and older","middle vocational","1751","0.884077772532991","0.869984077797929","0.898171467268053"
"No","2004","66 and older","vocational + Abi","86","0.905319551013164","0.84793708672487","0.962702015301459"
"No","2004","66 and older","higher vocational","236","0.906575772741384","0.870995166713828","0.94215637876894"
"No","2004","66 and older","higher education","539","0.874160953345886","0.848200173624484","0.900121733067288"
"Yes","2005","16-34 y.","in school","","","",""
"Yes","2005","16-34 y.","inadequately","","","",""
"Yes","2005","16-34 y.","general elemantary","","","",""
"Yes","2005","16-34 y.","middle vocational","","","",""
"Yes","2005","16-34 y.","vocational + Abi","","","",""
"Yes","2005","16-34 y.","higher vocational","","","",""
"Yes","2005","16-34 y.","higher education","","","",""
"Yes","2005","35-65 y.","in school","","","",""
"Yes","2005","35-65 y.","inadequately","","","",""
"Yes","2005","35-65 y.","general elemantary","","","",""
"Yes","2005","35-65 y.","middle vocational","","","",""
"Yes","2005","35-65 y.","vocational + Abi","","","",""
"Yes","2005","35-65 y.","higher vocational","","","",""
"Yes","2005","35-65 y.","higher education","","","",""
"Yes","2005","66 and older","in school","","","",""
"Yes","2005","66 and older","inadequately","","","",""
"Yes","2005","66 and older","general elemantary","","","",""
"Yes","2005","66 and older","middle vocational","","","",""
"Yes","2005","66 and older","vocational + Abi","","","",""
"Yes","2005","66 and older","higher vocational","","","",""
"Yes","2005","66 and older","higher education","","","",""
"No","2005","16-34 y.","in school","","","",""
"No","2005","16-34 y.","inadequately","","","",""
"No","2005","16-34 y.","general elemantary","","","",""
"No","2005","16-34 y.","middle vocational","","","",""
"No","2005","16-34 y.","vocational + Abi","","","",""
"No","2005","16-34 y.","higher vocational","","","",""
"No","2005","16-34 y.","higher education","","","",""
"No","2005","35-65 y.","in school","","","",""
"No","2005","35-65 y.","inadequately","","","",""
"No","2005","35-65 y.","general elemantary","","","",""
"No","2005","35-65 y.","middle vocational","","","",""
"No","2005","35-65 y.","vocational + Abi","","","",""
"No","2005","35-65 y.","higher vocational","","","",""
"No","2005","35-65 y.","higher education","","","",""
"No","2005","66 and older","in school","","","",""
"No","2005","66 and older","inadequately","","","",""
"No","2005","66 and older","general elemantary","","","",""
"No","2005","66 and older","middle vocational","","","",""
"No","2005","66 and older","vocational + Abi","","","",""
"No","2005","66 and older","higher vocational","","","",""
"No","2005","66 and older","higher education","","","",""
"Yes","2006","16-34 y.","in school","85","0.237043595901356","0.194782839588082","0.279304352214631"
"Yes","2006","16-34 y.","inadequately","34","0.632585457388043","0.509569951184533","0.755600963591554"
"Yes","2006","16-34 y.","general elemantary","407","0.525752714899565","0.49108604548465","0.560419384314479"
"Yes","2006","16-34 y.","middle vocational","957","0.407765958694851","0.38806848769044","0.427463429699263"
"Yes","2006","16-34 y.","vocational + Abi","143","0.312570381869491","0.269884228382651","0.355256535356331"
"Yes","2006","16-34 y.","higher vocational","60","0.306593333206129","0.240858956564942","0.372327709847315"
"Yes","2006","16-34 y.","higher education","114","0.234082570038318","0.199382880305822","0.268782259770815"
"Yes","2006","35-65 y.","in school","2","","",""
"Yes","2006","35-65 y.","inadequately","59","0.523742184493248","0.436880936273877","0.610603432712618"
"Yes","2006","35-65 y.","general elemantary","333","0.410675973002705","0.377777311380995","0.443574634624415"
"Yes","2006","35-65 y.","middle vocational","2306","0.37704011890077","0.365163748418434","0.388916489383106"
"Yes","2006","35-65 y.","vocational + Abi","190","0.30777312222571","0.272397931419141","0.343148313032279"
"Yes","2006","35-65 y.","higher vocational","321","0.302985188065981","0.27648256856658","0.329487807565382"
"Yes","2006","35-65 y.","higher education","672","0.241833203608987","0.227018138058414","0.256648269159559"
"Yes","2006","66 and older","in school","","","",""
"Yes","2006","66 and older","inadequately","8","","",""
"Yes","2006","66 and older","general elemantary","69","0.0687555277581651","0.0516843874580153","0.0858266680583148"
"Yes","2006","66 and older","middle vocational","277","0.126144779403548","0.112686788792194","0.139602770014902"
"Yes","2006","66 and older","vocational + Abi","12","","",""
"Yes","2006","66 and older","higher vocational","24","","",""
"Yes","2006","66 and older","higher education","97","0.10696500172651","0.085627888538555","0.128302114914466"
"No","2006","16-34 y.","in school","304","0.762956404098644","0.720695647785369","0.805217160411918"
"No","2006","16-34 y.","inadequately","25","","",""
"No","2006","16-34 y.","general elemantary","390","0.474247285100435","0.439580615685521","0.50891395451535"
"No","2006","16-34 y.","middle vocational","1434","0.592234041305149","0.572536570300737","0.61193151230956"
"No","2006","16-34 y.","vocational + Abi","310","0.687429618130509","0.644743464643669","0.730115771617349"
"No","2006","16-34 y.","higher vocational","129","0.693406666793871","0.627672290152685","0.759141043435058"
"No","2006","16-34 y.","higher education","458","0.765917429961682","0.731217740229185","0.800617119694178"
"No","2006","35-65 y.","in school","2","","",""
"No","2006","35-65 y.","inadequately","68","0.476257815506752","0.389396567287382","0.563119063726123"
"No","2006","35-65 y.","general elemantary","526","0.589324026997295","0.556425365375585","0.622222688619006"
"No","2006","35-65 y.","middle vocational","4091","0.62295988109923","0.611083510616894","0.634836251581566"
"No","2006","35-65 y.","vocational + Abi","464","0.69222687777429","0.656851686967721","0.727602068580859"
"No","2006","35-65 y.","higher vocational","834","0.697014811934019","0.670512192434618","0.723517431433421"
"No","2006","35-65 y.","higher education","2537","0.758166796391013","0.743351730840441","0.772981861941586"
"No","2006","66 and older","in school","4","","",""
"No","2006","66 and older","inadequately","48","0.852705274067275","0.759884080112509","0.945526468022042"
"No","2006","66 and older","general elemantary","775","0.931244472241835","0.914173331941685","0.948315612541985"
"No","2006","66 and older","middle vocational","2061","0.873855220596452","0.860397229985098","0.887313211207806"
"No","2006","66 and older","vocational + Abi","100","0.880767267011723","0.820751216533182","0.940783317490265"
"No","2006","66 and older","higher vocational","290","0.912993550880222","0.881819528399572","0.944167573360872"
"No","2006","66 and older","higher education","709","0.89303499827349","0.871697885085534","0.914372111461445"
"Yes","2007","16-34 y.","in school","","","",""
"Yes","2007","16-34 y.","inadequately","","","",""
"Yes","2007","16-34 y.","general elemantary","","","",""
"Yes","2007","16-34 y.","middle vocational","","","",""
"Yes","2007","16-34 y.","vocational + Abi","","","",""
"Yes","2007","16-34 y.","higher vocational","","","",""
"Yes","2007","16-34 y.","higher education","","","",""
"Yes","2007","35-65 y.","in school","","","",""
"Yes","2007","35-65 y.","inadequately","","","",""
"Yes","2007","35-65 y.","general elemantary","","","",""
"Yes","2007","35-65 y.","middle vocational","","","",""
"Yes","2007","35-65 y.","vocational + Abi","","","",""
"Yes","2007","35-65 y.","higher vocational","","","",""
"Yes","2007","35-65 y.","higher education","","","",""
"Yes","2007","66 and older","in school","","","",""
"Yes","2007","66 and older","inadequately","","","",""
"Yes","2007","66 and older","general elemantary","","","",""
"Yes","2007","66 and older","middle vocational","","","",""
"Yes","2007","66 and older","vocational + Abi","","","",""
"Yes","2007","66 and older","higher vocational","","","",""
"Yes","2007","66 and older","higher education","","","",""
"No","2007","16-34 y.","in school","","","",""
"No","2007","16-34 y.","inadequately","","","",""
"No","2007","16-34 y.","general elemantary","","","",""
"No","2007","16-34 y.","middle vocational","","","",""
"No","2007","16-34 y.","vocational + Abi","","","",""
"No","2007","16-34 y.","higher vocational","","","",""
"No","2007","16-34 y.","higher education","","","",""
"No","2007","35-65 y.","in school","","","",""
"No","2007","35-65 y.","inadequately","","","",""
"No","2007","35-65 y.","general elemantary","","","",""
"No","2007","35-65 y.","middle vocational","","","",""
"No","2007","35-65 y.","vocational + Abi","","","",""
"No","2007","35-65 y.","higher vocational","","","",""
"No","2007","35-65 y.","higher education","","","",""
"No","2007","66 and older","in school","","","",""
"No","2007","66 and older","inadequately","","","",""
"No","2007","66 and older","general elemantary","","","",""
"No","2007","66 and older","middle vocational","","","",""
"No","2007","66 and older","vocational + Abi","","","",""
"No","2007","66 and older","higher vocational","","","",""
"No","2007","66 and older","higher education","","","",""
"Yes","2008","16-34 y.","in school","56","0.181303725474219","0.141169837770325","0.221437613178114"
"Yes","2008","16-34 y.","inadequately","30","0.5338801688949","0.394204507727805","0.673555830061995"
"Yes","2008","16-34 y.","general elemantary","284","0.458928287899546","0.41973586438479","0.498120711414301"
"Yes","2008","16-34 y.","middle vocational","743","0.388029473685054","0.366656907579744","0.409402039790364"
"Yes","2008","16-34 y.","vocational + Abi","131","0.37875211925707","0.329656532696034","0.427847705818106"
"Yes","2008","16-34 y.","higher vocational","35","0.317557888476208","0.236273492984067","0.398842283968349"
"Yes","2008","16-34 y.","higher education","110","0.188859028406221","0.155537324490246","0.222180732322196"
"Yes","2008","35-65 y.","in school","","","",""
"Yes","2008","35-65 y.","inadequately","45","0.544164883735237","0.44401385053872","0.644315916931753"
"Yes","2008","35-65 y.","general elemantary","248","0.385606151435296","0.348859857143605","0.422352445726987"
"Yes","2008","35-65 y.","middle vocational","1959","0.367182642970149","0.35445948342391","0.379905802516387"
"Yes","2008","35-65 y.","vocational + Abi","158","0.271895919085333","0.236673763511035","0.307118074659631"
"Yes","2008","35-65 y.","higher vocational","266","0.285954121259593","0.25761984997851","0.314288392540676"
"Yes","2008","35-65 y.","higher education","545","0.21799418876251","0.202692854369691","0.23329552315533"
"Yes","2008","66 and older","in school","","","",""
"Yes","2008","66 and older","inadequately","5","","",""
"Yes","2008","66 and older","general elemantary","65","0.0910096810564236","0.0702444019801066","0.111774960132741"
"Yes","2008","66 and older","middle vocational","276","0.125054273049571","0.111422836827527","0.138685709271614"
"Yes","2008","66 and older","vocational + Abi","10","","",""
"Yes","2008","66 and older","higher vocational","31","0.102587762211918","0.0691865497505771","0.135988974673259"
"Yes","2008","66 and older","higher education","95","0.0957223287268362","0.0762616329073325","0.11518302454634"
"No","2008","16-34 y.","in school","298","0.818696274525781","0.778562386821886","0.858830162229675"
"No","2008","16-34 y.","inadequately","19","","",""
"No","2008","16-34 y.","general elemantary","337","0.541071712100454","0.501879288585699","0.58026413561521"
"No","2008","16-34 y.","middle vocational","1254","0.611970526314946","0.590597960209636","0.633343092420256"
"No","2008","16-34 y.","vocational + Abi","244","0.62124788074293","0.572152294181895","0.670343467303966"
"No","2008","16-34 y.","higher vocational","91","0.682442111523792","0.601157716031651","0.763726507015933"
"No","2008","16-34 y.","higher education","420","0.811140971593779","0.777819267677804","0.844462675509755"
"No","2008","35-65 y.","in school","","","",""
"No","2008","35-65 y.","inadequately","50","0.455835116264763","0.355684083068247","0.55598614946128"
"No","2008","35-65 y.","general elemantary","426","0.614393848564704","0.577647554273013","0.651140142856394"
"No","2008","35-65 y.","middle vocational","3555","0.632817357029851","0.620094197483612","0.64554051657609"
"No","2008","35-65 y.","vocational + Abi","455","0.728104080914667","0.69288192534037","0.763326236488965"
"No","2008","35-65 y.","higher vocational","711","0.714045878740407","0.685711607459324","0.74238015002149"
"No","2008","35-65 y.","higher education","2252","0.78200581123749","0.76670447684467","0.797307145630309"
"No","2008","66 and older","in school","","","",""
"No","2008","66 and older","inadequately","38","0.891030010911375","0.797894889972951","0.984165131849798"
"No","2008","66 and older","general elemantary","672","0.908990318943576","0.888225039867259","0.929755598019893"
"No","2008","66 and older","middle vocational","1986","0.874945726950429","0.861314290728386","0.888577163172473"
"No","2008","66 and older","vocational + Abi","100","0.900656219658439","0.844757531513074","0.956554907803804"
"No","2008","66 and older","higher vocational","286","0.897412237788082","0.864011025326741","0.930813450249423"
"No","2008","66 and older","higher education","783","0.904277671273164","0.88481697545366","0.923738367092668"
"Yes","2009","16-34 y.","in school","","","",""
"Yes","2009","16-34 y.","inadequately","","","",""
"Yes","2009","16-34 y.","general elemantary","","","",""
"Yes","2009","16-34 y.","middle vocational","","","",""
"Yes","2009","16-34 y.","vocational + Abi","","","",""
"Yes","2009","16-34 y.","higher vocational","","","",""
"Yes","2009","16-34 y.","higher education","","","",""
"Yes","2009","35-65 y.","in school","","","",""
"Yes","2009","35-65 y.","inadequately","","","",""
"Yes","2009","35-65 y.","general elemantary","","","",""
"Yes","2009","35-65 y.","middle vocational","","","",""
"Yes","2009","35-65 y.","vocational + Abi","","","",""
"Yes","2009","35-65 y.","higher vocational","","","",""
"Yes","2009","35-65 y.","higher education","","","",""
"Yes","2009","66 and older","in school","","","",""
"Yes","2009","66 and older","inadequately","","","",""
"Yes","2009","66 and older","general elemantary","","","",""
"Yes","2009","66 and older","middle vocational","","","",""
"Yes","2009","66 and older","vocational + Abi","","","",""
"Yes","2009","66 and older","higher vocational","","","",""
"Yes","2009","66 and older","higher education","","","",""
"No","2009","16-34 y.","in school","","","",""
"No","2009","16-34 y.","inadequately","","","",""
"No","2009","16-34 y.","general elemantary","","","",""
"No","2009","16-34 y.","middle vocational","","","",""
"No","2009","16-34 y.","vocational + Abi","","","",""
"No","2009","16-34 y.","higher vocational","","","",""
"No","2009","16-34 y.","higher education","","","",""
"No","2009","35-65 y.","in school","","","",""
"No","2009","35-65 y.","inadequately","","","",""
"No","2009","35-65 y.","general elemantary","","","",""
"No","2009","35-65 y.","middle vocational","","","",""
"No","2009","35-65 y.","vocational + Abi","","","",""
"No","2009","35-65 y.","higher vocational","","","",""
"No","2009","35-65 y.","higher education","","","",""
"No","2009","66 and older","in school","","","",""
"No","2009","66 and older","inadequately","","","",""
"No","2009","66 and older","general elemantary","","","",""
"No","2009","66 and older","middle vocational","","","",""
"No","2009","66 and older","vocational + Abi","","","",""
"No","2009","66 and older","higher vocational","","","",""
"No","2009","66 and older","higher education","","","",""
"Yes","2010","16-34 y.","in school","33","0.147588927518773","0.105437230042138","0.189740624995407"
"Yes","2010","16-34 y.","inadequately","20","","",""
"Yes","2010","16-34 y.","general elemantary","205","0.458121995976779","0.413268091532356","0.502975900421203"
"Yes","2010","16-34 y.","middle vocational","580","0.349719637510214","0.326374756793256","0.373064518227171"
"Yes","2010","16-34 y.","vocational + Abi","100","0.363515908755457","0.309796871557824","0.41723494595309"
"Yes","2010","16-34 y.","higher vocational","34","0.344449459736361","0.253558793832975","0.435340125639748"
"Yes","2010","16-34 y.","higher education","104","0.201079827461916","0.166597199412551","0.235562455511281"
"Yes","2010","35-65 y.","in school","","","",""
"Yes","2010","35-65 y.","inadequately","35","0.503819740677761","0.389124871109806","0.618514610245717"
"Yes","2010","35-65 y.","general elemantary","216","0.390251093470792","0.349334511315959","0.431167675625624"
"Yes","2010","35-65 y.","middle vocational","1674","0.3734422699769","0.359533114183328","0.387351425770472"
"Yes","2010","35-65 y.","vocational + Abi","127","0.271158449642257","0.23373217670263","0.308584722581884"
"Yes","2010","35-65 y.","higher vocational","231","0.292249805937446","0.261439041308757","0.323060570566134"
"Yes","2010","35-65 y.","higher education","460","0.213678317887962","0.197343642419524","0.230012993356401"
"Yes","2010","66 and older","in school","","","",""
"Yes","2010","66 and older","inadequately","4","","",""
"Yes","2010","66 and older","general elemantary","41","0.0729367109966646","0.0523687289296108","0.0935046930637184"
"Yes","2010","66 and older","middle vocational","255","0.12270421061439","0.108627874709489","0.13678054651929"
"Yes","2010","66 and older","vocational + Abi","12","","",""
"Yes","2010","66 and older","higher vocational","26","","",""
"Yes","2010","66 and older","higher education","97","0.0931197082979391","0.0741552427668818","0.112084173828996"
"No","2010","16-34 y.","in school","239","0.852411072481227","0.810259375004593","0.894562769957862"
"No","2010","16-34 y.","inadequately","11","","",""
"No","2010","16-34 y.","general elemantary","269","0.541878004023221","0.497024099578797","0.586731908467644"
"No","2010","16-34 y.","middle vocational","1023","0.650280362489786","0.626935481772829","0.673625243206744"
"No","2010","16-34 y.","vocational + Abi","208","0.636484091244543","0.582765054046909","0.690203128442176"
"No","2010","16-34 y.","higher vocational","71","0.655550540263639","0.564659874360252","0.746441206167025"
"No","2010","16-34 y.","higher education","415","0.798920172538084","0.764437544488719","0.833402800587449"
"No","2010","35-65 y.","in school","","","",""
"No","2010","35-65 y.","inadequately","38","0.496180259322239","0.381485389754283","0.610875128890194"
"No","2010","35-65 y.","general elemantary","330","0.609748906529208","0.568832324374376","0.650665488684041"
"No","2010","35-65 y.","middle vocational","2972","0.6265577300231","0.612648574229528","0.640466885816672"
"No","2010","35-65 y.","vocational + Abi","415","0.728841550357743","0.691415277418116","0.76626782329737"
"No","2010","35-65 y.","higher vocational","606","0.707750194062554","0.676939429433866","0.738560958691243"
"No","2010","35-65 y.","higher education","1959","0.786321682112038","0.769987006643599","0.802656357580476"
"No","2010","66 and older","in school","","","",""
"No","2010","66 and older","inadequately","33","0.863739544427846","0.753198503737696","0.974280585117996"
"No","2010","66 and older","general elemantary","573","0.927063289003335","0.906495306936282","0.947631271070389"
"No","2010","66 and older","middle vocational","1832","0.87729578938561","0.86321945348071","0.891372125290511"
"No","2010","66 and older","vocational + Abi","84","0.896813380868419","0.835961331931189","0.957665429805648"
"No","2010","66 and older","higher vocational","292","0.902609120424172","0.870022183959075","0.93519605688927"
"No","2010","66 and older","higher education","805","0.906880291702061","0.887915826171004","0.925844757233118"
"Yes","2011","16-34 y.","in school","","","",""
"Yes","2011","16-34 y.","inadequately","","","",""
"Yes","2011","16-34 y.","general elemantary","","","",""
"Yes","2011","16-34 y.","middle vocational","","","",""
"Yes","2011","16-34 y.","vocational + Abi","","","",""
"Yes","2011","16-34 y.","higher vocational","","","",""
"Yes","2011","16-34 y.","higher education","","","",""
"Yes","2011","35-65 y.","in school","","","",""
"Yes","2011","35-65 y.","inadequately","","","",""
"Yes","2011","35-65 y.","general elemantary","","","",""
"Yes","2011","35-65 y.","middle vocational","","","",""
"Yes","2011","35-65 y.","vocational + Abi","","","",""
"Yes","2011","35-65 y.","higher vocational","","","",""
"Yes","2011","35-65 y.","higher education","","","",""
"Yes","2011","66 and older","in school","","","",""
"Yes","2011","66 and older","inadequately","","","",""
"Yes","2011","66 and older","general elemantary","","","",""
"Yes","2011","66 and older","middle vocational","","","",""
"Yes","2011","66 and older","vocational + Abi","","","",""
"Yes","2011","66 and older","higher vocational","","","",""
"Yes","2011","66 and older","higher education","","","",""
"No","2011","16-34 y.","in school","","","",""
"No","2011","16-34 y.","inadequately","","","",""
"No","2011","16-34 y.","general elemantary","","","",""
"No","2011","16-34 y.","middle vocational","","","",""
"No","2011","16-34 y.","vocational + Abi","","","",""
"No","2011","16-34 y.","higher vocational","","","",""
"No","2011","16-34 y.","higher education","","","",""
"No","2011","35-65 y.","in school","","","",""
"No","2011","35-65 y.","inadequately","","","",""
"No","2011","35-65 y.","general elemantary","","","",""
"No","2011","35-65 y.","middle vocational","","","",""
"No","2011","35-65 y.","vocational + Abi","","","",""
"No","2011","35-65 y.","higher vocational","","","",""
"No","2011","35-65 y.","higher education","","","",""
"No","2011","66 and older","in school","","","",""
"No","2011","66 and older","inadequately","","","",""
"No","2011","66 and older","general elemantary","","","",""
"No","2011","66 and older","middle vocational","","","",""
"No","2011","66 and older","vocational + Abi","","","",""
"No","2011","66 and older","higher vocational","","","",""
"No","2011","66 and older","higher education","","","",""
"Yes","2012","16-34 y.","in school","45","0.169090095102777","0.125419317457315","0.212760872748239"
"Yes","2012","16-34 y.","inadequately","32","0.599353011850465","0.471008777143353","0.727697246557577"
