"ple0081_h","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2008","general elemantary","597","0.298340159563599","0.278446924782636","0.318233394344561"
"Yes","2008","middle vocational","2978","0.313739262782432","0.304539785448095","0.322938740116769"
"Yes","2008","vocational + Abi","299","0.283347536767485","0.256693625923199","0.310001447611772"
"Yes","2008","higher vocational","332","0.243937085084694","0.221600241555778","0.266273928613609"
"Yes","2008","higher education","750","0.186848938827836","0.175067562591041","0.198630315064631"
"No","2008","in school","298","0.818696274525781","0.778562386821886","0.858830162229675"
"No","2008","inadequately","107","0.549938533414865","0.478633485039848","0.621243581789882"
"No","2008","general elemantary","1435","0.701659840436401","0.681766605655439","0.721553075217364"
"No","2008","middle vocational","6795","0.686260737217568","0.677061259883231","0.695460214551905"
"No","2008","vocational + Abi","799","0.716652463232515","0.689998552388228","0.743306374076801"
"No","2008","higher vocational","1088","0.756062914915306","0.733726071386391","0.778399758444222"
"No","2008","higher education","3455","0.813151061172164","0.801369684935369","0.824932437408959"
"Yes","2009","in school","","","",""
"Yes","2009","inadequately","","","",""
"Yes","2009","general elemantary","","","",""
"Yes","2009","middle vocational","","","",""
"Yes","2009","vocational + Abi","","","",""
"Yes","2009","higher vocational","","","",""
"Yes","2009","higher education","","","",""
"No","2009","in school","","","",""
"No","2009","inadequately","","","",""
"No","2009","general elemantary","","","",""
"No","2009","middle vocational","","","",""
"No","2009","vocational + Abi","","","",""
"No","2009","higher vocational","","","",""
"No","2009","higher education","","","",""
"Yes","2010","in school","33","0.147588927518773","0.105437230042138","0.189740624995407"
"Yes","2010","inadequately","59","0.458617291818604","0.376371073628732","0.540863510008476"
"Yes","2010","general elemantary","462","0.282413990692146","0.260586583508977","0.304241397875314"
"Yes","2010","middle vocational","2509","0.300327289459496","0.290486858833263","0.310167720085729"
"Yes","2010","vocational + Abi","239","0.273371469315953","0.244970357646273","0.301772580985634"
"Yes","2010","higher vocational","291","0.242445625511518","0.218782238866801","0.266109012156235"
"Yes","2010","higher education","661","0.182472601691464","0.170256504786084","0.194688698596844"
"No","2010","in school","239","0.852411072481227","0.810259375004593","0.894562769957862"
"No","2010","inadequately","82","0.541382708181396","0.459136489991524","0.623628926371268"
"No","2010","general elemantary","1172","0.717586009307855","0.695758602124686","0.739413416491023"
"No","2010","middle vocational","5827","0.699672710540504","0.689832279914271","0.709513141166737"
"No","2010","vocational + Abi","707","0.726628530684047","0.698227419014366","0.755029642353727"
"No","2010","higher vocational","969","0.757554374488482","0.733890987843765","0.781217761133199"
"No","2010","higher education","3179","0.817527398308536","0.805311301403156","0.829743495213916"
"Yes","2011","in school","","","",""
"Yes","2011","inadequately","","","",""
"Yes","2011","general elemantary","","","",""
"Yes","2011","middle vocational","","","",""
"Yes","2011","vocational + Abi","","","",""
"Yes","2011","higher vocational","","","",""
"Yes","2011","higher education","","","",""
"No","2011","in school","","","",""
"No","2011","inadequately","","","",""
"No","2011","general elemantary","","","",""
"No","2011","middle vocational","","","",""
"No","2011","vocational + Abi","","","",""
"No","2011","higher vocational","","","",""
"No","2011","higher education","","","",""
"Yes","2012","in school","45","0.169090095102777","0.125419317457315","0.212760872748239"
"Yes","2012","inadequately","102","0.440265498064438","0.376249213251015","0.504281782877861"
"Yes","2012","general elemantary","617","0.283234286699733","0.264045538803189","0.302423034596277"
"Yes","2012","middle vocational","3014","0.296660225660662","0.287839596403233","0.305480854918091"
"Yes","2012","vocational + Abi","303","0.262719752456224","0.237921671788431","0.287517833124017"
"Yes","2012","higher vocational","343","0.235236010630068","0.213329033100876","0.257142988159261"
"Yes","2012","higher education","762","0.173201931479166","0.162322877705351","0.18408098525298"
"No","2012","in school","238","0.830909904897223","0.787239127251761","0.874580682542685"
"No","2012","inadequately","129","0.559734501935562","0.495718217122139","0.623750786748985"
"No","2012","general elemantary","1501","0.716765713300267","0.697576965403723","0.735954461196811"
"No","2012","middle vocational","7288","0.703339774339338","0.694519145081909","0.712160403596767"
"No","2012","vocational + Abi","907","0.737280247543776","0.712482166875983","0.762078328211569"
"No","2012","higher vocational","1097","0.764763989369932","0.742857011840739","0.786670966899124"
"No","2012","higher education","3886","0.826798068520834","0.81591901474702","0.837677122294649"
"Yes","2013","in school","","","",""
"Yes","2013","inadequately","","","",""
"Yes","2013","general elemantary","","","",""
"Yes","2013","middle vocational","","","",""
"Yes","2013","vocational + Abi","","","",""
"Yes","2013","higher vocational","","","",""
"Yes","2013","higher education","","","",""
"No","2013","in school","","","",""
"No","2013","inadequately","","","",""
"No","2013","general elemantary","","","",""
"No","2013","middle vocational","","","",""
"No","2013","vocational + Abi","","","",""
"No","2013","higher vocational","","","",""
"No","2013","higher education","","","",""
"Yes","2014","in school","64","0.158778684985776","0.124974057456509","0.192583312515043"
"Yes","2014","inadequately","249","0.478317078180082","0.434792548574192","0.521841607785972"
"Yes","2014","general elemantary","1174","0.33638683960139","0.31979760457951","0.352976074623269"
"Yes","2014","middle vocational","3882","0.295736150635236","0.287761839868767","0.303710461401704"
"Yes","2014","vocational + Abi","558","0.27433310013859","0.255032919270465","0.293633281006715"
"Yes","2014","higher vocational","330","0.210618096224545","0.190620073503824","0.230616118945266"
"Yes","2014","higher education","981","0.168080812618193","0.158799070409565","0.177362554826822"
"No","2014","in school","385","0.841221315014224","0.807416687484957","0.875025942543491"
"No","2014","inadequately","257","0.521682921819918","0.478158392214028","0.565207451425808"
"No","2014","general elemantary","1942","0.66361316039861","0.647023925376731","0.68020239542049"
"No","2014","middle vocational","8700","0.704263849364764","0.696289538598296","0.712238160131233"
"No","2014","vocational + Abi","1495","0.72566689986141","0.706366718993285","0.744967080729535"
"No","2014","higher vocational","1267","0.789381903775455","0.769383881054734","0.809379926496176"
"No","2014","higher education","5254","0.831919187381807","0.822637445173178","0.841200929590435"
"Yes","2015","in school","","","",""
"Yes","2015","inadequately","","","",""
"Yes","2015","general elemantary","","","",""
"Yes","2015","middle vocational","","","",""
"Yes","2015","vocational + Abi","","","",""
"Yes","2015","higher vocational","","","",""
"Yes","2015","higher education","","","",""
"No","2015","in school","","","",""
"No","2015","inadequately","","","",""
"No","2015","general elemantary","","","",""
"No","2015","middle vocational","","","",""
"No","2015","vocational + Abi","","","",""
"No","2015","higher vocational","","","",""
"No","2015","higher education","","","",""
"Yes","2016","in school","43","0.156649900855943","0.117669718189341","0.195630083522545"
"Yes","2016","inadequately","187","0.426687642472802","0.378338837014788","0.475036447930816"
"Yes","2016","general elemantary","950","0.326126540971362","0.308016223325437","0.344236858617287"
"Yes","2016","middle vocational","3276","0.281168268270777","0.272773794429697","0.289562742111857"
"Yes","2016","vocational + Abi","554","0.261571274329728","0.242419921159951","0.280722627499505"
"Yes","2016","higher vocational","281","0.206040233994695","0.184928991250585","0.227151476738805"
"Yes","2016","higher education","858","0.164452872157112","0.154997445650936","0.173908298663288"
"No","2016","in school","291","0.843350099144057","0.804369916477455","0.882330281810659"
"No","2016","inadequately","215","0.573312357527198","0.524963552069184","0.621661162985212"
"No","2016","general elemantary","1624","0.673873459028638","0.655763141382713","0.691983776674563"
"No","2016","middle vocational","7742","0.718831731729223","0.710437257888143","0.727226205570303"
"No","2016","vocational + Abi","1469","0.738428725670272","0.719277372500495","0.757580078840049"
"No","2016","higher vocational","1129","0.793959766005305","0.772848523261195","0.815071008749415"
"No","2016","higher education","5046","0.835547127842888","0.826091701336713","0.845002554349064"
"Yes","2017","in school","","","",""
"Yes","2017","inadequately","","","",""
"Yes","2017","general elemantary","","","",""
"Yes","2017","middle vocational","","","",""
"Yes","2017","vocational + Abi","","","",""
"Yes","2017","higher vocational","","","",""
"Yes","2017","higher education","","","",""
"No","2017","in school","","","",""
"No","2017","inadequately","","","",""
"No","2017","general elemantary","","","",""
"No","2017","middle vocational","","","",""
"No","2017","vocational + Abi","","","",""
"No","2017","higher vocational","","","",""
"No","2017","higher education","","","",""
"Yes","2018","in school","33","0.0812864698691356","0.05202306369362","0.110549876044651"
"Yes","2018","inadequately","229","0.454310145291002","0.409533614348246","0.499086676233758"
"Yes","2018","general elemantary","1002","0.33359781664794","0.315693374828102","0.351502258467778"
"Yes","2018","middle vocational","3314","0.275263895275119","0.267096015157501","0.283431775392737"
"Yes","2018","vocational + Abi","548","0.261466949219351","0.242730309321991","0.28020358911671"
"Yes","2018","higher vocational","279","0.206681415455632","0.185825063942345","0.227537766968919"
"Yes","2018","higher education","884","0.152217490855478","0.143357446030312","0.161077535680644"
"No","2018","in school","302","0.918713530130864","0.889450123955349","0.94797693630638"
"No","2018","inadequately","246","0.545689854708998","0.500913323766242","0.590466385651754"
"No","2018","general elemantary","1662","0.66640218335206","0.648497741532222","0.684306625171898"
"No","2018","middle vocational","8173","0.724736104724881","0.716568224607263","0.732903984842499"
"No","2018","vocational + Abi","1565","0.738533050780649","0.71979641088329","0.757269690678008"
"No","2018","higher vocational","1169","0.793318584544368","0.772462233031081","0.814174936057655"
"No","2018","higher education","5431","0.847782509144522","0.838922464319356","0.856642553969687"
