"ple0081_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","2007","(Married) couple without C. ","","","",""
"No","2007","Single parent ","","","",""
"No","2007","Couple + C. LE 16 ","","","",""
"No","2007","Couple + C. GT 16 ","","","",""
"No","2007","Couple + C. LE and GT 16","","","",""
"Yes","2008","1-pers.-HH","915","0.311011980718195","0.294586375452621","0.32743758598377"
"Yes","2008","(Married) couple without C. ","1549","0.221887861156316","0.212207058648765","0.231568663663866"
"Yes","2008","Single parent ","472","0.448367258712416","0.418802435782535","0.477932081642296"
"Yes","2008","Couple + C. LE 16 ","921","0.301422054415151","0.285560251460657","0.317283857369644"
"Yes","2008","Couple + C. GT 16 ","924","0.295164984165","0.279756241986044","0.310573726343956"
"Yes","2008","Couple + C. LE and GT 16","319","0.269646344317133","0.24469328355372","0.294599405080546"
"No","2008","1-pers.-HH","2136","0.688988019281805","0.67256241401623","0.705413624547379"
"No","2008","(Married) couple without C. ","5528","0.778112138843685","0.768431336336134","0.787792941351236"
"No","2008","Single parent ","615","0.551632741287584","0.522067918357704","0.581197564217465"
"No","2008","Couple + C. LE 16 ","2294","0.698577945584849","0.682716142630356","0.714439748539343"
"No","2008","Couple + C. GT 16 ","2442","0.704835015835","0.689426273656044","0.720243758013955"
"No","2008","Couple + C. LE and GT 16","896","0.730353655682867","0.705400594919454","0.75530671644628"
"Yes","2009","1-pers.-HH","","","",""
"Yes","2009","(Married) couple without C. ","","","",""
"Yes","2009","Single parent ","","","",""
"Yes","2009","Couple + C. LE 16 ","","","",""
"Yes","2009","Couple + C. GT 16 ","","","",""
"Yes","2009","Couple + C. LE and GT 16","","","",""
"No","2009","1-pers.-HH","","","",""
"No","2009","(Married) couple without C. ","","","",""
"No","2009","Single parent ","","","",""
"No","2009","Couple + C. LE 16 ","","","",""
"No","2009","Couple + C. GT 16 ","","","",""
"No","2009","Couple + C. LE and GT 16","","","",""
"Yes","2010","1-pers.-HH","768","0.295929635812868","0.278878738169947","0.312980533455789"
"Yes","2010","(Married) couple without C. ","1388","0.23143199174092","0.221046486496687","0.241817496985152"
"Yes","2010","Single parent ","370","0.402460122418708","0.370296331082878","0.434623913754538"
"Yes","2010","Couple + C. LE 16 ","743","0.280778970134058","0.263343998980357","0.298213941287758"
"Yes","2010","Couple + C. GT 16 ","725","0.27749215742789","0.261009842842856","0.293974472012924"
"Yes","2010","Couple + C. LE and GT 16","262","0.226242461163482","0.200911191703936","0.251573730623027"
"No","2010","1-pers.-HH","1985","0.704070364187132","0.687019466544211","0.721121261830053"
"No","2010","(Married) couple without C. ","4947","0.76856800825908","0.758182503014848","0.778953513503313"
"No","2010","Single parent ","523","0.597539877581292","0.565376086245462","0.629703668917122"
"No","2010","Couple + C. LE 16 ","1809","0.719221029865942","0.701786058712242","0.736656001019643"
"No","2010","Couple + C. GT 16 ","2110","0.72250784257211","0.706025527987076","0.738990157157144"
"No","2010","Couple + C. LE and GT 16","786","0.773757538836518","0.748426269376973","0.799088808296064"
"Yes","2011","1-pers.-HH","","","",""
"Yes","2011","(Married) couple without C. ","","","",""
"Yes","2011","Single parent ","","","",""
"Yes","2011","Couple + C. LE 16 ","","","",""
"Yes","2011","Couple + C. GT 16 ","","","",""
"Yes","2011","Couple + C. LE and GT 16","","","",""
"No","2011","1-pers.-HH","","","",""
"No","2011","(Married) couple without C. ","","","",""
"No","2011","Single parent ","","","",""
"No","2011","Couple + C. LE 16 ","","","",""
"No","2011","Couple + C. GT 16 ","","","",""
"No","2011","Couple + C. LE and GT 16","","","",""
"Yes","2012","1-pers.-HH","1085","0.300741512828856","0.285896949600734","0.315586076056978"
"Yes","2012","(Married) couple without C. ","1654","0.215731990481059","0.206791961399943","0.224672019562174"
"Yes","2012","Single parent ","484","0.38275779863941","0.355291185718419","0.410224411560401"
"Yes","2012","Couple + C. LE 16 ","884","0.28907260754431","0.273028805415696","0.305116409672923"
"Yes","2012","Couple + C. GT 16 ","768","0.270745432065805","0.254764944906948","0.286725919224663"
"Yes","2012","Couple + C. LE and GT 16","281","0.281729113356813","0.255023974643253","0.308434252070374"
"No","2012","1-pers.-HH","2581","0.699258487171144","0.684413923943022","0.714103050399266"
"No","2012","(Married) couple without C. ","6478","0.784268009518941","0.775327980437826","0.793208038600057"
"No","2012","Single parent ","719","0.61724220136059","0.589775588439599","0.644708814281581"
"No","2012","Couple + C. LE 16 ","2183","0.71092739245569","0.694883590327077","0.726971194584304"
"No","2012","Couple + C. GT 16 ","2202","0.729254567934195","0.713274080775337","0.745235055093052"
"No","2012","Couple + C. LE and GT 16","809","0.718270886643187","0.691565747929626","0.744976025356747"
"Yes","2013","1-pers.-HH","","","",""
"Yes","2013","(Married) couple without C. ","","","",""
"Yes","2013","Single parent ","","","",""
"Yes","2013","Couple + C. LE 16 ","","","",""
"Yes","2013","Couple + C. GT 16 ","","","",""
"Yes","2013","Couple + C. LE and GT 16","","","",""
"No","2013","1-pers.-HH","","","",""
"No","2013","(Married) couple without C. ","","","",""
"No","2013","Single parent ","","","",""
"No","2013","Couple + C. LE 16 ","","","",""
"No","2013","Couple + C. GT 16 ","","","",""
"No","2013","Couple + C. LE and GT 16","","","",""
"Yes","2014","1-pers.-HH","1101","0.302644307281519","0.287760947569776","0.317527666993262"
"Yes","2014","(Married) couple without C. ","1694","0.21852110990186","0.209465127560745","0.227577092242974"
"Yes","2014","Single parent ","974","0.419430462788074","0.399906502354973","0.438954423221175"
"Yes","2014","Couple + C. LE 16 ","1962","0.268469561598476","0.257982597995197","0.278956525201754"
"Yes","2014","Couple + C. GT 16 ","804","0.253057392075724","0.237705731037122","0.268409053114326"
"Yes","2014","Couple + C. LE and GT 16","589","0.263506067898416","0.245258670054714","0.281753465742118"
"No","2014","1-pers.-HH","2559","0.697355692718481","0.682472333006738","0.712239052430224"
"No","2014","(Married) couple without C. ","6305","0.78147889009814","0.772422907757026","0.790534872439255"
"No","2014","Single parent ","1480","0.580569537211926","0.561045576778825","0.600093497645027"
"No","2014","Couple + C. LE 16 ","4898","0.731530438401524","0.721043474798246","0.742017402004803"
"No","2014","Couple + C. GT 16 ","2277","0.746942607924276","0.731590946885674","0.762294268962879"
"No","2014","Couple + C. LE and GT 16","1650","0.736493932101584","0.718246534257882","0.754741329945286"
"Yes","2015","1-pers.-HH","","","",""
"Yes","2015","(Married) couple without C. ","","","",""
"Yes","2015","Single parent ","","","",""
"Yes","2015","Couple + C. LE 16 ","","","",""
"Yes","2015","Couple + C. GT 16 ","","","",""
"Yes","2015","Couple + C. LE and GT 16","","","",""
"No","2015","1-pers.-HH","","","",""
"No","2015","(Married) couple without C. ","","","",""
"No","2015","Single parent ","","","",""
"No","2015","Couple + C. LE 16 ","","","",""
"No","2015","Couple + C. GT 16 ","","","",""
"No","2015","Couple + C. LE and GT 16","","","",""
"Yes","2016","1-pers.-HH","987","0.287278741665223","0.272264299287119","0.302293184043327"
"Yes","2016","(Married) couple without C. ","1534","0.211791656125761","0.202454767725727","0.221128544525794"
"Yes","2016","Single parent ","810","0.384123496306648","0.363544912368326","0.404702080244969"
"Yes","2016","Couple + C. LE 16 ","1618","0.263798486145703","0.252446265626662","0.275150706664743"
"Yes","2016","Couple + C. GT 16 ","662","0.247985474021422","0.231836497717897","0.264134450324947"
"Yes","2016","Couple + C. LE and GT 16","505","0.217984204691154","0.200274834388667","0.235693574993641"
"No","2016","1-pers.-HH","2502","0.712721258334777","0.697706815956673","0.727735700712881"
"No","2016","(Married) couple without C. ","5822","0.788208343874239","0.778871455474206","0.797545232274273"
"No","2016","Single parent ","1336","0.615876503693352","0.595297919755031","0.636455087631674"
"No","2016","Couple + C. LE 16 ","4171","0.736201513854297","0.724849293335257","0.747553734373338"
"No","2016","Couple + C. GT 16 ","2085","0.752014525978578","0.735865549675052","0.768163502282103"
"No","2016","Couple + C. LE and GT 16","1583","0.782015795308846","0.764306425006359","0.799725165611333"
"Yes","2017","1-pers.-HH","","","",""
"Yes","2017","(Married) couple without C. ","","","",""
"Yes","2017","Single parent ","","","",""
"Yes","2017","Couple + C. LE 16 ","","","",""
"Yes","2017","Couple + C. GT 16 ","","","",""
"Yes","2017","Couple + C. LE and GT 16","","","",""
"No","2017","1-pers.-HH","","","",""
"No","2017","(Married) couple without C. ","","","",""
"No","2017","Single parent ","","","",""
"No","2017","Couple + C. LE 16 ","","","",""
"No","2017","Couple + C. GT 16 ","","","",""
"No","2017","Couple + C. LE and GT 16","","","",""
"Yes","2018","1-pers.-HH","1208","0.279138639428931","0.265451290730349","0.292825988127512"
"Yes","2018","(Married) couple without C. ","1600","0.203697892587886","0.194864741914138","0.212531043261634"
"Yes","2018","Single parent ","809","0.374989892147537","0.354805984267184","0.395173800027891"
"Yes","2018","Couple + C. LE 16 ","1423","0.251136842457968","0.239614911474687","0.262658773441248"
"Yes","2018","Couple + C. GT 16 ","729","0.251193955403576","0.235700292375473","0.26668761843168"
"Yes","2018","Couple + C. LE and GT 16","522","0.224598889527274","0.20712482585397","0.242072953200578"
"No","2018","1-pers.-HH","2918","0.720861360571069","0.707174011872488","0.734548709269651"
"No","2018","(Married) couple without C. ","6386","0.796302107412114","0.787468956738366","0.805135258085862"
"No","2018","Single parent ","1401","0.625010107852463","0.604826199972109","0.645194015732817"
"No","2018","Couple + C. LE 16 ","4019","0.748863157542032","0.737341226558752","0.760385088525313"
"No","2018","Couple + C. GT 16 ","2281","0.748806044596424","0.73331238156832","0.764299707624527"
"No","2018","Couple + C. LE and GT 16","1669","0.775401110472726","0.757927046799422","0.79287517414603"
