"ple0081_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"No","2013","no migration background","Rural Area","","","",""
"No","2013","direct migration background","Urban Area","","","",""
"No","2013","direct migration background","Rural Area","","","",""
"No","2013","indirect migration background","Urban Area","","","",""
"No","2013","indirect migration background","Rural Area","","","",""
"Yes","2014","no migration background","Urban Area","3117","0.245926486374921","0.238391110068779","0.253461862681064"
"Yes","2014","no migration background","Rural Area","2162","0.283558776054839","0.273486860986191","0.293630691123487"
"Yes","2014","direct migration background","Urban Area","1133","0.289723457379465","0.275403508571646","0.304043406187285"
"Yes","2014","direct migration background","Rural Area","386","0.255672281229269","0.231717770961707","0.279626791496832"
"Yes","2014","indirect migration background","Urban Area","511","0.364249550794369","0.339641339711263","0.388857761877476"
"Yes","2014","indirect migration background","Rural Area","126","0.354314734385754","0.302393580503643","0.406235888267865"
"No","2014","no migration background","Urban Area","9429","0.754073513625079","0.746538137318936","0.761608889931221"
"No","2014","no migration background","Rural Area","5531","0.716441223945161","0.706369308876513","0.726513139013809"
"No","2014","direct migration background","Urban Area","2722","0.710276542620535","0.695956593812715","0.724596491428354"
"No","2014","direct migration background","Rural Area","888","0.744327718770731","0.720373208503168","0.768282229038293"
"No","2014","indirect migration background","Urban Area","958","0.63575044920563","0.611142238122523","0.660358660288737"
"No","2014","indirect migration background","Rural Area","200","0.645685265614246","0.593764111732135","0.697606419496357"
"Yes","2015","no migration background","Urban Area","","","",""
"Yes","2015","no migration background","Rural Area","","","",""
"Yes","2015","direct migration background","Urban Area","","","",""
"Yes","2015","direct migration background","Rural Area","","","",""
"Yes","2015","indirect migration background","Urban Area","","","",""
"Yes","2015","indirect migration background","Rural Area","","","",""
"No","2015","no migration background","Urban Area","","","",""
"No","2015","no migration background","Rural Area","","","",""
"No","2015","direct migration background","Urban Area","","","",""
"No","2015","direct migration background","Rural Area","","","",""
"No","2015","indirect migration background","Urban Area","","","",""
"No","2015","indirect migration background","Rural Area","","","",""
"Yes","2016","no migration background","Urban Area","2612","0.237199634930224","0.229285778175391","0.245113491685057"
"Yes","2016","no migration background","Rural Area","1803","0.268252371688723","0.257735851993557","0.27876889138389"
"Yes","2016","direct migration background","Urban Area","1018","0.276364955526762","0.261691346294971","0.291038564758552"
"Yes","2016","direct migration background","Rural Area","385","0.26273810270296","0.238161878428281","0.287314326977639"
"Yes","2016","indirect migration background","Urban Area","391","0.31810659414511","0.292204679114722","0.344008509175499"
"Yes","2016","indirect migration background","Rural Area","111","0.287244517920287","0.236630005111393","0.337859030729181"
"No","2016","no migration background","Urban Area","8486","0.762800365069776","0.754886508314943","0.770714221824609"
"No","2016","no migration background","Rural Area","5015","0.731747628311277","0.72123110861611","0.742264148006444"
"No","2016","direct migration background","Urban Area","2550","0.723635044473238","0.708961435241448","0.738308653705029"
"No","2016","direct migration background","Rural Area","847","0.73726189729704","0.712685673022361","0.761838121571719"
"No","2016","indirect migration background","Urban Area","851","0.68189340585489","0.655991490824501","0.707795320885278"
"No","2016","indirect migration background","Rural Area","196","0.712755482079713","0.662140969270819","0.763369994888607"
"Yes","2017","no migration background","Urban Area","","","",""
"Yes","2017","no migration background","Rural Area","","","",""
"Yes","2017","direct migration background","Urban Area","","","",""
"Yes","2017","direct migration background","Rural Area","","","",""
"Yes","2017","indirect migration background","Urban Area","","","",""
"Yes","2017","indirect migration background","Rural Area","","","",""
"No","2017","no migration background","Urban Area","","","",""
"No","2017","no migration background","Rural Area","","","",""
"No","2017","direct migration background","Urban Area","","","",""
"No","2017","direct migration background","Rural Area","","","",""
"No","2017","indirect migration background","Urban Area","","","",""
"No","2017","indirect migration background","Rural Area","","","",""
"Yes","2018","no migration background","Urban Area","2753","0.223601710524738","0.216151852832466","0.231051568217009"
"Yes","2018","no migration background","Rural Area","1988","0.2589766857115","0.249114804692824","0.268838566730175"
"Yes","2018","direct migration background","Urban Area","925","0.288469922698288","0.272920309431336","0.30401953596524"
"Yes","2018","direct migration background","Rural Area","332","0.291112613694774","0.264578900415522","0.317646326974026"
"Yes","2018","indirect migration background","Urban Area","407","0.320512794631972","0.295899793089532","0.345125796174413"
"Yes","2018","indirect migration background","Rural Area","102","0.289118987909242","0.239054523009067","0.339183452809416"
"No","2018","no migration background","Urban Area","9263","0.776398289475262","0.768948431782991","0.783848147167534"
"No","2018","no migration background","Rural Area","5592","0.7410233142885","0.731161433269825","0.750885195307176"
"No","2018","direct migration background","Urban Area","2336","0.711530077301712","0.69598046403476","0.727079690568664"
"No","2018","direct migration background","Rural Area","794","0.708887386305226","0.682353673025974","0.735421099584478"
"No","2018","indirect migration background","Urban Area","974","0.679487205368028","0.654874203825587","0.704100206910468"
"No","2018","indirect migration background","Rural Area","213","0.710881012090759","0.660816547190584","0.760945476990933"
