"ple0081_h","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"Yes","2003","66 and older","no migration background","","","","","1"
"Yes","2003","66 and older","direct migration background","","","","","1"
"Yes","2003","66 and older","indirect migration background","","","","","1"
"No","2004","16-34 y.","indirect migration background","384","0.597100409585405","0.559248278868896","0.634952540301915","2"
"No","2004","16-34 y.","no migration background","2736","0.60541744375006","0.59091796556108","0.61991692193904","2"
"No","2004","16-34 y.","direct migration background","414","0.67136286888377","0.634537673758932","0.708188064008608","2"
"No","2004","35-65 y.","no migration background","7227","0.660083094238659","0.651039645606083","0.669126542871235","2"
"No","2004","35-65 y.","direct migration background","1053","0.676755122547754","0.653485794940764","0.700024450154744","2"
"No","2004","66 and older","no migration background","3052","0.894089119529096","0.883786403421436","0.904391835636756","2"
"No","2004","35-65 y.","indirect migration background","81","0.495278591442629","0.415795099589443","0.574762083295816","2"
"No","2004","66 and older","direct migration background","318","0.880783290076157","0.84753994189534","0.914026638256974","2"
"No","2004","66 and older","indirect migration background","12","","","","2"
"Yes","2004","16-34 y.","no migration background","1629","0.39458255624994","0.38008307806096","0.40908203443892","1"
"Yes","2004","16-34 y.","direct migration background","211","0.32863713111623","0.291811935991392","0.365462326241069","1"
"Yes","2004","16-34 y.","indirect migration background","261","0.402899590414595","0.365047459698085","0.440751721131104","1"
"Yes","2004","35-65 y.","no migration background","3312","0.339916905761341","0.330873457128765","0.348960354393917","1"
"Yes","2004","35-65 y.","direct migration background","499","0.323244877452246","0.299975549845256","0.346514205059236","1"
"Yes","2004","35-65 y.","indirect migration background","71","0.504721408557371","0.425237916704184","0.584204900410557","1"
"Yes","2004","66 and older","no migration background","375","0.105910880470904","0.0956081643632441","0.116213596578564","1"
"Yes","2004","66 and older","direct migration background","47","0.119216709923843","0.0859733617430256","0.15246005810466","1"
"Yes","2004","66 and older","indirect migration background","","","","","1"
"No","2005","16-34 y.","no migration background","","","","","2"
"No","2005","16-34 y.","indirect migration background","","","","","2"
"No","2005","35-65 y.","direct migration background","","","","","2"
"No","2005","66 and older","no migration background","","","","","2"
"No","2005","35-65 y.","no migration background","","","","","2"
"No","2005","16-34 y.","direct migration background","","","","","2"
"No","2005","35-65 y.","indirect migration background","","","","","2"
"No","2005","66 and older","direct migration background","","","","","2"
"No","2005","66 and older","indirect migration background","","","","","2"
"Yes","2005","16-34 y.","no migration background","","","","","1"
"Yes","2005","16-34 y.","direct migration background","","","","","1"
"Yes","2005","16-34 y.","indirect migration background","","","","","1"
"Yes","2005","35-65 y.","no migration background","","","","","1"
"Yes","2005","35-65 y.","direct migration background","","","","","1"
"Yes","2005","35-65 y.","indirect migration background","","","","","1"
"Yes","2005","66 and older","no migration background","","","","","1"
"Yes","2005","66 and older","direct migration background","","","","","1"
"Yes","2005","66 and older","indirect migration background","","","","","1"
"No","2006","35-65 y.","no migration background","7450","0.661072620706184","0.652141722140788","0.670003519271581","2"
"No","2006","16-34 y.","no migration background","2493","0.603623041926806","0.588413157518946","0.618832926334667","2"
"No","2006","16-34 y.","indirect migration background","365","0.576268186838998","0.537589459248071","0.614946914429924","2"
"No","2006","35-65 y.","direct migration background","979","0.640839084287319","0.616188022796128","0.665490145778509","2"
"No","2006","66 and older","no migration background","3646","0.893172149105953","0.883690419476387","0.902653878735519","2"
"No","2006","16-34 y.","direct migration background","359","0.640419322785854","0.599907284452741","0.680931361118967","2"
"No","2006","35-65 y.","indirect migration background","107","0.589790564232811","0.518330380236151","0.66125074822947","2"
"No","2006","66 and older","direct migration background","341","0.877810714821405","0.845594846717437","0.910026582925373","2"
"No","2006","66 and older","indirect migration background","11","","","","2"
"Yes","2006","16-34 y.","no migration background","1480","0.396376958073194","0.381167073665333","0.411586842481054","1"
"Yes","2006","16-34 y.","direct migration background","180","0.359580677214146","0.319068638881033","0.400092715547259","1"
"Yes","2006","16-34 y.","indirect migration background","262","0.423731813161002","0.385053085570076","0.462410540751929","1"
"Yes","2006","35-65 y.","no migration background","3341","0.338927379293816","0.329996480728419","0.347858277859212","1"
"Yes","2006","35-65 y.","direct migration background","476","0.359160915712681","0.334509854221491","0.383811977203872","1"
"Yes","2006","35-65 y.","indirect migration background","75","0.410209435767189","0.33874925177053","0.481669619763849","1"
"Yes","2006","66 and older","no migration background","431","0.106827850894047","0.0973461212644813","0.116309580523613","1"
"Yes","2006","66 and older","direct migration background","56","0.122189285178595","0.0899734170746268","0.154405153282563","1"
"Yes","2006","66 and older","indirect migration background","2","","","","1"
"No","2007","16-34 y.","no migration background","","","","","2"
"No","2007","16-34 y.","indirect migration background","","","","","2"
"No","2007","35-65 y.","no migration background","","","","","2"
"No","2007","66 and older","direct migration background","","","","","2"
"No","2007","66 and older","indirect migration background","","","","","2"
"No","2007","35-65 y.","direct migration background","","","","","2"
"No","2007","66 and older","no migration background","","","","","2"
"No","2007","16-34 y.","direct migration background","","","","","2"
"No","2007","35-65 y.","indirect migration background","","","","","2"
"Yes","2007","16-34 y.","no migration background","","","","","1"
"Yes","2007","16-34 y.","direct migration background","","","","","1"
"Yes","2007","16-34 y.","indirect migration background","","","","","1"
"Yes","2007","35-65 y.","no migration background","","","","","1"
"Yes","2007","35-65 y.","direct migration background","","","","","1"
"Yes","2007","35-65 y.","indirect migration background","","","","","1"
"Yes","2007","66 and older","no migration background","","","","","1"
"Yes","2007","66 and older","direct migration background","","","","","1"
"Yes","2007","66 and older","indirect migration background","","","","","1"
"No","2008","16-34 y.","no migration background","2269","0.643130717627289","0.627098070229603","0.659163365024976","2"
"No","2008","16-34 y.","indirect migration background","342","0.608157302772251","0.568011720173254","0.648302885371248","2"
"No","2008","35-65 y.","no migration background","6523","0.676602508039151","0.667105752467259","0.686099263611042","2"
"No","2008","35-65 y.","direct migration background","813","0.666780720609331","0.639771519561854","0.693789921656807","2"
"No","2008","66 and older","no migration background","3529","0.890351448135352","0.880628472988663","0.90007442328204","2"
"No","2008","66 and older","direct migration background","332","0.877499208238128","0.844315472846518","0.910682943629739","2"
"No","2008","66 and older","indirect migration background","10","","","","2"
"No","2008","16-34 y.","direct migration background","249","0.619372826730309","0.569965983636688","0.66877966982393","2"
"No","2008","35-65 y.","indirect migration background","122","0.619562813301845","0.551068646224575","0.688056980379115","2"
"Yes","2008","16-34 y.","no migration background","1161","0.356869282372711","0.340836634975024","0.372901929770397","1"
"Yes","2008","16-34 y.","direct migration background","122","0.380627173269691","0.33122033017607","0.430034016363312","1"
"Yes","2008","16-34 y.","indirect migration background","226","0.391842697227749","0.351697114628752","0.431988279826746","1"
"Yes","2008","35-65 y.","no migration background","2797","0.323397491960849","0.313900736388958","0.332894247532741","1"
"Yes","2008","35-65 y.","direct migration background","357","0.33321927939067","0.306210078343193","0.360228480438146","1"
"Yes","2008","35-65 y.","indirect migration background","71","0.380437186698155","0.311943019620885","0.448931353775425","1"
"Yes","2008","66 and older","no migration background","438","0.109648551864648","0.0999255767179601","0.119371527011337","1"
"Yes","2008","66 and older","direct migration background","43","0.122500791761872","0.0893170563702614","0.155684527153482","1"
"Yes","2008","66 and older","indirect migration background","1","","","","1"
"No","2009","16-34 y.","no migration background","","","","","2"
"No","2009","16-34 y.","indirect migration background","","","","","2"
"No","2009","35-65 y.","no migration background","","","","","2"
"No","2009","35-65 y.","direct migration background","","","","","2"
"No","2009","66 and older","no migration background","","","","","2"
"No","2009","66 and older","direct migration background","","","","","2"
"No","2009","66 and older","indirect migration background","","","","","2"
"No","2009","16-34 y.","direct migration background","","","","","2"
"No","2009","35-65 y.","indirect migration background","","","","","2"
"Yes","2009","35-65 y.","no migration background","","","","","1"
"Yes","2009","16-34 y.","no migration background","","","","","1"
"Yes","2009","16-34 y.","direct migration background","","","","","1"
"Yes","2009","16-34 y.","indirect migration background","","","","","1"
"Yes","2009","35-65 y.","direct migration background","","","","","1"
"Yes","2009","35-65 y.","indirect migration background","","","","","1"
"Yes","2009","66 and older","no migration background","","","","","1"
"Yes","2009","66 and older","direct migration background","","","","","1"
"Yes","2009","66 and older","indirect migration background","","","","","1"
"No","2010","16-34 y.","no migration background","1960","0.674975041796036","0.657927910548184","0.692022173043888","2"
"No","2010","16-34 y.","direct migration background","166","0.654001740335517","0.593819426742474","0.71418405392856","2"
"No","2010","16-34 y.","indirect migration background","291","0.609246611890013","0.564115829968025","0.654377393812001","2"
"No","2010","35-65 y.","no migration background","5545","0.668866795936746","0.658524923340781","0.67920866853271","2"
"No","2010","35-65 y.","direct migration background","657","0.697198106497345","0.667459486193349","0.726936726801341","2"
"No","2010","66 and older","no migration background","3336","0.896784859308506","0.88702780716272","0.906541911454292","2"
"No","2010","66 and older","direct migration background","283","0.865508337520473","0.828068318696601","0.902948356344345","2"
"No","2010","66 and older","indirect migration background","6","","","","2"
"No","2010","35-65 y.","indirect migration background","127","0.655225259192793","0.590002969168332","0.720447549217254","2"
"Yes","2010","35-65 y.","no migration background","2410","0.331133204063254","0.32079133146729","0.341475076659219","1"
"Yes","2010","16-34 y.","no migration background","940","0.325024958203964","0.307977826956112","0.342072089451816","1"
"Yes","2010","16-34 y.","direct migration background","74","0.345998259664483","0.28581594607144","0.406180573257526","1"
"Yes","2010","16-34 y.","indirect migration background","158","0.390753388109987","0.345622606187999","0.435884170031975","1"
"Yes","2010","35-65 y.","direct migration background","260","0.302801893502655","0.273063273198659","0.332540513806651","1"
"Yes","2010","35-65 y.","indirect migration background","77","0.344774740807207","0.279552450782746","0.409997030831668","1"
"Yes","2010","66 and older","no migration background","399","0.103215140691494","0.0934580885457081","0.11297219283728","1"
"Yes","2010","66 and older","direct migration background","36","0.134491662479527","0.0970516436556549","0.171931681303399","1"
"Yes","2010","66 and older","indirect migration background","","","","","1"
"No","2011","16-34 y.","no migration background","","","","","2"
"No","2011","16-34 y.","direct migration background","","","","","2"
"No","2011","16-34 y.","indirect migration background","","","","","2"
"No","2011","35-65 y.","no migration background","","","","","2"
"No","2011","35-65 y.","direct migration background","","","","","2"
"No","2011","66 and older","no migration background","","","","","2"
"No","2011","66 and older","direct migration background","","","","","2"
"No","2011","66 and older","indirect migration background","","","","","2"
"No","2011","35-65 y.","indirect migration background","","","","","2"
"Yes","2011","35-65 y.","no migration background","","","","","1"
"Yes","2011","66 and older","direct migration background","","","","","1"
"Yes","2011","16-34 y.","no migration background","","","","","1"
"Yes","2011","16-34 y.","direct migration background","","","","","1"
"Yes","2011","16-34 y.","indirect migration background","","","","","1"
"Yes","2011","35-65 y.","direct migration background","","","","","1"
"Yes","2011","35-65 y.","indirect migration background","","","","","1"
"Yes","2011","66 and older","no migration background","","","","","1"
"Yes","2011","66 and older","indirect migration background","","","","","1"
"No","2012","16-34 y.","no migration background","2233","0.683507561155181","0.667629121582977","0.699386000727385","2"
"No","2012","16-34 y.","direct migration background","246","0.687309176933327","0.639016631268747","0.735601722597907","2"
"No","2012","16-34 y.","indirect migration background","340","0.667741492192868","0.626078583993641","0.709404400392096","2"
"No","2012","35-65 y.","no migration background","6705","0.676712878574474","0.667397143623667","0.686028613525282","2"
"No","2012","35-65 y.","direct migration background","864","0.696736940462642","0.670498660414424","0.72297522051086","2"
"No","2012","35-65 y.","indirect migration background","194","0.66912047232764","0.615875994642275","0.722364950013006","2"
"No","2012","66 and older","no migration background","4302","0.892788443569447","0.884038870182198","0.901538016956696","2"
"No","2012","66 and older","direct migration background","352","0.840315726585654","0.804771396899722","0.875860056271586","2"
"No","2012","66 and older","indirect migration background","6","","","","2"
"Yes","2012","35-65 y.","no migration background","2979","0.323287121425525","0.313971386474718","0.332602856376333","1"
"Yes","2012","66 and older","direct migration background","56","0.159684273414346","0.124139943728414","0.195228603100278","1"
"Yes","2012","16-34 y.","no migration background","1063","0.316492438844819","0.300613999272615","0.332370878417023","1"
"Yes","2012","16-34 y.","direct migration background","108","0.312690823066673","0.264398277402092","0.360983368731253","1"
"Yes","2012","16-34 y.","indirect migration background","151","0.332258507807132","0.290595599607904","0.373921416006359","1"
"Yes","2012","35-65 y.","direct migration background","315","0.303263059537358","0.27702477948914","0.329501339585577","1"
"Yes","2012","35-65 y.","indirect migration background","106","0.33087952767236","0.277635049986995","0.384124005357725","1"
"Yes","2012","66 and older","no migration background","501","0.107211556430553","0.0984619830433036","0.115961129817802","1"
"Yes","2012","66 and older","indirect migration background","","","","","1"
"No","2013","16-34 y.","no migration background","","","","","2"
"No","2013","16-34 y.","direct migration background","","","","","2"
"No","2013","16-34 y.","indirect migration background","","","","","2"
"No","2013","35-65 y.","no migration background","","","","","2"
"No","2013","35-65 y.","direct migration background","","","","","2"
"No","2013","35-65 y.","indirect migration background","","","","","2"
"No","2013","66 and older","no migration background","","","","","2"
"No","2013","66 and older","direct migration background","","","","","2"
"No","2013","66 and older","indirect migration background","","","","","2"
"Yes","2013","35-65 y.","no migration background","","","","","1"
"Yes","2013","66 and older","direct migration background","","","","","1"
"Yes","2013","16-34 y.","indirect migration background","","","","","1"
"Yes","2013","35-65 y.","direct migration background","","","","","1"
"Yes","2013","16-34 y.","no migration background","","","","","1"
"Yes","2013","16-34 y.","direct migration background","","","","","1"
"Yes","2013","35-65 y.","indirect migration background","","","","","1"
"Yes","2013","66 and older","no migration background","","","","","1"
"Yes","2013","66 and older","indirect migration background","","","","","1"
"No","2014","16-34 y.","no migration background","2717","0.699331690232485","0.685211114581222","0.713452265883748","2"
"No","2014","16-34 y.","direct migration background","971","0.733440289053003","0.710418302194545","0.75646227591146","2"
"No","2014","16-34 y.","indirect migration background","692","0.61354390966863","0.584859416327742","0.642228403009518","2"
"No","2014","35-65 y.","no migration background","8181","0.67673451263651","0.668235058004067","0.685233967268953","2"
"No","2014","35-65 y.","direct migration background","2273","0.679038374431294","0.663039790887076","0.695036957975513","2"
"No","2014","35-65 y.","indirect migration background","461","0.685359384702899","0.650533327219811","0.720185442185987","2"
"No","2014","66 and older","no migration background","4062","0.89139294039358","0.882357121380406","0.900428759406753","2"
"No","2014","66 and older","direct migration background","366","0.841718206994708","0.80765169748163","0.875784716507786","2"
"No","2014","66 and older","indirect migration background","5","","","","2"
"Yes","2014","16-34 y.","no migration background","1334","0.300668309767515","0.286547734116252","0.314788885418778","1"
"Yes","2014","16-34 y.","direct migration background","446","0.266559710946998","0.24353772408854","0.289581697805455","1"
"Yes","2014","35-65 y.","no migration background","3452","0.32326548736349","0.314766032731047","0.331764941995933","1"
"Yes","2014","66 and older","direct migration background","75","0.158281793005292","0.124215283492214","0.19234830251837","1"
"Yes","2014","16-34 y.","indirect migration background","415","0.38645609033137","0.357771596990482","0.415140583672258","1"
"Yes","2014","35-65 y.","direct migration background","998","0.320961625568706","0.304963042024487","0.336960209112924","1"
"Yes","2014","66 and older","no migration background","493","0.10860705960642","0.0995712405932467","0.117642878619594","1"
"Yes","2014","66 and older","indirect migration background","","","","","1"
"Yes","2014","35-65 y.","indirect migration background","222","0.314640615297101","0.279814557814013","0.349466672780189","1"
"No","2015","16-34 y.","no migration background","","","","","2"
"No","2015","16-34 y.","direct migration background","","","","","2"
"No","2015","16-34 y.","indirect migration background","","","","","2"
"No","2015","35-65 y.","no migration background","","","","","2"
"No","2015","35-65 y.","direct migration background","","","","","2"
"No","2015","35-65 y.","indirect migration background","","","","","2"
"No","2015","66 and older","no migration background","","","","","2"
"No","2015","66 and older","direct migration background","","","","","2"
"No","2015","66 and older","indirect migration background","","","","","2"
"Yes","2015","16-34 y.","no migration background","","","","","1"
"Yes","2015","16-34 y.","direct migration background","","","","","1"
"Yes","2015","35-65 y.","no migration background","","","","","1"
"Yes","2015","66 and older","direct migration background","","","","","1"
"Yes","2015","35-65 y.","indirect migration background","","","","","1"
"Yes","2015","16-34 y.","indirect migration background","","","","","1"
"Yes","2015","35-65 y.","direct migration background","","","","","1"
"Yes","2015","66 and older","no migration background","","","","","1"
"Yes","2015","66 and older","indirect migration background","","","","","1"
"No","2016","16-34 y.","no migration background","2366","0.726643039239767","0.711584557585506","0.741701520894029","2"
"No","2016","16-34 y.","direct migration background","936","0.727176020883608","0.703301018070267","0.751051023696949","2"
"No","2016","16-34 y.","indirect migration background","620","0.685310301298089","0.654851889441387","0.715768713154792","2"
"No","2016","35-65 y.","no migration background","7221","0.686878414229827","0.677871749170141","0.695885079289514","2"
"No","2016","35-65 y.","direct migration background","2127","0.70095211392794","0.6847302064117","0.71717402144418","2"
"No","2016","35-65 y.","indirect migration background","423","0.68532871786289","0.649683414646715","0.720974021079064","2"
"No","2016","66 and older","no migration background","3914","0.893667891633233","0.884524095908559","0.902811687357907","2"
"No","2016","66 and older","direct migration background","334","0.821473583359232","0.78408460374129","0.858862562977174","2"
"No","2016","66 and older","indirect migration background","4","","","","2"
"Yes","2016","16-34 y.","no migration background","999","0.273356960760233","0.258298479105971","0.288415442414494","1"
"Yes","2016","16-34 y.","direct migration background","401","0.272823979116392","0.248948976303051","0.296698981929733","1"
"Yes","2016","35-65 y.","no migration background","2964","0.313121585770173","0.304114920710486","0.322128250829859","1"
"Yes","2016","16-34 y.","indirect migration background","273","0.31468969870191","0.284231286845208","0.345148110558613","1"
"Yes","2016","35-65 y.","direct migration background","933","0.29904788607206","0.28282597855582","0.3152697935883","1"
"Yes","2016","35-65 y.","indirect migration background","229","0.31467128213711","0.279025978920936","0.350316585353285","1"
"Yes","2016","66 and older","direct migration background","69","0.178526416640768","0.141137437022826","0.21591539625871","1"
"Yes","2016","66 and older","indirect migration background","","","","","1"
"Yes","2016","66 and older","no migration background","452","0.106332108366767","0.0971883126420935","0.115475904091441","1"
"No","2017","16-34 y.","no migration background","","","","","2"
"No","2017","16-34 y.","direct migration background","","","","","2"
"No","2017","16-34 y.","indirect migration background","","","","","2"
"No","2017","35-65 y.","no migration background","","","","","2"
"No","2017","35-65 y.","direct migration background","","","","","2"
"No","2017","35-65 y.","indirect migration background","","","","","2"
"No","2017","66 and older","no migration background","","","","","2"
"No","2017","66 and older","direct migration background","","","","","2"
"No","2017","66 and older","indirect migration background","","","","","2"
"Yes","2017","16-34 y.","no migration background","","","","","1"
"Yes","2017","16-34 y.","direct migration background","","","","","1"
"Yes","2017","35-65 y.","no migration background","","","","","1"
"Yes","2017","35-65 y.","indirect migration background","","","","","1"
"Yes","2017","66 and older","direct migration background","","","","","1"
"Yes","2017","66 and older","indirect migration background","","","","","1"
"Yes","2017","16-34 y.","indirect migration background","","","","","1"
"Yes","2017","35-65 y.","direct migration background","","","","","1"
"Yes","2017","66 and older","no migration background","","","","","1"
"No","2018","16-34 y.","no migration background","2889","0.754069753222914","0.740682506795062","0.767456999650767","2"
"No","2018","16-34 y.","direct migration background","717","0.695953292264281","0.667928776604954","0.723977807923608","2"
"No","2018","16-34 y.","indirect migration background","690","0.697308223964947","0.668366585319479","0.726249862610415","2"
"No","2018","35-65 y.","no migration background","7899","0.696814440768468","0.688237861436829","0.705391020100108","2"
"No","2018","35-65 y.","direct migration background","2030","0.669485317028028","0.652385499256723","0.686585134799333","2"
"No","2018","35-65 y.","indirect migration background","478","0.651047989687586","0.615938799236338","0.686157180138834","2"
"No","2018","66 and older","no migration background","4067","0.892469166308514","0.88350521470263","0.901433117914398","2"
"No","2018","66 and older","direct migration background","383","0.868787154942234","0.837417267725476","0.900157042158991","2"
"No","2018","66 and older","indirect migration background","19","","","","2"
"Yes","2018","16-34 y.","direct migration background","318","0.304046707735719","0.276022192076392","0.332071223395046","1"
"Yes","2018","35-65 y.","no migration background","3134","0.303185559231532","0.294608979899892","0.311762138563172","1"
"Yes","2018","35-65 y.","indirect migration background","230","0.348952010312414","0.313842819861166","0.384061200763662","1"
"Yes","2018","66 and older","direct migration background","62","0.131212845057766","0.0998429578410092","0.162582732274524","1"
"Yes","2018","16-34 y.","no migration background","1086","0.245930246777086","0.232543000349233","0.259317493204938","1"
"Yes","2018","16-34 y.","indirect migration background","278","0.302691776035053","0.273750137389585","0.331633414680521","1"
"Yes","2018","35-65 y.","direct migration background","877","0.330514682971972","0.313414865200667","0.347614500743277","1"
"Yes","2018","66 and older","no migration background","521","0.107530833691486","0.0985668820856019","0.11649478529737","1"
"Yes","2018","66 and older","indirect migration background","1","","","","1"
