"ple0081_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2002","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2002","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2002","lower secondary degree","(0) in school","","","",""
"No","2002","lower secondary degree","(1a) inadequately completed","","","",""
"No","2002","lower secondary degree","(1b) general elementary school","1265","0.707730690644679","0.687056238147062","0.728405143142296"
"No","2002","lower secondary degree","(1c) basic vocational qualification","4247","0.685564607251553","0.674047555190337","0.697081659312768"
"No","2002","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2002","lower secondary degree","(2a) intermediate vocational","10","","",""
"No","2002","lower secondary degree","(2c_gen) general maturity certificate","3","","",""
"No","2002","lower secondary degree","(2c_voc) vocational maturity certificate","25","","",""
"No","2002","lower secondary degree","(3a) lower tertiary education","128","0.840654318502993","0.782849159019445","0.89845947798654"
"No","2002","lower secondary degree","(3b) higher tertiary education","37","0.757793136439141","0.632620214331986","0.882966058546296"
"No","2002","secondary school degree","(0) in school","","","",""
"No","2002","secondary school degree","(1a) inadequately completed","","","",""
"No","2002","secondary school degree","(1b) general elementary school","","","",""
"No","2002","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2002","secondary school degree","(2b) intermediate general qualification","383","0.595992256624275","0.558499247515897","0.633485265732654"
"No","2002","secondary school degree","(2a) intermediate vocational","3487","0.661084671227343","0.648368861887956","0.673800480566729"
"No","2002","secondary school degree","(2c_gen) general maturity certificate","3","","",""
"No","2002","secondary school degree","(2c_voc) vocational maturity certificate","33","0.836830582902487","0.726384068093163","0.94727709771181"
"No","2002","secondary school degree","(3a) lower tertiary education","434","0.765584348965502","0.730497537519947","0.800671160411057"
"No","2002","secondary school degree","(3b) higher tertiary education","97","0.837929493931946","0.77280396432762","0.903055023536272"
"No","2002","college entrance qualification","(0) in school","","","",""
"No","2002","college entrance qualification","(1a) inadequately completed","","","",""
"No","2002","college entrance qualification","(1b) general elementary school","","","",""
"No","2002","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2002","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2002","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2002","college entrance qualification","(2c_gen) general maturity certificate","552","0.693324342782386","0.661411258180915","0.725237427383856"
"No","2002","college entrance qualification","(2c_voc) vocational maturity certificate","948","0.714993574100585","0.690832730313861","0.739154417887309"
"No","2002","college entrance qualification","(3a) lower tertiary education","781","0.720582881137576","0.693557701695166","0.747608060579986"
"No","2002","college entrance qualification","(3b) higher tertiary education","1939","0.791219388855588","0.774995945803683","0.807442831907492"
"No","2002","Other degree","(0) in school","","","",""
"No","2002","Other degree","(1a) inadequately completed","","","",""
"No","2002","Other degree","(1b) general elementary school","320","0.746874510609572","0.706247626813331","0.787501394405812"
"No","2002","Other degree","(1c) basic vocational qualification","282","0.688406757584621","0.644426287285476","0.732387227883765"
"No","2002","Other degree","(2b) intermediate general qualification","","","",""
"No","2002","Other degree","(2a) intermediate vocational","","","",""
"No","2002","Other degree","(2c_gen) general maturity certificate","48","0.628235381027756","0.518125205604318","0.738345556451194"
"No","2002","Other degree","(2c_voc) vocational maturity certificate","116","0.651478649444723","0.581673676456701","0.721283622432744"
"No","2002","Other degree","(3a) lower tertiary education","21","","",""
"No","2002","Other degree","(3b) higher tertiary education","145","0.804015124292619","0.746502135903613","0.861528112681624"
"No","2002","no degree/no degree yet","(0) in school","480","0.767341607197732","0.734029079382039","0.800654135013426"
"No","2002","no degree/no degree yet","(1a) inadequately completed","190","0.644301321799931","0.589764745247776","0.698837898352086"
"No","2002","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2002","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2002","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2002","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2002","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2002","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2002","no degree/no degree yet","(3a) lower tertiary education","1","","",""
"No","2002","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Yes","2003","lower secondary degree","(0) in school","","","",""
"Yes","2003","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2003","lower secondary degree","(1b) general elementary school","","","",""
"Yes","2003","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","2003","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2003","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","2003","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","2003","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","2003","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","2003","secondary school degree","(0) in school","","","",""
"Yes","2003","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2003","secondary school degree","(1b) general elementary school","","","",""
"Yes","2003","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2003","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","2003","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","2003","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2003","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","2003","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","2003","college entrance qualification","(0) in school","","","",""
"Yes","2003","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2003","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2003","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2003","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2003","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2003","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","2003","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","2003","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","2003","Other degree","(0) in school","","","",""
"Yes","2003","Other degree","(1a) inadequately completed","","","",""
"Yes","2003","Other degree","(1b) general elementary school","","","",""
"Yes","2003","Other degree","(1c) basic vocational qualification","","","",""
"Yes","2003","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2003","Other degree","(2a) intermediate vocational","","","",""
"Yes","2003","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","Other degree","(3a) lower tertiary education","","","",""
"Yes","2003","Other degree","(3b) higher tertiary education","","","",""
"Yes","2003","no degree/no degree yet","(0) in school","","","",""
"Yes","2003","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","2003","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2003","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2003","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2003","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2003","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2003","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2003","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2003","lower secondary degree","(0) in school","","","",""
"No","2003","lower secondary degree","(1a) inadequately completed","","","",""
"No","2003","lower secondary degree","(1b) general elementary school","","","",""
"No","2003","lower secondary degree","(1c) basic vocational qualification","","","",""
"No","2003","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2003","lower secondary degree","(2a) intermediate vocational","","","",""
"No","2003","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"No","2003","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"No","2003","lower secondary degree","(3a) lower tertiary education","","","",""
"No","2003","lower secondary degree","(3b) higher tertiary education","","","",""
"No","2003","secondary school degree","(0) in school","","","",""
"No","2003","secondary school degree","(1a) inadequately completed","","","",""
"No","2003","secondary school degree","(1b) general elementary school","","","",""
"No","2003","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2003","secondary school degree","(2b) intermediate general qualification","","","",""
"No","2003","secondary school degree","(2a) intermediate vocational","","","",""
"No","2003","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No","2003","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","2003","secondary school degree","(3a) lower tertiary education","","","",""
"No","2003","secondary school degree","(3b) higher tertiary education","","","",""
"No","2003","college entrance qualification","(0) in school","","","",""
"No","2003","college entrance qualification","(1a) inadequately completed","","","",""
"No","2003","college entrance qualification","(1b) general elementary school","","","",""
"No","2003","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2003","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2003","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2003","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"No","2003","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"No","2003","college entrance qualification","(3a) lower tertiary education","","","",""
"No","2003","college entrance qualification","(3b) higher tertiary education","","","",""
"No","2003","Other degree","(0) in school","","","",""
"No","2003","Other degree","(1a) inadequately completed","","","",""
"No","2003","Other degree","(1b) general elementary school","","","",""
"No","2003","Other degree","(1c) basic vocational qualification","","","",""
"No","2003","Other degree","(2b) intermediate general qualification","","","",""
"No","2003","Other degree","(2a) intermediate vocational","","","",""
"No","2003","Other degree","(2c_gen) general maturity certificate","","","",""
"No","2003","Other degree","(2c_voc) vocational maturity certificate","","","",""
"No","2003","Other degree","(3a) lower tertiary education","","","",""
"No","2003","Other degree","(3b) higher tertiary education","","","",""
"No","2003","no degree/no degree yet","(0) in school","","","",""
"No","2003","no degree/no degree yet","(1a) inadequately completed","","","",""
"No","2003","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2003","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2003","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2003","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2003","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2003","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2003","no degree/no degree yet","(3a) lower tertiary education","","","",""
"No","2003","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Yes","2004","lower secondary degree","(0) in school","","","",""
"Yes","2004","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2004","lower secondary degree","(1b) general elementary school","485","0.282963881329452","0.261076674959593","0.304851087699311"
"Yes","2004","lower secondary degree","(1c) basic vocational qualification","1779","0.303701037953965","0.291757795774691","0.31564428013324"
"Yes","2004","lower secondary degree","(2b) intermediate general qualification","3","","",""
"Yes","2004","lower secondary degree","(2a) intermediate vocational","11","","",""
"Yes","2004","lower secondary degree","(2c_gen) general maturity certificate","7","","",""
"Yes","2004","lower secondary degree","(2c_voc) vocational maturity certificate","11","","",""
"Yes","2004","lower secondary degree","(3a) lower tertiary education","27","","",""
"Yes","2004","lower secondary degree","(3b) higher tertiary education","6","","",""
"Yes","2004","secondary school degree","(0) in school","","","",""
"Yes","2004","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2004","secondary school degree","(1b) general elementary school","","","",""
"Yes","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2004","secondary school degree","(2b) intermediate general qualification","245","0.424476385685728","0.385221132208583","0.463731639162873"
"Yes","2004","secondary school degree","(2a) intermediate vocational","1679","0.336469519993588","0.323360880825786","0.349578159161391"
"Yes","2004","secondary school degree","(2c_gen) general maturity certificate","1","","",""
"Yes","2004","secondary school degree","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2004","secondary school degree","(3a) lower tertiary education","119","0.238241189810405","0.20197287942433","0.27450950019648"
"Yes","2004","secondary school degree","(3b) higher tertiary education","25","","",""
"Yes","2004","college entrance qualification","(0) in school","","","",""
"Yes","2004","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2004","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2004","college entrance qualification","(2c_gen) general maturity certificate","249","0.326718199942463","0.293697799092895","0.359738600792031"
"Yes","2004","college entrance qualification","(2c_voc) vocational maturity certificate","377","0.277327063422334","0.253366295972718","0.301287830871951"
"Yes","2004","college entrance qualification","(3a) lower tertiary education","250","0.265436837126646","0.238068824558877","0.292804849694415"
"Yes","2004","college entrance qualification","(3b) higher tertiary education","415","0.213140841646348","0.196268022393728","0.230013660898968"
"Yes","2004","Other degree","(0) in school","","","",""
"Yes","2004","Other degree","(1a) inadequately completed","","","",""
"Yes","2004","Other degree","(1b) general elementary school","96","0.228160297673907","0.186671064277417","0.269649531070397"
"Yes","2004","Other degree","(1c) basic vocational qualification","122","0.297682905586287","0.252818159845996","0.342547651326578"
"Yes","2004","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2004","Other degree","(2a) intermediate vocational","","","",""
"Yes","2004","Other degree","(2c_gen) general maturity certificate","24","","",""
"Yes","2004","Other degree","(2c_voc) vocational maturity certificate","45","0.287162456701404","0.215236539373621","0.359088374029188"
"Yes","2004","Other degree","(3a) lower tertiary education","5","","",""
"Yes","2004","Other degree","(3b) higher tertiary education","33","0.20248878230497","0.141722546476566","0.263255018133373"
"Yes","2004","no degree/no degree yet","(0) in school","151","0.235445397132925","0.202600460209548","0.268290334056302"
"Yes","2004","no degree/no degree yet","(1a) inadequately completed","103","0.371154847800388","0.313097565809333","0.429212129791442"
"Yes","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2004","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2004","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2004","lower secondary degree","(0) in school","","","",""
"No","2004","lower secondary degree","(1a) inadequately completed","","","",""
"No","2004","lower secondary degree","(1b) general elementary school","1142","0.717036118670548","0.695148912300689","0.738923325040407"
"No","2004","lower secondary degree","(1c) basic vocational qualification","3916","0.696298962046034","0.68435571986676","0.708242204225309"
"No","2004","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2004","lower secondary degree","(2a) intermediate vocational","12","","",""
"No","2004","lower secondary degree","(2c_gen) general maturity certificate","4","","",""
"No","2004","lower secondary degree","(2c_voc) vocational maturity certificate","19","","",""
"No","2004","lower secondary degree","(3a) lower tertiary education","120","0.775960993221175","0.708559240811361","0.843362745630989"
"No","2004","lower secondary degree","(3b) higher tertiary education","37","0.807038851866934","0.689089374231197","0.924988329502671"
"No","2004","secondary school degree","(0) in school","","","",""
"No","2004","secondary school degree","(1a) inadequately completed","","","",""
"No","2004","secondary school degree","(1b) general elementary school","","","",""
"No","2004","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2004","secondary school degree","(2b) intermediate general qualification","364","0.575523614314272","0.536268360837127","0.614778867791417"
"No","2004","secondary school degree","(2a) intermediate vocational","3312","0.663530480006411","0.650421840838609","0.676639119174214"
"No","2004","secondary school degree","(2c_gen) general maturity certificate","2","","",""
"No","2004","secondary school degree","(2c_voc) vocational maturity certificate","35","0.868395586208151","0.768507018931542","0.96828415348476"
"No","2004","secondary school degree","(3a) lower tertiary education","411","0.761758810189595","0.72549049980352","0.79802712057567"
"No","2004","secondary school degree","(3b) higher tertiary education","90","0.822812963597231","0.753027381447959","0.892598545746504"
"No","2004","college entrance qualification","(0) in school","","","",""
"No","2004","college entrance qualification","(1a) inadequately completed","","","",""
"No","2004","college entrance qualification","(1b) general elementary school","","","",""
"No","2004","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2004","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2004","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2004","college entrance qualification","(2c_gen) general maturity certificate","526","0.673281800057537","0.640261399207969","0.706302200907105"
"No","2004","college entrance qualification","(2c_voc) vocational maturity certificate","964","0.722672936577666","0.698712169128049","0.746633704027282"
"No","2004","college entrance qualification","(3a) lower tertiary education","750","0.734563162873354","0.707195150305585","0.761931175441123"
"No","2004","college entrance qualification","(3b) higher tertiary education","1848","0.786859158353652","0.769986339101032","0.803731977606272"
"No","2004","Other degree","(0) in school","","","",""
"No","2004","Other degree","(1a) inadequately completed","","","",""
"No","2004","Other degree","(1b) general elementary school","297","0.771839702326093","0.730350468929603","0.813328935722583"
"No","2004","Other degree","(1c) basic vocational qualification","277","0.702317094413713","0.657452348673422","0.747181840154004"
"No","2004","Other degree","(2b) intermediate general qualification","","","",""
"No","2004","Other degree","(2a) intermediate vocational","","","",""
"No","2004","Other degree","(2c_gen) general maturity certificate","37","0.525997605189614","0.400693492677058","0.65130171770217"
"No","2004","Other degree","(2c_voc) vocational maturity certificate","107","0.712837543298595","0.640911625970812","0.784763460626379"
"No","2004","Other degree","(3a) lower tertiary education","18","","",""
"No","2004","Other degree","(3b) higher tertiary education","135","0.79751121769503","0.736744981866627","0.858277453523434"
"No","2004","no degree/no degree yet","(0) in school","490","0.764554602867075","0.731709665943698","0.797399539790452"
"No","2004","no degree/no degree yet","(1a) inadequately completed","163","0.628845152199612","0.570787870208558","0.686902434190667"
"No","2004","no degree/no degree yet","(1b) general elementary school","","","",""
"No","2004","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"No","2004","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"No","2004","no degree/no degree yet","(2a) intermediate vocational","","","",""
"No","2004","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"No","2004","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"No","2004","no degree/no degree yet","(3a) lower tertiary education","1","","",""
"No","2004","no degree/no degree yet","(3b) higher tertiary education","1","","",""
"Yes","2005","lower secondary degree","(0) in school","","","",""
"Yes","2005","lower secondary degree","(1a) inadequately completed","","","",""
"Yes","2005","lower secondary degree","(1b) general elementary school","","","",""
"Yes","2005","lower secondary degree","(1c) basic vocational qualification","","","",""
"Yes","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"Yes","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"Yes","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Yes","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"Yes","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"Yes","2005","secondary school degree","(0) in school","","","",""
"Yes","2005","secondary school degree","(1a) inadequately completed","","","",""
"Yes","2005","secondary school degree","(1b) general elementary school","","","",""
"Yes","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"Yes","2005","secondary school degree","(2b) intermediate general qualification","","","",""
"Yes","2005","secondary school degree","(2a) intermediate vocational","","","",""
"Yes","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Yes","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","secondary school degree","(3a) lower tertiary education","","","",""
"Yes","2005","secondary school degree","(3b) higher tertiary education","","","",""
"Yes","2005","college entrance qualification","(0) in school","","","",""
"Yes","2005","college entrance qualification","(1a) inadequately completed","","","",""
"Yes","2005","college entrance qualification","(1b) general elementary school","","","",""
"Yes","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"Yes","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"Yes","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"Yes","2005","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Yes","2005","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"Yes","2005","college entrance qualification","(3b) higher tertiary education","","","",""
"Yes","2005","Other degree","(0) in school","","","",""
"Yes","2005","Other degree","(1a) inadequately completed","","","",""
"Yes","2005","Other degree","(1b) general elementary school","","","",""
"Yes","2005","Other degree","(1c) basic vocational qualification","","","",""
"Yes","2005","Other degree","(2b) intermediate general qualification","","","",""
"Yes","2005","Other degree","(2a) intermediate vocational","","","",""
"Yes","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"Yes","2005","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","Other degree","(3a) lower tertiary education","","","",""
"Yes","2005","Other degree","(3b) higher tertiary education","","","",""
"Yes","2005","no degree/no degree yet","(0) in school","","","",""
"Yes","2005","no degree/no degree yet","(1a) inadequately completed","","","",""
"Yes","2005","no degree/no degree yet","(1b) general elementary school","","","",""
"Yes","2005","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Yes","2005","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Yes","2005","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Yes","2005","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Yes","2005","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Yes","2005","no degree/no degree yet","(3b) higher tertiary education","","","",""
"No","2005","lower secondary degree","(0) in school","","","",""
"No","2005","lower secondary degree","(1a) inadequately completed","","","",""
"No","2005","lower secondary degree","(1b) general elementary school","","","",""
"No","2005","lower secondary degree","(1c) basic vocational qualification","","","",""
"No","2005","lower secondary degree","(2b) intermediate general qualification","","","",""
"No","2005","lower secondary degree","(2a) intermediate vocational","","","",""
"No","2005","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"No","2005","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"No","2005","lower secondary degree","(3a) lower tertiary education","","","",""
"No","2005","lower secondary degree","(3b) higher tertiary education","","","",""
"No","2005","secondary school degree","(0) in school","","","",""
"No","2005","secondary school degree","(1a) inadequately completed","","","",""
"No","2005","secondary school degree","(1b) general elementary school","","","",""
"No","2005","secondary school degree","(1c) basic vocational qualification","","","",""
"No","2005","secondary school degree","(2b) intermediate general qualification","","","",""
"No","2005","secondary school degree","(2a) intermediate vocational","","","",""
"No","2005","secondary school degree","(2c_gen) general maturity certificate","","","",""
"No","2005","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"No","2005","secondary school degree","(3a) lower tertiary education","","","",""
"No","2005","secondary school degree","(3b) higher tertiary education","","","",""
"No","2005","college entrance qualification","(0) in school","","","",""
"No","2005","college entrance qualification","(1a) inadequately completed","","","",""
"No","2005","college entrance qualification","(1b) general elementary school","","","",""
"No","2005","college entrance qualification","(1c) basic vocational qualification","","","",""
"No","2005","college entrance qualification","(2b) intermediate general qualification","","","",""
"No","2005","college entrance qualification","(2a) intermediate vocational","","","",""
"No","2005","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"No","2005","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"No","2005","college entrance qualification","(3a) lower tertiary education","","","",""
"No","2005","college entrance qualification","(3b) higher tertiary education","","","",""
"No","2005","Other degree","(0) in school","","","",""
"No","2005","Other degree","(1a) inadequately completed","","","",""
"No","2005","Other degree","(1b) general elementary school","","","",""
"No","2005","Other degree","(1c) basic vocational qualification","","","",""
"No","2005","Other degree","(2b) intermediate general qualification","","","",""
"No","2005","Other degree","(2a) intermediate vocational","","","",""
"No","2005","Other degree","(2c_gen) general maturity certificate","","","",""
"No","2005","Other degree","(2c_voc) vocational maturity certificate","","","",""
"No","2005","Other degree","(3a) lower tertiary education","","","",""
