"ple0081_h","year","age_gr","e11102","n","percent","lower_confidence","upper_confidence","value"
"Yes","2015","16-34 y.","Employed","","","","","1"
"Yes","2015","66 and older","Employed","","","","","1"
"No","2016","16-34 y.","Not Employed","1136","0.729875426590202","0.707626513801724","0.752124339378679","2"
"No","2016","16-34 y.","Employed","2786","0.717601141364374","0.703762583150554","0.731439699578194","2"
"No","2016","35-65 y.","Not Employed","1486","0.634158611560626","0.614554684311021","0.653762538810231","2"
"No","2016","35-65 y.","Employed","8285","0.700189008358995","0.691843308953633","0.708534707764358","2"
"No","2016","66 and older","Not Employed","3822","0.889704406060059","0.88030855538615","0.899100256733967","2"
"No","2016","66 and older","Employed","430","0.859498464247462","0.829129695349062","0.889867233145862","2"
"Yes","2016","35-65 y.","Not Employed","833","0.365841388439374","0.346237461189769","0.385445315688979","1"
"Yes","2016","35-65 y.","Employed","3293","0.299810991641005","0.291465292235642","0.308156691046367","1"
"Yes","2016","16-34 y.","Not Employed","394","0.270124573409798","0.247875660621321","0.292373486198276","1"
"Yes","2016","16-34 y.","Employed","1279","0.282398858635626","0.268560300421806","0.296237416849446","1"
"Yes","2016","66 and older","Not Employed","448","0.110295593939941","0.100899743266033","0.11969144461385","1"
"Yes","2016","66 and older","Employed","73","0.140501535752538","0.110132766854138","0.170870304650938","1"
"No","2017","16-34 y.","Not Employed","","","","","2"
"No","2017","16-34 y.","Employed","","","","","2"
"No","2017","35-65 y.","Not Employed","","","","","2"
"No","2017","35-65 y.","Employed","","","","","2"
"No","2017","66 and older","Not Employed","","","","","2"
"No","2017","66 and older","Employed","","","","","2"
"Yes","2017","35-65 y.","Not Employed","","","","","1"
"Yes","2017","35-65 y.","Employed","","","","","1"
"Yes","2017","16-34 y.","Not Employed","","","","","1"
"Yes","2017","16-34 y.","Employed","","","","","1"
"Yes","2017","66 and older","Not Employed","","","","","1"
"Yes","2017","66 and older","Employed","","","","","1"
"No","2018","16-34 y.","Not Employed","1178","0.760038243624183","0.738632363589413","0.781444123658954","2"
"No","2018","16-34 y.","Employed","3118","0.731036114621369","0.718006448439013","0.744065780803725","2"
"No","2018","35-65 y.","Not Employed","1433","0.611253016099368","0.591115571096173","0.631390461102563","2"
"No","2018","35-65 y.","Employed","8974","0.703863184281003","0.695826440617262","0.711899927944745","2"
"No","2018","66 and older","Not Employed","3948","0.8968189469974","0.88786726413734","0.905770629857459","2"
"No","2018","66 and older","Employed","521","0.840044733961448","0.811120891522117","0.86896857640078","2"
"Yes","2018","16-34 y.","Not Employed","351","0.239961756375817","0.218555876341046","0.261367636410587","1"
"Yes","2018","35-65 y.","Not Employed","818","0.388746983900632","0.368609538897437","0.408884428903827","1"
"Yes","2018","35-65 y.","Employed","3423","0.296136815718996","0.288100072055255","0.304173559382738","1"
"Yes","2018","16-34 y.","Employed","1331","0.268963885378631","0.255934219196275","0.281993551560987","1"
"Yes","2018","66 and older","Not Employed","488","0.103181053002601","0.0942293701425408","0.11213273586266","1"
"Yes","2018","66 and older","Employed","96","0.159955266038552","0.13103142359922","0.188879108477883","1"
