"ple0081_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2014","West Germany","Female","2781","0.22740535262876","0.219790740438428","0.235019964819092"
"Yes","2014","East Germany","Male","839","0.341039386836299","0.322654132484998","0.359424641187601"
"Yes","2014","East Germany","Female","790","0.24095868801926","0.225773650627004","0.256143725411517"
"No","2014","West Germany","Male","6897","0.700667984131891","0.691656813742753","0.70967915452103"
"No","2014","West Germany","Female","8859","0.77259464737124","0.764980035180908","0.780209259561572"
"No","2014","East Germany","Male","1715","0.658960613163701","0.640575358812399","0.677345867515002"
"No","2014","East Germany","Female","2257","0.75904131198074","0.743856274588483","0.774226349372996"
"Yes","2015","West Germany","Male","","","",""
"Yes","2015","West Germany","Female","","","",""
"Yes","2015","East Germany","Male","","","",""
"Yes","2015","East Germany","Female","","","",""
"No","2015","West Germany","Male","","","",""
"No","2015","West Germany","Female","","","",""
"No","2015","East Germany","Male","","","",""
"No","2015","East Germany","Female","","","",""
"Yes","2016","West Germany","Male","2519","0.281741288984665","0.272348356733358","0.291134221235972"
"Yes","2016","West Germany","Female","2381","0.217480420913797","0.209553099253851","0.225407742573743"
"Yes","2016","East Germany","Male","733","0.331961431226876","0.312673975930717","0.351248886523035"
"Yes","2016","East Germany","Female","687","0.238268646717616","0.222377718982751","0.254159574452481"
"No","2016","West Germany","Male","6292","0.718258711015335","0.708865778764028","0.727651643266642"
"No","2016","West Germany","Female","8022","0.782519579086203","0.774592257426257","0.79044690074615"
"No","2016","East Germany","Male","1557","0.668038568773124","0.648751113476965","0.687326024069282"
"No","2016","East Germany","Female","2074","0.761731353282384","0.745840425547519","0.777622281017249"
"Yes","2017","West Germany","Male","","","",""
"Yes","2017","West Germany","Female","","","",""
"Yes","2017","East Germany","Male","","","",""
"Yes","2017","East Germany","Female","","","",""
"No","2017","West Germany","Male","","","",""
"No","2017","West Germany","Female","","","",""
"No","2017","East Germany","Male","","","",""
"No","2017","East Germany","Female","","","",""
"Yes","2018","West Germany","Male","2483","0.272041604410761","0.262987509426969","0.281095699394553"
"Yes","2018","West Germany","Female","2470","0.218231190760618","0.210472800605988","0.225989580915249"
"Yes","2018","East Germany","Male","802","0.312153687594974","0.294104976971639","0.330202398218309"
"Yes","2018","East Germany","Female","752","0.227173148541792","0.212126754208901","0.242219542874684"
"No","2018","West Germany","Male","6797","0.727958395589239","0.718904300605447","0.737012490573031"
"No","2018","West Germany","Female","8418","0.781768809239382","0.774010419084751","0.789527199394012"
"No","2018","East Germany","Male","1730","0.687846312405026","0.669797601781692","0.705895023028361"
"No","2018","East Germany","Female","2227","0.772826851458208","0.757780457125316","0.787873245791099"
