"ple0081_h","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Couple + C. LE 16 ","(2b) intermediate general qualification","36","0.705571546844263","0.59119325888418","0.819949834804346"
"Yes","2002","Couple + C. LE 16 ","(2a) intermediate vocational","510","0.329237692693897","0.30553494372077","0.352940441667025"
"Yes","2002","Couple + C. LE 16 ","(2c_gen) general maturity certificate","35","0.351902559104597","0.251551992131068","0.452253126078125"
"Yes","2002","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","148","0.295038164658069","0.25482145659921","0.335254872716928"
"Yes","2002","Couple + C. LE 16 ","(3a) lower tertiary education","97","0.227734925187423","0.187240289176191","0.268229561198656"
"Yes","2002","Couple + C. LE 16 ","(3b) higher tertiary education","125","0.169587363817827","0.142157265451928","0.197017462183725"
"Yes","2002","Couple + C. GT 16 ","(0) in school","51","0.195857900040602","0.148432729885628","0.243283070195575"
"Yes","2002","Couple + C. GT 16 ","(1a) inadequately completed","17","","",""
"Yes","2002","Couple + C. GT 16 ","(1b) general elementary school","119","0.320971388714379","0.272879591924024","0.369063185504735"
"Yes","2002","Couple + C. GT 16 ","(1c) basic vocational qualification","317","0.345318635004587","0.314809333378008","0.375827936631166"
"Yes","2002","Couple + C. GT 16 ","(2b) intermediate general qualification","80","0.310485661866714","0.250818617343441","0.370152706389987"
"Yes","2002","Couple + C. GT 16 ","(2a) intermediate vocational","295","0.373510531621159","0.340933260734907","0.406087802507411"
"Yes","2002","Couple + C. GT 16 ","(2c_gen) general maturity certificate","108","0.29616715245828","0.247989930462044","0.344344374454517"
"Yes","2002","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","60","0.283491203264904","0.222965639092989","0.344016767436818"
"Yes","2002","Couple + C. GT 16 ","(3a) lower tertiary education","55","0.201124304585724","0.153575604379151","0.248673004792296"
"Yes","2002","Couple + C. GT 16 ","(3b) higher tertiary education","82","0.232873057414522","0.19240295344464","0.273343161384403"
"Yes","2002","Couple + C. LE and GT 16","(0) in school","55","0.174846766095653","0.128317713095509","0.221375819095796"
"Yes","2002","Couple + C. LE and GT 16","(1a) inadequately completed","10","","",""
"Yes","2002","Couple + C. LE and GT 16","(1b) general elementary school","99","0.466873775953986","0.397730833691657","0.536016718216316"
"Yes","2002","Couple + C. LE and GT 16","(1c) basic vocational qualification","169","0.483052206386721","0.430996680519312","0.53510773225413"
"Yes","2002","Couple + C. LE and GT 16","(2b) intermediate general qualification","56","0.437671575930869","0.352391887605954","0.522951264255784"
"Yes","2002","Couple + C. LE and GT 16","(2a) intermediate vocational","168","0.4068454472934","0.36003135881132","0.45365953577548"
"Yes","2002","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","35","0.30530841705696","0.224574041282164","0.386042792831757"
"Yes","2002","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","32","0.413465539838596","0.31283713149344","0.514093948183752"
"Yes","2002","Couple + C. LE and GT 16","(3a) lower tertiary education","31","0.253886326695982","0.172919194489193","0.33485345890277"
"Yes","2002","Couple + C. LE and GT 16","(3b) higher tertiary education","36","0.184105805532484","0.129846938813715","0.238364672251252"
"No","2002","1-pers.-HH","(0) in school","1","","",""
"No","2002","1-pers.-HH","(1a) inadequately completed","21","","",""
"No","2002","1-pers.-HH","(1b) general elementary school","313","0.790752974369054","0.751185790787149","0.830320157950959"
"No","2002","1-pers.-HH","(1c) basic vocational qualification","653","0.69887023471548","0.669698557248033","0.728041912182927"
"No","2002","1-pers.-HH","(2b) intermediate general qualification","25","","",""
"No","2002","1-pers.-HH","(2a) intermediate vocational","406","0.64378945910499","0.607474532227533","0.680104385982446"
"No","2002","1-pers.-HH","(2c_gen) general maturity certificate","95","0.64651310395386","0.56704076109633","0.72598544681139"
"No","2002","1-pers.-HH","(2c_voc) vocational maturity certificate","160","0.664211691385823","0.605670153115745","0.722753229655901"
"No","2002","1-pers.-HH","(3a) lower tertiary education","145","0.648232282023518","0.58541705668725","0.711047507359786"
"No","2002","1-pers.-HH","(3b) higher tertiary education","221","0.718493801022506","0.66810397348882","0.768883628556193"
"No","2002","(Married) couple without C. ","(0) in school","4","","",""
"No","2002","(Married) couple without C. ","(1a) inadequately completed","67","0.771378226585738","0.686029096417962","0.856727356753514"
"No","2002","(Married) couple without C. ","(1b) general elementary school","600","0.821620950337354","0.793963199545685","0.849278701129023"
"No","2002","(Married) couple without C. ","(1c) basic vocational qualification","2157","0.777732857188826","0.762305240272195","0.793160474105458"
"No","2002","(Married) couple without C. ","(2b) intermediate general qualification","53","0.721232261807003","0.624181266624781","0.818283256989226"
"No","2002","(Married) couple without C. ","(2a) intermediate vocational","1056","0.718772287009284","0.695997102163343","0.741547471855225"
"No","2002","(Married) couple without C. ","(2c_gen) general maturity certificate","68","0.73107754373896","0.645029052115723","0.817126035362196"
"No","2002","(Married) couple without C. ","(2c_voc) vocational maturity certificate","338","0.787052247235003","0.749640543414393","0.824463951055612"
"No","2002","(Married) couple without C. ","(3a) lower tertiary education","550","0.79039047255074","0.760280809692506","0.820500135408973"
"No","2002","(Married) couple without C. ","(3b) higher tertiary education","799","0.822027181973137","0.798165039052963","0.845889324893311"
"No","2002","Single parent ","(0) in school","44","0.674268238593949","0.558544029444665","0.789992447743234"
"No","2002","Single parent ","(1a) inadequately completed","7","","",""
"No","2002","Single parent ","(1b) general elementary school","89","0.531252648224362","0.454878543115969","0.607626753332756"
"No","2002","Single parent ","(1c) basic vocational qualification","123","0.447637804243627","0.387311990426035","0.50796361806122"
"No","2002","Single parent ","(2b) intermediate general qualification","37","0.485438664704474","0.379809311010714","0.591068018398235"
"No","2002","Single parent ","(2a) intermediate vocational","150","0.520008196881702","0.461594198234427","0.578422195528976"
"No","2002","Single parent ","(2c_gen) general maturity certificate","34","0.604612706915206","0.477683767183276","0.731541646647136"
"No","2002","Single parent ","(2c_voc) vocational maturity certificate","38","0.587800139112054","0.46112165524656","0.714478622977547"
"No","2002","Single parent ","(3a) lower tertiary education","35","0.676782980330388","0.543070794919264","0.810495165741512"
"No","2002","Single parent ","(3b) higher tertiary education","62","0.790997900502124","0.701338148113712","0.880657652890536"
"No","2002","Couple + C. LE 16 ","(0) in school","","","",""
"No","2002","Couple + C. LE 16 ","(1a) inadequately completed","21","","",""
"No","2002","Couple + C. LE 16 ","(1b) general elementary school","121","0.460797368145949","0.402097219214464","0.519497517077433"
"No","2002","Couple + C. LE 16 ","(1c) basic vocational qualification","628","0.540211690907006","0.511268448596055","0.569154933217958"
"No","2002","Couple + C. LE 16 ","(2b) intermediate general qualification","25","","",""
"No","2002","Couple + C. LE 16 ","(2a) intermediate vocational","1000","0.670762307306103","0.647059558332975","0.69446505627923"
"No","2002","Couple + C. LE 16 ","(2c_gen) general maturity certificate","52","0.648097440895403","0.547746873921875","0.748448007868932"
"No","2002","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","346","0.704961835341931","0.664745127283072","0.74517854340079"
"No","2002","Couple + C. LE 16 ","(3a) lower tertiary education","315","0.772265074812577","0.731770438801344","0.812759710823809"
"No","2002","Couple + C. LE 16 ","(3b) higher tertiary education","594","0.830412636182173","0.802982537816275","0.857842734548072"
"No","2002","Couple + C. GT 16 ","(0) in school","218","0.804142099959398","0.756716929804425","0.851567270114372"
"No","2002","Couple + C. GT 16 ","(1a) inadequately completed","40","0.73185226415089","0.616849192369405","0.846855335932375"
"No","2002","Couple + C. GT 16 ","(1b) general elementary school","243","0.679028611285621","0.630936814495265","0.727120408075976"
"No","2002","Couple + C. GT 16 ","(1c) basic vocational qualification","616","0.654681364995413","0.624172063368834","0.685190666621992"
"No","2002","Couple + C. GT 16 ","(2b) intermediate general qualification","151","0.689514338133286","0.629847293610013","0.749181382656559"
"No","2002","Couple + C. GT 16 ","(2a) intermediate vocational","552","0.626489468378841","0.593912197492589","0.659066739265093"
"No","2002","Couple + C. GT 16 ","(2c_gen) general maturity certificate","237","0.703832847541719","0.655655625545483","0.752010069537956"
"No","2002","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","153","0.716508796735096","0.655983232563182","0.777034360907011"
"No","2002","Couple + C. GT 16 ","(3a) lower tertiary education","218","0.798875695414276","0.751326995207704","0.846424395620849"
"No","2002","Couple + C. GT 16 ","(3b) higher tertiary education","337","0.767126942585478","0.726656838615597","0.80759704655536"
"No","2002","Couple + C. LE and GT 16","(0) in school","201","0.825153233904347","0.778624180904204","0.871682286904491"
"No","2002","Couple + C. LE and GT 16","(1a) inadequately completed","11","","",""
"No","2002","Couple + C. LE and GT 16","(1b) general elementary school","101","0.533126224046013","0.463983281783684","0.602269166308343"
"No","2002","Couple + C. LE and GT 16","(1c) basic vocational qualification","185","0.516947793613279","0.46489226774587","0.569003319480688"
"No","2002","Couple + C. LE and GT 16","(2b) intermediate general qualification","74","0.562328424069131","0.477048735744216","0.647608112394046"
"No","2002","Couple + C. LE and GT 16","(2a) intermediate vocational","255","0.5931545527066","0.54634046422452","0.63996864118868"
"No","2002","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","90","0.69469158294304","0.613957207168244","0.775425958717836"
"No","2002","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","60","0.586534460161404","0.485906051816248","0.68716286850656"
"No","2002","Couple + C. LE and GT 16","(3a) lower tertiary education","80","0.746113673304019","0.66514654109723","0.827080805510807"
"No","2002","Couple + C. LE and GT 16","(3b) higher tertiary education","160","0.815894194467516","0.761635327748748","0.870153061186285"
"Yes","2003","1-pers.-HH","(0) in school","","","",""
"Yes","2003","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","2003","1-pers.-HH","(1b) general elementary school","","","",""
"Yes","2003","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Yes","2003","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Yes","2003","1-pers.-HH","(2a) intermediate vocational","","","",""
"Yes","2003","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Yes","2003","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","1-pers.-HH","(3a) lower tertiary education","","","",""
"Yes","2003","1-pers.-HH","(3b) higher tertiary education","","","",""
"Yes","2003","(Married) couple without C. ","(0) in school","","","",""
"Yes","2003","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Yes","2003","(Married) couple without C. ","(1b) general elementary school","","","",""
"Yes","2003","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Yes","2003","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Yes","2003","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Yes","2003","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Yes","2003","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Yes","2003","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Yes","2003","Single parent ","(0) in school","","","",""
"Yes","2003","Single parent ","(1a) inadequately completed","","","",""
"Yes","2003","Single parent ","(1b) general elementary school","","","",""
"Yes","2003","Single parent ","(1c) basic vocational qualification","","","",""
"Yes","2003","Single parent ","(2b) intermediate general qualification","","","",""
"Yes","2003","Single parent ","(2a) intermediate vocational","","","",""
"Yes","2003","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","Single parent ","(3a) lower tertiary education","","","",""
"Yes","2003","Single parent ","(3b) higher tertiary education","","","",""
"Yes","2003","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2003","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"Yes","2003","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"Yes","2003","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"Yes","2003","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"Yes","2003","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"Yes","2003","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"Yes","2003","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Yes","2003","Couple + C. GT 16 ","(0) in school","","","",""
"Yes","2003","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Yes","2003","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"Yes","2003","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"Yes","2003","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"Yes","2003","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"Yes","2003","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Yes","2003","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Yes","2003","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","2003","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2003","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"Yes","2003","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"Yes","2003","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Yes","2003","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Yes","2003","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Yes","2003","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"No","2003","1-pers.-HH","(0) in school","","","",""
"No","2003","1-pers.-HH","(1a) inadequately completed","","","",""
"No","2003","1-pers.-HH","(1b) general elementary school","","","",""
"No","2003","1-pers.-HH","(1c) basic vocational qualification","","","",""
"No","2003","1-pers.-HH","(2b) intermediate general qualification","","","",""
"No","2003","1-pers.-HH","(2a) intermediate vocational","","","",""
"No","2003","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"No","2003","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"No","2003","1-pers.-HH","(3a) lower tertiary education","","","",""
"No","2003","1-pers.-HH","(3b) higher tertiary education","","","",""
"No","2003","(Married) couple without C. ","(0) in school","","","",""
"No","2003","(Married) couple without C. ","(1a) inadequately completed","","","",""
"No","2003","(Married) couple without C. ","(1b) general elementary school","","","",""
"No","2003","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"No","2003","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"No","2003","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"No","2003","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"No","2003","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"No","2003","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"No","2003","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"No","2003","Single parent ","(0) in school","","","",""
"No","2003","Single parent ","(1a) inadequately completed","","","",""
"No","2003","Single parent ","(1b) general elementary school","","","",""
"No","2003","Single parent ","(1c) basic vocational qualification","","","",""
"No","2003","Single parent ","(2b) intermediate general qualification","","","",""
"No","2003","Single parent ","(2a) intermediate vocational","","","",""
"No","2003","Single parent ","(2c_gen) general maturity certificate","","","",""
"No","2003","Single parent ","(2c_voc) vocational maturity certificate","","","",""
"No","2003","Single parent ","(3a) lower tertiary education","","","",""
"No","2003","Single parent ","(3b) higher tertiary education","","","",""
"No","2003","Couple + C. LE 16 ","(0) in school","","","",""
"No","2003","Couple + C. LE 16 ","(1a) inadequately completed","","","",""
"No","2003","Couple + C. LE 16 ","(1b) general elementary school","","","",""
"No","2003","Couple + C. LE 16 ","(1c) basic vocational qualification","","","",""
"No","2003","Couple + C. LE 16 ","(2b) intermediate general qualification","","","",""
"No","2003","Couple + C. LE 16 ","(2a) intermediate vocational","","","",""
"No","2003","Couple + C. LE 16 ","(2c_gen) general maturity certificate","","","",""
"No","2003","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","","","",""
"No","2003","Couple + C. LE 16 ","(3a) lower tertiary education","","","",""
"No","2003","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"No","2003","Couple + C. GT 16 ","(0) in school","","","",""
"No","2003","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"No","2003","Couple + C. GT 16 ","(1b) general elementary school","","","",""
"No","2003","Couple + C. GT 16 ","(1c) basic vocational qualification","","","",""
"No","2003","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"No","2003","Couple + C. GT 16 ","(2a) intermediate vocational","","","",""
"No","2003","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"No","2003","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"No","2003","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"No","2003","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"No","2003","Couple + C. LE and GT 16","(0) in school","","","",""
"No","2003","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"No","2003","Couple + C. LE and GT 16","(1b) general elementary school","","","",""
"No","2003","Couple + C. LE and GT 16","(1c) basic vocational qualification","","","",""
"No","2003","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"No","2003","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"No","2003","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"No","2003","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"No","2003","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"No","2003","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Yes","2004","1-pers.-HH","(0) in school","2","","",""
"Yes","2004","1-pers.-HH","(1a) inadequately completed","7","","",""
"Yes","2004","1-pers.-HH","(1b) general elementary school","75","0.18903251945521","0.149562060871993","0.228502978038428"
"Yes","2004","1-pers.-HH","(1c) basic vocational qualification","278","0.307646481028093","0.277544564735215","0.337748397320971"
"Yes","2004","1-pers.-HH","(2b) intermediate general qualification","29","","",""
"Yes","2004","1-pers.-HH","(2a) intermediate vocational","241","0.369375345744011","0.331446264424548","0.407304427063474"
"Yes","2004","1-pers.-HH","(2c_gen) general maturity certificate","44","0.33172262137766","0.252592002679931","0.410853240075389"
"Yes","2004","1-pers.-HH","(2c_voc) vocational maturity certificate","79","0.326408081830071","0.265139797728136","0.387676365932005"
"Yes","2004","1-pers.-HH","(3a) lower tertiary education","75","0.326416496575801","0.265011197257843","0.387821795893759"
"Yes","2004","1-pers.-HH","(3b) higher tertiary education","82","0.258954487520772","0.211255435542722","0.306653539498822"
"Yes","2004","(Married) couple without C. ","(0) in school","","","",""
"Yes","2004","(Married) couple without C. ","(1a) inadequately completed","28","","",""
"Yes","2004","(Married) couple without C. ","(1b) general elementary school","121","0.222498717556268","0.19093417591749","0.254063259195047"
"Yes","2004","(Married) couple without C. ","(1c) basic vocational qualification","575","0.203891966306203","0.188540875827025","0.219243056785381"
"Yes","2004","(Married) couple without C. ","(2b) intermediate general qualification","36","0.32738228330456","0.22989121586101","0.424873350748111"
"Yes","2004","(Married) couple without C. ","(2a) intermediate vocational","431","0.278109813394058","0.255343623643292","0.300876003144824"
"Yes","2004","(Married) couple without C. ","(2c_gen) general maturity certificate","48","0.34219922981797","0.261262094655845","0.423136364980095"
"Yes","2004","(Married) couple without C. ","(2c_voc) vocational maturity certificate","125","0.234453388442466","0.196233345746578","0.272673431138354"
"Yes","2004","(Married) couple without C. ","(3a) lower tertiary education","131","0.212202108205515","0.181891701944306","0.242512514466723"
"Yes","2004","(Married) couple without C. ","(3b) higher tertiary education","174","0.18814944798584","0.163464940476701","0.21283395549498"
"Yes","2004","Single parent ","(0) in school","27","","",""
"Yes","2004","Single parent ","(1a) inadequately completed","8","","",""
"Yes","2004","Single parent ","(1b) general elementary school","64","0.374656375312146","0.299182704302062","0.450130046322229"
"Yes","2004","Single parent ","(1c) basic vocational qualification","129","0.540449640272763","0.477660493830782","0.603238786714745"
"Yes","2004","Single parent ","(2b) intermediate general qualification","36","0.460614209999284","0.347047603822582","0.574180816175987"
"Yes","2004","Single parent ","(2a) intermediate vocational","122","0.497003758923938","0.436345485580453","0.557662032267423"
"Yes","2004","Single parent ","(2c_gen) general maturity certificate","25","","",""
"Yes","2004","Single parent ","(2c_voc) vocational maturity certificate","26","","",""
"Yes","2004","Single parent ","(3a) lower tertiary education","16","","",""
"Yes","2004","Single parent ","(3b) higher tertiary education","20","","",""
"Yes","2004","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2004","Couple + C. LE 16 ","(1a) inadequately completed","23","","",""
"Yes","2004","Couple + C. LE 16 ","(1b) general elementary school","123","0.473158255639599","0.410253466840278","0.536063044438921"
"Yes","2004","Couple + C. LE 16 ","(1c) basic vocational qualification","401","0.433588203949793","0.40122954092324","0.465946866976345"
"Yes","2004","Couple + C. LE 16 ","(2b) intermediate general qualification","36","0.664665647690103","0.549894677657424","0.779436617722782"
"Yes","2004","Couple + C. LE 16 ","(2a) intermediate vocational","435","0.316342466655812","0.291321120002513","0.341363813309111"
"Yes","2004","Couple + C. LE 16 ","(2c_gen) general maturity certificate","29","","",""
"Yes","2004","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","122","0.250693566807374","0.211172520981929","0.29021461263282"
"Yes","2004","Couple + C. LE 16 ","(3a) lower tertiary education","64","0.185055437432912","0.143092575466485","0.22701829939934"
"Yes","2004","Couple + C. LE 16 ","(3b) higher tertiary education","92","0.185346694627226","0.154228562925794","0.216464826328659"
"Yes","2004","Couple + C. GT 16 ","(0) in school","65","0.207969061472254","0.160431213815813","0.255506909128695"
"Yes","2004","Couple + C. GT 16 ","(1a) inadequately completed","20","","",""
"Yes","2004","Couple + C. GT 16 ","(1b) general elementary school","99","0.328692355555481","0.275448671820696","0.381936039290266"
"Yes","2004","Couple + C. GT 16 ","(1c) basic vocational qualification","308","0.370531471255943","0.338622976581109","0.402439965930778"
"Yes","2004","Couple + C. GT 16 ","(2b) intermediate general qualification","66","0.331775267689025","0.26716280650417","0.396387728873879"
"Yes","2004","Couple + C. GT 16 ","(2a) intermediate vocational","295","0.376076010873868","0.343454051415936","0.408697970331801"
"Yes","2004","Couple + C. GT 16 ","(2c_gen) general maturity certificate","93","0.318423975512656","0.268007648615985","0.368840302409327"
"Yes","2004","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","61","0.220737009517039","0.16815602140169","0.273317997632388"
"Yes","2004","Couple + C. GT 16 ","(3a) lower tertiary education","62","0.223277895654623","0.173138297197899","0.273417494111347"
"Yes","2004","Couple + C. GT 16 ","(3b) higher tertiary education","73","0.22112339778647","0.181195566566188","0.261051229006752"
"Yes","2004","Couple + C. LE and GT 16","(0) in school","55","0.213692756538634","0.16461646555068","0.262769047526587"
"Yes","2004","Couple + C. LE and GT 16","(1a) inadequately completed","12","","",""
"Yes","2004","Couple + C. LE and GT 16","(1b) general elementary school","78","0.397179345819622","0.321830262387487","0.472528429251758"
"Yes","2004","Couple + C. LE and GT 16","(1c) basic vocational qualification","158","0.462735599546521","0.4101979631904","0.515273235902641"
"Yes","2004","Couple + C. LE and GT 16","(2b) intermediate general qualification","39","0.434463223614328","0.340977961642025","0.527948485586631"
"Yes","2004","Couple + C. LE and GT 16","(2a) intermediate vocational","124","0.336508897711406","0.287216883399956","0.385800912022855"
"Yes","2004","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","29","","",""
"Yes","2004","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","25","","",""
"Yes","2004","Couple + C. LE and GT 16","(3a) lower tertiary education","39","0.350821587589889","0.260817672182889","0.440825502996889"
"Yes","2004","Couple + C. LE and GT 16","(3b) higher tertiary education","27","","",""
"No","2004","1-pers.-HH","(0) in school","1","","",""
"No","2004","1-pers.-HH","(1a) inadequately completed","19","","",""
"No","2004","1-pers.-HH","(1b) general elementary school","303","0.81096748054479","0.771497021961572","0.850437939128007"
"No","2004","1-pers.-HH","(1c) basic vocational qualification","625","0.692353518971907","0.662251602679029","0.722455435264785"
"No","2004","1-pers.-HH","(2b) intermediate general qualification","25","","",""
"No","2004","1-pers.-HH","(2a) intermediate vocational","381","0.630624654255989","0.592695572936526","0.668553735575452"
