"ple0081_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No","2002","35-65 y.","1-pers.-HH","714","0.573143029173432","0.545799589327291","0.600486469019572"
"No","2002","35-65 y.","(Married) couple without C. ","3124","0.725574794412215","0.71221264102591","0.73893694779852"
"No","2002","35-65 y.","Single parent ","320","0.532462048064986","0.49178617007256","0.573137926057413"
"No","2002","35-65 y.","Couple + C. LE 16 ","2193","0.656286399990919","0.639967744374379","0.672605055607458"
"No","2002","35-65 y.","Couple + C. GT 16 ","1666","0.688968800909194","0.670248693428222","0.707688908390165"
"No","2002","35-65 y.","Couple + C. LE and GT 16","762","0.60213057829669","0.574699019616322","0.629562136977059"
"No","2002","66 and older","1-pers.-HH","933","0.901449769509836","0.883378463753543","0.919521075266128"
"No","2002","66 and older","(Married) couple without C. ","1945","0.902381538719321","0.889893929379871","0.91486914805877"
"No","2002","66 and older","Single parent ","67","0.821453054115976","0.737002572124756","0.905903536107197"
"No","2002","66 and older","Couple + C. LE 16 ","5","","",""
"No","2002","66 and older","Couple + C. GT 16 ","143","0.861190191441157","0.808751786801289","0.913628596081025"
"No","2002","66 and older","Couple + C. LE and GT 16","3","","",""
"Yes","2003","16-34 y.","1-pers.-HH","","","",""
"Yes","2003","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2003","16-34 y.","Single parent ","","","",""
"Yes","2003","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2003","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2003","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2003","35-65 y.","1-pers.-HH","","","",""
"Yes","2003","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2003","35-65 y.","Single parent ","","","",""
"Yes","2003","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2003","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2003","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2003","66 and older","1-pers.-HH","","","",""
"Yes","2003","66 and older","(Married) couple without C. ","","","",""
"Yes","2003","66 and older","Single parent ","","","",""
"Yes","2003","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2003","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2003","66 and older","Couple + C. LE and GT 16","","","",""
"No","2003","16-34 y.","1-pers.-HH","","","",""
"No","2003","16-34 y.","(Married) couple without C. ","","","",""
"No","2003","16-34 y.","Single parent ","","","",""
"No","2003","16-34 y.","Couple + C. LE 16 ","","","",""
"No","2003","16-34 y.","Couple + C. GT 16 ","","","",""
"No","2003","16-34 y.","Couple + C. LE and GT 16","","","",""
"No","2003","35-65 y.","1-pers.-HH","","","",""
"No","2003","35-65 y.","(Married) couple without C. ","","","",""
"No","2003","35-65 y.","Single parent ","","","",""
"No","2003","35-65 y.","Couple + C. LE 16 ","","","",""
"No","2003","35-65 y.","Couple + C. GT 16 ","","","",""
"No","2003","35-65 y.","Couple + C. LE and GT 16","","","",""
"No","2003","66 and older","1-pers.-HH","","","",""
"No","2003","66 and older","(Married) couple without C. ","","","",""
"No","2003","66 and older","Single parent ","","","",""
"No","2003","66 and older","Couple + C. LE 16 ","","","",""
"No","2003","66 and older","Couple + C. GT 16 ","","","",""
"No","2003","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2004","16-34 y.","1-pers.-HH","280","0.430652179356229","0.392556309134224","0.468748049578234"
"Yes","2004","16-34 y.","(Married) couple without C. ","418","0.422595522732867","0.392413876593803","0.452777168871931"
"Yes","2004","16-34 y.","Single parent ","214","0.470616460634519","0.42510236931772","0.516130551951318"
"Yes","2004","16-34 y.","Couple + C. LE 16 ","448","0.37838222502201","0.351179191629056","0.405585258414964"
"Yes","2004","16-34 y.","Couple + C. GT 16 ","476","0.32256463590067","0.298520615317193","0.346608656484147"
"Yes","2004","16-34 y.","Couple + C. LE and GT 16","206","0.319339158296832","0.2839841184435","0.354694198150164"
"Yes","2004","35-65 y.","1-pers.-HH","516","0.434351390224567","0.4063299903834","0.462372790065733"
"Yes","2004","35-65 y.","(Married) couple without C. ","1028","0.270169598062767","0.256245867875699","0.284093328249835"
"Yes","2004","35-65 y.","Single parent ","270","0.500429199965722","0.459091169826205","0.541767230105239"
"Yes","2004","35-65 y.","Couple + C. LE 16 ","884","0.316705021437726","0.299578082187051","0.333831960688402"
"Yes","2004","35-65 y.","Couple + C. GT 16 ","683","0.334796526454173","0.315531023469506","0.354062029438841"
"Yes","2004","35-65 y.","Couple + C. LE and GT 16","401","0.372688229748649","0.3443960623376","0.400980397159699"
"Yes","2004","66 and older","1-pers.-HH","131","0.114092093633009","0.0950871790276204","0.133097008238398"
"Yes","2004","66 and older","(Married) couple without C. ","240","0.0986708467189599","0.0865955424305704","0.110746151007349"
"Yes","2004","66 and older","Single parent ","8","","",""
"Yes","2004","66 and older","Couple + C. LE 16 ","1","","",""
"Yes","2004","66 and older","Couple + C. GT 16 ","26","","",""
"Yes","2004","66 and older","Couple + C. LE and GT 16","2","","",""
"No","2004","16-34 y.","1-pers.-HH","369","0.569347820643771","0.531251950421766","0.607443690865776"
"No","2004","16-34 y.","(Married) couple without C. ","611","0.577404477267133","0.547222831128069","0.607586123406197"
"No","2004","16-34 y.","Single parent ","248","0.529383539365481","0.483869448048682","0.57489763068228"
"No","2004","16-34 y.","Couple + C. LE 16 ","773","0.62161777497799","0.594414741585036","0.648820808370945"
"No","2004","16-34 y.","Couple + C. GT 16 ","976","0.67743536409933","0.653391343515853","0.701479384682807"
"No","2004","16-34 y.","Couple + C. LE and GT 16","462","0.680660841703168","0.645305801849836","0.7160158815565"
"No","2004","35-65 y.","1-pers.-HH","686","0.565648609775434","0.537627209934267","0.5936700096166"
"No","2004","35-65 y.","(Married) couple without C. ","2879","0.729830401937233","0.715906671750165","0.743754132124301"
"No","2004","35-65 y.","Single parent ","292","0.499570800034278","0.458232769894761","0.540908830173795"
"No","2004","35-65 y.","Couple + C. LE 16 ","1950","0.683294978562273","0.666168039311598","0.700421917812948"
"No","2004","35-65 y.","Couple + C. GT 16 ","1622","0.665203473545827","0.645937970561159","0.684468976530494"
"No","2004","35-65 y.","Couple + C. LE and GT 16","721","0.627311770251351","0.599019602840301","0.6556039376624"
"No","2004","66 and older","1-pers.-HH","944","0.885907906366991","0.866902991761602","0.90491282097238"
"No","2004","66 and older","(Married) couple without C. ","2103","0.90132915328104","0.889253848992651","0.91340445756943"
"No","2004","66 and older","Single parent ","62","0.903966736910854","0.834944959467078","0.972988514354629"
"No","2004","66 and older","Couple + C. LE 16 ","3","","",""
"No","2004","66 and older","Couple + C. GT 16 ","141","0.840004112303908","0.784402808991901","0.895605415615915"
"No","2004","66 and older","Couple + C. LE and GT 16","1","","",""
"Yes","2005","16-34 y.","1-pers.-HH","","","",""
"Yes","2005","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2005","16-34 y.","Single parent ","","","",""
"Yes","2005","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2005","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2005","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2005","35-65 y.","1-pers.-HH","","","",""
"Yes","2005","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2005","35-65 y.","Single parent ","","","",""
"Yes","2005","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2005","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2005","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2005","66 and older","1-pers.-HH","","","",""
"Yes","2005","66 and older","(Married) couple without C. ","","","",""
"Yes","2005","66 and older","Single parent ","","","",""
"Yes","2005","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2005","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2005","66 and older","Couple + C. LE and GT 16","","","",""
"No","2005","16-34 y.","1-pers.-HH","","","",""
"No","2005","16-34 y.","(Married) couple without C. ","","","",""
"No","2005","16-34 y.","Single parent ","","","",""
"No","2005","16-34 y.","Couple + C. LE 16 ","","","",""
"No","2005","16-34 y.","Couple + C. GT 16 ","","","",""
"No","2005","16-34 y.","Couple + C. LE and GT 16","","","",""
"No","2005","35-65 y.","1-pers.-HH","","","",""
"No","2005","35-65 y.","(Married) couple without C. ","","","",""
"No","2005","35-65 y.","Single parent ","","","",""
"No","2005","35-65 y.","Couple + C. LE 16 ","","","",""
"No","2005","35-65 y.","Couple + C. GT 16 ","","","",""
"No","2005","35-65 y.","Couple + C. LE and GT 16","","","",""
"No","2005","66 and older","1-pers.-HH","","","",""
"No","2005","66 and older","(Married) couple without C. ","","","",""
"No","2005","66 and older","Single parent ","","","",""
"No","2005","66 and older","Couple + C. LE 16 ","","","",""
"No","2005","66 and older","Couple + C. GT 16 ","","","",""
"No","2005","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2006","16-34 y.","1-pers.-HH","319","0.426501899287621","0.390301364205182","0.46270243437006"
"Yes","2006","16-34 y.","(Married) couple without C. ","354","0.415808701392508","0.384451354281768","0.447166048503247"
"Yes","2006","16-34 y.","Single parent ","217","0.469716160151471","0.42339786041381","0.516034459889132"
"Yes","2006","16-34 y.","Couple + C. LE 16 ","382","0.363545179918652","0.335285743640703","0.391804616196602"
"Yes","2006","16-34 y.","Couple + C. GT 16 ","435","0.365837400669493","0.33939886712716","0.392275934211826"
"Yes","2006","16-34 y.","Couple + C. LE and GT 16","153","0.352110427728095","0.309558881238782","0.394661974217408"
"Yes","2006","35-65 y.","1-pers.-HH","562","0.435479394558602","0.409001222636424","0.461957566480781"
"Yes","2006","35-65 y.","(Married) couple without C. ","1101","0.284935765614506","0.271115763001024","0.298755768227988"
"Yes","2006","35-65 y.","Single parent ","305","0.499929823500747","0.461638758905064","0.53822088809643"
"Yes","2006","35-65 y.","Couple + C. LE 16 ","838","0.31455701277631","0.297388594490979","0.331725431061641"
"Yes","2006","35-65 y.","Couple + C. GT 16 ","659","0.323528151104441","0.304133131211998","0.342923170996884"
"Yes","2006","35-65 y.","Couple + C. LE and GT 16","332","0.369333512272874","0.339495197217608","0.399171827328141"
"Yes","2006","66 and older","1-pers.-HH","164","0.12850941076295","0.110240172097518","0.146778649428382"
"Yes","2006","66 and older","(Married) couple without C. ","282","0.0948129206128726","0.0840271518900209","0.105598689335724"
"Yes","2006","66 and older","Single parent ","9","","",""
"Yes","2006","66 and older","Couple + C. LE 16 ","1","","",""
"Yes","2006","66 and older","Couple + C. GT 16 ","22","","",""
"Yes","2006","66 and older","Couple + C. LE and GT 16","2","","",""
"No","2006","16-34 y.","1-pers.-HH","398","0.573498100712379","0.53729756562994","0.609698635794818"
"No","2006","16-34 y.","(Married) couple without C. ","595","0.584191298607492","0.552833951496752","0.615548645718232"
"No","2006","16-34 y.","Single parent ","229","0.530283839848529","0.483965540110868","0.57660213958619"
"No","2006","16-34 y.","Couple + C. LE 16 ","731","0.636454820081348","0.608195383803398","0.664714256359297"
"No","2006","16-34 y.","Couple + C. GT 16 ","840","0.634162599330507","0.607724065788174","0.66060113287284"
"No","2006","16-34 y.","Couple + C. LE and GT 16","331","0.647889572271905","0.605338025782592","0.690441118761218"
"No","2006","35-65 y.","1-pers.-HH","785","0.564520605441398","0.538042433519219","0.590998777363576"
"No","2006","35-65 y.","(Married) couple without C. ","2997","0.715064234385494","0.701244231772012","0.728884236998976"
"No","2006","35-65 y.","Single parent ","350","0.500070176499253","0.461779111903571","0.538361241094936"
"No","2006","35-65 y.","Couple + C. LE 16 ","1972","0.68544298722369","0.668274568938358","0.702611405509021"
"No","2006","35-65 y.","Couple + C. GT 16 ","1576","0.676471848895559","0.657076829003116","0.695866868788002"
"No","2006","35-65 y.","Couple + C. LE and GT 16","673","0.630666487727126","0.600828172671859","0.660504802782392"
"No","2006","66 and older","1-pers.-HH","1125","0.87149058923705","0.853221350571618","0.889759827902482"
"No","2006","66 and older","(Married) couple without C. ","2552","0.905187079387128","0.894401310664276","0.915972848109979"
"No","2006","66 and older","Single parent ","60","0.861969200904398","0.780581754771562","0.943356647037235"
"No","2006","66 and older","Couple + C. LE 16 ","4","","",""
"No","2006","66 and older","Couple + C. GT 16 ","141","0.88267588033698","0.833273420859378","0.932078339814582"
"No","2006","66 and older","Couple + C. LE and GT 16","4","","",""
"Yes","2007","16-34 y.","1-pers.-HH","","","",""
"Yes","2007","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2007","16-34 y.","Single parent ","","","",""
"Yes","2007","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2007","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2007","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2007","35-65 y.","1-pers.-HH","","","",""
"Yes","2007","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2007","35-65 y.","Single parent ","","","",""
"Yes","2007","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2007","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2007","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2007","66 and older","1-pers.-HH","","","",""
"Yes","2007","66 and older","(Married) couple without C. ","","","",""
"Yes","2007","66 and older","Single parent ","","","",""
"Yes","2007","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2007","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2007","66 and older","Couple + C. LE and GT 16","","","",""
"No","2007","16-34 y.","1-pers.-HH","","","",""
"No","2007","16-34 y.","(Married) couple without C. ","","","",""
"No","2007","16-34 y.","Single parent ","","","",""
"No","2007","16-34 y.","Couple + C. LE 16 ","","","",""
"No","2007","16-34 y.","Couple + C. GT 16 ","","","",""
"No","2007","16-34 y.","Couple + C. LE and GT 16","","","",""
"No","2007","35-65 y.","1-pers.-HH","","","",""
"No","2007","35-65 y.","(Married) couple without C. ","","","",""
"No","2007","35-65 y.","Single parent ","","","",""
"No","2007","35-65 y.","Couple + C. LE 16 ","","","",""
"No","2007","35-65 y.","Couple + C. GT 16 ","","","",""
"No","2007","35-65 y.","Couple + C. LE and GT 16","","","",""
"No","2007","66 and older","1-pers.-HH","","","",""
"No","2007","66 and older","(Married) couple without C. ","","","",""
"No","2007","66 and older","Single parent ","","","",""
"No","2007","66 and older","Couple + C. LE 16 ","","","",""
"No","2007","66 and older","Couple + C. GT 16 ","","","",""
"No","2007","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2008","16-34 y.","1-pers.-HH","239","0.376741465982078","0.338160987677613","0.415321944286544"
"Yes","2008","16-34 y.","(Married) couple without C. ","316","0.379448755771986","0.346052094185204","0.412845417358768"
"Yes","2008","16-34 y.","Single parent ","202","0.471236160636555","0.424647634177844","0.517824687095267"
"Yes","2008","16-34 y.","Couple + C. LE 16 ","294","0.372432646122681","0.340307692617273","0.404557599628089"
"Yes","2008","16-34 y.","Couple + C. GT 16 ","329","0.314857177392141","0.288082975792441","0.34163137899184"
"Yes","2008","16-34 y.","Couple + C. LE and GT 16","95","0.280059109814912","0.234912040354888","0.325206179274937"
"Yes","2008","35-65 y.","1-pers.-HH","520","0.448544233007081","0.420761366986051","0.476327099028112"
"Yes","2008","35-65 y.","(Married) couple without C. ","951","0.281140182867009","0.266184565351102","0.296095800382917"
"Yes","2008","35-65 y.","Single parent ","262","0.46109058919717","0.420522448173086","0.501658730221254"
"Yes","2008","35-65 y.","Couple + C. LE 16 ","626","0.273934106011065","0.255868253673246","0.291999958348884"
"Yes","2008","35-65 y.","Couple + C. GT 16 ","571","0.296864837293692","0.276970606181235","0.316759068406149"
"Yes","2008","35-65 y.","Couple + C. LE and GT 16","223","0.264293590916762","0.234330817270665","0.294256364562859"
"Yes","2008","66 and older","1-pers.-HH","156","0.130155916136347","0.111228496479583","0.149083335793112"
"Yes","2008","66 and older","(Married) couple without C. ","282","0.0962199363646807","0.0852873958337255","0.107152476895636"
"Yes","2008","66 and older","Single parent ","8","","",""
"Yes","2008","66 and older","Couple + C. LE 16 ","1","","",""
"Yes","2008","66 and older","Couple + C. GT 16 ","24","","",""
"Yes","2008","66 and older","Couple + C. LE and GT 16","1","","",""
"No","2008","16-34 y.","1-pers.-HH","367","0.623258534017922","0.584678055713456","0.661839012322387"
"No","2008","16-34 y.","(Married) couple without C. ","495","0.620551244228014","0.587154582641233","0.653947905814796"
"No","2008","16-34 y.","Single parent ","239","0.528763839363445","0.482175312904733","0.575352365822156"
"No","2008","16-34 y.","Couple + C. LE 16 ","576","0.627567353877319","0.595442400371911","0.659692307382727"
"No","2008","16-34 y.","Couple + C. GT 16 ","827","0.685142822607859","0.65836862100816","0.711917024207559"
"No","2008","16-34 y.","Couple + C. LE and GT 16","285","0.719940890185088","0.674793820725063","0.765087959645112"
"No","2008","35-65 y.","1-pers.-HH","711","0.551455766992919","0.523672900971888","0.579238633013949"
"No","2008","35-65 y.","(Married) couple without C. ","2520","0.718859817132991","0.703904199617083","0.733815434648898"
"No","2008","35-65 y.","Single parent ","318","0.53890941080283","0.498341269778746","0.579477551826914"
"No","2008","35-65 y.","Couple + C. LE 16 ","1715","0.726065893988935","0.708000041651116","0.744131746326754"
"No","2008","35-65 y.","Couple + C. GT 16 ","1455","0.703135162706308","0.683240931593851","0.723029393818765"
"No","2008","35-65 y.","Couple + C. LE and GT 16","609","0.735706409083238","0.705743635437141","0.765669182729335"
"No","2008","66 and older","1-pers.-HH","1058","0.869844083863653","0.850916664206888","0.888771503520417"
"No","2008","66 and older","(Married) couple without C. ","2513","0.903780063635319","0.892847523104364","0.914712604166274"
"No","2008","66 and older","Single parent ","58","0.904772012570169","0.833956564852635","0.975587460287703"
"No","2008","66 and older","Couple + C. LE 16 ","3","","",""
"No","2008","66 and older","Couple + C. GT 16 ","160","0.866544984113723","0.817408713997314","0.915681254230132"
"No","2008","66 and older","Couple + C. LE and GT 16","2","","",""
"Yes","2009","16-34 y.","1-pers.-HH","","","",""
"Yes","2009","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2009","16-34 y.","Single parent ","","","",""
"Yes","2009","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2009","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2009","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2009","35-65 y.","1-pers.-HH","","","",""
"Yes","2009","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2009","35-65 y.","Single parent ","","","",""
"Yes","2009","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2009","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2009","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2009","66 and older","1-pers.-HH","","","",""
"Yes","2009","66 and older","(Married) couple without C. ","","","",""
"Yes","2009","66 and older","Single parent ","","","",""
"Yes","2009","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2009","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2009","66 and older","Couple + C. LE and GT 16","","","",""
"No","2009","16-34 y.","1-pers.-HH","","","",""
"No","2009","16-34 y.","(Married) couple without C. ","","","",""
"No","2009","16-34 y.","Single parent ","","","",""
"No","2009","16-34 y.","Couple + C. LE 16 ","","","",""
"No","2009","16-34 y.","Couple + C. GT 16 ","","","",""
"No","2009","16-34 y.","Couple + C. LE and GT 16","","","",""
"No","2009","35-65 y.","1-pers.-HH","","","",""
"No","2009","35-65 y.","(Married) couple without C. ","","","",""
"No","2009","35-65 y.","Single parent ","","","",""
"No","2009","35-65 y.","Couple + C. LE 16 ","","","",""
"No","2009","35-65 y.","Couple + C. GT 16 ","","","",""
"No","2009","35-65 y.","Couple + C. LE and GT 16","","","",""
"No","2009","66 and older","1-pers.-HH","","","",""
"No","2009","66 and older","(Married) couple without C. ","","","",""
"No","2009","66 and older","Single parent ","","","",""
"No","2009","66 and older","Couple + C. LE 16 ","","","",""
"No","2009","66 and older","Couple + C. GT 16 ","","","",""
"No","2009","66 and older","Couple + C. LE and GT 16","","","",""
"Yes","2010","16-34 y.","1-pers.-HH","193","0.367893974771092","0.326164231671941","0.409623717870243"
"Yes","2010","16-34 y.","(Married) couple without C. ","223","0.342537503052013","0.307051320801031","0.378023685302995"
"Yes","2010","16-34 y.","Single parent ","144","0.374367039767022","0.323952585193641","0.424781494340403"
"Yes","2010","16-34 y.","Couple + C. LE 16 ","238","0.380087989633315","0.342685281417658","0.417490697848972"
"Yes","2010","16-34 y.","Couple + C. GT 16 ","264","0.304969253882973","0.275936410929049","0.334002096836897"
"Yes","2010","16-34 y.","Couple + C. LE and GT 16","75","0.218541573960132","0.174222076215882","0.262861071704383"
"Yes","2010","35-65 y.","1-pers.-HH","436","0.410824302433658","0.381855623766445","0.439792981100871"
"Yes","2010","35-65 y.","(Married) couple without C. ","896","0.316586670177648","0.300008170209079","0.333165170146217"
"Yes","2010","35-65 y.","Single parent ","223","0.504067681966293","0.459151767429375","0.548983596503211"
"Yes","2010","35-65 y.","Couple + C. LE 16 ","505","0.261624773467439","0.241867135477416","0.281382411457462"
"Yes","2010","35-65 y.","Couple + C. GT 16 ","443","0.276622999107093","0.255396172677901","0.297849825536285"
"Yes","2010","35-65 y.","Couple + C. LE and GT 16","187","0.230844996509538","0.199893955415767","0.261796037603308"
"Yes","2010","66 and older","1-pers.-HH","139","0.132455924000058","0.112708686695043","0.152203161305072"
"Yes","2010","66 and older","(Married) couple without C. ","269","0.0935729056242421","0.0824297634230646","0.10471604782542"
"Yes","2010","66 and older","Single parent ","3","","",""
"Yes","2010","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2010","66 and older","Couple + C. GT 16 ","18","","",""
"Yes","2010","66 and older","Couple + C. LE and GT 16","","","",""
"No","2010","16-34 y.","1-pers.-HH","320","0.632106025228908","0.590376282129757","0.67383576832806"
"No","2010","16-34 y.","(Married) couple without C. ","464","0.657462496947987","0.621976314697005","0.692948679198969"
"No","2010","16-34 y.","Single parent ","210","0.625632960232978","0.575218505659597","0.676047414806359"
"No","2010","16-34 y.","Couple + C. LE 16 ","409","0.619912010366685","0.582509302151028","0.657314718582342"
"No","2010","16-34 y.","Couple + C. GT 16 ","702","0.695030746117027","0.665997903163103","0.724063589070951"
"No","2010","16-34 y.","Couple + C. LE and GT 16","259","0.781458426039867","0.737138928295617","0.825777923784118"
"No","2010","35-65 y.","1-pers.-HH","672","0.589175697566342","0.560207018899129","0.618144376233555"
"No","2010","35-65 y.","(Married) couple without C. ","2128","0.683413329822352","0.666834829853783","0.699991829790921"
"No","2010","35-65 y.","Single parent ","253","0.495932318033707","0.451016403496789","0.540848232570625"
"No","2010","35-65 y.","Couple + C. LE 16 ","1396","0.738375226532561","0.718617588542538","0.758132864522584"
"No","2010","35-65 y.","Couple + C. GT 16 ","1263","0.723377000892907","0.702150174463715","0.744603827322099"
"No","2010","35-65 y.","Couple + C. LE and GT 16","525","0.769155003490462","0.738203962396692","0.800106044584233"
"No","2010","66 and older","1-pers.-HH","993","0.867544075999942","0.847796838694928","0.887291313304957"
"No","2010","66 and older","(Married) couple without C. ","2355","0.906427094375758","0.89528395217458","0.917570236576935"
"No","2010","66 and older","Single parent ","60","0.980415904932971","0.946199471028556","1.01463233883739"
"No","2010","66 and older","Couple + C. LE 16 ","4","","",""
"No","2010","66 and older","Couple + C. GT 16 ","145","0.945402164053411","0.910524266356446","0.980280061750376"
"No","2010","66 and older","Couple + C. LE and GT 16","2","","",""
"Yes","2011","16-34 y.","1-pers.-HH","","","",""
"Yes","2011","16-34 y.","(Married) couple without C. ","","","",""
"Yes","2011","16-34 y.","Single parent ","","","",""
"Yes","2011","16-34 y.","Couple + C. LE 16 ","","","",""
"Yes","2011","16-34 y.","Couple + C. GT 16 ","","","",""
"Yes","2011","16-34 y.","Couple + C. LE and GT 16","","","",""
"Yes","2011","35-65 y.","1-pers.-HH","","","",""
"Yes","2011","35-65 y.","(Married) couple without C. ","","","",""
"Yes","2011","35-65 y.","Single parent ","","","",""
"Yes","2011","35-65 y.","Couple + C. LE 16 ","","","",""
"Yes","2011","35-65 y.","Couple + C. GT 16 ","","","",""
"Yes","2011","35-65 y.","Couple + C. LE and GT 16","","","",""
"Yes","2011","66 and older","1-pers.-HH","","","",""
"Yes","2011","66 and older","(Married) couple without C. ","","","",""
"Yes","2011","66 and older","Single parent ","","","",""
"Yes","2011","66 and older","Couple + C. LE 16 ","","","",""
"Yes","2011","66 and older","Couple + C. GT 16 ","","","",""
"Yes","2011","66 and older","Couple + C. LE and GT 16","","","",""
"No","2011","16-34 y.","1-pers.-HH","","","",""
"No","2011","16-34 y.","(Married) couple without C. ","","","",""
"No","2011","16-34 y.","Single parent ","","","",""
"No","2011","16-34 y.","Couple + C. LE 16 ","","","",""
"No","2011","16-34 y.","Couple + C. GT 16 ","","","",""
"No","2011","16-34 y.","Couple + C. LE and GT 16","","","",""
"No","2011","35-65 y.","1-pers.-HH","","","",""
"No","2011","35-65 y.","(Married) couple without C. ","","","",""
"No","2011","35-65 y.","Single parent ","","","",""
"No","2011","35-65 y.","Couple + C. LE 16 ","","","",""
"No","2011","35-65 y.","Couple + C. GT 16 ","","","",""
"No","2011","35-65 y.","Couple + C. LE and GT 16","","","",""
"No","2011","66 and older","1-pers.-HH","","","",""
"No","2011","66 and older","(Married) couple without C. ","","","",""
"No","2011","66 and older","Single parent ","","","",""
"No","2011","66 and older","Couple + C. LE 16 ","","","",""
"No","2011","66 and older","Couple + C. GT 16 ","","","",""
