"ple0081_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence"
"No","2007","Not Employed","Rural Area","","","",""
"No","2007","Employed","Urban Area","","","",""
"No","2007","Employed","Rural Area","","","",""
"Yes","2008","Not Employed","Urban Area","871","0.192020607067185","0.181002026884455","0.203039187249915"
"Yes","2008","Not Employed","Rural Area","512","0.201954741737184","0.186472755539646","0.217436727934721"
"Yes","2008","Employed","Urban Area","2557","0.346093895493801","0.335624085949797","0.356563705037805"
"Yes","2008","Employed","Rural Area","1276","0.332994242561882","0.318356280513466","0.347632204610298"
"No","2008","Not Employed","Urban Area","4038","0.807979392932815","0.796960812750085","0.818997973115545"
"No","2008","Not Employed","Rural Area","2071","0.798045258262816","0.782563272065279","0.813527244460354"
"No","2008","Employed","Urban Area","5374","0.653906104506199","0.643436294962195","0.664375914050203"
"No","2008","Employed","Rural Area","2706","0.667005757438118","0.652367795389702","0.681643719486534"
"Yes","2009","Not Employed","Urban Area","","","",""
"Yes","2009","Not Employed","Rural Area","","","",""
"Yes","2009","Employed","Urban Area","","","",""
"Yes","2009","Employed","Rural Area","","","",""
"No","2009","Not Employed","Urban Area","","","",""
"No","2009","Not Employed","Rural Area","","","",""
"No","2009","Employed","Urban Area","","","",""
"No","2009","Employed","Rural Area","","","",""
"Yes","2010","Not Employed","Urban Area","725","0.183034157901383","0.171338001263699","0.194730314539067"
"Yes","2010","Not Employed","Rural Area","417","0.185721543974891","0.169344463622352","0.20209862432743"
"Yes","2010","Employed","Urban Area","2128","0.331859564518376","0.320715881836973","0.343003247199779"
"Yes","2010","Employed","Rural Area","1084","0.311803286260635","0.296458929870227","0.327147642651043"
"No","2010","Not Employed","Urban Area","3474","0.816965842098617","0.805269685460933","0.828661998736301"
"No","2010","Not Employed","Rural Area","1749","0.814278456025109","0.79790137567257","0.830655536377648"
"No","2010","Employed","Urban Area","4731","0.668140435481624","0.656996752800221","0.679284118163027"
"No","2010","Employed","Rural Area","2417","0.688196713739365","0.672852357348957","0.703541070129773"
"Yes","2011","Not Employed","Urban Area","","","",""
"Yes","2011","Not Employed","Rural Area","","","",""
"Yes","2011","Employed","Urban Area","","","",""
"Yes","2011","Employed","Rural Area","","","",""
"No","2011","Not Employed","Urban Area","","","",""
"No","2011","Not Employed","Rural Area","","","",""
"No","2011","Employed","Urban Area","","","",""
"No","2011","Employed","Rural Area","","","",""
"Yes","2012","Not Employed","Urban Area","915","0.183331213104731","0.172759280527309","0.193903145682153"
"Yes","2012","Not Employed","Rural Area","565","0.198695513974073","0.184183001599897","0.213208026348249"
"Yes","2012","Employed","Urban Area","2419","0.30863227053488","0.29857266848502","0.318691872584739"
"Yes","2012","Employed","Rural Area","1380","0.324076241029889","0.310201332128851","0.337951149930927"
"No","2012","Not Employed","Urban Area","4231","0.816668786895269","0.806096854317847","0.827240719472691"
"No","2012","Not Employed","Rural Area","2339","0.801304486025927","0.786791973651751","0.815816998400103"
"No","2012","Employed","Urban Area","5681","0.69136772946512","0.681308127415261","0.70142733151498"
"No","2012","Employed","Rural Area","2991","0.675923758970111","0.662048850069073","0.68979866787115"
"Yes","2013","Not Employed","Urban Area","","","",""
"Yes","2013","Not Employed","Rural Area","","","",""
"Yes","2013","Employed","Urban Area","","","",""
"Yes","2013","Employed","Rural Area","","","",""
"No","2013","Not Employed","Urban Area","","","",""
"No","2013","Not Employed","Rural Area","","","",""
"No","2013","Employed","Urban Area","","","",""
"No","2013","Employed","Rural Area","","","",""
"Yes","2014","Not Employed","Urban Area","1324","0.193882579947747","0.183961665107543","0.203803494787952"
"Yes","2014","Not Employed","Rural Area","764","0.213362790787839","0.199346748891537","0.22737883268414"
"Yes","2014","Employed","Urban Area","3437","0.299975420671237","0.291696774147734","0.30825406719474"
"Yes","2014","Employed","Rural Area","1910","0.325671779969226","0.313824996289354","0.337518563649097"
"No","2014","Not Employed","Urban Area","4776","0.806117420052253","0.796196505212048","0.816038334892457"
"No","2014","Not Employed","Rural Area","2518","0.786637209212161","0.77262116731586","0.800653251108463"
"No","2014","Employed","Urban Area","8333","0.700024579328763","0.69174593280526","0.708303225852266"
"No","2014","Employed","Rural Area","4101","0.674328220030774","0.662481436350903","0.686175003710646"
"Yes","2015","Not Employed","Urban Area","","","",""
"Yes","2015","Not Employed","Rural Area","","","",""
"Yes","2015","Employed","Urban Area","","","",""
"Yes","2015","Employed","Rural Area","","","",""
"No","2015","Not Employed","Urban Area","","","",""
"No","2015","Not Employed","Rural Area","","","",""
"No","2015","Employed","Urban Area","","","",""
"No","2015","Employed","Rural Area","","","",""
"Yes","2016","Not Employed","Urban Area","1088","0.194367468716237","0.183718032418846","0.205016905013628"
"Yes","2016","Not Employed","Rural Area","587","0.197289202225723","0.182588431570992","0.211989972880453"
"Yes","2016","Employed","Urban Area","2933","0.280299240517873","0.271750538630822","0.288847942404924"
"Yes","2016","Employed","Rural Area","1712","0.307488639284506","0.295339575314083","0.319637703254929"
"No","2016","Not Employed","Urban Area","4216","0.805632531283763","0.794983094986372","0.816281967581154"
"No","2016","Not Employed","Rural Area","2228","0.802710797774277","0.788010027119547","0.817411568429008"
"No","2016","Employed","Urban Area","7671","0.719700759482127","0.711152057595076","0.728249461369178"
"No","2016","Employed","Rural Area","3830","0.692511360715494","0.680362296745071","0.704660424685917"
"Yes","2017","Not Employed","Urban Area","","","",""
"Yes","2017","Not Employed","Rural Area","","","",""
"Yes","2017","Employed","Urban Area","","","",""
"Yes","2017","Employed","Rural Area","","","",""
"No","2017","Not Employed","Urban Area","","","",""
"No","2017","Not Employed","Rural Area","","","",""
"No","2017","Employed","Urban Area","","","",""
"No","2017","Employed","Rural Area","","","",""
"Yes","2018","Not Employed","Urban Area","1046","0.180541636956041","0.170201941704182","0.190881332207899"
"Yes","2018","Not Employed","Rural Area","611","0.195933112284007","0.181487062756022","0.210379161811992"
"Yes","2018","Employed","Urban Area","3039","0.274981142070362","0.266763837642599","0.283198446498124"
"Yes","2018","Employed","Rural Area","1811","0.298107835975586","0.286648517374281","0.309567154576891"
"No","2018","Not Employed","Urban Area","4270","0.819458363043959","0.809118667792101","0.829798058295818"
"No","2018","Not Employed","Rural Area","2289","0.804066887715993","0.789620838188008","0.818512937243978"
"No","2018","Employed","Urban Area","8303","0.725018857929638","0.716801553501876","0.733236162357401"
"No","2018","Employed","Rural Area","4310","0.701892164024414","0.690432845423109","0.713351482625719"
