"ple0081_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2002","Couple + C. GT 16 ","West Germany","863","0.307340608030792","0.290516030924999","0.324165185136584","1"
"Yes","2002","Couple + C. GT 16 ","East Germany","344","0.331015568596342","0.303468366168831","0.358562771023853","1"
"Yes","2002","Couple + C. LE and GT 16","West Germany","532","0.375483771358647","0.350895816526632","0.400071726190663","1"
"Yes","2002","Couple + C. LE and GT 16","East Germany","181","0.400725019200566","0.356184229052212","0.445265809348921","1"
"No","2003","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2003","1-pers.-HH","West Germany","","","","","2"
"No","2003","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2003","1-pers.-HH","East Germany","","","","","2"
"No","2003","(Married) couple without C. ","West Germany","","","","","2"
"No","2003","(Married) couple without C. ","East Germany","","","","","2"
"No","2003","Single parent ","West Germany","","","","","2"
"No","2003","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2003","Single parent ","East Germany","","","","","2"
"No","2003","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2003","Couple + C. LE 16 ","East Germany","","","","","2"
"No","2003","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","2003","1-pers.-HH","West Germany","","","","","1"
"Yes","2003","1-pers.-HH","East Germany","","","","","1"
"Yes","2003","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2003","(Married) couple without C. ","East Germany","","","","","1"
"Yes","2003","Single parent ","West Germany","","","","","1"
"Yes","2003","Single parent ","East Germany","","","","","1"
"Yes","2003","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2003","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2003","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2003","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2003","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","2004","1-pers.-HH","East Germany","485","0.678563397255837","0.644378727194648","0.712748067317026","2"
"No","2004","Couple + C. GT 16 ","West Germany","1960","0.679549063266981","0.662248973097876","0.696849153436085","2"
"No","2004","Couple + C. GT 16 ","East Germany","779","0.677722231057053","0.650461207364366","0.70498325474974","2"
"No","2004","1-pers.-HH","West Germany","1514","0.695494260099084","0.676303386283105","0.714685133915063","2"
"No","2004","(Married) couple without C. ","West Germany","4159","0.768046422973883","0.756851882385179","0.779240963562587","2"
"No","2004","(Married) couple without C. ","East Germany","1434","0.803483161546597","0.785217330940224","0.821748992152971","2"
"No","2004","Single parent ","West Germany","441","0.535139050258231","0.500706005708104","0.569572094808359","2"
"No","2004","Single parent ","East Germany","161","0.541119299481216","0.483568911567086","0.598669687395346","2"
"No","2004","Couple + C. LE 16 ","West Germany","2217","0.662876756562211","0.646765042812385","0.678988470312036","2"
"No","2004","Couple + C. LE and GT 16","West Germany","931","0.649509349692003","0.624552172681421","0.674466526702586","2"
"No","2004","Couple + C. LE 16 ","East Germany","509","0.668951562896142","0.635317271841074","0.702585853951209","2"
"No","2004","Couple + C. LE and GT 16","East Germany","253","0.636582664682677","0.58878534823325","0.684379981132104","2"
"Yes","2004","Single parent ","West Germany","365","0.464860949741769","0.430427905191641","0.499293994291896","1"
"Yes","2004","Single parent ","East Germany","127","0.458880700518784","0.401330312604654","0.516431088432914","1"
"Yes","2004","Couple + C. LE 16 ","West Germany","1090","0.337123243437789","0.321011529687964","0.353234957187615","1"
"Yes","2004","Couple + C. LE 16 ","East Germany","243","0.331048437103858","0.297414146048791","0.364682728158926","1"
"Yes","2004","Couple + C. GT 16 ","West Germany","835","0.320450936733019","0.303150846563915","0.337751026902124","1"
"Yes","2004","Couple + C. GT 16 ","East Germany","350","0.322277768942947","0.29501674525026","0.349538792635634","1"
"Yes","2004","Couple + C. LE and GT 16","West Germany","473","0.350490650307997","0.325533473297414","0.375447827318579","1"
"Yes","2004","Couple + C. LE and GT 16","East Germany","136","0.363417335317323","0.315620018867896","0.41121465176675","1"
"Yes","2004","1-pers.-HH","West Germany","695","0.304505739900916","0.285314866084937","0.323696613716895","1"
"Yes","2004","1-pers.-HH","East Germany","232","0.321436602744163","0.287251932682974","0.355621272805352","1"
"Yes","2004","(Married) couple without C. ","West Germany","1302","0.231953577026117","0.220759036437413","0.243148117614821","1"
"Yes","2004","(Married) couple without C. ","East Germany","384","0.196516838453402","0.178251007847029","0.214782669059776","1"
"No","2005","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2005","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2005","1-pers.-HH","West Germany","","","","","2"
"No","2005","1-pers.-HH","East Germany","","","","","2"
"No","2005","(Married) couple without C. ","East Germany","","","","","2"
"No","2005","(Married) couple without C. ","West Germany","","","","","2"
"No","2005","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2005","Single parent ","West Germany","","","","","2"
"No","2005","Single parent ","East Germany","","","","","2"
"No","2005","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2005","Couple + C. LE 16 ","East Germany","","","","","2"
"No","2005","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","2005","Single parent ","West Germany","","","","","1"
"Yes","2005","Single parent ","East Germany","","","","","1"
"Yes","2005","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2005","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2005","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2005","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2005","Couple + C. LE and GT 16","East Germany","","","","","1"
"Yes","2005","1-pers.-HH","West Germany","","","","","1"
"Yes","2005","1-pers.-HH","East Germany","","","","","1"
"Yes","2005","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2005","(Married) couple without C. ","East Germany","","","","","1"
"No","2006","Couple + C. GT 16 ","East Germany","734","0.696779654006715","0.669121875205932","0.724437432807497","2"
"No","2006","(Married) couple without C. ","East Germany","1577","0.805174857793907","0.787676264086969","0.822673451500844","2"
"No","2006","Couple + C. GT 16 ","West Germany","1823","0.663177174800245","0.645052215208827","0.681302134391663","2"
"No","2006","1-pers.-HH","West Germany","1751","0.691552000317943","0.673526847727001","0.709577152908885","2"
"No","2006","1-pers.-HH","East Germany","557","0.669074440663033","0.637081809821974","0.701067071504092","2"
"No","2006","(Married) couple without C. ","West Germany","4567","0.760703423849128","0.749828653875442","0.771578193822814","2"
"No","2006","Single parent ","West Germany","471","0.524842719766858","0.491754199398245","0.557931240135471","2"
"No","2006","Single parent ","East Germany","168","0.552021373168903","0.495274272595285","0.608768473742521","2"
"No","2006","Couple + C. LE and GT 16","West Germany","802","0.636309895246477","0.609023509866576","0.663596280626379","2"
"No","2006","Couple + C. LE 16 ","West Germany","2216","0.66806575592255","0.651777912971941","0.68435359887316","2"
"No","2006","Couple + C. LE 16 ","East Germany","491","0.68923941912069","0.655363855529618","0.723114982711761","2"
"No","2006","Couple + C. LE and GT 16","East Germany","206","0.636902393863793","0.582575737464377","0.691229050263209","2"
"Yes","2006","Single parent ","West Germany","404","0.475157280233142","0.442068759864529","0.508245800601755","1"
"Yes","2006","1-pers.-HH","West Germany","771","0.308447999682057","0.290422847091115","0.326473152272999","1"
"Yes","2006","1-pers.-HH","East Germany","274","0.330925559336967","0.298932928495908","0.362918190178026","1"
"Yes","2006","(Married) couple without C. ","West Germany","1346","0.239296576150872","0.228421806177186","0.250171346124558","1"
"Yes","2006","(Married) couple without C. ","East Germany","391","0.194825142206093","0.177326548499156","0.212323735913031","1"
"Yes","2006","Single parent ","East Germany","127","0.447978626831097","0.391231526257479","0.504725727404715","1"
"Yes","2006","Couple + C. LE 16 ","West Germany","995","0.331934244077449","0.31564640112684","0.348222087028059","1"
"Yes","2006","Couple + C. LE 16 ","East Germany","226","0.31076058087931","0.276885017288239","0.344636144470382","1"
"Yes","2006","Couple + C. GT 16 ","West Germany","789","0.336822825199755","0.318697865608337","0.354947784791173","1"
"Yes","2006","Couple + C. GT 16 ","East Germany","327","0.303220345993285","0.275562567192503","0.330878124794068","1"
"Yes","2006","Couple + C. LE and GT 16","West Germany","392","0.363690104753523","0.336403719373621","0.390976490133424","1"
"Yes","2006","Couple + C. LE and GT 16","East Germany","95","0.363097606136207","0.308770949736791","0.417424262535623","1"
"No","2007","1-pers.-HH","East Germany","","","","","2"
"No","2007","(Married) couple without C. ","West Germany","","","","","2"
"No","2007","(Married) couple without C. ","East Germany","","","","","2"
"No","2007","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2007","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2007","1-pers.-HH","West Germany","","","","","2"
"No","2007","Single parent ","West Germany","","","","","2"
"No","2007","Single parent ","East Germany","","","","","2"
"No","2007","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2007","Couple + C. LE 16 ","East Germany","","","","","2"
"No","2007","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2007","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","2007","Single parent ","West Germany","","","","","1"
"Yes","2007","Single parent ","East Germany","","","","","1"
"Yes","2007","1-pers.-HH","West Germany","","","","","1"
"Yes","2007","1-pers.-HH","East Germany","","","","","1"
"Yes","2007","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2007","(Married) couple without C. ","East Germany","","","","","1"
"Yes","2007","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2007","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2007","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2007","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2007","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2007","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","2008","(Married) couple without C. ","East Germany","1494","0.793771828020914","0.775409382951488","0.81213427309034","2"
"No","2008","Couple + C. GT 16 ","West Germany","1774","0.695758388082181","0.677506712805689","0.714010063358674","2"
"No","2008","Couple + C. GT 16 ","East Germany","668","0.744474282399347","0.716366965975773","0.772581598822922","2"
"No","2008","Couple + C. LE and GT 16","West Germany","724","0.724514472187975","0.696471844241438","0.752557100134512","2"
"No","2008","1-pers.-HH","West Germany","1613","0.693980047455943","0.675084766551378","0.712875328360508","2"
"No","2008","1-pers.-HH","East Germany","523","0.668506671533991","0.635169866490242","0.701843476577741","2"
"No","2008","(Married) couple without C. ","West Germany","4034","0.774178939974313","0.762827556773903","0.785530323174724","2"
"No","2008","Single parent ","West Germany","465","0.562373087632092","0.528124328152625","0.596621847111559","2"
"No","2008","Single parent ","East Germany","150","0.507994562432794","0.449541211323598","0.56644791354199","2"
"No","2008","Couple + C. LE 16 ","West Germany","1862","0.702482897933542","0.68490694840756","0.720058847459524","2"
"No","2008","Couple + C. LE 16 ","East Germany","432","0.674218411030581","0.637208221648268","0.711228600412893","2"
"No","2008","Couple + C. LE and GT 16","East Germany","172","0.761498282054178","0.707581658179268","0.815414905929089","2"
"Yes","2008","1-pers.-HH","West Germany","672","0.306019952544057","0.287124671639492","0.324915233448622","1"
"Yes","2008","Single parent ","West Germany","341","0.437626912367908","0.403378152888441","0.471875671847374","1"
"Yes","2008","Single parent ","East Germany","131","0.492005437567206","0.43355208645801","0.550458788676402","1"
"Yes","2008","1-pers.-HH","East Germany","243","0.331493328466009","0.298156523422259","0.364830133509758","1"
"Yes","2008","(Married) couple without C. ","West Germany","1178","0.225821060025686","0.214469676825276","0.237172443226097","1"
"Yes","2008","(Married) couple without C. ","East Germany","371","0.206228171979086","0.18786572690966","0.224590617048512","1"
"Yes","2008","Couple + C. LE 16 ","West Germany","737","0.297517102066458","0.279941152540476","0.31509305159244","1"
"Yes","2008","Couple + C. LE 16 ","East Germany","184","0.325781588969419","0.288771399587107","0.362791778351732","1"
"Yes","2008","Couple + C. GT 16 ","West Germany","667","0.304241611917819","0.285989936641326","0.322493287194311","1"
"Yes","2008","Couple + C. GT 16 ","East Germany","257","0.255525717600653","0.227418401177078","0.283633034024227","1"
"Yes","2008","Couple + C. LE and GT 16","West Germany","251","0.275485527812025","0.247442899865488","0.303528155758562","1"
"Yes","2008","Couple + C. LE and GT 16","East Germany","68","0.238501717945822","0.184585094070911","0.292418341820732","1"
"No","2009","1-pers.-HH","West Germany","","","","","2"
"No","2009","(Married) couple without C. ","East Germany","","","","","2"
"No","2009","Single parent ","West Germany","","","","","2"
"No","2009","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2009","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2009","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2009","1-pers.-HH","East Germany","","","","","2"
"No","2009","(Married) couple without C. ","West Germany","","","","","2"
"No","2009","Single parent ","East Germany","","","","","2"
"No","2009","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2009","Couple + C. LE 16 ","East Germany","","","","","2"
"No","2009","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","2009","1-pers.-HH","West Germany","","","","","1"
"Yes","2009","Single parent ","West Germany","","","","","1"
"Yes","2009","Single parent ","East Germany","","","","","1"
"Yes","2009","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2009","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2009","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2009","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2009","Couple + C. LE and GT 16","East Germany","","","","","1"
"Yes","2009","1-pers.-HH","East Germany","","","","","1"
"Yes","2009","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2009","(Married) couple without C. ","East Germany","","","","","1"
"No","2010","Couple + C. GT 16 ","West Germany","1604","0.722180250735335","0.703211325746844","0.741149175723827","2"
"No","2010","Couple + C. GT 16 ","East Germany","506","0.724173823599485","0.690898627426116","0.757449019772854","2"
"No","2010","Couple + C. LE and GT 16","West Germany","663","0.780644575994894","0.753083891014837","0.808205260974952","2"
"No","2010","1-pers.-HH","West Germany","1494","0.705480434436281","0.685791623885201","0.72516924498736","2"
"No","2010","1-pers.-HH","East Germany","491","0.698362647250599","0.664215736661036","0.732509557840161","2"
"No","2010","(Married) couple without C. ","West Germany","3576","0.760218014366518","0.747904033310074","0.772531995422962","2"
"No","2010","(Married) couple without C. ","East Germany","1371","0.801966192466434","0.783116223369317","0.82081616156355","2"
"No","2010","Single parent ","West Germany","397","0.606304058924805","0.568973813024877","0.643634304824733","2"
"No","2010","Single parent ","East Germany","126","0.56282142790106","0.499401038342425","0.626241817459695","2"
"No","2010","Couple + C. LE 16 ","West Germany","1416","0.715126735344909","0.695325824142111","0.734927646547706","2"
"No","2010","Couple + C. LE 16 ","East Germany","393","0.741849659407717","0.7054744922931","0.778224826522334","2"
"No","2010","Couple + C. LE and GT 16","East Germany","123","0.718779053250216","0.653460894159323","0.784097212341109","2"
"Yes","2010","1-pers.-HH","West Germany","565","0.294519565563719","0.27483075501264","0.314208376114799","1"
"Yes","2010","Single parent ","West Germany","261","0.393695941075195","0.356365695175267","0.431026186975123","1"
"Yes","2010","Single parent ","East Germany","109","0.43717857209894","0.373758182540305","0.500598961657575","1"
"Yes","2010","Couple + C. LE 16 ","West Germany","580","0.284873264655092","0.265072353452294","0.304674175857889","1"
"Yes","2010","Couple + C. LE 16 ","East Germany","163","0.258150340592283","0.221775173477666","0.294525507706901","1"
"Yes","2010","Couple + C. GT 16 ","West Germany","538","0.277819749264665","0.258850824276173","0.296788674253156","1"
"Yes","2010","Couple + C. GT 16 ","East Germany","187","0.275826176400515","0.242550980227146","0.309101372573884","1"
"Yes","2010","Couple + C. LE and GT 16","West Germany","203","0.219355424005106","0.191794739025048","0.246916108985163","1"
"Yes","2010","Couple + C. LE and GT 16","East Germany","59","0.281220946749784","0.215902787658891","0.346539105840677","1"
"Yes","2010","1-pers.-HH","East Germany","203","0.301637352749401","0.267490442159839","0.335784263338963","1"
"Yes","2010","(Married) couple without C. ","West Germany","1042","0.239781985633482","0.227468004577038","0.252095966689926","1"
"Yes","2010","(Married) couple without C. ","East Germany","346","0.198033807533566","0.17918383843645","0.216883776630683","1"
"No","2011","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2011","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2011","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2011","1-pers.-HH","West Germany","","","","","2"
"No","2011","1-pers.-HH","East Germany","","","","","2"
"No","2011","(Married) couple without C. ","West Germany","","","","","2"
"No","2011","(Married) couple without C. ","East Germany","","","","","2"
"No","2011","Single parent ","West Germany","","","","","2"
"No","2011","Single parent ","East Germany","","","","","2"
"No","2011","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2011","Couple + C. LE 16 ","East Germany","","","","","2"
"No","2011","Couple + C. LE and GT 16","East Germany","","","","","2"
"Yes","2011","1-pers.-HH","West Germany","","","","","1"
"Yes","2011","Single parent ","West Germany","","","","","1"
"Yes","2011","Single parent ","East Germany","","","","","1"
"Yes","2011","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2011","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2011","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2011","1-pers.-HH","East Germany","","","","","1"
"Yes","2011","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2011","(Married) couple without C. ","East Germany","","","","","1"
"Yes","2011","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2011","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2011","Couple + C. LE and GT 16","East Germany","","","","","1"
"No","2012","1-pers.-HH","West Germany","1934","0.70169128757004","0.684525950573241","0.71885662456684","2"
"No","2012","1-pers.-HH","East Germany","647","0.689664439622732","0.660042534691106","0.719286344554359","2"
"No","2012","(Married) couple without C. ","West Germany","4805","0.782553696188174","0.772139384205455","0.792968008170894","2"
"No","2012","(Married) couple without C. ","East Germany","1673","0.791487275973026","0.774132848503546","0.808841703442507","2"
"No","2012","Single parent ","West Germany","574","0.642820666003021","0.611857721516097","0.673783610489944","2"
"No","2012","Single parent ","East Germany","145","0.509088864029176","0.450844606450913","0.56733312160744","2"
"No","2012","Couple + C. GT 16 ","West Germany","1755","0.731862784822631","0.713925556927887","0.749800012717374","2"
"No","2012","Couple + C. GT 16 ","East Germany","447","0.713856855757031","0.678480624806228","0.749233086707834","2"
"No","2012","Couple + C. LE and GT 16","West Germany","701","0.728554242692275","0.700049655201805","0.757058830182745","2"
"No","2012","Couple + C. LE 16 ","West Germany","1736","0.712955338552364","0.694894185643326","0.731016491461402","2"
"No","2012","Couple + C. LE 16 ","East Germany","447","0.700052757888653","0.665013634837165","0.735091880940141","2"
"No","2012","Couple + C. LE and GT 16","East Germany","108","0.622673480519426","0.546365301206498","0.698981659832354","2"
"Yes","2012","1-pers.-HH","West Germany","795","0.29830871242996","0.28114337543316","0.31547404942676","1"
"Yes","2012","Single parent ","West Germany","346","0.357179333996979","0.326216389510056","0.388142278483903","1"
"Yes","2012","Single parent ","East Germany","138","0.490911135970824","0.43266687839256","0.549155393549087","1"
"Yes","2012","Couple + C. LE 16 ","West Germany","674","0.287044661447636","0.268983508538598","0.305105814356674","1"
"Yes","2012","Couple + C. LE 16 ","East Germany","210","0.299947242111347","0.264908119059859","0.334986365162835","1"
"Yes","2012","Couple + C. GT 16 ","East Germany","180","0.286143144242969","0.250766913292166","0.321519375193772","1"
"Yes","2012","Couple + C. LE and GT 16","West Germany","234","0.271445757307725","0.242941169817255","0.299950344798195","1"
"Yes","2012","Couple + C. LE and GT 16","East Germany","47","0.377326519480574","0.301018340167646","0.453634698793502","1"
"Yes","2012","1-pers.-HH","East Germany","290","0.310335560377268","0.280713655445641","0.339957465308895","1"
"Yes","2012","(Married) couple without C. ","West Germany","1222","0.217446303811825","0.207031991829106","0.227860615794545","1"
"Yes","2012","(Married) couple without C. ","East Germany","432","0.208512724026974","0.191158296557493","0.225867151496454","1"
"Yes","2012","Couple + C. GT 16 ","West Germany","588","0.268137215177369","0.250199987282626","0.286074443072113","1"
"No","2013","1-pers.-HH","West Germany","","","","","2"
"No","2013","1-pers.-HH","East Germany","","","","","2"
"No","2013","(Married) couple without C. ","West Germany","","","","","2"
"No","2013","(Married) couple without C. ","East Germany","","","","","2"
"No","2013","Single parent ","West Germany","","","","","2"
"No","2013","Single parent ","East Germany","","","","","2"
"No","2013","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2013","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2013","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2013","Couple + C. LE and GT 16","East Germany","","","","","2"
"No","2013","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2013","Couple + C. LE 16 ","East Germany","","","","","2"
"Yes","2013","1-pers.-HH","West Germany","","","","","1"
"Yes","2013","1-pers.-HH","East Germany","","","","","1"
"Yes","2013","Single parent ","West Germany","","","","","1"
"Yes","2013","Single parent ","East Germany","","","","","1"
"Yes","2013","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2013","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2013","Couple + C. LE and GT 16","East Germany","","","","","1"
"Yes","2013","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2013","(Married) couple without C. ","East Germany","","","","","1"
"Yes","2013","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2013","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2013","Couple + C. LE and GT 16","West Germany","","","","","1"
"No","2014","1-pers.-HH","West Germany","1943","0.70295367352877","0.685896575188508","0.720010771869031","2"
"No","2014","1-pers.-HH","East Germany","616","0.675285845484688","0.644743762746661","0.705827928222714","2"
"No","2014","(Married) couple without C. ","West Germany","4704","0.784287763932392","0.773853245473972","0.794722282390812","2"
"No","2014","(Married) couple without C. ","East Germany","1601","0.76965397567927","0.751337657000095","0.787970294358444","2"
"No","2014","Single parent ","West Germany","1211","0.58732581068766","0.565591394666504","0.609060226708815","2"
"No","2014","Single parent ","East Germany","269","0.546163640825488","0.501763375908072","0.590563905742904","2"
"No","2014","Couple + C. LE 16 ","West Germany","4090","0.74407703368152","0.732685356902136","0.755468710460904","2"
"No","2014","Couple + C. GT 16 ","West Germany","1897","0.750070839507375","0.733252678826049","0.7668890001887","2"
"No","2014","Couple + C. GT 16 ","East Germany","380","0.729816088092799","0.692188389281646","0.767443786903953","2"
"No","2014","Couple + C. LE and GT 16","West Germany","1423","0.736607090464631","0.716976207065942","0.75623797386332","2"
"No","2014","Couple + C. LE and GT 16","East Germany","227","0.735537622770593","0.686040202361668","0.785035043179519","2"
"No","2014","Couple + C. LE 16 ","East Germany","808","0.667807037663406","0.641409976906724","0.694204098420087","2"
"Yes","2014","1-pers.-HH","West Germany","814","0.29704632647123","0.279989228130969","0.314103424811492","1"
"Yes","2014","Single parent ","West Germany","760","0.41267418931234","0.390939773291185","0.434408605333496","1"
"Yes","2014","Single parent ","East Germany","214","0.453836359174512","0.409436094257096","0.498236624091928","1"
"Yes","2014","1-pers.-HH","East Germany","287","0.324714154515312","0.294172071777286","0.355256237253339","1"
"Yes","2014","Couple + C. LE 16 ","West Germany","1547","0.25592296631848","0.244531289539096","0.267314643097864","1"
"Yes","2014","Couple + C. LE 16 ","East Germany","415","0.332192962336595","0.305795901579913","0.358590023093276","1"
"Yes","2014","Couple + C. GT 16 ","East Germany","155","0.270183911907201","0.232556213096047","0.307811610718354","1"
"Yes","2014","Couple + C. LE and GT 16","West Germany","511","0.263392909535369","0.24376202613668","0.283023792934058","1"
"Yes","2014","Couple + C. LE and GT 16","East Germany","78","0.264462377229407","0.214964956820481","0.313959797638332","1"
"Yes","2014","(Married) couple without C. ","East Germany","429","0.23034602432073","0.212029705641556","0.248662342999905","1"
"Yes","2014","Couple + C. GT 16 ","West Germany","649","0.249929160492626","0.2331109998113","0.266747321173951","1"
"Yes","2014","(Married) couple without C. ","West Germany","1265","0.215712236067608","0.205277717609188","0.226146754526028","1"
"No","2015","Couple + C. GT 16 ","West Germany","","","","","2"
"No","2015","Couple + C. GT 16 ","East Germany","","","","","2"
"No","2015","Couple + C. LE and GT 16","West Germany","","","","","2"
"No","2015","Couple + C. LE and GT 16","East Germany","","","","","2"
"No","2015","1-pers.-HH","West Germany","","","","","2"
"No","2015","1-pers.-HH","East Germany","","","","","2"
"No","2015","(Married) couple without C. ","West Germany","","","","","2"
"No","2015","(Married) couple without C. ","East Germany","","","","","2"
"No","2015","Single parent ","West Germany","","","","","2"
"No","2015","Single parent ","East Germany","","","","","2"
"No","2015","Couple + C. LE 16 ","West Germany","","","","","2"
"No","2015","Couple + C. LE 16 ","East Germany","","","","","2"
"Yes","2015","1-pers.-HH","West Germany","","","","","1"
"Yes","2015","Single parent ","West Germany","","","","","1"
"Yes","2015","Single parent ","East Germany","","","","","1"
"Yes","2015","Couple + C. LE 16 ","West Germany","","","","","1"
"Yes","2015","Couple + C. LE 16 ","East Germany","","","","","1"
"Yes","2015","1-pers.-HH","East Germany","","","","","1"
"Yes","2015","Couple + C. GT 16 ","East Germany","","","","","1"
"Yes","2015","Couple + C. GT 16 ","West Germany","","","","","1"
"Yes","2015","Couple + C. LE and GT 16","West Germany","","","","","1"
"Yes","2015","Couple + C. LE and GT 16","East Germany","","","","","1"
"Yes","2015","(Married) couple without C. ","West Germany","","","","","1"
"Yes","2015","(Married) couple without C. ","East Germany","","","","","1"
"No","2016","Couple + C. GT 16 ","West Germany","1786","0.756041386541616","0.738614428531783","0.77346834455145","2"
