"ple0081_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Yes","2004","Not Working","West Germany","1267","0.201232110383878","0.191116213866767","0.211348006900989","1"
"Yes","2004","Not Working","East Germany","481","0.217997790144946","0.200597765354151","0.235397814935741","1"
"No","2005","Full Time","West Germany","","","","","2"
"No","2005","Not Working","West Germany","","","","","2"
"No","2005","Full Time","East Germany","","","","","2"
"No","2005","Not Working","East Germany","","","","","2"
"No","2005","Part Time","West Germany","","","","","2"
"No","2005","Part Time","East Germany","","","","","2"
"Yes","2005","Full Time","West Germany","","","","","1"
"Yes","2005","Full Time","East Germany","","","","","1"
"Yes","2005","Part Time","West Germany","","","","","1"
"Yes","2005","Part Time","East Germany","","","","","1"
"Yes","2005","Not Working","West Germany","","","","","1"
"Yes","2005","Not Working","East Germany","","","","","1"
"No","2006","Not Working","West Germany","5031","0.784362699124839","0.774250516705032","0.794474881544645","2"
"No","2006","Not Working","East Germany","1750","0.783587488073842","0.766495971957061","0.800679004190624","2"
"No","2006","Full Time","West Germany","4180","0.622736918548542","0.610890602998447","0.634583234098638","2"
"No","2006","Full Time","East Germany","1354","0.659276076324968","0.638566602000134","0.679985550649801","2"
"No","2006","Part Time","West Germany","2723","0.656025312925619","0.641256088145384","0.670794537705854","2"
"No","2006","Part Time","East Germany","713","0.659031818772717","0.630400323892321","0.687663313653113","2"
"Yes","2006","Full Time","West Germany","2251","0.377263081451458","0.365416765901362","0.389109397001553","1"
"Yes","2006","Full Time","East Germany","658","0.340723923675032","0.320014449350199","0.361433397999866","1"
"Yes","2006","Part Time","West Germany","1251","0.343974687074381","0.329205462294146","0.358743911854616","1"
"Yes","2006","Part Time","East Germany","340","0.340968181227283","0.312336686346887","0.369599676107679","1"
"Yes","2006","Not Working","West Germany","1323","0.215637300875161","0.205525118455355","0.225749483294968","1"
"Yes","2006","Not Working","East Germany","480","0.216412511926158","0.199320995809376","0.233504028042939","1"
"No","2007","Not Working","West Germany","","","","","2"
"No","2007","Not Working","East Germany","","","","","2"
"No","2007","Full Time","West Germany","","","","","2"
"No","2007","Full Time","East Germany","","","","","2"
"No","2007","Part Time","West Germany","","","","","2"
"No","2007","Part Time","East Germany","","","","","2"
"Yes","2007","Full Time","West Germany","","","","","1"
"Yes","2007","Full Time","East Germany","","","","","1"
"Yes","2007","Part Time","West Germany","","","","","1"
"Yes","2007","Part Time","East Germany","","","","","1"
"Yes","2007","Not Working","West Germany","","","","","1"
"Yes","2007","Not Working","East Germany","","","","","1"
"No","2008","Not Working","West Germany","4532","0.811576661868619","0.801245694255922","0.821907629481315","2"
"No","2008","Not Working","East Germany","1577","0.778423037858009","0.76016685222004","0.796679223495978","2"
"No","2008","Full Time","West Germany","3751","0.652146063211074","0.639705895731695","0.664586230690453","2"
"No","2008","Full Time","East Germany","1285","0.685622110089195","0.664523199903521","0.706721020274869","2"
"No","2008","Part Time","West Germany","2411","0.661688663300439","0.645978013777745","0.677399312823133","2"
"No","2008","Part Time","East Germany","633","0.636379647441901","0.605595374251736","0.667163920632065","2"
"Yes","2008","Full Time","West Germany","1880","0.347853936788926","0.335413769309547","0.360294104268305","1"
"Yes","2008","Full Time","East Germany","575","0.314377889910805","0.293278979725131","0.335476800096479","1"
"Yes","2008","Part Time","West Germany","1073","0.338311336699561","0.322600687176867","0.354021986222255","1"
"Yes","2008","Part Time","East Germany","305","0.363620352558099","0.332836079367934","0.394404625748264","1"
"Yes","2008","Not Working","West Germany","972","0.188423338131381","0.178092370518685","0.198754305744078","1"
"Yes","2008","Not Working","East Germany","411","0.221576962141991","0.203320776504022","0.23983314777996","1"
"No","2009","Not Working","West Germany","","","","","2"
"No","2009","Not Working","East Germany","","","","","2"
"No","2009","Full Time","West Germany","","","","","2"
"No","2009","Full Time","East Germany","","","","","2"
"No","2009","Part Time","West Germany","","","","","2"
"No","2009","Part Time","East Germany","","","","","2"
"Yes","2009","Part Time","West Germany","","","","","1"
"Yes","2009","Part Time","East Germany","","","","","1"
"Yes","2009","Full Time","West Germany","","","","","1"
"Yes","2009","Full Time","East Germany","","","","","1"
"Yes","2009","Not Working","West Germany","","","","","1"
"Yes","2009","Not Working","East Germany","","","","","1"
"No","2010","Full Time","West Germany","3213","0.65142021653008","0.637915682152217","0.664924750907943","2"
"No","2010","Not Working","West Germany","3884","0.820045154970384","0.809052159980949","0.83103814995982","2"
"No","2010","Not Working","East Germany","1339","0.800180087722359","0.781025023336467","0.819335152108251","2"
"No","2010","Full Time","East Germany","1160","0.707269902280682","0.685420635376124","0.729119169185241","2"
"No","2010","Part Time","West Germany","2229","0.700228887686999","0.684134538038694","0.716323237335304","2"
"No","2010","Part Time","East Germany","546","0.674909867864197","0.642410760855194","0.707408974873201","2"
"Yes","2010","Part Time","West Germany","884","0.299771112313001","0.283676762664696","0.315865461961306","1"
"Yes","2010","Part Time","East Germany","252","0.325090132135803","0.292591025126799","0.357589239144806","1"
"Yes","2010","Not Working","West Germany","807","0.179954845029616","0.168961850040181","0.190947840019051","1"
"Yes","2010","Full Time","West Germany","1570","0.34857978346992","0.335075249092057","0.362084317847783","1"
"Yes","2010","Full Time","East Germany","506","0.292730097719318","0.270880830814759","0.314579364623877","1"
"Yes","2010","Not Working","East Germany","335","0.199819912277641","0.180664847891749","0.218974976663533","1"
"No","2011","Full Time","West Germany","","","","","2"
"No","2011","Full Time","East Germany","","","","","2"
"No","2011","Not Working","West Germany","","","","","2"
"No","2011","Not Working","East Germany","","","","","2"
"No","2011","Part Time","West Germany","","","","","2"
"No","2011","Part Time","East Germany","","","","","2"
"Yes","2011","Part Time","West Germany","","","","","1"
"Yes","2011","Part Time","East Germany","","","","","1"
"Yes","2011","Not Working","West Germany","","","","","1"
"Yes","2011","Not Working","East Germany","","","","","1"
"Yes","2011","Full Time","West Germany","","","","","1"
"Yes","2011","Full Time","East Germany","","","","","1"
"No","2012","Full Time","West Germany","3905","0.671112762402275","0.658940887575597","0.683284637228954","2"
"No","2012","Full Time","East Germany","1246","0.665503575377406","0.644136251207748","0.686870899547064","2"
"No","2012","Part Time","West Germany","2882","0.718042031427798","0.704024313519687","0.73205974933591","2"
"No","2012","Part Time","East Germany","639","0.70044335578288","0.670795764726234","0.730090946839527","2"
"No","2012","Not Working","West Germany","4936","0.817552688159638","0.807768098357184","0.827337277962092","2"
"No","2012","Not Working","East Germany","1634","0.788119813187588","0.77049480369878","0.805744822676397","2"
"Yes","2012","Part Time","West Germany","1076","0.281957968572202","0.26794025066409","0.295975686480313","1"
"Yes","2012","Part Time","East Germany","278","0.29955664421712","0.269909053160473","0.329204235273766","1"
"Yes","2012","Not Working","West Germany","1049","0.182447311840362","0.172662722037908","0.192231901642816","1"
"Yes","2012","Not Working","East Germany","431","0.211880186812412","0.194255177323603","0.22950519630122","1"
"Yes","2012","Full Time","West Germany","1818","0.328887237597725","0.316715362771046","0.341059112424403","1"
"Yes","2012","Full Time","East Germany","627","0.334496424622594","0.313129100452936","0.355863748792252","1"
"No","2013","Full Time","West Germany","","","","","2"
"No","2013","Full Time","East Germany","","","","","2"
"No","2013","Part Time","West Germany","","","","","2"
"No","2013","Part Time","East Germany","","","","","2"
"No","2013","Not Working","West Germany","","","","","2"
"No","2013","Not Working","East Germany","","","","","2"
"Yes","2013","Part Time","West Germany","","","","","1"
"Yes","2013","Part Time","East Germany","","","","","1"
"Yes","2013","Not Working","West Germany","","","","","1"
"Yes","2013","Not Working","East Germany","","","","","1"
"Yes","2013","Full Time","West Germany","","","","","1"
"Yes","2013","Full Time","East Germany","","","","","1"
"No","2014","Full Time","West Germany","5569","0.68419021917916","0.674054755317775","0.694325683040546","2"
"No","2014","Full Time","East Germany","1432","0.660793760529534","0.640753628271791","0.680833892787276","2"
"No","2014","Part Time","West Germany","4544","0.719142453825823","0.708002353071751","0.730282554579895","2"
"No","2014","Part Time","East Germany","889","0.665737357759919","0.640143354549049","0.691331360970788","2"
"No","2014","Not Working","West Germany","5643","0.804044751785382","0.794895248805696","0.813194254765068","2"
"No","2014","Not Working","East Germany","1651","0.781835831449467","0.764386593932199","0.799285068966735","2"
"Yes","2014","Part Time","West Germany","1708","0.280857546174177","0.269717445420105","0.29199764692825","1"
"Yes","2014","Part Time","East Germany","416","0.334262642240081","0.308668639029212","0.359856645450951","1"
"Yes","2014","Not Working","West Germany","1587","0.195955248214618","0.186805745234932","0.205104751194305","1"
"Yes","2014","Not Working","East Germany","501","0.218164168550533","0.200714931033265","0.235613406067801","1"
"Yes","2014","Full Time","West Germany","2511","0.315809780820839","0.305674316959454","0.325945244682225","1"
"Yes","2014","Full Time","East Germany","712","0.339206239470466","0.319166107212724","0.359246371728209","1"
"No","2015","Full Time","West Germany","","","","","2"
"No","2015","Full Time","East Germany","","","","","2"
"No","2015","Part Time","West Germany","","","","","2"
"No","2015","Part Time","East Germany","","","","","2"
"No","2015","Not Working","West Germany","","","","","2"
"No","2015","Not Working","East Germany","","","","","2"
"Yes","2015","Part Time","West Germany","","","","","1"
"Yes","2015","Part Time","East Germany","","","","","1"
"Yes","2015","Full Time","West Germany","","","","","1"
"Yes","2015","Not Working","West Germany","","","","","1"
"Yes","2015","Full Time","East Germany","","","","","1"
"Yes","2015","Not Working","East Germany","","","","","1"
"No","2016","Full Time","West Germany","5083","0.703093237000227","0.692560882118716","0.713625591881739","2"
"No","2016","Full Time","East Germany","1314","0.671899132363802","0.651043620909455","0.692754643818148","2"
"No","2016","Part Time","West Germany","4281","0.745840916821018","0.734598101585053","0.757083732056984","2"
"No","2016","Part Time","East Germany","823","0.664430014324109","0.637813503888095","0.691046524760123","2"
"No","2016","Not Working","West Germany","4950","0.806158640845287","0.796337842833208","0.815979438857366","2"
"No","2016","Not Working","East Germany","1494","0.798164286349466","0.780093017921351","0.816235554777581","2"
"Yes","2016","Part Time","West Germany","1480","0.254159083178982","0.242916267943017","0.265401898414947","1"
"Yes","2016","Part Time","East Germany","386","0.335569985675891","0.308953475239877","0.362186496111905","1"
"Yes","2016","Full Time","West Germany","2146","0.296906762999773","0.286374408118261","0.307439117881284","1"
"Yes","2016","Full Time","East Germany","633","0.328100867636198","0.307245356181852","0.348956379090545","1"
"Yes","2016","Not Working","West Germany","1274","0.193841359154713","0.184020561142634","0.203662157166792","1"
"Yes","2016","Not Working","East Germany","401","0.201835713650534","0.183764445222419","0.219906982078649","1"
"No","2017","Full Time","West Germany","","","","","2"
"No","2017","Full Time","East Germany","","","","","2"
"No","2017","Part Time","West Germany","","","","","2"
"No","2017","Part Time","East Germany","","","","","2"
"No","2017","Not Working","West Germany","","","","","2"
"No","2017","Not Working","East Germany","","","","","2"
"Yes","2017","Part Time","West Germany","","","","","1"
"Yes","2017","Part Time","East Germany","","","","","1"
"Yes","2017","Full Time","West Germany","","","","","1"
"Yes","2017","Full Time","East Germany","","","","","1"
"Yes","2017","Not Working","West Germany","","","","","1"
"Yes","2017","Not Working","East Germany","","","","","1"
"No","2018","Full Time","West Germany","5612","0.712715827028279","0.702644858430878","0.72278679562568","2"
"No","2018","Full Time","East Germany","1464","0.691832098261925","0.672377891947469","0.711286304576381","2"
"No","2018","Part Time","West Germany","4610","0.736169992820115","0.725194762554868","0.747145223085361","2"
"No","2018","Part Time","East Germany","927","0.703082556872624","0.678709936470852","0.727455177274396","2"
"No","2018","Not Working","West Germany","4993","0.81897624807911","0.809406704008452","0.828545792149768","2"
"No","2018","Not Working","East Germany","1566","0.794789790346586","0.777077093878749","0.812502486814423","2"
"Yes","2018","Full Time","West Germany","2143","0.287284172971721","0.27721320437432","0.297355141569122","1"
"Yes","2018","Part Time","West Germany","1584","0.263830007179886","0.252854776914639","0.274805237445132","1"
"Yes","2018","Part Time","East Germany","423","0.296917443127376","0.272544822725604","0.321290063529148","1"
"Yes","2018","Full Time","East Germany","700","0.308167901738075","0.288713695423619","0.327622108052531","1"
"Yes","2018","Not Working","West Germany","1226","0.18102375192089","0.171454207850232","0.190593295991548","1"
"Yes","2018","Not Working","East Germany","431","0.205210209653414","0.187497513185577","0.222922906121251","1"
