"ple0081_h","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2002","Bremen","(2c_gen) general maturity certificate","3","","",""
"Yes","2002","Bremen","(2c_voc) vocational maturity certificate","8","","",""
"Yes","2002","Bremen","(3a) lower tertiary education","4","","",""
"Yes","2002","Bremen","(3b) higher tertiary education","7","","",""
"Yes","2002","North Rhine-Westphalia","(0) in school","42","0.293302927999382","0.219954285838048","0.366651570160717"
"Yes","2002","North Rhine-Westphalia","(1a) inadequately completed","34","0.383658663836528","0.286887630925904","0.480429696747152"
"Yes","2002","North Rhine-Westphalia","(1b) general elementary school","172","0.328206462241421","0.287413929129908","0.368998995352935"
"Yes","2002","North Rhine-Westphalia","(1c) basic vocational qualification","519","0.328825123575154","0.30516907973562","0.352481167414689"
"Yes","2002","North Rhine-Westphalia","(2b) intermediate general qualification","64","0.466215039913403","0.382680879162477","0.54974920066433"
"Yes","2002","North Rhine-Westphalia","(2a) intermediate vocational","289","0.327013114404473","0.295288647460657","0.358737581348289"
"Yes","2002","North Rhine-Westphalia","(2c_gen) general maturity certificate","66","0.266792808820167","0.207946579253882","0.325639038386452"
"Yes","2002","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","160","0.325653373904093","0.284203164354377","0.367103583453809"
"Yes","2002","North Rhine-Westphalia","(3a) lower tertiary education","79","0.271782239210777","0.220312933213792","0.323251545207762"
"Yes","2002","North Rhine-Westphalia","(3b) higher tertiary education","137","0.257538223275403","0.222722960560341","0.292353485990465"
"Yes","2002","Hesse","(0) in school","10","","",""
"Yes","2002","Hesse","(1a) inadequately completed","11","","",""
"Yes","2002","Hesse","(1b) general elementary school","67","0.300457291945996","0.233482660915226","0.367431922976765"
"Yes","2002","Hesse","(1c) basic vocational qualification","123","0.307711053189648","0.263830825424404","0.351591280954892"
"Yes","2002","Hesse","(2b) intermediate general qualification","24","","",""
"Yes","2002","Hesse","(2a) intermediate vocational","119","0.302642435160056","0.254095531088977","0.351189339231134"
"Yes","2002","Hesse","(2c_gen) general maturity certificate","24","","",""
"Yes","2002","Hesse","(2c_voc) vocational maturity certificate","37","0.275809948845723","0.202814112985369","0.348805784706078"
"Yes","2002","Hesse","(3a) lower tertiary education","28","","",""
"Yes","2002","Hesse","(3b) higher tertiary education","63","0.252834642320662","0.197382447193835","0.308286837447488"
"Yes","2002","Rhineland-Palatinate,Saarland","(0) in school","5","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","(1a) inadequately completed","6","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","(1b) general elementary school","49","0.234045686273626","0.177051321943246","0.291040050604007"
"Yes","2002","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","184","0.350911014675775","0.309327283698041","0.39249474565351"
"Yes","2002","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","10","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","83","0.340606373154538","0.279755209437054","0.401457536872023"
"Yes","2002","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","20","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","28","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","24","","",""
"Yes","2002","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","17","","",""
"Yes","2002","Baden-Württemberg","(0) in school","20","","",""
"Yes","2002","Baden-Württemberg","(1a) inadequately completed","20","","",""
"Yes","2002","Baden-Württemberg","(1b) general elementary school","139","0.264902982014296","0.223145413822278","0.306660550206314"
"Yes","2002","Baden-Württemberg","(1c) basic vocational qualification","241","0.291648379385281","0.260073202887969","0.323223555882593"
"Yes","2002","Baden-Württemberg","(2b) intermediate general qualification","21","","",""
"Yes","2002","Baden-Württemberg","(2a) intermediate vocational","165","0.311867956555702","0.272316357044255","0.35141955606715"
"Yes","2002","Baden-Württemberg","(2c_gen) general maturity certificate","35","0.262939336585134","0.185454513332948","0.340424159837321"
"Yes","2002","Baden-Württemberg","(2c_voc) vocational maturity certificate","61","0.253720803219783","0.194008790007842","0.313432816431724"
"Yes","2002","Baden-Württemberg","(3a) lower tertiary education","41","0.217557232712888","0.158736525454533","0.276377939971242"
"Yes","2002","Baden-Württemberg","(3b) higher tertiary education","58","0.220076766447427","0.174179275015662","0.265974257879192"
"Yes","2002","Bavaria","(0) in school","8","","",""
"Yes","2002","Bavaria","(1a) inadequately completed","14","","",""
"Yes","2002","Bavaria","(1b) general elementary school","100","0.293141638920672","0.24531570884357","0.340967568997774"
"Yes","2002","Bavaria","(1c) basic vocational qualification","386","0.323207187908766","0.296045634572146","0.350368741245386"
"Yes","2002","Bavaria","(2b) intermediate general qualification","23","","",""
"Yes","2002","Bavaria","(2a) intermediate vocational","202","0.294985432532813","0.260272551738508","0.329698313327118"
"Yes","2002","Bavaria","(2c_gen) general maturity certificate","30","0.272376599569622","0.188024785333451","0.356728413805792"
"Yes","2002","Bavaria","(2c_voc) vocational maturity certificate","48","0.21074817148896","0.155323116900491","0.266173226077429"
"Yes","2002","Bavaria","(3a) lower tertiary education","43","0.168477316438455","0.120000050455442","0.216954582421468"
"Yes","2002","Bavaria","(3b) higher tertiary education","59","0.157551177555462","0.121668644914028","0.193433710196896"
"Yes","2002","Berlin","(0) in school","9","","",""
"Yes","2002","Berlin","(1a) inadequately completed","5","","",""
"Yes","2002","Berlin","(1b) general elementary school","18","","",""
"Yes","2002","Berlin","(1c) basic vocational qualification","53","0.424670251846429","0.340347366166589","0.50899313752627"
"Yes","2002","Berlin","(2b) intermediate general qualification","19","","",""
"Yes","2002","Berlin","(2a) intermediate vocational","74","0.386021798442818","0.319701677526573","0.452341919359063"
"Yes","2002","Berlin","(2c_gen) general maturity certificate","20","","",""
"Yes","2002","Berlin","(2c_voc) vocational maturity certificate","22","","",""
"Yes","2002","Berlin","(3a) lower tertiary education","38","0.383349560057674","0.284534389593286","0.482164730522063"
"Yes","2002","Berlin","(3b) higher tertiary education","50","0.272913939063493","0.20494478148772","0.340883096639267"
"Yes","2002","Brandenburg","(0) in school","4","","",""
"Yes","2002","Brandenburg","(1a) inadequately completed","1","","",""
"Yes","2002","Brandenburg","(1b) general elementary school","13","","",""
"Yes","2002","Brandenburg","(1c) basic vocational qualification","45","0.202074016793922","0.147106299564717","0.257041734023126"
"Yes","2002","Brandenburg","(2b) intermediate general qualification","21","","",""
"Yes","2002","Brandenburg","(2a) intermediate vocational","115","0.386637788599348","0.332774368714144","0.440501208484552"
"Yes","2002","Brandenburg","(2c_gen) general maturity certificate","19","","",""
"Yes","2002","Brandenburg","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2002","Brandenburg","(3a) lower tertiary education","26","","",""
"Yes","2002","Brandenburg","(3b) higher tertiary education","12","","",""
"Yes","2002","Mecklenburg-Western Pomerania","(0) in school","2","","",""
"Yes","2002","Mecklenburg-Western Pomerania","(1a) inadequately completed","1","","",""
"Yes","2002","Mecklenburg-Western Pomerania","(1b) general elementary school","5","","",""
"Yes","2002","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","35","0.333678469961157","0.241719643572302","0.425637296350013"
"Yes","2002","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","10","","",""
"Yes","2002","Mecklenburg-Western Pomerania","(2a) intermediate vocational","65","0.353430679686077","0.285636708084316","0.421224651287838"
"Yes","2002","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","5","","",""
"Yes","2002","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","","","",""
"Yes","2002","Mecklenburg-Western Pomerania","(3a) lower tertiary education","16","","",""
"Yes","2002","Mecklenburg-Western Pomerania","(3b) higher tertiary education","12","","",""
"Yes","2002","Saxony","(0) in school","9","","",""
"Yes","2002","Saxony","(1a) inadequately completed","2","","",""
"Yes","2002","Saxony","(1b) general elementary school","15","","",""
"Yes","2002","Saxony","(1c) basic vocational qualification","80","0.199226964847433","0.158583575670145","0.239870354024721"
"Yes","2002","Saxony","(2b) intermediate general qualification","24","","",""
"Yes","2002","Saxony","(2a) intermediate vocational","195","0.343308903908317","0.30528490600268","0.381332901813955"
"Yes","2002","Saxony","(2c_gen) general maturity certificate","15","","",""
"Yes","2002","Saxony","(2c_voc) vocational maturity certificate","14","","",""
"Yes","2002","Saxony","(3a) lower tertiary education","35","0.164307382936068","0.113080033661674","0.215534732210462"
"Yes","2002","Saxony","(3b) higher tertiary education","37","0.172636614978982","0.119994891389214","0.225278338568751"
"Yes","2002","Saxony-Anhalt","(0) in school","6","","",""
"Yes","2002","Saxony-Anhalt","(1a) inadequately completed","2","","",""
"Yes","2002","Saxony-Anhalt","(1b) general elementary school","15","","",""
"Yes","2002","Saxony-Anhalt","(1c) basic vocational qualification","77","0.276474612598294","0.221253858010013","0.331695367186575"
"Yes","2002","Saxony-Anhalt","(2b) intermediate general qualification","8","","",""
"Yes","2002","Saxony-Anhalt","(2a) intermediate vocational","122","0.409590100654406","0.353850476239891","0.465329725068921"
"Yes","2002","Saxony-Anhalt","(2c_gen) general maturity certificate","12","","",""
"Yes","2002","Saxony-Anhalt","(2c_voc) vocational maturity certificate","17","","",""
"Yes","2002","Saxony-Anhalt","(3a) lower tertiary education","33","0.258951733474359","0.183937253601203","0.333966213347514"
"Yes","2002","Saxony-Anhalt","(3b) higher tertiary education","16","","",""
"Yes","2002","Thuringia","(0) in school","5","","",""
"Yes","2002","Thuringia","(1a) inadequately completed","1","","",""
"Yes","2002","Thuringia","(1b) general elementary school","9","","",""
"Yes","2002","Thuringia","(1c) basic vocational qualification","67","0.221365236236041","0.172026815572607","0.270703656899474"
"Yes","2002","Thuringia","(2b) intermediate general qualification","12","","",""
"Yes","2002","Thuringia","(2a) intermediate vocational","141","0.389485573436997","0.338831223595521","0.440139923278473"
"Yes","2002","Thuringia","(2c_gen) general maturity certificate","12","","",""
"Yes","2002","Thuringia","(2c_voc) vocational maturity certificate","9","","",""
"Yes","2002","Thuringia","(3a) lower tertiary education","19","","",""
"Yes","2002","Thuringia","(3b) higher tertiary education","17","","",""
"No","2002","Schleswig-Holstein","(0) in school","17","","",""
"No","2002","Schleswig-Holstein","(1a) inadequately completed","7","","",""
"No","2002","Schleswig-Holstein","(1b) general elementary school","44","0.653581922040443","0.544428601861127","0.762735242219758"
"No","2002","Schleswig-Holstein","(1c) basic vocational qualification","145","0.605684039451724","0.542798709860546","0.668569369042902"
"No","2002","Schleswig-Holstein","(2b) intermediate general qualification","10","","",""
"No","2002","Schleswig-Holstein","(2a) intermediate vocational","110","0.66540687150194","0.593191721690791","0.737622021313089"
"No","2002","Schleswig-Holstein","(2c_gen) general maturity certificate","23","","",""
"No","2002","Schleswig-Holstein","(2c_voc) vocational maturity certificate","43","0.953904322290846","0.895781646536988","1.0120269980447"
"No","2002","Schleswig-Holstein","(3a) lower tertiary education","33","0.769984214876252","0.64563544759654","0.894332982155964"
"No","2002","Schleswig-Holstein","(3b) higher tertiary education","64","0.845591485744362","0.763263374139141","0.927919597349584"
"No","2002","Hamburg","(0) in school","7","","",""
"No","2002","Hamburg","(1a) inadequately completed","1","","",""
"No","2002","Hamburg","(1b) general elementary school","17","","",""
"No","2002","Hamburg","(1c) basic vocational qualification","47","0.618871765011962","0.507462179784084","0.73028135023984"
"No","2002","Hamburg","(2b) intermediate general qualification","4","","",""
"No","2002","Hamburg","(2a) intermediate vocational","59","0.621861340187471","0.518772667546614","0.724950012828327"
"No","2002","Hamburg","(2c_gen) general maturity certificate","11","","",""
"No","2002","Hamburg","(2c_voc) vocational maturity certificate","15","","",""
"No","2002","Hamburg","(3a) lower tertiary education","14","","",""
"No","2002","Hamburg","(3b) higher tertiary education","56","0.856647736318179","0.769419787571453","0.943875685064906"
"No","2002","Lower Saxony","(0) in school","52","0.853043868561723","0.764192788419765","0.941894948703681"
"No","2002","Lower Saxony","(1a) inadequately completed","20","","",""
"No","2002","Lower Saxony","(1b) general elementary school","141","0.692149130859978","0.630158176808726","0.75414008491123"
"No","2002","Lower Saxony","(1c) basic vocational qualification","399","0.687192830920357","0.650094862701737","0.724290799138977"
"No","2002","Lower Saxony","(2b) intermediate general qualification","46","0.602939953821267","0.490698886710597","0.715181020931937"
"No","2002","Lower Saxony","(2a) intermediate vocational","302","0.643931970963103","0.6013607171971","0.686503224729106"
"No","2002","Lower Saxony","(2c_gen) general maturity certificate","38","0.738969814496024","0.61843244257414","0.859507186417908"
"No","2002","Lower Saxony","(2c_voc) vocational maturity certificate","102","0.682945038179476","0.60822878054817","0.757661295810783"
"No","2002","Lower Saxony","(3a) lower tertiary education","71","0.615185611149909","0.519823287044403","0.710547935255415"
"No","2002","Lower Saxony","(3b) higher tertiary education","168","0.828328902340185","0.777447758850929","0.879210045829441"
"No","2002","Bremen","(0) in school","2","","",""
"No","2002","Bremen","(1a) inadequately completed","","","",""
"No","2002","Bremen","(1b) general elementary school","12","","",""
"No","2002","Bremen","(1c) basic vocational qualification","34","0.702087519800549","0.575321438869514","0.828853600731584"
"No","2002","Bremen","(2b) intermediate general qualification","2","","",""
"No","2002","Bremen","(2a) intermediate vocational","23","","",""
"No","2002","Bremen","(2c_gen) general maturity certificate","2","","",""
"No","2002","Bremen","(2c_voc) vocational maturity certificate","10","","",""
"No","2002","Bremen","(3a) lower tertiary education","5","","",""
"No","2002","Bremen","(3b) higher tertiary education","20","","",""
"No","2002","North Rhine-Westphalia","(0) in school","106","0.706697072000618","0.633348429839283","0.780045714161953"
"No","2002","North Rhine-Westphalia","(1a) inadequately completed","63","0.616341336163472","0.519570303252848","0.713112369074096"
"No","2002","North Rhine-Westphalia","(1b) general elementary school","337","0.671793537758578","0.631001004647065","0.712586070870092"
"No","2002","North Rhine-Westphalia","(1c) basic vocational qualification","996","0.671174876424846","0.647518832585311","0.69483092026438"
"No","2002","North Rhine-Westphalia","(2b) intermediate general qualification","73","0.533784960086597","0.45025079933567","0.617319120837523"
"No","2002","North Rhine-Westphalia","(2a) intermediate vocational","551","0.672986885595527","0.641262418651711","0.704711352539343"
"No","2002","North Rhine-Westphalia","(2c_gen) general maturity certificate","151","0.733207191179833","0.674360961613548","0.792053420746118"
"No","2002","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","331","0.674346626095907","0.632896416546191","0.715796835645623"
"No","2002","North Rhine-Westphalia","(3a) lower tertiary education","208","0.728217760789223","0.676748454792239","0.779687066786208"
"No","2002","North Rhine-Westphalia","(3b) higher tertiary education","469","0.742461776724597","0.707646514009535","0.777277039439659"
"No","2002","Hesse","(0) in school","23","","",""
"No","2002","Hesse","(1a) inadequately completed","20","","",""
"No","2002","Hesse","(1b) general elementary school","113","0.699542708054004","0.632568077023235","0.766517339084773"
"No","2002","Hesse","(1c) basic vocational qualification","302","0.692288946810352","0.648408719045108","0.736169174575596"
"No","2002","Hesse","(2b) intermediate general qualification","29","","",""
"No","2002","Hesse","(2a) intermediate vocational","225","0.697357564839944","0.648810660768866","0.745904468911023"
"No","2002","Hesse","(2c_gen) general maturity certificate","51","0.574933753709322","0.46305318317042","0.686814324248224"
"No","2002","Hesse","(2c_voc) vocational maturity certificate","107","0.724190051154277","0.651194215293922","0.797185887014631"
"No","2002","Hesse","(3a) lower tertiary education","88","0.744548405782888","0.665185077233819","0.823911734331957"
"No","2002","Hesse","(3b) higher tertiary education","173","0.747165357679338","0.691713162552512","0.802617552806165"
"No","2002","Rhineland-Palatinate,Saarland","(0) in school","31","0.806224857513752","0.677110670442226","0.935339044585278"
"No","2002","Rhineland-Palatinate,Saarland","(1a) inadequately completed","16","","",""
"No","2002","Rhineland-Palatinate,Saarland","(1b) general elementary school","163","0.765954313726374","0.708959949395993","0.822948678056754"
"No","2002","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","322","0.649088985324225","0.60750525434649","0.690672716301959"
"No","2002","Rhineland-Palatinate,Saarland","(2b) intermediate general qualification","25","","",""
"No","2002","Rhineland-Palatinate,Saarland","(2a) intermediate vocational","150","0.659393626845462","0.598542463127977","0.720244790562946"
"No","2002","Rhineland-Palatinate,Saarland","(2c_gen) general maturity certificate","33","0.609427970986676","0.478080439019894","0.740775502953457"
"No","2002","Rhineland-Palatinate,Saarland","(2c_voc) vocational maturity certificate","57","0.601843327559229","0.497777689287402","0.705908965831056"
"No","2002","Rhineland-Palatinate,Saarland","(3a) lower tertiary education","38","0.675763023289638","0.559248321227999","0.792277725351277"
"No","2002","Rhineland-Palatinate,Saarland","(3b) higher tertiary education","106","0.903530562450362","0.851355637597422","0.955705487303303"
"No","2002","Baden-Württemberg","(0) in school","69","0.712058011728892","0.617985383872594","0.80613063958519"
"No","2002","Baden-Württemberg","(1a) inadequately completed","34","0.562042903771971","0.429714909646922","0.694370897897021"
"No","2002","Baden-Württemberg","(1b) general elementary school","290","0.735097017985704","0.693339449793686","0.776854586177722"
"No","2002","Baden-Württemberg","(1c) basic vocational qualification","555","0.708351620614719","0.676776444117407","0.739926797112031"
"No","2002","Baden-Württemberg","(2b) intermediate general qualification","48","0.743749606722533","0.640742025236807","0.846757188208258"
"No","2002","Baden-Württemberg","(2a) intermediate vocational","362","0.688132043444298","0.64858044393285","0.727683642955745"
"No","2002","Baden-Württemberg","(2c_gen) general maturity certificate","89","0.737060663414866","0.659575840162679","0.814545486667052"
"No","2002","Baden-Württemberg","(2c_voc) vocational maturity certificate","143","0.746279196780217","0.686567183568276","0.805991209992158"
"No","2002","Baden-Württemberg","(3a) lower tertiary education","148","0.782442767287112","0.723622060028758","0.841263474545467"
"No","2002","Baden-Württemberg","(3b) higher tertiary education","255","0.779923233552573","0.734025742120808","0.825820724984338"
"No","2002","Bavaria","(0) in school","42","0.90732839226874","0.826953817515457","0.987702967022023"
"No","2002","Bavaria","(1a) inadequately completed","15","","",""
"No","2002","Bavaria","(1b) general elementary school","248","0.706858361079328","0.659032431002227","0.75468429115643"
"No","2002","Bavaria","(1c) basic vocational qualification","753","0.676792812091234","0.649631258754614","0.703954365427854"
"No","2002","Bavaria","(2b) intermediate general qualification","57","0.721397798499526","0.623159060271656","0.819636536727395"
"No","2002","Bavaria","(2a) intermediate vocational","461","0.705014567467187","0.670301686672882","0.739727448261493"
"No","2002","Bavaria","(2c_gen) general maturity certificate","77","0.727623400430378","0.643271586194208","0.811975214666549"
"No","2002","Bavaria","(2c_voc) vocational maturity certificate","160","0.78925182851104","0.733826773922571","0.844676883099509"
"No","2002","Bavaria","(3a) lower tertiary education","186","0.831522683561545","0.783045417578532","0.879999949544558"
"No","2002","Bavaria","(3b) higher tertiary education","337","0.842448822444538","0.806566289803104","0.878331355085972"
"No","2002","Berlin","(0) in school","22","","",""
"No","2002","Berlin","(1a) inadequately completed","4","","",""
"No","2002","Berlin","(1b) general elementary school","22","","",""
"No","2002","Berlin","(1c) basic vocational qualification","79","0.57532974815357","0.491006862473729","0.659652633833411"
"No","2002","Berlin","(2b) intermediate general qualification","14","","",""
"No","2002","Berlin","(2a) intermediate vocational","133","0.613978201557182","0.547658080640937","0.680298322473427"
"No","2002","Berlin","(2c_gen) general maturity certificate","34","0.66162908378253","0.535430343853871","0.787827823711189"
"No","2002","Berlin","(2c_voc) vocational maturity certificate","38","0.578746970905801","0.453810754454985","0.703683187356618"
"No","2002","Berlin","(3a) lower tertiary education","55","0.616650439942326","0.517835269477937","0.715465610406714"
"No","2002","Berlin","(3b) higher tertiary education","115","0.727086060936507","0.659116903360733","0.79505521851228"
"No","2002","Brandenburg","(0) in school","23","","",""
"No","2002","Brandenburg","(1a) inadequately completed","1","","",""
"No","2002","Brandenburg","(1b) general elementary school","43","0.802487181376979","0.698214444487667","0.906759918266292"
"No","2002","Brandenburg","(1c) basic vocational qualification","160","0.797925983206078","0.742958265976874","0.852893700435283"
"No","2002","Brandenburg","(2b) intermediate general qualification","11","","",""
"No","2002","Brandenburg","(2a) intermediate vocational","199","0.613362211400652","0.559498791515447","0.667225631285856"
"No","2002","Brandenburg","(2c_gen) general maturity certificate","19","","",""
"No","2002","Brandenburg","(2c_voc) vocational maturity certificate","24","","",""
"No","2002","Brandenburg","(3a) lower tertiary education","123","0.753683903153644","0.684501447432421","0.822866358874866"
"No","2002","Brandenburg","(3b) higher tertiary education","94","0.903422046485218","0.847190568334591","0.959653524635846"
"No","2002","Mecklenburg-Western Pomerania","(0) in school","9","","",""
"No","2002","Mecklenburg-Western Pomerania","(1a) inadequately completed","3","","",""
"No","2002","Mecklenburg-Western Pomerania","(1b) general elementary school","18","","",""
"No","2002","Mecklenburg-Western Pomerania","(1c) basic vocational qualification","66","0.666321530038843","0.574362703649987","0.758280356427698"
"No","2002","Mecklenburg-Western Pomerania","(2b) intermediate general qualification","10","","",""
"No","2002","Mecklenburg-Western Pomerania","(2a) intermediate vocational","126","0.646569320313923","0.578775348712162","0.714363291915684"
"No","2002","Mecklenburg-Western Pomerania","(2c_gen) general maturity certificate","6","","",""
"No","2002","Mecklenburg-Western Pomerania","(2c_voc) vocational maturity certificate","8","","",""
"No","2002","Mecklenburg-Western Pomerania","(3a) lower tertiary education","59","0.733208252116567","0.633112112702674","0.833304391530461"
"No","2002","Mecklenburg-Western Pomerania","(3b) higher tertiary education","54","0.823208063493842","0.731171126338075","0.915245000649608"
"No","2002","Saxony","(0) in school","31","0.79213628504372","0.666386459453361","0.91788611063408"
"No","2002","Saxony","(1a) inadequately completed","5","","",""
"No","2002","Saxony","(1b) general elementary school","63","0.835396250396752","0.753102489102769","0.917690011690735"
"No","2002","Saxony","(1c) basic vocational qualification","291","0.800773035152567","0.76012964597528","0.841416424329855"
"No","2002","Saxony","(2b) intermediate general qualification","25","","",""
"No","2002","Saxony","(2a) intermediate vocational","404","0.656691096091683","0.618667098186045","0.69471509399732"
"No","2002","Saxony","(2c_gen) general maturity certificate","35","0.72306838480438","0.599034871714581","0.847101897894179"
"No","2002","Saxony","(2c_voc) vocational maturity certificate","41","0.729180720326172","0.611738534898031","0.846622905754314"
"No","2002","Saxony","(3a) lower tertiary education","166","0.835692617063932","0.784465267789538","0.886919966338326"
"No","2002","Saxony","(3b) higher tertiary education","161","0.827363385021017","0.774721661431249","0.880005108610786"
"No","2002","Saxony-Anhalt","(0) in school","24","","",""
"No","2002","Saxony-Anhalt","(1a) inadequately completed","","","",""
"No","2002","Saxony-Anhalt","(1b) general elementary school","47","0.787438936054554","0.685602651357577","0.889275220751532"
"No","2002","Saxony-Anhalt","(1c) basic vocational qualification","175","0.723525387401706","0.668304632813425","0.778746141989987"
"No","2002","Saxony-Anhalt","(2b) intermediate general qualification","16","","",""
"No","2002","Saxony-Anhalt","(2a) intermediate vocational","177","0.590409899345594","0.534670274931079","0.646149523760109"
"No","2002","Saxony-Anhalt","(2c_gen) general maturity certificate","18","","",""
"No","2002","Saxony-Anhalt","(2c_voc) vocational maturity certificate","22","","",""
"No","2002","Saxony-Anhalt","(3a) lower tertiary education","98","0.741048266525641","0.666033786652486","0.816062746398797"
"No","2002","Saxony-Anhalt","(3b) higher tertiary education","83","0.796439735316981","0.717125077147015","0.875754393486947"
"No","2002","Thuringia","(0) in school","22","","",""
"No","2002","Thuringia","(1a) inadequately completed","1","","",""
"No","2002","Thuringia","(1b) general elementary school","27","","",""
"No","2002","Thuringia","(1c) basic vocational qualification","205","0.778634763763959","0.729296343100526","0.827973184427393"
"No","2002","Thuringia","(2b) intermediate general qualification","13","","",""
"No","2002","Thuringia","(2a) intermediate vocational","215","0.610514426563003","0.559860076721527","0.661168776404479"
"No","2002","Thuringia","(2c_gen) general maturity certificate","19","","",""
"No","2002","Thuringia","(2c_voc) vocational maturity certificate","21","","",""
"No","2002","Thuringia","(3a) lower tertiary education","76","0.796812527600054","0.715900547578551","0.877724507621557"
"No","2002","Thuringia","(3b) higher tertiary education","68","0.79252451843863","0.706320329070569","0.878728707806691"
"Yes","2003","Schleswig-Holstein","(0) in school","","","",""
"Yes","2003","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Yes","2003","Schleswig-Holstein","(1b) general elementary school","","","",""
"Yes","2003","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Yes","2003","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Yes","2003","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Yes","2003","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Yes","2003","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Yes","2003","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Yes","2003","Hamburg","(0) in school","","","",""
"Yes","2003","Hamburg","(1a) inadequately completed","","","",""
"Yes","2003","Hamburg","(1b) general elementary school","","","",""
"Yes","2003","Hamburg","(1c) basic vocational qualification","","","",""
"Yes","2003","Hamburg","(2b) intermediate general qualification","","","",""
"Yes","2003","Hamburg","(2a) intermediate vocational","","","",""
"Yes","2003","Hamburg","(2c_gen) general maturity certificate","","","",""
"Yes","2003","Hamburg","(2c_voc) vocational maturity certificate","","","",""
