"ple0081_h","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2005","Not Employed","(1a) inadequately completed","","","",""
"Yes","2005","Not Employed","(1b) general elementary school","","","",""
"Yes","2005","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","2005","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","2005","Not Employed","(2a) intermediate vocational","","","",""
"Yes","2005","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2005","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","Not Employed","(3a) lower tertiary education","","","",""
"Yes","2005","Not Employed","(3b) higher tertiary education","","","",""
"Yes","2005","Employed","(0) in school","","","",""
"Yes","2005","Employed","(1a) inadequately completed","","","",""
"Yes","2005","Employed","(1b) general elementary school","","","",""
"Yes","2005","Employed","(1c) basic vocational qualification","","","",""
"Yes","2005","Employed","(2b) intermediate general qualification","","","",""
"Yes","2005","Employed","(2a) intermediate vocational","","","",""
"Yes","2005","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2005","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2005","Employed","(3a) lower tertiary education","","","",""
"Yes","2005","Employed","(3b) higher tertiary education","","","",""
"No","2005","Not Employed","(0) in school","","","",""
"No","2005","Not Employed","(1a) inadequately completed","","","",""
"No","2005","Not Employed","(1b) general elementary school","","","",""
"No","2005","Not Employed","(1c) basic vocational qualification","","","",""
"No","2005","Not Employed","(2b) intermediate general qualification","","","",""
"No","2005","Not Employed","(2a) intermediate vocational","","","",""
"No","2005","Not Employed","(2c_gen) general maturity certificate","","","",""
"No","2005","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"No","2005","Not Employed","(3a) lower tertiary education","","","",""
"No","2005","Not Employed","(3b) higher tertiary education","","","",""
"No","2005","Employed","(0) in school","","","",""
"No","2005","Employed","(1a) inadequately completed","","","",""
"No","2005","Employed","(1b) general elementary school","","","",""
"No","2005","Employed","(1c) basic vocational qualification","","","",""
"No","2005","Employed","(2b) intermediate general qualification","","","",""
"No","2005","Employed","(2a) intermediate vocational","","","",""
"No","2005","Employed","(2c_gen) general maturity certificate","","","",""
"No","2005","Employed","(2c_voc) vocational maturity certificate","","","",""
"No","2005","Employed","(3a) lower tertiary education","","","",""
"No","2005","Employed","(3b) higher tertiary education","","","",""
"Yes","2006","Not Employed","(0) in school","67","0.204195300465195","0.161092590769518","0.247298010160872"
"Yes","2006","Not Employed","(1a) inadequately completed","46","0.333555905548445","0.260270801650648","0.406841009446243"
"Yes","2006","Not Employed","(1b) general elementary school","272","0.199528780401103","0.177677737884194","0.221379822918012"
"Yes","2006","Not Employed","(1c) basic vocational qualification","617","0.198980018914384","0.185007121432779","0.212952916395988"
"Yes","2006","Not Employed","(2b) intermediate general qualification","88","0.428331883956267","0.362187793612449","0.494475974300086"
"Yes","2006","Not Employed","(2a) intermediate vocational","329","0.2613351732106","0.237845817795019","0.284824528626182"
"Yes","2006","Not Employed","(2c_gen) general maturity certificate","99","0.277310943360299","0.232001189755091","0.322620696965506"
"Yes","2006","Not Employed","(2c_voc) vocational maturity certificate","78","0.222345733202325","0.181898133544454","0.262793332860196"
"Yes","2006","Not Employed","(3a) lower tertiary education","76","0.153661513686535","0.122754870002501","0.18456815737057"
"Yes","2006","Not Employed","(3b) higher tertiary education","85","0.111893809897621","0.0876410469483621","0.136146572846879"
"Yes","2006","Employed","(0) in school","23","","",""
"Yes","2006","Employed","(1a) inadequately completed","42","0.527723898683575","0.42159345153595","0.633854345831199"
"Yes","2006","Employed","(1b) general elementary school","311","0.467160986517052","0.429606265912972","0.504715707121132"
"Yes","2006","Employed","(1c) basic vocational qualification","1242","0.416120254186932","0.398641373556383","0.433599134817481"
"Yes","2006","Employed","(2b) intermediate general qualification","164","0.489831879352928","0.438895577474636","0.54076818123122"
"Yes","2006","Employed","(2a) intermediate vocational","1341","0.362925852454048","0.347707439991008","0.378144264917088"
"Yes","2006","Employed","(2c_gen) general maturity certificate","156","0.326215785290551","0.283185069343685","0.369246501237417"
"Yes","2006","Employed","(2c_voc) vocational maturity certificate","370","0.300563809660005","0.274950750188736","0.326176869131275"
"Yes","2006","Employed","(3a) lower tertiary education","309","0.280320675758246","0.255753079980045","0.304888271536447"
"Yes","2006","Employed","(3b) higher tertiary education","413","0.226919903603908","0.209136908560735","0.244702898647081"
"No","2006","Not Employed","(0) in school","269","0.795804699534805","0.752701989839128","0.838907409230482"
"No","2006","Not Employed","(1a) inadequately completed","113","0.666444094451555","0.593158990553757","0.739729198349352"
"No","2006","Not Employed","(1b) general elementary school","1013","0.800471219598897","0.778620177081988","0.822322262115806"
"No","2006","Not Employed","(1c) basic vocational qualification","2519","0.801019981085616","0.787047083604012","0.814992878567221"
"No","2006","Not Employed","(2b) intermediate general qualification","127","0.571668116043733","0.505524025699914","0.637812206387551"
"No","2006","Not Employed","(2a) intermediate vocational","1015","0.7386648267894","0.715175471373818","0.762154182204981"
"No","2006","Not Employed","(2c_gen) general maturity certificate","276","0.722689056639701","0.677379303034494","0.767998810244909"
"No","2006","Not Employed","(2c_voc) vocational maturity certificate","328","0.777654266797675","0.737206667139804","0.818101866455546"
"No","2006","Not Employed","(3a) lower tertiary education","447","0.846338486313465","0.81543184262943","0.877245129997499"
"No","2006","Not Employed","(3b) higher tertiary education","564","0.888106190102379","0.863853427153121","0.912358953051638"
"No","2006","Employed","(0) in school","49","0.612049088245483","0.499494459738301","0.724603716752665"
"No","2006","Employed","(1a) inadequately completed","43","0.472276101316425","0.366145654168801","0.57840654846405"
"No","2006","Employed","(1b) general elementary school","367","0.532839013482948","0.495284292878868","0.570393734087028"
"No","2006","Employed","(1c) basic vocational qualification","1813","0.583879745813068","0.566400865182519","0.601358626443617"
"No","2006","Employed","(2b) intermediate general qualification","206","0.510168120647072","0.45923181876878","0.561104422525364"
"No","2006","Employed","(2a) intermediate vocational","2494","0.637074147545952","0.621855735082912","0.652292560008992"
"No","2006","Employed","(2c_gen) general maturity certificate","300","0.673784214709449","0.630753498762583","0.716814930656315"
"No","2006","Employed","(2c_voc) vocational maturity certificate","861","0.699436190339995","0.673823130868725","0.725049249811264"
"No","2006","Employed","(3a) lower tertiary education","975","0.719679324241754","0.695111728463553","0.744246920019955"
"No","2006","Employed","(3b) higher tertiary education","1718","0.773080096396092","0.755297101352919","0.790863091439265"
"Yes","2007","Not Employed","(0) in school","","","",""
"Yes","2007","Not Employed","(1a) inadequately completed","","","",""
"Yes","2007","Not Employed","(1b) general elementary school","","","",""
"Yes","2007","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","2007","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","2007","Not Employed","(2a) intermediate vocational","","","",""
"Yes","2007","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Not Employed","(3a) lower tertiary education","","","",""
"Yes","2007","Not Employed","(3b) higher tertiary education","","","",""
"Yes","2007","Employed","(0) in school","","","",""
"Yes","2007","Employed","(1a) inadequately completed","","","",""
"Yes","2007","Employed","(1b) general elementary school","","","",""
"Yes","2007","Employed","(1c) basic vocational qualification","","","",""
"Yes","2007","Employed","(2b) intermediate general qualification","","","",""
"Yes","2007","Employed","(2a) intermediate vocational","","","",""
"Yes","2007","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2007","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2007","Employed","(3a) lower tertiary education","","","",""
"Yes","2007","Employed","(3b) higher tertiary education","","","",""
"No","2007","Not Employed","(0) in school","","","",""
"No","2007","Not Employed","(1a) inadequately completed","","","",""
"No","2007","Not Employed","(1b) general elementary school","","","",""
"No","2007","Not Employed","(1c) basic vocational qualification","","","",""
"No","2007","Not Employed","(2b) intermediate general qualification","","","",""
"No","2007","Not Employed","(2a) intermediate vocational","","","",""
"No","2007","Not Employed","(2c_gen) general maturity certificate","","","",""
"No","2007","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Not Employed","(3a) lower tertiary education","","","",""
"No","2007","Not Employed","(3b) higher tertiary education","","","",""
"No","2007","Employed","(0) in school","","","",""
"No","2007","Employed","(1a) inadequately completed","","","",""
"No","2007","Employed","(1b) general elementary school","","","",""
"No","2007","Employed","(1c) basic vocational qualification","","","",""
"No","2007","Employed","(2b) intermediate general qualification","","","",""
"No","2007","Employed","(2a) intermediate vocational","","","",""
"No","2007","Employed","(2c_gen) general maturity certificate","","","",""
"No","2007","Employed","(2c_voc) vocational maturity certificate","","","",""
"No","2007","Employed","(3a) lower tertiary education","","","",""
"No","2007","Employed","(3b) higher tertiary education","","","",""
"Yes","2008","Not Employed","(0) in school","36","0.11374051098481","0.0771989472229162","0.150282074746705"
"Yes","2008","Not Employed","(1a) inadequately completed","32","0.300114295603157","0.216712385072236","0.383516206134078"
"Yes","2008","Not Employed","(1b) general elementary school","185","0.189532875929585","0.165597543903119","0.213468207956051"
"Yes","2008","Not Employed","(1c) basic vocational qualification","505","0.197927658380383","0.182884857048654","0.212970459712112"
"Yes","2008","Not Employed","(2b) intermediate general qualification","57","0.295902296489332","0.231338641448688","0.360465951529977"
"Yes","2008","Not Employed","(2a) intermediate vocational","255","0.231802471629589","0.207602093404133","0.256002849855045"
"Yes","2008","Not Employed","(2c_gen) general maturity certificate","68","0.250395147865781","0.202927003903391","0.297863291828172"
"Yes","2008","Not Employed","(2c_voc) vocational maturity certificate","48","0.135887348875396","0.100191217226272","0.17158348052452"
"Yes","2008","Not Employed","(3a) lower tertiary education","67","0.129822327424204","0.100651975662785","0.158992679185623"
"Yes","2008","Not Employed","(3b) higher tertiary education","86","0.128434801787236","0.102733868348788","0.154135735225684"
"Yes","2008","Employed","(0) in school","21","","",""
"Yes","2008","Employed","(1a) inadequately completed","43","0.532313431315768","0.418630989791034","0.645995872840501"
"Yes","2008","Employed","(1b) general elementary school","249","0.451230266792944","0.409979087034683","0.492481446551205"
"Yes","2008","Employed","(1c) basic vocational qualification","1058","0.42352850996334","0.404443617537275","0.442613402389405"
"Yes","2008","Employed","(2b) intermediate general qualification","125","0.422907815264568","0.365951141142838","0.479864489386299"
"Yes","2008","Employed","(2a) intermediate vocational","1151","0.341087523564949","0.325334364470165","0.356840682659734"
"Yes","2008","Employed","(2c_gen) general maturity certificate","122","0.261344216988825","0.219274598080155","0.303413835897494"
"Yes","2008","Employed","(2c_voc) vocational maturity certificate","328","0.309152890490197","0.281780126081689","0.336525654898705"
"Yes","2008","Employed","(3a) lower tertiary education","269","0.248041292197464","0.222949253477602","0.273133330917327"
"Yes","2008","Employed","(3b) higher tertiary education","328","0.185915056085342","0.168449646081846","0.203380466088837"
"No","2008","Not Employed","(0) in school","254","0.886259489015189","0.849717925253295","0.922801052777084"
"No","2008","Not Employed","(1a) inadequately completed","84","0.699885704396843","0.616483793865922","0.783287614927764"
"No","2008","Not Employed","(1b) general elementary school","845","0.810467124070415","0.786531792043948","0.834402456096881"
"No","2008","Not Employed","(1c) basic vocational qualification","2190","0.802072341619617","0.787029540287888","0.817115142951346"
"No","2008","Not Employed","(2b) intermediate general qualification","135","0.704097703510668","0.639534048470023","0.768661358551312"
"No","2008","Not Employed","(2a) intermediate vocational","913","0.768197528370411","0.743997150144955","0.792397906595867"
"No","2008","Not Employed","(2c_gen) general maturity certificate","252","0.749604852134219","0.702136708171828","0.797072996096609"
"No","2008","Not Employed","(2c_voc) vocational maturity certificate","306","0.864112651124604","0.82841651947548","0.899808782773728"
"No","2008","Not Employed","(3a) lower tertiary education","443","0.870177672575796","0.841007320814377","0.899348024337215"
"No","2008","Not Employed","(3b) higher tertiary education","565","0.871565198212764","0.845864264774316","0.897266131651212"
"No","2008","Employed","(0) in school","46","0.530660386714671","0.411161838292104","0.650158935137238"
"No","2008","Employed","(1a) inadequately completed","31","0.467686568684232","0.354004127159499","0.581369010208966"
"No","2008","Employed","(1b) general elementary school","310","0.548769733207056","0.507518553448795","0.590020912965317"
"No","2008","Employed","(1c) basic vocational qualification","1517","0.57647149003666","0.557386597610595","0.595556382462725"
"No","2008","Employed","(2b) intermediate general qualification","164","0.577092184735432","0.520135510613701","0.634048858857162"
"No","2008","Employed","(2a) intermediate vocational","2328","0.658912476435051","0.643159317340266","0.674665635529835"
"No","2008","Employed","(2c_gen) general maturity certificate","297","0.738655783011175","0.696586164102506","0.780725401919845"
"No","2008","Employed","(2c_voc) vocational maturity certificate","767","0.690847109509803","0.663474345101295","0.718219873918311"
"No","2008","Employed","(3a) lower tertiary education","869","0.751958707802536","0.726866669082674","0.777050746522398"
"No","2008","Employed","(3b) higher tertiary education","1578","0.814084943914658","0.796619533911163","0.831550353918154"
"Yes","2009","Not Employed","(0) in school","","","",""
"Yes","2009","Not Employed","(1a) inadequately completed","","","",""
"Yes","2009","Not Employed","(1b) general elementary school","","","",""
"Yes","2009","Not Employed","(1c) basic vocational qualification","","","",""
"Yes","2009","Not Employed","(2b) intermediate general qualification","","","",""
"Yes","2009","Not Employed","(2a) intermediate vocational","","","",""
"Yes","2009","Not Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2009","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","Not Employed","(3a) lower tertiary education","","","",""
"Yes","2009","Not Employed","(3b) higher tertiary education","","","",""
"Yes","2009","Employed","(0) in school","","","",""
"Yes","2009","Employed","(1a) inadequately completed","","","",""
"Yes","2009","Employed","(1b) general elementary school","","","",""
"Yes","2009","Employed","(1c) basic vocational qualification","","","",""
"Yes","2009","Employed","(2b) intermediate general qualification","","","",""
"Yes","2009","Employed","(2a) intermediate vocational","","","",""
"Yes","2009","Employed","(2c_gen) general maturity certificate","","","",""
"Yes","2009","Employed","(2c_voc) vocational maturity certificate","","","",""
"Yes","2009","Employed","(3a) lower tertiary education","","","",""
"Yes","2009","Employed","(3b) higher tertiary education","","","",""
"No","2009","Not Employed","(0) in school","","","",""
"No","2009","Not Employed","(1a) inadequately completed","","","",""
"No","2009","Not Employed","(1b) general elementary school","","","",""
"No","2009","Not Employed","(1c) basic vocational qualification","","","",""
"No","2009","Not Employed","(2b) intermediate general qualification","","","",""
"No","2009","Not Employed","(2a) intermediate vocational","","","",""
"No","2009","Not Employed","(2c_gen) general maturity certificate","","","",""
"No","2009","Not Employed","(2c_voc) vocational maturity certificate","","","",""
"No","2009","Not Employed","(3a) lower tertiary education","","","",""
"No","2009","Not Employed","(3b) higher tertiary education","","","",""
"No","2009","Employed","(0) in school","","","",""
"No","2009","Employed","(1a) inadequately completed","","","",""
"No","2009","Employed","(1b) general elementary school","","","",""
"No","2009","Employed","(1c) basic vocational qualification","","","",""
"No","2009","Employed","(2b) intermediate general qualification","","","",""
"No","2009","Employed","(2a) intermediate vocational","","","",""
"No","2009","Employed","(2c_gen) general maturity certificate","","","",""
"No","2009","Employed","(2c_voc) vocational maturity certificate","","","",""
"No","2009","Employed","(3a) lower tertiary education","","","",""
"No","2009","Employed","(3b) higher tertiary education","","","",""
"Yes","2010","Not Employed","(0) in school","25","","",""
"Yes","2010","Not Employed","(1a) inadequately completed","25","","",""
"Yes","2010","Not Employed","(1b) general elementary school","123","0.145792691908603","0.12162386013152","0.169961523685685"
"Yes","2010","Not Employed","(1c) basic vocational qualification","432","0.191697955062967","0.175561595715955","0.20783431440998"
"Yes","2010","Not Employed","(2b) intermediate general qualification","46","0.3138122298806","0.239551556905257","0.388072902855942"
"Yes","2010","Not Employed","(2a) intermediate vocational","232","0.24011087913842","0.21390997655806","0.266311781718781"
"Yes","2010","Not Employed","(2c_gen) general maturity certificate","52","0.235569253774238","0.182861222635646","0.28827728491283"
"Yes","2010","Not Employed","(2c_voc) vocational maturity certificate","44","0.151634223977038","0.111447966319659","0.191820481634417"
"Yes","2010","Not Employed","(3a) lower tertiary education","55","0.102930762700365","0.0753414608950569","0.130520064505673"
"Yes","2010","Not Employed","(3b) higher tertiary education","76","0.120307045546982","0.0946997724039025","0.145914318690062"
"Yes","2010","Employed","(0) in school","9","","",""
"Yes","2010","Employed","(1a) inadequately completed","30","0.507684432737811","0.371801432648901","0.643567432826721"
"Yes","2010","Employed","(1b) general elementary school","205","0.442087805336021","0.395736070749172","0.488439539922871"
"Yes","2010","Employed","(1c) basic vocational qualification","834","0.392068499153971","0.371167803045966","0.412969195261975"
"Yes","2010","Employed","(2b) intermediate general qualification","104","0.494981881066406","0.433374044075504","0.556589718057309"
"Yes","2010","Employed","(2a) intermediate vocational","1001","0.3379961847915","0.321211502218087","0.354780867364912"
"Yes","2010","Employed","(2c_gen) general maturity certificate","101","0.200852545932369","0.161785593017502","0.239919498847236"
"Yes","2010","Employed","(2c_voc) vocational maturity certificate","268","0.303118604516865","0.274075282730994","0.332161926302737"
"Yes","2010","Employed","(3a) lower tertiary education","235","0.274308570360813","0.247179431865685","0.30143770885594"
"Yes","2010","Employed","(3b) higher tertiary education","295","0.167900217947339","0.150210155626445","0.185590280268233"
"No","2010","Not Employed","(0) in school","191","0.86804252075889","0.822908011943848","0.913177029573933"
"No","2010","Not Employed","(1a) inadequately completed","69","0.712384950679408","0.620879421763999","0.803890479594816"
