"ple0081_h","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"No","2014","college entrance qualification","East Germany","1091","0.810724129455991","0.78992027949632","0.831527979415662"
"No","2014","Other degree","West Germany","2143","0.709045207758203","0.692837926966629","0.725252488549777"
"No","2014","Other degree","East Germany","210","0.645329189143505","0.590549740165415","0.700108638121595"
"No","2014","no degree/no degree yet","West Germany","610","0.681618270980839","0.651098501187253","0.712138040774425"
"No","2014","no degree/no degree yet","East Germany","73","0.572233420874496","0.481412542029198","0.663054299719794"
"Yes","2015","lower secondary degree","West Germany","","","",""
"Yes","2015","lower secondary degree","East Germany","","","",""
"Yes","2015","secondary school degree","West Germany","","","",""
"Yes","2015","secondary school degree","East Germany","","","",""
"Yes","2015","college entrance qualification","West Germany","","","",""
"Yes","2015","college entrance qualification","East Germany","","","",""
"Yes","2015","Other degree","West Germany","","","",""
"Yes","2015","Other degree","East Germany","","","",""
"Yes","2015","no degree/no degree yet","West Germany","","","",""
"Yes","2015","no degree/no degree yet","East Germany","","","",""
"No","2015","lower secondary degree","West Germany","","","",""
"No","2015","lower secondary degree","East Germany","","","",""
"No","2015","secondary school degree","West Germany","","","",""
"No","2015","secondary school degree","East Germany","","","",""
"No","2015","college entrance qualification","West Germany","","","",""
"No","2015","college entrance qualification","East Germany","","","",""
"No","2015","Other degree","West Germany","","","",""
"No","2015","Other degree","East Germany","","","",""
"No","2015","no degree/no degree yet","West Germany","","","",""
"No","2015","no degree/no degree yet","East Germany","","","",""
"Yes","2016","lower secondary degree","West Germany","1529","0.283283030620777","0.270599186122701","0.295966875118854"
"Yes","2016","lower secondary degree","East Germany","300","0.275877431054995","0.248216821088261","0.303538041021729"
"Yes","2016","secondary school degree","West Germany","1197","0.267380950184236","0.254327121963567","0.280434778404905"
"Yes","2016","secondary school degree","East Germany","697","0.328702069329652","0.309126499945324","0.34827763871398"
"Yes","2016","college entrance qualification","West Germany","883","0.183193151639785","0.172986776070072","0.193399527209497"
"Yes","2016","college entrance qualification","East Germany","239","0.17293720764743","0.152226879080486","0.193647536214374"
"Yes","2016","Other degree","West Germany","851","0.26851223725045","0.25251408131626","0.284510393184641"
"Yes","2016","Other degree","East Germany","97","0.275244802274339","0.224871566147608","0.325618038401071"
"Yes","2016","no degree/no degree yet","West Germany","233","0.327835350290546","0.293546922841775","0.362123777739316"
"Yes","2016","no degree/no degree yet","East Germany","34","0.418738030748061","0.320048829924814","0.517427231571307"
"No","2016","lower secondary degree","West Germany","3319","0.716716969379223","0.704033124881146","0.729400813877299"
"No","2016","lower secondary degree","East Germany","703","0.724122568945005","0.696461958978271","0.751783178911739"
"No","2016","secondary school degree","West Germany","3219","0.732619049815764","0.719565221595095","0.745672878036433"
"No","2016","secondary school degree","East Germany","1515","0.671297930670348","0.65172236128602","0.690873500054676"
"No","2016","college entrance qualification","West Germany","4635","0.816806848360215","0.806600472790503","0.827013223929927"
"No","2016","college entrance qualification","East Germany","1042","0.82706279235257","0.806352463785626","0.847773120919514"
"No","2016","Other degree","West Germany","2097","0.73148776274955","0.715489606815359","0.74748591868374"
"No","2016","Other degree","East Germany","205","0.724755197725661","0.674381961598929","0.775128433852392"
"No","2016","no degree/no degree yet","West Germany","487","0.672164649709454","0.637876222260684","0.706453077158225"
"No","2016","no degree/no degree yet","East Germany","62","0.581261969251939","0.482572768428693","0.679951170075186"
"Yes","2017","lower secondary degree","West Germany","","","",""
"Yes","2017","lower secondary degree","East Germany","","","",""
"Yes","2017","secondary school degree","West Germany","","","",""
"Yes","2017","secondary school degree","East Germany","","","",""
"Yes","2017","college entrance qualification","West Germany","","","",""
"Yes","2017","college entrance qualification","East Germany","","","",""
"Yes","2017","Other degree","West Germany","","","",""
"Yes","2017","Other degree","East Germany","","","",""
"Yes","2017","no degree/no degree yet","West Germany","","","",""
"Yes","2017","no degree/no degree yet","East Germany","","","",""
"No","2017","lower secondary degree","West Germany","","","",""
"No","2017","lower secondary degree","East Germany","","","",""
"No","2017","secondary school degree","West Germany","","","",""
"No","2017","secondary school degree","East Germany","","","",""
"No","2017","college entrance qualification","West Germany","","","",""
"No","2017","college entrance qualification","East Germany","","","",""
"No","2017","Other degree","West Germany","","","",""
"No","2017","Other degree","East Germany","","","",""
"No","2017","no degree/no degree yet","West Germany","","","",""
"No","2017","no degree/no degree yet","East Germany","","","",""
"Yes","2018","lower secondary degree","West Germany","1501","0.281790763262286","0.268981049286552","0.29460047723802"
"Yes","2018","lower secondary degree","East Germany","320","0.290213862994182","0.26179819390564","0.318629532082724"
"Yes","2018","secondary school degree","West Germany","1241","0.260821017067741","0.248352686394185","0.273289347741297"
"Yes","2018","secondary school degree","East Germany","751","0.297372263046584","0.279382098958102","0.315362427135065"
"Yes","2018","college entrance qualification","West Germany","983","0.174083900915539","0.164676529941598","0.18349127188948"
"Yes","2018","college entrance qualification","East Germany","274","0.184251854315602","0.16408022983845","0.204423478792754"
"Yes","2018","Other degree","West Germany","717","0.268648688413422","0.25169854257438","0.285598834252463"
"Yes","2018","Other degree","East Germany","105","0.312560475524486","0.260194509227287","0.364926441821685"
"Yes","2018","no degree/no degree yet","West Germany","250","0.345703456455092","0.311620562288123","0.379786350622062"
"Yes","2018","no degree/no degree yet","East Germany","40","0.32721848307751","0.245935610093264","0.408501356061757"
"No","2018","lower secondary degree","West Germany","3237","0.718209236737714","0.70539952276198","0.731018950713447"
"No","2018","lower secondary degree","East Germany","660","0.709786137005818","0.681370467917276","0.73820180609436"
"No","2018","secondary school degree","West Germany","3523","0.739178982932259","0.726710652258703","0.751647313605815"
"No","2018","secondary school degree","East Germany","1729","0.702627736953416","0.684637572864935","0.720617901041898"
"No","2018","college entrance qualification","West Germany","5258","0.825916099084461","0.81650872811052","0.835323470058403"
"No","2018","college entrance qualification","East Germany","1145","0.815748145684398","0.795576521207246","0.83591977016155"
"No","2018","Other degree","West Germany","1910","0.731351311586578","0.714401165747537","0.74830145742562"
"No","2018","Other degree","East Germany","196","0.687439524475514","0.635073558178315","0.739805490772713"
"No","2018","no degree/no degree yet","West Germany","498","0.654296543544907","0.620213649377938","0.688379437711877"
"No","2018","no degree/no degree yet","East Germany","88","0.67278151692249","0.591498643938243","0.754064389906736"
