"ple0081_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"No","2002","Hamburg","college entrance qualification","86","0.750600753875508","0.67117748974864","0.830024018002375"
"No","2002","Hamburg","Other degree","9","","",""
"No","2002","Hamburg","no degree/no degree yet","8","","",""
"No","2002","Lower Saxony","lower secondary degree","508","0.685856182073883","0.652942065776802","0.718770298370965"
"No","2002","Lower Saxony","secondary school degree","364","0.641151016728759","0.60208088847661","0.680221144980907"
"No","2002","Lower Saxony","college entrance qualification","334","0.727604049842918","0.686379401368449","0.768828698317387"
"No","2002","Lower Saxony","Other degree","61","0.715973661833161","0.623826490545146","0.808120833121175"
"No","2002","Lower Saxony","no degree/no degree yet","72","0.828228633744021","0.74942300099541","0.907034266492632"
"No","2002","Bremen","lower secondary degree","43","0.700994312229458","0.587035157784826","0.814953466674089"
"No","2002","Bremen","secondary school degree","27","","",""
"No","2002","Bremen","college entrance qualification","30","0.724863257339235","0.59718954075258","0.852536973925889"
"No","2002","Bremen","Other degree","8","","",""
"No","2002","Bremen","no degree/no degree yet","2","","",""
"No","2002","North Rhine-Westphalia","lower secondary degree","1207","0.66944730893907","0.647906405943721","0.690988211934418"
"No","2002","North Rhine-Westphalia","secondary school degree","669","0.664616340887525","0.635950103802373","0.693282577972676"
"No","2002","North Rhine-Westphalia","college entrance qualification","990","0.716813680787304","0.692797772174265","0.740829589400342"
"No","2002","North Rhine-Westphalia","Other degree","248","0.673943499718898","0.62637145144548","0.721515547992316"
"No","2002","North Rhine-Westphalia","no degree/no degree yet","169","0.659721763806181","0.600393376805757","0.719050150806606"
"No","2002","Hesse","lower secondary degree","367","0.700935440232921","0.661956355158185","0.739914525307657"
"No","2002","Hesse","secondary school degree","286","0.688375194052022","0.645000177626293","0.731750210477751"
"No","2002","Hesse","college entrance qualification","341","0.731873616719286","0.691436009535172","0.772311223903401"
"No","2002","Hesse","Other degree","94","0.632858292953512","0.554128892508907","0.711587693398116"
"No","2002","Hesse","no degree/no degree yet","43","0.764619863788869","0.660683912093051","0.868555815484687"
"No","2002","Rhineland-Palatinate,Saarland","lower secondary degree","445","0.679077639885106","0.643596548313866","0.714558731456346"
"No","2002","Rhineland-Palatinate,Saarland","secondary school degree","185","0.655523450242414","0.600546443564543","0.710500456920286"
"No","2002","Rhineland-Palatinate,Saarland","college entrance qualification","187","0.736730669725788","0.682569786012561","0.790891553439016"
"No","2002","Rhineland-Palatinate,Saarland","Other degree","76","0.719270484667133","0.632066131968135","0.80647483736613"
