"ple0081_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2012","Rural Area","Male","1075","0.327108332550467","0.311478091702155","0.342738573398779"
"Yes","2012","Rural Area","Female","870","0.224620138068021","0.211375522710627","0.237864753425416"
"No","2012","Urban Area","Male","4483","0.706952065079252","0.69562058547475","0.718283544683754"
"No","2012","Urban Area","Female","5429","0.771410458424909","0.761606847143077","0.78121406970674"
"No","2012","Rural Area","Male","2386","0.672891667449533","0.657261426601221","0.688521908297845"
"No","2012","Rural Area","Female","2944","0.775379861931978","0.762135246574583","0.788624477289373"
"Yes","2013","Urban Area","Male","","","",""
"Yes","2013","Urban Area","Female","","","",""
"Yes","2013","Rural Area","Male","","","",""
"Yes","2013","Rural Area","Female","","","",""
"No","2013","Urban Area","Male","","","",""
"No","2013","Urban Area","Female","","","",""
"No","2013","Rural Area","Male","","","",""
"No","2013","Rural Area","Female","","","",""
"Yes","2014","Urban Area","Male","2455","0.296275839901041","0.286372247614627","0.306179432187455"
"Yes","2014","Urban Area","Female","2306","0.226437852380147","0.218110732519766","0.234764972240529"
"Yes","2014","Rural Area","Male","1409","0.328809559517344","0.314784505106523","0.342834613928165"
"Yes","2014","Rural Area","Female","1265","0.237280806192533","0.225469000615754","0.249092611769312"
"No","2014","Urban Area","Male","5711","0.703724160098959","0.693820567812545","0.713627752385373"
"No","2014","Urban Area","Female","7398","0.773562147619852","0.765235027759471","0.781889267480234"
"No","2014","Rural Area","Male","2901","0.671190440482656","0.657165386071835","0.685215494893477"
"No","2014","Rural Area","Female","3718","0.762719193807467","0.750907388230688","0.774530999384246"
"Yes","2015","Urban Area","Male","","","",""
"Yes","2015","Urban Area","Female","","","",""
"Yes","2015","Rural Area","Male","","","",""
"Yes","2015","Rural Area","Female","","","",""
"No","2015","Urban Area","Male","","","",""
"No","2015","Urban Area","Female","","","",""
"No","2015","Rural Area","Male","","","",""
"No","2015","Rural Area","Female","","","",""
"Yes","2016","Urban Area","Male","2034","0.279968631269408","0.269620085950052","0.290317176588764"
"Yes","2016","Urban Area","Female","1987","0.219823397197452","0.211109815431653","0.22853697896325"
"Yes","2016","Rural Area","Male","1218","0.313668339706348","0.29905010374827","0.328286575664426"
"Yes","2016","Rural Area","Female","1081","0.224183009943828","0.211980447259918","0.236385572627738"
"No","2016","Urban Area","Male","5197","0.720031368730592","0.709682823411236","0.730379914049948"
"No","2016","Urban Area","Female","6690","0.780176602802548","0.77146302103675","0.788890184568346"
"No","2016","Rural Area","Male","2652","0.686331660293652","0.671713424335574","0.70094989625173"
"No","2016","Rural Area","Female","3406","0.775816990056172","0.763614427372261","0.788019552740082"
"Yes","2017","Urban Area","Male","","","",""
"Yes","2017","Urban Area","Female","","","",""
"Yes","2017","Rural Area","Male","","","",""
"Yes","2017","Rural Area","Female","","","",""
"No","2017","Urban Area","Male","","","",""
"No","2017","Urban Area","Female","","","",""
"No","2017","Rural Area","Male","","","",""
"No","2017","Rural Area","Female","","","",""
"Yes","2018","Urban Area","Male","2018","0.268957143719478","0.259003786108474","0.278910501330482"
"Yes","2018","Urban Area","Female","2067","0.216676580031002","0.208181165212527","0.225171994849478"
"Yes","2018","Rural Area","Male","1267","0.300629322925598","0.286742140721936","0.31451650512926"
"Yes","2018","Rural Area","Female","1155","0.226606164760545","0.214803613190529","0.238408716330561"
"No","2018","Urban Area","Male","5606","0.731042856280522","0.721089498669518","0.740996213891526"
"No","2018","Urban Area","Female","6967","0.783323419968998","0.774828005150522","0.791818834787473"
"No","2018","Rural Area","Male","2921","0.699370677074402","0.68548349487074","0.713257859278064"
"No","2018","Rural Area","Female","3678","0.773393835239455","0.761591283669439","0.78519638680947"
